state,district,year,soyabean_kharif_yield_tonne_per_hectare
,,2001 - 2002,0.85
,,2002 - 2003,0.46
,,2003 - 2004,0.8
,,2004 - 2005,0.92
,,2005 - 2006,0.71
,,2006 - 2007,0.33
,,2007 - 2008,0.34
,,2008 - 2009,0.63
,,2009 - 2010,
,,2010 - 2011,0.41
,,2011 - 2012,0.45
,,2012 - 2013,0.77
,,2013 - 2014,1.33
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2017 - 2018,1.44
,,2018 - 2019,1.19
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.14
,,2022 - 2023,1.24
,Khandwa,2000 - 2001,0.31
,,2001 - 2002,0.44
,,2002 - 2003,0.5
,,2003 - 2004,0.63
,,2004 - 2005,0.49
,,2005 - 2006,0.6
,,2006 - 2007,0.69
,,2007 - 2008,0.71
,,2008 - 2009,0.77
,,2009 - 2010,
,,2010 - 2011,0.53
,,2011 - 2012,0.56
,,2012 - 2013,0.87
,,2013 - 2014,0.8
,,2014 - 2015,1.24
,,2015 - 2016,0.52
,,2016 - 2017,1.35
,,2017 - 2018,0.76
,,2018 - 2019,0.75
,,2019 - 2020,0.42
,,2020 - 2021,0.41
,,2021 - 2022,0.48
,,2022 - 2023,0.52
,Khargone,2000 - 2001,0.36
,,2001 - 2002,0.52
,,2002 - 2003,0.65
,,2003 - 2004,0.9
,,2004 - 2005,0.64
,,2005 - 2006,0.56
,,2006 - 2007,0.71
,,2007 - 2008,0.75
,,2008 - 2009,0.64
,,2009 - 2010,
,,2010 - 2011,0.63
,,2011 - 2012,0.58
,,2012 - 2013,0.97
,,2013 - 2014,0.77
,,2014 - 2015,1.4
,,2015 - 2016,1.54
,,2016 - 2017,1.6
,,2017 - 2018,1.04
,,2018 - 2019,0.97
,,2019 - 2020,0.51
,,2020 - 2021,0.51
,,2021 - 2022,0.95
,,2022 - 2023,0.93
,Mandla,2000 - 2001,0.36
,,2001 - 2002,0.77
,,2002 - 2003,0.57
,,2003 - 2004,0.83
,,2004 - 2005,0.74
,,2005 - 2006,0.7
,,2006 - 2007,0.64
,,2007 - 2008,0.72
,,2008 - 2009,0.85
,,2009 - 2010,
,,2010 - 2011,0.65
,,2011 - 2012,0.66
,,2012 - 2013,0.61
,,2013 - 2014,0.07
,,2014 - 2015,1.27
,,2015 - 2016,1.33
,,2016 - 2017,1.0
,,2017 - 2018,0.13
,,2018 - 2019,1.08
,,2019 - 2020,0.6
,,2020 - 2021,0.8
,,2022 - 2023,0.89
,Mandsaur,2000 - 2001,0.58
,,2001 - 2002,0.72
,,2002 - 2003,0.54
,,2003 - 2004,1.06
,,2004 - 2005,0.88
,,2005 - 2006,0.66
,,2006 - 2007,0.84
,,2007 - 2008,0.84
,,2008 - 2009,0.92
,,2009 - 2010,
,,2010 - 2011,1.36
,,2011 - 2012,1.38
,,2012 - 2013,1.78
,,2013 - 2014,1.11
,,2014 - 2015,0.79
,,2015 - 2016,0.75
,,2016 - 2017,1.37
,,2017 - 2018,1.13
,,2018 - 2019,0.88
,,2019 - 2020,0.36
,,2020 - 2021,0.36
,,2021 - 2022,0.95
,,2022 - 2023,0.95
,Morena,2000 - 2001,1.14
,,2001 - 2002,1.46
,,2002 - 2003,0.8
,,2003 - 2004,1.29
,,2004 - 2005,1.16
,,2005 - 2006,1.49
,,2006 - 2007,1.14
,,2007 - 2008,1.29
,,2008 - 2009,1.44
,,2009 - 2010,
,,2010 - 2011,1.48
,,2011 - 2012,1.22
,,2012 - 2013,1.29
,,2013 - 2014,1.35
,,2014 - 2015,1.0
,,2015 - 2016,1.33
,,2017 - 2018,1.66
,,2018 - 2019,1.16
,,2019 - 2020,1.03
,,2020 - 2021,0.5
,,2021 - 2022,1.24
,,2022 - 2023,1.02
,Narsinghpur,2000 - 2001,1.04
,,2001 - 2002,1.69
,,2002 - 2003,0.96
,,2003 - 2004,1.89
,,2004 - 2005,1.72
,,2005 - 2006,1.72
,,2006 - 2007,1.58
,,2007 - 2008,1.29
,,2008 - 2009,1.55
,,2009 - 2010,
,,2010 - 2011,2.2
,,2011 - 2012,1.63
,,2012 - 2013,1.79
,,2013 - 2014,0.39
,,2014 - 2015,1.31
,,2015 - 2016,0.72
,,2016 - 2017,1.38
,,2017 - 2018,0.31
,,2018 - 2019,0.76
,,2019 - 2020,0.7
,,2020 - 2021,0.62
,,2021 - 2022,1.26
,,2022 - 2023,1.35
,Neemuch,2000 - 2001,0.65
,,2001 - 2002,0.84
,,2002 - 2003,0.46
,,2003 - 2004,1.29
,,2004 - 2005,0.86
,,2005 - 2006,0.59
,,2006 - 2007,0.71
,,2007 - 2008,0.76
,,2008 - 2009,1.05
,,2009 - 2010,
,,2010 - 2011,0.8
,,2011 - 2012,0.83
,,2012 - 2013,1.57
,,2013 - 2014,1.07
,,2014 - 2015,0.81
,,2015 - 2016,0.72
,,2016 - 2017,1.52
,,2017 - 2018,1.34
,,2018 - 2019,0.84
,,2019 - 2020,0.28
,,2020 - 2021,0.28
,,2021 - 2022,0.87
,,2022 - 2023,1.25
,Niwari,2020 - 2021,0.56
,,2021 - 2022,0.83
,,2022 - 2023,1.06
,Panna,2000 - 2001,0.42
,,2001 - 2002,0.51
,,2002 - 2003,0.38
,,2003 - 2004,0.6
,,2004 - 2005,0.48
,,2005 - 2006,0.65
,,2006 - 2007,0.45
,,2007 - 2008,0.5
,,2008 - 2009,0.68
,,2009 - 2010,
,,2010 - 2011,1.12
,,2011 - 2012,0.63
,,2012 - 2013,0.86
,,2013 - 2014,0.6
,,2014 - 2015,1.17
,,2015 - 2016,0.62
,,2016 - 2017,0.86
,,2017 - 2018,1.1
,,2018 - 2019,0.92
,,2019 - 2020,0.83
,,2020 - 2021,0.76
,,2021 - 2022,1.06
,,2022 - 2023,1.17
,Raisen,2000 - 2001,0.79
,,2001 - 2002,0.78
,,2002 - 2003,0.74
,,2003 - 2004,0.97
,,2004 - 2005,0.87
,,2005 - 2006,1.08
,,2006 - 2007,1.16
,,2007 - 2008,1.2
,,2008 - 2009,1.11
,,2009 - 2010,
,,2010 - 2011,0.92
,,2011 - 2012,0.73
,,2012 - 2013,0.93
,,2013 - 2014,0.24
,,2014 - 2015,1.26
,,2015 - 2016,0.45
,,2016 - 2017,0.85
,,2017 - 2018,0.61
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.41
,,2021 - 2022,0.41
,,2022 - 2023,0.7
,Rajgarh,2000 - 2001,0.52
,,2001 - 2002,0.61
,,2002 - 2003,0.34
,,2003 - 2004,1.14
,,2004 - 2005,0.89
,,2005 - 2006,1.19
,,2006 - 2007,0.84
,,2007 - 2008,0.98
,,2008 - 2009,1.09
,,2009 - 2010,
,,2010 - 2011,0.86
,,2011 - 2012,0.86
,,2012 - 2013,1.23
,,2013 - 2014,0.58
,,2014 - 2015,1.35
,,2015 - 2016,0.61
,,2016 - 2017,1.17
,,2017 - 2018,1.24
,,2018 - 2019,0.93
,,2019 - 2020,0.39
,,2020 - 2021,0.36
,,2021 - 2022,1.09
,,2022 - 2023,1.07
,Ratlam,2000 - 2001,0.7
,,2001 - 2002,0.62
,,2002 - 2003,0.43
,,2003 - 2004,1.15
,,2004 - 2005,0.65
,,2005 - 2006,0.97
,,2006 - 2007,1.17
,,2007 - 2008,1.19
,,2008 - 2009,1.1
,,2009 - 2010,
,,2010 - 2011,1.27
,,2011 - 2012,1.26
,,2012 - 2013,1.5
,,2013 - 2014,1.1
,,2014 - 2015,0.88
,,2015 - 2016,0.9
,,2016 - 2017,1.46
,,2017 - 2018,1.82
,,2018 - 2019,0.96
,,2019 - 2020,0.64
,,2020 - 2021,0.54
,,2021 - 2022,0.98
,,2022 - 2023,0.98
,Rewa,2000 - 2001,0.55
,,2001 - 2002,0.54
,,2002 - 2003,0.4
,,2003 - 2004,0.59
,,2004 - 2005,0.53
,,2005 - 2006,0.68
,,2006 - 2007,0.61
,,2007 - 2008,0.55
,,2008 - 2009,0.65
,,2009 - 2010,
,,2010 - 2011,0.69
,,2011 - 2012,0.51
,,2012 - 2013,0.58
,,2013 - 2014,0.94
,,2014 - 2015,1.01
,,2015 - 2016,0.7
,,2016 - 2017,0.85
,,2017 - 2018,0.91
,,2018 - 2019,0.75
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.75
,,2022 - 2023,1.32
,Sagar,2000 - 2001,0.82
,,2001 - 2002,0.68
,,2002 - 2003,0.48
,,2003 - 2004,0.99
,,2004 - 2005,0.83
,,2005 - 2006,0.83
,,2006 - 2007,0.84
,,2007 - 2008,0.58
,,2008 - 2009,0.89
,,2009 - 2010,
,,2010 - 2011,0.89
,,2011 - 2012,1.0
,,2012 - 2013,1.31
,,2013 - 2014,0.43
,,2014 - 2015,1.26
,,2015 - 2016,0.78
,,2016 - 2017,0.53
,,2017 - 2018,0.59
,,2018 - 2019,1.02
,,2019 - 2020,0.56
,,2020 - 2021,0.52
,,2021 - 2022,1.29
,,2022 - 2023,1.28
,Satna,2000 - 2001,0.42
,,2001 - 2002,0.67
,,2002 - 2003,0.37
,,2003 - 2004,0.63
,,2004 - 2005,0.56
,,2005 - 2006,0.63
,,2006 - 2007,0.5
,,2007 - 2008,0.47
,,2008 - 2009,0.55
,,2009 - 2010,
,,2010 - 2011,0.56
,,2011 - 2012,0.52
,,2012 - 2013,0.51
,,2013 - 2014,0.21
,,2014 - 2015,2.04
,,2015 - 2016,0.44
,,2016 - 2017,0.72
,,2017 - 2018,0.58
,,2018 - 2019,0.4
,,2019 - 2020,0.2
,,2020 - 2021,0.2
,,2021 - 2022,0.32
,,2022 - 2023,0.34
,Sehore,2000 - 2001,0.89
,,2001 - 2002,1.01
,,2002 - 2003,1.01
,,2003 - 2004,1.3
,,2004 - 2005,1.4
,,2005 - 2006,1.28
,,2006 - 2007,0.89
,,2007 - 2008,1.2
,,2008 - 2009,1.29
,,2009 - 2010,
,,2010 - 2011,1.3
,,2011 - 2012,1.24
,,2012 - 2013,1.24
,,2013 - 2014,0.48
,,2014 - 2015,1.34
,,2015 - 2016,0.57
,,2016 - 2017,1.49
,,2017 - 2018,0.83
,,2018 - 2019,1.17
,,2019 - 2020,0.5
,,2020 - 2021,0.48
,,2021 - 2022,1.08
,,2022 - 2023,1.06
,Seoni,2000 - 2001,0.53
,,2001 - 2002,1.11
,,2002 - 2003,0.91
,,2003 - 2004,1.17
,,2004 - 2005,0.86
,,2005 - 2006,0.83
,,2006 - 2007,1.11
,,2007 - 2008,0.98
,,2008 - 2009,1.06
,,2009 - 2010,
,,2010 - 2011,0.94
,,2011 - 2012,1.0
,,2012 - 2013,1.24
,,2013 - 2014,0.26
,,2014 - 2015,1.29
,,2015 - 2016,0.64
,,2016 - 2017,1.38
,,2017 - 2018,0.09
,,2018 - 2019,0.92
,,2019 - 2020,0.76
,,2020 - 2021,0.87
,,2021 - 2022,1.01
,,2022 - 2023,0.92
,Shahdol,2000 - 2001,0.4
,,2001 - 2002,0.49
,,2002 - 2003,0.38
,,2003 - 2004,0.5
,,2004 - 2005,0.42
,,2005 - 2006,0.45
,,2006 - 2007,0.49
,,2007 - 2008,0.57
,,2008 - 2009,0.61
,,2009 - 2010,
,,2010 - 2011,1.79
,,2011 - 2012,0.45
,,2012 - 2013,0.96
,,2013 - 2014,1.12
,,2014 - 2015,1.25
,,2015 - 2016,0.73
,,2016 - 2017,1.0
,,2017 - 2018,0.22
,,2018 - 2019,0.63
,,2019 - 2020,0.93
,,2020 - 2021,0.63
,,2021 - 2022,1.11
,,2022 - 2023,1.11
,Shajapur,2000 - 2001,0.83
,,2001 - 2002,0.62
,,2002 - 2003,0.48
,,2003 - 2004,0.99
,,2004 - 2005,0.82
,,2005 - 2006,0.98
,,2006 - 2007,0.83
,,2007 - 2008,0.93
,,2008 - 2009,1.0
,,2009 - 2010,
,,2010 - 2011,1.12
,,2011 - 2012,1.11
,,2012 - 2013,1.34
,,2013 - 2014,0.77
,,2014 - 2015,0.78
,,2015 - 2016,0.76
,,2016 - 2017,1.49
,,2017 - 2018,1.02
,,2018 - 2019,1.34
,,2019 - 2020,0.38
,,2020 - 2021,0.38
,,2021 - 2022,0.96
,,2022 - 2023,0.96
,Sheopur,2000 - 2001,0.66
,,2001 - 2002,1.37
,,2002 - 2003,1.29
,,2003 - 2004,1.55
,,2004 - 2005,0.75
,,2005 - 2006,1.18
,,2006 - 2007,1.05
,,2007 - 2008,1.02
,,2008 - 2009,1.32
,,2009 - 2010,
,,2010 - 2011,1.73
,,2011 - 2012,1.03
,,2012 - 2013,1.3
,,2013 - 2014,1.41
,,2014 - 2015,0.98
,,2015 - 2016,0.98
,,2016 - 2017,1.15
,,2017 - 2018,0.79
,,2018 - 2019,1.24
,,2019 - 2020,0.9
,,2020 - 2021,0.73
,,2021 - 2022,0.59
,,2022 - 2023,1.32
,Shivpuri,2000 - 2001,0.82
,,2001 - 2002,0.99
,,2002 - 2003,0.22
,,2003 - 2004,0.98
,,2004 - 2005,0.82
,,2005 - 2006,0.94
,,2006 - 2007,0.74
,,2007 - 2008,0.5
,,2008 - 2009,0.92
,,2009 - 2010,
,,2010 - 2011,1.0
,,2011 - 2012,1.02
,,2012 - 2013,0.91
,,2013 - 2014,0.63
,,2014 - 2015,1.63
,,2015 - 2016,0.67
,,2016 - 2017,0.87
,,2017 - 2018,0.78
,,2018 - 2019,0.74
,,2019 - 2020,0.81
,,2020 - 2021,0.39
,,2021 - 2022,0.57
,,2022 - 2023,0.81
,Sidhi,2000 - 2001,0.42
,,2001 - 2002,0.43
,,2002 - 2003,0.38
,,2003 - 2004,0.47
,,2004 - 2005,0.42
,,2005 - 2006,0.59
,,2006 - 2007,0.41
,,2007 - 2008,0.43
,,2008 - 2009,0.51
,,2009 - 2010,
,,2010 - 2011,0.52
,,2011 - 2012,0.45
,,2012 - 2013,0.55
,,2013 - 2014,0.49
,,2014 - 2015,1.5
,,2015 - 2016,0.67
,,2017 - 2018,0.75
,,2018 - 2019,0.52
,,2019 - 2020,0.36
,,2020 - 2021,0.33
,,2022 - 2023,0.54
,Singrauli,2009 - 2010,
,,2010 - 2011,0.0
,,2019 - 2020,0.2
,,2022 - 2023,0.24
,Tikamgarh,2000 - 2001,0.75
,,2001 - 2002,1.15
,,2002 - 2003,0.6
,,2003 - 2004,1.45
,,2004 - 2005,0.87
,,2005 - 2006,0.92
,,2006 - 2007,0.68
,,2007 - 2008,0.44
,,2008 - 2009,1.18
,,2009 - 2010,
,,2010 - 2011,1.15
,,2011 - 2012,0.8
,,2012 - 2013,0.71
,,2013 - 2014,0.56
,,2014 - 2015,1.66
,,2015 - 2016,0.62
,,2016 - 2017,0.91
,,2017 - 2018,0.57
,,2018 - 2019,0.65
,,2019 - 2020,0.42
,,2020 - 2021,0.63
,,2021 - 2022,0.8
,,2022 - 2023,0.92
,Ujjain,2000 - 2001,0.61
,,2001 - 2002,0.64
,,2002 - 2003,0.48
,,2003 - 2004,1.09
,,2004 - 2005,0.69
,,2005 - 2006,1.05
,,2006 - 2007,1.09
,,2007 - 2008,1.19
,,2008 - 2009,1.42
,,2009 - 2010,
,,2010 - 2011,1.39
,,2011 - 2012,1.39
,,2012 - 2013,1.47
,,2013 - 2014,0.78
,,2014 - 2015,0.69
,,2015 - 2016,0.72
,,2016 - 2017,1.47
,,2017 - 2018,1.05
,,2018 - 2019,1.29
,,2019 - 2020,0.47
,,2020 - 2021,0.37
,,2021 - 2022,1.27
,,2022 - 2023,1.25
,Umaria,2000 - 2001,0.36
,,2001 - 2002,0.45
,,2002 - 2003,0.38
,,2003 - 2004,0.49
,,2004 - 2005,0.43
,,2005 - 2006,0.39
,,2006 - 2007,0.36
,,2007 - 2008,0.31
,,2008 - 2009,0.41
,,2009 - 2010,
,,2010 - 2011,0.68
,,2011 - 2012,0.35
,,2012 - 2013,0.34
,,2013 - 2014,0.17
,,2014 - 2015,1.14
,,2015 - 2016,0.4
,,2016 - 2017,1.0
,,2017 - 2018,0.73
,,2018 - 2019,0.63
,,2019 - 2020,0.49
,,2020 - 2021,0.49
,,2021 - 2022,0.62
,,2022 - 2023,0.69
,Vidisha,2000 - 2001,1.03
,,2001 - 2002,0.93
,,2002 - 2003,0.85
,,2003 - 2004,0.85
,,2004 - 2005,1.04
,,2005 - 2006,1.13
,,2006 - 2007,0.98
,,2007 - 2008,1.01
,,2008 - 2009,1.09
,,2009 - 2010,
,,2010 - 2011,1.11
,,2011 - 2012,1.2
,,2012 - 2013,1.11
,,2013 - 2014,1.01
,,2014 - 2015,1.17
,,2015 - 2016,0.66
,,2016 - 2017,0.59
,,2017 - 2018,1.36
,,2018 - 2019,0.95
,,2019 - 2020,0.58
,,2020 - 2021,0.57
,,2021 - 2022,1.0
,,2022 - 2023,1.03
Maharashtra,Ahilyanagar,2000 - 2001,0.86
,,2001 - 2002,1.18
,,2002 - 2003,1.25
,,2003 - 2004,1.03
,,2004 - 2005,1.46
,,2005 - 2006,1.03
,,2006 - 2007,1.32
,,2007 - 2008,1.53
,,2008 - 2009,0.72
,,2009 - 2010,0.92
,,2010 - 2011,1.79
,,2011 - 2012,2.09
,,2012 - 2013,0.49
,,2013 - 2014,1.13
,,2014 - 2015,0.62
,,2015 - 2016,0.48
,,2016 - 2017,0.8
,,2017 - 2018,1.47
,,2018 - 2019,0.63
,,2019 - 2020,0.57
,,2020 - 2021,1.67
,,2021 - 2022,1.58
,,2022 - 2023,1.81
,Akola,2000 - 2001,1.08
,,2001 - 2002,0.98
,,2002 - 2003,1.5
,,2003 - 2004,1.22
,,2004 - 2005,0.62
,,2005 - 2006,0.72
,,2006 - 2007,1.65
,,2007 - 2008,2.0
,,2008 - 2009,0.21
,,2009 - 2010,0.97
,,2010 - 2011,1.88
,,2011 - 2012,1.19
,,2012 - 2013,1.92
,,2013 - 2014,1.03
,,2014 - 2015,0.3
,,2015 - 2016,0.45
,,2016 - 2017,1.41
,,2017 - 2018,0.7
,,2018 - 2019,1.4
,,2019 - 2020,0.91
,,2020 - 2021,1.23
,,2021 - 2022,1.09
,,2022 - 2023,1.6
,Amravati,2000 - 2001,0.69
,,2001 - 2002,0.94
,,2002 - 2003,0.96
,,2003 - 2004,1.39
,,2004 - 2005,0.48
,,2005 - 2006,1.13
,,2006 - 2007,1.49
,,2007 - 2008,1.7
,,2008 - 2009,0.33
,,2009 - 2010,0.81
,,2010 - 2011,1.63
,,2011 - 2012,1.26
,,2012 - 2013,1.52
,,2013 - 2014,0.96
,,2014 - 2015,0.35
,,2015 - 2016,0.35
,,2016 - 2017,1.33
,,2017 - 2018,0.92
,,2018 - 2019,1.21
,,2019 - 2020,0.83
,,2020 - 2021,0.92
,,2021 - 2022,1.05
,,2022 - 2023,0.71
,Beed,2000 - 2001,1.33
,,2001 - 2002,1.07
,,2002 - 2003,1.36
,,2003 - 2004,1.02
,,2004 - 2005,0.87
,,2005 - 2006,1.1
,,2006 - 2007,0.82
,,2007 - 2008,0.45
,,2008 - 2009,0.2
,,2009 - 2010,0.51
,,2010 - 2011,1.37
,,2011 - 2012,1.55
,,2012 - 2013,1.66
,,2013 - 2014,1.86
,,2014 - 2015,0.35
,,2015 - 2016,0.16
,,2016 - 2017,0.78
,,2017 - 2018,0.71
,,2018 - 2019,0.24
,,2019 - 2020,0.78
,,2020 - 2021,1.98
,,2021 - 2022,0.94
,,2022 - 2023,1.47
,Bhandara,2000 - 2001,0.79
,,2001 - 2002,1.14
,,2002 - 2003,1.04
,,2003 - 2004,1.68
,,2004 - 2005,0.94
,,2005 - 2006,0.89
,,2006 - 2007,0.84
,,2007 - 2008,1.14
,,2008 - 2009,1.19
,,2009 - 2010,0.81
,,2010 - 2011,1.73
,,2011 - 2012,0.68
,,2012 - 2013,0.8
,,2013 - 2014,0.4
,,2014 - 2015,0.46
,,2015 - 2016,0.14
,,2016 - 2017,1.13
,,2017 - 2018,1.21
,,2018 - 2019,1.13
,,2019 - 2020,1.04
,,2020 - 2021,0.63
,,2021 - 2022,0.9
,,2022 - 2023,0.99
,Buldhana,2000 - 2001,0.75
,,2001 - 2002,1.45
,,2002 - 2003,1.25
,,2003 - 2004,1.71
,,2004 - 2005,0.94
,,2005 - 2006,0.53
,,2006 - 2007,1.26
,,2007 - 2008,2.01
,,2008 - 2009,0.29
,,2009 - 2010,0.74
,,2010 - 2011,1.85
,,2011 - 2012,1.45
,,2012 - 2013,1.54
,,2013 - 2014,1.48
,,2014 - 2015,0.54
,,2015 - 2016,0.46
,,2016 - 2017,1.93
,,2017 - 2018,1.19
,,2018 - 2019,1.11
,,2019 - 2020,1.35
,,2020 - 2021,1.67
,,2021 - 2022,1.71
,,2022 - 2023,1.78
,Chandrapur,2000 - 2001,1.2
,,2001 - 2002,1.33
,,2002 - 2003,1.17
,,2003 - 2004,1.19
,,2004 - 2005,0.98
,,2005 - 2006,1.07
,,2006 - 2007,1.22
,,2007 - 2008,1.38
,,2008 - 2009,0.66
,,2009 - 2010,0.35
,,2010 - 2011,1.0
,,2011 - 2012,0.88
,,2012 - 2013,1.02
,,2013 - 2014,0.62
,,2014 - 2015,0.51
,,2015 - 2016,0.51
,,2016 - 2017,1.0
,,2017 - 2018,0.94
,,2018 - 2019,1.6
,,2019 - 2020,0.88
,,2020 - 2021,0.86
,,2021 - 2022,1.47
,,2022 - 2023,1.25
,Chhatrapati Sambhajinagar,2000 - 2001,0.74
,,2001 - 2002,1.05
,,2002 - 2003,1.52
,,2003 - 2004,1.35
,,2004 - 2005,0.95
,,2005 - 2006,1.2
,,2006 - 2007,1.56
,,2007 - 2008,1.6
,,2008 - 2009,0.82
,,2009 - 2010,1.12
,,2010 - 2011,2.13
,,2011 - 2012,1.42
,,2012 - 2013,0.74
,,2013 - 2014,1.09
,,2014 - 2015,0.45
,,2015 - 2016,0.45
,,2016 - 2017,1.06
,,2017 - 2018,0.44
,,2018 - 2019,0.65
,,2019 - 2020,0.82
,,2020 - 2021,1.24
,,2021 - 2022,0.76
,,2022 - 2023,0.79
,Dharashiv,2000 - 2001,0.81
,,2001 - 2002,0.19
,,2002 - 2003,1.11
,,2003 - 2004,0.43
,,2004 - 2005,1.22
,,2005 - 2006,1.08
,,2006 - 2007,0.6
,,2007 - 2008,1.31
,,2008 - 2009,0.27
,,2009 - 2010,0.49
,,2010 - 2011,1.71
,,2011 - 2012,1.51
,,2012 - 2013,0.91
,,2013 - 2014,2.03
,,2014 - 2015,0.49
,,2015 - 2016,0.16
,,2016 - 2017,0.28
,,2017 - 2018,0.69
,,2018 - 2019,0.55
,,2019 - 2020,1.21
,,2020 - 2021,1.69
,,2021 - 2022,1.07
,,2022 - 2023,1.14
,Dhule,2000 - 2001,0.59
,,2001 - 2002,1.87
,,2002 - 2003,1.33
,,2003 - 2004,1.59
,,2004 - 2005,1.71
,,2005 - 2006,1.04
,,2006 - 2007,0.87
,,2007 - 2008,1.48
,,2008 - 2009,0.73
,,2009 - 2010,0.93
,,2010 - 2011,2.23
,,2011 - 2012,1.61
,,2012 - 2013,1.61
,,2013 - 2014,1.35
,,2014 - 2015,1.29
,,2015 - 2016,0.64
,,2016 - 2017,1.38
,,2017 - 2018,1.77
,,2018 - 2019,1.59
,,2019 - 2020,0.77
,,2020 - 2021,1.29
,,2021 - 2022,1.26
,,2022 - 2023,1.47
,Gadchiroli,2000 - 2001,1.0
,,2001 - 2002,1.18
,,2002 - 2003,0.89
,,2003 - 2004,1.33
,,2004 - 2005,1.0
,,2005 - 2006,0.58
,,2006 - 2007,1.24
,,2007 - 2008,1.08
,,2008 - 2009,0.74
,,2009 - 2010,0.36
,,2010 - 2011,0.92
,,2011 - 2012,1.22
,,2012 - 2013,1.21
,,2013 - 2014,0.73
,,2014 - 2015,0.68
,,2015 - 2016,0.43
,,2016 - 2017,0.86
,,2017 - 2018,1.5
,,2018 - 2019,2.29
,,2019 - 2020,2.3
,,2020 - 2021,0.55
,,2021 - 2022,1.4
,,2022 - 2023,1.67
,Gondia,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2022 - 2023,
,Hingoli,2000 - 2001,1.2
,,2001 - 2002,1.39
,,2002 - 2003,1.52
,,2003 - 2004,1.58
,,2004 - 2005,0.8
,,2005 - 2006,1.3
,,2006 - 2007,0.87
,,2007 - 2008,1.78
,,2008 - 2009,0.59
,,2009 - 2010,0.9
,,2010 - 2011,1.6
,,2011 - 2012,1.39
,,2012 - 2013,1.9
,,2013 - 2014,1.09
,,2014 - 2015,0.28
,,2015 - 2016,0.48
,,2016 - 2017,1.07
,,2017 - 2018,1.13
,,2018 - 2019,1.39
,,2019 - 2020,1.98
,,2020 - 2021,1.08
,,2021 - 2022,0.96
,,2022 - 2023,1.55
,Jalgaon,2000 - 2001,1.0
,,2001 - 2002,1.39
,,2002 - 2003,2.53
,,2003 - 2004,2.44
,,2004 - 2005,2.12
,,2005 - 2006,1.82
,,2006 - 2007,1.89
,,2007 - 2008,1.83
,,2008 - 2009,1.87
,,2009 - 2010,2.19
,,2010 - 2011,2.03
,,2011 - 2012,2.0
,,2012 - 2013,1.71
,,2013 - 2014,1.77
,,2014 - 2015,1.42
,,2015 - 2016,0.55
,,2016 - 2017,1.88
,,2017 - 2018,1.64
,,2018 - 2019,1.45
,,2019 - 2020,0.55
,,2020 - 2021,1.19
,,2021 - 2022,0.57
,,2022 - 2023,1.46
,Jalna,2000 - 2001,0.49
,,2001 - 2002,0.76
,,2002 - 2003,1.65
,,2003 - 2004,1.26
,,2004 - 2005,0.94
,,2005 - 2006,1.18
,,2006 - 2007,1.2
,,2007 - 2008,1.3
,,2008 - 2009,0.61
,,2009 - 2010,1.16
,,2010 - 2011,1.62
,,2011 - 2012,1.49
,,2012 - 2013,0.7
,,2013 - 2014,1.66
,,2014 - 2015,0.37
,,2015 - 2016,0.48
,,2016 - 2017,1.52
,,2017 - 2018,0.7
,,2018 - 2019,0.9
,,2019 - 2020,1.71
,,2020 - 2021,2.0
,,2021 - 2022,1.34
,,2022 - 2023,1.72
,Kolhapur,2000 - 2001,1.94
,,2001 - 2002,1.75
,,2002 - 2003,1.94
,,2003 - 2004,1.96
,,2004 - 2005,1.55
,,2005 - 2006,0.96
,,2006 - 2007,1.43
,,2007 - 2008,2.2
,,2008 - 2009,2.19
,,2009 - 2010,1.94
,,2010 - 2011,2.79
,,2011 - 2012,2.54
,,2012 - 2013,2.6
,,2013 - 2014,2.39
,,2014 - 2015,2.16
,,2015 - 2016,1.9
,,2016 - 2017,2.36
,,2017 - 2018,2.14
,,2018 - 2019,2.21
,,2019 - 2020,2.0
,,2020 - 2021,2.34
,,2021 - 2022,2.24
,,2022 - 2023,2.13
,Latur,2000 - 2001,1.2
,,2001 - 2002,0.73
,,2002 - 2003,1.15
,,2003 - 2004,1.08
,,2004 - 2005,0.58
,,2005 - 2006,1.44
,,2006 - 2007,0.28
,,2007 - 2008,1.17
,,2008 - 2009,0.43
,,2009 - 2010,0.66
,,2010 - 2011,2.22
,,2011 - 2012,1.65
,,2012 - 2013,2.36
,,2013 - 2014,2.17
,,2014 - 2015,0.62
,,2015 - 2016,0.32
,,2016 - 2017,0.8
,,2017 - 2018,1.18
,,2018 - 2019,1.02
,,2019 - 2020,1.1
,,2020 - 2021,1.75
,,2021 - 2022,1.23
,,2022 - 2023,1.1
,Nagpur,2000 - 2001,0.78
,,2001 - 2002,1.0
,,2002 - 2003,1.08
,,2003 - 2004,1.27
,,2004 - 2005,0.73
,,2005 - 2006,1.05
,,2006 - 2007,1.32
,,2007 - 2008,1.37
,,2008 - 2009,0.85
,,2009 - 2010,0.77
,,2010 - 2011,1.18
,,2011 - 2012,0.65
,,2012 - 2013,1.01
,,2013 - 2014,0.43
,,2014 - 2015,0.36
,,2015 - 2016,0.39
