state,district,year,soyabean_kharif_yield_tonne_per_hectare
,,2013 - 2014,1.62
,,2014 - 2015,1.12
,,2015 - 2016,0.89
,,2016 - 2017,1.0
,,2017 - 2018,0.5
,,2018 - 2019,0.83
,,2019 - 2020,1.27
,,2020 - 2021,0.82
,,2021 - 2022,0.83
,,2022 - 2023,1.19
,Balrampur,2011 - 2012,0.71
,,2012 - 2013,1.07
,,2013 - 2014,0.73
,,2014 - 2015,0.54
,,2015 - 2016,0.37
,,2016 - 2017,7.92
,,2017 - 2018,0.31
,,2018 - 2019,0.57
,,2019 - 2020,0.91
,,2020 - 2021,0.61
,,2021 - 2022,0.52
,,2022 - 2023,1.0
,Bastar,2000 - 2001,0.77
,,2001 - 2002,1.09
,,2002 - 2003,0.8
,,2003 - 2004,1.28
,,2004 - 2005,1.36
,,2005 - 2006,1.25
,,2006 - 2007,1.71
,,2007 - 2008,1.57
,,2008 - 2009,1.32
,,2009 - 2010,1.09
,,2010 - 2011,1.47
,,2011 - 2012,1.0
,,2012 - 2013,1.76
,,2014 - 2015,1.06
,,2018 - 2019,1.2
,,2020 - 2021,1.0
,,2021 - 2022,1.33
,,2022 - 2023,1.0
,Bemetara,2011 - 2012,0.73
,,2012 - 2013,1.02
,,2013 - 2014,0.78
,,2014 - 2015,0.55
,,2015 - 2016,0.0
,,2016 - 2017,0.62
,,2017 - 2018,0.22
,,2018 - 2019,0.5
,,2019 - 2020,0.87
,,2020 - 2021,0.61
,,2021 - 2022,0.6
,,2022 - 2023,0.8
,Bijapur,2014 - 2015,1.0
,Bilaspur,2000 - 2001,0.53
,,2001 - 2002,0.91
,,2002 - 2003,0.61
,,2003 - 2004,1.0
,,2004 - 2005,1.05
,,2005 - 2006,1.05
,,2006 - 2007,1.28
,,2007 - 2008,1.42
,,2008 - 2009,1.31
,,2009 - 2010,1.12
,,2010 - 2011,1.38
,,2011 - 2012,0.98
,,2012 - 2013,1.52
,,2013 - 2014,1.24
,,2014 - 2015,0.86
,,2015 - 2016,0.72
,,2017 - 2018,0.47
,,2018 - 2019,0.92
,,2019 - 2020,1.35
,,2020 - 2021,0.86
,,2021 - 2022,0.9
,,2022 - 2023,1.17
,Dantewada,2000 - 2001,0.67
,,2001 - 2002,1.15
,,2002 - 2003,0.67
,,2004 - 2005,0.96
,,2005 - 2006,0.89
,,2006 - 2007,0.79
,,2007 - 2008,1.38
,,2008 - 2009,2.0
,,2009 - 2010,1.14
,,2010 - 2011,1.42
,,2011 - 2012,1.0
,,2012 - 2013,1.57
,,2013 - 2014,1.43
,,2014 - 2015,0.88
,,2015 - 2016,0.56
,,2016 - 2017,1.0
,Dhamtari,2001 - 2002,1.0
,,2002 - 2003,0.67
,,2003 - 2004,1.2
,,2005 - 2006,1.31
,,2006 - 2007,1.45
,Durg,2000 - 2001,0.51
,,2001 - 2002,0.65
,,2002 - 2003,0.47
,,2003 - 2004,0.74
,,2004 - 2005,0.86
,,2005 - 2006,0.83
,,2006 - 2007,0.89
,,2007 - 2008,1.09
,,2008 - 2009,0.81
,,2009 - 2010,0.82
,,2010 - 2011,1.05
,,2011 - 2012,0.73
,,2012 - 2013,1.17
,,2013 - 2014,0.84
,,2014 - 2015,0.59
,,2015 - 2016,0.48
,,2016 - 2017,0.84
,,2017 - 2018,0.4
,,2018 - 2019,0.58
,,2019 - 2020,0.99
,,2020 - 2021,0.71
,,2021 - 2022,0.63
,,2022 - 2023,1.02
,Gariyaband,2011 - 2012,1.0
,Gaurella-pendra-marwahi,2020 - 2021,1.33
,,2021 - 2022,1.4
,,2022 - 2023,1.0
,Janjgir-champa,2000 - 2001,0.67
,,2001 - 2002,1.0
,,2002 - 2003,0.83
,,2003 - 2004,1.08
,,2004 - 2005,1.2
,,2005 - 2006,1.03
,,2006 - 2007,1.19
,,2007 - 2008,1.41
,,2008 - 2009,1.36
,,2009 - 2010,1.33
,,2010 - 2011,1.52
,,2011 - 2012,1.03
,,2012 - 2013,1.63
