state,district,year,horse_gram_kharif_yield_tonne_per_hectare
,,2004 - 2005,0.29
,,2005 - 2006,0.34
,,2006 - 2007,0.33
,,2007 - 2008,0.32
,,2008 - 2009,0.34
,,2009 - 2010,0.3
,,2010 - 2011,0.31
,,2011 - 2012,0.38
,,2012 - 2013,0.33
,,2013 - 2014,
,,2014 - 2015,0.25
,,2015 - 2016,0.44
,,2016 - 2017,0.25
,,2017 - 2018,0.29
,,2018 - 2019,0.33
,,2019 - 2020,0.2
,,2020 - 2021,0.4
,,2021 - 2022,0.5
,,2022 - 2023,0.0
,Manendragarh chirimiri bharatpur,2022 - 2023,0.45
,Mohla manpur ambagarh chouki,2022 - 2023,0.45
,Mungeli,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,0.35
,,2008 - 2009,0.35
,,2009 - 2010,0.3
,,2010 - 2011,0.37
,,2011 - 2012,0.37
,,2012 - 2013,0.32
,,2013 - 2014,0.33
,,2014 - 2015,0.27
,,2015 - 2016,0.26
,,2016 - 2017,0.38
,,2017 - 2018,0.37
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,,2020 - 2021,0.6
,,2021 - 2022,0.61
,,2022 - 2023,0.54
,Raigarh,2000 - 2001,0.23
,,2001 - 2002,0.27
,,2002 - 2003,0.24
,,2003 - 2004,0.25
,,2004 - 2005,0.24
,,2005 - 2006,0.25
,,2006 - 2007,0.27
,,2007 - 2008,0.3
,,2008 - 2009,0.29
,,2009 - 2010,0.27
,,2010 - 2011,0.29
,,2011 - 2012,0.29
,,2012 - 2013,0.3
,,2013 - 2014,0.29
,,2014 - 2015,0.31
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.35
,,2021 - 2022,0.33
,,2022 - 2023,0.33
,Raipur,2000 - 2001,0.24
,,2001 - 2002,0.31
,,2002 - 2003,0.29
,,2003 - 2004,0.31
,,2004 - 2005,0.28
,,2005 - 2006,0.27
,,2006 - 2007,0.29
,,2007 - 2008,0.29
,,2008 - 2009,0.3
,,2009 - 2010,0.28
,,2010 - 2011,0.31
,,2022 - 2023,
,Rajnandgaon,2000 - 2001,0.28
,,2001 - 2002,0.31
,,2002 - 2003,0.23
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.31
,,2006 - 2007,0.3
,,2007 - 2008,0.29
,,2008 - 2009,0.28
,,2009 - 2010,0.22
,,2010 - 2011,0.32
,,2011 - 2012,0.33
,,2012 - 2013,0.27
,,2013 - 2014,0.31
,,2014 - 2015,0.33
,,2015 - 2016,0.4
,,2016 - 2017,0.4
,,2017 - 2018,0.4
,,2018 - 2019,0.34
,,2019 - 2020,0.41
,,2020 - 2021,0.48
,,2021 - 2022,0.48
,,2022 - 2023,0.47
,Sakti,2022 - 2023,1.0
,Sarangarh bilaigarh,2022 - 2023,0.71
,Sukma,2011 - 2012,0.29
,,2012 - 2013,0.43
,,2013 - 2014,0.39
,,2014 - 2015,0.33
,,2015 - 2016,0.43
,,2016 - 2017,0.4
,,2017 - 2018,0.45
,,2018 - 2019,0.71
,,2019 - 2020,0.46
,,2020 - 2021,0.49
,,2021 - 2022,0.39
,,2022 - 2023,0.41
,Surajpur,2011 - 2012,0.24
,,2012 - 2013,0.28
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.58
,,2016 - 2017,0.5
,,2017 - 2018,0.57
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.66
,,2021 - 2022,0.68
,,2022 - 2023,0.6
,Surguja,2000 - 2001,0.27
,,2001 - 2002,0.29
,,2002 - 2003,0.25
,,2003 - 2004,0.29
,,2004 - 2005,0.24
,,2005 - 2006,0.27
,,2006 - 2007,0.29
,,2007 - 2008,0.27
,,2008 - 2009,0.28
,,2009 - 2010,0.24
,,2010 - 2011,0.16
,,2011 - 2012,0.24
,,2012 - 2013,0.28
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.33
,,2016 - 2017,0.29
,,2017 - 2018,0.27
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,0.34
,,2021 - 2022,0.31
,,2022 - 2023,0.3
Haryana,Ambala,2002 - 2003,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,1.0
,Bhiwani,2003 - 2004,0.0
,,2005 - 2006,0.0
,,2007 - 2008,0.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,Faridabad,2003 - 2004,0.17
,,2005 - 2006,0.28
,,2006 - 2007,0.26
,,2013 - 2014,0.67
,Hisar,2006 - 2007,0.8
,Karnal,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2008 - 2009,0.81
,Mahendragarh,2002 - 2003,0.0
,Mewat,2005 - 2006,0.18
,,2006 - 2007,0.0
,Palwal,2010 - 2011,0.0
,Panchkula,2001 - 2002,0.0
,,2002 - 2003,0.31
,,2003 - 2004,0.27
,,2004 - 2005,0.31
,,2005 - 2006,0.27
,,2006 - 2007,0.32
,,2007 - 2008,0.33
,,2008 - 2009,0.28
,,2009 - 2010,0.27
,,2010 - 2011,0.29
,,2011 - 2012,0.28
,,2012 - 2013,0.4
,,2013 - 2014,0.5
,,2014 - 2015,1.0
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.29
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,Rohtak,2001 - 2002,0.0
,Yamunanagar,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.38
,,2017 - 2018,0.0
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
Himachal Pradesh,Bilaspur,2000 - 2001,0.32
,,2001 - 2002,0.52
,,2002 - 2003,0.28
,,2005 - 2006,0.55
,,2006 - 2007,0.64
,,2007 - 2008,0.64
,,2008 - 2009,0.33
,,2009 - 2010,0.23
,,2010 - 2011,0.25
,,2011 - 2012,0.75
,,2012 - 2013,0.57
,,2013 - 2014,0.25
,,2014 - 2015,0.27
,,2015 - 2016,0.45
,,2016 - 2017,0.27
,,2017 - 2018,0.55
,,2018 - 2019,0.55
,,2019 - 2020,0.62
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Chamba,2000 - 2001,0.26
,,2001 - 2002,0.42
,,2002 - 2003,0.29
,,2005 - 2006,0.22
,,2006 - 2007,0.35
,,2007 - 2008,0.35
,,2008 - 2009,0.27
,,2009 - 2010,0.23
,,2010 - 2011,0.56
,,2011 - 2012,0.61
,,2012 - 2013,0.54
,,2013 - 2014,0.27
,,2014 - 2015,0.27
,,2015 - 2016,0.41
,,2016 - 2017,0.27
,,2017 - 2018,0.46
,,2018 - 2019,0.46
,,2019 - 2020,0.66
,,2020 - 2021,0.66
,,2021 - 2022,0.66
,,2022 - 2023,0.65
,Hamirpur,2000 - 2001,0.36
,,2001 - 2002,0.46
,,2002 - 2003,0.18
,,2005 - 2006,0.27
,,2006 - 2007,0.29
,,2007 - 2008,0.33
,,2008 - 2009,0.2
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.5
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.33
,,2019 - 2020,0.5
,Kangra,2000 - 2001,0.31
,,2001 - 2002,0.52
,,2002 - 2003,0.3
,,2005 - 2006,0.41
,,2006 - 2007,0.51
,,2007 - 2008,0.43
,,2008 - 2009,0.45
,,2009 - 2010,0.42
,,2010 - 2011,0.71
,,2011 - 2012,0.69
,,2012 - 2013,1.0
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.67
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.36
,,2021 - 2022,0.42
,,2022 - 2023,0.35
,Kullu,2000 - 2001,0.15
,,2001 - 2002,0.19
,,2002 - 2003,0.06
,,2005 - 2006,0.4
,,2006 - 2007,0.42
,,2007 - 2008,0.3
,,2008 - 2009,0.31
,,2009 - 2010,0.22
,,2010 - 2011,0.69
,,2011 - 2012,0.78
,,2012 - 2013,0.53
,,2013 - 2014,0.26
,,2014 - 2015,0.27
,,2015 - 2016,0.53
,,2016 - 2017,0.26
,,2017 - 2018,0.63
,,2018 - 2019,0.64
,,2019 - 2020,0.65
,,2020 - 2021,0.63
,,2021 - 2022,0.63
,,2022 - 2023,0.63
,Lahul and spiti,2000 - 2001,0.24
,,2002 - 2003,0.25
,Mandi,2000 - 2001,0.56
,,2001 - 2002,0.59
,,2002 - 2003,0.79
,,2005 - 2006,0.71
,,2006 - 2007,0.61
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,0.38
,,2010 - 2011,0.59
,,2011 - 2012,0.62
,,2012 - 2013,0.11
,,2013 - 2014,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.48
,,2016 - 2017,0.44
,,2017 - 2018,0.65
,,2018 - 2019,0.59
,,2019 - 2020,0.58
,,2020 - 2021,0.46
,,2021 - 2022,0.46
,,2022 - 2023,0.46
,Shimla,2000 - 2001,0.24
,,2001 - 2002,0.38
,,2002 - 2003,0.05
,,2005 - 2006,0.36
,,2006 - 2007,0.61
,,2007 - 2008,0.43
,,2008 - 2009,0.42
,,2009 - 2010,0.29
,,2010 - 2011,0.37
,,2011 - 2012,0.34
,,2012 - 2013,0.67
,,2013 - 2014,0.34
,,2014 - 2015,0.53
,,2015 - 2016,0.45
,,2016 - 2017,0.34
,,2017 - 2018,0.58
,,2018 - 2019,0.61
,,2019 - 2020,0.62
,,2020 - 2021,0.46
,,2021 - 2022,0.46
,,2022 - 2023,0.46
,Sirmaur,2000 - 2001,0.23
,,2001 - 2002,0.34
,,2002 - 2003,0.05
,,2005 - 2006,0.33
,,2006 - 2007,0.82
,,2007 - 2008,0.9
,,2008 - 2009,0.69
,,2009 - 2010,0.67
,,2010 - 2011,0.88
,,2011 - 2012,0.79
,,2012 - 2013,1.59
,,2013 - 2014,0.79
,,2014 - 2015,0.79
,,2015 - 2016,0.79
,,2016 - 2017,0.79
,,2017 - 2018,0.78
,,2018 - 2019,0.65
,,2019 - 2020,0.65
,,2020 - 2021,0.4
,,2021 - 2022,0.4
,,2022 - 2023,0.4
,Solan,2000 - 2001,0.18
,,2001 - 2002,0.22
,,2002 - 2003,0.13
,,2005 - 2006,0.2
,,2006 - 2007,0.33
,,2007 - 2008,0.37
,,2008 - 2009,0.15
,,2009 - 2010,0.06
,,2010 - 2011,0.61
,,2011 - 2012,0.07
,,2012 - 2013,0.16
,,2013 - 2014,0.07
,,2014 - 2015,0.09
,,2015 - 2016,0.32
,,2016 - 2017,0.07
,,2017 - 2018,0.49
,,2018 - 2019,0.58
,,2019 - 2020,0.62
,,2020 - 2021,0.65
,,2021 - 2022,0.65
,Una,2000 - 2001,0.21
,,2001 - 2002,0.32
,,2002 - 2003,0.24
,,2005 - 2006,0.36
,,2006 - 2007,0.26
,,2007 - 2008,0.26
,,2008 - 2009,0.24
,,2009 - 2010,0.23
,,2010 - 2011,0.55
,,2011 - 2012,0.25
,,2012 - 2013,0.55
,,2013 - 2014,0.26
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.26
,,2017 - 2018,0.47
,,2018 - 2019,0.47
,,2019 - 2020,0.62
,,2021 - 2022,1.0
Jammu and Kashmir,Doda,2001 - 2002,0.3
,,2006 - 2007,0.3
,,2009 - 2010,0.3
,,2010 - 2011,0.3
,,2011 - 2012,0.3
,,2012 - 2013,0.3
,,2016 - 2017,0.35
,,2017 - 2018,0.35
,,2018 - 2019,0.35
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,Jammu,2001 - 2002,0.27
,,2006 - 2007,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.27
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2016 - 2017,0.35
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,
,Kathua,2001 - 2002,0.28
,,2006 - 2007,0.28
,,2009 - 2010,0.28
,,2010 - 2011,0.28
,,2011 - 2012,0.28
,,2012 - 2013,0.28
,,2015 - 2016,0.28
,,2016 - 2017,0.28
,,2017 - 2018,0.28
,,2018 - 2019,0.28
,,2019 - 2020,0.28
,,2020 - 2021,0.28
,Kishtwar,2009 - 2010,0.35
,,2010 - 2011,0.36
,,2012 - 2013,0.3
,,2015 - 2016,0.3
,,2016 - 2017,0.3
,,2017 - 2018,0.3
,,2018 - 2019,0.33
,,2019 - 2020,0.34
,,2020 - 2021,0.35
,Leh ladakh,2010 - 2011,
,,2018 - 2019,
,Rajauri,2001 - 2002,0.54
,,2015 - 2016,0.3
,Reasi,2009 - 2010,0.47
,,2010 - 2011,0.47
,,2011 - 2012,0.46
,,2012 - 2013,0.46
,,2015 - 2016,0.47
,,2016 - 2017,0.47
,,2017 - 2018,0.47
,,2018 - 2019,0.47
,,2019 - 2020,0.47
,,2020 - 2021,0.47
,Samba,2009 - 2010,0.27
,,2010 - 2011,0.27
,,2011 - 2012,0.28
,,2012 - 2013,0.28
,,2015 - 2016,0.45
,,2020 - 2021,0.3
,Udhampur,2001 - 2002,0.46
,,2006 - 2007,0.47
,,2009 - 2010,0.47
,,2010 - 2011,0.47
,,2011 - 2012,0.47
,,2012 - 2013,0.47
,,2015 - 2016,0.43
,,2016 - 2017,0.43
,,2017 - 2018,0.44
,,2018 - 2019,0.44
,,2019 - 2020,0.43
,,2020 - 2021,0.43
Jharkhand,Bokaro,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,0.6
,,2022 - 2023,0.9
,Chatra,2017 - 2018,0.72
,,2018 - 2019,0.78
,,2019 - 2020,0.8
,,2020 - 2021,0.79
,,2021 - 2022,0.81
,Deoghar,2017 - 2018,0.55
,,2018 - 2019,0.55
,,2019 - 2020,0.0
,,2020 - 2021,0.9
,,2021 - 2022,0.56
,,2022 - 2023,0.55
,Dhanbad,2017 - 2018,0.75
,,2018 - 2019,0.75
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Dumka,2017 - 2018,0.67
,,2018 - 2019,0.67
,,2019 - 2020,0.81
,,2020 - 2021,0.8
,,2021 - 2022,0.8
,,2022 - 2023,0.79
,East singhbum,2017 - 2018,0.52
,,2018 - 2019,0.55
,,2019 - 2020,0.55
,,2020 - 2021,0.65
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Garhwa,2017 - 2018,0.46
,,2018 - 2019,0.22
,,2020 - 2021,0.41
,,2021 - 2022,0.51
,Giridih,2017 - 2018,0.51
,,2018 - 2019,0.47
,,2019 - 2020,0.48
,,2020 - 2021,0.51
,,2021 - 2022,0.51
,,2022 - 2023,0.51
,Godda,2017 - 2018,0.7
,,2018 - 2019,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.74
,,2021 - 2022,0.73
,,2022 - 2023,0.45
,Gumla,2017 - 2018,0.77
,,2018 - 2019,0.69
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.4
,,2022 - 2023,0.81
,Hazaribagh,2017 - 2018,0.74
,,2018 - 2019,0.74
,,2019 - 2020,0.74
,,2020 - 2021,0.74
,,2021 - 2022,0.85
,,2022 - 2023,0.85
,Jamtara,2018 - 2019,0.4
,,2019 - 2020,0.54
,,2021 - 2022,0.65
,,2022 - 2023,0.8
,Khunti,2018 - 2019,0.65
,,2020 - 2021,0.8
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Koderma,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Latehar,2017 - 2018,0.74
,,2018 - 2019,0.73
,,2019 - 2020,0.62
,,2020 - 2021,0.62
,,2021 - 2022,0.62
,,2022 - 2023,0.63
,Lohardaga,2017 - 2018,0.6
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.5
,,2022 - 2023,0.6
,Pakur,2017 - 2018,0.6
,,2018 - 2019,0.59
,,2019 - 2020,0.6
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,Palamu,2017 - 2018,0.61
,,2018 - 2019,0.56
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.68
,Ramgarh,2017 - 2018,0.74
,,2018 - 2019,0.74
,,2019 - 2020,0.74
,,2020 - 2021,0.74
,,2021 - 2022,0.62
,,2022 - 2023,0.62
,Ranchi,2018 - 2019,0.48
,,2019 - 2020,0.5
,,2020 - 2021,0.6
,,2021 - 2022,0.48
,Sahebganj,2017 - 2018,0.41
,Saraikela kharsawan,2019 - 2020,0.65
,,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Simdega,2017 - 2018,0.57
,,2018 - 2019,0.9
,,2019 - 2020,0.85
,,2020 - 2021,0.85
,,2021 - 2022,0.9
,,2022 - 2023,0.8
,West singhbhum,2017 - 2018,0.66
,,2018 - 2019,0.66
,,2019 - 2020,0.66
,,2020 - 2021,0.65
,,2021 - 2022,0.56
,,2022 - 2023,0.56
Karnataka,Bagalkot,2000 - 2001,1.23
,,2001 - 2002,1.17
,,2002 - 2003,0.78
,,2003 - 2004,0.26
,,2004 - 2005,0.61
,,2005 - 2006,1.06
,,2006 - 2007,0.17
,,2007 - 2008,0.76
,,2008 - 2009,0.45
,,2009 - 2010,0.28
,,2010 - 2011,0.59
,,2011 - 2012,0.6
,,2012 - 2013,0.22
,,2013 - 2014,0.24
,,2014 - 2015,0.27
,,2015 - 2016,0.15
,,2016 - 2017,0.13
,,2017 - 2018,0.93
,,2018 - 2019,0.69
,,2019 - 2020,0.99
,,2020 - 2021,0.7
,,2021 - 2022,0.51
,,2022 - 2023,0.42
,Bangalore rural,2000 - 2001,0.89
,,2001 - 2002,0.65
,,2002 - 2003,0.62
,,2003 - 2004,0.72
,,2004 - 2005,0.79
,,2005 - 2006,0.76
,,2006 - 2007,0.34
,,2007 - 2008,0.7
,,2008 - 2009,1.12
,,2009 - 2010,0.78
,,2010 - 2011,0.95
,,2011 - 2012,0.84
,,2012 - 2013,0.54
,,2013 - 2014,0.66
,,2014 - 2015,0.62
,,2015 - 2016,0.62
,,2016 - 2017,0.41
,,2017 - 2018,0.86
,,2018 - 2019,0.56
,,2019 - 2020,0.83
,,2020 - 2021,0.75
,,2021 - 2022,0.79
,,2022 - 2023,0.86
,Belgaum,2000 - 2001,0.4
,,2001 - 2002,0.34
,,2002 - 2003,0.32
,,2003 - 2004,0.17
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.58
,,2007 - 2008,0.42
,,2008 - 2009,0.47
,,2009 - 2010,0.38
,,2010 - 2011,0.49
,,2011 - 2012,0.63
,,2012 - 2013,0.33
,,2013 - 2014,0.48
,,2014 - 2015,0.41
,,2015 - 2016,0.17
,,2016 - 2017,0.39
,,2017 - 2018,0.86
,,2018 - 2019,0.45
,,2019 - 2020,0.82
,,2020 - 2021,0.68
,,2021 - 2022,0.39
,,2022 - 2023,0.37
,Bellary,2000 - 2001,0.4
,,2001 - 2002,0.56
,,2002 - 2003,0.23
,,2003 - 2004,0.23
,,2004 - 2005,0.55
,,2005 - 2006,0.52
,,2006 - 2007,0.55
,,2007 - 2008,0.8
,,2008 - 2009,0.61
,,2009 - 2010,0.52
,,2010 - 2011,0.7
,,2011 - 2012,0.42
,,2012 - 2013,0.41
,,2013 - 2014,0.53
,,2014 - 2015,0.46
,,2015 - 2016,0.41
,,2016 - 2017,0.43
,,2017 - 2018,1.53
,,2018 - 2019,1.0
,,2019 - 2020,1.42
,,2020 - 2021,1.35
,,2021 - 2022,0.92
,,2022 - 2023,0.78
,Bengaluru urban,2000 - 2001,0.89
,,2001 - 2002,0.53
,,2002 - 2003,0.79
,,2003 - 2004,0.89
,,2004 - 2005,1.09
,,2005 - 2006,0.57
,,2006 - 2007,0.36
,,2007 - 2008,0.51
,,2008 - 2009,0.45
,,2009 - 2010,0.53
,,2010 - 2011,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.41
,,2013 - 2014,0.5
,,2014 - 2015,0.47
,,2015 - 2016,0.46
,,2016 - 2017,0.3
,,2017 - 2018,0.69
,,2018 - 2019,0.42
,,2019 - 2020,0.76
,,2020 - 2021,0.67
,,2021 - 2022,0.63
,,2022 - 2023,0.63
,Bidar,2000 - 2001,0.57
,,2001 - 2002,0.53
,,2002 - 2003,0.39
,,2003 - 2004,0.36
,,2004 - 2005,0.53
,,2005 - 2006,0.58
,,2006 - 2007,0.36
,,2007 - 2008,0.52
,,2013 - 2014,0.5
,,2016 - 2017,0.25
,,2017 - 2018,0.69
,,2018 - 2019,0.42
,,2019 - 2020,0.76
,,2020 - 2021,0.67
,,2021 - 2022,0.63
,,2022 - 2023,0.64
,Bijapur,2000 - 2001,0.43
,,2001 - 2002,0.33
,,2002 - 2003,0.23
,,2003 - 2004,0.17
,,2004 - 2005,0.53
,,2005 - 2006,0.41
,,2006 - 2007,0.28
,,2007 - 2008,0.37
,,2008 - 2009,0.34
,,2009 - 2010,0.16
,,2010 - 2011,0.27
,,2011 - 2012,0.22
,,2012 - 2013,0.18
,,2013 - 2014,0.28
,,2014 - 2015,0.19
,,2015 - 2016,0.07
,,2016 - 2017,0.34
,,2017 - 2018,0.54
,,2018 - 2019,0.32
,,2019 - 2020,0.47
,,2020 - 2021,0.51
,,2021 - 2022,0.66
,,2022 - 2023,0.53
,Chamarajanagar,2000 - 2001,0.45
,,2001 - 2002,0.53
,,2002 - 2003,0.39
,,2003 - 2004,0.11
,,2004 - 2005,0.25
,,2005 - 2006,0.42
,,2006 - 2007,
,,2007 - 2008,0.21
,,2008 - 2009,0.34
,,2009 - 2010,0.42
,,2010 - 2011,0.47
,,2011 - 2012,0.69
,,2012 - 2013,0.33
,,2013 - 2014,0.54
,,2014 - 2015,0.53
,,2015 - 2016,0.71
,,2016 - 2017,
,,2017 - 2018,0.8
,,2018 - 2019,0.47
,,2019 - 2020,0.82
,,2020 - 2021,0.81
,,2021 - 2022,0.61
,,2022 - 2023,0.8
,Chikballapur,2007 - 2008,0.51
,,2008 - 2009,0.64
,,2009 - 2010,0.33
,,2010 - 2011,0.58
,,2011 - 2012,0.74
,,2012 - 2013,0.39
,,2013 - 2014,0.53
,,2014 - 2015,0.42
,,2015 - 2016,0.35
,,2016 - 2017,0.37
,,2017 - 2018,0.79
,,2018 - 2019,0.29
,,2019 - 2020,0.87
,,2020 - 2021,0.83
,,2021 - 2022,0.66
,,2022 - 2023,0.76
,Chikmagalur,2000 - 2001,0.49
,,2001 - 2002,0.37
,,2002 - 2003,0.55
,,2003 - 2004,0.42
,,2004 - 2005,0.61
,,2005 - 2006,0.57
,,2006 - 2007,0.46
,,2007 - 2008,0.6
,,2008 - 2009,0.65
,,2009 - 2010,0.73
,,2010 - 2011,0.64
,,2011 - 2012,0.52
,,2012 - 2013,0.46
,,2013 - 2014,0.49
,,2014 - 2015,0.57
,,2015 - 2016,0.6
,,2016 - 2017,0.32
,,2017 - 2018,0.77
,,2018 - 2019,0.76
,,2019 - 2020,1.0
,,2020 - 2021,0.69
,,2021 - 2022,0.62
,,2022 - 2023,0.89
,Chitradurga,2000 - 2001,0.59
,,2001 - 2002,0.59
,,2002 - 2003,0.49
,,2003 - 2004,0.54
,,2004 - 2005,1.11
,,2005 - 2006,1.03
,,2006 - 2007,0.59
,,2007 - 2008,0.65
,,2008 - 2009,0.51
,,2009 - 2010,0.54
,,2010 - 2011,0.76
,,2011 - 2012,0.44
,,2012 - 2013,0.54
,,2013 - 2014,0.44
,,2014 - 2015,0.4
,,2015 - 2016,0.38
,,2016 - 2017,0.26
,,2017 - 2018,0.91
,,2018 - 2019,0.6
,,2019 - 2020,0.93
,,2020 - 2021,0.82
,,2021 - 2022,0.71
,,2022 - 2023,0.6
,Dakshin kannad,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,Davangere,2000 - 2001,1.27
,,2001 - 2002,0.58
,,2002 - 2003,0.79
,,2003 - 2004,0.52
,,2004 - 2005,0.94
,,2005 - 2006,1.44
,,2006 - 2007,0.54
,,2007 - 2008,1.15
,,2008 - 2009,0.64
,,2009 - 2010,0.84
,,2010 - 2011,1.26
,,2011 - 2012,0.9
,,2012 - 2013,0.91
,,2013 - 2014,1.89
,,2014 - 2015,0.99
,,2015 - 2016,1.01
,,2016 - 2017,5.26
,,2017 - 2018,0.72
,,2018 - 2019,0.71
,,2019 - 2020,0.33
,,2020 - 2021,0.65
,,2021 - 2022,0.54
,,2022 - 2023,0.29
,Dharwad,2000 - 2001,1.27
,,2001 - 2002,0.18
,,2002 - 2003,0.78
,,2003 - 2004,0.11
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.36
,,2007 - 2008,0.83
,,2008 - 2009,0.45
,,2009 - 2010,0.53
,,2010 - 2011,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.4
,,2013 - 2014,0.5
,,2014 - 2015,0.47
,,2015 - 2016,0.44
,,2016 - 2017,0.28
,,2017 - 2018,0.71
,,2018 - 2019,0.42
,,2019 - 2020,0.76
,,2020 - 2021,0.66
,,2021 - 2022,0.64
,,2022 - 2023,0.63
,Gadag,2000 - 2001,0.57
,,2001 - 2002,0.53
,,2002 - 2003,0.39
,,2003 - 2004,0.35
,,2004 - 2005,0.52
,,2005 - 2006,0.59
,,2006 - 2007,0.26
,,2007 - 2008,0.4
,,2008 - 2009,0.59
,,2009 - 2010,0.24
,,2010 - 2011,0.63
,,2011 - 2012,0.49
,,2012 - 2013,0.24
,,2013 - 2014,0.31
,,2014 - 2015,0.49
,,2015 - 2016,0.18
,,2016 - 2017,0.29
,,2017 - 2018,0.33
,,2018 - 2019,0.15
,,2019 - 2020,0.47
,,2020 - 2021,0.39
,,2021 - 2022,0.62
,,2022 - 2023,0.64
,Gulbarga,2000 - 2001,0.23
,,2001 - 2002,0.53
,,2002 - 2003,0.25
,,2003 - 2004,0.26
,,2004 - 2005,0.24
,,2005 - 2006,0.57
,,2006 - 2007,0.36
,,2007 - 2008,0.51
,,2008 - 2009,0.45
,,2009 - 2010,0.53
,,2010 - 2011,0.57
,,2011 - 2012,0.55
,,2012 - 2013,0.41
,,2013 - 2014,0.5
,,2014 - 2015,0.47
,,2015 - 2016,0.46
,,2016 - 2017,0.3
,,2017 - 2018,0.69
,,2018 - 2019,0.41
,,2019 - 2020,0.76
,,2020 - 2021,0.66
,,2021 - 2022,0.63
