state,district,year,small_millets_rabi_yield_tonne_per_hectare
Puducherry,Pondicherry,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Punjab,Bathinda,2022 - 2023,
,Mansa,2022 - 2023,
Rajasthan,Ajmer,2000 - 2001,
,,2001 - 2002,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,Alwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,Banswara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Baran,2000 - 2001,
,Barmer,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,0.67
,,2006 - 2007,
,,2015 - 2016,1.0
,Bharatpur,2000 - 2001,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,Bhilwara,2016 - 2017,
,,2020 - 2021,2.0
,,2021 - 2022,1.33
,Bikaner,2001 - 2002,
,,2019 - 2020,0.88
,Chittorgarh,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2006 - 2007,
,,2007 - 2008,
,Dausa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,Dungarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ganganagar,2002 - 2003,
,,2003 - 2004,
,,2009 - 2010,0.0
,Jaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2009 - 2010,
,,2012 - 2013,0.0
,,2016 - 2017,
,,2018 - 2019,1.0
,Jalore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,0.15
,,2005 - 2006,1.5
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.11
,,2009 - 2010,1.1
,,2010 - 2011,0.9
,,2011 - 2012,0.61
,,2012 - 2013,1.4
,,2013 - 2014,1.4
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,0.71
,,2017 - 2018,1.09
,,2018 - 2019,1.85
,,2019 - 2020,1.09
,,2020 - 2021,1.23
,,2021 - 2022,1.32
,,2022 - 2023,1.02
,Jhunjhunu,2013 - 2014,5.0
,Jodhpur,2007 - 2008,0.33
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2011 - 2012,0.5
,Karauli,2001 - 2002,
,Kota,2013 - 2014,0.67
,Nagaur,2021 - 2022,1.61
,Pali,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2021 - 2022,
,Pratapgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,0.0
,,2013 - 2014,
,,2015 - 2016,
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2021 - 2022,0.0
,Rajsamand,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,Sirohi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,0.98
,,2006 - 2007,
,,2007 - 2008,0.5
,,2008 - 2009,0.9
,,2009 - 2010,0.9
,,2010 - 2011,0.9
,,2011 - 2012,0.47
,,2012 - 2013,1.5
,,2013 - 2014,1.5
,,2014 - 2015,
,,2015 - 2016,1.5
,,2016 - 2017,1.5
,,2017 - 2018,1.44
,,2018 - 2019,1.5
,,2019 - 2020,1.48
,,2020 - 2021,1.5
,,2021 - 2022,1.5
,,2022 - 2023,1.9
,Tonk,2009 - 2010,
,,2018 - 2019,0.25
,,2019 - 2020,
,,2022 - 2023,
,Udaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,1.0
,,2005 - 2006,1.18
,,2006 - 2007,
,,2007 - 2008,2.0
,,2008 - 2009,2.0
,,2009 - 2010,0.0
,,2010 - 2011,0.83
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Sikkim,Gangtok,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Geyzing,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mangan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Namchi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pakyong,2022 - 2023,
,Soreng,2022 - 2023,
Tamil Nadu,Ariyalur,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,3.85
,,2015 - 2016,2.75
,,2016 - 2017,1.27
,,2017 - 2018,2.94
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.53
,,2021 - 2022,1.63
,,2022 - 2023,2.0
,Chengalpattu,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Coimbatore,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,
,Cuddalore,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,2.33
,,2015 - 2016,1.63
,,2016 - 2017,0.8
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.9
,,2021 - 2022,1.0
,,2022 - 2023,0.76
,Dharmapuri,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,1.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dindigul,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.89
,,2015 - 2016,1.44
,,2016 - 2017,0.88
,,2017 - 2018,1.0
,,2018 - 2019,1.83
,,2019 - 2020,
,,2020 - 2021,1.17
,,2021 - 2022,1.33
,,2022 - 2023,1.67
,Erode,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.33
,,2021 - 2022,1.33
,,2022 - 2023,1.0
,Kallakurichi,2019 - 2020,
,,2020 - 2021,1.75
,,2021 - 2022,1.2
,,2022 - 2023,1.25
,Kanchipuram,2013 - 2014,
,,2017 - 2018,0.0
,,2021 - 2022,
,,2022 - 2023,
,Karur,2003 - 2004,
,,2004 - 2005,
,,2008 - 2009,
,,2009 - 2010,
,,2013 - 2014,
,,2014 - 2015,1.81
,,2015 - 2016,1.5
,,2016 - 2017,0.5
,,2017 - 2018,2.0
,Krishnagiri,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.18
,,2016 - 2017,1.0
,,2017 - 2018,1.08
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.93
,,2022 - 2023,1.24
,Madurai,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,2.0
,,2015 - 2016,1.0
,,2016 - 2017,0.24
,,2017 - 2018,0.82
,,2018 - 2019,1.5
,,2019 - 2020,
,,2020 - 2021,1.19
,,2021 - 2022,1.54
,,2022 - 2023,1.8
,Nagapattinam,2008 - 2009,
,,2013 - 2014,
,Namakkal,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.46
,,2015 - 2016,1.38
,,2016 - 2017,1.05
,,2017 - 2018,1.1
,,2018 - 2019,1.66
,,2019 - 2020,
,,2020 - 2021,1.33
,,2021 - 2022,1.3
,,2022 - 2023,1.07
,Perambalur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,0.67
,,2017 - 2018,3.0
,,2018 - 2019,1.83
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.11
,,2022 - 2023,2.0
,Pudukkottai,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,0.0
,,2018 - 2019,2.0
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,2.0
,Ramanathapuram,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,2.0
,,2015 - 2016,1.63
,,2016 - 2017,0.81
,,2017 - 2018,1.92
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,1.23
,,2021 - 2022,1.45
,,2022 - 2023,1.67
,Salem,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.5
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,1.18
,,2018 - 2019,1.49
,,2019 - 2020,
,,2020 - 2021,1.55
,,2021 - 2022,1.33
,,2022 - 2023,1.31
,Sivaganga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,2.09
,,2015 - 2016,2.0
,,2016 - 2017,0.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2020 - 2021,1.33
,,2021 - 2022,1.78
,,2022 - 2023,1.89
,Thanjavur,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2011 - 2012,
,,2017 - 2018,0.0
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,The nilgiris,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2016 - 2017,
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,
,Theni,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.33
,,2015 - 2016,1.33
,,2016 - 2017,0.89
,,2017 - 2018,1.04
,,2018 - 2019,1.7
,,2019 - 2020,
,,2020 - 2021,1.53
,,2021 - 2022,1.39
,,2022 - 2023,1.22
,Thiruvallur,2003 - 2004,
,,2004 - 2005,
,,2015 - 2016,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.6
,Thiruvarur,2003 - 2004,
,,2005 - 2006,
,,2008 - 2009,
,,2022 - 2023,2.0
,Thoothukudi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.5
,,2015 - 2016,1.75
,,2016 - 2017,0.86
,,2017 - 2018,1.69
,,2018 - 2019,1.5
,,2019 - 2020,
,,2020 - 2021,1.4
,,2021 - 2022,1.0
,,2022 - 2023,0.5
,Tiruchirappalli,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.2
,,2021 - 2022,1.5
,,2022 - 2023,2.0
,Tirunelveli,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,2.0
,,2015 - 2016,1.48
,,2017 - 2018,1.0
,,2019 - 2020,
,Tirupathur,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruppur,2016 - 2017,1.0
,,2017 - 2018,1.0
,Tiruvannamalai,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,2.13
,,2015 - 2016,1.9
,,2016 - 2017,
,,2017 - 2018,0.69
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,1.33
,,2021 - 2022,
,,2022 - 2023,2.0
,Vellore,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,1.0
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,0.91
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Villupuram,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.15
,,2015 - 2016,1.33
,,2016 - 2017,0.59
,,2017 - 2018,0.59
,,2018 - 2019,1.25
,,2019 - 2020,
,,2020 - 2021,1.29
,,2021 - 2022,1.57
,,2022 - 2023,0.75
,Virudhunagar,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,1.88
,,2015 - 2016,1.64
,,2016 - 2017,0.24
,,2017 - 2018,1.62
,,2018 - 2019,1.84
,,2019 - 2020,
,,2020 - 2021,1.25
,,2021 - 2022,1.57
,,2022 - 2023,1.63
Telangana,Adilabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2016 - 2017,1.0
,,2019 - 2020,
,Bhadradri,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,1.0
,Jangoan,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,Jayashankar,2019 - 2020,
,,2022 - 2023,1.0
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.5
,,2020 - 2021,0.39
,,2021 - 2022,0.72
,,2022 - 2023,1.04
,Kamareddy,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Karimnagar,2019 - 2020,
,,2020 - 2021,
,Khammam,2000 - 2001,
,,2003 - 2004,0.69
,,2004 - 2005,0.3
,,2006 - 2007,0.52
,,2019 - 2020,2.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,Komaram bheem asifabad,2019 - 2020,
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Mahabubabad,2021 - 2022,0.5
,Mahbubnagar,2000 - 2001,0.51
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,0.8
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.0
,Mancherial,2019 - 2020,
,Medak,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,0.0
,,2003 - 2004,
,,2005 - 2006,
,,2006 - 2007,
,,2015 - 2016,
,,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Medchal,2020 - 2021,
,,2021 - 2022,0.5
,Nagarkurnool,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.0
,,2020 - 2021,1.0
,,2021 - 2022,0.5
,,2022 - 2023,
,Nalgonda,2003 - 2004,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Narayanapet,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Nirmal,2019 - 2020,
,,2020 - 2021,1.0
,Nizamabad,2000 - 2001,
,,2003 - 2004,0.57
,,2019 - 2020,
,,2020 - 2021,
,Peddapalli,2019 - 2020,
,Rajanna,2020 - 2021,1.0
,Rangareddi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Sangareddy,2018 - 2019,1.0
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2020 - 2021,
,Suryapet,2018 - 2019,1.0
,,2019 - 2020,
,,2022 - 2023,1.0
,Vikarabad,2020 - 2021,
,,2021 - 2022,0.75
,,2022 - 2023,
,Wanaparthy,2016 - 2017,
,,2019 - 2020,
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Warangal,2019 - 2020,
,,2020 - 2021,
,Warangal urban,2019 - 2020,
,,2021 - 2022,
,Yadadri,2018 - 2019,1.0
,,2019 - 2020,1.8
,,2020 - 2021,
Tripura,Dhalai,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.85
,,2021 - 2022,0.86
,,2022 - 2023,
,Gomati,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.85
,,2021 - 2022,0.85
,,2022 - 2023,
,Khowai,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.85
,,2021 - 2022,0.83
,,2022 - 2023,
,North tripura,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.88
,,2021 - 2022,0.86
,,2022 - 2023,
,Sepahijala,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.86
,,2022 - 2023,
,South tripura,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.82
,,2021 - 2022,0.83
,,2022 - 2023,
,Unakoti,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.86
,,2021 - 2022,0.87
,,2022 - 2023,
,West tripura,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.86
,,2021 - 2022,0.85
,,2022 - 2023,
Uttar Pradesh,Allahabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ambedkar nagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,Amethi,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Auraiya,2001 - 2002,
,Azamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Baghpat,2002 - 2003,
,Bahraich,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ballia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Balrampur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2022 - 2023,
,Banda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Barabanki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Bareilly,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,Basti,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,Bijnor,2004 - 2005,
,,2005 - 2006,
,Budaun,2000 - 2001,
,Bulandshahr,2022 - 2023,
