state,district,year,garlic_whole_year_yield_tonne_per_hectare
,Kaimur (bhabua),2000 - 2001,1.0
,,2002 - 2003,1.5
,,2003 - 2004,1.56
,,2008 - 2009,1.5
,,2016 - 2017,1.71
,,2017 - 2018,1.73
,,2018 - 2019,1.73
,,2019 - 2020,1.73
,,2020 - 2021,1.71
,,2021 - 2022,1.57
,,2022 - 2023,1.69
,Katihar,2000 - 2001,1.25
,,2001 - 2002,1.48
,,2002 - 2003,1.47
,,2003 - 2004,1.5
,,2004 - 2005,1.51
,,2005 - 2006,1.47
,,2007 - 2008,1.39
,,2008 - 2009,1.39
,,2016 - 2017,1.39
,,2017 - 2018,1.4
,,2018 - 2019,1.41
,,2019 - 2020,1.4
,,2020 - 2021,1.66
,,2021 - 2022,1.56
,,2022 - 2023,1.66
,Khagaria,2000 - 2001,1.43
,,2001 - 2002,1.45
,,2002 - 2003,1.48
,,2003 - 2004,1.51
,,2004 - 2005,1.5
,,2005 - 2006,1.48
,,2007 - 2008,1.45
,,2008 - 2009,1.59
,,2016 - 2017,1.5
,,2017 - 2018,1.52
,,2018 - 2019,1.5
,,2019 - 2020,1.48
,,2020 - 2021,2.24
,,2021 - 2022,1.46
,,2022 - 2023,2.03
,Kishanganj,2000 - 2001,1.23
,,2001 - 2002,1.47
,,2002 - 2003,1.48
,,2003 - 2004,1.51
,,2004 - 2005,1.51
,,2005 - 2006,1.48
,,2007 - 2008,1.39
,,2008 - 2009,1.38
,,2016 - 2017,1.41
,,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2019 - 2020,1.4
,,2020 - 2021,1.66
,,2021 - 2022,1.56
,,2022 - 2023,1.54
,Lakhisarai,2021 - 2022,1.48
,,2022 - 2023,1.46
,Madhepura,2000 - 2001,1.51
,,2002 - 2003,1.5
,,2003 - 2004,0.17
,,2004 - 2005,1.48
,,2005 - 2006,1.48
,,2007 - 2008,1.49
,,2008 - 2009,1.49
,,2016 - 2017,1.57
,,2017 - 2018,1.47
,,2018 - 2019,1.49
,,2019 - 2020,1.51
,,2020 - 2021,1.66
,,2021 - 2022,1.57
,,2022 - 2023,1.62
,Madhubani,2000 - 2001,1.5
,,2001 - 2002,1.46
,,2002 - 2003,1.46
,,2003 - 2004,1.53
,,2004 - 2005,1.5
,,2005 - 2006,1.5
,,2007 - 2008,1.45
,,2008 - 2009,1.59
,,2016 - 2017,1.54
,,2017 - 2018,1.53
,,2018 - 2019,1.55
,,2019 - 2020,1.55
,,2020 - 2021,1.52
,,2021 - 2022,1.55
,,2022 - 2023,1.55
,Muzaffarpur,2000 - 2001,1.52
,,2001 - 2002,1.51
,,2002 - 2003,1.47
,,2003 - 2004,1.51
,,2004 - 2005,1.51
,,2005 - 2006,1.47
,,2007 - 2008,1.45
,,2008 - 2009,1.76
,,2016 - 2017,1.51
,,2017 - 2018,1.52
,,2018 - 2019,1.54
,,2019 - 2020,1.51
,,2020 - 2021,1.53
,,2021 - 2022,1.56
,,2022 - 2023,1.53
,Nalanda,2000 - 2001,1.24
,,2001 - 2002,1.44
,,2002 - 2003,1.5
,,2003 - 2004,1.33
,,2004 - 2005,1.67
,,2005 - 2006,1.5
,,2007 - 2008,1.33
,,2008 - 2009,1.5
,,2016 - 2017,1.59
,,2017 - 2018,1.55
,,2018 - 2019,1.56
,,2019 - 2020,1.57
,,2020 - 2021,1.57
,,2021 - 2022,1.56
,,2022 - 2023,1.56
,Nawada,2000 - 2001,1.47
,,2001 - 2002,1.5
,,2002 - 2003,1.5
,,2003 - 2004,1.45
,,2004 - 2005,1.5
,,2005 - 2006,1.47
,,2007 - 2008,1.5
,,2008 - 2009,1.56
,Pashchim champaran,2000 - 2001,1.51
,,2001 - 2002,1.51
,,2002 - 2003,1.48
,,2003 - 2004,1.51
,,2004 - 2005,1.51
,,2005 - 2006,1.48
,,2007 - 2008,1.45
,,2008 - 2009,1.76
,,2016 - 2017,1.57
,,2017 - 2018,1.56
,,2018 - 2019,1.57
,,2019 - 2020,1.57
,,2020 - 2021,1.56
,,2021 - 2022,1.57
,,2022 - 2023,1.56
,Patna,2000 - 2001,1.2
,,2001 - 2002,1.5
,,2002 - 2003,1.5
,,2004 - 2005,1.5
,,2005 - 2006,1.5
,,2007 - 2008,1.5
,,2008 - 2009,1.4
,,2016 - 2017,1.5
,,2017 - 2018,1.54
,,2018 - 2019,1.58
,,2019 - 2020,1.57
,,2020 - 2021,1.56
,,2021 - 2022,1.56
,Purbi champaran,2000 - 2001,1.51
,,2001 - 2002,1.51
,,2003 - 2004,1.52
,,2004 - 2005,1.51
,,2005 - 2006,1.48
,,2007 - 2008,1.45
,,2008 - 2009,1.74
,,2016 - 2017,1.58
,,2017 - 2018,1.67
,,2018 - 2019,1.67
,,2019 - 2020,1.67
,,2020 - 2021,1.67
,,2021 - 2022,1.67
,,2022 - 2023,1.67
,Purnia,2000 - 2001,1.24
,,2001 - 2002,1.46
,,2002 - 2003,1.48
,,2003 - 2004,1.51
,,2004 - 2005,1.5
,,2005 - 2006,1.48
,,2007 - 2008,1.43
,,2008 - 2009,1.39
,Rohtas,2000 - 2001,1.24
,,2001 - 2002,1.46
,,2002 - 2003,1.48
,,2003 - 2004,1.57
,,2004 - 2005,1.55
,,2005 - 2006,1.5
,,2016 - 2017,1.38
,,2017 - 2018,1.43
,,2018 - 2019,1.43
,,2019 - 2020,1.43
,Saharsa,2000 - 2001,1.5
,,2002 - 2003,1.46
,,2003 - 2004,1.48
,,2004 - 2005,1.49
,,2005 - 2006,1.45
,,2007 - 2008,1.5
,Samastipur,2000 - 2001,1.49
,,2001 - 2002,1.47
,,2002 - 2003,1.48
,,2003 - 2004,1.5
,,2004 - 2005,1.51
,,2005 - 2006,1.48
,,2007 - 2008,1.45
,,2008 - 2009,1.59
,,2016 - 2017,1.53
,,2017 - 2018,1.53
,,2018 - 2019,1.53
,,2019 - 2020,1.53
,,2020 - 2021,1.53
,,2021 - 2022,1.56
,,2022 - 2023,1.54
,Saran,2000 - 2001,1.0
,,2001 - 2002,0.98
,,2002 - 2003,1.46
,,2003 - 2004,1.51
,,2004 - 2005,1.51
,,2005 - 2006,1.48
,,2007 - 2008,1.44
,,2008 - 2009,1.59
,Sheikhpura,2016 - 2017,1.42
,Sheohar,2000 - 2001,1.52
,,2001 - 2002,1.5
,,2002 - 2003,1.5
,,2003 - 2004,1.5
,,2004 - 2005,1.52
,,2005 - 2006,1.46
,,2007 - 2008,1.47
,,2016 - 2017,1.47
,,2017 - 2018,1.48
,,2018 - 2019,1.46
,,2019 - 2020,1.46
,,2020 - 2021,1.47
,,2021 - 2022,1.56
,,2022 - 2023,1.51
,Sitamarhi,2000 - 2001,1.51
,,2001 - 2002,1.55
,,2002 - 2003,1.45
,,2003 - 2004,1.5
,,2004 - 2005,1.57
,,2005 - 2006,1.5
,,2007 - 2008,1.5
,,2008 - 2009,1.77
,,2016 - 2017,1.53
,,2017 - 2018,1.51
,,2018 - 2019,1.54
,,2019 - 2020,1.53
,,2020 - 2021,1.54
,,2021 - 2022,1.56
,,2022 - 2023,1.55
,Siwan,2000 - 2001,0.98
,,2002 - 2003,1.48
,,2003 - 2004,1.5
,,2004 - 2005,1.5
,,2005 - 2006,1.48
,,2007 - 2008,1.44
,,2008 - 2009,1.59
,,2016 - 2017,1.52
,,2017 - 2018,1.52
,,2018 - 2019,1.52
,,2019 - 2020,1.52
,,2020 - 2021,1.52
,,2021 - 2022,1.64
,,2022 - 2023,1.56
,Supaul,2000 - 2001,1.51
,,2001 - 2002,1.47
,,2002 - 2003,1.48
,,2003 - 2004,1.49
,,2004 - 2005,1.49
,,2005 - 2006,1.49
,,2007 - 2008,1.48
,,2016 - 2017,1.4
,,2017 - 2018,1.41
,,2018 - 2019,1.41
,,2019 - 2020,1.4
,,2020 - 2021,1.66
,,2021 - 2022,1.57
,,2022 - 2023,1.63
,Vaishali,2000 - 2001,1.51
,,2001 - 2002,1.52
,,2002 - 2003,1.47
,,2003 - 2004,1.51
,,2004 - 2005,1.52
,,2005 - 2006,1.47
,,2007 - 2008,1.45
,,2008 - 2009,1.76
,,2016 - 2017,1.48
Chhattisgarh,Baloda bazar,2011 - 2012,2.57
,,2012 - 2013,2.6
,,2013 - 2014,3.0
,,2014 - 2015,2.83
,,2015 - 2016,2.83
,,2016 - 2017,2.57
,,2017 - 2018,2.3
,Balrampur,2011 - 2012,2.95
,,2012 - 2013,2.08
,,2013 - 2014,2.33
,,2014 - 2015,2.33
,,2015 - 2016,2.16
,,2016 - 2017,2.28
,,2017 - 2018,2.33
,,2018 - 2019,2.33
,,2019 - 2020,2.5
,,2020 - 2021,2.51
,,2021 - 2022,2.34
,,2022 - 2023,2.47
,Bastar,2000 - 2001,3.3
,,2001 - 2002,3.5
,,2002 - 2003,3.5
,,2003 - 2004,3.5
,,2004 - 2005,3.45
,,2005 - 2006,3.5
,,2006 - 2007,3.4
,,2007 - 2008,3.5
,,2008 - 2009,3.33
,,2009 - 2010,3.4
,,2010 - 2011,3.5
,,2015 - 2016,3.0
,,2017 - 2018,3.0
,,2018 - 2019,0.0
,Bemetara,2013 - 2014,2.83
,,2014 - 2015,2.92
,,2016 - 2017,2.92
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2021 - 2022,4.0
,Bilaspur,2000 - 2001,3.28
,,2001 - 2002,3.5
,,2002 - 2003,3.2
,,2003 - 2004,3.1
,,2004 - 2005,3.04
,,2005 - 2006,3.23
,,2006 - 2007,3.51
,,2007 - 2008,3.35
,,2008 - 2009,3.51
,,2009 - 2010,3.5
,,2010 - 2011,2.93
,,2011 - 2012,3.5
,,2012 - 2013,3.5
,,2013 - 2014,3.5
,,2015 - 2016,3.5
,,2016 - 2017,3.57
,,2017 - 2018,3.79
,,2018 - 2019,3.79
,Dantewada,2000 - 2001,2.0
,,2001 - 2002,3.0
,,2017 - 2018,3.0
,,2018 - 2019,4.0
,Dhamtari,2000 - 2001,3.0
,,2002 - 2003,3.0
,,2003 - 2004,2.31
,,2004 - 2005,2.0
,,2005 - 2006,2.75
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,2.8
,,2010 - 2011,3.0
,,2011 - 2012,2.67
,,2012 - 2013,3.0
,,2013 - 2014,2.8
,,2015 - 2016,3.0
,,2016 - 2017,3.0
,Durg,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2003 - 2004,3.38
,,2005 - 2006,3.13
,,2009 - 2010,0.0
,,2010 - 2011,3.0
,,2011 - 2012,2.93
,,2012 - 2013,3.0
,Gariyaband,2011 - 2012,2.4
,,2012 - 2013,2.6
,,2013 - 2014,2.67
,,2014 - 2015,2.67
,,2015 - 2016,2.67
,,2016 - 2017,2.78
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,,2020 - 2021,4.0
,Gaurella-pendra-marwahi,2019 - 2020,4.11
,,2020 - 2021,5.0
,,2021 - 2022,4.0
,,2022 - 2023,4.0
,Janjgir-champa,2000 - 2001,3.5
,,2001 - 2002,3.59
,,2002 - 2003,3.57
,,2003 - 2004,3.77
,,2004 - 2005,3.5
,,2005 - 2006,3.38
,,2006 - 2007,3.55
,,2007 - 2008,3.44
,,2008 - 2009,3.33
,,2009 - 2010,3.83
,,2010 - 2011,2.95
,,2011 - 2012,3.52
,,2012 - 2013,3.53
,,2013 - 2014,3.5
,,2014 - 2015,2.94
,,2015 - 2016,3.5
,,2016 - 2017,3.5
,,2017 - 2018,3.5
,,2018 - 2019,3.52
,,2019 - 2020,3.5
,,2020 - 2021,3.5
,,2021 - 2022,3.75
,Jashpur,2000 - 2001,2.99
,,2001 - 2002,2.88
,,2002 - 2003,2.94
,,2003 - 2004,2.84
,,2004 - 2005,2.84
,,2005 - 2006,3.04
,,2006 - 2007,2.84
,,2007 - 2008,2.99
,,2008 - 2009,2.85
,,2009 - 2010,2.8
,,2010 - 2011,2.89
,,2011 - 2012,2.89
,,2012 - 2013,2.89
,,2013 - 2014,2.94
,,2014 - 2015,2.89
,,2015 - 2016,2.89
,,2016 - 2017,2.75
,,2017 - 2018,2.85
,,2018 - 2019,2.85
,,2019 - 2020,2.89
,,2020 - 2021,2.79
,,2021 - 2022,2.79
,,2022 - 2023,2.79
,Kabirdham,2010 - 2011,1.27
,,2011 - 2012,2.36
,Kanker,2000 - 2001,2.94
,,2001 - 2002,3.44
,,2002 - 2003,2.75
,,2003 - 2004,3.43
,,2004 - 2005,3.0
,,2005 - 2006,3.4
,,2006 - 2007,3.33
,,2007 - 2008,3.0
,,2008 - 2009,3.0
,,2009 - 2010,3.0
,,2010 - 2011,3.0
,,2011 - 2012,1.94
,,2012 - 2013,2.17
,,2013 - 2014,2.11
,,2014 - 2015,2.22
,,2015 - 2016,2.94
,,2016 - 2017,2.73
,,2017 - 2018,2.75
,,2018 - 2019,2.67
,Khairgarh chhuikhadan gandai,2022 - 2023,4.0
,Kondagaon,2011 - 2012,3.25
,,2012 - 2013,2.5
,,2013 - 2014,3.0
,,2014 - 2015,2.5
,,2015 - 2016,3.0
,,2016 - 2017,3.27
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2019 - 2020,3.0
,Korba,2000 - 2001,3.5
,,2001 - 2002,3.5
,,2002 - 2003,3.53
,,2003 - 2004,3.56
,,2004 - 2005,3.31
,,2005 - 2006,3.2
,,2006 - 2007,3.56
,,2007 - 2008,3.44
,,2008 - 2009,3.12
,,2009 - 2010,2.9
,,2010 - 2011,2.93
,,2011 - 2012,2.94
,,2012 - 2013,2.92
,,2013 - 2014,3.5
,,2014 - 2015,2.93
,,2015 - 2016,2.94
,,2016 - 2017,3.53
,,2017 - 2018,3.54
,,2018 - 2019,3.56
,,2019 - 2020,3.36
,,2020 - 2021,3.63
,,2021 - 2022,3.0
,,2022 - 2023,3.0
,Korea,2000 - 2001,2.69
,,2001 - 2002,2.29
,,2002 - 2003,2.71
,,2003 - 2004,2.56
,,2004 - 2005,2.43
,,2005 - 2006,2.31
,,2006 - 2007,2.4
,,2007 - 2008,2.35
,,2008 - 2009,2.48
,,2009 - 2010,2.33
,,2010 - 2011,1.88
,,2011 - 2012,2.95
,,2012 - 2013,2.41
,,2013 - 2014,2.36
,,2014 - 2015,2.36
,,2015 - 2016,2.08
,,2016 - 2017,2.08
,,2017 - 2018,2.41
,,2018 - 2019,2.42
,,2019 - 2020,2.5
,,2020 - 2021,2.49
,,2021 - 2022,2.25
,,2022 - 2023,2.73
,Mahasamund,2000 - 2001,2.78
,,2001 - 2002,2.35
,,2002 - 2003,2.41
,,2003 - 2004,2.0
,,2004 - 2005,2.77
,,2005 - 2006,2.5
,,2006 - 2007,2.86
,,2008 - 2009,2.4
,,2009 - 2010,2.6
,,2010 - 2011,2.38
,,2011 - 2012,2.6
,,2012 - 2013,2.8
,,2013 - 2014,2.8
,,2014 - 2015,2.83
,,2015 - 2016,2.8
,,2016 - 2017,2.69
,,2018 - 2019,3.0
,,2019 - 2020,2.67
,,2020 - 2021,4.0
,,2022 - 2023,4.0
,Manendragarh chirimiri bharatpur,2022 - 2023,2.75
,Mungeli,2012 - 2013,4.0
,,2013 - 2014,4.0
,,2016 - 2017,4.0
,,2019 - 2020,5.0
,,2020 - 2021,4.0
,,2021 - 2022,4.0
,Raigarh,2000 - 2001,2.75
,,2001 - 2002,2.93
,,2002 - 2003,2.66
,,2003 - 2004,2.93
,,2004 - 2005,2.61
,,2005 - 2006,2.89
,,2006 - 2007,2.89
,,2007 - 2008,2.89
,,2008 - 2009,2.9
,,2009 - 2010,2.89
,,2010 - 2011,2.89
,,2011 - 2012,2.89
,,2012 - 2013,2.9
,,2013 - 2014,3.13
,,2014 - 2015,2.99
,,2015 - 2016,2.98
,,2016 - 2017,2.9
,,2017 - 2018,3.04
,,2018 - 2019,3.03
,,2020 - 2021,2.89
,,2021 - 2022,2.66
,,2022 - 2023,2.65
,Raipur,2000 - 2001,2.8
,,2001 - 2002,2.88
,,2002 - 2003,2.9
,,2003 - 2004,3.0
,,2004 - 2005,2.67
,,2005 - 2006,2.78
,,2006 - 2007,2.8
,,2007 - 2008,2.75
,,2008 - 2009,2.77
,,2009 - 2010,2.33
,,2010 - 2011,2.43
,,2019 - 2020,4.0
,,2020 - 2021,3.0
,Rajnandgaon,2001 - 2002,2.81
,,2002 - 2003,2.88
,,2003 - 2004,3.0
,,2004 - 2005,3.63
,,2005 - 2006,3.0
,,2006 - 2007,2.69
,,2007 - 2008,2.67
,,2008 - 2009,3.0
,,2009 - 2010,2.83
,,2010 - 2011,2.88
,,2011 - 2012,2.8
,,2012 - 2013,2.67
,,2013 - 2014,3.0
,,2014 - 2015,3.0
,,2016 - 2017,3.0
,,2017 - 2018,3.0
,,2018 - 2019,3.0
,,2021 - 2022,4.0
,Sakti,2022 - 2023,3.6
,Sarangarh bilaigarh,2022 - 2023,4.0
,Sukma,2015 - 2016,3.0
,,2017 - 2018,3.0
,,2020 - 2021,4.0
,Surajpur,2011 - 2012,2.95
,,2012 - 2013,2.5
,,2013 - 2014,2.49
,,2014 - 2015,2.62
,,2015 - 2016,2.54
,,2016 - 2017,2.29
,,2017 - 2018,2.99
,,2018 - 2019,2.99
,,2019 - 2020,2.49
,,2020 - 2021,2.71
,,2021 - 2022,2.71
,,2022 - 2023,3.0
,Surguja,2000 - 2001,2.78
,,2001 - 2002,2.7
,,2002 - 2003,2.7
,,2003 - 2004,2.74
,,2004 - 2005,2.58
,,2005 - 2006,2.7
,,2006 - 2007,2.91
,,2007 - 2008,2.7
,,2008 - 2009,2.24
,,2009 - 2010,2.33
,,2010 - 2011,2.08
,,2011 - 2012,2.95
,,2012 - 2013,2.95
,,2013 - 2014,2.57
,,2014 - 2015,2.62
,,2015 - 2016,2.62
,,2016 - 2017,2.41
,,2017 - 2018,2.78
,,2018 - 2019,2.79
,,2019 - 2020,2.5
,,2020 - 2021,2.52
,,2021 - 2022,2.51
,,2022 - 2023,2.64
Gujarat,Ahmadabad,2010 - 2011,5.5
,,2016 - 2017,5.13
,,2017 - 2018,7.0
,,2020 - 2021,8.0
,,2021 - 2022,7.23
,Amreli,2000 - 2001,2.0
,,2001 - 2002,6.0
,,2002 - 2003,5.4
,,2003 - 2004,7.2
,,2004 - 2005,5.18
,,2005 - 2006,6.68
,,2006 - 2007,6.31
,,2007 - 2008,5.98
,,2008 - 2009,5.08
,,2009 - 2010,5.45
,,2010 - 2011,5.73
,,2011 - 2012,6.1
,,2012 - 2013,4.86
,,2013 - 2014,4.97
,,2014 - 2015,5.53
,,2015 - 2016,4.12
,,2016 - 2017,6.21
,,2017 - 2018,4.34
,,2018 - 2019,10.79
,,2019 - 2020,7.9
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Anand,2003 - 2004,9.5
,,2004 - 2005,4.8
,,2005 - 2006,6.5
,,2006 - 2007,5.0
,,2007 - 2008,7.0
,,2008 - 2009,5.5
,,2009 - 2010,4.0
,,2010 - 2011,6.0
,,2011 - 2012,6.5
,,2012 - 2013,6.0
,,2013 - 2014,6.17
,,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,Aravalli,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,6.96
,,2018 - 2019,6.81
,,2019 - 2020,7.18
,,2020 - 2021,8.0
,,2021 - 2022,7.24
,,2022 - 2023,7.0
,Banas kantha,2000 - 2001,3.0
,,2001 - 2002,3.0
,,2002 - 2003,3.0
,,2007 - 2008,4.0
,,2008 - 2009,4.0
,,2009 - 2010,6.5
,,2011 - 2012,2.0
,,2013 - 2014,6.13
,,2014 - 2015,6.0
,,2018 - 2019,6.81
,,2019 - 2020,7.18
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Bharuch,2012 - 2013,2.0
,Bhavnagar,2001 - 2002,6.5
,,2002 - 2003,5.2
,,2003 - 2004,6.0
,,2005 - 2006,4.0
,,2006 - 2007,6.33
,,2007 - 2008,5.5
,,2008 - 2009,5.0
,,2010 - 2011,6.2
,,2011 - 2012,6.75
,,2012 - 2013,2.0
,,2013 - 2014,6.17
,,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,6.95
,,2018 - 2019,6.82
,,2019 - 2020,7.18
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Botad,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,8.7
,,2018 - 2019,6.68
,,2019 - 2020,6.37
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Chhotaudepur,2014 - 2015,5.8
,,2015 - 2016,5.56
,Dang,2006 - 2007,8.0
,,2007 - 2008,9.0
,,2008 - 2009,5.0
,,2009 - 2010,6.5
,,2010 - 2011,5.0
,,2011 - 2012,5.75
,,2012 - 2013,4.0
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Devbhumi dwarka,2014 - 2015,8.64
,,2016 - 2017,1.09
,,2017 - 2018,6.95
,,2018 - 2019,7.0
,,2019 - 2020,7.2
,Dohad,2003 - 2004,8.0
,,2004 - 2005,5.0
,,2005 - 2006,10.0
,,2006 - 2007,6.0
,,2007 - 2008,6.38
,,2008 - 2009,4.0
,,2010 - 2011,6.0
,,2011 - 2012,6.25
,,2012 - 2013,4.91
,,2013 - 2014,6.17
,,2014 - 2015,5.85
,,2015 - 2016,5.57
,,2016 - 2017,5.11
,,2017 - 2018,6.95
,,2018 - 2019,6.81
,,2019 - 2020,7.18
,,2020 - 2021,8.02
,,2021 - 2022,7.24
,,2022 - 2023,6.98
,Gandhinagar,2021 - 2022,7.0
,Gir somnath,2014 - 2015,5.8
,,2016 - 2017,5.1
,,2017 - 2018,6.96
,,2018 - 2019,7.0
,,2019 - 2020,7.15
,,2020 - 2021,6.94
,,2021 - 2022,5.88
,,2022 - 2023,7.63
,Jamnagar,2000 - 2001,5.71
,,2001 - 2002,7.62
,,2002 - 2003,8.0
,,2003 - 2004,8.0
,,2004 - 2005,6.75
,,2005 - 2006,5.57
,,2006 - 2007,5.9
,,2007 - 2008,6.66
,,2008 - 2009,5.17
,,2009 - 2010,5.86
,,2010 - 2011,5.93
,,2011 - 2012,6.01
,,2012 - 2013,4.11
,,2013 - 2014,5.72
,,2014 - 2015,4.77
,,2015 - 2016,5.34
,,2016 - 2017,4.7
,,2017 - 2018,4.88
,,2018 - 2019,4.04
,,2019 - 2020,5.84
,,2020 - 2021,8.02
,,2021 - 2022,5.66
,,2022 - 2023,6.98
,Junagadh,2000 - 2001,4.5
,,2001 - 2002,5.22
,,2002 - 2003,4.4
,,2003 - 2004,5.3
,,2004 - 2005,5.52
,,2005 - 2006,9.68
,,2006 - 2007,7.79
,,2007 - 2008,7.69
,,2008 - 2009,5.97
,,2009 - 2010,6.41
,,2010 - 2011,5.95
,,2011 - 2012,6.01
,,2012 - 2013,5.67
,,2013 - 2014,7.52
,,2014 - 2015,6.03
,,2015 - 2016,4.81
,,2016 - 2017,4.09
,,2017 - 2018,6.88
,,2018 - 2019,7.2
,,2019 - 2020,7.27
,,2020 - 2021,5.98
,,2021 - 2022,7.11
,,2022 - 2023,7.17
,Kachchh,2001 - 2002,7.5
,,2002 - 2003,5.0
,,2003 - 2004,7.33
,,2004 - 2005,4.33
,,2005 - 2006,7.0
,,2006 - 2007,6.2
,,2007 - 2008,6.0
,,2008 - 2009,5.5
,,2009 - 2010,5.25
,,2010 - 2011,5.6
,,2011 - 2012,6.2
,,2012 - 2013,5.67
,,2013 - 2014,6.17
,,2014 - 2015,5.84
,,2015 - 2016,5.57
,,2016 - 2017,5.12
,,2017 - 2018,6.95
,,2019 - 2020,7.18
