state,district,year,barley_rabi_yield_tonne_per_hectare
,,2007 - 2008,1.46
,,2008 - 2009,1.28
,,2009 - 2010,1.61
,,2010 - 2011,1.51
,,2011 - 2012,1.58
,,2012 - 2013,1.52
,,2013 - 2014,1.05
,,2014 - 2015,0.94
,,2015 - 2016,1.32
,,2016 - 2017,1.45
,,2017 - 2018,2.01
,,2018 - 2019,2.86
,,2019 - 2020,1.69
,,2020 - 2021,2.15
,,2021 - 2022,2.36
,,2022 - 2023,2.08
,Buxar,2000 - 2001,1.63
,,2001 - 2002,1.86
,,2002 - 2003,1.42
,,2003 - 2004,1.42
,,2004 - 2005,1.26
,,2005 - 2006,0.96
,,2006 - 2007,1.13
,,2007 - 2008,1.91
,,2008 - 2009,1.8
,,2009 - 2010,1.19
,,2010 - 2011,1.64
,,2011 - 2012,1.81
,,2012 - 2013,1.33
,,2013 - 2014,1.47
,,2014 - 2015,0.9
,,2015 - 2016,1.27
,,2016 - 2017,2.08
,,2017 - 2018,1.86
,,2018 - 2019,2.22
,,2019 - 2020,1.43
,,2020 - 2021,2.29
,,2021 - 2022,2.43
,,2022 - 2023,2.45
,Darbhanga,2000 - 2001,1.17
,,2001 - 2002,1.25
,,2002 - 2003,0.68
,,2003 - 2004,1.12
,,2004 - 2005,1.06
,,2005 - 2006,1.03
,,2006 - 2007,1.07
,,2007 - 2008,1.2
,,2008 - 2009,1.08
,,2009 - 2010,1.13
,,2010 - 2011,1.36
,,2011 - 2012,1.58
,,2012 - 2013,1.46
,,2013 - 2014,1.5
,,2014 - 2015,1.0
,,2015 - 2016,1.25
,,2016 - 2017,1.53
,,2017 - 2018,1.6
,,2018 - 2019,2.0
,Gaya,2000 - 2001,1.14
,,2001 - 2002,1.34
,,2002 - 2003,0.74
,,2003 - 2004,1.03
,,2004 - 2005,0.77
,,2005 - 2006,0.85
,,2006 - 2007,1.37
,,2007 - 2008,0.96
,,2008 - 2009,0.84
,,2009 - 2010,0.98
,,2010 - 2011,1.15
,,2011 - 2012,1.14
,,2012 - 2013,1.87
,,2013 - 2014,0.93
,,2014 - 2015,1.04
,,2015 - 2016,1.32
,,2016 - 2017,1.52
,,2017 - 2018,1.36
,,2018 - 2019,1.24
,,2019 - 2020,2.22
,,2020 - 2021,1.15
,,2021 - 2022,1.28
,,2022 - 2023,1.27
,Gopalganj,2000 - 2001,1.68
,,2001 - 2002,1.07
,,2002 - 2003,1.21
,,2003 - 2004,1.69
,,2004 - 2005,1.49
,,2005 - 2006,1.52
,,2006 - 2007,1.06
,,2007 - 2008,1.47
,,2008 - 2009,1.1
,,2009 - 2010,1.13
,,2010 - 2011,1.32
,,2011 - 2012,1.53
,,2022 - 2023,1.73
,Jamui,2000 - 2001,0.95
,,2001 - 2002,0.6
,,2002 - 2003,0.87
,,2003 - 2004,0.88
,,2004 - 2005,1.05
,,2005 - 2006,0.86
,,2006 - 2007,1.53
,,2007 - 2008,1.14
,,2008 - 2009,0.66
,,2009 - 2010,0.79
,,2010 - 2011,0.92
,,2011 - 2012,0.69
,,2012 - 2013,1.47
,,2013 - 2014,1.41
,,2014 - 2015,1.11
,,2015 - 2016,1.3
,,2016 - 2017,1.5
,,2017 - 2018,1.59
,,2018 - 2019,1.99
,,2019 - 2020,1.37
,,2020 - 2021,1.18
,,2021 - 2022,0.85
,,2022 - 2023,1.73
,Jehanabad,2000 - 2001,1.09
,,2001 - 2002,1.15
,,2002 - 2003,0.92
,,2003 - 2004,1.03
,,2004 - 2005,0.59
,,2005 - 2006,0.86
,,2006 - 2007,1.19
,,2007 - 2008,1.03
,,2008 - 2009,0.73
,,2009 - 2010,8.05
,,2010 - 2011,0.91
,,2011 - 2012,0.91
,,2012 - 2013,1.34
,,2013 - 2014,1.13
,,2014 - 2015,1.11
,,2015 - 2016,1.26
,,2016 - 2017,1.35
,,2017 - 2018,1.74
,,2018 - 2019,1.38
,,2019 - 2020,1.29
,,2020 - 2021,1.34
,,2021 - 2022,1.56
,,2022 - 2023,1.12
,Kaimur (bhabua),2000 - 2001,1.04
,,2001 - 2002,1.14
,,2002 - 2003,1.54
,,2003 - 2004,1.29
,,2004 - 2005,1.01
,,2005 - 2006,1.17
,,2006 - 2007,1.54
,,2007 - 2008,1.1
,,2008 - 2009,0.91
,,2009 - 2010,0.95
,,2010 - 2011,1.16
,,2011 - 2012,1.24
,,2012 - 2013,1.45
,,2013 - 2014,1.53
,,2014 - 2015,1.01
,,2015 - 2016,1.52
,,2016 - 2017,1.33
,,2017 - 2018,1.17
,,2018 - 2019,1.55
,,2019 - 2020,1.45
,,2020 - 2021,1.33
,,2021 - 2022,1.73
,,2022 - 2023,1.67
,Katihar,2000 - 2001,1.17
,,2001 - 2002,1.25
,,2002 - 2003,1.16
,,2003 - 2004,1.12
,,2004 - 2005,1.05
,,2005 - 2006,1.03
,,2006 - 2007,1.53
,,2007 - 2008,1.21
,,2008 - 2009,1.1
,,2009 - 2010,1.07
,,2010 - 2011,1.32
,,2011 - 2012,1.54
,,2012 - 2013,1.47
,,2013 - 2014,1.4
,,2014 - 2015,1.1
,,2015 - 2016,1.31
,,2016 - 2017,1.51
,,2018 - 2019,1.99
,,2020 - 2021,2.27
,,2021 - 2022,1.78
,,2022 - 2023,2.16
,Khagaria,2000 - 2001,0.95
,,2001 - 2002,0.6
,,2002 - 2003,0.87
,,2003 - 2004,0.89
,,2004 - 2005,1.06
,,2005 - 2006,0.86
,,2006 - 2007,0.77
,,2007 - 2008,1.14
,,2008 - 2009,0.66
,,2009 - 2010,0.79
,,2010 - 2011,0.93
,,2011 - 2012,0.69
,,2012 - 2013,1.47
,,2013 - 2014,1.4
,,2014 - 2015,1.11
,,2015 - 2016,1.3
,,2016 - 2017,1.5
,,2017 - 2018,1.58
,,2018 - 2019,1.98
,,2019 - 2020,1.36
,,2020 - 2021,1.18
,,2021 - 2022,0.86
,,2022 - 2023,1.73
,Kishanganj,2000 - 2001,1.17
,,2002 - 2003,1.15
,,2003 - 2004,1.13
,,2004 - 2005,1.05
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2018 - 2019,2.0
,,2019 - 2020,1.36
,,2020 - 2021,2.28
,,2021 - 2022,1.77
,,2022 - 2023,2.17
,Lakhisarai,2000 - 2001,0.95
,,2002 - 2003,0.87
,,2003 - 2004,0.9
,,2004 - 2005,1.06
,,2005 - 2006,0.86
,,2006 - 2007,1.52
,,2012 - 2013,1.44
,,2021 - 2022,0.88
,,2022 - 2023,1.73
,Madhepura,2000 - 2001,1.19
,,2001 - 2002,1.27
,,2002 - 2003,1.17
,,2004 - 2005,1.0
,,2005 - 2006,1.04
,,2006 - 2007,1.0
,,2007 - 2008,1.2
,,2017 - 2018,1.0
,,2018 - 2019,2.0
,,2019 - 2020,1.5
,,2020 - 2021,2.0
,Madhubani,2000 - 2001,1.17
,,2001 - 2002,1.25
,,2002 - 2003,1.15
,,2003 - 2004,1.12
,,2004 - 2005,1.05
,,2005 - 2006,1.04
,,2006 - 2007,1.07
,,2007 - 2008,1.21
,,2008 - 2009,1.09
,,2009 - 2010,1.13
,,2010 - 2011,1.32
,,2011 - 2012,1.54
,,2012 - 2013,1.45
,,2013 - 2014,1.39
,,2014 - 2015,1.11
,,2015 - 2016,1.3
,,2016 - 2017,1.5
,,2017 - 2018,1.58
,,2018 - 2019,2.0
,,2019 - 2020,1.43
,,2020 - 2021,1.9
,,2021 - 2022,1.75
,,2022 - 2023,1.75
,Munger,2000 - 2001,0.95
,,2001 - 2002,0.6
,,2002 - 2003,0.87
,,2003 - 2004,0.88
,,2004 - 2005,1.05
,,2005 - 2006,0.85
,,2006 - 2007,1.54
,,2007 - 2008,1.17
,,2008 - 2009,0.67
,,2009 - 2010,0.8
,,2010 - 2011,0.92
,,2011 - 2012,0.68
,,2012 - 2013,1.46
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,Muzaffarpur,2000 - 2001,1.66
,,2001 - 2002,1.8
,,2002 - 2003,1.62
,,2003 - 2004,1.53
,,2004 - 2005,1.28
,,2005 - 2006,0.9
,,2006 - 2007,0.83
,,2007 - 2008,1.35
,,2008 - 2009,1.1
,,2009 - 2010,1.2
,,2010 - 2011,1.51
,,2011 - 2012,2.06
,,2012 - 2013,1.53
,,2013 - 2014,1.5
,,2014 - 2015,0.98
,,2015 - 2016,1.31
,,2016 - 2017,1.48
,,2017 - 2018,1.59
,,2018 - 2019,0.93
,,2019 - 2020,0.46
,,2020 - 2021,1.9
,,2021 - 2022,1.78
,,2022 - 2023,1.73
,Nalanda,2000 - 2001,1.28
,,2001 - 2002,1.42
,,2002 - 2003,1.61
,,2003 - 2004,1.13
,,2004 - 2005,1.19
,,2005 - 2006,1.33
,,2006 - 2007,1.18
,,2007 - 2008,1.57
,,2008 - 2009,1.4
,,2009 - 2010,1.35
,,2010 - 2011,1.48
,,2011 - 2012,1.69
,,2012 - 2013,1.64
,,2013 - 2014,1.43
,,2014 - 2015,0.98
,,2015 - 2016,1.41
,,2016 - 2017,1.65
,,2017 - 2018,1.74
,,2018 - 2019,2.25
,,2019 - 2020,1.55
,,2020 - 2021,2.07
,,2021 - 2022,2.26
,,2022 - 2023,2.21
,Nawada,2000 - 2001,1.09
,,2001 - 2002,1.15
,,2002 - 2003,0.92
,,2003 - 2004,0.97
,,2004 - 2005,0.87
,,2005 - 2006,0.71
,,2006 - 2007,1.02
,,2007 - 2008,1.03
,,2008 - 2009,0.73
,,2009 - 2010,0.81
,,2010 - 2011,0.88
,,2011 - 2012,0.91
,,2012 - 2013,1.34
,,2013 - 2014,1.12
,,2014 - 2015,1.09
,,2016 - 2017,1.29
,,2017 - 2018,1.74
,,2018 - 2019,1.39
,,2019 - 2020,1.3
,,2020 - 2021,1.33
,Pashchim champaran,2000 - 2001,0.86
,,2001 - 2002,2.1
,,2002 - 2003,1.63
,,2003 - 2004,1.54
,,2004 - 2005,1.28
,,2005 - 2006,0.73
,,2006 - 2007,1.0
,,2007 - 2008,1.04
,,2008 - 2009,1.09
,,2009 - 2010,1.25
,,2010 - 2011,1.31
,,2011 - 2012,2.05
,,2012 - 2013,1.53
,,2013 - 2014,1.45
,,2014 - 2015,1.9
,,2015 - 2016,1.3
,,2016 - 2017,1.0
,Patna,2000 - 2001,1.67
,,2001 - 2002,1.8
,,2002 - 2003,1.65
,,2003 - 2004,1.01
,,2004 - 2005,1.67
,,2005 - 2006,1.96
,,2006 - 2007,0.71
,,2007 - 2008,1.02
,,2008 - 2009,1.4
,,2009 - 2010,1.44
,,2010 - 2011,1.22
,,2011 - 2012,1.69
,,2012 - 2013,1.64
,,2013 - 2014,1.43
,,2014 - 2015,0.97
,,2015 - 2016,1.41
,,2016 - 2017,1.66
,,2017 - 2018,1.74
,,2018 - 2019,2.24
,,2019 - 2020,1.55
,,2020 - 2021,2.07
,,2021 - 2022,2.26
,,2022 - 2023,2.21
,Purbi champaran,2000 - 2001,1.14
,,2001 - 2002,1.23
,,2002 - 2003,0.92
,,2003 - 2004,1.07
,,2004 - 2005,1.28
,,2005 - 2006,0.66
,,2006 - 2007,1.13
,,2007 - 2008,0.97
,,2008 - 2009,1.09
,,2009 - 2010,1.25
,,2010 - 2011,2.64
,,2011 - 2012,2.05
,,2014 - 2015,1.71
,Purnia,2000 - 2001,1.14
,,2001 - 2002,1.25
,,2002 - 2003,1.2
,,2003 - 2004,1.1
,,2004 - 2005,1.08
,,2005 - 2006,1.0
,,2006 - 2007,1.06
,,2010 - 2011,1.0
,Rohtas,2000 - 2001,0.98
,,2001 - 2002,1.1
,,2002 - 2003,2.02
,,2003 - 2004,1.05
,,2004 - 2005,0.99
,,2005 - 2006,1.32
,,2006 - 2007,1.18
,,2007 - 2008,1.79
,,2008 - 2009,1.73
,,2009 - 2010,0.71
,,2010 - 2011,1.47
,,2011 - 2012,1.81
,,2012 - 2013,2.33
,,2013 - 2014,1.8
,,2014 - 2015,1.08
,,2015 - 2016,1.73
,,2016 - 2017,2.18
,,2017 - 2018,1.79
,,2018 - 2019,2.39
,,2019 - 2020,1.63
,,2020 - 2021,1.43
,,2021 - 2022,1.34
,,2022 - 2023,2.03
,Saharsa,2000 - 2001,1.15
,,2001 - 2002,1.26
,,2002 - 2003,1.15
,,2003 - 2004,1.13
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2014 - 2015,1.11
,,2015 - 2016,1.31
,,2016 - 2017,1.51
,,2017 - 2018,1.58
,Samastipur,2000 - 2001,1.18
,,2001 - 2002,1.25
,,2002 - 2003,1.16
,,2003 - 2004,1.12
,,2004 - 2005,1.05
,,2005 - 2006,1.04
,,2006 - 2007,1.07
,,2007 - 2008,1.2
,,2008 - 2009,1.09
,,2009 - 2010,1.12
,,2010 - 2011,1.33
,,2011 - 2012,1.55
,,2012 - 2013,1.46
,,2013 - 2014,1.4
,,2014 - 2015,1.1
,,2015 - 2016,1.3
,,2016 - 2017,1.51
,,2017 - 2018,1.6
,,2018 - 2019,2.0
,,2019 - 2020,1.37
,,2020 - 2021,1.9
,,2021 - 2022,1.78
,,2022 - 2023,1.73
,Saran,2000 - 2001,1.68
,,2001 - 2002,1.07
,,2002 - 2003,1.22
,,2003 - 2004,1.69
,,2004 - 2005,1.49
,,2005 - 2006,1.81
,,2006 - 2007,1.07
,,2007 - 2008,1.47
,,2008 - 2009,1.09
,,2009 - 2010,1.13
,,2011 - 2012,1.55
,,2012 - 2013,1.43
,,2013 - 2014,1.38
,,2014 - 2015,1.13
,,2015 - 2016,1.31
,,2017 - 2018,1.57
,,2018 - 2019,1.98
,,2019 - 2020,1.37
,,2020 - 2021,1.9
,,2021 - 2022,1.79
,,2022 - 2023,1.73
,Sheikhpura,2000 - 2001,0.95
,,2005 - 2006,1.0
,,2007 - 2008,1.14
,,2008 - 2009,0.66
,,2009 - 2010,0.83
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2017 - 2018,1.67
,Sheohar,2000 - 2001,1.09
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.14
,,2009 - 2010,1.33
,,2011 - 2012,2.05
,,2012 - 2013,1.67
,,2013 - 2014,1.5
,,2017 - 2018,1.5
,Sitamarhi,2000 - 2001,1.13
,,2001 - 2002,1.8
,,2002 - 2003,1.2
,,2003 - 2004,1.35
,,2004 - 2005,1.28
,,2005 - 2006,0.74
,,2006 - 2007,1.01
,,2007 - 2008,1.04
,,2008 - 2009,1.09
,,2009 - 2010,1.25
,,2010 - 2011,1.51
,,2011 - 2012,2.07
,,2012 - 2013,1.53
,,2013 - 2014,1.45
,,2014 - 2015,1.67
,,2015 - 2016,1.33
,,2016 - 2017,1.44
,,2017 - 2018,1.56
,,2018 - 2019,0.89
,,2019 - 2020,0.44
,,2020 - 2021,1.88
,,2021 - 2022,1.75
,,2022 - 2023,1.71
,Siwan,2000 - 2001,1.68
,,2001 - 2002,1.07
,,2002 - 2003,1.22
,,2003 - 2004,1.69
,,2004 - 2005,1.5
,,2005 - 2006,1.37
,,2006 - 2007,1.07
,,2007 - 2008,1.47
,,2008 - 2009,1.1
,,2009 - 2010,1.13
,,2010 - 2011,1.33
,,2011 - 2012,1.54
,,2012 - 2013,1.46
,,2013 - 2014,1.4
,,2014 - 2015,1.11
,,2015 - 2016,1.3
,,2016 - 2017,1.5
,,2017 - 2018,1.59
,,2018 - 2019,1.99
,,2019 - 2020,1.37
,,2020 - 2021,1.91
,,2021 - 2022,1.78
,,2022 - 2023,1.73
,Supaul,2000 - 2001,1.17
,,2001 - 2002,1.26
,,2002 - 2003,1.15
,,2003 - 2004,1.11
,,2004 - 2005,1.0
,,2005 - 2006,1.03
,,2006 - 2007,1.0
,,2007 - 2008,1.22
,,2008 - 2009,1.0
,Vaishali,2000 - 2001,1.13
,,2001 - 2002,1.8
,,2002 - 2003,1.2
,,2003 - 2004,1.35
,,2004 - 2005,1.28
,,2005 - 2006,0.74
,,2006 - 2007,1.0
,,2007 - 2008,1.04
,,2008 - 2009,1.09
,,2009 - 2010,1.23
,,2010 - 2011,1.5
,,2011 - 2012,2.06
,,2012 - 2013,1.54
,,2013 - 2014,1.47
,,2014 - 2015,1.7
,,2015 - 2016,1.31
,,2016 - 2017,1.48
,,2017 - 2018,1.58
,,2018 - 2019,0.92
,,2019 - 2020,0.46
,,2020 - 2021,1.9
,,2021 - 2022,1.77
,,2022 - 2023,1.71
Chhattisgarh,Balod,2011 - 2012,1.0
,,2021 - 2022,2.0
,Baloda bazar,2019 - 2020,1.0
,,2020 - 2021,1.0
,Balrampur,2011 - 2012,0.75
,,2012 - 2013,0.26
,,2013 - 2014,0.92
,,2014 - 2015,1.12
,,2016 - 2017,0.9
,,2017 - 2018,1.06
,,2018 - 2019,0.8
,,2019 - 2020,0.52
,,2020 - 2021,0.7
,,2021 - 2022,0.55
,,2022 - 2023,1.06
,Bemetara,2011 - 2012,0.88
,,2012 - 2013,0.55
,,2013 - 2014,0.39
,,2014 - 2015,0.58
,,2015 - 2016,0.64
,,2019 - 2020,0.57
,,2020 - 2021,0.82
,,2021 - 2022,1.5
,,2022 - 2023,1.0
,Bilaspur,2000 - 2001,0.82
,,2001 - 2002,0.86
,,2002 - 2003,0.38
,,2003 - 2004,0.83
,,2005 - 2006,0.82
,,2006 - 2007,1.22
,,2007 - 2008,1.22
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.5
,,2011 - 2012,0.67
,,2012 - 2013,0.67
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.56
,,2018 - 2019,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.42
,Durg,2000 - 2001,0.5
,,2001 - 2002,0.58
,,2002 - 2003,0.57
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,0.51
,,2007 - 2008,1.14
,,2008 - 2009,1.0
,,2009 - 2010,0.25
,,2010 - 2011,0.61
,,2011 - 2012,0.85
,,2012 - 2013,0.55
,,2013 - 2014,2.69
,,2014 - 2015,1.4
,,2019 - 2020,0.44
,,2020 - 2021,0.66
,,2021 - 2022,1.57
,,2022 - 2023,1.0
,Gariyaband,2021 - 2022,2.0
,,2022 - 2023,1.5
,Jashpur,2000 - 2001,0.94
,,2001 - 2002,0.94
,,2002 - 2003,0.74
,,2003 - 2004,0.83
,,2004 - 2005,0.8
,,2005 - 2006,0.94
,,2006 - 2007,0.63
,,2007 - 2008,1.05
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2010 - 2011,0.5
,,2011 - 2012,0.89
,,2012 - 2013,0.64
,,2013 - 2014,1.0
,,2014 - 2015,1.27
,,2015 - 2016,0.63
,Korba,2000 - 2001,0.83
,,2001 - 2002,0.86
,,2002 - 2003,0.7
,,2003 - 2004,0.84
,,2004 - 2005,0.65
,,2005 - 2006,0.82
,,2006 - 2007,0.64
,,2007 - 2008,1.0
,,2008 - 2009,0.91
,,2009 - 2010,0.79
,,2010 - 2011,0.53
,,2011 - 2012,0.7
,,2012 - 2013,0.46
,,2013 - 2014,0.85
,,2014 - 2015,1.26
,,2015 - 2016,0.54
,,2016 - 2017,0.92
,,2017 - 2018,1.03
,,2018 - 2019,0.77
,,2019 - 2020,0.49
,,2020 - 2021,0.56
,,2021 - 2022,2.0
,,2022 - 2023,1.0
,Korea,2000 - 2001,0.87
,,2001 - 2002,0.83
,,2002 - 2003,0.42
,,2003 - 2004,0.96
,,2004 - 2005,0.76
,,2005 - 2006,0.72
,,2006 - 2007,0.67
,,2007 - 2008,0.91
,,2008 - 2009,0.9
,,2009 - 2010,0.69
,,2010 - 2011,0.49
,,2011 - 2012,0.7
,,2012 - 2013,0.4
,,2013 - 2014,0.8
,,2014 - 2015,1.09
,,2015 - 2016,0.47
,,2016 - 2017,0.66
,,2017 - 2018,0.76
,,2018 - 2019,0.61
,,2019 - 2020,0.48
,,2020 - 2021,0.46
,,2021 - 2022,1.46
,,2022 - 2023,0.88
,Mahasamund,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2021 - 2022,2.0
,,2022 - 2023,1.5
,Manendragarh chirimiri bharatpur,2022 - 2023,0.84
,Mungeli,2022 - 2023,2.0
,Raigarh,2020 - 2021,0.67
,Raipur,2019 - 2020,1.0
,,2022 - 2023,2.0
,Rajnandgaon,2000 - 2001,0.6
,,2001 - 2002,1.0
,,2003 - 2004,0.8
,,2004 - 2005,0.75
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.91
,,2011 - 2012,1.27
,,2012 - 2013,0.89
,,2013 - 2014,1.5
,,2014 - 2015,2.22
,,2015 - 2016,1.0
,,2016 - 2017,1.33
,,2017 - 2018,1.0
,,2018 - 2019,1.25
,,2019 - 2020,1.0
,,2020 - 2021,1.5
,,2021 - 2022,2.75
,,2022 - 2023,1.75
,Sukma,2019 - 2020,0.83
,Surajpur,2011 - 2012,0.75
,,2012 - 2013,0.92
,,2013 - 2014,1.01
,,2014 - 2015,1.03
,,2015 - 2016,0.69
,,2016 - 2017,0.96
,,2017 - 2018,1.12
,,2018 - 2019,0.85
,,2019 - 2020,0.64
,,2020 - 2021,0.72
,,2021 - 2022,1.28
,,2022 - 2023,1.19
,Surguja,2000 - 2001,0.83
,,2001 - 2002,0.82
,,2002 - 2003,0.83
,,2003 - 2004,1.01
,,2004 - 2005,0.93
,,2005 - 2006,0.84
,,2006 - 2007,0.85
,,2007 - 2008,1.19
,,2008 - 2009,0.9
,,2009 - 2010,0.78
,,2010 - 2011,0.53
,,2011 - 2012,0.75
,,2012 - 2013,0.48
,,2013 - 2014,0.91
,,2014 - 2015,0.83
,,2015 - 2016,0.66
,,2016 - 2017,0.98
,,2017 - 2018,0.96
,,2018 - 2019,0.77
,,2019 - 2020,0.7
,,2020 - 2021,0.64
,,2021 - 2022,1.75
,,2022 - 2023,1.0
Delhi,Delhi_total,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Haryana,Ambala,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2019 - 2020,4.0
,,2020 - 2021,3.0
,,2021 - 2022,3.08
,,2022 - 2023,3.5
,Bhiwani,2000 - 2001,2.36
,,2001 - 2002,2.96
,,2002 - 2003,2.63
,,2003 - 2004,2.45
,,2004 - 2005,2.12
,,2005 - 2006,2.45
,,2006 - 2007,3.08
,,2007 - 2008,2.61
,,2008 - 2009,3.12
,,2009 - 2010,3.27
,,2010 - 2011,3.25
,,2011 - 2012,3.36
,,2012 - 2013,3.19
,,2013 - 2014,3.9
,,2014 - 2015,3.18
,,2015 - 2016,3.63
,,2016 - 2017,3.61
,,2017 - 2018,3.45
,,2018 - 2019,3.72
,,2019 - 2020,3.43
,,2020 - 2021,3.16
,,2021 - 2022,3.27
,,2022 - 2023,2.95
,Charki dadri,2017 - 2018,3.48
,,2018 - 2019,4.36
,,2019 - 2020,3.93
,,2020 - 2021,3.53
,,2021 - 2022,3.24
,,2022 - 2023,3.27
,Faridabad,2000 - 2001,3.14
,,2001 - 2002,3.29
,,2002 - 2003,3.58
,,2003 - 2004,2.72
,,2004 - 2005,2.86
,,2005 - 2006,2.52
,,2006 - 2007,4.12
,,2007 - 2008,2.65
,,2008 - 2009,8.24
,,2009 - 2010,0.0
,,2010 - 2011,0.0
,,2012 - 2013,0.0
,,2016 - 2017,4.0
,,2017 - 2018,3.5
,,2018 - 2019,4.0
,,2020 - 2021,2.85
,,2021 - 2022,2.06
,,2022 - 2023,3.71
