crop,n_rows,n_classes,dropped,acc_mean,acc_std,f1_mean,f1_std,f1_high_mean,f1_high_std,f1_low_mean,f1_low_std,f1_medium_mean,f1_medium_std
urad,664,3,none,0.6853383458646617,0.04069190715108214,0.6848537550212539,0.04104376999485125,0.7255,0.0585,0.6423,0.0782,0.6776,0.0334
linseed,433,3,none,0.6767174552258755,0.027816806582004507,0.6763333271788191,0.028331505612667472,0.7316,0.025,0.6712,0.0519,0.6319,0.0525
soyabean,425,3,none,0.6776470588235294,0.019115384481496387,0.6739151137283474,0.020798431460378457,0.6061,0.0703,0.6232,0.0395,0.7285,0.0119
niger_seed,224,3,none,0.6652525252525251,0.06845355502075916,0.6675329801496129,0.07076681706859511,0.7963,0.0261,0.5494,0.0941,0.5967,0.1283
other_kharif_pulses,586,3,none,0.6654932637983485,0.05131883532266648,0.6625868283133335,0.048466765949569314,0.6187,0.0462,0.5934,0.0801,0.7125,0.0517
horse_gram,328,3,none,0.6553846153846153,0.049523920583505576,0.6548661465657958,0.04983634362394311,0.6879,0.0505,0.6427,0.0674,0.6363,0.0724
safflower,247,3,none,0.6637551020408163,0.029798042977089496,0.650175205824578,0.02760376544607776,0.7462,0.0348,0.3,0.1517,0.6473,0.0547
sesamum,686,3,none,0.6384534010367079,0.03182746425140975,0.63864442413775,0.03198155339621877,0.6429,0.0217,0.6713,0.0645,0.6147,0.0262
maize,723,3,none,0.6140325670498085,0.04160437057044569,0.6144784569212696,0.04268379647203415,0.6793,0.0994,0.6248,0.0329,0.5818,0.0601
other_cereals,229,3,none,0.5940096618357489,0.05841744368680852,0.5939478387237169,0.05788596033904612,0.6628,0.0797,0.5373,0.0246,0.5432,0.068
