state,district,year,ginger_whole_year_yield_tonne_per_hectare
,,2009 - 2010,6.96
,,2010 - 2011,6.96
,,2011 - 2012,5.0
,,2012 - 2013,5.02
,,2013 - 2014,5.03
,,2014 - 2015,5.03
,,2015 - 2016,5.04
,,2016 - 2017,5.29
,,2017 - 2018,5.31
,,2018 - 2019,6.24
,,2019 - 2020,6.51
,,2020 - 2021,6.5
,,2021 - 2022,6.5
,,2022 - 2023,6.61
,Darrang,2007 - 2008,6.63
,,2008 - 2009,6.62
,,2009 - 2010,6.62
,,2010 - 2011,6.63
,,2011 - 2012,6.74
,,2012 - 2013,7.75
,,2013 - 2014,7.75
,,2014 - 2015,7.76
,,2015 - 2016,7.77
,,2016 - 2017,7.94
,,2017 - 2018,7.96
,,2018 - 2019,8.64
,,2019 - 2020,8.83
,,2020 - 2021,8.83
,,2021 - 2022,8.83
,,2022 - 2023,8.96
,Dhemaji,2007 - 2008,8.69
,,2008 - 2009,8.69
,,2009 - 2010,8.69
,,2010 - 2011,8.69
,,2011 - 2012,8.75
,,2012 - 2013,8.77
,,2013 - 2014,8.77
,,2014 - 2015,8.78
,,2015 - 2016,8.78
,,2016 - 2017,8.92
,,2017 - 2018,8.94
,,2018 - 2019,9.55
,,2019 - 2020,9.71
,,2020 - 2021,9.71
,,2021 - 2022,9.71
,,2022 - 2023,9.8
,Dhubri,2007 - 2008,8.45
,,2008 - 2009,8.48
,,2009 - 2010,8.46
,,2010 - 2011,8.45
,,2011 - 2012,8.57
,,2012 - 2013,8.69
,,2013 - 2014,8.68
,,2014 - 2015,8.69
,,2015 - 2016,8.72
,,2016 - 2017,9.1
,,2017 - 2018,9.1
,,2018 - 2019,10.62
,,2019 - 2020,10.98
,,2020 - 2021,10.98
,,2021 - 2022,10.98
,,2022 - 2023,11.31
,Dibrugarh,2007 - 2008,5.55
,,2008 - 2009,5.56
,,2009 - 2010,5.56
,,2010 - 2011,5.56
,,2011 - 2012,7.73
,,2012 - 2013,7.84
,,2013 - 2014,7.84
,,2014 - 2015,7.86
,,2015 - 2016,7.86
,,2016 - 2017,8.23
,,2017 - 2018,8.25
,,2018 - 2019,9.62
,,2019 - 2020,9.96
,,2020 - 2021,9.96
,,2021 - 2022,9.95
,,2022 - 2023,10.22
,Dima hasao,2007 - 2008,6.56
,,2008 - 2009,6.55
,,2009 - 2010,6.56
,,2010 - 2011,6.56
,,2011 - 2012,6.78
,,2012 - 2013,7.78
,,2013 - 2014,7.06
,,2014 - 2015,9.0
,,2015 - 2016,9.0
,,2016 - 2017,9.02
,,2017 - 2018,9.02
,,2018 - 2019,9.11
,,2019 - 2020,9.13
,,2020 - 2021,9.13
,,2021 - 2022,9.13
,,2022 - 2023,9.14
,Goalpara,2007 - 2008,7.12
,,2008 - 2009,7.12
,,2009 - 2010,7.12
,,2010 - 2011,7.12
,,2011 - 2012,7.25
,,2012 - 2013,7.38
,,2013 - 2014,7.38
,,2014 - 2015,7.39
,,2015 - 2016,7.39
,,2016 - 2017,7.54
,,2017 - 2018,7.56
,,2018 - 2019,8.18
,,2019 - 2020,8.35
,,2020 - 2021,8.35
,,2021 - 2022,8.35
,,2022 - 2023,8.51
,Golaghat,2007 - 2008,6.52
,,2008 - 2009,6.53
,,2009 - 2010,6.52
,,2010 - 2011,6.53
,,2011 - 2012,8.94
,,2012 - 2013,8.97
,,2013 - 2014,8.97
,,2014 - 2015,8.97
,,2015 - 2016,8.97
,,2016 - 2017,9.03
,,2017 - 2018,9.05
,,2018 - 2019,9.3
,,2019 - 2020,9.4
,,2020 - 2021,9.4
,,2021 - 2022,9.4
,,2022 - 2023,9.44
,Hailakandi,2007 - 2008,5.05
,,2008 - 2009,5.05
,,2009 - 2010,5.05
,,2010 - 2011,5.05
,,2011 - 2012,5.16
,,2012 - 2013,6.12
,,2013 - 2014,6.12
,,2014 - 2015,6.14
,,2015 - 2016,6.14
,,2016 - 2017,6.46
,,2017 - 2018,6.46
,,2018 - 2019,7.64
,,2019 - 2020,7.97
,,2020 - 2021,7.97
,,2021 - 2022,7.97
,,2022 - 2023,8.18
,Hojai,2020 - 2021,10.7
,,2021 - 2022,10.7
,,2022 - 2023,10.98
,Jorhat,2007 - 2008,6.8
,,2008 - 2009,6.81
,,2009 - 2010,6.81
,,2010 - 2011,6.81
,,2011 - 2012,7.85
,,2012 - 2013,7.87
,,2013 - 2014,7.86
,,2014 - 2015,7.89
,,2015 - 2016,7.89
,,2016 - 2017,8.21
,,2017 - 2018,8.22
,,2018 - 2019,9.49
,,2019 - 2020,9.81
,,2020 - 2021,9.81
,,2021 - 2022,9.81
,,2022 - 2023,10.17
,Kamrup,2007 - 2008,7.42
,,2008 - 2009,7.42
,,2009 - 2010,7.42
,,2010 - 2011,7.42
,,2011 - 2012,7.56
,,2012 - 2013,7.67
,,2013 - 2014,7.67
,,2014 - 2015,7.68
,,2015 - 2016,7.68
,,2016 - 2017,7.88
,,2017 - 2018,7.89
,,2018 - 2019,8.7
,,2019 - 2020,8.92
,,2020 - 2021,8.92
,,2021 - 2022,8.92
,,2022 - 2023,8.99
,Kamrup metro,2007 - 2008,5.83
,,2008 - 2009,5.83
,,2009 - 2010,5.83
,,2010 - 2011,5.82
,,2011 - 2012,9.86
,,2012 - 2013,9.97
,,2013 - 2014,9.97
,,2014 - 2015,9.97
,,2015 - 2016,9.99
,,2016 - 2017,10.33
,,2017 - 2018,10.34
,,2018 - 2019,11.85
,,2019 - 2020,12.18
,,2020 - 2021,12.17
,,2021 - 2022,10.17
,,2022 - 2023,10.75
,Karbi anglong,2007 - 2008,7.03
