state,district,year,ginger_whole_year_yield_tonne_per_hectare
,,2021 - 2022,9.91
,,2022 - 2023,10.89
,Chitradurga,2000 - 2001,
,,2016 - 2017,25.5
,,2017 - 2018,26.0
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.66
,,2022 - 2023,9.08
,Dakshin kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,11.77
,,2006 - 2007,11.77
,,2007 - 2008,20.52
,,2008 - 2009,31.86
,,2009 - 2010,31.49
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,34.07
,,2014 - 2015,29.05
,,2015 - 2016,37.33
,,2016 - 2017,25.28
,,2017 - 2018,25.83
,,2018 - 2019,15.4
,,2020 - 2021,11.7
,,2021 - 2022,12.3
,Davangere,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.11
,,2006 - 2007,13.25
,,2007 - 2008,20.5
,,2008 - 2009,32.0
,,2009 - 2010,31.0
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2013 - 2014,27.75
,,2014 - 2015,29.0
,,2015 - 2016,37.34
,,2016 - 2017,25.29
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.57
,,2022 - 2023,12.76
,Dharwad,2014 - 2015,29.0
,,2015 - 2016,37.0
,,2018 - 2019,15.38
,,2019 - 2020,10.47
,,2020 - 2021,11.69
,,2021 - 2022,12.6
,,2022 - 2023,8.75
,Gadag,2001 - 2002,
,,2004 - 2005,
,,2014 - 2015,29.0
,,2015 - 2016,37.5
,,2016 - 2017,25.5
,,2018 - 2019,15.4
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.31
,,2022 - 2023,6.86
,Gulbarga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.0
,,2006 - 2007,13.0
,,2007 - 2008,20.6
,,2008 - 2009,31.89
,,2009 - 2010,31.5
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,32.0
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.54
,,2022 - 2023,11.95
,Hassan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.03
,,2006 - 2007,13.03
,,2007 - 2008,22.81
,,2008 - 2009,33.55
,,2009 - 2010,31.49
,,2010 - 2011,3.51
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,33.84
,,2014 - 2015,32.47
,,2015 - 2016,38.36
,,2016 - 2017,25.44
,,2017 - 2018,28.93
,,2018 - 2019,16.83
,,2019 - 2020,9.19
,,2020 - 2021,13.29
,,2021 - 2022,13.56
,,2022 - 2023,10.19
,Haveri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.19
,,2006 - 2007,13.19
,,2007 - 2008,12.0
,,2008 - 2009,31.85
,,2009 - 2010,31.49
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,27.64
,,2014 - 2015,29.05
,,2015 - 2016,37.33
,,2016 - 2017,25.28
,,2017 - 2018,20.59
,,2018 - 2019,18.27
,,2019 - 2020,13.17
,,2020 - 2021,13.81
,,2021 - 2022,15.19
,,2022 - 2023,11.0
,Kodagu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,12.94
,,2006 - 2007,12.94
,,2007 - 2008,20.52
,,2008 - 2009,29.33
,,2009 - 2010,38.02
,,2010 - 2011,6.64
,,2011 - 2012,2.93
,,2012 - 2013,29.26
,,2013 - 2014,27.64
,,2014 - 2015,39.07
,,2015 - 2016,33.2
,,2016 - 2017,33.16
,,2017 - 2018,29.49
,,2018 - 2019,6.96
,,2019 - 2020,10.46
,,2020 - 2021,10.44
,,2021 - 2022,10.98
,,2022 - 2023,11.42
,Kolar,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.47
,,2022 - 2023,14.36
,Koppal,2015 - 2016,37.33
,,2018 - 2019,15.4
,,2019 - 2020,10.45
,,2020 - 2021,11.69
,,2021 - 2022,12.3
,,2022 - 2023,9.87
,Mandya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.13
,,2006 - 2007,13.16
,,2007 - 2008,20.52
,,2008 - 2009,31.86
,,2009 - 2010,31.48
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.85
,,2013 - 2014,27.63
,,2014 - 2015,29.04
,,2015 - 2016,37.34
,,2016 - 2017,25.29
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,11.44
,,2022 - 2023,10.0
,Mysore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.06
,,2006 - 2007,13.06
,,2007 - 2008,20.52
,,2008 - 2009,38.42
,,2009 - 2010,36.37
,,2010 - 2011,3.17
,,2011 - 2012,3.15
,,2012 - 2013,31.48
,,2013 - 2014,32.24
,,2014 - 2015,31.9
,,2015 - 2016,39.49
,,2016 - 2017,38.41
,,2017 - 2018,28.69
,,2018 - 2019,13.25
,,2019 - 2020,10.74
,,2020 - 2021,9.76
,,2021 - 2022,11.33
,,2022 - 2023,11.0
,Raichur,2000 - 2001,
,,2001 - 2002,
,,2018 - 2019,15.4
,,2019 - 2020,10.47
,,2020 - 2021,11.7
,,2021 - 2022,12.3
,Ramanagara,2007 - 2008,20.5
,,2008 - 2009,31.75
,,2009 - 2010,31.5
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,27.5
,,2014 - 2015,29.0
,,2015 - 2016,37.35
,,2016 - 2017,25.29
,,2017 - 2018,25.82
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.59
,,2022 - 2023,8.53
,Shimoga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,14.16
,,2006 - 2007,14.16
,,2007 - 2008,15.57
,,2008 - 2009,26.02
,,2009 - 2010,25.49
,,2010 - 2011,3.23
,,2011 - 2012,3.28
,,2012 - 2013,32.76
,,2013 - 2014,19.6
,,2014 - 2015,18.89
,,2015 - 2016,37.55
,,2016 - 2017,18.38
,,2017 - 2018,20.12
,,2018 - 2019,15.12
,,2019 - 2020,9.23
,,2020 - 2021,11.35
,,2021 - 2022,11.98
,,2022 - 2023,9.99
,Tumkur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,13.5
,,2006 - 2007,13.5
,,2007 - 2008,20.5
,,2008 - 2009,32.0
,,2009 - 2010,31.0
,,2010 - 2011,3.63
,,2011 - 2012,3.18
,,2012 - 2013,31.87
,,2013 - 2014,27.63
,,2014 - 2015,29.04
,,2015 - 2016,37.36
,,2016 - 2017,25.29
,,2017 - 2018,25.82
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,12.57
,,2022 - 2023,9.81
,Udupi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,11.78
,,2006 - 2007,11.77
,,2007 - 2008,20.52
,,2008 - 2009,31.86
,,2009 - 2010,31.49
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,27.64
,,2014 - 2015,29.04
,,2015 - 2016,37.33
,,2016 - 2017,25.28
,,2017 - 2018,25.83
,,2018 - 2019,15.4
,,2019 - 2020,10.5
,,2020 - 2021,11.7
,,2021 - 2022,12.3
,Uttar kannad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,12.73
,,2006 - 2007,12.73
,,2007 - 2008,20.52
,,2008 - 2009,31.86
,,2009 - 2010,31.49
,,2010 - 2011,3.62
,,2011 - 2012,3.18
,,2012 - 2013,31.86
,,2013 - 2014,18.98
,,2014 - 2015,29.05
,,2015 - 2016,37.33
,,2016 - 2017,25.29
,,2017 - 2018,25.83
,,2018 - 2019,15.39
,,2019 - 2020,10.46
,,2020 - 2021,11.69
,,2021 - 2022,11.69
,,2022 - 2023,31.89
,Vijayanagar,2022 - 2023,8.54
,Yadgir,2019 - 2020,10.47
,,2020 - 2021,11.69
,,2021 - 2022,12.31
,,2022 - 2023,14.48
Kerala,Alappuzha,2000 - 2001,2.19
,,2001 - 2002,1.71
,,2002 - 2003,1.76
,,2003 - 2004,1.69
,,2004 - 2005,1.98
,,2005 - 2006,2.15
,,2006 - 2007,2.47
,,2007 - 2008,1.83
,,2008 - 2009,2.51
,,2009 - 2010,2.75
,,2010 - 2011,3.02
,,2011 - 2012,3.19
,,2012 - 2013,2.93
,,2013 - 2014,3.44
,,2014 - 2015,3.39
,,2015 - 2016,3.58
,,2016 - 2017,3.28
,,2017 - 2018,3.8
,,2018 - 2019,2.39
,,2019 - 2020,3.77
,,2020 - 2021,3.16
,,2021 - 2022,3.17
,,2022 - 2023,4.17
,Ernakulam,2000 - 2001,3.01
,,2001 - 2002,3.03
,,2002 - 2003,2.76
,,2003 - 2004,2.58
,,2004 - 2005,2.71
,,2005 - 2006,3.17
,,2006 - 2007,3.34
,,2007 - 2008,2.76
,,2008 - 2009,2.83
,,2009 - 2010,2.95
,,2010 - 2011,3.26
,,2011 - 2012,3.44
,,2012 - 2013,2.96
,,2013 - 2014,3.01
,,2014 - 2015,3.15
,,2015 - 2016,2.89
,,2016 - 2017,2.75
,,2017 - 2018,2.82
,,2018 - 2019,2.63
,,2019 - 2020,2.57
,,2020 - 2021,3.04
,,2021 - 2022,2.72
,,2022 - 2023,2.66
,Idukki,2000 - 2001,4.04
,,2001 - 2002,3.56
,,2002 - 2003,3.49
,,2003 - 2004,4.02
,,2004 - 2005,3.63
,,2005 - 2006,3.45
,,2006 - 2007,3.19
,,2007 - 2008,3.18
,,2008 - 2009,3.39
,,2009 - 2010,3.35
,,2010 - 2011,3.87
,,2011 - 2012,5.07
,,2012 - 2013,5.83
,,2013 - 2014,5.74
,,2014 - 2015,5.9
,,2015 - 2016,5.46
,,2016 - 2017,4.88
,,2017 - 2018,5.34
,,2018 - 2019,4.84
,,2019 - 2020,5.63
,,2020 - 2021,5.95
,,2021 - 2022,5.22
,,2022 - 2023,5.16
,Kannur,2000 - 2001,3.58
,,2001 - 2002,3.44
,,2002 - 2003,3.54
,,2003 - 2004,3.12
,,2004 - 2005,3.55
,,2005 - 2006,3.67
,,2006 - 2007,4.36
,,2007 - 2008,4.14
,,2008 - 2009,4.93
,,2009 - 2010,4.05
,,2010 - 2011,5.05
,,2011 - 2012,4.71
,,2012 - 2013,4.38
,,2013 - 2014,4.23
,,2014 - 2015,4.51
,,2015 - 2016,3.91
,,2016 - 2017,3.47
,,2017 - 2018,4.79
,,2018 - 2019,3.93
,,2019 - 2020,4.37
,,2020 - 2021,5.4
,,2021 - 2022,4.95
,,2022 - 2023,4.34
,Kasaragod,2000 - 2001,3.19
,,2001 - 2002,3.74
,,2002 - 2003,3.71
,,2003 - 2004,3.65
,,2004 - 2005,3.27
,,2005 - 2006,3.48
,,2006 - 2007,4.43
,,2007 - 2008,3.62
,,2008 - 2009,3.53
,,2009 - 2010,3.5
,,2010 - 2011,3.0
,,2011 - 2012,3.31
,,2012 - 2013,2.8
,,2013 - 2014,2.17
,,2014 - 2015,4.13
,,2015 - 2016,3.76
,,2016 - 2017,2.77
,,2017 - 2018,4.06
,,2018 - 2019,3.8
,,2019 - 2020,4.0
,,2020 - 2021,4.4
,,2021 - 2022,4.41
,,2022 - 2023,4.12
,Kollam,2000 - 2001,2.44
,,2001 - 2002,2.41
,,2002 - 2003,2.69
,,2003 - 2004,2.83
,,2004 - 2005,2.55
,,2005 - 2006,2.96
,,2006 - 2007,2.88
,,2007 - 2008,2.55
,,2008 - 2009,2.38
,,2009 - 2010,2.3
,,2010 - 2011,2.27
,,2011 - 2012,2.23
,,2012 - 2013,2.28
,,2013 - 2014,2.19
,,2014 - 2015,2.45
,,2015 - 2016,2.34
,,2016 - 2017,2.06
,,2017 - 2018,2.27
,,2018 - 2019,2.61
,,2019 - 2020,2.61
,,2020 - 2021,2.91
,,2021 - 2022,2.76
,,2022 - 2023,2.7
,Kottayam,2000 - 2001,2.34
,,2001 - 2002,2.91
,,2002 - 2003,2.93
,,2003 - 2004,3.05
,,2004 - 2005,3.01
,,2005 - 2006,3.43
,,2006 - 2007,2.8
,,2007 - 2008,2.88
,,2008 - 2009,2.74
,,2009 - 2010,3.05
,,2010 - 2011,2.74
,,2011 - 2012,2.61
,,2012 - 2013,2.91
,,2013 - 2014,2.97
,,2014 - 2015,3.34
,,2015 - 2016,3.25
,,2016 - 2017,3.13
,,2017 - 2018,3.26
,,2018 - 2019,3.28
,,2019 - 2020,3.25
,,2020 - 2021,4.1
,,2021 - 2022,4.45
,,2022 - 2023,4.24
,Kozhikode,2000 - 2001,2.99
,,2001 - 2002,3.46
,,2002 - 2003,2.76
,,2003 - 2004,3.04
,,2004 - 2005,2.97
,,2005 - 2006,3.05
,,2006 - 2007,3.35
,,2007 - 2008,2.95
,,2008 - 2009,3.0
,,2009 - 2010,3.86
,,2010 - 2011,3.26
,,2011 - 2012,3.14
,,2012 - 2013,2.92
,,2013 - 2014,3.35
,,2014 - 2015,3.56
,,2015 - 2016,3.24
,,2016 - 2017,2.31
,,2017 - 2018,3.74
,,2018 - 2019,3.26
,,2019 - 2020,3.24
,,2020 - 2021,5.19
,,2021 - 2022,3.87
,,2022 - 2023,3.09
,Malappuram,2000 - 2001,2.14
,,2001 - 2002,2.01
,,2002 - 2003,2.34
,,2003 - 2004,2.5
,,2004 - 2005,2.12
,,2005 - 2006,1.92
,,2006 - 2007,1.91
,,2007 - 2008,1.99
,,2008 - 2009,2.09
,,2009 - 2010,2.27
,,2010 - 2011,2.04
,,2011 - 2012,2.04
,,2012 - 2013,1.83
,,2013 - 2014,2.18
,,2014 - 2015,2.23
,,2015 - 2016,2.2
,,2016 - 2017,2.3
,,2017 - 2018,2.8
,,2018 - 2019,2.29
,,2019 - 2020,2.54
,,2020 - 2021,2.61
,,2021 - 2022,4.36
,,2022 - 2023,2.97
,Palakkad,2000 - 2001,3.9
,,2001 - 2002,4.46
,,2002 - 2003,3.7
,,2003 - 2004,2.14
,,2004 - 2005,3.42
,,2005 - 2006,4.66
,,2006 - 2007,4.91
,,2007 - 2008,4.63
,,2008 - 2009,4.3
,,2009 - 2010,4.65
,,2010 - 2011,5.48
,,2011 - 2012,5.19
,,2012 - 2013,4.49
,,2013 - 2014,4.88
,,2014 - 2015,4.52
,,2015 - 2016,5.0
,,2016 - 2017,4.25
,,2017 - 2018,4.39
,,2018 - 2019,3.84
,,2019 - 2020,4.43
,,2020 - 2021,4.69
,,2021 - 2022,4.88
,,2022 - 2023,3.92
,Pathanamthitta,2000 - 2001,3.02
,,2001 - 2002,2.8
,,2002 - 2003,2.48
,,2003 - 2004,2.45
,,2004 - 2005,2.58
,,2005 - 2006,3.02
,,2006 - 2007,2.98
,,2007 - 2008,3.26
,,2008 - 2009,2.79
,,2009 - 2010,2.82
,,2010 - 2011,3.05
,,2011 - 2012,3.22
,,2012 - 2013,2.77
,,2013 - 2014,3.02
,,2014 - 2015,3.61
,,2015 - 2016,3.14
,,2016 - 2017,3.13
,,2017 - 2018,4.54
,,2018 - 2019,4.11
,,2019 - 2020,4.92
,,2020 - 2021,4.51
,,2021 - 2022,4.66
,,2022 - 2023,4.16
,Thiruvananthapuram,2000 - 2001,3.03
,,2001 - 2002,3.64
,,2002 - 2003,2.66
,,2003 - 2004,3.12
,,2004 - 2005,2.97
,,2005 - 2006,2.35
,,2006 - 2007,2.78
,,2007 - 2008,2.64
,,2008 - 2009,3.06
,,2009 - 2010,2.49
,,2010 - 2011,2.58
,,2011 - 2012,2.42
,,2012 - 2013,2.3
,,2013 - 2014,2.12
,,2014 - 2015,2.71
,,2015 - 2016,3.64
,,2016 - 2017,2.93
,,2017 - 2018,3.07
,,2018 - 2019,2.97
,,2019 - 2020,2.87
,,2020 - 2021,3.75
,,2021 - 2022,3.21
,,2022 - 2023,3.54
,Thrissur,2000 - 2001,1.53
,,2001 - 2002,2.87
,,2002 - 2003,2.1
,,2003 - 2004,1.21
,,2004 - 2005,1.91
,,2005 - 2006,2.97
,,2006 - 2007,1.99
,,2007 - 2008,2.11
,,2008 - 2009,2.1
,,2009 - 2010,2.05
,,2010 - 2011,2.59
,,2011 - 2012,2.54
,,2012 - 2013,2.46
,,2013 - 2014,2.67
,,2014 - 2015,2.44
,,2015 - 2016,2.59
,,2016 - 2017,2.65
,,2017 - 2018,3.02
,,2018 - 2019,2.77
,,2019 - 2020,2.58
,,2020 - 2021,2.77
,,2021 - 2022,2.73
,,2022 - 2023,2.73
,Wayanad,2000 - 2001,4.0
,,2001 - 2002,4.31
,,2002 - 2003,4.4
,,2003 - 2004,4.84
,,2004 - 2005,5.65
,,2005 - 2006,5.34
,,2006 - 2007,3.96
,,2007 - 2008,3.7
,,2008 - 2009,4.73
,,2009 - 2010,7.54
,,2010 - 2011,7.26
,,2011 - 2012,6.78
,,2012 - 2013,6.26
,,2013 - 2014,5.53
,,2014 - 2015,5.71
,,2015 - 2016,4.69
,,2016 - 2017,4.34
,,2017 - 2018,4.64
,,2018 - 2019,5.77
,,2019 - 2020,4.32
,,2020 - 2021,4.56
,,2021 - 2022,4.66
,,2022 - 2023,4.58
Madhya Pradesh,Agar malwa,2013 - 2014,1.0
,,2015 - 2016,19.76
,,2016 - 2017,19.76
,,2017 - 2018,19.76
,,2018 - 2019,19.76
,,2019 - 2020,19.76
,Alirajpur,2009 - 2010,1.22
,,2010 - 2011,1.38
,,2011 - 2012,1.0
,,2012 - 2013,1.38
,,2013 - 2014,2.3
,,2015 - 2016,25.0
,,2016 - 2017,26.5
,,2017 - 2018,26.5
,,2018 - 2019,26.5
,,2019 - 2020,19.52
,Anuppur,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,0.82
,,2010 - 2011,0.66
,,2011 - 2012,1.08
,,2012 - 2013,1.75
,,2013 - 2014,1.75
,,2015 - 2016,16.0
,,2016 - 2017,17.0
,,2017 - 2018,17.0
,,2018 - 2019,17.2
,,2019 - 2020,18.0
,Ashoknagar,2003 - 2004,
,,2006 - 2007,
,,2009 - 2010,1.05
,,2010 - 2011,0.78
,,2011 - 2012,0.86
,,2012 - 2013,1.67
,,2013 - 2014,1.5
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.1
,,2019 - 2020,15.1
,Balaghat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,2.02
,,2010 - 2011,2.02
,,2011 - 2012,1.76
,,2012 - 2013,1.76
,,2013 - 2014,1.89
,,2015 - 2016,15.81
,,2016 - 2017,15.16
,,2017 - 2018,17.14
,,2018 - 2019,17.21
,,2019 - 2020,17.29
,Barwani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,0.6
,,2010 - 2011,0.65
,,2011 - 2012,0.48
,,2012 - 2013,1.84
,,2013 - 2014,1.78
,,2015 - 2016,10.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,Betul,2000 - 2001,
,,2001 - 2002,
,,2010 - 2011,1.6
,,2011 - 2012,1.07
,,2012 - 2013,1.34
,,2013 - 2014,1.93
,,2015 - 2016,9.5
,,2016 - 2017,9.5
,,2017 - 2018,9.51
,,2018 - 2019,9.48
,,2019 - 2020,9.36
,Bhind,2002 - 2003,
,,2003 - 2004,
,Bhopal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.0
,,2010 - 2011,1.13
,,2011 - 2012,1.0
,,2012 - 2013,1.43
,,2013 - 2014,1.4
,,2015 - 2016,5.29
,,2016 - 2017,5.43
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,19.69
,Burhanpur,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.3
,,2010 - 2011,0.93
,,2011 - 2012,1.0
,,2012 - 2013,1.09
,,2013 - 2014,1.04
,,2015 - 2016,23.32
,,2016 - 2017,23.35
,,2017 - 2018,23.35
,,2018 - 2019,23.35
,,2019 - 2020,19.74
,Chhatarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,0.61
,,2010 - 2011,0.58
,,2011 - 2012,0.37
,,2012 - 2013,0.68
,,2013 - 2014,0.84
,,2015 - 2016,14.0
,,2016 - 2017,14.0
,,2017 - 2018,13.56
,,2018 - 2019,13.42
,,2019 - 2020,13.41
,Chhindwara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.72
,,2010 - 2011,1.72
,,2011 - 2012,1.77
,,2012 - 2013,2.65
,,2013 - 2014,2.65
,,2015 - 2016,20.0
,,2016 - 2017,20.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,19.74
,Damoh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.45
,,2010 - 2011,1.5
,,2011 - 2012,1.17
,,2012 - 2013,1.61
,,2013 - 2014,1.94
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.25
,,2019 - 2020,15.0
,Datia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,0.73
,,2010 - 2011,0.56
,,2011 - 2012,0.56
,,2013 - 2014,0.88
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,Dewas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,0.95
,,2010 - 2011,1.09
,,2011 - 2012,0.87
,,2012 - 2013,0.91
,,2013 - 2014,0.85
,,2015 - 2016,21.1
,,2016 - 2017,21.1
,,2017 - 2018,21.16
,,2018 - 2019,21.18
,,2019 - 2020,21.18
,Dhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.46
,,2010 - 2011,1.46
,,2011 - 2012,1.22
,,2012 - 2013,1.53
,,2013 - 2014,3.69
,,2015 - 2016,12.0
,,2016 - 2017,19.03
,,2017 - 2018,23.5
,,2018 - 2019,23.3
,,2019 - 2020,18.91
,Dindori,2015 - 2016,0.1
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,12.0
,,2019 - 2020,12.0
,Guna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.06
,,2010 - 2011,1.0
,,2011 - 2012,0.82
,,2012 - 2013,1.04
,,2013 - 2014,1.19
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.0
,,2018 - 2019,15.0
,,2019 - 2020,15.0
,Gwalior,2002 - 2003,
,,2015 - 2016,25.0
,,2016 - 2017,25.0
,,2017 - 2018,25.0
,,2018 - 2019,25.0
,,2019 - 2020,25.0
,Harda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.44
,,2010 - 2011,1.06
,,2011 - 2012,1.1
,,2012 - 2013,1.37
,,2013 - 2014,1.64
,,2015 - 2016,11.7
,,2016 - 2017,11.8
,,2017 - 2018,11.81
,,2018 - 2019,11.81
,,2019 - 2020,11.81
,Hoshangabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.29
,,2010 - 2011,1.37
,,2011 - 2012,1.11
,,2012 - 2013,1.39
,,2013 - 2014,1.63
,,2015 - 2016,16.0
,,2016 - 2017,15.5
,,2017 - 2018,15.5
,,2018 - 2019,14.91
,,2019 - 2020,14.91
,Indore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.85
,,2010 - 2011,1.91
,,2011 - 2012,1.44
,,2012 - 2013,1.5
,,2013 - 2014,2.18
,,2015 - 2016,20.0
,,2016 - 2017,25.0
,,2017 - 2018,20.0
,,2018 - 2019,20.0
,,2019 - 2020,20.0
,Jabalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.55
,,2010 - 2011,1.6
,,2011 - 2012,1.55
,,2012 - 2013,1.69
,,2013 - 2014,1.69
,,2015 - 2016,15.0
,,2016 - 2017,15.0
,,2017 - 2018,15.01
,,2018 - 2019,14.0
,,2019 - 2020,15.01
,Jhabua,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.24
,,2010 - 2011,1.26
,,2011 - 2012,0.94
,,2012 - 2013,1.65
,,2013 - 2014,2.34
,,2015 - 2016,20.0
,,2016 - 2017,12.0
,,2017 - 2018,12.0
,,2018 - 2019,12.0
,,2019 - 2020,12.0
,Katni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,0.92
,,2010 - 2011,0.83
,,2011 - 2012,0.66
,,2012 - 2013,1.33
,,2013 - 2014,2.23
,,2015 - 2016,12.83
,,2016 - 2017,13.64
,,2017 - 2018,15.8
,,2018 - 2019,15.8
,,2019 - 2020,15.8
,Khandwa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.25
,,2010 - 2011,1.35
,,2011 - 2012,0.88
,,2012 - 2013,1.11
,,2013 - 2014,1.06
,,2015 - 2016,25.0
,,2016 - 2017,12.43
,,2017 - 2018,12.43
,,2018 - 2019,12.4
,,2019 - 2020,12.4
,Khargone,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2009 - 2010,1.08
,,2010 - 2011,1.05
,,2011 - 2012,0.8
,,2012 - 2013,0.82
,,2013 - 2014,0.82
,,2015 - 2016,24.2
