state,district,year,coriander_whole_year_yield_tonne_per_hectare
,,2020 - 2021,0.22
,,2021 - 2022,0.2
,,2022 - 2023,0.25
,Bastar,2000 - 2001,0.26
,,2001 - 2002,0.27
,,2002 - 2003,0.24
,,2003 - 2004,0.23
,,2004 - 2005,0.24
,,2005 - 2006,0.27
,,2006 - 2007,0.25
,,2007 - 2008,0.26
,,2008 - 2009,0.26
,,2009 - 2010,0.21
,,2010 - 2011,0.27
,,2011 - 2012,0.26
,,2012 - 2013,0.25
,,2013 - 2014,0.25
,,2014 - 2015,0.27
,,2015 - 2016,0.29
,,2016 - 2017,0.33
,,2017 - 2018,0.14
,,2018 - 2019,0.29
,,2019 - 2020,0.2
,,2020 - 2021,0.2
,,2021 - 2022,0.29
,,2022 - 2023,0.29
,Bemetara,2011 - 2012,0.28
,,2012 - 2013,0.26
,,2013 - 2014,0.24
,,2014 - 2015,0.25
,,2015 - 2016,0.25
,,2016 - 2017,0.28
,,2017 - 2018,0.28
,,2018 - 2019,0.3
,,2019 - 2020,0.27
,,2020 - 2021,0.3
,,2021 - 2022,0.32
,,2022 - 2023,0.32
,Bijapur,2006 - 2007,0.0
,,2007 - 2008,0.33
,,2009 - 2010,0.0
,,2012 - 2013,0.5
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,Bilaspur,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.26
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.25
,,2008 - 2009,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.26
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,0.28
,,2014 - 2015,0.27
,,2015 - 2016,0.27
,,2016 - 2017,0.26
,,2017 - 2018,0.27
,,2018 - 2019,0.28
,,2019 - 2020,0.27
,,2020 - 2021,0.22
,,2021 - 2022,0.27
,,2022 - 2023,0.26
,Dantewada,2000 - 2001,0.25
,,2001 - 2002,0.23
,,2003 - 2004,0.13
,,2004 - 2005,0.13
,,2005 - 2006,0.2
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,3.0
,,2009 - 2010,0.0
,,2010 - 2011,0.13
,,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.2
,,2015 - 2016,0.0
,,2016 - 2017,0.27
,,2017 - 2018,0.5
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,,2020 - 2021,1.0
,Dhamtari,2000 - 2001,0.37
,,2001 - 2002,0.41
,,2002 - 2003,0.34
,,2003 - 2004,0.4
,,2004 - 2005,0.41
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.4
,,2008 - 2009,0.41
,,2009 - 2010,0.4
,,2010 - 2011,0.41
,,2011 - 2012,0.41
,,2012 - 2013,0.41
,,2013 - 2014,0.41
,,2014 - 2015,0.4
,,2015 - 2016,0.41
,,2016 - 2017,0.41
,,2017 - 2018,0.41
,,2018 - 2019,0.42
,,2019 - 2020,0.44
,,2020 - 2021,0.43
,,2021 - 2022,0.42
,,2022 - 2023,0.5
,Durg,2000 - 2001,0.24
,,2001 - 2002,0.24
,,2002 - 2003,0.26
,,2003 - 2004,0.31
,,2004 - 2005,0.2
,,2005 - 2006,0.28
,,2006 - 2007,0.27
,,2007 - 2008,0.28
,,2008 - 2009,0.27
,,2009 - 2010,0.28
,,2010 - 2011,0.29
,,2011 - 2012,0.28
,,2012 - 2013,0.31
,,2013 - 2014,0.33
,,2014 - 2015,0.25
,,2015 - 2016,0.32
,,2016 - 2017,0.34
,,2017 - 2018,0.28
,,2018 - 2019,0.5
,,2019 - 2020,0.2
,,2020 - 2021,0.23
,,2021 - 2022,0.25
,,2022 - 2023,0.27
,Gariyaband,2011 - 2012,0.48
,,2012 - 2013,0.43
,,2013 - 2014,0.46
,,2014 - 2015,0.4
,,2015 - 2016,0.43
,,2016 - 2017,0.54
,,2017 - 2018,0.37
,,2018 - 2019,0.4
,,2019 - 2020,0.62
,,2020 - 2021,0.56
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Gaurella-pendra-marwahi,2019 - 2020,0.25
,,2021 - 2022,0.5
,,2022 - 2023,0.31
,Janjgir-champa,2000 - 2001,0.23
,,2001 - 2002,0.23
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.25
,,2005 - 2006,0.26
,,2006 - 2007,0.27
,,2007 - 2008,0.23
,,2008 - 2009,0.25
,,2009 - 2010,0.3
,,2010 - 2011,0.31
,,2011 - 2012,0.29
,,2012 - 2013,0.29
,,2013 - 2014,0.32
,,2014 - 2015,0.28
,,2015 - 2016,0.32
,,2016 - 2017,0.3
,,2017 - 2018,0.33
,,2019 - 2020,0.0
,,2020 - 2021,0.29
,,2021 - 2022,0.4
,,2022 - 2023,0.33
,Jashpur,2000 - 2001,0.21
,,2001 - 2002,0.21
,,2002 - 2003,0.2
,,2003 - 2004,0.22
,,2004 - 2005,0.21
,,2005 - 2006,0.21
,,2006 - 2007,0.23
,,2007 - 2008,0.21
,,2008 - 2009,0.21
,,2009 - 2010,0.22
,,2010 - 2011,0.21
,,2011 - 2012,0.18
,,2012 - 2013,0.18
,,2013 - 2014,0.24
,,2014 - 2015,0.2
,,2015 - 2016,0.15
,,2016 - 2017,0.23
,,2017 - 2018,0.23
,,2018 - 2019,0.24
,,2019 - 2020,0.21
,,2020 - 2021,0.22
,,2021 - 2022,0.22
,,2022 - 2023,0.22
,Kabirdham,2000 - 2001,0.11
,,2001 - 2002,0.23
,,2002 - 2003,0.2
,,2003 - 2004,0.25
,,2004 - 2005,0.2
,,2005 - 2006,0.21
,,2006 - 2007,0.21
,,2007 - 2008,0.24
,,2008 - 2009,0.2
,,2009 - 2010,0.21
,,2010 - 2011,0.25
,,2011 - 2012,0.26
,,2012 - 2013,0.24
,,2013 - 2014,0.24
,,2014 - 2015,0.27
,,2015 - 2016,0.3
,,2016 - 2017,0.24
,,2018 - 2019,0.32
,,2019 - 2020,0.31
,,2020 - 2021,0.33
,,2021 - 2022,0.27
,,2022 - 2023,0.29
,Kanker,2000 - 2001,0.2
,,2001 - 2002,0.33
,,2002 - 2003,0.17
,,2003 - 2004,0.28
,,2004 - 2005,0.26
,,2005 - 2006,0.24
,,2006 - 2007,0.25
,,2007 - 2008,0.26
,,2008 - 2009,0.2
,,2009 - 2010,0.22
,,2010 - 2011,0.29
,,2011 - 2012,0.24
,,2012 - 2013,0.23
,,2013 - 2014,0.17
,,2014 - 2015,0.16
,,2015 - 2016,0.21
,,2016 - 2017,0.22
,,2017 - 2018,0.28
,,2018 - 2019,0.22
,,2019 - 2020,0.23
,,2020 - 2021,0.33
,,2021 - 2022,0.29
,,2022 - 2023,0.27
,Khairgarh chhuikhadan gandai,2022 - 2023,0.25
,Kondagaon,2011 - 2012,0.24
,,2012 - 2013,0.24
,,2013 - 2014,0.26
,,2014 - 2015,0.21
,,2015 - 2016,0.21
,,2016 - 2017,0.26
,,2017 - 2018,0.17
,,2018 - 2019,0.25
,,2019 - 2020,0.29
,,2020 - 2021,0.2
,,2021 - 2022,0.36
,,2022 - 2023,0.27
,Korba,2001 - 2002,0.5
,,2004 - 2005,0.25
,,2006 - 2007,0.28
,,2007 - 2008,0.25
,,2008 - 2009,0.22
,,2009 - 2010,0.24
,,2010 - 2011,0.33
,,2011 - 2012,0.23
,,2012 - 2013,0.26
,,2013 - 2014,0.26
,,2014 - 2015,0.27
,,2015 - 2016,0.25
,,2016 - 2017,0.33
,,2017 - 2018,0.21
,,2018 - 2019,0.26
,,2019 - 2020,0.25
,,2020 - 2021,0.29
,,2021 - 2022,0.29
,,2022 - 2023,0.5
,Korea,2000 - 2001,0.23
,,2001 - 2002,0.24
,,2002 - 2003,0.19
,,2003 - 2004,0.23
,,2004 - 2005,0.18
,,2005 - 2006,0.17
,,2006 - 2007,0.17
,,2007 - 2008,0.15
,,2008 - 2009,0.22
,,2009 - 2010,0.2
,,2010 - 2011,0.19
,,2011 - 2012,0.17
,,2012 - 2013,0.19
,,2013 - 2014,0.21
,,2014 - 2015,0.19
,,2015 - 2016,0.17
,,2016 - 2017,0.2
,,2017 - 2018,0.21
,,2018 - 2019,0.18
,,2019 - 2020,0.22
,,2020 - 2021,0.2
,,2021 - 2022,0.18
,,2022 - 2023,0.21
,Mahasamund,2000 - 2001,0.47
,,2001 - 2002,0.44
,,2002 - 2003,0.35
,,2003 - 2004,0.37
,,2004 - 2005,0.37
,,2005 - 2006,0.34
,,2006 - 2007,0.36
,,2007 - 2008,0.37
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.37
,,2011 - 2012,0.47
,,2012 - 2013,0.44
,,2013 - 2014,0.42
,,2014 - 2015,0.41
,,2015 - 2016,0.42
,,2016 - 2017,0.39
,,2017 - 2018,0.41
,,2018 - 2019,0.4
,,2019 - 2020,0.42
,,2020 - 2021,0.33
,,2021 - 2022,0.5
,,2022 - 2023,0.44
,Manendragarh chirimiri bharatpur,2022 - 2023,0.23
,Mohla manpur ambagarh chouki,2022 - 2023,0.33
,Mungeli,2011 - 2012,0.27
,,2012 - 2013,0.29
,,2013 - 2014,0.29
,,2014 - 2015,0.27
,,2015 - 2016,0.29
,,2016 - 2017,0.29
,,2017 - 2018,0.23
,,2018 - 2019,0.24
,,2019 - 2020,0.37
,,2020 - 2021,0.28
,,2021 - 2022,0.26
,,2022 - 2023,0.27
,Narayanpur,2006 - 2007,0.0
,,2007 - 2008,0.2
,,2008 - 2009,3.0
,,2009 - 2010,0.25
,,2010 - 2011,0.29
,,2011 - 2012,0.17
,,2012 - 2013,0.0
,,2013 - 2014,0.5
,,2014 - 2015,0.29
,,2015 - 2016,0.25
,,2016 - 2017,0.25
,,2017 - 2018,0.0
,,2018 - 2019,0.4
,,2019 - 2020,0.0
,,2020 - 2021,0.5
,Raigarh,2000 - 2001,0.2
,,2001 - 2002,0.21
,,2002 - 2003,0.2
,,2003 - 2004,0.22
,,2004 - 2005,0.2
,,2005 - 2006,0.22
,,2006 - 2007,0.23
,,2007 - 2008,0.22
,,2008 - 2009,0.22
,,2009 - 2010,0.18
,,2010 - 2011,0.2
,,2011 - 2012,0.18
,,2012 - 2013,0.22
,,2013 - 2014,0.18
,,2015 - 2016,0.29
,,2017 - 2018,0.24
,,2019 - 2020,0.3
,,2020 - 2021,0.23
,,2021 - 2022,0.22
,,2022 - 2023,0.22
,Raipur,2000 - 2001,0.37
,,2001 - 2002,0.38
,,2002 - 2003,0.34
,,2003 - 2004,0.37
,,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.37
,,2007 - 2008,0.37
,,2008 - 2009,0.37
,,2009 - 2010,0.37
,,2010 - 2011,0.43
,,2011 - 2012,0.48
,,2012 - 2013,0.44
,,2013 - 2014,0.47
,,2014 - 2015,0.47
,,2015 - 2016,0.44
,,2016 - 2017,0.5
,,2017 - 2018,0.43
,,2018 - 2019,0.51
,,2019 - 2020,0.41
,,2020 - 2021,0.57
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Rajnandgaon,2000 - 2001,0.23
,,2001 - 2002,0.23
,,2002 - 2003,0.22
,,2003 - 2004,0.22
,,2004 - 2005,0.23
