state,district,year,masoor_rabi_yield_tonne_per_hectare
,,2015 - 2016,1.16
,,2016 - 2017,1.13
,,2017 - 2018,1.19
,,2018 - 2019,1.01
,,2019 - 2020,0.86
,,2020 - 2021,0.89
,,2021 - 2022,1.09
,,2022 - 2023,1.09
,Khagaria,2000 - 2001,0.77
,,2001 - 2002,0.45
,,2002 - 2003,0.51
,,2003 - 2004,0.75
,,2004 - 2005,0.6
,,2005 - 2006,0.82
,,2006 - 2007,0.83
,,2007 - 2008,1.03
,,2008 - 2009,0.86
,,2009 - 2010,0.92
,,2010 - 2011,0.94
,,2011 - 2012,0.97
,,2012 - 2013,1.17
,,2013 - 2014,1.52
,,2014 - 2015,0.91
,,2015 - 2016,0.78
,,2016 - 2017,0.93
,,2017 - 2018,1.04
,,2018 - 2019,0.91
,,2019 - 2020,0.79
,,2020 - 2021,0.81
,,2021 - 2022,0.97
,,2022 - 2023,0.98
,Kishanganj,2000 - 2001,0.47
,,2001 - 2002,0.83
,,2002 - 2003,0.51
,,2003 - 2004,0.38
,,2004 - 2005,0.49
,,2005 - 2006,0.6
,,2006 - 2007,0.63
,,2007 - 2008,0.58
,,2008 - 2009,0.52
,,2009 - 2010,0.68
,,2010 - 2011,0.6
,,2011 - 2012,0.69
,,2012 - 2013,0.81
,,2013 - 2014,0.9
,,2014 - 2015,0.73
,,2015 - 2016,0.77
,,2016 - 2017,0.66
,,2017 - 2018,0.57
,,2018 - 2019,0.39
,,2019 - 2020,0.84
,,2020 - 2021,0.85
,,2021 - 2022,0.74
,,2022 - 2023,0.97
,Lakhisarai,2000 - 2001,1.05
,,2001 - 2002,0.65
,,2002 - 2003,0.89
,,2003 - 2004,0.97
,,2004 - 2005,0.45
,,2005 - 2006,1.15
,,2006 - 2007,0.8
,,2007 - 2008,0.87
,,2008 - 2009,0.91
,,2009 - 2010,1.26
,,2010 - 2011,0.68
,,2011 - 2012,1.02
,,2012 - 2013,1.47
,,2013 - 2014,1.88
,,2014 - 2015,0.78
,,2015 - 2016,1.02
,,2016 - 2017,1.58
,,2017 - 2018,1.16
,,2018 - 2019,1.25
,,2019 - 2020,0.62
,,2020 - 2021,1.1
,,2021 - 2022,0.83
,,2022 - 2023,1.19
,Madhepura,2000 - 2001,0.9
,,2001 - 2002,1.17
,,2002 - 2003,0.44
,,2003 - 2004,0.38
,,2004 - 2005,0.55
,,2005 - 2006,0.59
,,2006 - 2007,0.51
,,2007 - 2008,0.61
,,2008 - 2009,0.72
,,2009 - 2010,0.48
,,2010 - 2011,0.52
,,2011 - 2012,0.8
,,2012 - 2013,0.7
,,2013 - 2014,1.25
,,2014 - 2015,0.62
,,2015 - 2016,1.24
,,2016 - 2017,0.6
,,2017 - 2018,1.12
,,2018 - 2019,0.82
,,2019 - 2020,0.81
,,2020 - 2021,0.62
,,2021 - 2022,0.69
,,2022 - 2023,0.72
,Madhubani,2000 - 2001,0.83
,,2001 - 2002,0.92
,,2002 - 2003,0.78
,,2003 - 2004,0.36
,,2004 - 2005,0.66
,,2005 - 2006,0.39
,,2006 - 2007,0.47
,,2007 - 2008,0.6
,,2008 - 2009,0.47
,,2009 - 2010,0.67
,,2010 - 2011,0.69
,,2011 - 2012,0.79
,,2012 - 2013,0.97
,,2013 - 2014,0.87
,,2014 - 2015,0.57
,,2015 - 2016,0.6
,,2016 - 2017,0.85
,,2017 - 2018,0.93
,,2018 - 2019,1.13
,,2019 - 2020,1.0
,,2020 - 2021,0.78
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Munger,2000 - 2001,1.06
,,2001 - 2002,0.65
,,2002 - 2003,0.78
,,2003 - 2004,0.51
,,2004 - 2005,0.49
,,2005 - 2006,1.0
,,2006 - 2007,0.85
,,2007 - 2008,0.88
,,2008 - 2009,0.56
,,2009 - 2010,0.83
,,2010 - 2011,0.79
,,2011 - 2012,0.81
,,2012 - 2013,1.05
,,2013 - 2014,1.19
,,2014 - 2015,0.77
,,2015 - 2016,0.85
,,2016 - 2017,1.19
,,2017 - 2018,0.85
,,2018 - 2019,0.77
,,2019 - 2020,0.77
,,2020 - 2021,0.92
,,2021 - 2022,0.93
,,2022 - 2023,0.66
,Muzaffarpur,2000 - 2001,0.97
,,2001 - 2002,0.86
,,2002 - 2003,0.7
,,2003 - 2004,3.03
,,2004 - 2005,0.54
,,2005 - 2006,0.64
,,2006 - 2007,0.71
,,2007 - 2008,0.68
,,2008 - 2009,0.6
,,2009 - 2010,1.03
,,2010 - 2011,0.71
,,2011 - 2012,0.73
,,2012 - 2013,0.9
,,2013 - 2014,0.53
,,2014 - 2015,0.55
,,2015 - 2016,0.61
,,2016 - 2017,0.85
,,2017 - 2018,0.7
,,2018 - 2019,0.82
,,2019 - 2020,0.58
,,2020 - 2021,0.86
,,2021 - 2022,0.55
,,2022 - 2023,0.57
,Nalanda,2000 - 2001,1.09
,,2001 - 2002,0.33
,,2002 - 2003,0.87
,,2003 - 2004,0.83
,,2004 - 2005,0.5
,,2005 - 2006,0.68
,,2006 - 2007,0.72
,,2007 - 2008,0.8
,,2008 - 2009,0.91
,,2009 - 2010,0.91
,,2010 - 2011,1.1
,,2011 - 2012,0.6
,,2012 - 2013,1.28
,,2013 - 2014,1.23
,,2014 - 2015,1.01
,,2015 - 2016,1.26
,,2016 - 2017,0.92
,,2017 - 2018,1.2
,,2018 - 2019,1.08
,,2019 - 2020,0.54
,,2020 - 2021,1.12
,,2021 - 2022,0.95
,,2022 - 2023,1.43
,Nawada,2000 - 2001,0.66
,,2001 - 2002,0.83
,,2002 - 2003,0.4
,,2003 - 2004,0.65
,,2004 - 2005,0.66
,,2005 - 2006,0.5
,,2006 - 2007,0.67
,,2007 - 2008,0.69
,,2008 - 2009,0.79
,,2009 - 2010,0.85
,,2010 - 2011,1.3
,,2011 - 2012,0.83
,,2012 - 2013,1.13
,,2013 - 2014,0.65
,,2014 - 2015,0.5
,,2015 - 2016,1.12
,,2016 - 2017,0.94
,,2017 - 2018,0.94
,,2018 - 2019,1.01
,,2019 - 2020,0.9
,,2020 - 2021,0.79
,,2021 - 2022,0.74
,,2022 - 2023,0.82
,Pashchim champaran,2000 - 2001,0.87
,,2001 - 2002,0.44
,,2002 - 2003,0.54
,,2003 - 2004,0.6
,,2004 - 2005,0.74
,,2005 - 2006,0.2
,,2006 - 2007,0.85
,,2007 - 2008,0.2
,,2008 - 2009,0.84
,,2009 - 2010,0.66
,,2010 - 2011,0.64
,,2011 - 2012,1.38
,,2012 - 2013,0.87
,,2013 - 2014,2.85
,,2014 - 2015,0.44
,,2015 - 2016,0.63
,,2016 - 2017,1.21
,,2017 - 2018,0.77
,,2018 - 2019,0.89
,,2019 - 2020,0.85
,,2020 - 2021,0.9
,,2021 - 2022,1.2
,,2022 - 2023,1.01
,Patna,2000 - 2001,1.25
,,2001 - 2002,1.18
,,2002 - 2003,1.32
,,2003 - 2004,1.26
,,2004 - 2005,1.1
,,2005 - 2006,1.32
,,2006 - 2007,0.73
,,2007 - 2008,0.97
,,2008 - 2009,0.92
,,2009 - 2010,1.26
,,2010 - 2011,1.08
,,2011 - 2012,1.11
,,2012 - 2013,1.39
,,2013 - 2014,1.61
,,2014 - 2015,1.49
,,2015 - 2016,1.05
,,2016 - 2017,1.18
,,2017 - 2018,1.6
,,2018 - 2019,1.23
,,2019 - 2020,0.54
,,2020 - 2021,1.16
,,2021 - 2022,1.18
,,2022 - 2023,1.35
,Purbi champaran,2000 - 2001,1.06
,,2001 - 2002,0.85
,,2002 - 2003,0.56
,,2003 - 2004,0.86
,,2004 - 2005,0.64
,,2005 - 2006,0.6
,,2006 - 2007,0.57
,,2007 - 2008,0.78
,,2008 - 2009,0.93
,,2009 - 2010,0.8
,,2010 - 2011,1.16
,,2011 - 2012,0.85
,,2012 - 2013,0.98
,,2013 - 2014,1.2
,,2014 - 2015,0.29
,,2015 - 2016,0.58
,,2016 - 2017,0.72
,,2017 - 2018,1.39
,,2018 - 2019,1.21
,,2019 - 2020,0.91
,,2020 - 2021,1.45
,,2021 - 2022,1.12
,,2022 - 2023,0.96
,Purnia,2000 - 2001,0.87
,,2001 - 2002,0.59
,,2002 - 2003,0.8
,,2003 - 2004,0.71
,,2004 - 2005,0.53
,,2005 - 2006,0.41
,,2006 - 2007,0.59
,,2007 - 2008,0.7
,,2008 - 2009,0.71
,,2009 - 2010,0.7
,,2010 - 2011,0.63
,,2011 - 2012,0.62
,,2012 - 2013,0.73
,,2013 - 2014,0.76
,,2014 - 2015,0.93
,,2015 - 2016,0.83
,,2016 - 2017,0.88
,,2017 - 2018,0.6
,,2018 - 2019,0.75
,,2019 - 2020,0.85
,,2020 - 2021,0.43
,,2021 - 2022,0.61
,,2022 - 2023,1.27
,Rohtas,2000 - 2001,0.76
,,2001 - 2002,0.84
,,2002 - 2003,0.86
,,2003 - 2004,0.62
,,2004 - 2005,0.77
,,2005 - 2006,1.0
,,2006 - 2007,0.59
,,2007 - 2008,1.04
,,2008 - 2009,0.87
,,2009 - 2010,0.57
,,2010 - 2011,0.95
,,2011 - 2012,1.3
,,2012 - 2013,1.18
,,2013 - 2014,1.01
,,2014 - 2015,1.31
,,2015 - 2016,0.96
,,2016 - 2017,1.14
,,2017 - 2018,0.92
,,2018 - 2019,0.95
,,2019 - 2020,0.86
,,2020 - 2021,0.76
,,2021 - 2022,0.73
,,2022 - 2023,0.88
,Saharsa,2000 - 2001,0.66
,,2001 - 2002,0.85
,,2002 - 2003,0.48
,,2003 - 2004,0.7
,,2004 - 2005,0.41
,,2005 - 2006,0.49
,,2006 - 2007,0.53
,,2007 - 2008,0.64
,,2008 - 2009,0.49
,,2009 - 2010,0.48
,,2010 - 2011,0.49
,,2011 - 2012,0.69
,,2012 - 2013,0.29
,,2013 - 2014,0.67
,,2014 - 2015,0.5
,,2015 - 2016,1.14
,,2016 - 2017,1.25
,,2017 - 2018,0.85
,,2018 - 2019,0.66
,,2019 - 2020,0.93
,,2020 - 2021,1.06
,,2021 - 2022,0.45
,,2022 - 2023,0.84
,Samastipur,2000 - 2001,0.9
,,2001 - 2002,0.69
,,2002 - 2003,0.78
,,2003 - 2004,0.6
,,2004 - 2005,0.5
,,2005 - 2006,0.69
,,2006 - 2007,0.8
,,2007 - 2008,0.91
,,2008 - 2009,0.86
,,2009 - 2010,0.93
,,2010 - 2011,1.11
,,2011 - 2012,1.37
,,2012 - 2013,1.36
,,2013 - 2014,0.86
,,2014 - 2015,0.64
,,2015 - 2016,0.65
,,2016 - 2017,1.13
,,2017 - 2018,0.97
,,2018 - 2019,0.98
,,2019 - 2020,1.1
,,2020 - 2021,0.89
,,2021 - 2022,0.91
,,2022 - 2023,1.05
,Saran,2000 - 2001,0.62
,,2001 - 2002,1.08
,,2002 - 2003,0.75
,,2003 - 2004,0.93
,,2004 - 2005,0.71
,,2005 - 2006,0.74
,,2006 - 2007,0.73
,,2007 - 2008,0.77
,,2008 - 2009,0.81
,,2009 - 2010,0.89
,,2010 - 2011,0.94
,,2011 - 2012,1.02
,,2012 - 2013,1.15
,,2013 - 2014,1.27
,,2014 - 2015,1.46
,,2015 - 2016,0.62
,,2016 - 2017,0.57
,,2017 - 2018,1.04
,,2018 - 2019,1.19
,,2019 - 2020,0.93
,,2020 - 2021,0.95
,,2021 - 2022,1.23
,,2022 - 2023,1.0
,Sheikhpura,2000 - 2001,1.17
,,2001 - 2002,0.54
,,2002 - 2003,0.67
,,2003 - 2004,1.01
,,2004 - 2005,0.49
,,2005 - 2006,0.91
,,2006 - 2007,1.06
,,2007 - 2008,0.86
,,2008 - 2009,0.99
,,2009 - 2010,1.28
,,2010 - 2011,0.77
,,2011 - 2012,0.89
,,2012 - 2013,0.93
,,2013 - 2014,1.05
,,2014 - 2015,1.19
,,2015 - 2016,1.5
,,2016 - 2017,1.22
,,2017 - 2018,1.45
,,2018 - 2019,1.04
,,2019 - 2020,0.47
,,2020 - 2021,0.84
,,2021 - 2022,0.6
,,2022 - 2023,0.74
,Sheohar,2000 - 2001,0.91
,,2001 - 2002,0.62
,,2002 - 2003,0.56
,,2003 - 2004,0.87
,,2004 - 2005,0.67
,,2005 - 2006,0.38
,,2006 - 2007,0.76
,,2007 - 2008,0.67
,,2008 - 2009,0.35
,,2009 - 2010,0.06
,,2010 - 2011,0.94
,,2011 - 2012,1.27
,,2012 - 2013,0.79
,,2013 - 2014,0.85
,,2014 - 2015,0.18
,,2015 - 2016,0.46
,,2016 - 2017,0.65
,,2017 - 2018,0.14
,,2018 - 2019,0.9
,,2019 - 2020,1.04
,,2020 - 2021,0.89
,,2021 - 2022,0.8
,,2022 - 2023,1.34
,Sitamarhi,2000 - 2001,0.72
,,2001 - 2002,0.62
,,2002 - 2003,0.58
,,2003 - 2004,0.63
,,2004 - 2005,0.51
,,2005 - 2006,0.49
,,2006 - 2007,0.76
,,2007 - 2008,1.67
,,2008 - 2009,0.84
,,2009 - 2010,0.79
,,2010 - 2011,0.87
,,2011 - 2012,0.76
,,2012 - 2013,0.69
,,2013 - 2014,0.69
,,2014 - 2015,0.17
,,2015 - 2016,0.96
,,2016 - 2017,0.96
,,2017 - 2018,0.86
,,2018 - 2019,1.03
,,2019 - 2020,1.3
,,2020 - 2021,0.75
,,2021 - 2022,0.3
,,2022 - 2023,0.89
,Siwan,2000 - 2001,0.78
,,2001 - 2002,1.08
,,2002 - 2003,0.75
,,2003 - 2004,0.93
,,2004 - 2005,0.71
,,2005 - 2006,0.74
,,2006 - 2007,0.73
,,2007 - 2008,0.8
,,2008 - 2009,0.81
,,2009 - 2010,0.89
,,2010 - 2011,0.94
,,2011 - 2012,1.02
,,2012 - 2013,1.15
,,2013 - 2014,1.27
,,2014 - 2015,1.45
,,2015 - 2016,0.63
,,2016 - 2017,0.57
,,2017 - 2018,1.04
,,2018 - 2019,1.19
,,2019 - 2020,0.93
,,2020 - 2021,0.96
,,2021 - 2022,1.21
,,2022 - 2023,1.21
,Supaul,2000 - 2001,0.56
,,2001 - 2002,0.52
,,2002 - 2003,0.42
,,2003 - 2004,0.38
,,2004 - 2005,0.48
,,2005 - 2006,0.5
,,2006 - 2007,0.61
,,2007 - 2008,0.6
,,2008 - 2009,0.63
,,2009 - 2010,0.24
,,2010 - 2011,0.42
,,2011 - 2012,0.76
,,2012 - 2013,0.6
,,2013 - 2014,1.43
,,2014 - 2015,0.85
,,2015 - 2016,0.74
,,2016 - 2017,0.9
,,2017 - 2018,0.13
,,2018 - 2019,0.5
,,2019 - 2020,0.76
,,2020 - 2021,0.9
,,2021 - 2022,0.66
,,2022 - 2023,0.67
,Vaishali,2000 - 2001,3.47
,,2001 - 2002,0.62
,,2002 - 2003,0.56
,,2003 - 2004,0.87
,,2004 - 2005,0.67
,,2005 - 2006,0.38
,,2006 - 2007,0.76
,,2007 - 2008,0.69
,,2008 - 2009,0.84
,,2009 - 2010,0.71
,,2010 - 2011,0.82
,,2011 - 2012,1.12
,,2012 - 2013,0.9
,,2013 - 2014,1.87
,,2014 - 2015,0.36
,,2015 - 2016,0.64
,,2016 - 2017,0.96
,,2017 - 2018,0.94
,,2018 - 2019,1.0
,,2019 - 2020,0.92
,,2020 - 2021,1.03
,,2021 - 2022,0.93
,,2022 - 2023,0.97
Chandigarh,Chandigarh,2000 - 2001,1.5
,,2001 - 2002,1.25
Chhattisgarh,Balod,2011 - 2012,0.17
,,2012 - 2013,0.29
,,2013 - 2014,0.3
,,2014 - 2015,0.34
,,2015 - 2016,0.29
,,2016 - 2017,0.35
,,2017 - 2018,0.32
,,2018 - 2019,0.35
,,2019 - 2020,0.32
,,2020 - 2021,0.35
,,2021 - 2022,0.33
,,2022 - 2023,0.33
,Baloda bazar,2011 - 2012,0.36
,,2012 - 2013,0.42
,,2013 - 2014,0.39
,,2014 - 2015,0.46
,,2015 - 2016,0.36
,,2016 - 2017,0.49
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.34
,,2020 - 2021,0.37
,,2021 - 2022,0.36
,,2022 - 2023,0.39
,Balrampur,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2013 - 2014,0.28
,,2014 - 2015,0.22
,,2015 - 2016,0.3
,,2016 - 2017,0.32
,,2017 - 2018,0.3
,,2018 - 2019,0.34
,,2019 - 2020,0.32
,,2020 - 2021,0.3
,,2021 - 2022,0.38
,,2022 - 2023,0.3
,Bastar,2000 - 2001,0.29
,,2001 - 2002,0.29
,,2002 - 2003,0.3
,,2003 - 2004,0.28
,,2004 - 2005,0.31
,,2005 - 2006,0.25
,,2006 - 2007,0.31
,,2007 - 2008,0.23
,,2008 - 2009,0.35
,,2009 - 2010,0.3
,,2010 - 2011,0.31
,,2011 - 2012,0.31
,,2012 - 2013,0.33
,,2013 - 2014,0.17
,,2014 - 2015,0.33
,,2015 - 2016,0.0
,,2016 - 2017,0.31
,,2017 - 2018,0.28
,,2018 - 2019,0.28
,,2019 - 2020,0.29
,,2020 - 2021,0.27
,,2021 - 2022,0.3
,,2022 - 2023,0.32
,Bemetara,2011 - 2012,0.35
,,2012 - 2013,0.32
,,2013 - 2014,0.35
,,2014 - 2015,0.32
,,2015 - 2016,0.34
,,2016 - 2017,0.36
,,2017 - 2018,0.36
,,2018 - 2019,0.4
,,2019 - 2020,0.38
,,2020 - 2021,0.49
,,2021 - 2022,0.37
,,2022 - 2023,0.49
,Bilaspur,2000 - 2001,0.28
,,2001 - 2002,0.31
,,2002 - 2003,0.29
,,2003 - 2004,0.32
,,2004 - 2005,0.28
,,2005 - 2006,0.3
,,2006 - 2007,0.31
,,2007 - 2008,0.32
,,2008 - 2009,0.32
,,2009 - 2010,0.33
,,2010 - 2011,0.27
,,2011 - 2012,0.32
,,2012 - 2013,0.32
,,2013 - 2014,0.34
,,2014 - 2015,0.34
,,2015 - 2016,0.32
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.35
,,2019 - 2020,0.32
,,2020 - 2021,0.41
,,2021 - 2022,0.37
,,2022 - 2023,0.36
,Dantewada,2020 - 2021,0.0
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Dhamtari,2000 - 2001,0.37
,,2001 - 2002,0.39
,,2002 - 2003,0.39
,,2003 - 2004,0.39
,,2004 - 2005,0.33
,,2005 - 2006,0.39
,,2006 - 2007,0.39
,,2007 - 2008,0.39
,,2008 - 2009,0.39
,,2009 - 2010,0.39
,,2010 - 2011,0.39
,,2011 - 2012,0.39
,,2012 - 2013,0.39
,,2013 - 2014,0.39
,,2014 - 2015,0.39
,,2015 - 2016,0.39
,,2016 - 2017,0.39
,,2017 - 2018,0.39
,,2018 - 2019,0.39
,,2019 - 2020,0.39
,,2020 - 2021,0.41
,,2021 - 2022,0.4
,,2022 - 2023,0.4
,Durg,2000 - 2001,0.25
,,2001 - 2002,0.3
,,2002 - 2003,0.31
,,2003 - 2004,0.35
,,2004 - 2005,0.22
,,2005 - 2006,0.43
,,2006 - 2007,0.34
,,2007 - 2008,0.36
,,2008 - 2009,0.34
,,2009 - 2010,0.3
,,2010 - 2011,0.34
,,2011 - 2012,0.35
,,2012 - 2013,0.36
,,2013 - 2014,0.29
,,2014 - 2015,0.38
,,2015 - 2016,0.3
,,2016 - 2017,0.35
,,2017 - 2018,0.35
,,2018 - 2019,0.35
,,2019 - 2020,0.23
,,2020 - 2021,0.4
,,2021 - 2022,0.41
,,2022 - 2023,0.39
,Gariyaband,2011 - 2012,0.36
,,2012 - 2013,0.36
,,2013 - 2014,0.29
,,2014 - 2015,0.32
,,2015 - 2016,0.39
,,2016 - 2017,0.39
,,2017 - 2018,0.38
,,2018 - 2019,0.38
,,2019 - 2020,0.36
,,2020 - 2021,0.45
,,2021 - 2022,0.39
,,2022 - 2023,0.39
,Gaurella-pendra-marwahi,2019 - 2020,0.33
,,2020 - 2021,0.36
,,2021 - 2022,0.37
,,2022 - 2023,0.36
,Janjgir-champa,2000 - 2001,0.27
,,2001 - 2002,0.35
,,2002 - 2003,0.32
,,2003 - 2004,0.31
,,2004 - 2005,0.31
,,2005 - 2006,0.32
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.31
,,2009 - 2010,0.36
,,2010 - 2011,0.29
,,2011 - 2012,0.33
,,2012 - 2013,0.35
,,2013 - 2014,0.35
,,2014 - 2015,0.28
,,2015 - 2016,0.36
,,2016 - 2017,0.4
,,2017 - 2018,0.27
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.67
,Jashpur,2000 - 2001,0.28
,,2001 - 2002,0.3
,,2002 - 2003,0.3
,,2003 - 2004,0.28
,,2004 - 2005,0.29
,,2005 - 2006,0.26
,,2006 - 2007,0.29
,,2007 - 2008,0.28
,,2008 - 2009,0.28
,,2009 - 2010,0.29
,,2010 - 2011,0.29
,,2011 - 2012,0.31
,,2012 - 2013,0.28
,,2013 - 2014,0.31
,,2014 - 2015,0.31
,,2015 - 2016,0.28
,,2016 - 2017,0.31
,,2017 - 2018,0.31
,,2018 - 2019,0.28
,,2019 - 2020,0.29
,,2020 - 2021,0.31
,,2021 - 2022,0.32
,,2022 - 2023,0.33
,Kabirdham,2000 - 2001,0.16
,,2001 - 2002,0.3
,,2002 - 2003,0.31
,,2003 - 2004,0.3
,,2004 - 2005,0.23
,,2005 - 2006,0.27
,,2006 - 2007,0.27
,,2007 - 2008,0.27
,,2008 - 2009,0.27
,,2009 - 2010,0.27
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.27
,,2013 - 2014,0.3
,,2014 - 2015,0.3
,,2015 - 2016,0.33
,,2016 - 2017,0.43
,,2017 - 2018,0.3
,,2018 - 2019,0.34
,,2019 - 2020,0.35
,,2020 - 2021,0.25
,,2021 - 2022,0.37
,,2022 - 2023,0.37
,Kanker,2000 - 2001,0.23
,,2001 - 2002,0.31
,,2002 - 2003,0.13
,,2003 - 2004,0.34
,,2004 - 2005,0.3
,,2005 - 2006,0.32
,,2006 - 2007,0.32
,,2007 - 2008,0.32
,,2008 - 2009,0.32
,,2009 - 2010,0.28
,,2010 - 2011,0.31
,,2011 - 2012,0.33
,,2012 - 2013,0.27
,,2013 - 2014,0.24
,,2014 - 2015,0.25
,,2015 - 2016,0.21
,,2016 - 2017,0.22
,,2017 - 2018,0.25
,,2018 - 2019,0.24
,,2019 - 2020,0.24
,,2020 - 2021,0.32
,,2021 - 2022,0.34
,,2022 - 2023,0.3
,Khairgarh chhuikhadan gandai,2022 - 2023,16.88
,Kondagaon,2012 - 2013,0.27
,,2014 - 2015,0.0
,,2015 - 2016,0.0
,,2016 - 2017,0.0
,,2018 - 2019,0.33
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Korba,2000 - 2001,0.29
,,2001 - 2002,0.3
,,2002 - 2003,0.27
,,2003 - 2004,0.27
,,2004 - 2005,0.25
,,2005 - 2006,0.23
,,2006 - 2007,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.31
,,2009 - 2010,0.28
,,2010 - 2011,0.27
,,2011 - 2012,0.34
,,2012 - 2013,0.28
,,2013 - 2014,0.28
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,,2016 - 2017,0.32
,,2017 - 2018,0.33
,,2018 - 2019,0.31
,,2019 - 2020,0.4
,,2020 - 2021,0.5
,,2021 - 2022,1.0
,,2022 - 2023,0.5
,Korea,2000 - 2001,0.3
,,2001 - 2002,0.3
,,2002 - 2003,0.19
,,2003 - 2004,0.29
,,2004 - 2005,0.24
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.26
,,2008 - 2009,0.33
,,2009 - 2010,0.27
,,2010 - 2011,0.18
,,2011 - 2012,0.32
,,2012 - 2013,0.22
,,2013 - 2014,0.24
,,2014 - 2015,0.3
,,2015 - 2016,0.24
,,2016 - 2017,0.26
,,2017 - 2018,0.28
,,2018 - 2019,0.18
,,2019 - 2020,0.32
,,2020 - 2021,0.3
,,2021 - 2022,0.28
,,2022 - 2023,0.29
,Mahasamund,2000 - 2001,0.36
,,2001 - 2002,1.81
,,2002 - 2003,0.31
,,2003 - 2004,0.26
,,2004 - 2005,0.29
,,2005 - 2006,0.33
,,2006 - 2007,0.28
,,2007 - 2008,0.44
,,2008 - 2009,0.33
,,2009 - 2010,0.4
,,2010 - 2011,0.43
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.0
,,2018 - 2019,1.0
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Manendragarh chirimiri bharatpur,2022 - 2023,0.31
,Mohla manpur ambagarh chouki,2022 - 2023,0.42
,Mungeli,2011 - 2012,0.32
,,2012 - 2013,0.34
,,2013 - 2014,0.35
,,2014 - 2015,0.34
,,2015 - 2016,0.35
,,2016 - 2017,0.35
,,2017 - 2018,0.27
,,2018 - 2019,0.32
,,2019 - 2020,0.16
,,2020 - 2021,0.32
,,2021 - 2022,0.32
,,2022 - 2023,0.32
,Narayanpur,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.0
,,2020 - 2021,0.67
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Raigarh,2000 - 2001,0.28
,,2001 - 2002,0.29
,,2002 - 2003,0.29
,,2003 - 2004,0.28
,,2004 - 2005,0.27
,,2005 - 2006,0.28
,,2006 - 2007,0.32
,,2007 - 2008,0.31
,,2008 - 2009,0.32
,,2009 - 2010,0.29
,,2010 - 2011,0.33
,,2011 - 2012,0.32
,,2012 - 2013,0.33
,,2013 - 2014,0.32
,,2014 - 2015,0.34
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2017 - 2018,0.32
,,2018 - 2019,0.28
,,2019 - 2020,0.32
,,2020 - 2021,0.34
,,2021 - 2022,0.33
,,2022 - 2023,0.32
,Raipur,2000 - 2001,0.33
,,2001 - 2002,0.38
,,2002 - 2003,0.35
,,2003 - 2004,0.35
,,2004 - 2005,0.29
,,2005 - 2006,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.35
,,2010 - 2011,0.38
,,2011 - 2012,0.36
,,2012 - 2013,0.42
,,2013 - 2014,0.39
,,2014 - 2015,0.46
,,2015 - 2016,0.42
,,2016 - 2017,0.49
,,2017 - 2018,0.49
,,2018 - 2019,0.49
,,2019 - 2020,0.36
,,2020 - 2021,0.61
,,2021 - 2022,0.61
,,2022 - 2023,0.61
,Rajnandgaon,2000 - 2001,0.28
,,2001 - 2002,0.29
,,2002 - 2003,0.27
,,2003 - 2004,0.35
,,2004 - 2005,0.3
,,2005 - 2006,0.31
,,2006 - 2007,0.31
,,2007 - 2008,0.31
,,2008 - 2009,0.27
,,2009 - 2010,0.28
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.27
,,2013 - 2014,0.28
,,2014 - 2015,0.35
,,2015 - 2016,0.33
,,2016 - 2017,0.34
,,2017 - 2018,0.35
,,2018 - 2019,0.35
,,2019 - 2020,0.28
,,2020 - 2021,0.38
,,2021 - 2022,0.38
,,2022 - 2023,0.42
,Sakti,2022 - 2023,0.5
,Surajpur,2011 - 2012,0.3
,,2012 - 2013,0.32
,,2013 - 2014,0.35
,,2014 - 2015,0.32
,,2015 - 2016,0.29
,,2016 - 2017,0.33
,,2017 - 2018,0.34
,,2018 - 2019,0.37
,,2019 - 2020,0.4
,,2020 - 2021,0.37
,,2021 - 2022,0.4
,,2022 - 2023,0.34
,Surguja,2000 - 2001,0.31
,,2001 - 2002,0.34
,,2002 - 2003,0.31
,,2003 - 2004,0.33
,,2004 - 2005,0.31
,,2005 - 2006,0.31
,,2006 - 2007,0.32
,,2007 - 2008,0.33
,,2008 - 2009,0.33
