state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2017 - 2018,0.95
,,2018 - 2019,0.95
,,2019 - 2020,0.94
,,2020 - 2021,0.94
,,2021 - 2022,0.94
,,2022 - 2023,0.93
,Lower siang,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.03
,,2022 - 2023,1.03
,Lower subansiri,2016 - 2017,0.91
,,2017 - 2018,0.76
,,2018 - 2019,1.03
,,2019 - 2020,1.05
,,2020 - 2021,1.05
,,2021 - 2022,1.07
,,2022 - 2023,1.1
,Namsai,2016 - 2017,0.62
,,2017 - 2018,0.42
,,2018 - 2019,0.42
,,2019 - 2020,0.41
,,2020 - 2021,0.41
,,2021 - 2022,0.44
,,2022 - 2023,0.56
,Pakke kessang,2019 - 2020,0.96
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,0.96
,Papum pare,2016 - 2017,1.11
,,2017 - 2018,0.99
,,2018 - 2019,0.99
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.97
,,2022 - 2023,0.96
,Siang,2016 - 2017,0.66
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.69
,,2022 - 2023,0.71
,Tirap,2016 - 2017,0.46
,,2017 - 2018,0.54
,,2018 - 2019,0.54
,,2019 - 2020,0.54
,,2020 - 2021,0.54
,,2021 - 2022,0.58
,,2022 - 2023,0.62
,Upper siang,2016 - 2017,0.92
,,2017 - 2018,0.93
,,2018 - 2019,0.93
,,2019 - 2020,0.93
,,2020 - 2021,0.93
,,2021 - 2022,0.94
,,2022 - 2023,0.94
,Upper subansiri,2016 - 2017,0.9
,,2017 - 2018,1.08
,,2018 - 2019,1.38
,,2019 - 2020,1.41
,,2020 - 2021,1.41
,,2021 - 2022,1.39
,,2022 - 2023,1.35
,West siang,2016 - 2017,0.88
,,2017 - 2018,0.8
,,2018 - 2019,1.11
,,2019 - 2020,1.1
,,2020 - 2021,1.1
,,2021 - 2022,1.14
,,2022 - 2023,1.13
Assam,Baksa,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.71
,,2012 - 2013,0.8
,,2013 - 2014,0.96
,,2014 - 2015,0.91
,,2015 - 2016,1.4
,,2016 - 2017,1.1
,,2017 - 2018,1.42
,,2018 - 2019,1.2
,,2019 - 2020,1.5
,,2020 - 2021,1.52
,,2021 - 2022,1.51
,,2022 - 2023,1.52
,Barpeta,2000 - 2001,0.82
,,2001 - 2002,0.82
,,2002 - 2003,0.82
,,2003 - 2004,0.82
,,2004 - 2005,0.82
,,2005 - 2006,0.62
,,2006 - 2007,0.75
,,2007 - 2008,0.73
,,2008 - 2009,0.7
,,2009 - 2010,0.73
,,2010 - 2011,0.72
,,2011 - 2012,0.84
,,2012 - 2013,0.81
,,2013 - 2014,0.85
,,2014 - 2015,0.92
,,2015 - 2016,0.93
,,2016 - 2017,0.67
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.68
,,2022 - 2023,0.68
,Biswanath,2020 - 2021,1.21
,,2021 - 2022,1.2
,,2022 - 2023,1.22
,Bongaigaon,2000 - 2001,0.84
