state,district,year,arhar_tur_kharif_yield_tonne_per_hectare
,,2022 - 2023,0.81
,Rajgarh,2000 - 2001,0.31
,,2001 - 2002,0.42
,,2002 - 2003,0.29
,,2003 - 2004,0.7
,,2004 - 2005,0.64
,,2005 - 2006,0.52
,,2006 - 2007,0.61
,,2007 - 2008,0.63
,,2008 - 2009,0.66
,,2009 - 2010,
,,2010 - 2011,0.3
,,2011 - 2012,0.56
,,2012 - 2013,0.59
,,2013 - 2014,0.66
,,2014 - 2015,0.8
,,2015 - 2016,0.4
,,2017 - 2018,1.21
,,2018 - 2019,0.48
,,2019 - 2020,0.58
,,2020 - 2021,0.52
,,2021 - 2022,0.66
,,2022 - 2023,0.71
,Ratlam,2000 - 2001,0.76
,,2001 - 2002,0.47
,,2002 - 2003,0.68
,,2003 - 2004,0.81
,,2004 - 2005,0.77
,,2005 - 2006,0.75
,,2006 - 2007,0.69
,,2007 - 2008,0.67
,,2008 - 2009,0.8
,,2009 - 2010,
,,2010 - 2011,0.49
,,2011 - 2012,0.62
,,2012 - 2013,0.9
,,2013 - 2014,0.77
,,2014 - 2015,1.33
,,2015 - 2016,1.0
,,2017 - 2018,1.42
,,2018 - 2019,0.9
,,2019 - 2020,0.45
,,2020 - 2021,0.72
,,2021 - 2022,0.74
,,2022 - 2023,0.81
,Rewa,2000 - 2001,0.6
,,2001 - 2002,0.56
,,2002 - 2003,0.37
,,2003 - 2004,0.47
,,2004 - 2005,0.54
,,2005 - 2006,0.48
,,2006 - 2007,0.38
,,2007 - 2008,0.43
,,2008 - 2009,0.57
,,2009 - 2010,
,,2010 - 2011,0.11
,,2011 - 2012,0.4
,,2012 - 2013,0.23
,,2013 - 2014,0.47
,,2014 - 2015,0.97
,,2015 - 2016,0.46
,,2016 - 2017,1.37
,,2017 - 2018,0.69
,,2018 - 2019,0.59
,,2019 - 2020,0.65
,,2020 - 2021,1.36
,,2021 - 2022,0.59
,,2022 - 2023,0.88
,Sagar,2000 - 2001,0.62
,,2001 - 2002,0.61
,,2002 - 2003,0.37
,,2003 - 2004,0.57
,,2004 - 2005,0.55
,,2005 - 2006,0.54
,,2006 - 2007,0.51
,,2007 - 2008,0.49
,,2008 - 2009,0.58
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.44
,,2012 - 2013,0.58
,,2013 - 2014,0.44
,,2014 - 2015,1.33
,,2015 - 2016,0.67
,,2016 - 2017,1.32
,,2017 - 2018,1.91
,,2018 - 2019,0.96
,,2019 - 2020,1.09
,,2020 - 2021,1.05
,,2021 - 2022,0.97
,,2022 - 2023,1.07
,Satna,2000 - 2001,0.45
,,2001 - 2002,0.65
,,2002 - 2003,0.36
,,2003 - 2004,0.49
,,2004 - 2005,0.48
,,2005 - 2006,0.44
,,2006 - 2007,0.37
,,2007 - 2008,0.29
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.08
,,2011 - 2012,0.3
,,2012 - 2013,0.25
,,2013 - 2014,0.16
,,2014 - 2015,1.18
,,2015 - 2016,0.42
,,2016 - 2017,0.98
,,2017 - 2018,1.54
,,2018 - 2019,0.23
,,2019 - 2020,0.67
,,2020 - 2021,1.31
,,2021 - 2022,0.5
,,2022 - 2023,0.73
,Sehore,2000 - 2001,0.46
,,2001 - 2002,0.63
,,2002 - 2003,0.78
,,2003 - 2004,0.81
,,2004 - 2005,0.77
,,2005 - 2006,0.75
,,2006 - 2007,0.7
,,2007 - 2008,0.54
,,2008 - 2009,0.68
,,2009 - 2010,
,,2010 - 2011,0.2
,,2011 - 2012,0.56
,,2012 - 2013,0.47
,,2013 - 2014,0.32
,,2014 - 2015,0.67
,,2015 - 2016,0.9
,,2016 - 2017,1.36
,,2017 - 2018,0.84
,,2018 - 2019,0.58
,,2019 - 2020,0.57
,,2020 - 2021,0.54
,,2021 - 2022,0.58
,,2022 - 2023,0.66
,Seoni,2000 - 2001,0.41
,,2001 - 2002,1.28
,,2002 - 2003,1.05
,,2003 - 2004,1.09
,,2004 - 2005,1.02
,,2005 - 2006,1.07
,,2006 - 2007,0.94
,,2007 - 2008,0.98
,,2008 - 2009,1.08
,,2009 - 2010,
,,2010 - 2011,0.55
,,2011 - 2012,0.8
,,2012 - 2013,1.03
,,2013 - 2014,1.26
,,2014 - 2015,1.13
,,2015 - 2016,1.53
,,2016 - 2017,1.13
,,2017 - 2018,1.65
,,2018 - 2019,1.07
,,2019 - 2020,1.07
,,2020 - 2021,1.34
,,2021 - 2022,1.22
,,2022 - 2023,1.2
,Shahdol,2000 - 2001,0.47
,,2001 - 2002,0.6
,,2002 - 2003,0.36
,,2003 - 2004,0.56
,,2004 - 2005,0.58
,,2005 - 2006,0.51
,,2006 - 2007,0.42
,,2007 - 2008,0.45
,,2008 - 2009,0.55
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.41
,,2012 - 2013,0.54
,,2013 - 2014,0.61
,,2014 - 2015,0.63
,,2015 - 2016,1.0
,,2017 - 2018,0.95
,,2018 - 2019,0.46
,,2019 - 2020,1.15
,,2020 - 2021,0.98
,,2021 - 2022,0.63
,,2022 - 2023,0.65
,Shajapur,2000 - 2001,0.6
,,2001 - 2002,0.66
,,2002 - 2003,0.37
,,2003 - 2004,0.61
,,2004 - 2005,0.57
,,2005 - 2006,0.48
,,2006 - 2007,0.4
,,2007 - 2008,0.44
,,2008 - 2009,0.54
,,2009 - 2010,
,,2010 - 2011,0.21
,,2011 - 2012,0.37
,,2012 - 2013,0.43
,,2013 - 2014,0.4
,,2014 - 2015,0.67
,,2015 - 2016,0.5
,,2017 - 2018,0.73
,,2018 - 2019,0.55
,,2019 - 2020,0.41
,,2020 - 2021,0.44
,,2021 - 2022,0.51
,,2022 - 2023,0.55
,Sheopur,2000 - 2001,0.76
,,2001 - 2002,0.8
,,2002 - 2003,0.27
,,2003 - 2004,0.77
,,2004 - 2005,0.68
,,2005 - 2006,0.57
,,2006 - 2007,0.53
,,2007 - 2008,0.47
,,2008 - 2009,0.62
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.4
,,2012 - 2013,0.88
,,2013 - 2014,0.75
,,2014 - 2015,1.2
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,0.91
,,2018 - 2019,0.84
,,2019 - 2020,1.05
,,2020 - 2021,0.82
,,2021 - 2022,0.66
,,2022 - 2023,0.96
,Shivpuri,2000 - 2001,0.62
,,2001 - 2002,0.71
,,2002 - 2003,0.18
,,2003 - 2004,0.61
,,2004 - 2005,0.58
,,2005 - 2006,0.6
,,2006 - 2007,0.55
,,2007 - 2008,0.35
,,2008 - 2009,0.67
,,2009 - 2010,
,,2010 - 2011,0.34
,,2011 - 2012,0.48
,,2012 - 2013,0.39
,,2013 - 2014,0.34
,,2014 - 2015,0.8
,,2015 - 2016,0.5
,,2018 - 2019,0.58
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,,2021 - 2022,0.58
,,2022 - 2023,0.75
,Sidhi,2000 - 2001,0.47
,,2001 - 2002,0.49
,,2002 - 2003,0.4
,,2003 - 2004,0.51
,,2004 - 2005,0.49
,,2005 - 2006,0.5
,,2006 - 2007,0.39
,,2007 - 2008,0.38
,,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.12
,,2011 - 2012,0.36
,,2012 - 2013,0.25
,,2013 - 2014,0.32
,,2014 - 2015,0.9
,,2015 - 2016,1.07
,,2016 - 2017,0.95
,,2017 - 2018,1.49
,,2018 - 2019,0.46
,,2019 - 2020,1.19
,,2020 - 2021,1.32
,,2021 - 2022,0.68
,,2022 - 2023,0.72
,Singrauli,2008 - 2009,0.52
,,2009 - 2010,
,,2010 - 2011,0.28
,,2011 - 2012,0.51
,,2012 - 2013,1.5
,,2013 - 2014,1.41
,,2014 - 2015,1.45
,,2015 - 2016,1.96
,,2016 - 2017,0.96
,,2017 - 2018,1.09
,,2018 - 2019,1.5
,,2019 - 2020,2.34
,,2020 - 2021,1.67
,,2021 - 2022,1.21
,,2022 - 2023,0.64
,Tikamgarh,2000 - 2001,0.63
,,2001 - 2002,0.79
,,2002 - 2003,0.53
,,2003 - 2004,0.57
,,2004 - 2005,0.36
,,2005 - 2006,0.4
,,2006 - 2007,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.48
,,2009 - 2010,
,,2010 - 2011,0.13
,,2011 - 2012,0.25
,,2012 - 2013,0.19
,,2013 - 2014,0.07
,,2016 - 2017,1.0
,,2017 - 2018,1.5
,,2018 - 2019,0.24
,,2019 - 2020,0.31
,,2020 - 2021,0.56
,Ujjain,2000 - 2001,0.42
,,2001 - 2002,0.47
,,2002 - 2003,0.31
,,2003 - 2004,0.71
,,2004 - 2005,0.41
,,2005 - 2006,0.4
,,2006 - 2007,0.62
,,2007 - 2008,0.59
,,2008 - 2009,0.68
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,0.55
,,2012 - 2013,0.64
,,2013 - 2014,0.32
,,2014 - 2015,0.8
,,2015 - 2016,1.0
,,2016 - 2017,1.43
,,2017 - 2018,0.76
,,2018 - 2019,0.57
,,2019 - 2020,0.5
,,2020 - 2021,1.11
,,2021 - 2022,1.25
,,2022 - 2023,0.74
,Umaria,2000 - 2001,0.47
,,2001 - 2002,0.54
,,2002 - 2003,0.45
,,2003 - 2004,0.51
,,2004 - 2005,0.54
,,2005 - 2006,0.36
,,2006 - 2007,0.34
,,2007 - 2008,0.28
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.03
,,2011 - 2012,0.29
,,2012 - 2013,0.16
,,2013 - 2014,0.41
,,2014 - 2015,0.75
,,2015 - 2016,0.64
,,2016 - 2017,1.16
,,2017 - 2018,1.27
,,2018 - 2019,0.43
,,2019 - 2020,1.13
,,2020 - 2021,1.11
,,2021 - 2022,0.67
,,2022 - 2023,0.69
,Vidisha,2000 - 2001,0.7
,,2001 - 2002,0.76
,,2002 - 2003,0.54
,,2003 - 2004,0.68
,,2004 - 2005,0.63
,,2005 - 2006,0.64
,,2006 - 2007,0.59
,,2007 - 2008,0.54
,,2008 - 2009,0.69
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,0.53
,,2012 - 2013,0.71
,,2013 - 2014,0.55
,,2014 - 2015,0.75
,,2015 - 2016,0.4
,,2016 - 2017,1.0
,,2017 - 2018,1.14
,,2018 - 2019,0.71
,,2019 - 2020,0.46
,,2020 - 2021,0.66
,,2021 - 2022,0.75
,,2022 - 2023,0.84
Maharashtra,Ahilyanagar,2000 - 2001,0.49
,,2001 - 2002,0.32
,,2002 - 2003,0.39
,,2003 - 2004,0.33
,,2004 - 2005,0.39
,,2005 - 2006,0.34
,,2006 - 2007,0.51
,,2007 - 2008,0.54
,,2008 - 2009,0.48
,,2009 - 2010,0.51
,,2010 - 2011,0.64
,,2011 - 2012,0.5
,,2012 - 2013,0.23
,,2013 - 2014,0.84
,,2014 - 2015,0.2
,,2015 - 2016,0.24
,,2016 - 2017,1.0
,,2017 - 2018,0.99
,,2018 - 2019,0.25
,,2019 - 2020,0.5
,,2020 - 2021,0.76
,,2021 - 2022,0.81
,,2022 - 2023,0.92
,Akola,2000 - 2001,0.71
,,2001 - 2002,0.89
,,2002 - 2003,0.91
,,2003 - 2004,0.85
,,2004 - 2005,0.53
,,2005 - 2006,0.73
,,2006 - 2007,0.94
,,2007 - 2008,1.08
,,2008 - 2009,0.31
,,2009 - 2010,1.2
,,2010 - 2011,0.85
,,2011 - 2012,0.35
,,2012 - 2013,1.49
,,2013 - 2014,1.26
,,2014 - 2015,0.39
,,2015 - 2016,0.83
,,2016 - 2017,2.37
,,2017 - 2018,1.02
,,2018 - 2019,0.61
,,2019 - 2020,2.27
,,2020 - 2021,0.93
,,2021 - 2022,2.73
,,2022 - 2023,0.76
,Amravati,2000 - 2001,0.68
,,2001 - 2002,0.87
,,2002 - 2003,0.95
,,2003 - 2004,0.89
,,2004 - 2005,0.77
,,2005 - 2006,0.85
,,2006 - 2007,0.79
,,2007 - 2008,1.07
,,2008 - 2009,0.84
,,2009 - 2010,0.98
,,2010 - 2011,0.53
,,2011 - 2012,0.85
,,2012 - 2013,1.08
,,2013 - 2014,1.39
,,2014 - 2015,0.35
,,2015 - 2016,0.53
,,2016 - 2017,1.2
,,2017 - 2018,0.99
,,2018 - 2019,1.11
,,2019 - 2020,0.82
,,2020 - 2021,0.92
,,2021 - 2022,0.99
,,2022 - 2023,0.34
,Beed,2000 - 2001,0.36
,,2001 - 2002,0.25
,,2002 - 2003,0.35
,,2003 - 2004,0.22
,,2004 - 2005,0.54
,,2005 - 2006,0.99
,,2006 - 2007,0.84
,,2007 - 2008,0.62
,,2008 - 2009,0.47
,,2009 - 2010,0.46
,,2010 - 2011,0.55
,,2011 - 2012,0.57
,,2012 - 2013,0.4
,,2013 - 2014,0.67
,,2014 - 2015,0.17
,,2015 - 2016,0.16
,,2016 - 2017,0.92
,,2017 - 2018,0.56
,,2018 - 2019,0.11
,,2019 - 2020,0.75
,,2020 - 2021,1.44
,,2021 - 2022,0.83
,,2022 - 2023,0.86
,Bhandara,2000 - 2001,0.77
,,2001 - 2002,1.07
,,2002 - 2003,0.89
,,2003 - 2004,0.95
,,2004 - 2005,0.61
,,2005 - 2006,0.78
,,2006 - 2007,0.57
,,2007 - 2008,0.85
,,2008 - 2009,0.58
,,2009 - 2010,0.7
,,2010 - 2011,0.94
,,2011 - 2012,0.87
,,2012 - 2013,1.07
,,2013 - 2014,0.63
,,2014 - 2015,0.34
,,2015 - 2016,0.45
,,2016 - 2017,1.94
,,2017 - 2018,1.07
,,2018 - 2019,0.99
,,2019 - 2020,0.5
,,2020 - 2021,1.49
,,2021 - 2022,0.6
,,2022 - 2023,0.43
,Buldhana,2000 - 2001,0.4
,,2001 - 2002,0.67
,,2002 - 2003,0.71
,,2003 - 2004,0.7
,,2004 - 2005,0.62
,,2005 - 2006,0.51
,,2006 - 2007,0.81
,,2007 - 2008,0.99
,,2008 - 2009,0.51
,,2009 - 2010,1.15
,,2010 - 2011,0.55
,,2011 - 2012,0.55
,,2012 - 2013,0.52
,,2013 - 2014,0.7
,,2014 - 2015,0.27
,,2015 - 2016,0.33
,,2016 - 2017,0.83
,,2017 - 2018,0.63
,,2018 - 2019,0.51
,,2019 - 2020,1.2
,,2020 - 2021,1.5
,,2021 - 2022,3.7
,,2022 - 2023,0.87
,Chandrapur,2000 - 2001,0.42
,,2001 - 2002,0.79
,,2002 - 2003,0.34
,,2003 - 2004,0.66
,,2004 - 2005,0.3
,,2005 - 2006,0.38
,,2006 - 2007,0.45
,,2007 - 2008,0.66
,,2008 - 2009,0.61
,,2009 - 2010,1.17
,,2010 - 2011,0.86
,,2011 - 2012,0.75
,,2012 - 2013,1.39
,,2013 - 2014,0.87
,,2014 - 2015,0.52
,,2015 - 2016,0.68
,,2016 - 2017,1.82
,,2017 - 2018,1.33
,,2018 - 2019,1.1
,,2019 - 2020,1.35
,,2020 - 2021,1.62
,,2021 - 2022,0.9
,,2022 - 2023,1.77
,Chhatrapati Sambhajinagar,2000 - 2001,0.26
,,2001 - 2002,0.28
,,2002 - 2003,0.29
,,2003 - 2004,0.35
,,2004 - 2005,0.49
,,2005 - 2006,0.62
,,2006 - 2007,0.86
,,2007 - 2008,0.73
,,2008 - 2009,0.62
,,2009 - 2010,0.76
,,2010 - 2011,0.88
,,2011 - 2012,0.8
,,2012 - 2013,0.33
,,2013 - 2014,0.94
,,2014 - 2015,0.26
,,2015 - 2016,0.27
,,2016 - 2017,1.18
,,2017 - 2018,0.82
,,2018 - 2019,0.26
,,2019 - 2020,0.77
,,2020 - 2021,0.69
,,2021 - 2022,0.62
,,2022 - 2023,0.6
,Dharashiv,2000 - 2001,0.7
,,2001 - 2002,0.52
,,2002 - 2003,0.54
,,2003 - 2004,0.19
,,2004 - 2005,0.51
,,2005 - 2006,0.59
,,2006 - 2007,0.52
,,2007 - 2008,1.15
,,2008 - 2009,0.55
,,2009 - 2010,0.78
,,2010 - 2011,0.77
,,2011 - 2012,0.76
,,2012 - 2013,0.3
,,2013 - 2014,1.15
,,2014 - 2015,0.28
,,2015 - 2016,0.14
,,2016 - 2017,0.88
,,2017 - 2018,0.83
,,2018 - 2019,0.23
,,2019 - 2020,0.37
,,2020 - 2021,0.94
,,2021 - 2022,0.71
,,2022 - 2023,0.62
,Dhule,2000 - 2001,0.29
,,2001 - 2002,0.23
,,2002 - 2003,0.29
,,2003 - 2004,0.4
,,2004 - 2005,0.41
,,2005 - 2006,0.51
,,2006 - 2007,0.64
,,2007 - 2008,0.79
,,2008 - 2009,0.47
,,2009 - 2010,0.6
,,2010 - 2011,0.89
,,2011 - 2012,0.59
,,2012 - 2013,0.49
,,2013 - 2014,0.83
,,2014 - 2015,0.45
,,2015 - 2016,0.35
,,2016 - 2017,0.84
,,2017 - 2018,0.94
,,2018 - 2019,0.38
,,2019 - 2020,0.51
,,2020 - 2021,0.64
,,2021 - 2022,0.57
,,2022 - 2023,0.64
,Gadchiroli,2000 - 2001,0.75
,,2001 - 2002,1.07
,,2002 - 2003,0.88
,,2003 - 2004,0.96
,,2004 - 2005,0.6
,,2005 - 2006,0.8
,,2006 - 2007,0.57
,,2007 - 2008,0.85
,,2008 - 2009,0.58
,,2009 - 2010,0.7
,,2010 - 2011,0.94
,,2011 - 2012,0.87
,,2012 - 2013,1.07
,,2013 - 2014,0.63
,,2014 - 2015,0.35
,,2015 - 2016,0.39
,,2016 - 2017,1.94
,,2017 - 2018,1.07
,,2018 - 2019,0.99
,,2019 - 2020,0.9
,,2020 - 2021,1.49
,,2021 - 2022,1.19
,,2022 - 2023,1.1
,Gondia,2000 - 2001,0.77
,,2001 - 2002,1.08
,,2002 - 2003,0.88
,,2003 - 2004,0.95
,,2004 - 2005,0.62
,,2005 - 2006,0.78
,,2006 - 2007,0.57
,,2007 - 2008,0.85
,,2008 - 2009,0.59
,,2009 - 2010,0.7
,,2010 - 2011,0.94
,,2011 - 2012,0.87
,,2012 - 2013,1.06
,,2013 - 2014,0.63
,,2014 - 2015,0.34
,,2015 - 2016,0.45
,,2016 - 2017,1.94
,,2017 - 2018,1.07
,,2018 - 2019,0.99
,,2019 - 2020,0.7
,,2020 - 2021,1.49
,,2021 - 2022,1.19
,,2022 - 2023,1.1
,Hingoli,2000 - 2001,0.46
,,2001 - 2002,0.78
,,2002 - 2003,0.68
,,2003 - 2004,0.88
,,2004 - 2005,0.71
,,2005 - 2006,0.9
,,2006 - 2007,1.14
,,2007 - 2008,1.41
,,2008 - 2009,0.73
,,2009 - 2010,0.88
,,2010 - 2011,0.77
,,2011 - 2012,0.8
,,2012 - 2013,1.3
,,2013 - 2014,0.85
,,2014 - 2015,0.45
,,2015 - 2016,0.29
,,2016 - 2017,1.08
,,2017 - 2018,0.8
,,2018 - 2019,0.39
,,2019 - 2020,0.92
,,2020 - 2021,0.28
,,2021 - 2022,0.99
,,2022 - 2023,0.61
,Jalgaon,2000 - 2001,0.33
,,2001 - 2002,0.63
,,2002 - 2003,0.73
,,2003 - 2004,0.71
,,2004 - 2005,0.71
,,2005 - 2006,0.7
,,2006 - 2007,0.77
,,2007 - 2008,0.78
,,2008 - 2009,0.62
,,2009 - 2010,0.72
,,2010 - 2011,0.89
,,2011 - 2012,0.79
,,2012 - 2013,0.63
,,2013 - 2014,1.11
,,2014 - 2015,0.53
,,2015 - 2016,0.5
,,2016 - 2017,1.08
,,2017 - 2018,0.74
,,2018 - 2019,0.5
,,2019 - 2020,0.51
,,2020 - 2021,0.81
,,2021 - 2022,0.58
,,2022 - 2023,0.76
,Jalna,2000 - 2001,0.4
,,2001 - 2002,0.56
,,2002 - 2003,0.63
,,2003 - 2004,0.4
,,2004 - 2005,0.45
,,2005 - 2006,0.59
,,2006 - 2007,0.88
,,2007 - 2008,0.91
,,2008 - 2009,0.67
,,2009 - 2010,0.85
,,2010 - 2011,1.02
,,2011 - 2012,0.53
,,2012 - 2013,0.23
,,2013 - 2014,1.07
,,2014 - 2015,0.25
,,2015 - 2016,0.22
,,2016 - 2017,1.33
,,2017 - 2018,0.78
,,2018 - 2019,0.35
,,2019 - 2020,1.28
,,2020 - 2021,1.23
,,2021 - 2022,1.12
,,2022 - 2023,1.15
,Kolhapur,2000 - 2001,0.45
,,2001 - 2002,0.33
,,2002 - 2003,0.38
,,2003 - 2004,0.29
,,2004 - 2005,0.44
,,2005 - 2006,0.35
,,2006 - 2007,0.5
,,2007 - 2008,0.46
,,2008 - 2009,0.46
,,2009 - 2010,1.0
,,2010 - 2011,0.33
,,2011 - 2012,0.28
,,2012 - 2013,0.11
,,2013 - 2014,0.5
,,2014 - 2015,0.27
,,2015 - 2016,0.13
,,2016 - 2017,0.38
,,2017 - 2018,0.15
,,2018 - 2019,1.33
,,2019 - 2020,1.97
,,2020 - 2021,0.6
,,2021 - 2022,1.45
,,2022 - 2023,1.19
,Latur,2000 - 2001,0.35
,,2001 - 2002,0.67
,,2002 - 2003,0.62
,,2003 - 2004,0.64
,,2004 - 2005,0.82
,,2005 - 2006,1.16
,,2006 - 2007,0.48
,,2007 - 2008,1.2
,,2008 - 2009,0.78
,,2009 - 2010,1.39
,,2010 - 2011,1.17
,,2011 - 2012,0.81
,,2012 - 2013,1.41
,,2013 - 2014,1.39
,,2014 - 2015,0.25
,,2015 - 2016,0.27
,,2016 - 2017,3.43
,,2017 - 2018,1.18
,,2018 - 2019,0.48
,,2019 - 2020,1.22
,,2020 - 2021,1.48
,,2021 - 2022,0.64
,,2022 - 2023,0.34
,Nagpur,2000 - 2001,0.62
,,2001 - 2002,1.11
,,2002 - 2003,0.53
,,2003 - 2004,0.63
,,2004 - 2005,0.55
,,2005 - 2006,0.7
,,2006 - 2007,0.63
,,2007 - 2008,0.74
,,2008 - 2009,0.51
,,2009 - 2010,0.93
,,2010 - 2011,0.84
,,2011 - 2012,0.8
,,2012 - 2013,0.73
,,2013 - 2014,0.45
,,2014 - 2015,0.34
,,2015 - 2016,0.41
,,2016 - 2017,2.57
,,2017 - 2018,1.12
,,2018 - 2019,0.78
,,2019 - 2020,1.29
,,2020 - 2021,1.52
,,2021 - 2022,1.26
,,2022 - 2023,1.21
,Nanded,2000 - 2001,0.48
,,2001 - 2002,0.76
,,2002 - 2003,1.01
,,2003 - 2004,0.8
,,2004 - 2005,0.91
,,2005 - 2006,0.52
,,2006 - 2007,0.7
,,2007 - 2008,0.78
,,2008 - 2009,0.48
,,2009 - 2010,0.71
,,2010 - 2011,0.59
,,2011 - 2012,0.64
,,2012 - 2013,0.57
,,2013 - 2014,0.64
,,2014 - 2015,0.21
,,2015 - 2016,0.19
,,2016 - 2017,1.21
,,2017 - 2018,0.88
,,2018 - 2019,0.92
,,2019 - 2020,0.71
,,2020 - 2021,1.07
,,2021 - 2022,0.66
,,2022 - 2023,0.91
,Nandurbar,2000 - 2001,0.4
,,2001 - 2002,0.31
,,2002 - 2003,0.27
,,2003 - 2004,0.34
,,2004 - 2005,0.36
,,2005 - 2006,0.46
,,2006 - 2007,0.41
,,2007 - 2008,0.76
,,2008 - 2009,0.57
,,2009 - 2010,0.52
,,2010 - 2011,0.73
,,2011 - 2012,0.47
,,2012 - 2013,0.38
,,2013 - 2014,0.39
,,2014 - 2015,0.22
,,2015 - 2016,0.31
,,2016 - 2017,0.54
,,2017 - 2018,0.55
,,2018 - 2019,0.23
,,2019 - 2020,0.45
,,2020 - 2021,0.49
,,2021 - 2022,0.35
,,2022 - 2023,0.48
,Nashik,2000 - 2001,0.35
,,2001 - 2002,0.43
,,2002 - 2003,0.76
,,2003 - 2004,0.41
,,2004 - 2005,0.71
,,2005 - 2006,0.73
,,2006 - 2007,0.76
,,2007 - 2008,0.71
,,2008 - 2009,0.59
,,2009 - 2010,0.41
,,2010 - 2011,0.61
,,2011 - 2012,0.76
,,2012 - 2013,0.63
,,2013 - 2014,0.7
,,2014 - 2015,0.26
,,2015 - 2016,0.29
,,2016 - 2017,0.76
,,2017 - 2018,0.82
,,2018 - 2019,0.25
,,2019 - 2020,0.35
,,2020 - 2021,0.9
,,2021 - 2022,0.69
,,2022 - 2023,0.79
,Palghar,2014 - 2015,0.39
,,2015 - 2016,0.36
,,2016 - 2017,0.82
,,2017 - 2018,0.48
,,2018 - 2019,0.16
,,2019 - 2020,0.44
,,2020 - 2021,0.66
,,2021 - 2022,0.6
,,2022 - 2023,0.64
,Parbhani,2000 - 2001,0.45
,,2001 - 2002,0.54
,,2002 - 2003,0.59
,,2003 - 2004,0.46
,,2004 - 2005,0.34
,,2005 - 2006,0.54
,,2006 - 2007,0.54
,,2007 - 2008,0.74
,,2008 - 2009,0.58
,,2009 - 2010,0.69
,,2010 - 2011,0.58
,,2011 - 2012,0.62
,,2012 - 2013,0.6
,,2013 - 2014,0.75
,,2014 - 2015,0.21
,,2015 - 2016,0.14
,,2016 - 2017,1.26
,,2017 - 2018,1.5
,,2018 - 2019,0.45
,,2019 - 2020,1.15
,,2020 - 2021,1.29
,,2021 - 2022,1.68
,,2022 - 2023,0.9
,Pune,2000 - 2001,0.48
,,2001 - 2002,0.49
,,2002 - 2003,0.47
,,2003 - 2004,0.67
,,2004 - 2005,0.97
,,2005 - 2006,0.51
,,2006 - 2007,0.49
,,2007 - 2008,0.46
,,2008 - 2009,0.58
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.52
,,2012 - 2013,0.18
,,2013 - 2014,0.57
,,2014 - 2015,0.23
,,2015 - 2016,0.46
,,2016 - 2017,0.87
,,2017 - 2018,0.65
,,2018 - 2019,0.31
,,2019 - 2020,0.65
,,2020 - 2021,0.83
,,2021 - 2022,0.76
,,2022 - 2023,0.83
,Raigad,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.55
,,2005 - 2006,0.64
,,2006 - 2007,0.6
,,2007 - 2008,0.73
,,2008 - 2009,0.55
,,2009 - 2010,0.8
,,2010 - 2011,0.46
,,2011 - 2012,0.62
,,2012 - 2013,0.13
,,2013 - 2014,0.5
,,2014 - 2015,0.42
,,2015 - 2016,0.38
,,2016 - 2017,0.82
,,2017 - 2018,0.67
,,2018 - 2019,0.16
,,2019 - 2020,0.59
,,2020 - 2021,0.66
,,2021 - 2022,0.6
,,2022 - 2023,0.64
,Ratnagiri,2000 - 2001,0.4
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.67
,,2006 - 2007,0.6
,,2007 - 2008,0.83
,,2008 - 2009,0.5
,,2009 - 2010,0.83
,,2010 - 2011,0.43
,,2011 - 2012,0.57
,,2012 - 2013,0.2
,,2013 - 2014,1.0
,,2014 - 2015,0.33
,,2015 - 2016,0.38
,,2016 - 2017,0.82
,,2020 - 2021,0.66
,,2021 - 2022,0.6
,,2022 - 2023,0.65
,Sangli,2000 - 2001,0.43
,,2001 - 2002,0.32
,,2002 - 2003,0.38
,,2003 - 2004,0.29
,,2004 - 2005,0.44
,,2005 - 2006,0.35
,,2006 - 2007,0.51
,,2007 - 2008,0.47
,,2008 - 2009,0.44
,,2009 - 2010,1.01
,,2010 - 2011,0.35
,,2011 - 2012,0.27
,,2012 - 2013,0.15
,,2013 - 2014,0.52
,,2014 - 2015,0.29
,,2015 - 2016,0.11
,,2016 - 2017,0.38
,,2017 - 2018,0.3
,,2018 - 2019,0.15
,,2019 - 2020,0.21
,,2020 - 2021,0.59
,,2021 - 2022,0.62
,,2022 - 2023,0.71
,Satara,2000 - 2001,0.44
,,2001 - 2002,0.32
,,2002 - 2003,0.39
,,2003 - 2004,0.29
,,2004 - 2005,0.43
,,2005 - 2006,0.35
,,2006 - 2007,0.51
