state,district,year,black_pepper_whole_year_yield_tonne_per_hectare
,,2021 - 2022,2.05
,,2022 - 2023,2.5
,Jorhat,2007 - 2008,1.25
,,2008 - 2009,1.25
,,2009 - 2010,1.24
,,2010 - 2011,1.24
,,2011 - 2012,1.23
,,2012 - 2013,1.46
,,2013 - 2014,1.47
,,2014 - 2015,1.46
,,2015 - 2016,1.47
,,2016 - 2017,1.52
,,2017 - 2018,1.57
,,2018 - 2019,1.61
,,2019 - 2020,1.65
,,2020 - 2021,1.66
,,2021 - 2022,1.66
,,2022 - 2023,1.78
,Kamrup,2007 - 2008,1.51
,,2008 - 2009,1.52
,,2009 - 2010,1.52
,,2010 - 2011,1.51
,,2011 - 2012,1.52
,,2012 - 2013,1.62
,,2013 - 2014,1.62
,,2014 - 2015,1.63
,,2015 - 2016,1.64
,,2016 - 2017,1.7
,,2017 - 2018,1.75
,,2018 - 2019,1.79
,,2019 - 2020,1.82
,,2020 - 2021,1.81
,,2021 - 2022,1.82
,,2022 - 2023,1.88
,Kamrup metro,2007 - 2008,1.47
,,2008 - 2009,2.0
,,2009 - 2010,1.73
,,2010 - 2011,1.72
,,2011 - 2012,1.75
,,2012 - 2013,1.85
,,2013 - 2014,1.85
,,2014 - 2015,1.86
,,2015 - 2016,1.86
,,2016 - 2017,1.98
,,2017 - 2018,2.06
,,2018 - 2019,2.13
,,2019 - 2020,2.19
,,2020 - 2021,2.17
,,2021 - 2022,2.2
,,2022 - 2023,2.53
,Karbi anglong,2007 - 2008,1.61
,,2008 - 2009,1.61
,,2009 - 2010,1.61
,,2010 - 2011,1.61
,,2011 - 2012,0.62
,,2012 - 2013,1.49
,,2013 - 2014,1.49
,,2014 - 2015,1.49
,,2015 - 2016,1.51
,,2016 - 2017,2.68
,,2017 - 2018,3.68
,,2018 - 2019,3.68
,,2019 - 2020,3.68
,,2020 - 2021,3.69
,,2021 - 2022,3.69
,,2022 - 2023,3.71
,Karimganj,2007 - 2008,1.15
,,2008 - 2009,1.84
,,2009 - 2010,1.49
,,2010 - 2011,1.59
,,2011 - 2012,1.6
,,2012 - 2013,1.67
,,2013 - 2014,1.67
,,2014 - 2015,1.67
,,2015 - 2016,1.67
,,2016 - 2017,1.7
,,2017 - 2018,1.72
,,2018 - 2019,1.73
,,2019 - 2020,1.75
,,2020 - 2021,1.75
,,2021 - 2022,1.75
,,2022 - 2023,2.12
,Kokrajhar,2007 - 2008,1.6
,,2008 - 2009,1.65
,,2009 - 2010,1.63
,,2010 - 2011,1.63
,,2011 - 2012,1.15
,,2012 - 2013,1.26
,,2013 - 2014,1.26
,,2014 - 2015,1.28
,,2015 - 2016,1.29
,,2016 - 2017,2.79
,,2017 - 2018,2.8
,,2018 - 2019,2.81
,,2019 - 2020,2.82
,,2020 - 2021,2.82
,,2021 - 2022,2.82
,,2022 - 2023,2.86
,Lakhimpur,2007 - 2008,1.52
,,2008 - 2009,1.53
,,2009 - 2010,1.51
,,2010 - 2011,1.52
,,2011 - 2012,1.56
,,2012 - 2013,1.67
,,2013 - 2014,2.67
,,2014 - 2015,1.68
,,2015 - 2016,2.69
,,2016 - 2017,1.88
,,2017 - 2018,1.89
,,2018 - 2019,1.9
,,2019 - 2020,1.91
,,2020 - 2021,1.91
,,2021 - 2022,1.91
,,2022 - 2023,1.93
,Majuli,2020 - 2021,1.66
,,2021 - 2022,1.66
,,2022 - 2023,1.97
,Marigaon,2007 - 2008,1.71
,,2008 - 2009,1.7
,,2009 - 2010,1.71
,,2010 - 2011,1.71
,,2011 - 2012,1.72
,,2012 - 2013,1.85
,,2013 - 2014,1.84
,,2014 - 2015,1.86
,,2015 - 2016,1.88
,,2016 - 2017,1.96
,,2017 - 2018,1.99
,,2018 - 2019,2.03
,,2019 - 2020,2.07
,,2020 - 2021,1.67
,,2021 - 2022,1.67
,,2022 - 2023,1.81
,Nagaon,2007 - 2008,1.43
,,2008 - 2009,1.43
,,2009 - 2010,1.43
,,2010 - 2011,1.44
,,2011 - 2012,1.74
,,2012 - 2013,1.59
,,2013 - 2014,1.58
,,2014 - 2015,1.6
,,2015 - 2016,1.6
,,2016 - 2017,1.63
,,2017 - 2018,2.43
,,2018 - 2019,1.66
,,2019 - 2020,1.67
,,2020 - 2021,1.67
,,2021 - 2022,1.68
,,2022 - 2023,1.79
,Nalbari,2007 - 2008,1.9
,,2008 - 2009,1.92
,,2009 - 2010,1.9
,,2010 - 2011,1.92
,,2011 - 2012,1.93
,,2012 - 2013,1.96
,,2013 - 2014,1.96
,,2014 - 2015,2.0
,,2015 - 2016,2.0
,,2016 - 2017,2.19
,,2017 - 2018,2.33
,,2018 - 2019,2.38
,,2019 - 2020,2.47
,,2020 - 2021,2.46
,,2021 - 2022,2.5
,,2022 - 2023,3.21
,Sivasagar,2007 - 2008,1.82
,,2008 - 2009,1.82
,,2009 - 2010,1.81
,,2010 - 2011,1.8
,,2011 - 2012,1.81
,,2012 - 2013,1.85
,,2013 - 2014,1.86
,,2014 - 2015,1.86
,,2015 - 2016,1.87
,,2016 - 2017,1.36
,,2017 - 2018,1.37
,,2018 - 2019,2.48
,,2019 - 2020,1.53
,,2020 - 2021,1.53
,,2021 - 2022,1.52
,,2022 - 2023,1.76
,Sonitpur,2007 - 2008,1.57
,,2008 - 2009,1.57
,,2009 - 2010,1.57
,,2010 - 2011,1.56
,,2011 - 2012,1.56
,,2012 - 2013,1.68
,,2013 - 2014,1.68
,,2014 - 2015,1.69
,,2015 - 2016,1.69
,,2016 - 2017,1.73
,,2017 - 2018,2.08
,,2018 - 2019,1.77
,,2019 - 2020,1.78
,,2020 - 2021,1.79
,,2021 - 2022,1.89
,,2022 - 2023,1.93
,South salmara mancachar,2020 - 2021,3.0
,,2021 - 2022,3.0
,Tinsukia,2007 - 2008,1.07
,,2008 - 2009,1.07
,,2009 - 2010,1.07
,,2010 - 2011,1.07
,,2011 - 2012,1.09
,,2012 - 2013,1.19
,,2013 - 2014,1.2
,,2014 - 2015,1.2
,,2015 - 2016,1.22
,,2016 - 2017,1.51
,,2017 - 2018,1.54
,,2018 - 2019,1.55
,,2019 - 2020,1.56
,,2020 - 2021,1.68
,,2021 - 2022,1.68
,,2022 - 2023,1.82
,Udalguri,2007 - 2008,1.59
,,2008 - 2009,1.98
,,2009 - 2010,1.79
,,2010 - 2011,1.71
,,2011 - 2012,1.73
,,2012 - 2013,1.73
,,2013 - 2014,1.73
,,2014 - 2015,1.73
,,2015 - 2016,1.75
,,2016 - 2017,1.86
,,2017 - 2018,1.94
,,2018 - 2019,1.98
,,2019 - 2020,2.05
,,2020 - 2021,2.05
,,2021 - 2022,2.04
,,2022 - 2023,2.21
,West karbi anglong,2020 - 2021,3.68
,,2021 - 2022,3.5
,,2022 - 2023,3.51
Goa,North goa,2004 - 2005,0.16
,,2005 - 2006,0.22
,,2006 - 2007,0.26
,,2007 - 2008,0.31
,,2013 - 2014,0.32
,,2014 - 2015,0.33
,,2015 - 2016,0.32
,,2016 - 2017,0.37
,,2017 - 2018,0.41
,,2018 - 2019,0.4
,,2019 - 2020,0.36
,,2020 - 2021,0.34
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,South goa,2004 - 2005,0.17
,,2005 - 2006,0.22
,,2006 - 2007,0.26
,,2007 - 2008,0.31
,,2013 - 2014,0.31
,,2014 - 2015,0.31
,,2015 - 2016,0.33
,,2016 - 2017,0.36
,,2017 - 2018,0.41
,,2018 - 2019,0.41
,,2019 - 2020,0.38
,,2020 - 2021,0.51
,,2021 - 2022,0.53
,,2022 - 2023,0.54
Karnataka,Bagalkot,2013 - 2014,2.5
,,2021 - 2022,0.55
,,2022 - 2023,0.38
,Bangalore rural,2000 - 2001,2.38
,,2001 - 2002,2.4
,,2002 - 2003,2.5
,,2003 - 2004,2.33
,,2004 - 2005,2.42
,,2005 - 2006,2.0
,,2007 - 2008,3.0
,,2008 - 2009,4.0
,,2009 - 2010,4.0
,,2010 - 2011,0.6
,,2012 - 2013,3.0
,,2013 - 2014,2.0
,,2014 - 2015,0.6
,,2015 - 2016,0.75
,,2020 - 2021,0.48
,,2021 - 2022,0.54
,,2022 - 2023,0.57
,Belgaum,2012 - 2013,2.8
,,2013 - 2014,2.4
,,2015 - 2016,0.77
,,2016 - 2017,0.6
,,2020 - 2021,0.47
,,2021 - 2022,0.55
,,2022 - 2023,0.52
,Bellary,2020 - 2021,0.47
,,2021 - 2022,0.56
,,2022 - 2023,0.4
,Bengaluru urban,2009 - 2010,3.71
,,2010 - 2011,0.61
,,2011 - 2012,0.28
,,2012 - 2013,3.0
,,2013 - 2014,2.5
,,2014 - 2015,0.6
,,2015 - 2016,0.76
,,2016 - 2017,0.6
,,2017 - 2018,0.7
,,2019 - 2020,0.39
,,2020 - 2021,0.45
,,2021 - 2022,0.54
,,2022 - 2023,6.87
,Bidar,2008 - 2009,4.0
,,2015 - 2016,0.75
,,2020 - 2021,0.47
,,2021 - 2022,0.53
,Bijapur,2022 - 2023,0.39
,Chamarajanagar,2007 - 2008,3.0
,,2008 - 2009,4.25
,,2009 - 2010,3.71
,,2010 - 2011,0.6
,,2011 - 2012,0.28
,,2012 - 2013,2.82
,,2013 - 2014,2.48
,,2014 - 2015,0.59
,,2015 - 2016,0.77
,,2016 - 2017,0.61
,,2017 - 2018,0.66
,,2018 - 2019,0.64
,,2019 - 2020,0.39
,,2020 - 2021,0.47
,,2021 - 2022,0.56
,,2022 - 2023,0.22
,Chikballapur,2020 - 2021,0.48
,,2021 - 2022,0.53
,,2022 - 2023,0.31
,Chikmagalur,2000 - 2001,1.1
,,2001 - 2002,1.1
,,2002 - 2003,1.1
,,2003 - 2004,1.1
,,2004 - 2005,1.1
,,2005 - 2006,1.1
,,2006 - 2007,1.1
,,2007 - 2008,3.12
,,2008 - 2009,4.24
,,2009 - 2010,3.68
,,2010 - 2011,0.98
,,2011 - 2012,0.28
,,2012 - 2013,2.83
,,2013 - 2014,2.48
