,tp_kharif_mean,tp_kharif_std,e_kharif_mean,e_kharif_std,swvl1_kharif_mean,soil_air_diff_kharif_mean,soil_air_diff_kharif_std,runoff_ratio_kharif_mean,e_rabi_mean,e_rabi_std,swvl1_rabi_mean,swvl1_rabi_std,soil_air_diff_rabi_mean,soil_air_diff_rabi_std,runoff_ratio_rabi_mean,tp_zaid_mean,e_zaid_mean,e_zaid_std,swvl1_zaid_std,soil_air_diff_zaid_mean,runoff_ratio_zaid_mean,tp_kharif_fraction,t2m_amplitude,t2m_peak_sin,t2m_peak_cos,GDD_kharif,GDD_rabi,heat_months_30C,heat_months_35C,humidity_variability,swvl1_amplitude,swvl1_stability,soil_moisture_seasonality,cvh,water_retention_index,humidity_stress_index
t2m_peak_sin,-0.4680550290114908,-0.2588374553173255,0.05984345193539521,0.30772493188829286,-0.34176515383373424,0.4777537985357138,0.24757475240478985,-0.6475672391567642,-0.2938993042369682,0.11703044905474906,-0.44958803114672097,0.17616108743720013,0.10834388558326566,-0.3177225869418147,-0.06995589787029341,-0.7118565945914342,0.24819792638754,-0.4895769207045441,-0.4634099240202978,0.531362862264983,-0.22038600080512935,0.3050189275224698,-0.2767119748086146,1.0,-0.2273253655996057,0.38488910485391425,0.6722381346995142,0.43558765625179235,0.06661399565743348,0.5367133859997995,0.47159990721522294,0.3261130628879351,0.054961970830345354,-0.26507042613007975,0.1803390095654429,-0.3144988812967226
t2m_peak_cos,0.46124945013350593,0.06166954095738837,0.19846440762014295,-0.33712750038813444,0.3846583867058349,-0.3990708492953713,-0.25541152532410016,0.5373726050447919,-0.23593608735253077,-0.1031845294957815,0.5143592478653984,0.3048970823452844,-0.1582460450017107,0.09015470070269024,-0.13793548985970136,0.6028976329888556,-0.10250606373880813,0.3152546045256953,0.45419295249302727,-0.11376291081634932,0.0977242549558298,-0.4306149871463298,-0.5244478477312547,-0.2273253655996057,1.0,-0.4192321988868996,0.05276289350399507,-0.5932565103541516,-0.06858232712839687,-0.48253029399093406,-0.26061628741144627,-0.16710079445056322,-0.0733042198503148,0.43461795819558685,0.30728968024951,0.2547598006201343
GDD_kharif,-0.37575994469609597,-0.2410232061174652,-0.32282475316243253,0.27366597316879165,-0.3492553147928936,0.5261406446253847,-0.03754989157536831,-0.6928757953019145,-0.2246852210205446,0.05242765921106034,-0.5363640589978168,-0.02099796626215014,-0.22067377625539578,-0.6997949219261406,0.16442923574396026,-0.5475930788900111,-0.206469696404239,-0.3975521974424121,-0.08898273443802654,0.22071966205629487,-0.3773959593865168,0.4078042618545327,0.055516729302686973,0.38488910485391425,-0.4192321988868996,1.0,0.5795915466677163,0.6718114331655446,0.12245297581431214,0.43824056357636654,0.41831348919974076,0.30148500779344917,0.1616491483024438,-0.3822128831244885,-0.22493118666550105,-0.3190192019961991
GDD_rabi,-0.2215895300522406,-0.3120655043546431,-0.05639444972461791,0.05495199182569092,-0.16073754852638636,0.32895676610014074,-0.0011196902920873745,-0.4831956257994027,-0.627020940040042,0.08366979724496297,-0.2652214237126368,0.3965355674675794,-0.12902249989742534,-0.5294978809920311,-0.005818140409993483,-0.4822810775596446,-0.04381616009775287,-0.3929662580890253,-0.19014308905700442,0.5055469766711288,-0.1792752562444471,0.16535142032683914,-0.6511927072056215,0.6722381346995142,0.05276289350399507,0.5795915466677163,1.0,0.2934734375301297,0.04792282116383988,0.17887666132818705,0.41476863653730034,0.2784491562130642,0.0995873634865045,-0.058247099599353896,0.2631444694302355,-0.09790064627301684
heat_months_30C,-0.5925490535634402,-0.23379538665993105,0.06588277194685156,0.5759992877173875,-0.5466741135337,0.6956739513341466,0.36665784822405634,-0.7221908761038368,0.2038119513600804,-0.05962243400668209,-0.6184089360513068,-0.3674066718815278,0.2461192990812745,-0.23586021581591107,0.02983754683798957,-0.6236629864488796,0.28092687845974995,-0.5640610393703465,-0.5369609460756045,0.4308385051865477,-0.3329634645039127,0.37523486619777086,0.3969040343343706,0.43558765625179235,-0.5932565103541516,0.6718114331655446,0.2934734375301297,1.0,0.19871099510394927,0.6030610415366315,0.2161623054382629,0.25521448062270574,-0.05021996960946023,-0.5585901073193118,-0.3451567398615233,-0.2431746462421672
heat_months_35C,-0.10621843974354503,-0.012248863964418846,0.23041069359534813,0.20697125993429188,-0.17309195861340718,0.24330265120347683,0.12211024284639771,-0.10297075786879806,0.20052053454270533,-0.14438612701097944,-0.18540256566479554,-0.15958713636142163,0.060365511730651106,-0.0010000667852933924,-0.06924068906356527,-0.09959599170490283,0.25848269510612015,-0.18099670523079447,-0.13369040397111612,0.11784192777265384,-0.09227447554243778,0.11813491802431446,0.12437404520144221,0.06661399565743348,-0.06858232712839687,0.12245297581431214,0.04792282116383988,0.19871099510394927,1.0,0.1836420104139884,-0.08553071317869372,0.06352450970466415,-0.030165876639855406,-0.05234260550596103,0.004934430465576487,-0.02095475139341698
humidity_variability,-0.42302628998771025,0.0629011548174141,0.1120869093451286,0.6422147267232527,-0.19871690790071384,0.511880332722574,0.537821070375827,-0.5436200595135215,0.31765876063907617,0.24546810045853987,-0.5289447544159056,-0.32985016112460575,0.09087193632777774,-0.3224665320338853,0.010584357331343068,-0.6875947669677109,0.47308801243579884,-0.6368817119789106,-0.46233276001728113,0.26445292536241694,-0.228139897408742,0.7259993489034633,0.42004895208818444,0.5367133859997995,-0.48253029399093406,0.43824056357636654,0.17887666132818705,0.6030610415366315,0.1836420104139884,1.0,0.5411404026586849,0.19563618254089626,0.39882235108355635,-0.33287237410597625,-0.194861161000449,-0.6819444183381386
swvl1_amplitude,-0.0027936467445815777,0.12577590007670103,-0.28739782928318064,0.07944462005075918,0.28998264281102953,0.0363037639278777,0.14506733565896254,-0.20745419315635247,-0.2735906060247959,0.6081955537265769,-0.18515034401169614,0.34375762096061097,-0.25376564153521164,-0.5214132410871358,0.37842052414848476,-0.5309297743322599,-0.0501096990910129,-0.29777506753514094,-0.1020812011624207,0.06510731189925373,-0.048143187015613764,0.6493024016353595,-0.06823347176888857,0.47159990721522294,-0.26061628741144627,0.41831348919974076,0.41476863653730034,0.2161623054382629,-0.08553071317869372,0.5411404026586849,1.0,0.09802309917658071,0.7303583897078872,0.00016885204521594111,0.22116501521835466,-0.6197588502511897
swvl1_stability,-0.25693339569774665,-0.15232062473010094,-0.09279954255464937,0.22804157279237097,-0.4283003274462339,0.3304914233000789,0.11145059456695468,-0.3669277345255267,-0.15402604254651592,0.004418993915861386,-0.4913906370901862,-0.11038891372152389,0.07692831658686695,-0.16615639643343405,0.02825944043280942,-0.29349020491914685,0.008670889172356162,-0.24737105664708936,-0.21240676277779055,0.2364619217237588,-0.13316228607359978,0.09944604023995676,-0.04435575030091917,0.3261130628879351,-0.16710079445056322,0.30148500779344917,0.2784491562130642,0.25521448062270574,0.06352450970466415,0.19563618254089626,0.09802309917658071,1.0,-0.029899494285468602,-0.25037265672557735,0.09941898322511684,0.055451095507736296
soil_moisture_seasonality,0.3797528063597875,0.3517335505424187,-0.3043084722774712,-0.03550543667410539,0.5536289198557923,-0.2188118467043468,0.14678792279692304,0.19609868844728523,-0.038807123497328455,0.6915106772764035,-0.06588125990475394,0.20418522738604047,-0.28620412414392227,-0.413369059652545,0.44019015564539615,-0.17432647888917818,-0.07053674286845109,-0.12344548705697168,-0.008953337101041157,-0.15661270618699277,0.12206421666160934,0.7750153307747609,0.07064703848922546,0.054961970830345354,-0.0733042198503148,0.1616491483024438,0.0995873634865045,-0.05021996960946023,-0.030165876639855406,0.39882235108355635,0.7303583897078872,-0.029899494285468602,1.0,0.2125697547697944,0.07824580802613053,-0.5779134671652779
