state,district,year,cashewnut_whole_year_yield_tonne_per_hectare
,,2001 - 2002,0.49
,,2002 - 2003,0.12
,,2003 - 2004,0.55
,,2004 - 2005,0.19
,,2005 - 2006,0.23
,,2006 - 2007,0.33
,,2008 - 2009,0.24
,,2009 - 2010,0.27
,,2010 - 2011,0.21
,,2011 - 2012,0.11
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,Vizianagaram,2000 - 2001,0.22
,,2001 - 2002,0.27
,,2002 - 2003,0.12
,,2003 - 2004,0.27
,,2004 - 2005,0.21
,,2005 - 2006,0.27
,,2006 - 2007,0.26
,,2008 - 2009,0.29
,,2009 - 2010,0.3
,,2010 - 2011,0.24
,,2011 - 2012,0.25
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,West godavari,2000 - 2001,0.21
,,2001 - 2002,0.16
,,2002 - 2003,0.06
,,2003 - 2004,0.15
,,2004 - 2005,0.22
,,2005 - 2006,0.32
,,2006 - 2007,0.18
,,2008 - 2009,0.43
,,2009 - 2010,0.25
,,2010 - 2011,0.24
,,2011 - 2012,0.48
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
Chhattisgarh,Bastar,2020 - 2021,0.0
,,2021 - 2022,0.0
,Dantewada,2021 - 2022,0.0
,Kanker,2020 - 2021,0.0
,,2021 - 2022,0.0
,Raigarh,2020 - 2021,0.0
,,2021 - 2022,0.0
,Surguja,2020 - 2021,0.0
,,2021 - 2022,0.0
Goa,North goa,2004 - 2005,0.47
,,2005 - 2006,0.49
,,2006 - 2007,0.44
,,2007 - 2008,0.38
,,2013 - 2014,0.44
,,2014 - 2015,0.45
,,2015 - 2016,0.31
,,2016 - 2017,0.44
,,2017 - 2018,0.56
,,2018 - 2019,0.55
,,2019 - 2020,0.55
,,2020 - 2021,0.5
,,2021 - 2022,0.46
,,2022 - 2023,0.45
,South goa,2004 - 2005,0.46
,,2005 - 2006,0.49
,,2006 - 2007,0.44
,,2007 - 2008,0.44
,,2013 - 2014,0.41
,,2014 - 2015,0.44
,,2015 - 2016,0.3
,,2016 - 2017,0.42
,,2017 - 2018,0.37
,,2018 - 2019,0.37
,,2019 - 2020,0.42
,,2020 - 2021,0.45
,,2021 - 2022,0.46
,,2022 - 2023,0.45
Karnataka,Bagalkot,2008 - 2009,0.61
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2018 - 2019,1.19
,,2019 - 2020,1.4
,,2020 - 2021,1.26
,,2021 - 2022,1.43
,,2022 - 2023,5.4
,Bangalore rural,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.74
,,2011 - 2012,0.81
,,2012 - 2013,0.81
,,2013 - 2014,0.91
,,2014 - 2015,0.75
,,2015 - 2016,0.63
,,2016 - 2017,0.53
,,2017 - 2018,0.75
,,2018 - 2019,1.2
,,2019 - 2020,1.41
,,2020 - 2021,1.27
,,2021 - 2022,1.41
,,2022 - 2023,4.67
,Belgaum,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.89
,,2014 - 2015,1.84
,,2015 - 2016,2.03
,,2016 - 2017,3.02
,,2017 - 2018,2.96
,,2018 - 2019,1.46
,,2019 - 2020,1.24
,,2020 - 2021,1.91
,,2021 - 2022,1.74
,,2022 - 2023,8.0
,Bellary,2014 - 2015,0.74
,,2015 - 2016,0.64
,,2017 - 2018,0.75
,,2018 - 2019,1.14
,,2019 - 2020,1.41
,,2020 - 2021,1.27
,,2021 - 2022,1.37
,Bengaluru urban,2012 - 2013,0.67
,,2013 - 2014,1.0
,,2018 - 2019,1.25
,,2019 - 2020,1.5
,,2020 - 2021,1.29
,,2021 - 2022,1.38
,,2022 - 2023,19.67
,Bidar,2008 - 2009,0.61
,,2009 - 2010,0.75
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.89
,,2014 - 2015,0.74
,,2015 - 2016,0.67
,,2016 - 2017,0.56
,,2018 - 2019,1.2
,,2019 - 2020,1.42
,,2020 - 2021,1.28
,,2021 - 2022,1.43
,,2022 - 2023,8.09
,Bijapur,2020 - 2021,1.0
,Chamarajanagar,2008 - 2009,0.61
,,2009 - 2010,0.75
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.89
,,2014 - 2015,0.74
,,2015 - 2016,0.66
,,2016 - 2017,0.57
,,2017 - 2018,0.75
,,2018 - 2019,1.0
,,2019 - 2020,1.5
,,2020 - 2021,1.25
,,2021 - 2022,1.33
,,2022 - 2023,6.0
,Chikballapur,2008 - 2009,0.37
,,2009 - 2010,1.13
,,2010 - 2011,0.54
,,2011 - 2012,1.19
,,2012 - 2013,1.19
,,2013 - 2014,0.89
,,2014 - 2015,1.25
,,2015 - 2016,1.29
,,2016 - 2017,1.16
,,2017 - 2018,1.34
,,2018 - 2019,1.04
,,2019 - 2020,1.19
,,2020 - 2021,1.51
,,2021 - 2022,1.57
,,2022 - 2023,7.36
,Chikmagalur,2008 - 2009,0.45
,,2009 - 2010,0.76
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.89
,,2014 - 2015,1.22
,,2015 - 2016,1.14
,,2016 - 2017,1.06
,,2017 - 2018,0.73
,,2018 - 2019,1.21
,,2019 - 2020,1.41
,,2020 - 2021,1.27
,,2021 - 2022,1.42
,,2022 - 2023,7.34
,Chitradurga,2008 - 2009,0.61
,,2009 - 2010,0.75
,,2010 - 2011,0.75
,,2011 - 2012,0.75
,,2012 - 2013,0.75
,,2013 - 2014,1.0
,,2014 - 2015,0.75
,,2017 - 2018,1.0
,,2018 - 2019,1.2
,,2019 - 2020,1.41
,,2020 - 2021,1.27
,,2021 - 2022,1.41
,,2022 - 2023,6.55
,Dakshin kannad,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.92
,,2011 - 2012,1.02
,,2012 - 2013,1.02
,,2013 - 2014,1.22
,,2014 - 2015,0.85
,,2015 - 2016,0.59
,,2016 - 2017,0.42
,,2017 - 2018,0.74
,,2018 - 2019,1.18
,,2019 - 2020,1.47
,,2020 - 2021,1.14
,,2021 - 2022,1.27
,,2022 - 2023,5.28
,Davangere,2008 - 2009,0.61
,,2009 - 2010,0.75
,,2010 - 2011,0.74
,,2011 - 2012,0.81
,,2012 - 2013,0.83
,,2013 - 2014,0.9
,,2014 - 2015,0.74
,,2015 - 2016,0.63
,,2016 - 2017,0.56
,,2017 - 2018,0.73
,,2018 - 2019,1.21
,,2019 - 2020,1.41
,,2020 - 2021,1.27
,,2021 - 2022,1.41
,,2022 - 2023,3.83
,Dharwad,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.9
,,2014 - 2015,0.75
,,2015 - 2016,0.64
,,2016 - 2017,0.56
,,2017 - 2018,0.72
,,2018 - 2019,1.21
,,2019 - 2020,1.42
,,2020 - 2021,1.27
,,2021 - 2022,1.42
,,2022 - 2023,5.54
,Gadag,2016 - 2017,0.5
,,2017 - 2018,0.73
,,2018 - 2019,1.21
,,2019 - 2020,1.42
,,2020 - 2021,1.27
,,2021 - 2022,1.42
,,2022 - 2023,5.99
,Gulbarga,2018 - 2019,1.0
,Hassan,2008 - 2009,0.61
,,2009 - 2010,0.83
,,2010 - 2011,0.67
,,2011 - 2012,0.75
,,2012 - 2013,0.79
,,2013 - 2014,0.89
,,2015 - 2016,0.6
,,2016 - 2017,0.63
,,2017 - 2018,0.73
,,2018 - 2019,1.19
,,2019 - 2020,1.41
,,2020 - 2021,1.26
,,2021 - 2022,1.42
,,2022 - 2023,5.91
,Haveri,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.89
,,2014 - 2015,0.74
,,2015 - 2016,0.64
,,2016 - 2017,0.57
,,2017 - 2018,0.73
,,2018 - 2019,1.2
,,2019 - 2020,1.42
,,2020 - 2021,1.27
,,2021 - 2022,1.69
,,2022 - 2023,7.2
,Kodagu,2008 - 2009,0.65
,,2009 - 2010,0.6
,,2010 - 2011,1.13
,,2011 - 2012,1.08
,,2012 - 2013,1.08
,,2013 - 2014,1.12
,,2014 - 2015,1.16
,,2015 - 2016,1.68
,,2016 - 2017,1.12
,,2017 - 2018,1.26
,,2018 - 2019,1.34
,,2019 - 2020,1.74
,,2020 - 2021,1.27
,,2021 - 2022,1.69
,,2022 - 2023,9.21
,Kolar,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.36
,,2011 - 2012,1.42
,,2012 - 2013,1.42
,,2013 - 2014,0.61
,,2014 - 2015,0.64
,,2015 - 2016,0.58
,,2016 - 2017,0.46
,,2017 - 2018,0.73
,,2018 - 2019,1.2
,,2019 - 2020,1.42
,,2020 - 2021,1.27
,,2021 - 2022,2.07
,,2022 - 2023,7.87
,Koppal,2018 - 2019,1.21
,,2019 - 2020,1.4
,,2020 - 2021,1.26
,,2021 - 2022,0.89
,,2022 - 2023,8.8
,Mandya,2008 - 2009,0.61
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,1.0
,,2012 - 2013,0.8
,,2014 - 2015,1.0
,,2015 - 2016,0.63
,,2018 - 2019,1.14
,,2019 - 2020,1.5
,,2020 - 2021,1.29
,,2021 - 2022,1.4
,,2022 - 2023,2.83
,Mysore,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.89
,,2014 - 2015,0.74
,,2015 - 2016,0.65
,,2016 - 2017,0.55
,,2017 - 2018,0.75
,,2018 - 2019,1.2
,,2019 - 2020,1.4
,,2020 - 2021,1.33
,,2022 - 2023,6.0
,Raichur,2020 - 2021,1.5
,,2021 - 2022,1.0
,,2022 - 2023,6.0
,Ramanagara,2008 - 2009,0.61
,,2009 - 2010,0.78
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,0.5
,,2018 - 2019,1.19
,,2019 - 2020,1.43
,,2020 - 2021,1.29
,,2021 - 2022,1.38
,,2022 - 2023,7.0
,Shimoga,2008 - 2009,0.61
,,2009 - 2010,0.57
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2013 - 2014,0.31
,,2014 - 2015,0.25
,,2015 - 2016,0.29
,,2016 - 2017,0.15
,,2017 - 2018,0.35
,,2018 - 2019,1.27
,,2019 - 2020,1.22
,,2020 - 2021,0.96
,,2021 - 2022,1.59
,,2022 - 2023,3.72
,Tumkur,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.73
,,2011 - 2012,0.8
,,2012 - 2013,0.81
,,2013 - 2014,0.9
,,2014 - 2015,0.74
,,2015 - 2016,0.64
,,2016 - 2017,0.57
,,2017 - 2018,0.73
,,2018 - 2019,1.21
,,2019 - 2020,1.42
,,2020 - 2021,1.27
,,2021 - 2022,1.42
,,2022 - 2023,5.88
,Udupi,2008 - 2009,0.61
,,2009 - 2010,0.76
,,2010 - 2011,0.47
,,2011 - 2012,0.36
,,2012 - 2013,0.36
,,2013 - 2014,0.36
,,2014 - 2015,0.32
,,2015 - 2016,0.32
,,2016 - 2017,0.35
,,2017 - 2018,0.3
,,2018 - 2019,1.11
,,2019 - 2020,1.47
,,2020 - 2021,1.15
,,2021 - 2022,1.41
,,2022 - 2023,6.76
,Uttar kannad,2008 - 2009,0.86
,,2009 - 2010,0.64
,,2010 - 2011,0.62
,,2011 - 2012,0.62
,,2012 - 2013,0.62
,,2013 - 2014,1.09
,,2014 - 2015,1.1
,,2015 - 2016,1.42
,,2016 - 2017,1.38
,,2017 - 2018,1.4
,,2018 - 2019,1.39
,,2019 - 2020,1.39
,,2020 - 2021,1.41
,,2021 - 2022,1.45
,,2022 - 2023,8.64
,Vijayanagar,2022 - 2023,9.4
,Yadgir,2018 - 2019,1.2
,,2019 - 2020,1.5
,,2020 - 2021,1.2
,,2021 - 2022,1.5
Kerala,Alappuzha,2000 - 2001,0.26
,,2001 - 2002,0.3
,,2002 - 2003,0.31
,,2003 - 2004,0.34
,,2004 - 2005,0.27
,,2005 - 2006,0.34
,,2006 - 2007,0.33
,,2007 - 2008,0.39
,,2008 - 2009,0.31
,,2009 - 2010,0.39
,,2010 - 2011,0.24
,,2011 - 2012,0.21
,,2012 - 2013,0.21
,,2013 - 2014,0.2
,,2014 - 2015,0.17
,,2015 - 2016,0.14
,,2016 - 2017,0.14
,,2017 - 2018,0.17
,,2018 - 2019,0.21
,,2019 - 2020,0.13
,,2020 - 2021,0.12
,,2021 - 2022,0.16
,,2022 - 2023,0.15
,Ernakulam,2000 - 2001,0.31
,,2001 - 2002,0.49
,,2002 - 2003,0.45
,,2003 - 2004,0.43
,,2004 - 2005,0.47
,,2005 - 2006,0.45
,,2006 - 2007,0.46
,,2007 - 2008,0.45
,,2008 - 2009,0.4
,,2009 - 2010,0.38
,,2010 - 2011,0.32
,,2011 - 2012,0.24
,,2012 - 2013,0.25
,,2013 - 2014,0.3
,,2014 - 2015,0.28
,,2015 - 2016,0.27
,,2016 - 2017,0.26
,,2017 - 2018,0.28
,,2018 - 2019,0.25
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.35
,,2022 - 2023,0.3
,Idukki,2000 - 2001,0.43
,,2001 - 2002,0.41
,,2002 - 2003,0.6
,,2003 - 2004,0.44
,,2004 - 2005,0.53
,,2005 - 2006,0.62
,,2006 - 2007,0.44
,,2007 - 2008,0.36
,,2008 - 2009,0.54
,,2009 - 2010,0.4
,,2010 - 2011,0.28
,,2011 - 2012,0.34
,,2012 - 2013,0.31
,,2013 - 2014,0.38
,,2014 - 2015,0.3
,,2015 - 2016,0.33
,,2016 - 2017,0.3
,,2017 - 2018,0.32
,,2018 - 2019,0.2
,,2019 - 2020,0.28
,,2020 - 2021,0.24
,,2021 - 2022,0.25
,,2022 - 2023,0.23
,Kannur,2000 - 2001,1.0
,,2001 - 2002,0.89
,,2002 - 2003,0.94
,,2003 - 2004,0.92
,,2004 - 2005,0.98
,,2005 - 2006,1.17
,,2006 - 2007,1.22
,,2007 - 2008,1.33
,,2008 - 2009,1.07
,,2009 - 2010,1.11
,,2010 - 2011,1.3
,,2011 - 2012,1.04
,,2012 - 2013,1.17
,,2013 - 2014,0.99
,,2014 - 2015,0.91
,,2015 - 2016,0.85
,,2016 - 2017,0.99
,,2017 - 2018,0.95
,,2018 - 2019,0.45
,,2019 - 2020,0.65
,,2020 - 2021,0.75
,,2021 - 2022,0.62
,,2022 - 2023,0.47
,Kasaragod,2000 - 2001,0.9
,,2001 - 2002,1.1
,,2002 - 2003,1.03
,,2003 - 2004,1.1
,,2004 - 2005,0.94
,,2005 - 2006,0.99
,,2006 - 2007,1.03
,,2007 - 2008,0.96
,,2008 - 2009,1.09
,,2009 - 2010,0.63
,,2010 - 2011,0.75
,,2011 - 2012,0.69
,,2012 - 2013,0.64
,,2013 - 2014,0.79
,,2014 - 2015,0.88
,,2015 - 2016,0.56
,,2016 - 2017,0.69
,,2017 - 2018,0.55
,,2018 - 2019,0.59
,,2019 - 2020,0.5
,,2020 - 2021,0.54
,,2021 - 2022,0.52
,,2022 - 2023,0.48
,Kollam,2000 - 2001,0.73
,,2001 - 2002,0.79
,,2002 - 2003,0.65
,,2003 - 2004,0.73
,,2004 - 2005,0.68
,,2005 - 2006,0.7
,,2006 - 2007,0.65
,,2007 - 2008,0.51
,,2008 - 2009,0.45
,,2009 - 2010,0.44
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,0.32
,,2014 - 2015,0.29
,,2015 - 2016,0.28
,,2016 - 2017,0.29
,,2017 - 2018,0.25
,,2018 - 2019,0.27
,,2019 - 2020,0.24
,,2020 - 2021,0.28
,,2021 - 2022,0.28
,,2022 - 2023,0.22
,Kottayam,2000 - 2001,0.31
,,2001 - 2002,0.3
,,2002 - 2003,0.32
,,2003 - 2004,0.33
,,2004 - 2005,0.32
,,2005 - 2006,0.42
,,2006 - 2007,0.38
,,2007 - 2008,0.38
,,2008 - 2009,0.29
,,2009 - 2010,0.31
,,2010 - 2011,0.27
,,2011 - 2012,0.25
,,2012 - 2013,0.27
,,2013 - 2014,0.3
,,2014 - 2015,0.26
,,2015 - 2016,0.27
,,2016 - 2017,0.26
,,2017 - 2018,0.3
,,2018 - 2019,0.26
,,2019 - 2020,0.17
,,2020 - 2021,0.22
,,2021 - 2022,0.31
,,2022 - 2023,0.28
,Kozhikode,2000 - 2001,0.46
,,2001 - 2002,0.56
,,2002 - 2003,0.56
,,2003 - 2004,0.62
,,2004 - 2005,0.58
,,2005 - 2006,0.65
,,2006 - 2007,0.5
,,2007 - 2008,0.66
,,2008 - 2009,0.51
,,2009 - 2010,0.34
,,2010 - 2011,0.45
,,2011 - 2012,0.31
,,2012 - 2013,0.38
,,2013 - 2014,0.45
,,2014 - 2015,0.37
,,2015 - 2016,0.32
,,2016 - 2017,0.31
,,2017 - 2018,0.27
,,2018 - 2019,0.19
,,2019 - 2020,0.21
,,2020 - 2021,0.24
,,2021 - 2022,0.28
,,2022 - 2023,0.29
,Malappuram,2000 - 2001,0.52
,,2001 - 2002,0.45
,,2002 - 2003,0.42
,,2003 - 2004,0.41
,,2004 - 2005,0.4
,,2005 - 2006,0.81
,,2006 - 2007,0.7
,,2007 - 2008,0.88
,,2008 - 2009,0.58
,,2009 - 2010,0.51
,,2010 - 2011,0.37
,,2011 - 2012,0.42
,,2012 - 2013,0.39
,,2013 - 2014,0.32
,,2014 - 2015,0.26
,,2015 - 2016,0.21
,,2016 - 2017,0.22
,,2017 - 2018,0.17
,,2018 - 2019,0.16
,,2019 - 2020,0.15
,,2020 - 2021,0.13
,,2021 - 2022,0.15
,,2022 - 2023,0.15
,Palakkad,2000 - 2001,0.4
,,2001 - 2002,0.38
,,2002 - 2003,0.42
,,2003 - 2004,0.42
,,2004 - 2005,0.51
,,2005 - 2006,0.41
,,2006 - 2007,0.39
,,2007 - 2008,0.46
,,2008 - 2009,0.47
,,2009 - 2010,0.35
,,2010 - 2011,0.31
,,2011 - 2012,0.24
,,2012 - 2013,0.2
,,2013 - 2014,0.26
,,2014 - 2015,0.26
,,2015 - 2016,0.2
,,2016 - 2017,0.24
,,2017 - 2018,0.19
,,2018 - 2019,0.19
,,2019 - 2020,0.14
,,2020 - 2021,0.18
,,2021 - 2022,0.19
,,2022 - 2023,0.18
,Pathanamthitta,2000 - 2001,0.49
,,2001 - 2002,0.46
,,2002 - 2003,0.48
,,2003 - 2004,0.55
,,2004 - 2005,0.56
,,2005 - 2006,0.5
,,2006 - 2007,0.45
,,2007 - 2008,0.34
,,2008 - 2009,0.36
,,2009 - 2010,0.39
,,2010 - 2011,0.34
,,2011 - 2012,0.32
,,2012 - 2013,0.3
,,2013 - 2014,0.28
,,2014 - 2015,0.27
,,2015 - 2016,0.25
,,2016 - 2017,0.24
,,2017 - 2018,0.25
,,2018 - 2019,0.21
,,2019 - 2020,0.21
,,2020 - 2021,0.27
,,2021 - 2022,0.19
,,2022 - 2023,0.3
,Thiruvananthapuram,2000 - 2001,0.46
,,2001 - 2002,0.4
,,2002 - 2003,0.47
,,2003 - 2004,0.41
,,2004 - 2005,0.37
,,2005 - 2006,0.58
,,2006 - 2007,0.49
,,2007 - 2008,0.42
,,2008 - 2009,0.43
,,2009 - 2010,0.4
,,2010 - 2011,0.37
,,2011 - 2012,0.31
,,2012 - 2013,0.29
,,2013 - 2014,0.27
,,2014 - 2015,0.24
,,2015 - 2016,0.22
,,2016 - 2017,0.24
,,2017 - 2018,0.23
,,2018 - 2019,0.25
,,2019 - 2020,0.21
,,2020 - 2021,0.25
,,2021 - 2022,0.23
,,2022 - 2023,0.24
,Thrissur,2000 - 2001,0.34
,,2001 - 2002,0.41
,,2002 - 2003,0.51
,,2003 - 2004,0.48
,,2004 - 2005,0.53
,,2005 - 2006,0.5
,,2006 - 2007,0.4
,,2007 - 2008,0.5
,,2008 - 2009,0.43
,,2009 - 2010,0.41
,,2010 - 2011,0.44
,,2011 - 2012,0.28
,,2012 - 2013,0.31
,,2013 - 2014,0.31
,,2014 - 2015,0.25
,,2015 - 2016,0.28
,,2016 - 2017,0.32
,,2017 - 2018,0.33
,,2018 - 2019,0.31
,,2019 - 2020,0.29
,,2020 - 2021,0.33
,,2021 - 2022,0.29
,,2022 - 2023,0.27
,Wayanad,2000 - 2001,0.5
,,2001 - 2002,0.41
,,2002 - 2003,0.88
,,2003 - 2004,0.65
,,2004 - 2005,0.7
,,2005 - 2006,0.56
,,2006 - 2007,0.65
,,2007 - 2008,0.47
,,2008 - 2009,0.33
,,2009 - 2010,0.7
,,2010 - 2011,0.81
,,2011 - 2012,0.42
,,2012 - 2013,0.48
,,2013 - 2014,0.31
,,2014 - 2015,0.31
,,2015 - 2016,0.41
,,2016 - 2017,0.36
,,2017 - 2018,0.36
,,2018 - 2019,0.33
,,2019 - 2020,0.35
,,2020 - 2021,0.35
,,2021 - 2022,0.41
,,2022 - 2023,0.47
Madhya Pradesh,Jhabua,2002 - 2003,0.0
Manipur,Chandel,2002 - 2003,0.71
,,2003 - 2004,0.4
,,2014 - 2015,0.64
,Imphal east,2002 - 2003,0.1
,,2003 - 2004,0.4
,,2014 - 2015,0.64
,,2015 - 2016,0.57
,,2016 - 2017,0.63
,,2017 - 2018,0.49
,Ukhrul,2015 - 2016,0.54
,,2016 - 2017,0.54
Meghalaya,East garo hills,2002 - 2003,0.98
,,2003 - 2004,0.98
