state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,,2021 - 2022,0.86
,,2022 - 2023,0.66
,Dhemaji,2000 - 2001,0.4
,,2001 - 2002,0.47
,,2002 - 2003,0.37
,,2003 - 2004,0.33
,,2004 - 2005,0.34
,,2005 - 2006,0.34
,,2006 - 2007,0.33
,,2007 - 2008,0.46
,,2008 - 2009,0.44
,,2009 - 2010,0.56
,,2010 - 2011,0.49
,,2011 - 2012,0.47
,,2012 - 2013,0.41
,,2013 - 2014,0.44
,,2014 - 2015,1.04
,,2015 - 2016,1.25
,,2016 - 2017,0.71
,,2017 - 2018,0.6
,,2018 - 2019,0.56
,,2019 - 2020,0.51
,,2020 - 2021,0.8
,,2021 - 2022,0.55
,,2022 - 2023,1.01
,Dhubri,2000 - 2001,0.48
,,2001 - 2002,0.51
,,2002 - 2003,0.46
,,2003 - 2004,0.72
,,2004 - 2005,0.63
,,2005 - 2006,0.47
,,2006 - 2007,0.47
,,2007 - 2008,0.47
,,2008 - 2009,0.53
,,2009 - 2010,0.52
,,2010 - 2011,0.68
,,2011 - 2012,0.67
,,2012 - 2013,0.74
,,2013 - 2014,0.8
,,2014 - 2015,0.84
,,2015 - 2016,0.8
,,2016 - 2017,0.73
,,2017 - 2018,0.76
,,2018 - 2019,0.78
,,2019 - 2020,0.76
,,2020 - 2021,0.74
,,2021 - 2022,0.81
,,2022 - 2023,0.94
,Dibrugarh,2000 - 2001,0.4
,,2001 - 2002,0.51
,,2002 - 2003,0.45
,,2003 - 2004,0.65
,,2004 - 2005,0.7
,,2005 - 2006,0.55
,,2006 - 2007,0.59
,,2007 - 2008,0.56
,,2008 - 2009,0.52
,,2009 - 2010,0.7
,,2010 - 2011,0.61
,,2011 - 2012,0.99
,,2012 - 2013,0.89
,,2013 - 2014,0.63
,,2014 - 2015,0.7
,,2015 - 2016,0.86
,,2016 - 2017,1.0
,,2017 - 2018,0.99
,,2018 - 2019,0.83
,,2019 - 2020,0.62
,,2020 - 2021,0.83
,,2021 - 2022,0.59
,,2022 - 2023,1.29
,Dima hasao,2000 - 2001,0.26
,,2001 - 2002,0.32
,,2002 - 2003,0.34
,,2003 - 2004,0.45
,,2004 - 2005,0.38
,,2005 - 2006,0.35
,,2006 - 2007,0.45
,,2007 - 2008,0.31
,,2008 - 2009,0.3
,,2009 - 2010,0.28
,,2010 - 2011,0.32
,,2011 - 2012,0.27
,,2012 - 2013,0.32
,,2013 - 2014,0.31
,,2014 - 2015,0.31
,,2015 - 2016,0.59
,,2016 - 2017,0.95
,,2017 - 2018,1.06
,,2018 - 2019,0.95
,,2019 - 2020,0.87
,,2020 - 2021,0.99
,,2021 - 2022,0.9
,,2022 - 2023,0.91
,Goalpara,2000 - 2001,0.44
,,2001 - 2002,0.41
,,2002 - 2003,0.37
,,2003 - 2004,0.57
,,2004 - 2005,0.4
,,2005 - 2006,0.38
,,2006 - 2007,0.43
,,2007 - 2008,0.37
,,2008 - 2009,0.52
,,2009 - 2010,0.37
,,2010 - 2011,0.47
,,2011 - 2012,0.41
,,2012 - 2013,0.49
,,2013 - 2014,0.45
,,2014 - 2015,0.44
,,2015 - 2016,0.7
,,2016 - 2017,0.43
,,2017 - 2018,0.52
,,2018 - 2019,0.39
,,2019 - 2020,0.46
,,2020 - 2021,0.59
,,2021 - 2022,0.62
,,2022 - 2023,0.61
,Golaghat,2000 - 2001,0.61
,,2001 - 2002,0.51
,,2002 - 2003,0.54
,,2003 - 2004,0.71
,,2004 - 2005,0.44
,,2005 - 2006,0.62
,,2006 - 2007,0.63
,,2007 - 2008,0.49
,,2008 - 2009,0.42
,,2009 - 2010,0.41
,,2010 - 2011,0.38
,,2011 - 2012,0.42
,,2012 - 2013,0.34
,,2013 - 2014,0.5
,,2014 - 2015,0.52
,,2015 - 2016,0.48
,,2016 - 2017,0.66
,,2017 - 2018,0.64
,,2018 - 2019,0.54
,,2019 - 2020,0.34
,,2020 - 2021,0.45
,,2021 - 2022,0.43
,,2022 - 2023,0.93
,Hailakandi,2000 - 2001,0.53
,,2001 - 2002,0.43
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.42
,,2005 - 2006,0.35
,,2006 - 2007,0.41
,,2007 - 2008,0.37
,,2008 - 2009,0.38
,,2009 - 2010,0.4
,,2010 - 2011,0.39
,,2011 - 2012,0.39
,,2012 - 2013,0.41
,,2013 - 2014,0.16
,,2014 - 2015,0.37
,,2015 - 2016,0.36
,,2016 - 2017,0.34
,,2017 - 2018,0.31
,,2018 - 2019,0.64
,,2019 - 2020,0.35
,,2020 - 2021,0.37
,,2021 - 2022,0.38
,,2022 - 2023,0.78
,Hojai,2020 - 2021,0.53
,,2021 - 2022,0.8
,,2022 - 2023,0.91
,Jorhat,2000 - 2001,0.42
,,2001 - 2002,0.58
,,2002 - 2003,0.7
,,2003 - 2004,0.4
,,2004 - 2005,0.57
,,2005 - 2006,0.47
,,2006 - 2007,0.62
,,2007 - 2008,0.86
,,2008 - 2009,0.67
,,2009 - 2010,0.64
,,2010 - 2011,0.44
,,2011 - 2012,0.52
,,2012 - 2013,0.7
,,2013 - 2014,0.8
,,2014 - 2015,0.78
,,2015 - 2016,0.66
