state,district,year,rapeseed_and_mustard_rabi_yield_tonne_per_hectare
,Umaria,2000 - 2001,0.18
,,2001 - 2002,0.29
,,2002 - 2003,0.23
,,2003 - 2004,0.33
,,2004 - 2005,0.4
,,2005 - 2006,0.39
,,2006 - 2007,0.35
,,2007 - 2008,0.34
,,2008 - 2009,0.4
,,2009 - 2010,
,,2010 - 2011,0.36
,,2011 - 2012,0.46
,,2012 - 2013,0.46
,,2013 - 2014,0.7
,,2014 - 2015,0.38
,,2015 - 2016,0.67
,,2016 - 2017,0.86
,,2017 - 2018,0.71
,,2018 - 2019,0.42
,,2019 - 2020,0.74
,,2020 - 2021,0.73
,,2021 - 2022,0.67
,,2022 - 2023,0.72
,Vidisha,2000 - 2001,0.56
,,2001 - 2002,0.69
,,2002 - 2003,0.53
,,2003 - 2004,0.78
,,2004 - 2005,0.86
,,2005 - 2006,0.87
,,2006 - 2007,0.87
,,2007 - 2008,0.82
,,2008 - 2009,0.82
,,2009 - 2010,
,,2010 - 2011,0.77
,,2011 - 2012,1.14
,,2012 - 2013,0.83
,,2013 - 2014,0.64
,,2017 - 2018,0.95
,,2018 - 2019,0.6
,,2019 - 2020,1.18
,,2020 - 2021,1.26
,,2021 - 2022,0.89
,,2022 - 2023,1.41
Maharashtra,Ahilyanagar,2000 - 2001,0.5
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2008 - 2009,0.0
,,2009 - 2010,0.5
,,2016 - 2017,0.15
,,2017 - 2018,0.43
,,2019 - 2020,0.06
,Akola,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2004 - 2005,0.0
,,2005 - 2006,0.5
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.2
,,2016 - 2017,0.4
,,2018 - 2019,1.76
,Amravati,2002 - 2003,0.2
,,2003 - 2004,0.38
,,2004 - 2005,1.0
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2010 - 2011,0.33
,,2011 - 2012,0.27
,,2017 - 2018,0.4
,,2019 - 2020,0.4
,Beed,2000 - 2001,0.33
,,2001 - 2002,0.25
,,2002 - 2003,0.14
,,2003 - 2004,0.14
,,2004 - 2005,0.14
,,2005 - 2006,0.22
,,2006 - 2007,0.25
,,2007 - 2008,0.29
,,2008 - 2009,0.25
,,2009 - 2010,0.29
,,2010 - 2011,0.25
,,2011 - 2012,0.33
,,2012 - 2013,0.25
,,2016 - 2017,0.4
,,2017 - 2018,0.5
,,2018 - 2019,0.09
,,2019 - 2020,0.3
,Bhandara,2000 - 2001,0.33
,,2001 - 2002,0.1
,,2002 - 2003,0.25
,,2003 - 2004,0.0
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.25
,,2016 - 2017,0.5
,,2017 - 2018,0.14
,,2018 - 2019,0.31
,,2019 - 2020,1.0
,Buldhana,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.67
,,2011 - 2012,0.29
,,2016 - 2017,0.4
,,2017 - 2018,0.43
,,2018 - 2019,0.42
,,2019 - 2020,0.43
,Chandrapur,2000 - 2001,0.05
,,2001 - 2002,0.22
,,2002 - 2003,0.33
,,2003 - 2004,0.25
,,2004 - 2005,0.2
,,2005 - 2006,0.33
,,2006 - 2007,0.52
,,2007 - 2008,0.57
,,2008 - 2009,0.4
,,2009 - 2010,0.67
,,2010 - 2011,0.67
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2016 - 2017,0.5
,,2017 - 2018,0.23
,,2018 - 2019,0.25
,,2019 - 2020,0.35
,Chhatrapati Sambhajinagar,2000 - 2001,0.25
,,2001 - 2002,0.29
,,2002 - 2003,0.22
,,2003 - 2004,0.17
,,2004 - 2005,0.14
,,2005 - 2006,0.33
,,2006 - 2007,0.18
,,2007 - 2008,0.33
,,2016 - 2017,0.22
,,2017 - 2018,0.23
,,2018 - 2019,0.0
,,2019 - 2020,0.3
,Dharashiv,2001 - 2002,0.33
,,2003 - 2004,0.2
,,2004 - 2005,0.4
,,2006 - 2007,0.33
,,2008 - 2009,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.3
,,2012 - 2013,0.27
,,2016 - 2017,0.44
,,2017 - 2018,0.17
,,2018 - 2019,0.31
,,2019 - 2020,0.31
,Dhule,2001 - 2002,0.1
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2007 - 2008,1.0
,,2010 - 2011,0.4
,,2011 - 2012,0.38
,,2019 - 2020,0.15
,Gadchiroli,2000 - 2001,0.33
,,2001 - 2002,0.18
,,2002 - 2003,0.05
,,2003 - 2004,0.14
,,2004 - 2005,0.33
,,2005 - 2006,0.43
,,2006 - 2007,0.44
,,2007 - 2008,0.57
,,2008 - 2009,0.2
,,2009 - 2010,0.11
,,2010 - 2011,0.33
,,2011 - 2012,0.25
,,2012 - 2013,0.29
,,2016 - 2017,0.5
,,2017 - 2018,0.25
,,2018 - 2019,0.24
,,2019 - 2020,0.28
,Gondia,2000 - 2001,0.05
,,2002 - 2003,0.1
,,2003 - 2004,0.25
,,2004 - 2005,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.4
,,2010 - 2011,0.33
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2016 - 2017,0.2
,,2017 - 2018,0.27
,,2018 - 2019,0.38
,,2019 - 2020,0.38
,Hingoli,2000 - 2001,0.33
,,2001 - 2002,0.2
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2005 - 2006,0.33
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2009 - 2010,0.4
,,2011 - 2012,0.3
,,2012 - 2013,0.5
,,2016 - 2017,0.4
,Jalgaon,2000 - 2001,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.0
,,2005 - 2006,0.3
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2016 - 2017,0.5
,,2017 - 2018,1.0
,Jalna,2000 - 2001,0.17
,,2001 - 2002,0.1
,,2002 - 2003,0.25
,,2003 - 2004,0.5
,,2004 - 2005,0.25
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2010 - 2011,0.33
,,2011 - 2012,0.0
,,2012 - 2013,0.3
,,2016 - 2017,0.25
,,2017 - 2018,0.2
,,2019 - 2020,0.13
,Kolhapur,2016 - 2017,0.2
,,2019 - 2020,0.17
,Latur,2000 - 2001,0.17
,,2001 - 2002,0.25
,,2002 - 2003,0.33
,,2003 - 2004,0.22
,,2004 - 2005,0.29
,,2005 - 2006,0.3
,,2006 - 2007,0.29
,,2007 - 2008,0.2
,,2008 - 2009,0.29
,,2009 - 2010,0.5
,,2010 - 2011,0.29
,,2011 - 2012,0.33
,,2012 - 2013,0.21
,,2016 - 2017,0.25
,,2017 - 2018,0.25
,,2018 - 2019,0.32
,,2019 - 2020,0.33
,Nagpur,2000 - 2001,0.05
,,2001 - 2002,0.5
,,2002 - 2003,0.33
,,2003 - 2004,0.2
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.38
,,2007 - 2008,0.55
,,2008 - 2009,0.25
,,2009 - 2010,0.5
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2012 - 2013,0.67
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.37
,,2019 - 2020,0.32
,Nanded,2000 - 2001,0.17
,,2001 - 2002,0.17
,,2002 - 2003,0.22
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2005 - 2006,0.25
,,2006 - 2007,0.2
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2010 - 2011,0.3
,,2011 - 2012,0.5
,,2012 - 2013,0.33
,,2016 - 2017,0.23
,,2017 - 2018,0.22
,,2018 - 2019,0.2
,,2019 - 2020,0.22
,Nandurbar,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,0.0
,,2004 - 2005,0.5
,,2006 - 2007,1.0
,,2008 - 2009,0.33
,,2009 - 2010,1.0
,,2010 - 2011,0.5
,,2011 - 2012,0.4
,,2012 - 2013,0.17
,,2016 - 2017,0.42
,,2017 - 2018,0.4
,,2018 - 2019,0.56
,,2019 - 2020,0.24
,Nashik,2000 - 2001,0.5
,,2001 - 2002,0.2
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.33
,,2005 - 2006,0.25
,,2006 - 2007,0.5
,,2007 - 2008,1.0
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,0.5
,,2012 - 2013,0.2
,,2016 - 2017,0.0
,,2017 - 2018,1.0
,,2018 - 2019,0.2
,,2019 - 2020,0.19
,Palghar,2016 - 2017,0.5
,,2017 - 2018,0.0
,,2018 - 2019,0.7
,,2019 - 2020,0.6
,Parbhani,2000 - 2001,0.25
,,2001 - 2002,0.2
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.4
,,2005 - 2006,0.29
,,2006 - 2007,0.17
,,2007 - 2008,0.25
,,2008 - 2009,0.2
,,2009 - 2010,0.4
,,2010 - 2011,0.04
,,2011 - 2012,0.6
,,2012 - 2013,0.33
,,2016 - 2017,0.25
,,2018 - 2019,0.21
,,2019 - 2020,0.16
,Pune,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,0.33
,,2003 - 2004,0.0
,,2004 - 2005,0.33
,,2006 - 2007,0.33
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2012 - 2013,0.5
,,2017 - 2018,0.4
,,2018 - 2019,0.1
,,2019 - 2020,0.16
,Raigad,2001 - 2002,0.1
,,2002 - 2003,1.0
,,2003 - 2004,0.0
,,2004 - 2005,1.0
,,2005 - 2006,0.0
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2008 - 2009,0.5
,,2009 - 2010,0.4
,,2010 - 2011,0.4
,,2011 - 2012,0.4
,,2017 - 2018,0.33
,,2019 - 2020,0.65
,Ratnagiri,2000 - 2001,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2008 - 2009,0.0
,,2010 - 2011,0.4
,,2011 - 2012,0.3
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2018 - 2019,0.59
,,2019 - 2020,0.65
,Sangli,2000 - 2001,0.25
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,,2004 - 2005,0.17
,,2005 - 2006,0.25
,,2006 - 2007,0.5
,,2007 - 2008,0.4
,,2008 - 2009,0.2
,,2009 - 2010,0.29
,,2010 - 2011,0.5
,,2011 - 2012,0.67
,,2012 - 2013,0.3
,,2017 - 2018,0.71
,,2019 - 2020,0.0
,Satara,2000 - 2001,0.05
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.17
,,2005 - 2006,0.2
,,2006 - 2007,0.17
,,2007 - 2008,0.0
,,2008 - 2009,0.5
,,2009 - 2010,0.2
,,2010 - 2011,0.5
,,2011 - 2012,0.4
,,2012 - 2013,0.3
,,2016 - 2017,0.2
,,2017 - 2018,0.4
,,2018 - 2019,0.33
,,2019 - 2020,0.17
,Sindhudurg,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,1.0
,,2010 - 2011,0.4
,,2011 - 2012,0.5
,,2017 - 2018,1.0
,,2018 - 2019,0.64
,,2019 - 2020,0.57
,Solapur,2001 - 2002,0.33
,,2002 - 2003,0.5
,,2012 - 2013,0.2
,,2016 - 2017,0.13
,,2017 - 2018,0.2
,,2018 - 2019,0.2
,,2019 - 2020,0.18
,Thane,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.33
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.2
,,2019 - 2020,0.43
,Wardha,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2003 - 2004,0.0
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2011 - 2012,0.4
,,2016 - 2017,1.0
,Washim,2007 - 2008,0.0
,,2016 - 2017,0.4
,,2018 - 2019,0.26
,,2019 - 2020,0.17
,Yavatmal,2000 - 2001,0.33
,,2001 - 2002,0.1
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2005 - 2006,0.63
,,2006 - 2007,0.67
,,2007 - 2008,0.0
,,2017 - 2018,0.4
,,2019 - 2020,0.4
Manipur,Bishnupur,2000 - 2001,0.4
,,2004 - 2005,0.44
,,2005 - 2006,0.38
,,2007 - 2008,0.5
,,2008 - 2009,0.73
,,2009 - 2010,0.93
,,2010 - 2011,0.74
,,2011 - 2012,0.74
,,2012 - 2013,0.85
,,2013 - 2014,0.83
,,2014 - 2015,0.85
,,2015 - 2016,0.83
,,2016 - 2017,0.84
,,2017 - 2018,0.84
,,2018 - 2019,0.76
,Chandel,2000 - 2001,0.54
,,2003 - 2004,0.5
,,2005 - 2006,1.0
,,2006 - 2007,0.5
,,2007 - 2008,0.33
,,2008 - 2009,0.95
,,2009 - 2010,0.59
,,2010 - 2011,0.91
,,2011 - 2012,0.88
,,2012 - 2013,0.81
,,2013 - 2014,0.84
,,2014 - 2015,0.88
,,2015 - 2016,0.85
,,2016 - 2017,0.85
,,2017 - 2018,0.86
,,2018 - 2019,0.83
,Churachandpur,2000 - 2001,0.44
,,2008 - 2009,0.87
,,2009 - 2010,0.59
,,2010 - 2011,0.85
,,2011 - 2012,0.82
,,2012 - 2013,0.8
,,2013 - 2014,0.82
,,2014 - 2015,0.87
,,2015 - 2016,0.84
,,2016 - 2017,0.84
,,2017 - 2018,0.84
,,2018 - 2019,0.86
,Imphal east,2008 - 2009,0.64
,,2009 - 2010,0.86
,,2010 - 2011,0.71
,,2011 - 2012,0.71
,,2012 - 2013,0.87
,,2013 - 2014,0.87
,,2014 - 2015,0.91
,,2015 - 2016,0.89
,,2016 - 2017,0.9
,,2017 - 2018,0.9
,,2018 - 2019,0.91
,Imphal west,2004 - 2005,0.45
,,2005 - 2006,0.5
,,2008 - 2009,0.59
,,2009 - 2010,0.89
,,2010 - 2011,0.71
,,2011 - 2012,0.7
,,2012 - 2013,0.87
,,2013 - 2014,0.87
,,2014 - 2015,0.9
,,2015 - 2016,0.86
,,2016 - 2017,0.87
,,2017 - 2018,0.88
,,2018 - 2019,0.87
,Senapati,2000 - 2001,0.43
,,2001 - 2002,0.44
,,2002 - 2003,0.45
,,2005 - 2006,0.5
,,2008 - 2009,0.84
,,2009 - 2010,0.67
,,2010 - 2011,0.82
,,2011 - 2012,0.8
,,2012 - 2013,0.82
,,2013 - 2014,0.81
,,2014 - 2015,0.84
,,2015 - 2016,0.81
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.82
,Tamenglong,2008 - 2009,0.88
,,2009 - 2010,0.58
,,2010 - 2011,0.86
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.86
,,2014 - 2015,0.87
,,2015 - 2016,0.85
,,2016 - 2017,0.85
,,2017 - 2018,0.86
,,2018 - 2019,0.86
,Thoubal,2007 - 2008,0.45
,,2008 - 2009,0.78
,,2009 - 2010,0.9
,,2010 - 2011,0.79
,,2011 - 2012,0.79
,,2012 - 2013,0.89
,,2013 - 2014,0.85
,,2014 - 2015,0.88
,,2015 - 2016,0.87
,,2016 - 2017,0.89
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,Ukhrul,2008 - 2009,0.74
,,2009 - 2010,0.6
,,2010 - 2011,0.72
,,2011 - 2012,0.7
,,2012 - 2013,0.79
,,2013 - 2014,0.8
,,2014 - 2015,0.83
,,2015 - 2016,0.82
,,2016 - 2017,0.82
,,2017 - 2018,0.82
,,2018 - 2019,0.82
Meghalaya,East garo hills,2000 - 2001,0.62
,,2001 - 2002,0.69
,,2002 - 2003,0.44
,,2003 - 2004,0.46
,,2004 - 2005,0.52
,,2005 - 2006,0.5
,,2006 - 2007,0.49
,,2007 - 2008,0.49
,,2008 - 2009,0.7
,,2009 - 2010,0.71
,,2010 - 2011,0.68
,,2011 - 2012,0.7
,,2012 - 2013,0.93
,,2013 - 2014,0.77
,,2014 - 2015,0.78
,,2015 - 2016,0.79
,,2016 - 2017,0.8
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2022 - 2023,0.81
,East jaintia hills,2000 - 2001,0.64
,,2001 - 2002,0.53
,,2002 - 2003,0.97
,,2003 - 2004,0.94
,,2004 - 2005,0.94
,,2005 - 2006,0.94
,,2006 - 2007,0.95
,,2007 - 2008,0.95
,,2008 - 2009,0.94
,,2009 - 2010,0.52
,,2010 - 2011,0.54
,,2011 - 2012,0.55
,,2012 - 2013,0.85
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.91
,,2016 - 2017,0.83
,,2017 - 2018,0.83
,,2018 - 2019,0.83
,,2019 - 2020,0.83
,,2020 - 2021,0.83
,East khasi hills,2000 - 2001,0.55
,,2001 - 2002,0.56
,,2002 - 2003,0.55
,,2003 - 2004,0.52
,,2004 - 2005,0.53
,,2005 - 2006,0.52
,,2006 - 2007,0.58
,,2007 - 2008,0.58
,,2008 - 2009,0.56
,,2009 - 2010,0.55
,,2010 - 2011,0.55
,,2011 - 2012,0.56
,,2012 - 2013,0.86
,,2013 - 2014,0.86
,,2014 - 2015,0.87
,,2015 - 2016,0.88
,,2016 - 2017,0.88
,,2017 - 2018,0.88
,,2018 - 2019,0.88
,,2019 - 2020,0.88
,,2020 - 2021,0.88
,,2022 - 2023,0.88
,North garo hills,2013 - 2014,1.05
,,2014 - 2015,1.07
,,2015 - 2016,1.09
,,2016 - 2017,0.46
,,2017 - 2018,0.46
,,2018 - 2019,0.46
,,2019 - 2020,0.46
,,2020 - 2021,0.47
,,2022 - 2023,0.47
,Ri bhoi,2000 - 2001,0.41
,,2001 - 2002,0.42
,,2002 - 2003,0.41
,,2003 - 2004,0.42
,,2004 - 2005,0.41
,,2005 - 2006,0.41
,,2006 - 2007,0.42
,,2007 - 2008,0.43
,,2008 - 2009,0.44
,,2009 - 2010,0.44
,,2010 - 2011,0.44
,,2011 - 2012,0.44
,,2012 - 2013,0.69
,,2013 - 2014,0.69
,,2014 - 2015,0.73
,,2015 - 2016,0.73
,,2016 - 2017,0.72
,,2017 - 2018,0.73
,,2018 - 2019,0.73
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2022 - 2023,0.74
,South garo hills,2000 - 2001,0.69
,,2001 - 2002,0.7
,,2002 - 2003,0.93
,,2003 - 2004,0.7
,,2004 - 2005,0.72
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.52
,,2008 - 2009,0.52
,,2009 - 2010,0.59
,,2010 - 2011,0.57
,,2011 - 2012,0.57
,,2012 - 2013,0.82
,,2013 - 2014,0.83
,,2014 - 2015,0.85
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.87
,,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2022 - 2023,0.88
,South west garo hills,2013 - 2014,0.96
,,2014 - 2015,0.97
,,2015 - 2016,0.98
,,2016 - 2017,0.98
,,2017 - 2018,0.98
,,2018 - 2019,0.98
,,2019 - 2020,0.98
,,2020 - 2021,0.98
,,2022 - 2023,0.99
,South west khasi hills,2013 - 2014,1.2
,,2014 - 2015,1.0
,,2015 - 2016,1.4
,,2016 - 2017,1.4
,,2017 - 2018,1.4
,,2018 - 2019,1.4
,,2019 - 2020,1.4
,,2020 - 2021,1.4
,,2022 - 2023,1.5
,West garo hills,2000 - 2001,0.67
,,2001 - 2002,0.67
,,2002 - 2003,0.67
,,2003 - 2004,0.67
,,2004 - 2005,0.69
,,2005 - 2006,0.69
,,2006 - 2007,0.69
,,2007 - 2008,0.69
,,2008 - 2009,0.69
,,2009 - 2010,0.69
,,2010 - 2011,0.69
,,2011 - 2012,0.69
,,2012 - 2013,0.95
,,2013 - 2014,0.97
,,2014 - 2015,0.97
,,2015 - 2016,0.98
,,2016 - 2017,0.98
,,2017 - 2018,0.98
,,2018 - 2019,0.98
,,2019 - 2020,0.98
,,2020 - 2021,0.98
,,2022 - 2023,0.99
,West jaintia hills,2013 - 2014,0.87
,,2014 - 2015,0.89
,,2015 - 2016,0.89
,,2016 - 2017,0.89
,,2017 - 2018,0.89
,,2018 - 2019,0.9
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2022 - 2023,0.9
,West khasi hills,2000 - 2001,1.07
,,2001 - 2002,0.5
,,2002 - 2003,0.57
,,2003 - 2004,0.55
,,2004 - 2005,0.67
,,2005 - 2006,0.68
,,2006 - 2007,0.87
,,2007 - 2008,0.68
,,2008 - 2009,0.71
,,2009 - 2010,0.67
,,2010 - 2011,0.68
,,2011 - 2012,0.69
,,2012 - 2013,0.94
,,2013 - 2014,0.91
,,2014 - 2015,0.94
,,2015 - 2016,0.97
,,2016 - 2017,0.97
,,2017 - 2018,0.97
,,2018 - 2019,0.97
,,2019 - 2020,0.97
,,2020 - 2021,0.97
,,2022 - 2023,0.97
Mizoram,Aizawl,2000 - 2001,0.71
,,2001 - 2002,1.03
,,2002 - 2003,0.93
,,2004 - 2005,0.34
,,2005 - 2006,0.65
,,2010 - 2011,0.6
,,2011 - 2012,0.8
,,2012 - 2013,1.0
,,2015 - 2016,0.51
,Champhai,2000 - 2001,0.62
,,2001 - 2002,0.91
,,2002 - 2003,0.44
,,2013 - 2014,3.8
,,2014 - 2015,2.5
,,2015 - 2016,1.01
,,2017 - 2018,6.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,0.2
,,2022 - 2023,0.6
,Hnahthial,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khawzawl,2020 - 2021,1.0
,,2021 - 2022,0.67
,,2022 - 2023,1.4
,Kolasib,2000 - 2001,0.85
,,2001 - 2002,0.85
,,2002 - 2003,0.7
,,2004 - 2005,0.49
,,2005 - 2006,0.66
,,2010 - 2011,0.74
,,2011 - 2012,0.76
,,2012 - 2013,0.72
,,2013 - 2014,0.85
,,2014 - 2015,0.86
,,2015 - 2016,0.87
,,2016 - 2017,0.87
,,2017 - 2018,0.87
,,2018 - 2019,0.9
,,2019 - 2020,0.79
,,2020 - 2021,0.79
,,2021 - 2022,0.79
,,2022 - 2023,0.48
,Lawngtlai,2004 - 2005,0.39
,,2005 - 2006,0.92
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,0.6
,,2016 - 2017,0.65
,,2017 - 2018,0.63
,,2018 - 2019,0.67
,,2019 - 2020,0.5
,,2020 - 2021,0.54
,,2021 - 2022,0.37
,,2022 - 2023,0.74
,Lunglei,2000 - 2001,1.21
,,2001 - 2002,0.6
,,2002 - 2003,0.56
,,2004 - 2005,0.62
,,2005 - 2006,0.7
,,2010 - 2011,0.95
,,2011 - 2012,3.15
,,2012 - 2013,0.63
,,2013 - 2014,1.71
,,2014 - 2015,0.86
,,2015 - 2016,0.9
,,2016 - 2017,0.83
,,2017 - 2018,0.25
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mamit,2004 - 2005,1.79
,,2005 - 2006,0.58
,,2011 - 2012,
,,2012 - 2013,0.33
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.75
,,2016 - 2017,0.67
,,2017 - 2018,0.43
,,2018 - 2019,0.5
,,2019 - 2020,0.63
,,2020 - 2021,0.53
,,2021 - 2022,0.25
,,2022 - 2023,0.2
,Saiha,2004 - 2005,0.57
,,2005 - 2006,0.7
,,2015 - 2016,0.79
,Saitual,2021 - 2022,1.0
,,2022 - 2023,1.0
,Serchhip,2005 - 2006,
,,2010 - 2011,1.52
,,2013 - 2014,1.49
,,2014 - 2015,1.5
,,2015 - 2016,1.5
,,2016 - 2017,1.53
,,2017 - 2018,1.2
,,2018 - 2019,0.7
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.73
Nagaland,Chumoukedima,2022 - 2023,1.06
,Dimapur,2000 - 2001,0.65
,,2001 - 2002,1.01
,,2002 - 2003,1.1
,,2003 - 2004,0.86
,,2004 - 2005,0.81
,,2005 - 2006,0.97
,,2006 - 2007,0.79
,,2007 - 2008,0.74
,,2008 - 2009,1.01
,,2009 - 2010,0.93
,,2010 - 2011,1.0
,,2011 - 2012,1.01
,,2012 - 2013,1.01
,,2013 - 2014,1.02
,,2014 - 2015,1.02
,,2015 - 2016,1.01
,,2016 - 2017,1.01
,,2017 - 2018,1.01
,,2018 - 2019,1.01
,,2019 - 2020,1.01
,,2020 - 2021,1.02
,,2021 - 2022,1.2
,,2022 - 2023,1.06
,Kiphire,2008 - 2009,1.0
,,2009 - 2010,0.74
,,2010 - 2011,1.01
,,2011 - 2012,1.01
,,2012 - 2013,1.01
,,2013 - 2014,1.01
,,2014 - 2015,1.01
,,2015 - 2016,1.01
,,2016 - 2017,1.01
,,2017 - 2018,1.01
,,2018 - 2019,1.01
,,2019 - 2020,1.01
,,2020 - 2021,1.02
,,2021 - 2022,0.67
,,2022 - 2023,1.06
,Kohima,2000 - 2001,0.8
,,2001 - 2002,0.96
,,2002 - 2003,1.17
,,2003 - 2004,0.85
,,2004 - 2005,0.76
,,2005 - 2006,0.7
,,2006 - 2007,0.73
,,2007 - 2008,0.77
,,2008 - 2009,0.98
,,2009 - 2010,0.75
,,2010 - 2011,1.01
,,2011 - 2012,1.01
,,2012 - 2013,1.01
,,2013 - 2014,1.01
,,2014 - 2015,1.01
,,2015 - 2016,1.01
,,2016 - 2017,1.01
,,2017 - 2018,1.01
,,2018 - 2019,1.01
,,2019 - 2020,1.01
,,2020 - 2021,1.02
,,2021 - 2022,0.82
,,2022 - 2023,1.06
,Longleng,2008 - 2009,0.93
,,2009 - 2010,0.72
,,2010 - 2011,0.99
,,2011 - 2012,1.0
,,2012 - 2013,1.01
,,2013 - 2014,1.02
,,2014 - 2015,1.01
,,2015 - 2016,1.01
,,2016 - 2017,1.02
,,2017 - 2018,1.02
,,2018 - 2019,1.01
,,2019 - 2020,1.01
,,2020 - 2021,1.02
,,2021 - 2022,1.25
,,2022 - 2023,1.06
,Mokokchung,2000 - 2001,0.95
,,2001 - 2002,1.01
,,2002 - 2003,1.1
,,2003 - 2004,0.57
,,2004 - 2005,0.73
,,2005 - 2006,0.62
,,2006 - 2007,0.69
,,2007 - 2008,0.7
,,2008 - 2009,1.0
,,2009 - 2010,0.85
,,2010 - 2011,1.0
,,2011 - 2012,1.01
,,2012 - 2013,1.01
,,2013 - 2014,1.01
,,2014 - 2015,1.01
