state,district,year,sesamum_kharif_yield_tonne_per_hectare
,,2021 - 2022,0.94
,,2022 - 2023,0.88
,Kamle,2018 - 2019,1.0
,,2019 - 2020,0.97
,,2020 - 2021,0.97
,,2021 - 2022,0.88
,,2022 - 2023,0.91
,Kra daadi,2016 - 2017,0.99
,,2017 - 2018,1.33
,,2018 - 2019,1.33
,,2019 - 2020,1.29
,,2020 - 2021,1.29
,,2021 - 2022,1.15
,,2022 - 2023,0.91
,Kurung kumey,2016 - 2017,0.98
,,2017 - 2018,0.24
,,2018 - 2019,0.24
,,2019 - 2020,0.27
,,2020 - 2021,0.33
,,2021 - 2022,0.59
,,2022 - 2023,0.69
,Leparada,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.79
,,2022 - 2023,0.79
,Lohit,2016 - 2017,0.31
,,2017 - 2018,0.32
,,2018 - 2019,0.32
,,2019 - 2020,0.32
,,2020 - 2021,0.35
,,2021 - 2022,0.67
,,2022 - 2023,0.7
,Lower dibang valley,2016 - 2017,0.97
,,2017 - 2018,1.1
,,2018 - 2019,1.1
,,2019 - 2020,1.1
,,2020 - 2021,1.09
,,2021 - 2022,1.12
,,2022 - 2023,1.1
,Lower siang,2018 - 2019,1.68
,,2019 - 2020,1.68
,,2020 - 2021,1.68
,,2021 - 2022,1.31
,,2022 - 2023,1.21
,Lower subansiri,2016 - 2017,2.02
,,2017 - 2018,0.29
,,2018 - 2019,0.38
,,2019 - 2020,0.41
,,2020 - 2021,0.41
,,2021 - 2022,0.51
,,2022 - 2023,0.6
,Namsai,2016 - 2017,1.04
,,2017 - 2018,1.06
,,2018 - 2019,1.06
,,2019 - 2020,1.06
,,2020 - 2021,1.07
,,2021 - 2022,1.09
,,2022 - 2023,1.04
,Pakke kessang,2019 - 2020,0.81
,,2020 - 2021,0.81
,,2021 - 2022,0.84
,,2022 - 2023,0.88
,Papum pare,2016 - 2017,0.87
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.65
,,2020 - 2021,0.65
,,2021 - 2022,0.69
,,2022 - 2023,0.75
,Shi yomi,2019 - 2020,0.36
,,2020 - 2021,0.36
,,2021 - 2022,0.4
,,2022 - 2023,0.73
,Siang,2016 - 2017,0.22
,,2017 - 2018,2.54
,,2018 - 2019,2.54
,,2019 - 2020,2.54
,,2020 - 2021,2.54
,,2021 - 2022,1.18
,,2022 - 2023,1.06
,Upper siang,2016 - 2017,1.4
,,2017 - 2018,0.26
,,2018 - 2019,0.26
,,2019 - 2020,0.26
,,2020 - 2021,0.29
,,2021 - 2022,0.36
,,2022 - 2023,0.42
,Upper subansiri,2016 - 2017,1.4
,,2017 - 2018,1.47
,,2018 - 2019,1.47
,,2019 - 2020,1.45
,,2020 - 2021,1.45
,,2021 - 2022,1.37
,,2022 - 2023,1.34
,West siang,2016 - 2017,0.35
,,2017 - 2018,0.38
,,2018 - 2019,0.38
,,2019 - 2020,0.4
,,2020 - 2021,0.45
,,2021 - 2022,0.5
,,2022 - 2023,0.58
Assam,Baksa,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.63
,,2012 - 2013,0.67
,,2013 - 2014,0.62
,,2014 - 2015,0.72
,,2015 - 2016,0.65
,,2016 - 2017,0.73
,,2017 - 2018,0.74
,,2018 - 2019,0.73
,,2019 - 2020,0.65
,,2020 - 2021,0.66
,,2021 - 2022,0.66
,,2022 - 2023,0.66
,Barpeta,2000 - 2001,0.6
,,2001 - 2002,0.6
,,2002 - 2003,0.6
,,2003 - 2004,0.6
,,2004 - 2005,0.6
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.6
,,2011 - 2012,0.73
,,2012 - 2013,0.78
,,2013 - 2014,0.72
,,2014 - 2015,0.84
,,2015 - 2016,0.74
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.73
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,0.75
,,2022 - 2023,0.74
,Biswanath,2020 - 2021,0.85
,,2021 - 2022,0.87
,,2022 - 2023,0.87
,Bongaigaon,2000 - 2001,0.52
,,2001 - 2002,0.53
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.45
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.47
,,2009 - 2010,0.47
,,2010 - 2011,0.46
,,2011 - 2012,0.6
,,2012 - 2013,0.55
,,2013 - 2014,0.63
,,2014 - 2015,0.59
,,2015 - 2016,0.55
,,2016 - 2017,0.6
,,2017 - 2018,0.47
,,2018 - 2019,0.64
,,2019 - 2020,0.64
,,2020 - 2021,0.51
,,2021 - 2022,0.51
,,2022 - 2023,0.47
,Cachar,2000 - 2001,0.35
,,2001 - 2002,0.35
,,2002 - 2003,0.35
,,2003 - 2004,0.35
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.46
,,2007 - 2008,0.48
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.51
,,2011 - 2012,0.55
,,2012 - 2013,0.6
,,2013 - 2014,0.66
,,2014 - 2015,0.64
,,2015 - 2016,0.52
,,2016 - 2017,0.51
,,2017 - 2018,0.51
,,2018 - 2019,0.55
,,2019 - 2020,0.53
,,2020 - 2021,0.52
,,2021 - 2022,0.53
,,2022 - 2023,0.59
,Charaideo,2020 - 2021,0.38
,,2021 - 2022,0.43
,,2022 - 2023,0.39
,Chirang,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.5
,,2008 - 2009,0.4
,,2009 - 2010,0.45
,,2010 - 2011,0.45
,,2011 - 2012,0.55
,,2012 - 2013,0.64
,,2013 - 2014,0.57
,,2014 - 2015,0.69
,,2015 - 2016,0.56
,,2016 - 2017,0.71
,,2017 - 2018,0.58
,,2018 - 2019,0.6
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.56
,,2022 - 2023,0.5
,Darrang,2000 - 2001,0.62
,,2001 - 2002,0.62
,,2002 - 2003,0.62
,,2003 - 2004,0.62
,,2004 - 2005,0.62
,,2005 - 2006,0.62
,,2006 - 2007,0.62
,,2007 - 2008,0.62
,,2008 - 2009,0.62
,,2009 - 2010,0.62
,,2010 - 2011,0.62
,,2011 - 2012,0.75
,,2012 - 2013,0.8
,,2013 - 2014,0.95
,,2014 - 2015,0.86
,,2015 - 2016,0.72
,,2016 - 2017,0.65
,,2017 - 2018,0.64
,,2018 - 2019,0.64
,,2019 - 2020,0.64
,,2020 - 2021,0.68
,,2021 - 2022,0.66
,,2022 - 2023,0.59
,Dhemaji,2000 - 2001,0.51
,,2001 - 2002,0.5
,,2002 - 2003,0.54
,,2003 - 2004,0.51
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.5
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.59
,,2012 - 2013,0.61
,,2013 - 2014,0.63
,,2014 - 2015,0.77
,,2015 - 2016,0.63
,,2016 - 2017,0.62
,,2017 - 2018,0.63
,,2018 - 2019,0.26
,,2019 - 2020,0.25
,,2020 - 2021,0.61
,,2021 - 2022,0.85
,,2022 - 2023,0.84
,Dhubri,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.61
,,2012 - 2013,0.71
,,2013 - 2014,0.73
,,2014 - 2015,0.77
,,2015 - 2016,0.75
,,2016 - 2017,0.74
,,2017 - 2018,0.74
,,2018 - 2019,0.74
,,2019 - 2020,0.74
,,2020 - 2021,0.74
,,2021 - 2022,0.74
,,2022 - 2023,0.74
,Dibrugarh,2000 - 2001,0.53
,,2001 - 2002,0.54
,,2002 - 2003,0.53
,,2003 - 2004,0.53
,,2004 - 2005,0.54
,,2005 - 2006,0.34
,,2006 - 2007,0.48
,,2007 - 2008,0.46
,,2008 - 2009,0.41
,,2009 - 2010,0.43
,,2010 - 2011,0.43
,,2011 - 2012,0.5
,,2012 - 2013,0.55
,,2013 - 2014,0.58
,,2014 - 2015,0.59
,,2015 - 2016,0.54
,,2016 - 2017,0.54
,,2017 - 2018,0.54
,,2018 - 2019,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.74
,,2021 - 2022,0.36
,,2022 - 2023,0.38
,Dima hasao,2000 - 2001,0.56
,,2001 - 2002,0.58
,,2002 - 2003,0.56
,,2003 - 2004,0.57
,,2004 - 2005,0.73
,,2005 - 2006,0.62
,,2006 - 2007,0.64
,,2007 - 2008,0.63
,,2008 - 2009,0.57
,,2009 - 2010,0.61
,,2010 - 2011,0.55
,,2011 - 2012,0.77
,,2012 - 2013,0.78
,,2013 - 2014,0.71
,,2014 - 2015,0.83
,,2015 - 2016,0.64
,,2016 - 2017,0.69
,,2017 - 2018,0.61
,,2018 - 2019,0.63
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.63
,,2022 - 2023,0.63
,Goalpara,2000 - 2001,0.38
,,2001 - 2002,0.38
,,2002 - 2003,0.37
,,2003 - 2004,0.37
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.45
,,2007 - 2008,0.37
,,2008 - 2009,0.37
,,2009 - 2010,0.38
,,2010 - 2011,0.38
,,2011 - 2012,0.49
,,2012 - 2013,0.51
,,2013 - 2014,1.3
,,2014 - 2015,0.54
,,2015 - 2016,0.58
,,2016 - 2017,0.6
,,2017 - 2018,0.8
,,2018 - 2019,0.8
,,2019 - 2020,0.8
,,2020 - 2021,0.8
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Golaghat,2000 - 2001,0.43
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.64
,,2008 - 2009,0.47
,,2009 - 2010,0.49
,,2010 - 2011,0.53
,,2011 - 2012,0.52
,,2012 - 2013,0.6
,,2013 - 2014,0.63
,,2014 - 2015,0.55
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.59
,,2018 - 2019,0.59
,,2019 - 2020,0.59
,,2020 - 2021,0.59
,,2021 - 2022,0.58
,,2022 - 2023,0.59
,Hailakandi,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.4
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.31
,,2007 - 2008,0.37
,,2008 - 2009,0.36
,,2009 - 2010,0.34
,,2010 - 2011,0.37
,,2011 - 2012,0.4
,,2012 - 2013,0.44
,,2013 - 2014,0.44
,,2014 - 2015,0.48
,,2015 - 2016,0.38
,,2016 - 2017,0.54
,,2017 - 2018,0.42
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.59
,,2021 - 2022,0.64
,,2022 - 2023,0.22
,Hojai,2020 - 2021,0.47
,,2021 - 2022,0.47
,,2022 - 2023,0.48
,Jorhat,2000 - 2001,0.47
,,2001 - 2002,0.47
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.45
,,2005 - 2006,0.47
,,2006 - 2007,0.47
,,2007 - 2008,0.45
,,2008 - 2009,0.43
,,2009 - 2010,0.45
,,2010 - 2011,0.54
,,2011 - 2012,0.57
,,2012 - 2013,0.61
,,2013 - 2014,0.67
,,2014 - 2015,0.65
,,2015 - 2016,0.65
,,2016 - 2017,0.65
,,2017 - 2018,0.66
,,2018 - 2019,0.68
,,2019 - 2020,0.67
,,2020 - 2021,0.57
,,2021 - 2022,0.6
,,2022 - 2023,0.57
,Kamrup,2000 - 2001,0.42
,,2001 - 2002,0.42
,,2002 - 2003,0.42
,,2003 - 2004,0.41
,,2004 - 2005,0.42
,,2005 - 2006,0.41
,,2006 - 2007,0.42
,,2007 - 2008,0.41
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.52
,,2012 - 2013,0.61
,,2013 - 2014,0.64
,,2014 - 2015,0.64
,,2015 - 2016,0.59
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.6
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.64
,,2022 - 2023,0.74
,Kamrup metro,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.42
,,2008 - 2009,0.4
,,2009 - 2010,0.41
,,2010 - 2011,0.41
,,2011 - 2012,0.5
,,2012 - 2013,0.53
,,2013 - 2014,0.54
,,2014 - 2015,0.57
,,2015 - 2016,0.54
,,2016 - 2017,0.61
,,2017 - 2018,0.6
,,2018 - 2019,0.59
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.64
,,2022 - 2023,0.82
,Karbi anglong,2000 - 2001,0.72
,,2001 - 2002,0.74
,,2002 - 2003,0.72
,,2003 - 2004,0.73
,,2004 - 2005,0.74
,,2005 - 2006,0.73
,,2006 - 2007,0.74
,,2007 - 2008,0.74
,,2008 - 2009,0.71
,,2009 - 2010,0.73
,,2010 - 2011,0.71
,,2011 - 2012,0.8
,,2012 - 2013,0.78
,,2013 - 2014,0.76
,,2014 - 2015,0.83
,,2015 - 2016,0.75
,,2016 - 2017,0.79
,,2017 - 2018,0.79
,,2018 - 2019,0.78
,,2019 - 2020,0.79
,,2020 - 2021,0.78
,,2021 - 2022,0.75
,,2022 - 2023,0.78
,Karimganj,2000 - 2001,0.41
,,2001 - 2002,0.43
,,2002 - 2003,0.46
,,2003 - 2004,0.46
,,2004 - 2005,0.44
,,2005 - 2006,0.44
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.42
,,2011 - 2012,0.54
,,2012 - 2013,0.57
,,2013 - 2014,0.67
,,2014 - 2015,0.63
,,2015 - 2016,0.44
,,2016 - 2017,0.6
,,2017 - 2018,0.81
,,2018 - 2019,0.6
,,2019 - 2020,0.5
,,2020 - 2021,0.58
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Kokrajhar,2000 - 2001,0.59
,,2001 - 2002,0.59
,,2002 - 2003,0.59
,,2003 - 2004,0.59
,,2004 - 2005,0.59
,,2005 - 2006,0.59
,,2006 - 2007,0.59
,,2007 - 2008,0.59
,,2008 - 2009,0.59
,,2009 - 2010,0.61
,,2010 - 2011,0.61
,,2011 - 2012,0.71
,,2012 - 2013,0.7
,,2013 - 2014,0.79
,,2014 - 2015,0.77
,,2015 - 2016,0.76
,,2016 - 2017,0.74
,,2017 - 2018,0.74
,,2018 - 2019,0.76
,,2019 - 2020,0.76
,,2020 - 2021,0.75
,,2021 - 2022,0.78
,,2022 - 2023,1.18
,Lakhimpur,2000 - 2001,0.37
,,2001 - 2002,0.36
,,2002 - 2003,0.36
,,2003 - 2004,0.36
,,2004 - 2005,0.36
,,2005 - 2006,0.36
,,2006 - 2007,0.36
,,2007 - 2008,0.36
,,2008 - 2009,0.35
,,2009 - 2010,0.36
,,2010 - 2011,0.36
,,2011 - 2012,0.44
,,2012 - 2013,0.42
,,2013 - 2014,0.47
,,2014 - 2015,0.7
,,2015 - 2016,0.65
,,2016 - 2017,0.63
,,2017 - 2018,0.72
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.53
,Majuli,2020 - 2021,0.69
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Marigaon,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.51
,,2005 - 2006,0.51
,,2006 - 2007,0.51
,,2007 - 2008,0.51
,,2008 - 2009,0.51
,,2009 - 2010,0.51
,,2010 - 2011,0.51
,,2011 - 2012,0.6
,,2012 - 2013,0.65
,,2013 - 2014,0.68
,,2014 - 2015,0.7
,,2015 - 2016,0.58
,,2016 - 2017,0.58
,,2017 - 2018,0.59
,,2018 - 2019,0.85
,,2019 - 2020,1.07
,,2020 - 2021,1.07
,,2021 - 2022,0.8
,,2022 - 2023,0.8
,Nagaon,2000 - 2001,0.44
,,2001 - 2002,0.43
,,2002 - 2003,0.44
,,2003 - 2004,0.44
,,2004 - 2005,0.43
,,2005 - 2006,0.44
,,2006 - 2007,0.44
,,2007 - 2008,0.44
,,2008 - 2009,0.48
,,2009 - 2010,0.44
,,2010 - 2011,0.46
,,2011 - 2012,0.54
,,2012 - 2013,0.63
,,2013 - 2014,0.63
,,2014 - 2015,0.67
,,2015 - 2016,0.6
,,2016 - 2017,0.66
,,2017 - 2018,0.45
,,2018 - 2019,0.45
,,2019 - 2020,0.45
,,2020 - 2021,0.47
,,2021 - 2022,0.47
,,2022 - 2023,0.48
,Nalbari,2000 - 2001,0.52
,,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.52
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.52
,,2009 - 2010,0.52
,,2010 - 2011,0.52
,,2011 - 2012,0.64
,,2012 - 2013,0.68
,,2013 - 2014,0.69
,,2014 - 2015,0.73
,,2015 - 2016,0.69
,,2016 - 2017,0.65
,,2017 - 2018,0.65
,,2018 - 2019,0.65
,,2019 - 2020,0.65
,,2020 - 2021,0.61
,,2021 - 2022,0.56
,,2022 - 2023,0.67
,Sivasagar,2000 - 2001,0.33
,,2001 - 2002,0.32
,,2002 - 2003,0.34
,,2003 - 2004,0.3
,,2004 - 2005,0.31
,,2005 - 2006,0.29
