state,district,year,castor_seed_kharif_yield_tonne_per_hectare
,,2016 - 2017,0.5
,,2017 - 2018,0.93
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,0.63
,Haveri,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.92
,,2003 - 2004,0.91
,,2004 - 2005,0.86
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.62
,,2010 - 2011,0.82
,,2011 - 2012,0.81
,,2012 - 2013,0.6
,,2013 - 2014,0.89
,,2014 - 2015,0.62
,,2015 - 2016,0.5
,,2016 - 2017,0.44
,,2017 - 2018,0.5
,,2018 - 2019,0.6
,,2019 - 2020,1.0
,,2020 - 2021,0.91
,,2021 - 2022,0.88
,,2022 - 2023,0.5
,Kodagu,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,Kolar,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.92
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.94
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.63
,,2013 - 2014,0.89
,,2014 - 2015,0.61
,,2015 - 2016,0.53
,,2016 - 2017,0.5
,,2017 - 2018,0.65
,,2018 - 2019,0.57
,,2019 - 2020,1.0
,,2020 - 2021,0.88
,,2021 - 2022,0.93
,,2022 - 2023,0.6
,Koppal,2000 - 2001,1.56
,,2001 - 2002,0.38
,,2002 - 2003,0.47
,,2003 - 2004,0.72
,,2004 - 2005,0.42
,,2005 - 2006,1.45
,,2006 - 2007,1.53
,,2007 - 2008,0.57
,,2008 - 2009,0.85
,,2009 - 2010,0.41
,,2010 - 2011,1.47
,,2011 - 2012,1.41
,,2012 - 2013,1.38
,,2013 - 2014,1.73
,,2014 - 2015,0.63
,,2015 - 2016,0.27
,,2016 - 2017,0.5
,,2017 - 2018,0.56
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.89
,,2021 - 2022,0.92
,,2022 - 2023,0.63
,Mandya,2000 - 2001,1.28
,,2001 - 2002,0.47
,,2002 - 2003,0.43
,,2003 - 2004,0.9
,,2004 - 2005,0.87
,,2005 - 2006,1.04
,,2006 - 2007,0.8
,,2007 - 2008,0.67
,,2008 - 2009,0.95
,,2009 - 2010,0.65
,,2010 - 2011,0.84
,,2011 - 2012,0.84
,,2012 - 2013,0.62
,,2013 - 2014,0.89
,,2014 - 2015,0.61
,,2015 - 2016,0.53
,,2016 - 2017,0.5
,,2017 - 2018,0.64
,,2018 - 2019,0.58
,,2019 - 2020,0.91
,,2020 - 2021,0.9
,,2021 - 2022,0.94
,,2022 - 2023,0.57
,Mysore,2000 - 2001,1.61
,,2001 - 2002,0.47
,,2002 - 2003,0.43
,,2003 - 2004,0.38
,,2004 - 2005,0.66
,,2005 - 2006,0.55
,,2006 - 2007,0.67
,,2007 - 2008,0.52
,,2008 - 2009,0.35
,,2009 - 2010,0.33
,,2010 - 2011,0.78
,,2011 - 2012,0.55
,,2012 - 2013,0.5
,,2013 - 2014,0.37
,,2014 - 2015,0.6
,,2015 - 2016,0.55
,,2016 - 2017,0.22
,,2017 - 2018,0.7
,,2018 - 2019,0.57
,,2019 - 2020,0.95
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,0.63
,Raichur,2000 - 2001,1.28
,,2001 - 2002,0.38
,,2002 - 2003,0.33
,,2003 - 2004,0.38
,,2004 - 2005,0.87
,,2005 - 2006,0.25
,,2006 - 2007,0.13
,,2007 - 2008,0.2
,,2008 - 2009,0.35
,,2009 - 2010,0.26
,,2010 - 2011,0.39
,,2011 - 2012,0.22
,,2012 - 2013,0.26
,,2013 - 2014,0.28
,,2014 - 2015,0.21
,,2015 - 2016,0.23
,,2016 - 2017,0.35
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,0.63
,Ramanagara,2007 - 2008,2.17
,,2008 - 2009,2.02
,,2009 - 2010,1.09
,,2010 - 2011,1.28
,,2011 - 2012,2.36
,,2012 - 2013,1.62
,,2013 - 2014,2.36
,,2014 - 2015,0.89
,,2015 - 2016,0.78
,,2016 - 2017,0.71
,,2017 - 2018,0.79
,,2018 - 2019,0.62
,,2019 - 2020,1.03
,,2020 - 2021,0.95
,,2021 - 2022,0.72
,,2022 - 2023,0.64
,Shimoga,2000 - 2001,1.28
,,2001 - 2002,0.74
,,2002 - 2003,0.92
,,2003 - 2004,0.88
,,2004 - 2005,0.91
,,2005 - 2006,1.03
,,2006 - 2007,0.81
,,2007 - 2008,0.67
,,2008 - 2009,0.94
,,2009 - 2010,0.64
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.62
,,2013 - 2014,0.8
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2022 - 2023,1.0
,Tumkur,2000 - 2001,1.23
,,2001 - 2002,0.76
,,2002 - 2003,0.92
,,2003 - 2004,0.37
,,2004 - 2005,0.78
,,2005 - 2006,0.85
,,2006 - 2007,0.62
,,2007 - 2008,0.65
,,2008 - 2009,0.97
,,2009 - 2010,0.75
,,2010 - 2011,0.62
,,2011 - 2012,0.63
,,2012 - 2013,0.46
,,2013 - 2014,0.65
,,2014 - 2015,0.56
,,2015 - 2016,0.59
,,2016 - 2017,0.12
,,2017 - 2018,0.31
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.9
,,2021 - 2022,0.92
,,2022 - 2023,0.63
,Vijayanagar,2022 - 2023,0.64
,Yadgir,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.63
,,2013 - 2014,0.89
,,2014 - 2015,0.6
,,2015 - 2016,0.54
,,2016 - 2017,0.48
,,2017 - 2018,0.67
,,2018 - 2019,0.57
,,2019 - 2020,0.92
,,2020 - 2021,0.86
,,2021 - 2022,1.0
,,2022 - 2023,0.67
Madhya Pradesh,Agar malwa,2018 - 2019,0.0
,Alirajpur,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,0.29
,,2012 - 2013,0.39
,,2013 - 2014,0.69
,,2015 - 2016,0.5
,,2017 - 2018,0.55
,,2018 - 2019,0.33
,,2022 - 2023,
,Balaghat,2000 - 2001,0.3
,,2001 - 2002,0.31
,,2002 - 2003,0.29
,,2003 - 2004,0.25
,,2004 - 2005,0.3
,,2005 - 2006,0.38
,,2006 - 2007,0.3
,,2007 - 2008,0.37
,,2008 - 2009,0.33
,,2009 - 2010,
,,2010 - 2011,0.29
,,2011 - 2012,0.32
,,2012 - 2013,0.29
,,2013 - 2014,0.35
,,2017 - 2018,0.0
,,2018 - 2019,0.33
,Barwani,2000 - 2001,0.22
,,2001 - 2002,0.29
,,2002 - 2003,0.3
,,2003 - 2004,0.4
,,2004 - 2005,0.39
,,2005 - 2006,0.14
,,2006 - 2007,0.24
,,2007 - 2008,0.23
,,2008 - 2009,0.23
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.17
,,2012 - 2013,0.36
,,2013 - 2014,0.34
,,2017 - 2018,0.85
,,2018 - 2019,0.41
,,2022 - 2023,
,Betul,2000 - 2001,0.33
,,2007 - 2008,0.36
,,2018 - 2019,0.0
,Bhind,2003 - 2004,0.29
,Burhanpur,2003 - 2004,0.0
,,2005 - 2006,0.24
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.14
,,2009 - 2010,
,,2010 - 2011,0.2
,,2012 - 2013,0.23
,,2013 - 2014,0.5
,,2015 - 2016,0.5
,,2018 - 2019,0.2
,Chhatarpur,2001 - 2002,0.33
,,2002 - 2003,0.21
,,2003 - 2004,0.25
,,2004 - 2005,0.2
,,2006 - 2007,0.27
,,2022 - 2023,
,Chhindwara,2000 - 2001,0.32
,,2001 - 2002,0.27
,,2002 - 2003,0.25
,,2003 - 2004,0.28
,,2004 - 2005,0.38
,,2005 - 2006,0.36
,,2006 - 2007,0.39
,,2007 - 2008,0.44
,,2008 - 2009,0.31
,,2009 - 2010,
,,2010 - 2011,0.33
,,2011 - 2012,0.29
,,2012 - 2013,0.38
,,2013 - 2014,0.27
,,2018 - 2019,0.25
,,2022 - 2023,
,Datia,2002 - 2003,0.01
,,2003 - 2004,0.0
,,2008 - 2009,0.33
,,2010 - 2011,0.48
,,2011 - 2012,0.32
,Dewas,2000 - 2001,0.18
,,2001 - 2002,0.5
,,2002 - 2003,0.25
,,2006 - 2007,0.5
,Dhar,2000 - 2001,0.22
,,2001 - 2002,0.33
,,2002 - 2003,0.38
,,2003 - 2004,0.38
,,2004 - 2005,0.38
,,2005 - 2006,0.33
,,2006 - 2007,0.39
,,2007 - 2008,0.39
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,0.4
,,2011 - 2012,0.29
,,2012 - 2013,0.43
,,2013 - 2014,0.67
,,2018 - 2019,0.36
,,2022 - 2023,
,Guna,2002 - 2003,0.5
,,2006 - 2007,0.5
,Harda,2000 - 2001,0.31
,,2001 - 2002,0.33
,,2002 - 2003,0.25
,,2003 - 2004,0.33
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2018 - 2019,0.0
,Hoshangabad,2000 - 2001,0.33
,,2001 - 2002,0.33
,,2002 - 2003,0.35
,,2003 - 2004,0.0
,,2004 - 2005,0.33
,,2005 - 2006,0.0
,,2006 - 2007,0.5
,,2007 - 2008,0.38
,,2008 - 2009,0.36
,,2009 - 2010,
,,2010 - 2011,0.5
,,2011 - 2012,0.38
,,2013 - 2014,0.5
,Indore,2001 - 2002,0.01
,,2003 - 2004,0.0
,,2005 - 2006,0.28
,,2008 - 2009,0.29
,Jhabua,2000 - 2001,0.14
,,2001 - 2002,0.33
,,2002 - 2003,0.34
,,2003 - 2004,0.38
,,2004 - 2005,0.39
,,2005 - 2006,0.39
,,2006 - 2007,0.43
,,2007 - 2008,0.48
,,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,0.43
,,2011 - 2012,0.32
,,2012 - 2013,0.52
,,2013 - 2014,1.06
,,2022 - 2023,
,Katni,2009 - 2010,
,,2010 - 2011,0.4
,,2011 - 2012,0.2
,,2018 - 2019,0.0
,Khandwa,2000 - 2001,0.21
,,2001 - 2002,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.26
,,2004 - 2005,0.25
,,2005 - 2006,0.23
,,2006 - 2007,0.24
,,2007 - 2008,0.28
,,2008 - 2009,0.2
,,2009 - 2010,
,,2010 - 2011,0.3
,,2011 - 2012,0.22
,,2012 - 2013,0.23
,,2013 - 2014,0.57
,,2017 - 2018,0.27
,,2018 - 2019,0.31
,,2022 - 2023,
,Khargone,2000 - 2001,0.22
,,2001 - 2002,0.35
,,2002 - 2003,0.36
,,2003 - 2004,0.41
,,2004 - 2005,0.38
,,2005 - 2006,0.35
,,2006 - 2007,0.43
,,2007 - 2008,0.42
,,2008 - 2009,0.31
,,2009 - 2010,
,,2010 - 2011,0.44
,,2011 - 2012,0.34
,,2012 - 2013,0.43
,,2013 - 2014,0.3
,,2017 - 2018,0.87
,,2022 - 2023,
,Mandsaur,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2003 - 2004,0.0
,,2004 - 2005,0.5
,,2005 - 2006,0.0
,,2010 - 2011,0.0
,,2018 - 2019,0.0
,Morena,2000 - 2001,1.0
,,2001 - 2002,0.44
,,2002 - 2003,0.5
,,2004 - 2005,0.0
,,2005 - 2006,0.5
,,2006 - 2007,0.0
,Narsinghpur,2002 - 2003,0.5
,,2003 - 2004,0.4
,Neemuch,2000 - 2001,0.1
,,2018 - 2019,0.0
,Panna,2001 - 2002,0.5
,,2006 - 2007,0.0
,Rajgarh,2005 - 2006,0.31
,Ratlam,2000 - 2001,0.43
,,2002 - 2003,0.33
,,2003 - 2004,0.33
,,2004 - 2005,0.0
,,2005 - 2006,0.33
,,2006 - 2007,0.42
,,2007 - 2008,0.36
,,2008 - 2009,0.29
,,2010 - 2011,0.0
,,2011 - 2012,0.0
,,2012 - 2013,0.0
,,2018 - 2019,0.33
,Rewa,2000 - 2001,0.45
,,2001 - 2002,0.5
,,2002 - 2003,0.42
,,2003 - 2004,0.35
,,2004 - 2005,0.56
,,2005 - 2006,0.36
,,2006 - 2007,0.57
,,2008 - 2009,0.25
,Sagar,2004 - 2005,0.33
,,2005 - 2006,0.0
,,2006 - 2007,0.0
,,2007 - 2008,0.19
,,2009 - 2010,
,,2010 - 2011,0.32
,,2011 - 2012,0.23
,,2012 - 2013,0.28
,,2013 - 2014,0.18
,,2018 - 2019,0.0
,Satna,2004 - 2005,0.33
,,2005 - 2006,0.17
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2008 - 2009,0.17
,,2009 - 2010,
,,2011 - 2012,0.25
,,2013 - 2014,0.33
,Sehore,2000 - 2001,0.6
,,2004 - 2005,0.45
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,Seoni,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.5
,,2003 - 2004,0.25
,,2004 - 2005,0.5
,,2005 - 2006,0.4
,,2006 - 2007,0.0
,,2007 - 2008,0.45
,Shajapur,2000 - 2001,0.1
,Sheopur,2000 - 2001,0.68
,,2003 - 2004,0.36
,,2004 - 2005,1.0
,Shivpuri,2002 - 2003,0.46
,,2003 - 2004,0.33
,,2004 - 2005,0.42
,,2005 - 2006,0.31
,,2006 - 2007,0.38
,,2007 - 2008,0.4
,,2008 - 2009,0.25
,,2009 - 2010,
,,2018 - 2019,0.36
,Sidhi,2000 - 2001,0.5
,,2001 - 2002,0.6
,,2006 - 2007,0.5
,,2018 - 2019,1.0
,Tikamgarh,2018 - 2019,0.4
,Ujjain,2000 - 2001,0.5
,,2005 - 2006,0.0
Maharashtra,Ahilyanagar,2000 - 2001,0.4
,,2001 - 2002,0.5
,,2002 - 2003,0.1
,,2004 - 2005,0.4
,,2005 - 2006,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2011 - 2012,0.2
,,2012 - 2013,0.1
,,2013 - 2014,0.25
,,2014 - 2015,0.0
,,2015 - 2016,0.3
,,2016 - 2017,0.33
,,2017 - 2018,0.2
,Akola,2005 - 2006,1.0
,,2006 - 2007,0.33
,,2007 - 2008,0.43
,,2008 - 2009,0.25
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2013 - 2014,0.5
,Amravati,2000 - 2001,0.18
,,2001 - 2002,0.17
,,2002 - 2003,0.19
,,2004 - 2005,0.42
,,2005 - 2006,0.46
,,2006 - 2007,0.67
,,2007 - 2008,0.7
,,2008 - 2009,0.38
,,2009 - 2010,0.33
,,2010 - 2011,0.6
,,2011 - 2012,0.5
,,2012 - 2013,0.55
,,2013 - 2014,0.5
,,2014 - 2015,0.44
,,2016 - 2017,0.5
,,2017 - 2018,0.28
,Beed,2000 - 2001,0.21
,,2001 - 2002,0.3
,,2002 - 2003,0.25
,,2004 - 2005,0.18
,,2005 - 2006,0.67
,,2006 - 2007,0.17
,,2007 - 2008,0.38
,,2008 - 2009,0.13
,,2009 - 2010,0.25
,,2010 - 2011,0.44
,,2011 - 2012,0.3
,,2012 - 2013,0.25
,,2013 - 2014,0.6
,,2014 - 2015,0.21
,,2016 - 2017,0.4
,,2017 - 2018,0.1
,,2018 - 2019,0.16
,Bhandara,2000 - 2001,0.1
,,2001 - 2002,1.0
,,2002 - 2003,0.33
,,2005 - 2006,3.0
,Buldhana,2000 - 2001,0.2
,,2001 - 2002,0.2
,,2002 - 2003,0.2
,,2004 - 2005,0.25
,,2005 - 2006,0.5
,,2006 - 2007,0.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.5
,,2012 - 2013,0.6
,,2013 - 2014,0.5
,,2014 - 2015,0.33
,,2015 - 2016,0.57
,,2016 - 2017,1.0
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,Chandrapur,2002 - 2003,0.1
,,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.0
,,2010 - 2011,1.0
,,2011 - 2012,0.5
,,2012 - 2013,0.1
,,2015 - 2016,0.13
,,2017 - 2018,0.41
,Chhatrapati Sambhajinagar,2000 - 2001,0.26
,,2001 - 2002,0.25
,,2002 - 2003,0.17
,,2004 - 2005,0.67
,,2005 - 2006,0.8
,,2006 - 2007,0.25
,,2007 - 2008,0.33
,,2008 - 2009,0.67
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2012 - 2013,0.2
,,2013 - 2014,0.5
,,2015 - 2016,0.2
,,2016 - 2017,0.14
,,2017 - 2018,0.18
,,2018 - 2019,0.15
,Dharashiv,2001 - 2002,0.02
,,2004 - 2005,0.17
,,2005 - 2006,0.1
,,2006 - 2007,0.1
,,2007 - 2008,0.0
,,2008 - 2009,0.14
,,2010 - 2011,0.2
,,2011 - 2012,0.33
,,2012 - 2013,0.21
,,2013 - 2014,0.2
,,2014 - 2015,0.23
,,2015 - 2016,0.14
,,2016 - 2017,0.28
,,2017 - 2018,0.14
,,2018 - 2019,0.19
,Dhule,2000 - 2001,0.05
,,2001 - 2002,0.4
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.33
,,2010 - 2011,0.4
,,2012 - 2013,0.1
,,2013 - 2014,0.29
,,2014 - 2015,0.25
,,2015 - 2016,0.5
,,2016 - 2017,0.33
,,2018 - 2019,0.46
,Gadchiroli,2017 - 2018,0.23
,Gondia,2000 - 2001,0.5
,,2001 - 2002,1.0
,,2004 - 2005,0.4
,,2005 - 2006,0.5
,,2006 - 2007,1.0
,,2007 - 2008,0.0
,,2008 - 2009,0.5
,Hingoli,2000 - 2001,0.33
,,2001 - 2002,0.2
,,2002 - 2003,0.05
,,2004 - 2005,0.5
,,2005 - 2006,0.33
,,2006 - 2007,1.0
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.25
,,2011 - 2012,1.0
,,2012 - 2013,0.33
,,2013 - 2014,0.17
,,2014 - 2015,0.2
,,2015 - 2016,0.09
,,2016 - 2017,0.17
,,2017 - 2018,0.25
,,2018 - 2019,0.33
,Jalgaon,2000 - 2001,0.33
,,2001 - 2002,0.5
,,2002 - 2003,0.05
,,2004 - 2005,0.33
,,2005 - 2006,0.4
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,1.0
,,2009 - 2010,0.0
,,2010 - 2011,0.4
,,2012 - 2013,0.2
,,2013 - 2014,0.0
,,2015 - 2016,0.23
,,2018 - 2019,0.3
,Jalna,2000 - 2001,0.5
,,2001 - 2002,0.05
,,2002 - 2003,0.33
,,2004 - 2005,0.18
,,2005 - 2006,0.75
,,2006 - 2007,0.25
,,2007 - 2008,0.4
,,2008 - 2009,0.25
,,2009 - 2010,0.0
,,2010 - 2011,0.13
,,2012 - 2013,0.5
,,2013 - 2014,0.33
,,2014 - 2015,0.0
,,2015 - 2016,0.3
,,2016 - 2017,0.2
,,2017 - 2018,0.1
,,2018 - 2019,0.14
,Kolhapur,2005 - 2006,0.5
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2010 - 2011,0.5
,,2011 - 2012,0.3
,,2012 - 2013,0.17
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,Latur,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2004 - 2005,0.0
,,2005 - 2006,2.0
,,2007 - 2008,0.0
,,2008 - 2009,0.25
,,2009 - 2010,0.17
,,2012 - 2013,0.25
,,2013 - 2014,0.17
,,2014 - 2015,0.14
,,2015 - 2016,0.17
,,2016 - 2017,0.2
,,2017 - 2018,0.33
,,2018 - 2019,0.21
,Nagpur,2000 - 2001,1.0
,,2001 - 2002,0.67
,,2002 - 2003,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,0.5
,,2012 - 2013,0.1
,,2014 - 2015,0.0
,,2015 - 2016,0.2
,,2016 - 2017,1.0
,,2017 - 2018,0.31
,,2018 - 2019,0.26
,Nanded,2000 - 2001,0.17
,,2001 - 2002,0.25
,,2002 - 2003,0.23
,,2004 - 2005,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.18
,,2007 - 2008,0.35
,,2008 - 2009,0.2
,,2009 - 2010,0.13
,,2010 - 2011,0.33
,,2011 - 2012,0.2
,,2012 - 2013,0.29
,,2013 - 2014,0.2
,,2014 - 2015,0.33
,,2015 - 2016,0.1
,,2016 - 2017,0.4
,,2018 - 2019,0.21
,Nandurbar,2000 - 2001,0.25
,,2001 - 2002,0.4
,,2002 - 2003,0.05
,,2004 - 2005,0.44
,,2005 - 2006,0.33
,,2006 - 2007,0.25
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.25
,,2010 - 2011,0.36
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.67
,,2014 - 2015,0.17
,,2015 - 2016,0.18
,,2016 - 2017,0.3
,,2017 - 2018,0.5
,,2018 - 2019,0.25
,Nashik,2000 - 2001,0.22
,,2001 - 2002,0.33
,,2002 - 2003,0.23
,,2004 - 2005,0.21
,,2005 - 2006,0.21
,,2006 - 2007,0.18
,,2007 - 2008,0.25
,,2008 - 2009,0.25
,,2009 - 2010,0.3
,,2010 - 2011,0.35
,,2011 - 2012,0.45
,,2012 - 2013,0.28
,,2013 - 2014,0.33
,,2014 - 2015,0.22
,,2015 - 2016,0.22
,,2016 - 2017,0.33
,,2017 - 2018,0.33
,,2018 - 2019,0.44
,Parbhani,2000 - 2001,0.25
,,2001 - 2002,0.17
,,2002 - 2003,0.2
,,2004 - 2005,0.25
,,2005 - 2006,0.14
,,2006 - 2007,1.0
,,2007 - 2008,0.33
,,2008 - 2009,0.17
,,2009 - 2010,0.25
,,2010 - 2011,0.86
,,2011 - 2012,0.71
,,2012 - 2013,0.25
,,2013 - 2014,0.17
,,2014 - 2015,0.17
,,2015 - 2016,0.1
,,2016 - 2017,0.23
,,2017 - 2018,0.25
,,2018 - 2019,0.27
,Pune,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2004 - 2005,0.0
,,2005 - 2006,0.0
,,2006 - 2007,0.5
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2009 - 2010,0.0
,,2010 - 2011,0.2
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.2
,,2017 - 2018,0.1
,,2018 - 2019,0.33
,Ratnagiri,2015 - 2016,0.2
,,2016 - 2017,0.5
,,2018 - 2019,0.33
,Sangli,2004 - 2005,0.0
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.5
,,2015 - 2016,0.33
,,2017 - 2018,0.37
,,2018 - 2019,0.16
,Satara,2012 - 2013,0.22
,,2013 - 2014,0.33
,,2014 - 2015,0.0
,,2015 - 2016,0.33
,,2016 - 2017,0.3
,,2017 - 2018,0.21
,,2018 - 2019,0.2
,Sindhudurg,2015 - 2016,0.2
,,2016 - 2017,0.33
,Solapur,2000 - 2001,0.33
,,2002 - 2003,0.25
,,2004 - 2005,0.33
,,2006 - 2007,0.33
,,2007 - 2008,0.33
,,2008 - 2009,0.0
,,2010 - 2011,1.0
,,2011 - 2012,0.3
,,2013 - 2014,0.0
,,2014 - 2015,0.0
,,2015 - 2016,0.33
,,2016 - 2017,0.27
,,2017 - 2018,0.2
,,2018 - 2019,0.3
,Wardha,2000 - 2001,0.5
,,2001 - 2002,0.67
,,2002 - 2003,0.1
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,0.0
,,2007 - 2008,0.25
,,2008 - 2009,0.5
,,2009 - 2010,0.0
,Washim,2000 - 2001,0.1
,,2001 - 2002,0.1
,,2002 - 2003,0.1
,,2004 - 2005,0.0
,,2005 - 2006,1.0
,,2006 - 2007,0.0
,,2007 - 2008,0.5
,,2008 - 2009,0.0
,,2012 - 2013,0.3
,,2013 - 2014,0.6
,,2014 - 2015,0.0
,,2017 - 2018,0.15
,,2018 - 2019,0.3
,Yavatmal,2000 - 2001,0.2
,,2001 - 2002,0.25
,,2002 - 2003,0.1
,,2004 - 2005,0.14
,,2005 - 2006,0.38
,,2006 - 2007,0.0
,,2007 - 2008,1.0
,,2008 - 2009,0.0
,,2013 - 2014,1.0
,,2014 - 2015,0.44
Meghalaya,East garo hills,2000 - 2001,0.5
,,2001 - 2002,0.44
,,2002 - 2003,0.43
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.44
,,2010 - 2011,0.38
,,2011 - 2012,0.45
,,2012 - 2013,0.75
,,2013 - 2014,0.86
,,2014 - 2015,0.93
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,North garo hills,2013 - 2014,0.73
,,2014 - 2015,0.82
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,Ri bhoi,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,
,,2008 - 2009,1.0
,,2009 - 2010,0.5
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,1.33
,,2013 - 2014,1.5
,,2014 - 2015,1.6
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,South west garo hills,2013 - 2014,0.74
,,2014 - 2015,0.8
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
,West garo hills,2000 - 2001,0.53
,,2001 - 2002,0.56
,,2002 - 2003,0.56
,,2003 - 2004,0.59
,,2004 - 2005,0.58
,,2005 - 2006,0.58
,,2006 - 2007,
,,2007 - 2008,0.55
,,2008 - 2009,0.56
,,2009 - 2010,0.56
,,2010 - 2011,0.5
,,2011 - 2012,0.53
,,2012 - 2013,0.7
,,2013 - 2014,0.67
,,2014 - 2015,0.69
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2022 - 2023,
Nagaland,Dimapur,2000 - 2001,0.8
,,2009 - 2010,0.56
,,2010 - 2011,0.8
,,2011 - 2012,0.8
,,2012 - 2013,0.67
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.63
,,2016 - 2017,0.67
,,2017 - 2018,0.78
,,2018 - 2019,0.78
,,2019 - 2020,0.78
,,2020 - 2021,0.78
,Kiphire,2009 - 2010,0.5
,Kohima,2000 - 2001,0.78
,,2009 - 2010,0.4
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
