state,district,year,castor_seed_kharif_yield_tonne_per_hectare
,,2021 - 2022,0.33
,,2022 - 2023,0.44
,Golaghat,2000 - 2001,0.44
,,2001 - 2002,0.56
,,2002 - 2003,0.63
,,2003 - 2004,0.56
,,2004 - 2005,0.63
,,2005 - 2006,0.6
,,2006 - 2007,0.6
,,2007 - 2008,0.5
,,2008 - 2009,0.42
,,2009 - 2010,0.54
,,2010 - 2011,0.54
,,2011 - 2012,0.6
,,2012 - 2013,0.64
,,2013 - 2014,0.68
,,2014 - 2015,0.7
,,2015 - 2016,0.67
,,2016 - 2017,0.61
,,2017 - 2018,0.66
,,2018 - 2019,0.68
,,2019 - 2020,0.68
,,2020 - 2021,0.65
,,2021 - 2022,0.67
,,2022 - 2023,0.67
,Hailakandi,2000 - 2001,0.4
,,2001 - 2002,0.4
,,2002 - 2003,0.4
,,2003 - 2004,0.33
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.4
,,2007 - 2008,0.4
,,2008 - 2009,0.4
,,2009 - 2010,0.4
,,2010 - 2011,0.25
,,2017 - 2018,0.2
,,2018 - 2019,0.6
,,2019 - 2020,0.67
,,2020 - 2021,0.5
,,2021 - 2022,0.67
,,2022 - 2023,0.5
,Jorhat,2000 - 2001,0.38
,,2001 - 2002,0.4
,,2002 - 2003,0.43
,,2003 - 2004,0.4
,,2004 - 2005,0.39
,,2005 - 2006,0.38
,,2006 - 2007,0.45
,,2007 - 2008,0.45
,,2008 - 2009,0.35
,,2009 - 2010,0.4
,,2010 - 2011,0.39
,,2011 - 2012,0.43
,,2012 - 2013,0.47
,,2013 - 2014,0.5
,,2014 - 2015,0.53
,,2015 - 2016,0.53
,,2016 - 2017,0.56
,,2017 - 2018,0.52
,,2018 - 2019,0.52
,,2019 - 2020,0.55
,,2020 - 2021,0.59
,,2021 - 2022,0.56
,,2022 - 2023,0.53
,Kamrup,2000 - 2001,0.32
,,2001 - 2002,0.31
,,2002 - 2003,0.31
,,2003 - 2004,0.31
,,2004 - 2005,0.35
,,2005 - 2006,0.32
,,2006 - 2007,0.3
,,2007 - 2008,0.36
,,2008 - 2009,0.33
,,2009 - 2010,0.36
,,2010 - 2011,0.3
,,2011 - 2012,0.44
,,2012 - 2013,0.44
,,2013 - 2014,0.5
,,2014 - 2015,0.43
,,2015 - 2016,0.43
,,2016 - 2017,0.43
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.33
,,2022 - 2023,1.0
,Kamrup metro,2005 - 2006,0.25
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.33
,,2010 - 2011,0.33
,,2011 - 2012,0.33
,,2012 - 2013,0.33
,,2013 - 2014,0.33
,,2014 - 2015,0.33
,,2015 - 2016,0.33
,Karbi anglong,2000 - 2001,0.41
,,2001 - 2002,0.41
,,2002 - 2003,0.4
,,2003 - 2004,0.41
,,2004 - 2005,0.4
,,2005 - 2006,0.4
,,2006 - 2007,0.41
,,2007 - 2008,0.41
,,2008 - 2009,0.41
,,2009 - 2010,0.41
,,2010 - 2011,0.41
,,2011 - 2012,0.5
,,2012 - 2013,0.53
,,2013 - 2014,0.39
,,2014 - 2015,0.57
,,2015 - 2016,0.39
,,2016 - 2017,0.39
,,2017 - 2018,0.39
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,,2021 - 2022,0.4
,,2022 - 2023,0.4
,Karimganj,2012 - 2013,1.0
,,2013 - 2014,1.0
,,2014 - 2015,1.0
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Kokrajhar,2000 - 2001,0.44
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.44
,,2004 - 2005,0.45
,,2005 - 2006,0.43
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,0.43
,,2009 - 2010,0.41
,,2010 - 2011,0.46
,,2011 - 2012,0.54
,,2012 - 2013,0.58
,,2013 - 2014,0.59
,,2014 - 2015,0.65
,,2015 - 2016,0.57
,,2016 - 2017,0.59
,,2017 - 2018,0.58
,,2018 - 2019,0.59
,,2019 - 2020,0.59
,,2020 - 2021,0.58
,,2021 - 2022,0.74
,,2022 - 2023,0.78
,Lakhimpur,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.45
,,2004 - 2005,0.45
,,2005 - 2006,0.45
,,2006 - 2007,0.45
,,2007 - 2008,0.44
,,2008 - 2009,0.45
,,2009 - 2010,0.44
,,2010 - 2011,0.44
,,2011 - 2012,0.55
,,2012 - 2013,0.58
,,2013 - 2014,0.54
,,2014 - 2015,0.63
,,2015 - 2016,0.45
,,2016 - 2017,0.45
,,2017 - 2018,0.56
,,2018 - 2019,0.61
,,2019 - 2020,0.6
,,2020 - 2021,0.59
,,2021 - 2022,0.69
,,2022 - 2023,0.69
,Majuli,2020 - 2021,0.53
,,2021 - 2022,0.37
,,2022 - 2023,0.53
,Marigaon,2000 - 2001,0.2
,,2001 - 2002,0.2
,,2002 - 2003,0.2
,,2003 - 2004,0.17
,,2004 - 2005,0.2
,,2005 - 2006,0.2
,,2006 - 2007,0.15
,,2007 - 2008,0.2
,,2008 - 2009,0.13
,,2009 - 2010,0.13
,,2010 - 2011,0.17
,,2011 - 2012,0.25
,,2012 - 2013,0.25
,,2013 - 2014,0.3
,,2014 - 2015,0.33
,,2015 - 2016,0.6
,,2016 - 2017,0.5
,,2017 - 2018,0.4
,,2018 - 2019,0.4
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Nagaon,2000 - 2001,0.41
,,2001 - 2002,0.41
,,2002 - 2003,0.41
,,2003 - 2004,0.39
,,2004 - 2005,0.38
,,2005 - 2006,0.38
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,0.39
,,2009 - 2010,0.4
,,2010 - 2011,0.38
,,2011 - 2012,0.48
,,2012 - 2013,0.52
,,2013 - 2014,0.53
,,2014 - 2015,0.55
,,2015 - 2016,0.5
,,2016 - 2017,0.33
,,2017 - 2018,0.4
,,2018 - 2019,0.67
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Nalbari,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.51
,,2004 - 2005,0.51
,,2005 - 2006,0.5
,,2006 - 2007,0.5
