state,district,year,urad_rabi_yield_tonne_per_hectare
,,2020 - 2021,1.69
,,2021 - 2022,1.21
,,2022 - 2023,1.21
,Kra daadi,2016 - 2017,0.56
,,2017 - 2018,0.56
,,2018 - 2019,0.56
,,2019 - 2020,0.89
,,2020 - 2021,0.89
,,2021 - 2022,0.89
,,2022 - 2023,0.92
,Kurung kumey,2016 - 2017,0.57
,,2017 - 2018,0.57
,,2018 - 2019,0.57
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.63
,,2022 - 2023,0.75
,Leparada,2019 - 2020,1.23
,,2020 - 2021,1.23
,,2021 - 2022,1.23
,,2022 - 2023,1.23
,Lohit,2016 - 2017,0.82
,,2017 - 2018,0.95
,,2018 - 2019,0.95
,,2019 - 2020,0.97
,,2020 - 2021,0.97
,,2021 - 2022,0.99
,,2022 - 2023,0.99
,Longding,2016 - 2017,0.84
,,2017 - 2018,1.12
,,2018 - 2019,1.12
,,2019 - 2020,1.12
,,2020 - 2021,1.12
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Lower dibang valley,2016 - 2017,0.92
,,2017 - 2018,0.95
,,2018 - 2019,0.95
,,2019 - 2020,0.96
,,2020 - 2021,0.96
,,2021 - 2022,0.96
,,2022 - 2023,0.97
,Lower siang,2018 - 2019,1.34
,,2019 - 2020,1.32
,,2020 - 2021,1.32
,,2021 - 2022,1.29
,,2022 - 2023,1.29
,Lower subansiri,2016 - 2017,0.93
,,2017 - 2018,0.71
,,2018 - 2019,0.89
,,2019 - 2020,0.91
,,2020 - 2021,0.91
,,2021 - 2022,0.91
,,2022 - 2023,0.91
,Namsai,2016 - 2017,0.85
,,2017 - 2018,0.78
,,2018 - 2019,0.78
,,2019 - 2020,0.78
,,2020 - 2021,0.78
,,2021 - 2022,0.86
,,2022 - 2023,0.87
,Pakke kessang,2019 - 2020,0.87
,,2020 - 2021,0.87
,,2021 - 2022,0.87
,,2022 - 2023,0.92
,Papum pare,2016 - 2017,1.14
,,2017 - 2018,0.93
,,2018 - 2019,0.93
,,2019 - 2020,0.96
,,2020 - 2021,0.96
,,2021 - 2022,1.03
,,2022 - 2023,1.03
,Shi yomi,2019 - 2020,1.2
,,2020 - 2021,1.2
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Siang,2016 - 2017,0.96
,,2017 - 2018,1.16
,,2018 - 2019,1.16
,,2019 - 2020,1.16
,,2020 - 2021,1.16
,,2021 - 2022,1.18
,,2022 - 2023,1.18
,Tirap,2016 - 2017,0.95
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,1.2
,,2022 - 2023,1.2
,Upper siang,2016 - 2017,0.84
,,2017 - 2018,0.93
,,2018 - 2019,0.93
,,2019 - 2020,0.9
,,2020 - 2021,0.9
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Upper subansiri,2016 - 2017,0.96
,,2017 - 2018,1.22
,,2018 - 2019,1.41
,,2019 - 2020,1.43
,,2020 - 2021,1.43
,,2021 - 2022,1.43
,,2022 - 2023,1.43
,West siang,2016 - 2017,0.88
