state,district,year,rice_rabi_yield_tonne_per_hectare
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.8
,Giridih,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.56
,Godda,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.5
,Gumla,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.53
,Hazaribagh,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.78
,Jamtara,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.3
,Khunti,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.2
,Koderma,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.6
,Latehar,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.76
,Lohardaga,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.59
,Pakur,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.0
,Palamu,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.45
,Ramgarh,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.1
,Ranchi,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.5
,Sahebganj,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.14
,Saraikela kharsawan,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.45
,Simdega,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.5
,West singhbhum,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,1.83
Karnataka,Bagalkot,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bangalore rural,2000 - 2001,2.14
,,2001 - 2002,1.92
,,2002 - 2003,2.09
,,2003 - 2004,2.96
,,2004 - 2005,3.4
,,2005 - 2006,2.22
,,2006 - 2007,2.31
,,2007 - 2008,2.19
,,2008 - 2009,2.17
,,2009 - 2010,2.33
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,2.0
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,3.0
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.5
,Belgaum,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.44
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Bellary,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,3.37
,,2005 - 2006,3.82
,,2006 - 2007,4.78
,,2007 - 2008,3.85
,,2008 - 2009,4.67
,,2009 - 2010,4.02
,,2010 - 2011,4.46
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,2.48
,,2015 - 2016,
,,2016 - 2017,2.64
,,2017 - 2018,2.67
,,2018 - 2019,2.48
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Bengaluru urban,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,3.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,2.4
,,2013 - 2014,2.5
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,2.7
,,2017 - 2018,2.67
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bidar,2000 - 2001,1.44
,,2001 - 2002,1.5
,,2002 - 2003,1.6
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,1.61
,,2006 - 2007,1.72
,,2007 - 2008,1.73
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bijapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,2.0
,,2005 - 2006,1.64
,,2006 - 2007,1.7
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.71
,Chamarajanagar,2000 - 2001,2.14
,,2001 - 2002,1.92
,,2002 - 2003,2.09
,,2003 - 2004,2.96
,,2004 - 2005,3.37
,,2005 - 2006,2.39
,,2006 - 2007,2.54
,,2007 - 2008,2.54
,,2008 - 2009,3.16
,,2009 - 2010,2.97
,,2010 - 2011,2.82
,,2011 - 2012,3.46
,,2012 - 2013,3.48
,,2013 - 2014,2.5
,,2014 - 2015,3.35
,,2015 - 2016,2.43
,,2016 - 2017,1.47
,,2017 - 2018,4.14
,,2018 - 2019,3.45
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,2.21
,,2022 - 2023,2.19
,Chikballapur,2007 - 2008,2.17
,,2008 - 2009,
,,2009 - 2010,2.25
,,2010 - 2011,2.38
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Chikmagalur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Chitradurga,2000 - 2001,2.14
,,2001 - 2002,1.9
,,2002 - 2003,2.18
,,2003 - 2004,3.35
,,2004 - 2005,4.13
,,2005 - 2006,3.1
,,2006 - 2007,1.56
,,2007 - 2008,2.17
,,2008 - 2009,1.72
,,2009 - 2010,1.75
,,2010 - 2011,2.2
,,2011 - 2012,2.3
,,2012 - 2013,2.45
,,2013 - 2014,2.75
,,2014 - 2015,2.31
,,2015 - 2016,3.08
,,2016 - 2017,2.6
,,2017 - 2018,3.12
,,2018 - 2019,2.11
,,2019 - 2020,2.7
,,2020 - 2021,2.44
,,2021 - 2022,
,,2022 - 2023,1.37
,Dakshin kannad,2000 - 2001,1.99
,,2001 - 2002,2.19
,,2002 - 2003,1.97
,,2003 - 2004,3.06
,,2004 - 2005,3.3
,,2005 - 2006,2.16
,,2006 - 2007,2.14
,,2007 - 2008,2.19
,,2008 - 2009,2.25
,,2009 - 2010,2.25
,,2010 - 2011,2.26
,,2011 - 2012,2.22
,,2012 - 2013,2.59
,,2013 - 2014,2.67
,,2014 - 2015,2.45
,,2015 - 2016,2.61
,,2016 - 2017,2.65
,,2017 - 2018,2.51
,,2018 - 2019,2.68
,,2019 - 2020,2.6
,,2020 - 2021,2.79
,,2021 - 2022,2.79
,,2022 - 2023,2.83
,Davangere,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Dharwad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.6
,Gadag,2000 - 2001,
,,2001 - 2002,1.33
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Gulbarga,2000 - 2001,2.14
,,2001 - 2002,0.64
,,2002 - 2003,2.48
,,2003 - 2004,2.1
,,2004 - 2005,3.2
,,2005 - 2006,1.96
,,2006 - 2007,1.31
,,2007 - 2008,1.59
,,2008 - 2009,1.56
,,2009 - 2010,2.09
,,2010 - 2011,3.04
,,2011 - 2012,1.25
,,2012 - 2013,1.4
,,2013 - 2014,2.23
,,2014 - 2015,1.27
,,2015 - 2016,1.13
,,2016 - 2017,3.19
,,2017 - 2018,2.53
,,2018 - 2019,1.46
,,2019 - 2020,3.35
,,2020 - 2021,1.67
,,2021 - 2022,
,,2022 - 2023,3.46
,Hassan,2000 - 2001,2.28
,,2001 - 2002,2.48
,,2002 - 2003,1.7
,,2003 - 2004,1.66
,,2004 - 2005,4.11
,,2005 - 2006,1.73
,,2006 - 2007,2.53
,,2007 - 2008,2.03
,,2008 - 2009,2.01
,,2009 - 2010,2.03
,,2010 - 2011,2.69
,,2011 - 2012,2.65
,,2012 - 2013,2.58
,,2013 - 2014,2.22
,,2014 - 2015,2.23
,,2015 - 2016,2.69
,,2016 - 2017,0.33
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,2.93
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.09
,Haveri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,2.09
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Kodagu,2000 - 2001,2.2
,,2001 - 2002,1.91
,,2002 - 2003,2.11
,,2003 - 2004,3.0
,,2004 - 2005,3.36
,,2005 - 2006,2.22
,,2006 - 2007,2.27
,,2007 - 2008,2.16
,,2008 - 2009,2.2
,,2009 - 2010,2.2
,,2010 - 2011,2.4
,,2011 - 2012,2.33
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,2.4
,,2015 - 2016,2.4
,,2016 - 2017,2.75
,,2017 - 2018,2.6
,,2018 - 2019,2.4
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,3.0
,Kolar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,2.2
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Koppal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,1.63
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Mandya,2000 - 2001,2.13
,,2001 - 2002,1.89
,,2002 - 2003,2.09
,,2003 - 2004,2.96
,,2004 - 2005,4.14
,,2005 - 2006,2.5
,,2006 - 2007,2.85
,,2007 - 2008,2.53
,,2008 - 2009,3.14
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,3.41
,,2013 - 2014,3.62
,,2014 - 2015,3.17
,,2015 - 2016,3.71
,,2016 - 2017,
,,2017 - 2018,3.11
,,2018 - 2019,3.04
,,2019 - 2020,3.86
,,2020 - 2021,2.74
,,2021 - 2022,2.46
,,2022 - 2023,2.35
,Mysore,2000 - 2001,2.0
,,2001 - 2002,2.48
,,2002 - 2003,2.09
,,2003 - 2004,2.96
,,2004 - 2005,3.38
,,2005 - 2006,2.23
,,2006 - 2007,2.3
,,2007 - 2008,2.18
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.25
,,2012 - 2013,2.41
,,2013 - 2014,2.5
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raichur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,2.96
,,2004 - 2005,3.37
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Ramanagara,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,2.5
,,2015 - 2016,2.44
,,2016 - 2017,3.0
,,2017 - 2018,2.6
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.68
,Shimoga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,3.0
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,2.5
,,2016 - 2017,2.65
,,2017 - 2018,2.68
,,2018 - 2019,2.47
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,2.66
,Tumkur,2000 - 2001,2.14
,,2001 - 2002,1.92
,,2002 - 2003,2.18
,,2003 - 2004,3.36
,,2004 - 2005,3.37
,,2005 - 2006,2.21
,,2006 - 2007,2.3
,,2007 - 2008,2.17
,,2008 - 2009,2.78
,,2009 - 2010,2.46
,,2010 - 2011,3.08
,,2011 - 2012,3.23
,,2012 - 2013,2.63
,,2013 - 2014,2.51
,,2014 - 2015,2.46
,,2015 - 2016,2.99
,,2016 - 2017,3.14
,,2017 - 2018,2.66
,,2018 - 2019,2.33
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udupi,2000 - 2001,2.05
,,2001 - 2002,1.82
,,2002 - 2003,2.02
,,2003 - 2004,2.78
,,2004 - 2005,3.19
,,2005 - 2006,2.11
,,2006 - 2007,2.22
,,2007 - 2008,2.2
,,2008 - 2009,2.19
,,2009 - 2010,2.31
,,2010 - 2011,2.18
,,2011 - 2012,2.3
,,2012 - 2013,2.21
,,2013 - 2014,2.53
,,2014 - 2015,2.75
,,2015 - 2016,2.2
,,2016 - 2017,2.41
,,2017 - 2018,2.43
,,2018 - 2019,2.44
,,2019 - 2020,2.53
,,2020 - 2021,2.66
,,2021 - 2022,2.67
,,2022 - 2023,2.67
,Uttar kannad,2000 - 2001,2.05
,,2001 - 2002,1.87
,,2002 - 2003,1.69
,,2003 - 2004,3.27
,,2004 - 2005,3.14
,,2005 - 2006,2.18
,,2006 - 2007,2.5
,,2007 - 2008,2.13
,,2008 - 2009,2.32
,,2009 - 2010,2.34
,,2010 - 2011,2.19
,,2011 - 2012,2.28
,,2012 - 2013,2.18
,,2013 - 2014,2.69
,,2014 - 2015,2.68
,,2015 - 2016,2.38
,,2016 - 2017,2.57
,,2017 - 2018,2.33
,,2018 - 2019,2.23
,,2019 - 2020,2.2
,,2020 - 2021,2.36
,,2021 - 2022,2.38
,,2022 - 2023,2.22
,Vijayanagar,2022 - 2023,2.66
,Yadgir,2010 - 2011,2.32
,,2011 - 2012,1.89
,,2012 - 2013,1.39
,,2013 - 2014,1.83
,,2014 - 2015,2.37
,,2015 - 2016,1.39
,,2016 - 2017,2.78
,,2017 - 2018,
,,2018 - 2019,2.68
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,1.75
,,2022 - 2023,2.66
Kerala,Alappuzha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Ernakulam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Idukki,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kannur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kasaragod,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kollam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kottayam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
