State,District,Year,Wheat,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2019 - 2020,301,742,2.47,,,,,,,,,,,,
,,2020 - 2021,301,742,2.47,,,,,,,,,,,,
,,2021 - 2022,306,750,2.45,,,,,,,,,,,,
,,2022 - 2023,307,753,2.45,,,,,,,,,,,,
,14. Tawang,2000 - 2001,"1,935.00","2,992.00",1.55,,,,,,,,,,,,
,,2001 - 2002,"1,900.00","2,639.00",1.39,,,,,,,,,,,,
,,2002 - 2003,"2,290.00","3,330.00",1.45,,,,,,,,,,,,
,,2003 - 2004,"2,025.00","3,023.00",1.49,,,,,,,,,,,,
,,2004 - 2005,"2,027.00","3,109.00",1.53,,,,,,,,,,,,
,,2005 - 2006,"1,702.00","2,601.00",1.53,,,,,,,,,,,,
,,2006 - 2007,"1,662.00","2,553.00",1.54,,,,,,,,,,,,
,,2007 - 2008,"1,662.00","2,535.00",1.53,,,,,,,,,,,,
,,2008 - 2009,"1,345.00","2,201.00",1.64,,,,,,,,,,,,
,,2009 - 2010,"1,155.00","1,739.00",1.51,,,,,,,,,,,,
,,2010 - 2011,"1,155.00","1,762.00",1.53,,,,,,,,,,,,
,,2011 - 2012,"1,156.00","1,952.00",1.69,,,,,,,,,,,,
,,2012 - 2013,986,"1,409.00",1.43,,,,,,,,,,,,
,,2013 - 2014,986,"1,409.00",1.43,,,,,,,,,,,,
,,2014 - 2015,"1,082.00","1,746.00",1.61,,,,,,,,,,,,
,,2015 - 2016,"1,102.00","1,926.00",1.75,,,,,,,,,,,,
,,2016 - 2017,"1,102.00","1,926.00",1.75,,,,,,,,,,,,
,,2017 - 2018,"1,104.00","1,931.00",1.75,,,,,,,,,,,,
,,2018 - 2019,"1,104.00","1,931.00",1.75,,,,,,,,,,,,
,,2019 - 2020,"1,104.00","1,931.00",1.75,,,,,,,,,,,,
,,2020 - 2021,"1,104.00","1,931.00",1.75,,,,,,,,,,,,
,,2021 - 2022,"1,142.00","2,026.00",1.77,,,,,,,,,,,,
,,2022 - 2023,"1,144.00","2,032.00",1.78,,,,,,,,,,,,
,15. Tirap,2000 - 2001,10,15,1.5,,,,,,,,,,,,
,,2001 - 2002,15,25,1.67,,,,,,,,,,,,
,,2002 - 2003,16,25,1.56,,,,,,,,,,,,
,,2004 - 2005,16,27,1.69,,,,,,,,,,,,
,,2005 - 2006,16,26,1.63,,,,,,,,,,,,
,,2006 - 2007,16,26,1.63,,,,,,,,,,,,
,,2007 - 2008,16,25,1.56,,,,,,,,,,,,
,,2014 - 2015,106,357,3.37,,,,,,,,,,,,
,,2015 - 2016,106,167,1.58,,,,,,,,,,,,
,,2016 - 2017,106,167,1.58,,,,,,,,,,,,
,,2017 - 2018,108,171,1.58,,,,,,,,,,,,
,,2018 - 2019,108,171,1.58,,,,,,,,,,,,
,,2019 - 2020,108,171,1.58,,,,,,,,,,,,
