State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,10. Burhanpur,2003 - 2004,,,,5,2,0.4,,,,,,
,,2005 - 2006,,,,10,4,0.4,,,,,,
,,2006 - 2007,,,,13,5,0.38,,,,,,
,,2007 - 2008,,,,8,3,0.38,,,,,,
,,2008 - 2009,,,,10,3,0.3,,,,,,
,,2009 - 2010,,,,,,,11,4,0.36,,,
,,2010 - 2011,,,,9,2,0.22,,,,,,
,,2011 - 2012,,,,13,4,0.31,,,,,,
,,2012 - 2013,,,,22,10,0.45,,,,,,
,,2013 - 2014,,,,22,19,0.86,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2020 - 2021,,,,2,2,1,,,,,,
,11. Chhatarpur,2005 - 2006,,,,"31,220.00","10,565.00",0.34,,,,,,
,,2006 - 2007,,,,"20,822.00","5,186.00",0.25,,,,,,
,,2007 - 2008,,,,"9,418.00","2,286.00",0.24,,,,,,
,,2008 - 2009,,,,"16,020.00","5,115.00",0.32,,,,,,
,,2009 - 2010,,,,,,,"13,658.00","4,361.00",0.32,,,
,,2010 - 2011,,,,"14,237.00","2,522.00",0.18,,,,,,
,,2011 - 2012,,,,"13,089.00","2,460.00",0.19,,,,,,
,,2012 - 2013,,,,"11,866.00","8,181.00",0.69,,,,,,
,,2013 - 2014,,,,"13,246.00","8,026.00",0.61,,,,,,
,,2014 - 2015,,,,"10,000.00","7,000.00",0.7,,,,,,
,,2015 - 2016,,,,"20,000.00","17,000.00",0.85,,,,,,
,,2016 - 2017,,,,"25,000.00","34,000.00",1.36,,,,,,
,,2017 - 2018,,,,"8,280.00","8,120.00",0.98,,,,,,
,,2018 - 2019,,,,"4,791.00","5,126.00",1.07,,,,,,
,,2019 - 2020,,,,"6,426.00","5,799.00",0.9,,,,,,
,,2020 - 2021,,,,"16,065.00","19,278.00",1.2,,,,,,
,,2021 - 2022,,,,"40,054.00","32,444.00",0.81,,,,,,
,,2022 - 2023,,,,"41,350.00","40,316.00",0.97,,,,,,
,12. Chhindwara,2005 - 2006,,,,"3,826.00","1,659.00",0.43,,,,,,
,,2006 - 2007,,,,"4,546.00","2,300.00",0.51,,,,,,
,,2007 - 2008,,,,"3,971.00","2,009.00",0.51,,,,,,
,,2008 - 2009,,,,"4,013.00","1,769.00",0.44,,,,,,
,,2009 - 2010,,,,,,,"4,569.00","2,741.00",0.6,,,
,,2010 - 2011,,,,"5,579.00","2,688.00",0.48,,,,,,
,,2011 - 2012,,,,"6,604.00","3,580.00",0.54,,,,,,
,,2012 - 2013,,,,"6,696.00","4,405.00",0.66,,,,,,
,,2013 - 2014,,,,"6,825.00","4,934.00",0.72,,,,,,
,,2014 - 2015,,,,"6,000.00","7,000.00",1.17,,,,,,
,,2015 - 2016,,,,"24,000.00","18,000.00",0.75,,,,,,
,,2018 - 2019,,,,"4,240.00","2,146.00",0.51,,,,,,
,,2019 - 2020,,,,"4,533.00","3,768.00",0.83,,,,,,
,,2020 - 2021,,,,"4,705.00","2,720.00",0.58,,,,,,
,,2021 - 2022,,,,"3,942.00","2,365.00",0.6,,,,,,
,,2022 - 2023,,,,"4,366.00","3,222.00",0.74,,,,,,
,13. Damoh,2005 - 2006,,,,"6,753.00","3,490.00",0.52,,,,,,
,,2006 - 2007,,,,"7,025.00","3,080.00",0.44,,,,,,
,,2007 - 2008,,,,"6,939.00","3,152.00",0.45,,,,,,
,,2008 - 2009,,,,"7,544.00","4,904.00",0.65,,,,,,
,,2009 - 2010,,,,,,,"7,591.00","4,934.00",0.65,,,
,,2010 - 2011,,,,"14,951.00","5,944.00",0.4,,,,,,
,,2011 - 2012,,,,"15,785.00","8,368.00",0.53,,,,,,
,,2012 - 2013,,,,"11,303.00","8,251.00",0.73,,,,,,
,,2013 - 2014,,,,"9,070.00","3,191.00",0.35,,,,,,
,,2014 - 2015,,,,"10,000.00","7,000.00",0.7,,,,,,
,,2015 - 2016,,,,"15,000.00","14,000.00",0.93,,,,,,
,,2016 - 2017,,,,"42,000.00","19,000.00",0.45,,,,,,
,,2017 - 2018,,,,"17,080.00","19,420.00",1.14,,,,,,
,,2018 - 2019,,,,729,532,0.73,,,,,,
,,2019 - 2020,,,,902,643,0.71,,,,,,
,,2020 - 2021,,,,795,580,0.73,,,,,,
,,2021 - 2022,,,,946,691,0.73,,,,,,
,,2022 - 2023,,,,982,738,0.75,,,,,,
,14. Datia,2005 - 2006,,,,"25,451.00","16,942.00",0.67,,,,,,
,,2006 - 2007,,,,"19,051.00","10,535.00",0.55,,,,,,
,,2007 - 2008,,,,"13,031.00","5,339.00",0.41,,,,,,
,,2008 - 2009,,,,"16,176.00","11,596.00",0.72,,,,,,
,,2009 - 2010,,,,,,,"13,057.00","6,017.00",0.46,,,
,,2010 - 2011,,,,"10,817.00","3,343.00",0.31,,,,,,
,,2011 - 2012,,,,"11,143.00","5,357.00",0.48,,,,,,
,,2012 - 2013,,,,"14,249.00","21,631.00",1.52,,,,,,
,,2013 - 2014,,,,"20,970.00","40,424.00",1.93,,,,,,
,,2014 - 2015,,,,"30,000.00","50,000.00",1.67,,,,,,
,,2015 - 2016,,,,"32,000.00","33,000.00",1.03,,,,,,
,,2016 - 2017,,,,"35,000.00","58,000.00",1.66,,,,,,
,,2018 - 2019,,,,"2,878.00","5,548.00",1.93,,,,,,
,,2019 - 2020,,,,"3,769.00","7,266.00",1.93,,,,,,
,,2020 - 2021,,,,"9,628.00","11,554.00",1.2,,,,,,
,,2021 - 2022,,,,"20,032.00","16,466.00",0.82,,,,,,
,,2022 - 2023,,,,"16,106.00","25,609.00",1.59,,,,,,
,15. Dewas,2005 - 2006,,,,"2,185.00","1,027.00",0.47,,,,,,
,,2006 - 2007,,,,"2,187.00","1,199.00",0.55,,,,,,
,,2007 - 2008,,,,"2,295.00","1,348.00",0.59,,,,,,
,,2008 - 2009,,,,"2,093.00","1,229.00",0.59,,,,,,
,,2014 - 2015,,,,"3,000.00","4,000.00",1.33,,,,,,
,,2015 - 2016,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2018 - 2019,,,,178,105,0.59,,,,,,
,,2019 - 2020,,,,179,113,0.63,,,,,,
,,2020 - 2021,,,,218,180,0.83,,,,,,
,,2021 - 2022,,,,29,23,0.79,,,,,,
,,2022 - 2023,,,,132,109,0.83,,,,,,
,16. Dhar,2005 - 2006,,,,641,208,0.32,,,,,,
,,2006 - 2007,,,,"1,072.00",481,0.45,,,,,,
,,2007 - 2008,,,,"1,129.00",479,0.42,,,,,,
,,2008 - 2009,,,,789,315,0.4,,,,,,
,,2009 - 2010,,,,,,,"1,063.00",424,0.4,,,
,,2010 - 2011,,,,320,100,0.31,,,,,,
,,2011 - 2012,,,,473,146,0.31,,,,,,
,,2012 - 2013,,,,"1,068.00",426,0.4,,,,,,
,,2013 - 2014,,,,"1,567.00",963,0.61,,,,,,
,,2014 - 2015,,,,"3,000.00","3,000.00",1,,,,,,
,,2015 - 2016,,,,"3,000.00","2,000.00",0.67,,,,,,
,,2017 - 2018,,,,"11,100.00","5,990.00",0.54,,,,,,
,,2018 - 2019,,,,"4,254.00","2,483.00",0.58,,,,,,
,,2019 - 2020,,,,"3,022.00","2,733.00",0.9,,,,,,
,,2020 - 2021,,,,"3,160.00","2,614.00",0.83,,,,,,
,,2021 - 2022,,,,"2,135.00","1,089.00",0.51,,,,,,
,,2022 - 2023,,,,"1,721.00","1,229.00",0.71,,,,,,
,17. Dindori,2005 - 2006,,,,"7,174.00","1,391.00",0.19,,,,,,
,,2006 - 2007,,,,"6,941.00","1,581.00",0.23,,,,,,
,,2007 - 2008,,,,"8,947.00","1,622.00",0.18,,,,,,
,,2008 - 2009,,,,"8,017.00","1,859.00",0.23,,,,,,
,,2009 - 2010,,,,,,,"7,923.00","1,804.00",0.23,,,
,,2010 - 2011,,,,"10,671.00",622,0.06,,,,,,
,,2011 - 2012,,,,"9,858.00","1,307.00",0.13,,,,,,
,,2012 - 2013,,,,"10,007.00","4,051.00",0.4,,,,,,
,,2013 - 2014,,,,"10,061.00","8,983.00",0.89,,,,,,
,,2014 - 2015,,,,"8,000.00","11,000.00",1.38,,,,,,
,,2015 - 2016,,,,"27,000.00","29,000.00",1.07,,,,,,
,,2016 - 2017,,,,"36,000.00","32,000.00",0.89,,,,,,
,,2017 - 2018,,,,"10,600.00","8,270.00",0.78,,,,,,
,,2018 - 2019,,,,"3,831.00","2,196.00",0.57,,,,,,
,,2019 - 2020,,,,"4,166.00","2,895.00",0.69,,,,,,
,,2020 - 2021,,,,"3,802.00","3,707.00",0.98,,,,,,
,,2021 - 2022,,,,"2,866.00","2,046.00",0.71,,,,,,
,,2022 - 2023,,,,"3,394.00","2,423.00",0.71,,,,,,
,18. Guna,2005 - 2006,,,,267,153,0.57,,,,,,
,,2006 - 2007,,,,406,236,0.58,,,,,,
,,2007 - 2008,,,,297,146,0.49,,,,,,
,,2008 - 2009,,,,238,127,0.53,,,,,,
,,2009 - 2010,,,,,,,382,216,0.57,,,
,,2010 - 2011,,,,238,114,0.48,,,,,,
,,2011 - 2012,,,,208,88,0.42,,,,,,
,,2012 - 2013,,,,236,173,0.73,,,,,,
,,2013 - 2014,,,,237,240,1.01,,,,,,
,,2015 - 2016,,,,"5,000.00","4,000.00",0.8,,,,,,
,,2018 - 2019,,,,67,87,1.3,,,,,,
,,2019 - 2020,,,,126,168,1.33,,,,,,
,,2020 - 2021,,,,229,227,0.99,,,,,,
,,2021 - 2022,,,,226,204,0.9,,,,,,
,,2022 - 2023,,,,204,180,0.88,,,,,,
,19. Gwalior,2005 - 2006,,,,"3,187.00","1,935.00",0.61,,,,,,
,,2006 - 2007,,,,"2,254.00","1,271.00",0.56,,,,,,
,,2007 - 2008,,,,"2,044.00",886,0.43,,,,,,
,,2008 - 2009,,,,"2,091.00","1,473.00",0.7,,,,,,
,,2009 - 2010,,,,,,,"2,199.00","1,574.00",0.72,,,
,,2010 - 2011,,,,"1,925.00",948,0.49,,,,,,
,,2011 - 2012,,,,"2,149.00","1,105.00",0.51,,,,,,
,,2012 - 2013,,,,"2,411.00","1,240.00",0.51,,,,,,
,,2013 - 2014,,,,"1,935.00",979,0.51,,,,,,
,,2014 - 2015,,,,"2,000.00","3,000.00",1.5,,,,,,
,,2015 - 2016,,,,"5,000.00","3,000.00",0.6,,,,,,
,,2016 - 2017,,,,"8,000.00","14,000.00",1.75,,,,,,
,,2018 - 2019,,,,"2,293.00","1,238.00",0.54,,,,,,
,,2019 - 2020,,,,"2,239.00","1,322.00",0.59,,,,,,
,,2020 - 2021,,,,"2,568.00","3,570.00",1.39,,,,,,
,,2021 - 2022,,,,"1,939.00","1,276.00",0.66,,,,,,
,,2022 - 2023,,,,"1,126.00","1,158.00",1.03,,,,,,
,20. Harda,2005 - 2006,,,,389,138,0.35,,,,,,
,,2006 - 2007,,,,393,136,0.35,,,,,,
,,2007 - 2008,,,,399,109,0.27,,,,,,
,,2008 - 2009,,,,318,121,0.38,,,,,,
,,2009 - 2010,,,,,,,273,94,0.34,,,
,,2010 - 2011,,,,220,78,0.35,,,,,,
,,2011 - 2012,,,,329,106,0.32,,,,,,
,,2012 - 2013,,,,332,198,0.6,,,,,,
,,2013 - 2014,,,,336,207,0.62,,,,,,
,,2015 - 2016,,,,"1,000.00","1,000.00",1,,,,,,
,,2018 - 2019,,,,21,12,0.57,,,,,,
,,2019 - 2020,,,,20,14,0.7,,,,,,
,,2020 - 2021,,,,19,18,0.95,,,,,,
,,2021 - 2022,,,,9,890,98.89,,,,,,
,,2022 - 2023,,,,29,17,0.59,,,,,,
,21. Hoshangabad,2005 - 2006,,,,"1,189.00",569,0.48,,,,,,
,,2006 - 2007,,,,"1,160.00",572,0.49,,,,,,
,,2007 - 2008,,,,"1,131.00",532,0.47,,,,,,
,,2008 - 2009,,,,834,405,0.49,,,,,,
,,2009 - 2010,,,,,,,684,322,0.47,,,
,,2010 - 2011,,,,589,249,0.42,,,,,,
,,2011 - 2012,,,,540,244,0.45,,,,,,
,,2012 - 2013,,,,534,300,0.56,,,,,,
,,2013 - 2014,,,,841,308,0.37,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"3,000.00","2,000.00",0.67,,,,,,
,,2016 - 2017,,,,"6,000.00","2,000.00",0.33,,,,,,
,,2017 - 2018,,,,"9,700.00","6,160.00",0.64,,,,,,
,,2018 - 2019,,,,60,29,0.48,,,,,,
,,2019 - 2020,,,,39,20,0.51,,,,,,
,,2020 - 2021,,,,33,41,1.24,,,,,,
,,2021 - 2022,,,,14,"1,450.00",103.57,,,,,,
,,2022 - 2023,,,,22,13,0.59,,,,,,
,22. Indore,2005 - 2006,,,,264,84,0.32,,,,,,
,,2006 - 2007,,,,275,91,0.33,,,,,,
,,2007 - 2008,,,,289,109,0.38,,,,,,
,,2008 - 2009,,,,231,91,0.39,,,,,,
,,2009 - 2010,,,,,,,857,362,0.42,,,
,,2010 - 2011,,,,577,167,0.29,,,,,,
,,2011 - 2012,,,,813,232,0.29,,,,,,
,,2012 - 2013,,,,794,342,0.43,,,,,,
,,2013 - 2014,,,,820,353,0.43,,,,,,
,,2014 - 2015,,,,"1,000.00","2,000.00",2,,,,,,
,,2015 - 2016,,,,"1,000.00",431,0.43,,,,,,
,,2016 - 2017,,,,"1,000.00","1,000.00",1,,,,,,
,,2017 - 2018,,,,"1,040.00",940,0.9,,,,,,
,,2018 - 2019,,,,450,179,0.4,,,,,,
,,2019 - 2020,,,,406,175,0.43,,,,,,
,,2020 - 2021,,,,736,685,0.93,,,,,,
,,2021 - 2022,,,,304,203,0.67,,,,,,
,,2022 - 2023,,,,284,218,0.77,,,,,,
,23. Jabalpur,2005 - 2006,,,,"23,232.00","13,435.00",0.58,,,,,,
,,2006 - 2007,,,,"22,152.00","10,943.00",0.49,,,,,,
,,2007 - 2008,,,,"21,914.00","7,261.00",0.33,,,,,,
,,2008 - 2009,,,,"25,309.00","13,722.00",0.54,,,,,,
,,2009 - 2010,,,,,,,"23,124.00","10,726.00",0.46,,,
,,2010 - 2011,,,,"29,323.00","6,405.00",0.22,,,,,,
,,2011 - 2012,,,,"39,329.00","15,324.00",0.39,,,,,,
,,2012 - 2013,,,,"16,652.00","5,281.00",0.32,,,,,,
,,2013 - 2014,,,,"20,887.00","21,491.00",1.03,,,,,,
,,2014 - 2015,,,,"20,000.00","19,000.00",0.95,,,,,,
,,2015 - 2016,,,,"46,000.00","55,000.00",1.2,,,,,,
,,2016 - 2017,,,,"62,000.00","81,000.00",1.31,,,,,,
,,2017 - 2018,,,,"41,600.00","68,890.00",1.66,,,,,,
,,2018 - 2019,,,,"4,630.00","6,326.00",1.37,,,,,,
,,2019 - 2020,,,,"2,155.00","2,944.00",1.37,,,,,,
,,2020 - 2021,,,,"4,186.00","5,903.00",1.41,,,,,,
,,2021 - 2022,,,,"13,279.00","14,474.00",1.09,,,,,,
,,2022 - 2023,,,,"18,609.00","23,969.00",1.29,,,,,,
,24. Jhabua,2005 - 2006,,,,158,65,0.41,,,,,,
,,2006 - 2007,,,,187,94,0.5,,,,,,
,,2007 - 2008,,,,216,102,0.47,,,,,,
,,2008 - 2009,,,,117,60,0.51,,,,,,
,,2009 - 2010,,,,,,,142,67,0.47,,,
,,2010 - 2011,,,,164,54,0.33,,,,,,
,,2011 - 2012,,,,191,67,0.35,,,,,,
,,2012 - 2013,,,,180,109,0.61,,,,,,
,,2013 - 2014,,,,175,196,1.12,,,,,,
,,2017 - 2018,,,,60,70,1.17,,,,,,
,,2018 - 2019,,,,141,81,0.57,,,,,,
,,2019 - 2020,,,,103,79,0.77,,,,,,
,,2020 - 2021,,,,169,160,0.95,,,,,,
,,2021 - 2022,,,,54,37,0.69,,,,,,
,,2022 - 2023,,,,130,89,0.68,,,,,,
,25. Katni,2005 - 2006,,,,"5,378.00","1,781.00",0.33,,,,,,
,,2006 - 2007,,,,"5,071.00","1,479.00",0.29,,,,,,
,,2007 - 2008,,,,"4,462.00","1,389.00",0.31,,,,,,
,,2008 - 2009,,,,"6,000.00","2,426.00",0.4,,,,,,
,,2009 - 2010,,,,,,,"5,519.00","2,084.00",0.38,,,
,,2010 - 2011,,,,"6,816.00","1,207.00",0.18,,,,,,
,,2011 - 2012,,,,"6,059.00","1,584.00",0.26,,,,,,
,,2012 - 2013,,,,"4,901.00","2,562.00",0.52,,,,,,
,,2013 - 2014,,,,"3,220.00","4,469.00",1.39,,,,,,
,,2014 - 2015,,,,"2,000.00","2,000.00",1,,,,,,
,,2015 - 2016,,,,"12,000.00","14,000.00",1.17,,,,,,
,,2016 - 2017,,,,"32,000.00","19,000.00",0.59,,,,,,
,,2017 - 2018,,,,"2,720.00","4,260.00",1.57,,,,,,
,,2018 - 2019,,,,547,691,1.26,,,,,,
,,2019 - 2020,,,,158,199,1.26,,,,,,
,,2020 - 2021,,,,297,347,1.17,,,,,,
,,2021 - 2022,,,,185,181,0.98,,,,,,
,,2022 - 2023,,,,258,331,1.28,,,,,,
,26. Khandwa,2005 - 2006,,,,347,113,0.33,,,,,,
,,2006 - 2007,,,,380,124,0.33,,,,,,
,,2007 - 2008,,,,424,149,0.35,,,,,,
,,2008 - 2009,,,,426,139,0.33,,,,,,
,,2009 - 2010,,,,,,,567,153,0.27,,,
,,2010 - 2011,,,,674,143,0.21,,,,,,
,,2011 - 2012,,,,731,169,0.23,,,,,,
,,2012 - 2013,,,,668,170,0.25,,,,,,
,,2013 - 2014,,,,717,517,0.72,,,,,,
,,2017 - 2018,,,,530,250,0.47,,,,,,
,,2018 - 2019,,,,179,66,0.37,,,,,,
,,2019 - 2020,,,,142,50,0.35,,,,,,
,,2020 - 2021,,,,218,117,0.54,,,,,,
,,2021 - 2022,,,,93,50,0.54,,,,,,
,,2022 - 2023,,,,143,76,0.53,,,,,,
,27. Khargone,2005 - 2006,,,,27,14,0.52,,,,,,
,,2006 - 2007,,,,39,23,0.59,,,,,,
,,2008 - 2009,,,,28,13,0.46,,,,,,
,,2009 - 2010,,,,,,,71,40,0.56,,,
,,2010 - 2011,,,,56,22,0.39,,,,,,
,,2011 - 2012,,,,49,20,0.41,,,,,,
,,2012 - 2013,,,,57,27,0.47,,,,,,
,,2013 - 2014,,,,62,27,0.44,,,,,,
,,2017 - 2018,,,,60,20,0.33,,,,,,
,,2018 - 2019,,,,12,6,0.5,,,,,,
,,2019 - 2020,,,,7,4,0.57,,,,,,
,,2020 - 2021,,,,18,14,0.78,,,,,,
,,2021 - 2022,,,,4,3,0.75,,,,,,
,28. Mandla,2005 - 2006,,,,"17,377.00","4,177.00",0.24,,,,,,
,,2006 - 2007,,,,"15,626.00","3,756.00",0.24,,,,,,
,,2007 - 2008,,,,"16,755.00","4,027.00",0.24,,,,,,
,,2008 - 2009,,,,"17,073.00","4,175.00",0.24,,,,,,
,,2009 - 2010,,,,,,,"16,402.00","3,666.00",0.22,,,
,,2010 - 2011,,,,"33,002.00","5,249.00",0.16,,,,,,
,,2011 - 2012,,,,"25,838.00","4,110.00",0.16,,,,,,
,,2012 - 2013,,,,"24,711.00","6,044.00",0.24,,,,,,
,,2013 - 2014,,,,"24,353.00","8,216.00",0.34,,,,,,
,,2014 - 2015,,,,"19,000.00","21,000.00",1.11,,,,,,
,,2015 - 2016,,,,"28,000.00","14,000.00",0.5,,,,,,
,,2017 - 2018,,,,"23,960.00","9,100.00",0.38,,,,,,
,,2018 - 2019,,,,"4,799.00","1,680.00",0.35,,,,,,
,,2019 - 2020,,,,"4,826.00","1,689.00",0.35,,,,,,
,,2020 - 2021,,,,"5,225.00","1,829.00",0.35,,,,,,
,,2021 - 2022,,,,"4,924.00","2,757.00",0.56,,,,,,
,,2022 - 2023,,,,"4,410.00","2,469.00",0.56,,,,,,
,29. Mandsaur,2005 - 2006,,,,89,38,0.43,,,,,,
,,2006 - 2007,,,,127,74,0.58,,,,,,
,,2007 - 2008,,,,147,68,0.46,,,,,,
,,2008 - 2009,,,,83,43,0.52,,,,,,
,,2009 - 2010,,,,,,,113,59,0.52,,,
,,2010 - 2011,,,,176,55,0.31,,,,,,
,,2011 - 2012,,,,273,97,0.36,,,,,,
,,2012 - 2013,,,,336,209,0.62,,,,,,
,,2013 - 2014,,,,342,294,0.86,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"6,000.00","4,000.00",0.67,,,,,,
,,2018 - 2019,,,,322,156,0.48,,,,,,
,,2019 - 2020,,,,367,216,0.59,,,,,,
,,2020 - 2021,,,,654,632,0.97,,,,,,
,,2021 - 2022,,,,"1,256.00",749,0.6,,,,,,
,,2022 - 2023,,,,307,214,0.7,,,,,,
,30. Morena,2005 - 2006,,,,332,210,0.63,,,,,,
,,2006 - 2007,,,,408,218,0.53,,,,,,
,,2007 - 2008,,,,700,299,0.43,,,,,,
,,2008 - 2009,,,,556,346,0.62,,,,,,
,,2009 - 2010,,,,,,,639,452,0.71,,,
,,2010 - 2011,,,,"1,014.00",396,0.39,,,,,,
,,2011 - 2012,,,,948,404,0.43,,,,,,
,,2012 - 2013,,,,777,689,0.89,,,,,,
,,2013 - 2014,,,,523,441,0.84,,,,,,
,,2014 - 2015,,,,"1,000.00","1,000.00",1,,,,,,
,,2015 - 2016,,,,"1,000.00",809,0.81,,,,,,
,,2017 - 2018,,,,520,550,1.06,,,,,,
,,2018 - 2019,,,,313,222,0.71,,,,,,
,,2019 - 2020,,,,195,184,0.94,,,,,,
,,2020 - 2021,,,,283,347,1.23,,,,,,
,,2021 - 2022,,,,152,137,0.9,,,,,,
,,2022 - 2023,,,,139,117,0.84,,,,,,
,31. Narsinghpur,2005 - 2006,,,,"13,303.00","8,535.00",0.64,,,,,,
,,2006 - 2007,,,,"12,823.00","8,227.00",0.64,,,,,,
,,2007 - 2008,,,,"11,274.00","6,365.00",0.56,,,,,,
,,2008 - 2009,,,,"11,073.00","6,157.00",0.56,,,,,,
,,2009 - 2010,,,,,,,"10,927.00","6,637.00",0.61,,,
,,2010 - 2011,,,,"11,451.00","5,050.00",0.44,,,,,,
,,2011 - 2012,,,,"9,854.00","4,345.00",0.44,,,,,,
,,2012 - 2013,,,,"9,368.00","8,126.00",0.87,,,,,,
,,2013 - 2014,,,,"8,727.00","7,507.00",0.86,,,,,,
,,2014 - 2015,,,,"8,000.00","9,000.00",1.13,,,,,,
,,2015 - 2016,,,,"31,000.00","33,000.00",1.06,,,,,,
,,2016 - 2017,,,,"42,000.00","48,000.00",1.14,,,,,,
,,2017 - 2018,,,,"14,680.00","16,000.00",1.09,,,,,,
,,2018 - 2019,,,,894,905,1.01,,,,,,
,,2019 - 2020,,,,613,644,1.05,,,,,,
,,2020 - 2021,,,,834,876,1.05,,,,,,
,,2021 - 2022,,,,"2,760.00","2,553.00",0.93,,,,,,
,,2022 - 2023,,,,"2,360.00","2,192.00",0.93,,,,,,
,32. Neemuch,2006 - 2007,,,,6,3,0.5,,,,,,
,,2007 - 2008,,,,7,4,0.57,,,,,,
,,2008 - 2009,,,,43,20,0.47,,,,,,
,,2009 - 2010,,,,,,,41,20,0.49,,,
,,2010 - 2011,,,,123,47,0.38,,,,,,
,,2011 - 2012,,,,67,25,0.37,,,,,,
,,2012 - 2013,,,,103,119,1.16,,,,,,
,,2013 - 2014,,,,120,128,1.07,,,,,,
,,2017 - 2018,,,,60,50,0.83,,,,,,
,,2018 - 2019,,,,135,87,0.64,,,,,,
,,2019 - 2020,,,,128,117,0.91,,,,,,
,,2020 - 2021,,,,204,184,0.9,,,,,,
,,2021 - 2022,,,,80,68,0.85,,,,,,
,,2022 - 2023,,,,131,111,0.85,,,,,,
,33. Niwari,2019 - 2020,,,,444,550,1.24,,,,,,
,,2020 - 2021,,,,"1,043.00","1,076.00",1.03,,,,,,
,,2021 - 2022,,,,"4,114.00","3,661.00",0.89,,,,,,
,,2022 - 2023,,,,"1,621.00","2,074.00",1.28,,,,,,
,34. Panna,2005 - 2006,,,,"1,991.00",623,0.31,,,,,,
,,2006 - 2007,,,,"2,369.00",891,0.38,,,,,,
,,2007 - 2008,,,,"5,587.00","2,189.00",0.39,,,,,,
,,2008 - 2009,,,,"7,168.00","4,042.00",0.56,,,,,,
,,2009 - 2010,,,,,,,"10,089.00","5,688.00",0.56,,,
,,2010 - 2011,,,,"26,086.00","8,769.00",0.34,,,,,,
,,2011 - 2012,,,,"18,009.00","6,053.00",0.34,,,,,,
,,2012 - 2013,,,,"22,054.00","13,966.00",0.63,,,,,,
,,2013 - 2014,,,,"14,488.00","17,700.00",1.22,,,,,,
,,2014 - 2015,,,,"20,000.00","8,000.00",0.4,,,,,,
,,2015 - 2016,,,,"45,000.00","55,000.00",1.22,,,,,,
,,2016 - 2017,,,,"25,000.00","87,000.00",3.48,,,,,,
,,2017 - 2018,,,,"9,470.00","11,440.00",1.21,,,,,,
,,2018 - 2019,,,,345,671,1.94,,,,,,
,,2019 - 2020,,,,276,424,1.54,,,,,,
,,2020 - 2021,,,,422,539,1.28,,,,,,
,,2021 - 2022,,,,"2,050.00","1,743.00",0.85,,,,,,
,,2022 - 2023,,,,"4,659.00","4,892.00",1.05,,,,,,
,35. Raisen,2005 - 2006,,,,"11,751.00","7,645.00",0.65,,,,,,
,,2006 - 2007,,,,"11,621.00","7,561.00",0.65,,,,,,
,,2007 - 2008,,,,"10,772.00","7,008.00",0.65,,,,,,
,,2008 - 2009,,,,"9,915.00","6,450.00",0.65,,,,,,
,,2009 - 2010,,,,,,,"10,024.00","6,522.00",0.65,,,
,,2010 - 2011,,,,"8,314.00","2,645.00",0.32,,,,,,
,,2011 - 2012,,,,"4,540.00","2,780.00",0.61,,,,,,
,,2012 - 2013,,,,"5,395.00","2,617.00",0.49,,,,,,
,,2013 - 2014,,,,"5,893.00","6,709.00",1.14,,,,,,
,,2014 - 2015,,,,"8,000.00","11,000.00",1.38,,,,,,
,,2015 - 2016,,,,"7,000.00","6,000.00",0.86,,,,,,
,,2016 - 2017,,,,"15,000.00","10,000.00",0.67,,,,,,
,,2017 - 2018,,,,"13,400.00","15,320.00",1.14,,,,,,
,,2018 - 2019,,,,583,502,0.86,,,,,,
,,2019 - 2020,,,,681,517,0.76,,,,,,
,,2020 - 2021,,,,272,242,0.89,,,,,,
,,2021 - 2022,,,,110,80,0.73,,,,,,
,,2022 - 2023,,,,148,140,0.95,,,,,,
,36. Rajgarh,2005 - 2006,,,,643,208,0.32,,,,,,
,,2006 - 2007,,,,985,421,0.43,,,,,,
,,2007 - 2008,,,,"1,070.00",419,0.39,,,,,,
,,2008 - 2009,,,,993,383,0.39,,,,,,
,,2009 - 2010,,,,,,,"1,163.00",533,0.46,,,
,,2010 - 2011,,,,"1,212.00",321,0.26,,,,,,
,,2011 - 2012,,,,"1,367.00",513,0.38,,,,,,
,,2012 - 2013,,,,"1,385.00",707,0.51,,,,,,
,,2013 - 2014,,,,"1,484.00","1,616.00",1.09,,,,,,
,,2014 - 2015,,,,"2,000.00","5,000.00",2.5,,,,,,
,,2015 - 2016,,,,"6,000.00","7,000.00",1.17,,,,,,
,,2016 - 2017,,,,"7,000.00","3,000.00",0.43,,,,,,
,,2017 - 2018,,,,"6,100.00","4,640.00",0.76,,,,,,
,,2018 - 2019,,,,268,188,0.7,,,,,,
,,2019 - 2020,,,,161,148,0.92,,,,,,
,,2020 - 2021,,,,131,115,0.88,,,,,,
,,2021 - 2022,,,,24,20,0.83,,,,,,
