State,District,Year,Peas & beans (Pulses),,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,"1,565.00","1,330.00",0.85,,,,,,
,,2013 - 2014,,,,"1,435.00","1,222.00",0.85,,,,,,
,,2014 - 2015,,,,"1,427.00","1,647.00",1.15,,,,,,
,,2015 - 2016,,,,"1,355.00","1,554.00",1.15,,,,,,
,,2016 - 2017,,,,"1,344.00","1,412.00",1.05,,,,,,
,,2017 - 2018,,,,"1,804.00","1,131.00",0.63,,,,,,
,,2018 - 2019,,,,"1,250.00",792,0.63,,,,,,
,,2019 - 2020,,,,"1,233.00","1,079.00",0.88,,,,,,
,,2020 - 2021,,,,"1,206.00",768,0.64,,,,,,
,,2021 - 2022,,,,"1,087.00",729,0.67,,,,,,
,,2022 - 2023,,,,"1,065.00",727,0.68,,,,,,
,3. Biswanath,2020 - 2021,,,,961,"1,175.00",1.22,,,,,,
,,2021 - 2022,,,,"1,122.00","1,378.00",1.23,,,,,,
,,2022 - 2023,,,,"1,370.00","1,690.00",1.23,,,,,,
,4. Bongaigaon,2001 - 2002,,,,363,265,0.73,,,,,,
,,2002 - 2003,,,,400,285,0.71,,,,,,
,,2003 - 2004,,,,428,307,0.72,,,,,,
,,2004 - 2005,,,,456,329,0.72,,,,,,
,,2005 - 2006,,,,245,182,0.74,,,,,,
,,2006 - 2007,,,,274,204,0.74,,,,,,
,,2007 - 2008,,,,307,234,0.76,,,,,,
,,2008 - 2009,,,,300,226,0.75,,,,,,
,,2009 - 2010,,,,307,230,0.75,,,,,,
,,2010 - 2011,,,,309,231,0.75,,,,,,
,,2011 - 2012,,,,289,224,0.78,,,,,,
,,2012 - 2013,,,,277,216,0.78,,,,,,
,,2013 - 2014,,,,409,350,0.86,,,,,,
,,2014 - 2015,,,,420,450,1.07,,,,,,
,,2015 - 2016,,,,470,389,0.83,,,,,,
,,2016 - 2017,,,,498,525,1.05,,,,,,
,,2017 - 2018,,,,455,569,1.25,,,,,,
,,2018 - 2019,,,,472,344,0.73,,,,,,
,,2019 - 2020,,,,325,438,1.35,,,,,,
,,2020 - 2021,,,,329,227,0.69,,,,,,
,,2021 - 2022,,,,677,467,0.69,,,,,,
,,2022 - 2023,,,,696,525,0.75,,,,,,
