State,District,Year,Horse-gram,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,65,43,0.66,3,1,0.33,,,,,,,,,
,,2022 - 2023,17,9,0.53,2,1,0.5,,,,,,,,,
,12. Nandyal,2022 - 2023,110,59,0.54,2,1,0.5,,,,,,,,,
,13. Palnadu,2022 - 2023,,,,1,0.3,0.3,,,,,,,,,
,14. Parvathipuram manyam,2022 - 2023,418,244,0.58,5,1,0.2,,,,,,,,,
,15. Prakasam,2000 - 2001,"1,218.00",257,0.21,15,8,0.53,,,,,,,,,
,,2001 - 2002,"1,149.00",622,0.54,,,,,,,,,,,,
,,2002 - 2003,"2,105.00",779,0.37,,,,,,,,,,,,
,,2003 - 2004,921,498,0.54,11,4,0.36,,,,,,,,,
,,2004 - 2005,823,333,0.4,,,,,,,,,,,,
,,2005 - 2006,813,293,0.36,,,,,,,,,,,,
,,2006 - 2007,548,277,0.51,,,,,,,,,,,,
,,2008 - 2009,98,37,0.38,,,,,,,,,,,,
,,2009 - 2010,299,186,0.62,,,,,,,,,,,,
,,2010 - 2011,191,79,0.41,,,,,,,,,,,,
,,2011 - 2012,336,140,0.42,,,,,,,,,,,,
,,2013 - 2014,325,149,0.46,6,4,0.67,,,,,,,,,
,,2014 - 2015,325,135,0.42,,,,,,,,,,,,
,,2015 - 2016,167,92,0.55,,,,,,,,,,,,
,,2016 - 2017,146,81,0.55,28,4,0.14,,,,,,,,,
,,2017 - 2018,916,649,0.71,44,18,0.41,,,,,,,,,
,,2018 - 2019,"1,398.00",903,0.65,,,,,,,,,,,,
,,2019 - 2020,"1,012.00",665,0.66,4,,0,,,,,,,,,
,,2020 - 2021,280,213,0.76,19,0,0,,,,,,,,,
,,2021 - 2022,215,194,0.9,4,1,0.25,,,,,,,,,
,,2022 - 2023,155,162,1.05,20,6,0.3,,,,,,,,,
,16. Spsr nellore,2000 - 2001,754,159,0.21,28,14,0.5,,,,,,,,,
,,2001 - 2002,372,201,0.54,,,,,,,,,,,,
,,2002 - 2003,772,286,0.37,20,10,0.5,,,,,,,,,
,,2003 - 2004,228,123,0.54,,,,,,,,,,,,
,,2004 - 2005,310,126,0.41,,,,,,,,,,,,
,,2005 - 2006,155,56,0.36,,,,,,,,,,,,
,,2006 - 2007,77,39,0.51,,,,,,,,,,,,
,,2008 - 2009,118,44,0.37,4,2,0.5,,,,,,,,,
,,2009 - 2010,42,26,0.62,,,,,,,,,,,,
,,2010 - 2011,17,7,0.41,,,,,,,,,,,,
,,2011 - 2012,71,30,0.42,,,,,,,,,,,,
,,2013 - 2014,216,99,0.46,,,,,,,,,,,,
,,2014 - 2015,171,71,0.42,6,3,0.5,,,,,,,,,
,,2015 - 2016,427,236,0.55,,,,,,,,,,,,
,,2016 - 2017,70,39,0.56,,,,,,,,,,,,
,,2017 - 2018,398,282,0.71,,,,,,,,,,,,
,,2018 - 2019,448,289,0.65,,,,,,,,,,,,
,,2019 - 2020,494,325,0.66,1,,0,,,,,,,,,
,,2020 - 2021,177,57,0.32,,,,,,,,,,,,
,,2021 - 2022,100,40,0.4,,,,,,,,,,,,
,,2022 - 2023,128,75,0.59,,,,,,,,,,,,
,17. Sri sathya sai,2022 - 2023,487,332,0.68,"1,566.00",536,0.34,,,,,,,,,
,18. Srikakulam,2000 - 2001,"14,551.00","5,311.00",0.36,1,1,1,,,,,,,,,
,,2001 - 2002,"16,235.00","8,962.00",0.55,,,,,,,,,,,,
,,2002 - 2003,"13,690.00","5,873.00",0.43,2,1,0.5,,,,,,,,,
,,2003 - 2004,"15,016.00","8,904.00",0.59,4,1,0.25,,,,,,,,,
,,2004 - 2005,"11,646.00","4,658.00",0.4,4,2,0.5,,,,,,,,,
,,2005 - 2006,"10,960.00","4,647.00",0.42,2,1,0.5,,,,,,,,,
,,2006 - 2007,"13,745.00","6,996.00",0.51,,,,,,,,,,,,
,,2007 - 2008,"11,000.00","6,000.00",0.55,,,,,,,,,,,,
,,2008 - 2009,"6,300.00","3,169.00",0.5,,,,,,,,,,,,
,,2009 - 2010,"7,998.00","4,983.00",0.62,,,,,,,,,,,,
,,2010 - 2011,"8,219.00","3,740.00",0.46,,,,,,,,,,,,
,,2011 - 2012,"5,752.00","3,164.00",0.55,,,,,,,,,,,,
,,2012 - 2013,"6,000.00","5,000.00",0.83,,,,,,,,,,,,
,,2013 - 2014,"5,215.00","2,686.00",0.52,,,,,,,,,,,,
,,2014 - 2015,"3,487.00","1,688.00",0.48,,,,,,,,,,,,
,,2015 - 2016,"2,737.00","1,817.00",0.66,,,,,,,,,,,,
,,2016 - 2017,"2,498.00","2,008.00",0.8,,,,,,,,,,,,
,,2017 - 2018,"3,347.00","2,755.00",0.82,,,,,,,,,,,,
,,2018 - 2019,"2,643.00","2,035.00",0.77,2,,0,,,,,,,,,
,,2019 - 2020,"2,098.00","1,116.00",0.53,,,,,,,,,,,,
,,2020 - 2021,"1,321.00",993,0.75,,,,,,,,,,,,
,,2021 - 2022,"1,042.00",563,0.54,,,,,,,,,,,,
,,2022 - 2023,653,419,0.64,5,1,0.2,,,,,,,,,
,19. Tirupati,2022 - 2023,106,45,0.42,24,16,0.67,,,,,,,,,
,20. Visakhapatanam,2000 - 2001,"6,195.00","1,592.00",0.26,392,199,0.51,,,,,,,,,
,,2001 - 2002,"6,235.00","4,807.00",0.77,325,140,0.43,,,,,,,,,
,,2002 - 2003,"4,916.00","4,252.00",0.86,136,66,0.49,,,,,,,,,
,,2003 - 2004,"6,132.00","5,458.00",0.89,118,43,0.36,,,,,,,,,
,,2004 - 2005,"4,925.00","4,836.00",0.98,84,37,0.44,,,,,,,,,
,,2005 - 2006,"4,026.00","1,188.00",0.3,65,25,0.38,,,,,,,,,
,,2006 - 2007,"3,758.00","2,195.00",0.58,179,78,0.44,,,,,,,,,
,,2007 - 2008,"4,000.00","2,000.00",0.5,,,,,,,,,,,,
,,2008 - 2009,"3,557.00","1,722.00",0.48,109,61,0.56,,,,,,,,,
,,2009 - 2010,"2,544.00","1,804.00",0.71,58,39,0.67,,,,,,,,,
,,2010 - 2011,"1,939.00","1,412.00",0.73,89,43,0.48,,,,,,,,,
,,2011 - 2012,"2,067.00","1,067.00",0.52,69,37,0.54,,,,,,,,,
,,2012 - 2013,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2013 - 2014,"1,019.00",500,0.49,46,27,0.59,,,,,,,,,
,,2014 - 2015,"1,146.00",547,0.48,,,,,,,,,,,,
,,2015 - 2016,"1,059.00",665,0.63,4,1,0.25,,,,,,,,,
,,2016 - 2017,955,533,0.56,,,,,,,,,,,,
,,2017 - 2018,857,476,0.56,,,,,,,,,,,,
,,2018 - 2019,638,422,0.66,,,,,,,,,,,,
,,2019 - 2020,596,367,0.62,,,,,,,,,,,,
,,2020 - 2021,307,220,0.72,,,,,,,,,,,,
,,2021 - 2022,243,148,0.61,3,1,0.33,,,,,,,,,
,,2022 - 2023,79,46,0.58,,,,,,,,,,,,
,21. Vizianagaram,2000 - 2001,"25,968.00","2,934.00",0.11,,,,,,,,,,,,
,,2001 - 2002,"26,871.00","12,925.00",0.48,,,,,,,,,,,,
,,2002 - 2003,"22,581.00","5,126.00",0.23,,,,,,,,,,,,
,,2003 - 2004,"26,889.00","11,616.00",0.43,,,,,,,,,,,,
,,2004 - 2005,"22,482.00","6,340.00",0.28,,,,,,,,,,,,
,,2005 - 2006,"17,987.00","6,026.00",0.34,,,,,,,,,,,,
,,2006 - 2007,"19,884.00","9,723.00",0.49,,,,,,,,,,,,
,,2007 - 2008,"17,000.00","8,000.00",0.47,,,,,,,,,,,,
,,2008 - 2009,"14,920.00","4,431.00",0.3,,,,,,,,,,,,
,,2009 - 2010,"13,515.00","8,177.00",0.61,,,,,,,,,,,,
,,2010 - 2011,"11,524.00","3,803.00",0.33,,,,,,,,,,,,
,,2011 - 2012,"9,814.00","3,150.00",0.32,,,,,,,,,,,,
,,2012 - 2013,"7,000.00","3,000.00",0.43,,,,,,,,,,,,
,,2013 - 2014,"4,531.00","1,758.00",0.39,,,,,,,,,,,,
,,2014 - 2015,"4,697.00","1,630.00",0.35,,,,,,,,,,,,
,,2015 - 2016,"4,121.00","1,887.00",0.46,,,,,,,,,,,,
,,2016 - 2017,"4,078.00","1,660.00",0.41,,,,,,,,,,,,
,,2017 - 2018,"3,952.00","2,553.00",0.65,,,,,,,,,,,,
,,2018 - 2019,"2,625.00","1,357.00",0.52,,,,,,,,,,,,
,,2019 - 2020,"1,926.00","1,448.00",0.75,,,,,,,,,,,,
,,2020 - 2021,"1,811.00","1,154.00",0.64,,,,,,,,,,,,
,,2021 - 2022,"1,347.00",775,0.58,,,,,,,,,,,,
,,2022 - 2023,830,376,0.45,,,,,,,,,,,,
,22. West godavari,2000 - 2001,245,52,0.21,8,4,0.5,,,,,,,,,
,,2001 - 2002,335,181,0.54,,,,,,,,,,,,
,,2002 - 2003,236,87,0.37,,,,,,,,,,,,
,,2003 - 2004,394,213,0.54,,,,,,,,,,,,
,,2004 - 2005,437,177,0.41,,,,,,,,,,,,
,,2005 - 2006,467,168,0.36,141,55,0.39,,,,,,,,,
,,2006 - 2007,376,190,0.51,91,39,0.43,,,,,,,,,
,,2008 - 2009,499,188,0.38,,,,,,,,,,,,
,,2009 - 2010,207,129,0.62,12,8,0.67,,,,,,,,,
,,2010 - 2011,267,110,0.41,17,8,0.47,,,,,,,,,
,,2011 - 2012,225,94,0.42,,,,,,,,,,,,
,,2013 - 2014,121,56,0.46,11,6,0.55,,,,,,,,,
,,2014 - 2015,35,14,0.4,,,,,,,,,,,,
,,2015 - 2016,117,65,0.56,,,,,,,,,,,,
,,2016 - 2017,50,28,0.56,,,,,,,,,,,,
,,2017 - 2018,35,25,0.71,,,,,,,,,,,,
,,2018 - 2019,50,32,0.64,,,,,,,,,,,,
,,2019 - 2020,42,28,0.67,,,,,,,,,,,,
,,2020 - 2021,10,7,0.7,1,0,0,,,,,,,,,
,,2021 - 2022,16,9,0.56,1,0.27,0.27,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,
2. Bihar,1. Araria,2000 - 2001,,,,"2,872.00","2,838.00",0.99,,,,,,,,,
,,2001 - 2002,,,,"1,979.00","2,005.00",1.01,,,,,,,,,
,,2002 - 2003,,,,"2,578.00","2,052.00",0.8,,,,,,,,,
,,2003 - 2004,,,,"2,428.00","1,792.00",0.74,,,,,,,,,
,,2004 - 2005,,,,"2,335.00","2,052.00",0.88,,,,,,,,,
,,2005 - 2006,,,,"1,786.00","1,590.00",0.89,,,,,,,,,
,,2009 - 2010,,,,902,868,0.96,,,,,,,,,
,,2010 - 2011,,,,"1,454.00","1,373.00",0.94,,,,,,,,,
,,2011 - 2012,,,,"1,178.00","1,121.00",0.95,,,,,,,,,
,,2012 - 2013,,,,"1,178.00","1,140.00",0.97,,,,,,,,,
,,2013 - 2014,,,,"1,059.00","1,008.00",0.95,,,,,,,,,
,,2014 - 2015,,,,"1,087.00","1,040.00",0.96,,,,,,,,,
,,2015 - 2016,,,,607,582,0.96,,,,,,,,,
,,2016 - 2017,,,,918,865,0.94,,,,,,,,,
,2. Arwal,2003 - 2004,,,,20,15,0.75,,,,,,,,,
,,2004 - 2005,,,,16,13,0.81,,,,,,,,,
,,2005 - 2006,,,,45,39,0.87,,,,,,,,,
,,2011 - 2012,,,,18,17,0.94,,,,,,,,,
,,2012 - 2013,,,,18,17,0.94,,,,,,,,,
,,2018 - 2019,,,,104,96,0.92,,,,,,,,,
,,2019 - 2020,,,,45,42,0.93,,,,,,,,,
,,2020 - 2021,,,,5,5,1,,,,,,,,,
,,2021 - 2022,,,,10,9,0.9,,,,,,,,,
,,2022 - 2023,,,,9,9,1,,,,,,,,,
,3. Aurangabad,2000 - 2001,,,,12,9,0.75,,,,,,,,,
,,2001 - 2002,,,,17,14,0.82,,,,,,,,,
,,2002 - 2003,,,,52,41,0.79,,,,,,,,,
,,2003 - 2004,,,,18,13,0.72,,,,,,,,,
,,2005 - 2006,,,,13,11,0.85,,,,,,,,,
,,2012 - 2013,,,,1,1,1,,,,,,,,,
,,2013 - 2014,,,,2,2,1,,,,,,,,,
,,2014 - 2015,,,,7,7,1,,,,,,,,,
,4. Banka,2000 - 2001,,,,"2,157.00","1,667.00",0.77,,,,,,,,,
,,2001 - 2002,,,,"1,362.00","1,094.00",0.8,,,,,,,,,
,,2002 - 2003,,,,"1,155.00",919,0.8,,,,,,,,,
,,2003 - 2004,,,,"1,163.00",862,0.74,,,,,,,,,
,,2004 - 2005,,,,"1,222.00",906,0.74,,,,,,,,,
,,2005 - 2006,,,,701,603,0.86,,,,,,,,,
,,2009 - 2010,,,,"1,040.00","1,002.00",0.96,,,,,,,,,
,,2010 - 2011,,,,787,743,0.94,,,,,,,,,
,,2011 - 2012,,,,783,745,0.95,,,,,,,,,
,,2012 - 2013,,,,413,400,0.97,,,,,,,,,
,,2013 - 2014,,,,811,772,0.95,,,,,,,,,
,,2014 - 2015,,,,753,721,0.96,,,,,,,,,
,,2015 - 2016,,,,670,642,0.96,,,,,,,,,
,,2016 - 2017,,,,718,678,0.94,,,,,,,,,
,,2017 - 2018,,,,699,665,0.95,,,,,,,,,
,,2018 - 2019,,,,"1,070.00",982,0.92,,,,,,,,,
,,2019 - 2020,,,,"1,072.00","1,006.00",0.94,,,,,,,,,
,,2020 - 2021,,,,234,219,0.94,,,,,,,,,
,,2021 - 2022,,,,216,201,0.93,,,,,,,,,
,,2022 - 2023,,,,195,180,0.92,,,,,,,,,
,5. Begusarai,2000 - 2001,,,,335,259,0.77,,,,,,,,,
,,2001 - 2002,,,,326,262,0.8,,,,,,,,,
,,2002 - 2003,,,,324,258,0.8,,,,,,,,,
,,2003 - 2004,,,,220,163,0.74,,,,,,,,,
,,2005 - 2006,,,,229,197,0.86,,,,,,,,,
,,2009 - 2010,,,,259,249,0.96,,,,,,,,,
,,2010 - 2011,,,,252,238,0.94,,,,,,,,,
,,2011 - 2012,,,,254,242,0.95,,,,,,,,,
,,2012 - 2013,,,,261,253,0.97,,,,,,,,,
,,2013 - 2014,,,,249,237,0.95,,,,,,,,,
,,2014 - 2015,,,,249,238,0.96,,,,,,,,,
,,2015 - 2016,,,,262,229,0.87,,,,,,,,,
,,2016 - 2017,,,,253,219,0.87,,,,,,,,,
,,2017 - 2018,,,,265,235,0.89,,,,,,,,,
,,2018 - 2019,,,,248,217,0.88,,,,,,,,,
,,2019 - 2020,,,,154,135,0.88,,,,,,,,,
,,2020 - 2021,,,,180,158,0.88,,,,,,,,,
,,2021 - 2022,,,,162,112,0.69,,,,,,,,,
,,2022 - 2023,,,,133,89,0.67,,,,,,,,,
,6. Bhagalpur,2000 - 2001,,,,858,663,0.77,,,,,,,,,
,,2001 - 2002,,,,698,560,0.8,,,,,,,,,
,,2002 - 2003,,,,743,591,0.8,,,,,,,,,
,,2003 - 2004,,,,"1,418.00","1,051.00",0.74,,,,,,,,,
,,2004 - 2005,,,,"1,842.00","1,365.00",0.74,,,,,,,,,
,,2005 - 2006,,,,586,504,0.86,,,,,,,,,
,,2009 - 2010,,,,"1,842.00","1,774.00",0.96,,,,,,,,,
,,2010 - 2011,,,,"1,151.00","1,087.00",0.94,,,,,,,,,
,,2011 - 2012,,,,461,439,0.95,,,,,,,,,
,,2012 - 2013,,,,498,482,0.97,,,,,,,,,
,,2013 - 2014,,,,476,453,0.95,,,,,,,,,
,,2014 - 2015,,,,524,501,0.96,,,,,,,,,
