State,District,Year,Horse-gram,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,"29,434.00","17,215.00",0.58,924,540,0.58,,,,,,,,,
,,2014 - 2015,"26,162.00","17,372.00",0.66,449,298,0.66,,,,,,,,,
,,2015 - 2016,"20,718.00","10,918.00",0.53,181,96,0.53,,,,,,,,,
,,2016 - 2017,"8,298.00","2,831.00",0.34,99,33,0.33,,,,,,,,,
,,2017 - 2018,"16,062.00","12,127.00",0.76,"1,209.00",913,0.76,,,,,,,,,
,,2018 - 2019,"23,156.00","16,870.00",0.73,96,71,0.74,,,,,,,,,
,,2019 - 2020,"23,294.00","20,830.00",0.89,,,,,,,,,,,,
,,2020 - 2021,"19,915.00","19,803.00",0.99,312,310,0.99,,,,,,,,,
,,2021 - 2022,"16,573.00","14,084.00",0.85,181,154,0.85,,,,,,,,,
,,2022 - 2023,"17,866.00","17,570.00",0.98,8,6,0.75,,,,,,,,,
,12. Madurai,2000 - 2001,,,,127,55,0.43,,,,,,,,,
,,2002 - 2003,,,,151,38,0.25,,,,,,,,,
,,2003 - 2004,,,,168,45,0.27,,,,,,,,,
,,2004 - 2005,,,,196,58,0.3,,,,,,,,,
,,2005 - 2006,,,,81,30,0.37,,,,,,,,,
,,2006 - 2007,,,,,,,,,,72,42,0.58,,,
,,2007 - 2008,,,,,,,,,,29,13,0.45,,,
,,2008 - 2009,,,,,,,,,,62,29,0.47,,,
,,2009 - 2010,,,,,,,,,,114,53,0.46,,,
,,2010 - 2011,,,,20,10,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,,,,41,22,0.54,,,
,,2012 - 2013,,,,42,17,0.4,,,,,,,,,
,,2013 - 2014,73,47,0.64,40,20,0.5,,,,,,,,,
,,2014 - 2015,,,,25,19,0.76,,,,,,,,,
,,2015 - 2016,,,,22,13,0.59,,,,,,,,,
,,2016 - 2017,3,1,0.33,8,3,0.38,,,,,,,,,
,,2017 - 2018,,,,22,17,0.77,,,,,,,,,
,,2018 - 2019,22,15,0.68,9,7,0.78,,,,,,,,,
,,2019 - 2020,34,27,0.79,10,8,0.8,,,,,,,,,
,,2020 - 2021,6,5,0.83,5,3,0.6,,,,,,,,,
,,2021 - 2022,17,11,0.65,1,1,1,,,,,,,,,
,,2022 - 2023,22,17,0.77,10,8,0.8,,,,,,,,,
,13. Namakkal,2000 - 2001,,,,"3,980.00","2,028.00",0.51,,,,,,,,,
,,2002 - 2003,,,,"3,835.00",975,0.25,,,,,,,,,
,,2003 - 2004,,,,"2,327.00",623,0.27,,,,,,,,,
,,2004 - 2005,,,,"2,102.00",874,0.42,,,,,,,,,
,,2005 - 2006,,,,709,440,0.62,,,,,,,,,
,,2006 - 2007,,,,,,,,,,547,488,0.89,,,
,,2007 - 2008,,,,,,,,,,467,381,0.82,,,
,,2008 - 2009,,,,,,,,,,681,320,0.47,,,
,,2009 - 2010,,,,,,,,,,330,152,0.46,,,
,,2010 - 2011,,,,739,335,0.45,,,,,,,,,
,,2011 - 2012,,,,,,,,,,710,383,0.54,,,
,,2012 - 2013,,,,961,385,0.4,,,,,,,,,
,,2013 - 2014,485,312,0.64,737,470,0.64,,,,,,,,,
,,2014 - 2015,465,343,0.74,795,592,0.74,,,,,,,,,
,,2015 - 2016,473,277,0.59,893,526,0.59,,,,,,,,,
,,2016 - 2017,214,69,0.32,142,45,0.32,,,,,,,,,
,,2017 - 2018,"1,044.00",825,0.79,253,187,0.74,,,,,,,,,
,,2018 - 2019,"1,076.00",743,0.69,117,82,0.7,,,,,,,,,
,,2019 - 2020,925,720,0.78,127,97,0.76,,,,,,,,,
,,2020 - 2021,"1,221.00",914,0.75,216,157,0.73,,,,,,,,,
,,2021 - 2022,"1,105.00",756,0.68,158,106,0.67,,,,,,,,,
,,2022 - 2023,"1,091.00",842,0.77,90,69,0.77,,,,,,,,,
,14. Perambalur,2000 - 2001,,,,5,2,0.4,,,,,,,,,
,,2002 - 2003,,,,16,5,0.31,,,,,,,,,
,,2003 - 2004,,,,11,3,0.27,,,,,,,,,
,,2004 - 2005,,,,19,6,0.32,,,,,,,,,
,,2005 - 2006,,,,3,1,0.33,,,,,,,,,
,,2006 - 2007,,,,,,,,,,11,6,0.55,,,
,,2007 - 2008,,,,,,,,,,3,1,0.33,,,
,,2008 - 2009,,,,,,,,,,3,1,0.33,,,
,,2009 - 2010,,,,,,,,,,2,2,1,,,
,,2010 - 2011,,,,4,2,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,,,,2,1,0.5,,,
,,2012 - 2013,,,,1,,0,,,,,,,,,
,,2013 - 2014,1,1,1,4,,0,,,,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,,,,
,,2015 - 2016,,,,3,2,0.67,,,,,,,,,
,,2016 - 2017,1,,0,5,2,0.4,,,,,,,,,
,,2017 - 2018,,,,2,2,1,,,,,,,,,
,,2018 - 2019,,,,2,1,0.5,,,,,,,,,
,,2019 - 2020,,,,16,12,0.75,,,,,,,,,
,,2020 - 2021,,,,3,2,0.67,,,,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,,,,
,15. Pudukkottai,2000 - 2001,,,,189,82,0.43,,,,,,,,,
,,2002 - 2003,,,,204,52,0.25,,,,,,,,,
,,2003 - 2004,,,,142,38,0.27,,,,,,,,,
,,2004 - 2005,,,,130,39,0.3,,,,,,,,,
,,2005 - 2006,,,,66,24,0.36,,,,,,,,,
,,2006 - 2007,,,,,,,,,,125,73,0.58,,,
,,2007 - 2008,,,,,,,,,,86,38,0.44,,,
,,2008 - 2009,,,,,,,,,,53,25,0.47,,,
,,2009 - 2010,,,,,,,,,,64,30,0.47,,,
,,2010 - 2011,,,,39,22,0.56,,,,,,,,,
,,2011 - 2012,,,,,,,,,,12,6,0.5,,,
,,2012 - 2013,,,,16,6,0.38,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,,,,
,,2014 - 2015,8,6,0.75,6,5,0.83,,,,,,,,,
,,2015 - 2016,,,,5,3,0.6,,,,,,,,,
,,2016 - 2017,11,4,0.36,8,2,0.25,,,,,,,,,
,,2017 - 2018,13,10,0.77,16,13,0.81,,,,,,,,,
,,2018 - 2019,5,3,0.6,5,4,0.8,,,,,,,,,
,,2019 - 2020,31,24,0.77,20,15,0.75,,,,,,,,,
,,2020 - 2021,23,17,0.74,3,2,0.67,,,,,,,,,
,,2021 - 2022,1,1,1,2,1,0.5,,,,,,,,,
,,2022 - 2023,9,7,0.78,4,3,0.75,,,,,,,,,
,16. Ramanathapuram,2000 - 2001,,,,12,5,0.42,,,,,,,,,
,,2002 - 2003,,,,8,2,0.25,,,,,,,,,
,,2003 - 2004,,,,15,4,0.27,,,,,,,,,
,,2004 - 2005,,,,13,4,0.31,,,,,,,,,
,,2005 - 2006,,,,6,2,0.33,,,,,,,,,
,,2006 - 2007,,,,,,,,,,3,2,0.67,,,
,,2007 - 2008,,,,,,,,,,5,2,0.4,,,
,,2008 - 2009,,,,,,,,,,3,1,0.33,,,
,,2009 - 2010,,,,,,,,,,3,1,0.33,,,
,,2010 - 2011,,,,1,,0,,,,,,,,,
,,2011 - 2012,,,,,,,,,,2,1,0.5,,,
,,2012 - 2013,,,,3,1,0.33,,,,,,,,,
,,2013 - 2014,7,5,0.71,,,,,,,,,,,,
,,2014 - 2015,"3,098.00","1,371.00",0.44,,,,,,,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,,,,
,,2018 - 2019,3,2,0.67,,,,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,,,,
,17. Ranipet,2020 - 2021,14,10,0.71,4,3,0.75,,,,,,,,,
,,2021 - 2022,13,9,0.69,,,,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,,,,
,18. Salem,2000 - 2001,,,,"12,485.00","6,300.00",0.5,,,,,,,,,
,,2002 - 2003,,,,"5,925.00","1,433.00",0.24,,,,,,,,,
,,2003 - 2004,,,,"1,550.00",581,0.37,,,,,,,,,
,,2004 - 2005,,,,"2,191.00",822,0.38,,,,,,,,,
,,2005 - 2006,,,,"1,593.00",728,0.46,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"1,260.00",712,0.57,,,
,,2007 - 2008,,,,,,,,,,"1,322.00",812,0.61,,,
,,2008 - 2009,,,,,,,,,,"2,450.00","1,153.00",0.47,,,
,,2009 - 2010,,,,,,,,,,"3,128.00","2,127.00",0.68,,,
,,2010 - 2011,,,,"3,084.00","1,914.00",0.62,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"4,407.00","2,654.00",0.6,,,
,,2012 - 2013,,,,"3,540.00","1,069.00",0.3,,,,,,,,,
,,2013 - 2014,"5,211.00","3,119.00",0.6,"1,233.00",740,0.6,,,,,,,,,
,,2014 - 2015,"6,725.00","5,535.00",0.82,968,797,0.82,,,,,,,,,
,,2015 - 2016,"5,302.00","4,385.00",0.83,506,418,0.83,,,,,,,,,
,,2016 - 2017,"1,082.00",340,0.31,287,90,0.31,,,,,,,,,
,,2017 - 2018,"3,864.00","2,550.00",0.66,261,173,0.66,,,,,,,,,
,,2018 - 2019,"4,526.00","3,566.00",0.79,"1,244.00",979,0.79,,,,,,,,,
,,2019 - 2020,"5,416.00","3,742.00",0.69,26,18,0.69,,,,,,,,,
,,2020 - 2021,"4,163.00","3,277.00",0.79,657,518,0.79,,,,,,,,,
,,2021 - 2022,"4,303.00","2,989.00",0.69,591,411,0.7,,,,,,,,,
,,2022 - 2023,"3,655.00","2,215.00",0.61,843,651,0.77,,,,,,,,,
,19. Sivaganga,2000 - 2001,,,,6,3,0.5,,,,,,,,,
,,2002 - 2003,,,,65,17,0.26,,,,,,,,,
,,2003 - 2004,,,,161,43,0.27,,,,,,,,,
,,2004 - 2005,,,,6,2,0.33,,,,,,,,,
,,2005 - 2006,,,,35,13,0.37,,,,,,,,,
,,2006 - 2007,,,,,,,,,,48,28,0.58,,,
,,2007 - 2008,,,,,,,,,,61,27,0.44,,,
,,2008 - 2009,,,,,,,,,,45,21,0.47,,,
,,2009 - 2010,,,,,,,,,,62,29,0.47,,,
,,2010 - 2011,,,,34,19,0.56,,,,,,,,,
,,2011 - 2012,,,,,,,,,,41,22,0.54,,,
,,2012 - 2013,,,,20,8,0.4,,,,,,,,,
,,2013 - 2014,5,3,0.6,6,10,1.67,,,,,,,,,
,,2014 - 2015,22,16,0.73,5,3,0.6,,,,,,,,,
,,2015 - 2016,78,46,0.59,47,28,0.6,,,,,,,,,
,,2016 - 2017,69,22,0.32,11,4,0.36,,,,,,,,,
,,2017 - 2018,140,111,0.79,7,4,0.57,,,,,,,,,
,,2018 - 2019,103,71,0.69,8,6,0.75,,,,,,,,,
,,2019 - 2020,114,89,0.78,18,14,0.78,,,,,,,,,
,,2020 - 2021,81,60,0.74,13,10,0.77,,,,,,,,,
,,2021 - 2022,99,68,0.69,,,,,,,,,,,,
,,2022 - 2023,49,38,0.78,,,,,,,,,,,,
,20. Thanjavur,2010 - 2011,,,,13,5,0.38,,,,,,,,,
,21. The nilgiris,2014 - 2015,7,5,0.71,,,,,,,,,,,,
,22. Theni,2000 - 2001,,,,"1,234.00",538,0.44,,,,,,,,,
,,2002 - 2003,,,,389,99,0.25,,,,,,,,,
,,2003 - 2004,,,,599,160,0.27,,,,,,,,,
,,2004 - 2005,,,,626,186,0.3,,,,,,,,,
,,2005 - 2006,,,,315,115,0.37,,,,,,,,,
,,2006 - 2007,,,,,,,,,,507,297,0.59,,,
,,2007 - 2008,,,,,,,,,,283,125,0.44,,,
,,2008 - 2009,,,,,,,,,,247,116,0.47,,,
,,2009 - 2010,,,,,,,,,,211,97,0.46,,,
,,2010 - 2011,,,,358,180,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,,,,804,433,0.54,,,
,,2012 - 2013,,,,417,167,0.4,,,,,,,,,
,,2013 - 2014,28,18,0.64,316,200,0.63,,,,,,,,,
,,2014 - 2015,4,3,0.75,619,460,0.74,,,,,,,,,
,,2015 - 2016,56,33,0.59,594,349,0.59,,,,,,,,,
,,2016 - 2017,682,219,0.32,186,59,0.32,,,,,,,,,
,,2017 - 2018,279,220,0.79,271,209,0.77,,,,,,,,,
,,2018 - 2019,354,244,0.69,254,176,0.69,,,,,,,,,
,,2019 - 2020,361,281,0.78,231,178,0.77,,,,,,,,,
,,2020 - 2021,355,266,0.75,174,129,0.74,,,,,,,,,
,,2021 - 2022,494,338,0.68,132,90,0.68,,,,,,,,,
,,2022 - 2023,500,386,0.77,20,15,0.75,,,,,,,,,
,23. Thenkasi,2021 - 2022,,,,1,1,1,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,,,,
,24. Thiruvallur,2000 - 2001,,,,17,7,0.41,,,,,,,,,
,,2002 - 2003,,,,141,36,0.26,,,,,,,,,
,,2003 - 2004,,,,72,19,0.26,,,,,,,,,
,,2004 - 2005,,,,168,50,0.3,,,,,,,,,
,,2005 - 2006,,,,32,12,0.38,,,,,,,,,
,,2006 - 2007,,,,,,,,,,40,23,0.58,,,
,,2007 - 2008,,,,,,,,,,16,7,0.44,,,
,,2008 - 2009,,,,,,,,,,38,18,0.47,,,
,,2009 - 2010,,,,,,,,,,21,10,0.48,,,
,,2010 - 2011,,,,28,14,0.5,,,,,,,,,
,,2011 - 2012,,,,,,,,,,28,15,0.54,,,
,,2012 - 2013,,,,36,14,0.39,,,,,,,,,
,,2013 - 2014,16,10,0.63,13,10,0.77,,,,,,,,,
,,2014 - 2015,13,10,0.77,11,8,0.73,,,,,,,,,
,,2015 - 2016,3,2,0.67,12,7,0.58,,,,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,,,,
,,2017 - 2018,4,3,0.75,11,9,0.82,,,,,,,,,
,,2018 - 2019,10,7,0.7,2,1,0.5,,,,,,,,,
,,2019 - 2020,16,12,0.75,3,3,1,,,,,,,,,
,,2020 - 2021,30,22,0.73,,,,,,,,,,,,
,,2021 - 2022,3,2,0.67,5,3,0.6,,,,,,,,,
,,2022 - 2023,3,3,1,5,4,0.8,,,,,,,,,
,25. Thoothukudi,2000 - 2001,,,,12,5,0.42,,,,,,,,,
,,2002 - 2003,,,,11,3,0.27,,,,,,,,,
,,2003 - 2004,,,,17,5,0.29,,,,,,,,,
,,2004 - 2005,,,,666,198,0.3,,,,,,,,,
,,2005 - 2006,,,,26,9,0.35,,,,,,,,,
,,2006 - 2007,,,,,,,,,,21,12,0.57,,,
,,2007 - 2008,,,,,,,,,,31,14,0.45,,,
,,2008 - 2009,,,,,,,,,,6,3,0.5,,,
,,2009 - 2010,,,,,,,,,,1,,0,,,
,,2010 - 2011,,,,1,,0,,,,,,,,,
,,2011 - 2012,,,,,,,,,,2,1,0.5,,,
,,2012 - 2013,,,,3,1,0.33,,,,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,,,,,,,
,,2014 - 2015,23,17,0.74,,,,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,,,,
,,2016 - 2017,8,3,0.38,,,,,,,,,,,,
,,2017 - 2018,9,7,0.78,,,,,,,,,,,,
,,2018 - 2019,7,5,0.71,,,,,,,,,,,,
,,2019 - 2020,8,7,0.88,,,,,,,,,,,,
,,2020 - 2021,18,13,0.72,,,,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,
,26. Tiruchirappalli,2000 - 2001,,,,"1,915.00",824,0.43,,,,,,,,,
,,2002 - 2003,,,,717,182,0.25,,,,,,,,,
,,2003 - 2004,,,,"1,073.00",287,0.27,,,,,,,,,
,,2004 - 2005,,,,852,254,0.3,,,,,,,,,
,,2005 - 2006,,,,863,329,0.38,,,,,,,,,
,,2006 - 2007,,,,,,,,,,873,511,0.59,,,
,,2007 - 2008,,,,,,,,,,691,304,0.44,,,
,,2008 - 2009,,,,,,,,,,483,227,0.47,,,
,,2009 - 2010,,,,,,,,,,602,278,0.46,,,
,,2010 - 2011,,,,462,261,0.56,,,,,,,,,
,,2011 - 2012,,,,,,,,,,477,257,0.54,,,
,,2012 - 2013,,,,304,122,0.4,,,,,,,,,
,,2013 - 2014,42,27,0.64,289,180,0.62,,,,,,,,,
,,2014 - 2015,179,133,0.74,567,421,0.74,,,,,,,,,
,,2015 - 2016,392,229,0.58,526,311,0.59,,,,,,,,,
,,2016 - 2017,183,59,0.32,436,139,0.32,,,,,,,,,
,,2017 - 2018,560,442,0.79,269,205,0.76,,,,,,,,,
,,2018 - 2019,751,518,0.69,271,189,0.7,,,,,,,,,
,,2019 - 2020,739,576,0.78,154,118,0.77,,,,,,,,,
,,2020 - 2021,443,331,0.75,150,111,0.74,,,,,,,,,
,,2021 - 2022,263,180,0.68,41,27,0.66,,,,,,,,,
,,2022 - 2023,297,229,0.77,34,26,0.76,,,,,,,,,
,27. Tirunelveli,2000 - 2001,,,,781,341,0.44,,,,,,,,,
,,2002 - 2003,,,,245,62,0.25,,,,,,,,,
,,2003 - 2004,,,,475,127,0.27,,,,,,,,,
,,2004 - 2005,,,,684,204,0.3,,,,,,,,,
,,2005 - 2006,,,,436,159,0.36,,,,,,,,,
,,2006 - 2007,,,,,,,,,,399,233,0.58,,,
,,2007 - 2008,,,,,,,,,,97,43,0.44,,,
,,2008 - 2009,,,,,,,,,,79,37,0.47,,,
,,2009 - 2010,,,,,,,,,,29,13,0.45,,,
,,2010 - 2011,,,,67,29,0.43,,,,,,,,,
,,2011 - 2012,,,,,,,,,,30,16,0.53,,,
,,2012 - 2013,,,,8,3,0.38,,,,,,,,,
,,2013 - 2014,1,1,1,10,10,1,,,,,,,,,
,,2014 - 2015,6,4,0.67,26,20,0.77,,,,,,,,,
,,2015 - 2016,9,5,0.56,2,1,0.5,,,,,,,,,
,,2016 - 2017,1,,0,1,1,1,,,,,,,,,
,,2017 - 2018,4,3,0.75,,,,,,,,,,,,
,,2019 - 2020,4,3,0.75,3,3,1,,,,,,,,,
,,2020 - 2021,5,4,0.8,6,4,0.67,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,,2022 - 2023,2,2,1,2,2,1,,,,,,,,,
,28. Tirupathur,2020 - 2021,"9,323.00","6,304.00",0.68,58,39,0.67,,,,,,,,,
,,2021 - 2022,"8,322.00","4,385.00",0.53,,,,,,,,,,,,
,,2022 - 2023,"6,892.00","4,364.00",0.63,,,,,,,,,,,,
,29. Tiruppur,2008 - 2009,,,,,,,,,,"5,855.00",,0,,,
,,2009 - 2010,,,,,,,,,,"5,505.00","1,106.00",0.2,,,
,,2010 - 2011,,,,"5,625.00","1,925.00",0.34,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"6,046.00","1,933.00",0.32,,,
,,2012 - 2013,,,,"4,985.00",30,0.01,,,,,,,,,
,,2013 - 2014,"4,628.00",719,0.16,"1,592.00",250,0.16,,,,,,,,,
,,2014 - 2015,"5,932.00","1,925.00",0.32,629,204,0.32,,,,,,,,,
,,2015 - 2016,"5,963.00","1,193.00",0.2,147,29,0.2,,,,,,,,,
,,2016 - 2017,"6,527.00",54,0.01,121,1,0.01,,,,,,,,,
,,2017 - 2018,"4,146.00","2,276.00",0.55,"2,243.00","1,232.00",0.55,,,,,,,,,
,,2018 - 2019,"7,107.00","1,676.00",0.24,176,41,0.23,,,,,,,,,
,,2019 - 2020,"7,131.00","2,673.00",0.37,99,37,0.37,,,,,,,,,
,,2020 - 2021,"7,691.00","2,379.00",0.31,528,164,0.31,,,,,,,,,
,,2021 - 2022,"8,173.00","3,178.00",0.39,234,90,0.38,,,,,,,,,
,,2022 - 2023,"7,974.00","2,629.00",0.33,203,157,0.77,,,,,,,,,
,30. Tiruvannamalai,2000 - 2001,,,,"3,468.00","1,323.00",0.38,,,,,,,,,
,,2002 - 2003,,,,"5,072.00","1,290.00",0.25,,,,,,,,,
,,2003 - 2004,,,,"4,392.00","1,176.00",0.27,,,,,,,,,
,,2004 - 2005,,,,"3,855.00",387,0.1,,,,,,,,,
,,2005 - 2006,,,,"2,140.00",510,0.24,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"2,236.00","1,700.00",0.76,,,
,,2007 - 2008,,,,,,,,,,"2,118.00",828,0.39,,,
,,2008 - 2009,,,,,,,,,,"1,890.00",867,0.46,,,
,,2009 - 2010,,,,,,,,,,"2,278.00","1,077.00",0.47,,,
,,2010 - 2011,,,,"2,233.00","1,270.00",0.57,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"1,881.00","1,177.00",0.63,,,
,,2012 - 2013,,,,"1,824.00","1,168.00",0.64,,,,,,,,,
,,2013 - 2014,820,623,0.76,936,710,0.76,,,,,,,,,
,,2014 - 2015,"3,538.00","2,995.00",0.85,"2,234.00","1,892.00",0.85,,,,,,,,,
,,2015 - 2016,"3,374.00","2,149.00",0.64,"2,116.00","1,348.00",0.64,,,,,,,,,
,,2016 - 2017,"1,871.00","1,871.00",1,13,13,1,,,,,,,,,
,,2017 - 2018,"4,083.00","3,797.00",0.93,157,146,0.93,,,,,,,,,
,,2018 - 2019,"6,857.00","4,249.00",0.62,8,5,0.63,,,,,,,,,
,,2019 - 2020,"7,403.00","7,218.00",0.98,10,10,1,,,,,,,,,
,,2020 - 2021,"5,985.00","3,594.00",0.6,32,19,0.59,,,,,,,,,
,,2021 - 2022,"3,300.00","2,934.00",0.89,14,13,0.93,,,,,,,,,
,,2022 - 2023,"4,954.00","4,187.00",0.85,1,1,1,,,,,,,,,
,31. Vellore,2000 - 2001,,,,"5,509.00","2,172.00",0.39,,,,,,,,,
,,2002 - 2003,,,,"7,996.00","2,445.00",0.31,,,,,,,,,
,,2003 - 2004,,,,"5,607.00","1,331.00",0.24,,,,,,,,,
,,2004 - 2005,,,,"5,189.00","1,613.00",0.31,,,,,,,,,
,,2005 - 2006,,,,"3,730.00","1,263.00",0.34,,,,,,,,,
,,2006 - 2007,,,,,,,,,,"4,248.00","2,516.00",0.59,,,
,,2007 - 2008,,,,,,,,,,"4,788.00","1,902.00",0.4,,,
,,2008 - 2009,,,,,,,,,,"3,933.00","1,486.00",0.38,,,
,,2009 - 2010,,,,,,,,,,"4,611.00","2,164.00",0.47,,,
,,2010 - 2011,,,,"4,080.00","1,191.00",0.29,,,,,,,,,
,,2011 - 2012,,,,,,,,,,"4,748.00","2,704.00",0.57,,,
,,2012 - 2013,,,,"6,093.00","3,062.00",0.5,,,,,,,,,
,,2013 - 2014,"9,976.00","8,473.00",0.85,,,,,,,,,,,,
,,2014 - 2015,"10,508.00","10,622.00",1.01,185,186,1.01,,,,,,,,,
,,2015 - 2016,"9,289.00","6,623.00",0.71,58,41,0.71,,,,,,,,,
,,2016 - 2017,"4,623.00","1,967.00",0.43,113,48,0.42,,,,,,,,,
,,2017 - 2018,"6,968.00","5,986.00",0.86,548,470,0.86,,,,,,,,,
,,2018 - 2019,"8,760.00","7,324.00",0.84,5,4,0.8,,,,,,,,,
,,2019 - 2020,"10,336.00","8,737.00",0.85,115,93,0.81,,,,,,,,,
,,2020 - 2021,"2,643.00","2,491.00",0.94,,,,,,,,,,,,
,,2021 - 2022,"1,950.00","1,539.00",0.79,,,,,,,,,,,,
,,2022 - 2023,"2,545.00","2,006.00",0.79,,,,,,,,,,,,
,32. Villupuram,2000 - 2001,,,,"2,229.00",972,0.44,,,,,,,,,
,,2002 - 2003,,,,632,161,0.25,,,,,,,,,
,,2003 - 2004,,,,932,250,0.27,,,,,,,,,
,,2004 - 2005,,,,457,136,0.3,,,,,,,,,
,,2005 - 2006,,,,304,111,0.37,,,,,,,,,
,,2006 - 2007,,,,,,,,,,260,152,0.58,,,
,,2007 - 2008,,,,,,,,,,264,116,0.44,,,
,,2008 - 2009,,,,,,,,,,255,120,0.47,,,
,,2009 - 2010,,,,,,,,,,202,93,0.46,,,
,,2010 - 2011,,,,266,126,0.47,,,,,,,,,
,,2011 - 2012,,,,,,,,,,182,98,0.54,,,
,,2012 - 2013,,,,271,109,0.4,,,,,,,,,
,,2013 - 2014,307,198,0.64,81,50,0.62,,,,,,,,,
,,2014 - 2015,157,116,0.74,90,67,0.74,,,,,,,,,
,,2015 - 2016,35,20,0.57,80,48,0.6,,,,,,,,,
,,2016 - 2017,4,1,0.25,33,11,0.33,,,,,,,,,
,,2017 - 2018,28,22,0.79,39,30,0.77,,,,,,,,,
,,2018 - 2019,2,2,1,85,59,0.69,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,,,,
,33. Virudhunagar,2000 - 2001,,,,87,38,0.44,,,,,,,,,
,,2002 - 2003,,,,47,12,0.26,,,,,,,,,
,,2003 - 2004,,,,74,20,0.27,,,,,,,,,
,,2004 - 2005,,,,329,98,0.3,,,,,,,,,
,,2005 - 2006,,,,93,34,0.37,,,,,,,,,
,,2006 - 2007,,,,,,,,,,63,37,0.59,,,
,,2007 - 2008,,,,,,,,,,90,40,0.44,,,
,,2008 - 2009,,,,,,,,,,63,30,0.48,,,
,,2009 - 2010,,,,,,,,,,15,7,0.47,,,
,,2010 - 2011,,,,28,12,0.43,,,,,,,,,
,,2011 - 2012,,,,,,,,,,33,18,0.55,,,
,,2012 - 2013,,,,97,39,0.4,,,,,,,,,
,,2013 - 2014,14,9,0.64,31,20,0.65,,,,,,,,,
,,2014 - 2015,4,3,0.75,5,4,0.8,,,,,,,,,
,,2015 - 2016,34,20,0.59,5,3,0.6,,,,,,,,,
,,2016 - 2017,13,4,0.31,2,1,0.5,,,,,,,,,
,,2017 - 2018,24,19,0.79,14,11,0.79,,,,,,,,,
,,2018 - 2019,36,25,0.69,3,2,0.67,,,,,,,,,
,,2019 - 2020,39,30,0.77,1,,0,,,,,,,,,
,,2020 - 2021,15,11,0.73,2,1,0.5,,,,,,,,,
,,2021 - 2022,17,11,0.65,,,,,,,,,,,,
,,2022 - 2023,15,11,0.73,,,,,,,,,,,,
14. Telangana,1. Adilabad,2000 - 2001,"2,012.00",394,0.2,,,,,,,,,,,,
,,2001 - 2002,"3,088.00","1,019.00",0.33,82,30,0.37,,,,,,,,,
,,2002 - 2003,"1,176.00",149,0.13,17,6,0.35,,,,,,,,,
,,2003 - 2004,"1,839.00",600,0.33,10,5,0.5,,,,,,,,,
,,2004 - 2005,"1,806.00",585,0.32,10,5,0.5,,,,,,,,,
,,2005 - 2006,859,221,0.26,,,,,,,,,,,,
,,2006 - 2007,"1,065.00",305,0.29,239,109,0.46,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"1,166.00",487,0.42,,,,,,,,,,,,
,,2009 - 2010,335,99,0.3,,,,,,,,,,,,
,,2010 - 2011,317,128,0.4,,,,,,,,,,,,
,,2011 - 2012,29,4,0.14,,,,,,,,,,,,
,,2013 - 2014,25,12,0.48,,,,,,,,,,,,
,,2014 - 2015,65,25,0.38,,,,,,,,,,,,
,,2015 - 2016,24,11,0.46,,,,,,,,,,,,
,2. Bhadradri,2019 - 2020,4,3,0.75,,,,,,,,,,,,
,,2020 - 2021,1,3,3,,,,,,,,,,,,
,,2021 - 2022,11,9,0.82,,,,,,,,,,,,
,3. Jagitial,2021 - 2022,4,3,0.75,1,1,1,,,,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,,,,,,,
,4. Jangoan,2016 - 2017,84,32,0.38,,,,,,,,,,,,
