State,District,Year,Cardamom,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,7,,0,,,
,,2002 - 2003,11,,0,,,
,,2003 - 2004,6,,0,,,
,,2004 - 2005,7,,0,,,
,,2005 - 2006,12,,0,,,
,,2006 - 2007,12,,0,,,
,,2007 - 2008,7,,0,,,
,5. Kottayam,2000 - 2001,200,21,0.11,,,
,,2001 - 2002,200,24,0.12,,,
,,2002 - 2003,200,24,0.12,,,
,,2003 - 2004,201,26,0.13,,,
,,2004 - 2005,200,25,0.13,,,
,,2005 - 2006,200,25,0.13,,,
,,2006 - 2007,200,19,0.1,,,
,,2007 - 2008,200,20,0.1,,,
,,2008 - 2009,200,14,0.07,,,
,,2009 - 2010,200,13,0.07,,,
,,2011 - 2012,200,14,0.07,,,
,,2012 - 2013,200,12,0.06,,,
,,2013 - 2014,85,5,0.06,,,
,,2014 - 2015,85,5,0.06,,,
,,2015 - 2016,85,5,0.06,,,
,,2016 - 2017,85,5,0.06,,,
,,2017 - 2018,86,4,0.05,,,
,,2018 - 2019,86,3,0.03,,,
,,2019 - 2020,86,1,0.01,,,
,,2020 - 2021,86,1,0.01,,,
,,2021 - 2022,86,0,0,,,
,,2022 - 2023,86,0,0,,,
,6. Kozhikode,2001 - 2002,220,,0,,,
,,2002 - 2003,220,,0,,,
,,2003 - 2004,220,,0,,,
,,2004 - 2005,220,,0,,,
,,2005 - 2006,220,1,0,,,
,,2006 - 2007,220,1,0,,,
,,2007 - 2008,220,1,0,,,
,,2008 - 2009,220,1,0,,,
,,2009 - 2010,220,3,0.01,,,
,,2011 - 2012,220,1,0,,,
,,2012 - 2013,220,4,0.02,,,
,,2013 - 2014,220,5,0.02,,,
,,2014 - 2015,220,5,0.02,,,
,,2015 - 2016,220,5,0.02,,,
,,2016 - 2017,220,3,0.01,,,
,,2017 - 2018,220,2,0.01,,,
,,2018 - 2019,220,1,0,,,
,,2019 - 2020,195,1,0.01,,,
,,2020 - 2021,195,2,0.01,,,
,,2021 - 2022,195,2,0.01,,,
,,2022 - 2023,195,1,0.01,,,
,7. Malappuram,2000 - 2001,70,,0,,,
,,2001 - 2002,70,1,0.01,,,
,,2002 - 2003,70,3,0.04,,,
,,2003 - 2004,70,3,0.04,,,
,,2004 - 2005,70,3,0.04,,,
,,2005 - 2006,70,3,0.04,,,
,,2006 - 2007,70,3,0.04,,,
,,2007 - 2008,70,2,0.03,,,
,,2008 - 2009,70,1,0.01,,,
,,2009 - 2010,70,,0,,,
,,2011 - 2012,70,1,0.01,,,
,,2012 - 2013,70,2,0.03,,,
,,2013 - 2014,70,2,0.03,,,
,,2014 - 2015,70,2,0.03,,,
,,2015 - 2016,70,2,0.03,,,
,,2016 - 2017,70,1,0.01,,,
