State,District,Year,Barley,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,900,"2,900.00",3.22,,,,,,,,,
,,2022 - 2023,"1,200.00","4,700.00",3.92,,,,,,,,,
,9. Malerkotla,2021 - 2022,400,"1,300.00",3.25,,,,,,,,,
,,2022 - 2023,400,"1,600.00",4,,,,,,,,,
,10. Mansa,2000 - 2001,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2001 - 2002,"2,000.00","5,000.00",2.5,,,,,,,,,
,,2002 - 2003,"2,000.00","6,000.00",3,,,,,,,,,
,,2003 - 2004,"2,000.00","7,000.00",3.5,,,,,,,,,
,,2004 - 2005,"2,000.00","6,000.00",3,,,,,,,,,
,,2005 - 2006,"2,000.00","5,000.00",2.5,,,,,,,,,
,,2006 - 2007,"2,000.00","6,000.00",3,,,,,,,,,
,,2007 - 2008,"1,000.00","3,000.00",3,,,,,,,,,
,,2008 - 2009,"1,000.00","3,000.00",3,,,,,,,,,
,,2009 - 2010,"1,000.00","3,000.00",3,,,,,,,,,
,,2010 - 2011,"1,000.00","3,000.00",3,,,,,,,,,
,,2011 - 2012,"1,000.00","3,000.00",3,,,,,,,,,
,,2012 - 2013,"1,000.00","3,000.00",3,,,,,,,,,
,,2013 - 2014,"1,000.00","3,000.00",3,,,,,,,,,
,,2014 - 2015,"1,000.00","3,100.00",3.1,,,,,,,,,
,,2015 - 2016,"1,000.00","3,400.00",3.4,,,,,,,,,
,,2016 - 2017,500,"1,800.00",3.6,,,,,,,,,
,,2017 - 2018,500,"1,700.00",3.4,,,,,,,,,
,,2018 - 2019,300,"1,100.00",3.67,,,,,,,,,
,,2019 - 2020,300,"1,100.00",3.67,,,,,,,,,
,,2020 - 2021,300,"1,100.00",3.67,,,,,,,,,
,,2021 - 2022,200,700,3.5,,,,,,,,,
,,2022 - 2023,300,"1,200.00",4,,,,,,,,,
,11. Moga,2000 - 2001,"1,000.00","3,000.00",3,,,,,,,,,
,,2001 - 2002,"1,000.00","3,000.00",3,,,,,,,,,
,,2002 - 2003,"1,000.00","2,000.00",2,,,,,,,,,
,,2003 - 2004,"1,000.00","3,000.00",3,,,,,,,,,
,,2004 - 2005,"1,000.00","3,000.00",3,,,,,,,,,
,,2005 - 2006,"1,000.00","3,000.00",3,,,,,,,,,
,,2006 - 2007,"1,000.00","3,000.00",3,,,,,,,,,
,,2008 - 2009,"1,000.00","3,000.00",3,,,,,,,,,
,,2016 - 2017,300,"1,100.00",3.67,,,,,,,,,
,,2017 - 2018,300,"1,000.00",3.33,,,,,,,,,
,,2018 - 2019,300,"1,200.00",4,,,,,,,,,
,,2019 - 2020,400,"1,600.00",4,,,,,,,,,
,,2020 - 2021,300,"1,300.00",4.33,,,,,,,,,
,,2021 - 2022,200,500,2.5,,,,,,,,,
,,2022 - 2023,200,700,3.5,,,,,,,,,
,12. Muktsar,2000 - 2001,"4,000.00","13,000.00",3.25,,,,,,,,,
,,2001 - 2002,"3,000.00","9,000.00",3,,,,,,,,,
,,2002 - 2003,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2003 - 2004,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2004 - 2005,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2005 - 2006,"2,000.00","6,000.00",3,,,,,,,,,
,,2006 - 2007,"2,000.00","8,000.00",4,,,,,,,,,
,,2007 - 2008,"2,000.00","8,000.00",4,,,,,,,,,
,,2008 - 2009,"1,000.00","4,000.00",4,,,,,,,,,
,,2009 - 2010,"1,000.00","4,000.00",4,,,,,,,,,
,,2010 - 2011,"1,000.00","4,000.00",4,,,,,,,,,
,,2011 - 2012,"1,000.00","3,000.00",3,,,,,,,,,
,,2012 - 2013,"1,000.00","4,000.00",4,,,,,,,,,
,,2013 - 2014,"1,000.00","4,000.00",4,,,,,,,,,
,,2014 - 2015,"1,000.00","3,400.00",3.4,,,,,,,,,
,,2015 - 2016,"1,000.00","3,500.00",3.5,,,,,,,,,
,,2016 - 2017,500,"1,600.00",3.2,,,,,,,,,
,,2017 - 2018,300,"1,000.00",3.33,,,,,,,,,
,,2018 - 2019,300,"1,100.00",3.67,,,,,,,,,
,,2019 - 2020,200,800,4,,,,,,,,,
,,2020 - 2021,200,700,3.5,,,,,,,,,
,,2021 - 2022,200,600,3,,,,,,,,,
,,2022 - 2023,200,600,3,,,,,,,,,
,13. Pathankot,2012 - 2013,"1,000.00","3,000.00",3,,,,,,,,,
,14. Patiala,2000 - 2001,"2,000.00","7,000.00",3.5,,,,,,,,,
,,2001 - 2002,"2,000.00","9,000.00",4.5,,,,,,,,,
,,2002 - 2003,"2,000.00","7,000.00",3.5,,,,,,,,,
,,2003 - 2004,"2,000.00","6,000.00",3,,,,,,,,,
,,2004 - 2005,"1,000.00","4,000.00",4,,,,,,,,,
,,2005 - 2006,"1,000.00","4,000.00",4,,,,,,,,,
,,2006 - 2007,"1,000.00","3,000.00",3,,,,,,,,,
,,2007 - 2008,"1,000.00","4,000.00",4,,,,,,,,,
,,2008 - 2009,"1,000.00","4,000.00",4,,,,,,,,,
,,2009 - 2010,"1,000.00","4,000.00",4,,,,,,,,,
,,2010 - 2011,"1,000.00","4,000.00",4,,,,,,,,,
,,2011 - 2012,"1,000.00","5,000.00",5,,,,,,,,,
,,2013 - 2014,"1,000.00","4,000.00",4,,,,,,,,,
,,2014 - 2015,"1,000.00","4,100.00",4.1,,,,,,,,,
,,2015 - 2016,"1,000.00","4,000.00",4,,,,,,,,,
,,2016 - 2017,500,"2,600.00",5.2,,,,,,,,,
,,2017 - 2018,500,"2,700.00",5.4,,,,,,,,,
,,2018 - 2019,400,"1,800.00",4.5,,,,,,,,,
,,2019 - 2020,300,"1,100.00",3.67,,,,,,,,,
,,2020 - 2021,300,"1,200.00",4,,,,,,,,,
,,2021 - 2022,300,900,3,,,,,,,,,
,,2022 - 2023,300,"1,100.00",3.67,,,,,,,,,
,15. Rupnagar,2016 - 2017,100,300,3,,,,,,,,,
,,2017 - 2018,100,400,4,,,,,,,,,
,,2018 - 2019,100,400,4,,,,,,,,,
,,2019 - 2020,100,400,4,,,,,,,,,
,,2020 - 2021,100,500,5,,,,,,,,,
,,2021 - 2022,100,300,3,,,,,,,,,
,,2022 - 2023,100,400,4,,,,,,,,,
,16. S.a.s nagar,2016 - 2017,100,400,4,,,,,,,,,
,,2017 - 2018,100,400,4,,,,,,,,,
,,2019 - 2020,100,300,3,,,,,,,,,
,,2020 - 2021,100,300,3,,,,,,,,,
,,2021 - 2022,100,300,3,,,,,,,,,
,,2022 - 2023,100,200,2,,,,,,,,,
,17. Sangrur,2000 - 2001,"7,000.00","27,000.00",3.86,,,,,,,,,
,,2001 - 2002,"6,000.00","25,000.00",4.17,,,,,,,,,
,,2002 - 2003,"6,000.00","21,000.00",3.5,,,,,,,,,
,,2003 - 2004,"5,000.00","19,000.00",3.8,,,,,,,,,
,,2004 - 2005,"5,000.00","19,000.00",3.8,,,,,,,,,
,,2005 - 2006,"5,000.00","18,000.00",3.6,,,,,,,,,
,,2006 - 2007,"4,000.00","14,000.00",3.5,,,,,,,,,
,,2007 - 2008,"3,000.00","12,000.00",4,,,,,,,,,
,,2008 - 2009,"2,000.00","8,000.00",4,,,,,,,,,
,,2009 - 2010,"2,000.00","7,000.00",3.5,,,,,,,,,
,,2010 - 2011,"2,000.00","8,000.00",4,,,,,,,,,
,,2011 - 2012,"2,000.00","9,000.00",4.5,,,,,,,,,
,,2012 - 2013,"2,000.00","8,000.00",4,,,,,,,,,
,,2013 - 2014,"2,000.00","8,000.00",4,,,,,,,,,
,,2014 - 2015,"2,000.00","7,700.00",3.85,,,,,,,,,
,,2015 - 2016,"2,000.00","7,800.00",3.9,,,,,,,,,
,,2016 - 2017,"1,600.00","6,600.00",4.13,,,,,,,,,
,,2017 - 2018,"1,600.00","6,500.00",4.06,,,,,,,,,
,,2018 - 2019,"1,500.00","5,500.00",3.67,,,,,,,,,
,,2019 - 2020,"1,400.00","6,000.00",4.29,,,,,,,,,
,,2020 - 2021,"1,100.00","4,800.00",4.36,,,,,,,,,
,,2021 - 2022,600,"2,000.00",3.33,,,,,,,,,
,,2022 - 2023,700,"3,000.00",4.29,,,,,,,,,
13. Rajasthan,1. Ajmer,2000 - 2001,"10,190.00","14,804.00",1.45,,,,,,,,,
,,2001 - 2002,"11,416.00","28,683.00",2.51,,,,,,,,,
,,2002 - 2003,"4,212.00","6,825.00",1.62,,,,,,,,,
,,2003 - 2004,"7,332.00","17,822.00",2.43,,,,,,,,,
,,2004 - 2005,"7,539.00","17,792.00",2.36,,,,,,,,,
,,2005 - 2006,"9,904.00","17,315.00",1.75,,,,,,,,,
,,2006 - 2007,"8,809.00","18,989.00",2.16,,,,,,,,,
,,2007 - 2008,"7,225.00","14,843.00",2.05,,,,,,,,,
,,2008 - 2009,"7,878.00","18,410.00",2.34,,,,,,,,,
,,2009 - 2010,"3,933.00","8,653.00",2.2,,,,,,,,,
,,2010 - 2011,"42,326.00","95,624.00",2.26,,,,,,,,,
,,2011 - 2012,"17,419.00","47,441.00",2.72,,,,,,,,,
,,2012 - 2013,"25,897.00","83,940.00",3.24,,,,,,,,,
,,2013 - 2014,"24,526.00","66,304.00",2.7,,,,,,,,,
,,2014 - 2015,"24,530.00","48,292.00",1.97,,,,,,,,,
,,2015 - 2016,"17,597.00","43,542.00",2.47,,,,,,,,,
,,2016 - 2017,"22,170.00","71,117.00",3.21,,,,,,,,,
,,2017 - 2018,"15,625.00","41,057.00",2.63,,,,,,,,,
,,2018 - 2019,"13,866.00","42,626.00",3.07,,,,,,,,,
,,2019 - 2020,"28,896.00","93,375.00",3.23,,,,,,,,,
,,2020 - 2021,"19,631.00","59,635.00",3.04,,,,,,,,,
,,2021 - 2022,"18,374.00","55,911.00",3.04,,,,,,,,,
,,2022 - 2023,"24,021.00","71,774.00",2.99,,,,,,,,,
,2. Alwar,2000 - 2001,"20,863.00","51,656.00",2.48,,,,,,,,,
,,2001 - 2002,"11,307.00","30,729.00",2.72,,,,,,,,,
,,2002 - 2003,"17,855.00","56,537.00",3.17,,,,,,,,,
,,2003 - 2004,"15,587.00","32,297.00",2.07,,,,,,,,,
,,2004 - 2005,"10,935.00","35,022.00",3.2,,,,,,,,,
,,2005 - 2006,"13,127.00","38,002.00",2.89,,,,,,,,,
,,2006 - 2007,"14,233.00","46,311.00",3.25,,,,,,,,,
,,2007 - 2008,"14,246.00","41,485.00",2.91,,,,,,,,,
,,2008 - 2009,"15,725.00","58,074.00",3.69,,,,,,,,,
,,2009 - 2010,"14,533.00","53,906.00",3.71,,,,,,,,,
,,2010 - 2011,"13,011.00","47,301.00",3.64,,,,,,,,,
,,2011 - 2012,"12,565.00","44,924.00",3.58,,,,,,,,,
,,2012 - 2013,"11,423.00","43,310.00",3.79,,,,,,,,,
,,2013 - 2014,"10,718.00","35,016.00",3.27,,,,,,,,,
,,2014 - 2015,"9,609.00","30,514.00",3.18,,,,,,,,,
,,2015 - 2016,"8,551.00","30,698.00",3.59,,,,,,,,,
,,2016 - 2017,"7,764.00","32,337.00",4.16,,,,,,,,,
,,2017 - 2018,"7,418.00","30,933.00",4.17,,,,,,,,,
,,2018 - 2019,"5,741.00","23,316.00",4.06,,,,,,,,,
,,2019 - 2020,"5,034.00","19,393.00",3.85,,,,,,,,,
,,2020 - 2021,"6,902.00","27,828.00",4.03,,,,,,,,,
,,2021 - 2022,"1,574.00","6,638.00",4.22,,,,,,,,,
,,2022 - 2023,"2,660.00","10,388.00",3.91,,,,,,,,,
,3. Banswara,2000 - 2001,"1,085.00","1,070.00",0.99,,,,,,,,,
,,2001 - 2002,"1,080.00","2,892.00",2.68,,,,,,,,,
,,2002 - 2003,"1,380.00","2,374.00",1.72,,,,,,,,,
,,2003 - 2004,"1,316.00","2,172.00",1.65,,,,,,,,,
,,2004 - 2005,"1,748.00","2,740.00",1.57,,,,,,,,,
,,2005 - 2006,"1,221.00","1,822.00",1.49,,,,,,,,,
,,2006 - 2007,"1,298.00","2,383.00",1.84,,,,,,,,,
,,2007 - 2008,"1,257.00","2,067.00",1.64,,,,,,,,,
,,2008 - 2009,"1,026.00",951,0.93,,,,,,,,,
,,2009 - 2010,934,"1,332.00",1.43,,,,,,,,,
,,2010 - 2011,859,"2,448.00",2.85,,,,,,,,,
,,2011 - 2012,"1,023.00","1,623.00",1.59,,,,,,,,,
,,2012 - 2013,"1,032.00","2,162.00",2.09,,,,,,,,,
,,2013 - 2014,"1,085.00","2,037.00",1.88,,,,,,,,,
,,2014 - 2015,835,"1,615.00",1.93,,,,,,,,,
,,2015 - 2016,980,"1,782.00",1.82,,,,,,,,,
,,2016 - 2017,965,"3,181.00",3.3,,,,,,,,,
,,2017 - 2018,888,"2,952.00",3.32,,,,,,,,,
,,2018 - 2019,783,"2,817.00",3.6,,,,,,,,,
,,2019 - 2020,529,"1,866.00",3.53,,,,,,,,,
,,2020 - 2021,528,"1,848.00",3.5,,,,,,,,,
,,2021 - 2022,576,"2,043.00",3.55,,,,,,,,,
,,2022 - 2023,"1,184.00","4,029.00",3.4,,,,,,,,,
,4. Baran,2000 - 2001,706,"1,282.00",1.82,,,,,,,,,
,,2001 - 2002,439,"1,129.00",2.57,,,,,,,,,
,,2002 - 2003,362,843,2.33,,,,,,,,,
,,2003 - 2004,319,717,2.25,,,,,,,,,
,,2004 - 2005,192,457,2.38,,,,,,,,,
,,2005 - 2006,256,582,2.27,,,,,,,,,
,,2006 - 2007,376,958,2.55,,,,,,,,,
,,2007 - 2008,396,857,2.16,,,,,,,,,
,,2008 - 2009,298,912,3.06,,,,,,,,,
,,2009 - 2010,356,988,2.78,,,,,,,,,
,,2010 - 2011,559,"1,593.00",2.85,,,,,,,,,
,,2011 - 2012,334,948,2.84,,,,,,,,,
,,2012 - 2013,316,983,3.11,,,,,,,,,
,,2013 - 2014,207,630,3.04,,,,,,,,,
,,2014 - 2015,253,709,2.8,,,,,,,,,
,,2015 - 2016,262,784,2.99,,,,,,,,,
,,2016 - 2017,305,"1,005.00",3.3,,,,,,,,,
,,2017 - 2018,123,409,3.33,,,,,,,,,
,,2018 - 2019,71,255,3.59,,,,,,,,,
,,2019 - 2020,123,434,3.53,,,,,,,,,
,,2020 - 2021,177,620,3.5,,,,,,,,,
,,2021 - 2022,54,192,3.56,,,,,,,,,
,,2022 - 2023,293,997,3.4,,,,,,,,,
,5. Barmer,2000 - 2001,57,103,1.81,,,,,,,,,
,,2001 - 2002,15,39,2.6,,,,,,,,,
,,2002 - 2003,147,342,2.33,,,,,,,,,
,,2003 - 2004,26,58,2.23,,,,,,,,,
,,2004 - 2005,62,148,2.39,,,,,,,,,
,,2005 - 2006,84,191,2.27,,,,,,,,,
,,2006 - 2007,53,135,2.55,,,,,,,,,
,,2007 - 2008,72,156,2.17,,,,,,,,,
,,2008 - 2009,56,171,3.05,,,,,,,,,
,,2009 - 2010,67,186,2.78,,,,,,,,,
,,2010 - 2011,43,123,2.86,,,,,,,,,
,,2011 - 2012,20,57,2.85,,,,,,,,,
,,2012 - 2013,21,65,3.1,,,,,,,,,
,,2013 - 2014,4,12,3,,,,,,,,,
,,2014 - 2015,35,98,2.8,,,,,,,,,
,,2015 - 2016,15,45,3,,,,,,,,,
,,2016 - 2017,23,76,3.3,,,,,,,,,
,,2017 - 2018,24,80,3.33,,,,,,,,,
,,2018 - 2019,39,140,3.59,,,,,,,,,
,,2019 - 2020,27,95,3.52,,,,,,,,,
,,2020 - 2021,22,77,3.5,,,,,,,,,
,,2021 - 2022,60,213,3.55,,,,,,,,,
,,2022 - 2023,33,112,3.39,,,,,,,,,
,6. Bharatpur,2000 - 2001,"5,400.00","11,423.00",2.12,,,,,,,,,
,,2001 - 2002,"4,749.00","14,146.00",2.98,,,,,,,,,
,,2002 - 2003,"5,170.00","13,754.00",2.66,,,,,,,,,
,,2003 - 2004,"3,892.00","12,623.00",3.24,,,,,,,,,
,,2004 - 2005,"2,494.00","6,318.00",2.53,,,,,,,,,
,,2005 - 2006,"2,906.00","7,846.00",2.7,,,,,,,,,
,,2006 - 2007,"4,002.00","11,913.00",2.98,,,,,,,,,
,,2007 - 2008,"4,581.00","12,034.00",2.63,,,,,,,,,
,,2008 - 2009,"3,592.00","12,612.00",3.51,,,,,,,,,
,,2009 - 2010,"3,593.00","11,419.00",3.18,,,,,,,,,
,,2010 - 2011,"2,708.00","8,157.00",3.01,,,,,,,,,
,,2011 - 2012,"2,674.00","9,554.00",3.57,,,,,,,,,
,,2012 - 2013,"2,102.00","7,754.00",3.69,,,,,,,,,
,,2013 - 2014,"2,089.00","6,363.00",3.05,,,,,,,,,
,,2014 - 2015,"2,659.00","7,454.00",2.8,,,,,,,,,
,,2015 - 2016,"2,212.00","6,621.00",2.99,,,,,,,,,
,,2016 - 2017,"2,081.00","6,860.00",3.3,,,,,,,,,
,,2017 - 2018,"2,119.00","7,043.00",3.32,,,,,,,,,
,,2018 - 2019,"1,733.00","6,234.00",3.6,,,,,,,,,
,,2019 - 2020,"1,205.00","4,250.00",3.53,,,,,,,,,
,,2020 - 2021,"1,284.00","4,495.00",3.5,,,,,,,,,
,,2021 - 2022,418,"1,483.00",3.55,,,,,,,,,
,,2022 - 2023,318,"1,082.00",3.4,,,,,,,,,
,7. Bhilwara,2000 - 2001,"7,806.00","15,189.00",1.95,,,,,,,,,
,,2001 - 2002,"12,605.00","31,203.00",2.48,,,,,,,,,
,,2002 - 2003,"3,339.00","4,984.00",1.49,,,,,,,,,
,,2003 - 2004,"4,958.00","8,852.00",1.79,,,,,,,,,
,,2004 - 2005,"10,666.00","24,933.00",2.34,,,,,,,,,
,,2005 - 2006,"11,662.00","27,809.00",2.38,,,,,,,,,
,,2006 - 2007,"19,985.00","50,013.00",2.5,,,,,,,,,
,,2007 - 2008,"13,989.00","28,625.00",2.05,,,,,,,,,
,,2008 - 2009,"9,432.00","20,174.00",2.14,,,,,,,,,
,,2009 - 2010,"6,666.00","14,611.00",2.19,,,,,,,,,
,,2010 - 2011,"29,884.00","73,327.00",2.45,,,,,,,,,
,,2011 - 2012,"22,901.00","60,946.00",2.66,,,,,,,,,
,,2012 - 2013,"24,901.00","72,304.00",2.9,,,,,,,,,
,,2013 - 2014,"25,589.00","72,880.00",2.85,,,,,,,,,
,,2014 - 2015,"25,607.00","45,384.00",1.77,,,,,,,,,
,,2015 - 2016,"16,641.00","37,869.00",2.28,,,,,,,,,
,,2016 - 2017,"26,311.00","79,423.00",3.02,,,,,,,,,
,,2017 - 2018,"21,360.00","63,042.00",2.95,,,,,,,,,
,,2018 - 2019,"19,124.00","60,018.00",3.14,,,,,,,,,
,,2019 - 2020,"26,077.00","87,739.00",3.36,,,,,,,,,
,,2020 - 2021,"21,791.00","75,826.00",3.48,,,,,,,,,
,,2021 - 2022,"21,898.00","68,696.00",3.14,,,,,,,,,
,,2022 - 2023,"26,486.00","80,691.00",3.05,,,,,,,,,
,8. Bikaner,2000 - 2001,"1,294.00","2,349.00",1.82,,,,,,,,,
,,2001 - 2002,751,"1,931.00",2.57,,,,,,,,,
,,2002 - 2003,"1,639.00","3,818.00",2.33,,,,,,,,,
,,2003 - 2004,"1,450.00","3,260.00",2.25,,,,,,,,,
,,2004 - 2005,"1,435.00","3,416.00",2.38,,,,,,,,,
,,2005 - 2006,"2,145.00","4,872.00",2.27,,,,,,,,,
,,2006 - 2007,"2,086.00","3,460.00",1.66,,,,,,,,,
,,2007 - 2008,"2,295.00","2,251.00",0.98,,,,,,,,,
,,2008 - 2009,"3,143.00","5,991.00",1.91,,,,,,,,,
,,2009 - 2010,"4,071.00","4,148.00",1.02,,,,,,,,,
,,2010 - 2011,"3,353.00","6,490.00",1.94,,,,,,,,,
,,2011 - 2012,"3,604.00","9,183.00",2.55,,,,,,,,,
,,2012 - 2013,"3,760.00","9,107.00",2.42,,,,,,,,,
,,2013 - 2014,"4,015.00","9,749.00",2.43,,,,,,,,,
,,2014 - 2015,"5,560.00","12,015.00",2.16,,,,,,,,,
,,2015 - 2016,"6,472.00","15,117.00",2.34,,,,,,,,,
,,2016 - 2017,"4,521.00","8,416.00",1.86,,,,,,,,,
,,2017 - 2018,"4,829.00","10,661.00",2.21,,,,,,,,,
,,2018 - 2019,"3,095.00","7,837.00",2.53,,,,,,,,,
,,2019 - 2020,"8,765.00","24,522.00",2.8,,,,,,,,,
,,2020 - 2021,"5,436.00","12,024.00",2.21,,,,,,,,,
,,2021 - 2022,"4,728.00","12,892.00",2.73,,,,,,,,,
,,2022 - 2023,"14,110.00","37,272.00",2.64,,,,,,,,,
,9. Bundi,2000 - 2001,"1,799.00","2,847.00",1.58,,,,,,,,,
,,2001 - 2002,"1,412.00","2,630.00",1.86,,,,,,,,,
,,2002 - 2003,"1,055.00","1,756.00",1.66,,,,,,,,,
,,2003 - 2004,"1,075.00","2,647.00",2.46,,,,,,,,,
,,2004 - 2005,584,"1,400.00",2.4,,,,,,,,,
,,2005 - 2006,700,"1,590.00",2.27,,,,,,,,,
,,2006 - 2007,825,"2,101.00",2.55,,,,,,,,,
,,2007 - 2008,807,"1,746.00",2.16,,,,,,,,,
,,2008 - 2009,756,"2,314.00",3.06,,,,,,,,,
,,2009 - 2010,664,"1,842.00",2.77,,,,,,,,,
,,2010 - 2011,"1,073.00","3,058.00",2.85,,,,,,,,,
,,2011 - 2012,"1,403.00","3,983.00",2.84,,,,,,,,,
,,2012 - 2013,"1,351.00","4,203.00",3.11,,,,,,,,,
,,2013 - 2014,859,"2,616.00",3.05,,,,,,,,,
,,2014 - 2015,724,"2,030.00",2.8,,,,,,,,,
,,2015 - 2016,723,"2,164.00",2.99,,,,,,,,,
,,2016 - 2017,"1,040.00","3,429.00",3.3,,,,,,,,,
,,2017 - 2018,"1,890.00","6,282.00",3.32,,,,,,,,,
,,2018 - 2019,"1,599.00","5,752.00",3.6,,,,,,,,,
,,2019 - 2020,"2,816.00","9,933.00",3.53,,,,,,,,,
,,2020 - 2021,"1,614.00","5,650.00",3.5,,,,,,,,,
,,2021 - 2022,482,"1,710.00",3.55,,,,,,,,,
,,2022 - 2023,"1,634.00","5,561.00",3.4,,,,,,,,,
,10. Chittorgarh,2000 - 2001,"3,050.00","5,944.00",1.95,,,,,,,,,
,,2001 - 2002,"3,258.00","8,598.00",2.64,,,,,,,,,
,,2002 - 2003,"1,655.00","3,729.00",2.25,,,,,,,,,
,,2003 - 2004,"2,599.00","5,625.00",2.16,,,,,,,,,
,,2004 - 2005,"3,273.00","7,625.00",2.33,,,,,,,,,
,,2005 - 2006,"4,690.00","8,435.00",1.8,,,,,,,,,
,,2006 - 2007,"5,905.00","15,538.00",2.63,,,,,,,,,
,,2007 - 2008,"5,960.00","10,343.00",1.74,,,,,,,,,
,,2008 - 2009,"5,519.00","16,508.00",2.99,,,,,,,,,
,,2009 - 2010,"4,427.00","12,775.00",2.89,,,,,,,,,
,,2010 - 2011,"6,939.00","17,611.00",2.54,,,,,,,,,
,,2011 - 2012,"7,712.00","23,742.00",3.08,,,,,,,,,
,,2012 - 2013,"7,131.00","23,756.00",3.33,,,,,,,,,
,,2013 - 2014,"8,037.00","27,196.00",3.38,,,,,,,,,
,,2014 - 2015,"9,954.00","21,999.00",2.21,,,,,,,,,
,,2015 - 2016,"9,170.00","24,932.00",2.72,,,,,,,,,
,,2016 - 2017,"9,579.00","34,503.00",3.6,,,,,,,,,
,,2017 - 2018,"9,680.00","31,750.00",3.28,,,,,,,,,
,,2018 - 2019,"8,312.00","28,540.00",3.43,,,,,,,,,
,,2019 - 2020,"9,582.00","32,358.00",3.38,,,,,,,,,
,,2020 - 2021,"8,174.00","30,345.00",3.71,,,,,,,,,
,,2021 - 2022,"6,111.00","21,938.00",3.59,,,,,,,,,
,,2022 - 2023,"9,309.00","33,373.00",3.59,,,,,,,,,
,11. Churu,2000 - 2001,"3,256.00","3,745.00",1.15,,,,,,,,,
,,2001 - 2002,"1,125.00",729,0.65,,,,,,,,,
,,2002 - 2003,"4,873.00","4,934.00",1.01,,,,,,,,,
,,2003 - 2004,"3,563.00","3,526.00",0.99,,,,,,,,,
,,2004 - 2005,"2,912.00","3,622.00",1.24,,,,,,,,,
,,2005 - 2006,"3,581.00","3,587.00",1,,,,,,,,,
,,2006 - 2007,"4,298.00","7,130.00",1.66,,,,,,,,,
,,2007 - 2008,"4,006.00","3,930.00",0.98,,,,,,,,,
,,2008 - 2009,"4,847.00","9,820.00",2.03,,,,,,,,,
,,2009 - 2010,"4,922.00","13,080.00",2.66,,,,,,,,,
,,2010 - 2011,"7,170.00","11,298.00",1.58,,,,,,,,,
,,2011 - 2012,"5,033.00","7,205.00",1.43,,,,,,,,,
,,2012 - 2013,"7,568.00","17,142.00",2.27,,,,,,,,,
,,2013 - 2014,"7,084.00","16,450.00",2.32,,,,,,,,,
,,2014 - 2015,"8,114.00","14,918.00",1.84,,,,,,,,,
,,2015 - 2016,"5,666.00","14,392.00",2.54,,,,,,,,,
,,2016 - 2017,"6,674.00","15,978.00",2.39,,,,,,,,,
,,2017 - 2018,"7,728.00","17,789.00",2.3,,,,,,,,,
,,2018 - 2019,"6,236.00","15,813.00",2.54,,,,,,,,,
,,2019 - 2020,"13,468.00","29,106.00",2.16,,,,,,,,,
,,2020 - 2021,"8,627.00","17,411.00",2.02,,,,,,,,,
,,2021 - 2022,"6,127.00","15,898.00",2.59,,,,,,,,,
,,2022 - 2023,"12,420.00","28,558.00",2.3,,,,,,,,,
,12. Dausa,2000 - 2001,"7,527.00","16,311.00",2.17,,,,,,,,,
,,2001 - 2002,"6,495.00","18,428.00",2.84,,,,,,,,,
,,2002 - 2003,"8,391.00","19,318.00",2.3,,,,,,,,,
,,2003 - 2004,"7,573.00","20,840.00",2.75,,,,,,,,,
,,2004 - 2005,"6,046.00","11,586.00",1.92,,,,,,,,,
,,2005 - 2006,"6,026.00","13,625.00",2.26,,,,,,,,,
,,2006 - 2007,"6,589.00","12,277.00",1.86,,,,,,,,,
,,2007 - 2008,"6,943.00","16,167.00",2.33,,,,,,,,,
,,2008 - 2009,"8,467.00","23,870.00",2.82,,,,,,,,,
,,2009 - 2010,"7,639.00","19,250.00",2.52,,,,,,,,,
,,2010 - 2011,"7,722.00","21,731.00",2.81,,,,,,,,,
,,2011 - 2012,"6,825.00","19,342.00",2.83,,,,,,,,,
,,2012 - 2013,"7,284.00","23,587.00",3.24,,,,,,,,,
,,2013 - 2014,"7,129.00","20,516.00",2.88,,,,,,,,,
,,2014 - 2015,"6,785.00","20,052.00",2.96,,,,,,,,,
,,2015 - 2016,"5,627.00","17,542.00",3.12,,,,,,,,,
,,2016 - 2017,"6,372.00","21,209.00",3.33,,,,,,,,,
,,2017 - 2018,"5,515.00","20,322.00",3.68,,,,,,,,,
,,2018 - 2019,"4,675.00","17,709.00",3.79,,,,,,,,,
,,2019 - 2020,"5,527.00","18,740.00",3.39,,,,,,,,,
,,2020 - 2021,"5,543.00","19,404.00",3.5,,,,,,,,,
,,2021 - 2022,"3,171.00","11,247.00",3.55,,,,,,,,,
,,2022 - 2023,"5,738.00","19,527.00",3.4,,,,,,,,,
,13. Dholpur,2000 - 2001,568,"1,031.00",1.82,,,,,,,,,
,,2001 - 2002,835,"2,148.00",2.57,,,,,,,,,
,,2002 - 2003,"1,207.00","2,811.00",2.33,,,,,,,,,
,,2003 - 2004,945,"2,125.00",2.25,,,,,,,,,
,,2004 - 2005,621,"1,478.00",2.38,,,,,,,,,
