State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2008 - 2009,,,,"10,488.00",839,0.08,,,,,,
,,2009 - 2010,171,29,0.17,"12,353.00","2,088.00",0.17,,,,,,
,,2010 - 2011,23,7,0.3,"19,759.00","5,691.00",0.29,,,,,,
,,2011 - 2012,81,20,0.25,"8,998.00","2,250.00",0.25,,,,,,
,,2012 - 2013,,,,"10,000.00","1,000.00",0.1,,,,,,
,,2013 - 2014,31,9,0.29,"8,085.00","2,442.00",0.3,,,,,,
,,2014 - 2015,24,4,0.17,"2,367.00",360,0.15,,,,,,
,,2015 - 2016,54,22,0.41,"7,709.00","3,084.00",0.4,,,,,,
,,2016 - 2017,32,6,0.19,"17,885.00","3,488.00",0.2,,,,,,
,,2017 - 2018,110,33,0.3,"8,848.00","2,672.00",0.3,,,,,,
,,2018 - 2019,121,17,0.14,"4,178.00",602,0.14,,,,,,
,,2019 - 2020,186,66,0.35,"4,187.00","1,482.00",0.35,,,,,,
,,2020 - 2021,127,22,0.17,"7,152.00","1,266.00",0.18,,,,,,
,,2021 - 2022,35,3,0.09,"4,301.00",348,0.08,,,,,,
,,2022 - 2023,133,41,0.31,"3,649.00",777,0.21,,,,,,
,11. Kakinada,2022 - 2023,,,,38,14,0.37,,,,,,
,12. Konaseema,2022 - 2023,,,,89,32,0.36,,,,,,
,13. Krishna,2000 - 2001,65,42,0.65,"9,762.00","6,316.00",0.65,,,,,,
,,2001 - 2002,80,51,0.64,"7,714.00","4,922.00",0.64,,,,,,
,,2002 - 2003,126,58,0.46,"7,425.00","3,438.00",0.46,,,,,,
,,2003 - 2004,,,,"9,632.00","6,357.00",0.66,,,,,,
,,2004 - 2005,12,7,0.58,"8,614.00","4,789.00",0.56,,,,,,
,,2005 - 2006,,,,"7,158.00","3,143.00",0.44,,,,,,
,,2006 - 2007,,,,"6,389.00","3,750.00",0.59,,,,,,
,,2007 - 2008,,,,"4,000.00","3,000.00",0.75,,,,,,
,,2008 - 2009,,,,"3,461.00","2,108.00",0.61,,,,,,
,,2009 - 2010,243,176,0.72,"3,073.00","2,222.00",0.72,,,,,,
,,2010 - 2011,159,72,0.45,"4,012.00","1,809.00",0.45,,,,,,
,,2011 - 2012,1,1,1,"3,133.00","1,889.00",0.6,,,,,,
,,2012 - 2013,,,,"2,000.00","1,000.00",0.5,,,,,,
,,2013 - 2014,,,,978,577,0.59,,,,,,
,,2014 - 2015,,,,607,403,0.66,,,,,,
,,2015 - 2016,,,,"1,114.00",761,0.68,,,,,,
,,2016 - 2017,14,14,1,"2,125.00","2,125.00",1,,,,,,
,,2017 - 2018,,,,"2,277.00","3,097.00",1.36,,,,,,
,,2018 - 2019,144,118,0.82,"1,972.00","1,615.00",0.82,,,,,,
,,2019 - 2020,6,3,0.5,"1,013.00",485,0.48,,,,,,
,,2020 - 2021,,,,379,287,0.76,,,,,,
,,2021 - 2022,,,,924,988,1.07,,,,,,
,,2022 - 2023,,,,5,2,0.4,,,,,,
,14. Kurnool,2000 - 2001,336,150,0.45,"38,108.00","16,996.00",0.45,,,,,,
,,2001 - 2002,958,366,0.38,"26,743.00","10,216.00",0.38,,,,,,
,,2002 - 2003,622,261,0.42,"31,397.00","13,187.00",0.42,,,,,,
,,2003 - 2004,197,80,0.41,"33,380.00","13,552.00",0.41,,,,,,
,,2004 - 2005,318,140,0.44,"33,205.00","14,643.00",0.44,,,,,,
,,2005 - 2006,,,,"35,437.00","25,869.00",0.73,,,,,,
,,2006 - 2007,202,60,0.3,"32,801.00","9,742.00",0.3,,,,,,
,,2007 - 2008,,,,"34,000.00","22,000.00",0.65,,,,,,
,,2008 - 2009,162,56,0.35,"30,259.00","10,470.00",0.35,,,,,,
,,2009 - 2010,"3,257.00","1,668.00",0.51,"30,703.00","15,720.00",0.51,,,,,,
,,2010 - 2011,"2,081.00",889,0.43,"68,092.00","29,075.00",0.43,,,,,,
,,2011 - 2012,760,201,0.26,"48,261.00","12,789.00",0.26,,,,,,
,,2012 - 2013,,,,"50,000.00","25,000.00",0.5,,,,,,
,,2013 - 2014,531,222,0.42,"42,964.00","17,959.00",0.42,,,,,,
,,2014 - 2015,496,212,0.43,"43,233.00","18,460.00",0.43,,,,,,
,,2015 - 2016,"2,532.00",896,0.35,"56,949.00","20,160.00",0.35,,,,,,
,,2016 - 2017,"2,023.00",714,0.35,"1,11,296.00","39,287.00",0.35,,,,,,
,,2017 - 2018,"1,107.00",487,0.44,"64,482.00","28,372.00",0.44,,,,,,
,,2018 - 2019,"2,315.00",403,0.17,"67,342.00","11,718.00",0.17,,,,,,
,,2019 - 2020,"3,363.00","2,018.00",0.6,"67,627.00","40,576.00",0.6,,,,,,
,,2020 - 2021,"4,254.00","2,140.00",0.5,"58,476.00","29,413.00",0.5,,,,,,
,,2021 - 2022,"1,340.00",402,0.3,"62,012.00","18,604.00",0.3,,,,,,
,,2022 - 2023,94,29,0.31,"19,719.00","11,989.00",0.61,,,,,,
,15. Nandyal,2022 - 2023,"1,448.00",442,0.31,"32,223.00","13,856.00",0.43,,,,,,
,16. Ntr,2022 - 2023,,,,257,287,1.12,,,,,,
,17. Palnadu,2022 - 2023,"1,342.00",482,0.36,"18,352.00","18,701.00",1.02,,,,,,
,18. Parvathipuram manyam,2022 - 2023,,,,562,260,0.46,,,,,,
,19. Prakasam,2000 - 2001,420,265,0.63,"95,553.00","60,198.00",0.63,,,,,,
,,2001 - 2002,667,321,0.48,"60,581.00","29,139.00",0.48,,,,,,
,,2002 - 2003,650,146,0.22,"54,781.00","12,271.00",0.22,,,,,,
,,2003 - 2004,398,138,0.35,"78,397.00","27,125.00",0.35,,,,,,
,,2004 - 2005,68,39,0.57,"80,029.00","45,456.00",0.57,,,,,,
,,2005 - 2006,,,,"81,126.00","42,024.00",0.52,,,,,,
,,2006 - 2007,76,21,0.28,"34,603.00","9,377.00",0.27,,,,,,
,,2007 - 2008,,,,"82,000.00","64,000.00",0.78,,,,,,
,,2008 - 2009,5,1,0.2,"68,331.00","19,884.00",0.29,,,,,,
,,2009 - 2010,189,95,0.5,"49,762.00","24,981.00",0.5,,,,,,
,,2010 - 2011,,,,"87,971.00","30,174.00",0.34,,,,,,
,,2011 - 2012,,,,"38,173.00","12,444.00",0.33,,,,,,
,,2012 - 2013,,,,"57,000.00","38,000.00",0.67,,,,,,
