State,District,Year,Arhar/Tur,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,50,46,0.92,,,,,,
,,2013 - 2014,,,,52,51,0.98,,,,,,
,,2014 - 2015,,,,83,85,1.02,,,,,,
,,2015 - 2016,,,,85,96,1.13,,,,,,
,,2016 - 2017,,,,85,99,1.16,,,,,,
,,2017 - 2018,,,,85,98,1.15,,,,,,
,,2018 - 2019,,,,75,84,1.12,,,,,,
,2. Chandel,2008 - 2009,,,,84,72,0.86,,,,,,
,,2010 - 2011,,,,41,34,0.83,,,,,,
,,2011 - 2012,,,,92,74.7,0.81,,,,,,
,,2012 - 2013,,,,52,48,0.92,,,,,,
,,2013 - 2014,,,,72,70,0.97,,,,,,
,,2014 - 2015,,,,43,42,0.98,,,,,,
,,2015 - 2016,,,,43,46,1.07,,,,,,
,,2016 - 2017,,,,43,47,1.09,,,,,,
,,2017 - 2018,,,,43,45,1.05,,,,,,
,,2018 - 2019,,,,45,52,1.16,,,,,,
,3. Churachandpur,2008 - 2009,,,,77,85,1.1,,,,,,
,,2009 - 2010,,,,5,3,0.6,,,,,,
,,2010 - 2011,,,,64,61,0.95,,,,,,
,,2011 - 2012,,,,88,88.5,1.01,,,,,,
,,2012 - 2013,,,,60,56,0.93,,,,,,
,,2013 - 2014,,,,80,80,1,,,,,,
,,2014 - 2015,,,,65,62,0.95,,,,,,
,,2015 - 2016,,,,65,70,1.08,,,,,,
,,2016 - 2017,,,,65,70,1.08,,,,,,
,,2017 - 2018,,,,65,70,1.08,,,,,,
,,2018 - 2019,,,,65,53,0.82,,,,,,
,4. Imphal east,2008 - 2009,,,,60,73,1.22,,,,,,
,,2009 - 2010,,,,25,23,0.92,,,,,,
,,2010 - 2011,,,,55,67.1,1.22,,,,,,
,,2011 - 2012,,,,52,52,1,,,,,,
,,2012 - 2013,,,,50,44,0.88,,,,,,
,,2013 - 2014,,,,50,44,0.88,,,,,,
,,2014 - 2015,,,,65,66,1.02,,,,,,
,,2015 - 2016,,,,65,66,1.02,,,,,,
,,2016 - 2017,,,,65,73,1.12,,,,,,
,,2017 - 2018,,,,60,67,1.12,,,,,,
,,2018 - 2019,,,,60,59,0.98,,,,,,
,5. Imphal west,2008 - 2009,,,,54,70,1.3,,,,,,
,,2009 - 2010,,,,34,30,0.88,,,,,,
,,2010 - 2011,,,,58,67.3,1.16,,,,,,
,,2011 - 2012,,,,45,42.8,0.95,,,,,,
,,2012 - 2013,,,,45,37,0.82,,,,,,
,,2013 - 2014,,,,45,41,0.91,,,,,,
,,2014 - 2015,,,,45,45,1,,,,,,
,,2015 - 2016,,,,64,72,1.13,,,,,,
,,2016 - 2017,,,,64,77,1.2,,,,,,
,,2017 - 2018,,,,64,77,1.2,,,,,,
,,2018 - 2019,,,,80,89,1.11,,,,,,
,6. Senapati,2003 - 2004,,,,40,20,0.5,,,,,,
,,2008 - 2009,,,,48,53,1.1,,,,,,
,,2009 - 2010,,,,5,3,0.6,,,,,,
,,2010 - 2011,,,,48,47,0.98,,,,,,
,,2011 - 2012,,,,48,44.1,0.92,,,,,,
,,2012 - 2013,,,,48,47,0.98,,,,,,
,,2013 - 2014,,,,65,64,0.98,,,,,,
,,2014 - 2015,,,,64,64,1,,,,,,
,,2015 - 2016,,,,64,71,1.11,,,,,,
,,2016 - 2017,,,,64,71,1.11,,,,,,
,,2017 - 2018,,,,66,78,1.18,,,,,,
,,2018 - 2019,,,,67,78,1.16,,,,,,
,7. Tamenglong,2008 - 2009,,,,54,57,1.06,,,,,,
,,2009 - 2010,,,,3,2,0.67,,,,,,
,,2010 - 2011,,,,42,40,0.95,,,,,,
,,2011 - 2012,,,,43,40,0.93,,,,,,
,,2012 - 2013,,,,43,39,0.91,,,,,,
,,2013 - 2014,,,,71,66,0.93,,,,,,
,,2014 - 2015,,,,43,41,0.95,,,,,,
,,2015 - 2016,,,,44,45,1.02,,,,,,
,,2016 - 2017,,,,44,49,1.11,,,,,,
,,2017 - 2018,,,,41,45,1.1,,,,,,
,,2018 - 2019,,,,41,44,1.07,,,,,,
,8. Thoubal,2008 - 2009,,,,54,61,1.13,,,,,,
,,2009 - 2010,,,,54,51,0.94,,,,,,
,,2010 - 2011,,,,55,55.6,1.01,,,,,,
,,2011 - 2012,,,,55,50,0.91,,,,,,
,,2012 - 2013,,,,60,48,0.8,,,,,,
,,2013 - 2014,,,,60,58,0.97,,,,,,
,,2014 - 2015,,,,60,58,0.97,,,,,,
,,2015 - 2016,,,,60,67,1.12,,,,,,
,,2016 - 2017,,,,60,66,1.1,,,,,,
,,2017 - 2018,,,,60,60,1,,,,,,
,,2018 - 2019,,,,58,58,1,,,,,,
,9. Ukhrul,2008 - 2009,,,,34,40,1.18,,,,,,
,,2009 - 2010,,,,7,5,0.71,,,,,,
,,2010 - 2011,,,,37,41,1.11,,,,,,
,,2011 - 2012,,,,37,42,1.14,,,,,,
,,2012 - 2013,,,,37,42,1.14,,,,,,
,,2013 - 2014,,,,45,47,1.04,,,,,,
,,2014 - 2015,,,,43,44,1.02,,,,,,
,,2015 - 2016,,,,43,48,1.12,,,,,,
,,2016 - 2017,,,,43,51,1.19,,,,,,
,,2017 - 2018,,,,43,55,1.28,,,,,,
,,2018 - 2019,,,,43,43,1,,,,,,
19. Meghalaya,1. East garo hills,2000 - 2001,,,,109,92,0.84,,,,,,
,,2001 - 2002,,,,110,93,0.85,,,,,,
,,2002 - 2003,,,,105,89,0.85,,,,,,
,,2003 - 2004,,,,105,95,0.9,,,,,,
,,2004 - 2005,,,,99,89,0.9,,,,,,
,,2005 - 2006,,,,96,84,0.88,,,,,,
,,2007 - 2008,,,,91,78,0.86,,,,,,
,,2008 - 2009,,,,84,72,0.86,,,,,,
,,2009 - 2010,,,,73,63,0.86,,,,,,
,,2010 - 2011,,,,78,67,0.86,,,,,,
,,2011 - 2012,,,,82,71,0.87,,,,,,
,,2012 - 2013,,,,117,109,0.93,,,,,,
,,2013 - 2014,,,,70,67,0.96,,,,,,
,,2014 - 2015,,,,71,69,0.97,,,,,,
,,2015 - 2016,,,,72,71,0.99,,,,,,
,,2016 - 2017,,,,73,72,0.99,,,,,,
,,2017 - 2018,,,,74,73,0.99,,,,,,
,,2018 - 2019,,,,75,74,0.99,,,,,,
,,2019 - 2020,,,,75,74,0.99,,,,,,
,,2020 - 2021,,,,75,74,0.99,,,,,,
,,2021 - 2022,,,,75,74,0.99,,,,,,
,,2022 - 2023,,,,93,92,0.99,,,,,,
,2. North garo hills,2013 - 2014,,,,48,45,0.94,,,,,,
,,2014 - 2015,,,,48,46,0.96,,,,,,
,,2015 - 2016,,,,48,47,0.98,,,,,,
,,2016 - 2017,,,,48,48,1,,,,,,
,,2017 - 2018,,,,48,48,1,,,,,,
,,2018 - 2019,,,,49,49,1,,,,,,
,,2019 - 2020,,,,50,50,1,,,,,,
,,2020 - 2021,,,,50,50,1,,,,,,
,,2021 - 2022,,,,50,50,1,,,,,,
,,2022 - 2023,,,,51,51,1,,,,,,
,3. South garo hills,2000 - 2001,,,,100,78,0.78,,,,,,
,,2001 - 2002,,,,96,74,0.77,,,,,,
,,2002 - 2003,,,,93,71,0.76,,,,,,
,,2003 - 2004,,,,95,71,0.75,,,,,,
,,2004 - 2005,,,,93,69,0.74,,,,,,
,,2005 - 2006,,,,93,68,0.73,,,,,,
,,2007 - 2008,,,,91,67,0.74,,,,,,
,,2008 - 2009,,,,88,65,0.74,,,,,,
,,2009 - 2010,,,,92,67,0.73,,,,,,
,,2010 - 2011,,,,93,68,0.73,,,,,,
,,2011 - 2012,,,,94,69,0.73,,,,,,
,,2012 - 2013,,,,134,100,0.75,,,,,,
,,2013 - 2014,,,,135,102,0.76,,,,,,
,,2014 - 2015,,,,136,105,0.77,,,,,,
,,2015 - 2016,,,,137,106,0.77,,,,,,
,,2016 - 2017,,,,139,107,0.77,,,,,,
,,2017 - 2018,,,,140,108,0.77,,,,,,
,,2018 - 2019,,,,141,109,0.77,,,,,,
,,2019 - 2020,,,,141,109,0.77,,,,,,
,,2020 - 2021,,,,142,110,0.77,,,,,,
,,2021 - 2022,,,,143,111,0.78,,,,,,
,,2022 - 2023,,,,144,112,0.78,,,,,,
,4. South west garo hills,2013 - 2014,,,,315,439,1.39,,,,,,
,,2014 - 2015,,,,316,444,1.41,,,,,,
,,2015 - 2016,,,,317,450,1.42,,,,,,
,,2016 - 2017,,,,322,457,1.42,,,,,,
,,2017 - 2018,,,,323,459,1.42,,,,,,
,,2018 - 2019,,,,324,461,1.42,,,,,,
,,2019 - 2020,,,,325,464,1.43,,,,,,
,,2020 - 2021,,,,326,467,1.43,,,,,,
,,2021 - 2022,,,,327,470,1.44,,,,,,
,,2022 - 2023,,,,328,473,1.44,,,,,,
,5. West garo hills,2000 - 2001,,,,654,471,0.72,,,,,,
,,2001 - 2002,,,,612,464,0.76,,,,,,
,,2002 - 2003,,,,612,472,0.77,,,,,,
,,2003 - 2004,,,,612,473,0.77,,,,,,
,,2004 - 2005,,,,612,475,0.78,,,,,,
,,2005 - 2006,,,,615,481,0.78,,,,,,
,,2007 - 2008,,,,622,489,0.79,,,,,,
,,2008 - 2009,,,,622,490,0.79,,,,,,
,,2009 - 2010,,,,616,482,0.78,,,,,,
,,2010 - 2011,,,,608,476,0.78,,,,,,
,,2011 - 2012,,,,612,781,1.28,,,,,,
,,2012 - 2013,,,,885,"1,181.00",1.33,,,,,,
,,2013 - 2014,,,,573,772,1.35,,,,,,
,,2014 - 2015,,,,577,801,1.39,,,,,,
,,2015 - 2016,,,,579,819,1.41,,,,,,
,,2016 - 2017,,,,591,833,1.41,,,,,,
,,2017 - 2018,,,,593,837,1.41,,,,,,
,,2018 - 2019,,,,594,839,1.41,,,,,,
,,2019 - 2020,,,,595,843,1.42,,,,,,
,,2020 - 2021,,,,596,847,1.42,,,,,,
,,2021 - 2022,,,,597,851,1.43,,,,,,
,,2022 - 2023,,,,598,855,1.43,,,,,,
20. Mizoram,1. Aizawl,2000 - 2001,,,,69,249,3.61,,,,,,
,,2001 - 2002,,,,66,40,0.61,,,,,,
,,2002 - 2003,,,,32,27,0.84,,,,,,
,,2003 - 2004,,,,6,4,0.67,,,,,,
,,2005 - 2006,,,,26,27,1.04,,,,,,
,,2010 - 2011,,,,58,83,1.43,,,,,,
,,2011 - 2012,,,,38,51,1.34,,,,,,
,,2012 - 2013,,,,2,2,1,,,,,,
,,2014 - 2015,,,,7,7,1,,,,,,
,,2015 - 2016,,,,20,18,0.9,,,,,,
,,2016 - 2017,,,,20,18,0.9,,,,,,
,,2017 - 2018,,,,22,19,0.86,,,,,,
,,2018 - 2019,,,,34,39,1.15,,,,,,
,,2019 - 2020,,,,34,34,1,,,,,,
,,2020 - 2021,,,,24,25,1.04,,,,,,
,,2021 - 2022,,,,15,15,1,,,,,,
,,2022 - 2023,,,,9,8,0.89,,,,,,
,2. Champhai,2000 - 2001,,,,27,9,0.33,,,,,,
,,2002 - 2003,170,68,0.4,2,1,0.5,,,,,,
,,2005 - 2006,,,,14,14,1,,,,,,
,,2010 - 2011,,,,20,17,0.85,,,,,,
,,2011 - 2012,,,,38,48,1.26,,,,,,
,,2012 - 2013,,,,25,40,1.6,,,,,,
,,2013 - 2014,,,,10,11,1.1,,,,,,
,,2014 - 2015,,,,13,19,1.46,,,,,,
,,2015 - 2016,,,,5,6,1.2,,,,,,
,,2016 - 2017,,,,6,9,1.5,,,,,,
,,2017 - 2018,2,4,2,2,3,1.5,,,,,,
,,2018 - 2019,,,,21,19,0.9,,,,,,
,,2019 - 2020,,,,24,32,1.33,,,,,,
,,2021 - 2022,,,,10,12,1.2,,,,,,
,,2022 - 2023,,,,12,14,1.17,,,,,,
,3. Hnahthial,2020 - 2021,,,,2,4,2,,,,,,
,,2021 - 2022,,,,6,3,0.5,,,,,,
,,2022 - 2023,,,,2,4,2,,,,,,
,4. Khawzawl,2020 - 2021,,,,11,13,1.18,,,,,,
,,2021 - 2022,,,,11,10,0.91,,,,,,
,,2022 - 2023,,,,10,9,0.9,,,,,,
,5. Kolasib,2002 - 2003,166,102,0.61,45,24,0.53,,,,,,
,,2003 - 2004,18,12,0.67,15,9,0.6,,,,,,
,,2005 - 2006,12,7,0.58,19,12,0.63,,,,,,
,,2010 - 2011,,,,41,35,0.85,,,,,,
,,2011 - 2012,,,,42,36,0.86,,,,,,
,,2012 - 2013,,,,30,35,1.17,,,,,,
,,2013 - 2014,,,,34,39,1.15,,,,,,
,,2014 - 2015,,,,35,30,0.86,,,,,,
,,2015 - 2016,,,,44,39,0.89,,,,,,
,,2016 - 2017,46,41,0.89,46,40,0.87,,,,,,
,,2017 - 2018,46,41,0.89,37,32,0.86,,,,,,
,,2018 - 2019,46,41,0.89,37,32,0.86,,,,,,
,,2019 - 2020,47,44,0.94,32,32,1,,,,,,
,,2020 - 2021,27,29,1.07,110,109,0.99,,,,,,
,,2021 - 2022,29,33,1.14,95,100,1.05,,,,,,
,,2022 - 2023,17,19,1.12,79,79,1,,,,,,
,6. Lawngtlai,2005 - 2006,4,2,0.5,,,,,,,,,
,,2010 - 2011,,,,7,3,0.43,,,,,,
,,2011 - 2012,,,,16,7,0.44,,,,,,
,,2013 - 2014,,,,23,9,0.39,,,,,,
,,2014 - 2015,,,,28,11,0.39,,,,,,
,,2015 - 2016,,,,24,29,1.21,,,,,,
,,2016 - 2017,,,,28,34,1.21,,,,,,
,,2017 - 2018,,,,53.8,65.1,1.21,,,,,,
,,2018 - 2019,,,,33,40,1.21,,,,,,
,,2019 - 2020,,,,42,61,1.45,,,,,,
,,2020 - 2021,,,,62,63,1.02,,,,,,
,,2021 - 2022,,,,53,56,1.06,,,,,,
,,2022 - 2023,,,,45,47,1.04,,,,,,
,7. Lunglei,2000 - 2001,,,,50,86,1.72,,,,,,
,,2001 - 2002,,,,53,49,0.92,,,,,,
,,2002 - 2003,,,,54,50,0.93,,,,,,
,,2003 - 2004,13,18,1.38,20,29,1.45,,,,,,
,,2005 - 2006,9,6,0.67,27,23,0.85,,,,,,
,,2010 - 2011,,,,19,21,1.11,,,,,,
,,2011 - 2012,,,,20,23,1.15,,,,,,
,,2012 - 2013,,,,28,29,1.04,,,,,,
,,2013 - 2014,,,,31,34,1.1,,,,,,
,,2014 - 2015,,,,22,24,1.09,,,,,,
,,2015 - 2016,,,,31,37,1.19,,,,,,
,,2016 - 2017,,,,15,30,2,,,,,,
,,2017 - 2018,2,1,0.5,15,27,1.8,,,,,,
,,2018 - 2019,,,,15,30,2,,,,,,
,,2019 - 2020,,,,16,32,2,,,,,,
,,2020 - 2021,,,,17,32,1.88,,,,,,
,8. Mamit,2003 - 2004,10,12,1.2,24,28,1.17,,,,,,
,,2005 - 2006,21,27,1.29,37,44,1.19,,,,,,
,,2010 - 2011,,,,9,11,1.22,,,,,,
,,2014 - 2015,,,,8,7,0.88,,,,,,
,,2017 - 2018,,,,2,2,1,,,,,,
,,2020 - 2021,,,,5,2,0.4,,,,,,
,,2022 - 2023,,,,10,36,3.6,,,,,,
,9. Saiha,2003 - 2004,170,68,0.4,2,1,0.5,,,,,,
,,2016 - 2017,,,,2,2,1,,,,,,
,,2017 - 2018,,,,2,2.5,1.25,,,,,,
,,2018 - 2019,,,,3,3,1,,,,,,
,,2019 - 2020,,,,2,2.2,1.1,,,,,,
,,2020 - 2021,,,,3,3,1,,,,,,
,,2021 - 2022,,,,3,3,1,,,,,,
,,2022 - 2023,,,,3,3,1,,,,,,
,10. Saitual,2020 - 2021,,,,3,4,1.33,,,,,,
,,2021 - 2022,,,,2,5,2.5,,,,,,
,11. Serchhip,2010 - 2011,,,,79,62,0.78,,,,,,
,,2012 - 2013,,,,122,96,0.79,,,,,,
,,2013 - 2014,,,,122,103,0.84,,,,,,
,,2014 - 2015,,,,144,121,0.84,,,,,,
,,2015 - 2016,,,,144,121,0.84,,,,,,
,,2016 - 2017,,,,155,133,0.86,,,,,,
,,2017 - 2018,,,,139,123.7,0.89,,,,,,
,,2018 - 2019,,,,140,127,0.91,,,,,,
,,2019 - 2020,,,,140,132,0.94,,,,,,
,,2020 - 2021,,,,140,132,0.94,,,,,,
,,2021 - 2022,,,,148,143,0.97,,,,,,
,,2022 - 2023,,,,148,143,0.97,,,,,,
21. Nagaland,1. Chumoukedima,2022 - 2023,,,,60,55,0.92,,,,,,
,2. Dimapur,2000 - 2001,,,,700,690,0.99,,,,,,
,,2001 - 2002,,,,"1,600.00","1,020.00",0.64,,,,,,
,,2003 - 2004,,,,"1,100.00","1,110.00",1.01,,,,,,
,,2004 - 2005,,,,"2,790.00","2,580.00",0.92,,,,,,
,,2005 - 2006,,,,"3,060.00","3,120.00",1.02,,,,,,
,,2006 - 2007,,,,"3,160.00","3,670.00",1.16,,,,,,
,,2007 - 2008,,,,810,980,1.21,,,,,,
,,2008 - 2009,,,,460,460,1,,,,,,
,,2009 - 2010,,,,460,340,0.74,,,,,,
,,2010 - 2011,,,,400,370,0.93,,,,,,
,,2011 - 2012,,,,410,370,0.9,,,,,,
,,2012 - 2013,,,,450,410,0.91,,,,,,
,,2013 - 2014,,,,480,440,0.92,,,,,,
,,2014 - 2015,,,,500,460,0.92,,,,,,
,,2015 - 2016,,,,500,460,0.92,,,,,,
,,2016 - 2017,,,,520,470,0.9,,,,,,
,,2017 - 2018,,,,520,480,0.92,,,,,,
,,2018 - 2019,,,,520,480,0.92,,,,,,
,,2019 - 2020,,,,520,480,0.92,,,,,,
,,2020 - 2021,,,,520,480,0.92,,,,,,
,,2021 - 2022,,,,150,142,0.95,,,,,,
,,2022 - 2023,,,,18,17,0.94,,,,,,
,3. Kiphire,2008 - 2009,,,,130,120,0.92,,,,,,
,,2009 - 2010,,,,120,80,0.67,,,,,,
,,2010 - 2011,,,,80,60,0.75,,,,,,
,,2011 - 2012,,,,80,60,0.75,,,,,,
,,2012 - 2013,,,,110,100,0.91,,,,,,
,,2013 - 2014,,,,100,70,0.7,,,,,,
,,2014 - 2015,,,,100,70,0.7,,,,,,
,,2015 - 2016,,,,100,70,0.7,,,,,,
,,2016 - 2017,,,,100,90,0.9,,,,,,
,,2017 - 2018,,,,100,90,0.9,,,,,,
,,2018 - 2019,,,,100,90,0.9,,,,,,
,,2019 - 2020,,,,100,90,0.9,,,,,,
,,2020 - 2021,,,,100,92,0.92,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,,2022 - 2023,,,,2,2,1,,,,,,
,4. Kohima,2000 - 2001,,,,380,420,1.11,,,,,,
,,2001 - 2002,,,,680,510,0.75,,,,,,
,,2002 - 2003,,,,31,17,0.55,,,,,,
,,2003 - 2004,,,,120,150,1.25,,,,,,
,,2004 - 2005,,,,570,550,0.96,,,,,,
,,2005 - 2006,,,,760,780,1.03,,,,,,
,,2006 - 2007,,,,860,"1,050.00",1.22,,,,,,
,,2007 - 2008,,,,430,520,1.21,,,,,,
,,2008 - 2009,,,,330,330,1,,,,,,
,,2009 - 2010,,,,290,210,0.72,,,,,,
,,2010 - 2011,,,,250,220,0.88,,,,,,
,,2011 - 2012,,,,250,220,0.88,,,,,,
,,2012 - 2013,,,,290,260,0.9,,,,,,
,,2013 - 2014,,,,290,260,0.9,,,,,,
,,2014 - 2015,,,,290,260,0.9,,,,,,
,,2015 - 2016,,,,290,260,0.9,,,,,,
,,2016 - 2017,,,,300,270,0.9,,,,,,
,,2017 - 2018,,,,300,280,0.93,,,,,,
,,2018 - 2019,,,,310,280,0.9,,,,,,
,,2019 - 2020,,,,310,280,0.9,,,,,,
,,2020 - 2021,,,,310,285,0.92,,,,,,
,5. Longleng,2008 - 2009,,,,120,110,0.92,,,,,,
,,2009 - 2010,,,,100,70,0.7,,,,,,
,,2010 - 2011,,,,60,40,0.67,,,,,,
,,2011 - 2012,,,,60,40,0.67,,,,,,
,,2012 - 2013,,,,80,70,0.88,,,,,,
,,2013 - 2014,,,,90,80,0.89,,,,,,
,,2014 - 2015,,,,90,80,0.89,,,,,,
,,2015 - 2016,,,,100,90,0.9,,,,,,
,,2016 - 2017,,,,110,100,0.91,,,,,,
,,2017 - 2018,,,,110,100,0.91,,,,,,
,,2018 - 2019,,,,110,100,0.91,,,,,,
,,2019 - 2020,,,,110,100,0.91,,,,,,
,,2020 - 2021,,,,110,100,0.91,,,,,,
,6. Mokokchung,2000 - 2001,,,,470,520,1.11,,,,,,
,,2001 - 2002,,,,770,530,0.69,,,,,,
,,2003 - 2004,,,,750,830,1.11,,,,,,
,,2004 - 2005,,,,860,810,0.94,,,,,,
,,2005 - 2006,,,,"1,020.00",950,0.93,,,,,,
,,2006 - 2007,,,,"1,100.00","1,350.00",1.23,,,,,,
,,2007 - 2008,,,,450,560,1.24,,,,,,
,,2008 - 2009,,,,320,300,0.94,,,,,,
,,2009 - 2010,,,,310,210,0.68,,,,,,
,,2010 - 2011,,,,260,220,0.85,,,,,,
,,2011 - 2012,,,,260,220,0.85,,,,,,
,,2012 - 2013,,,,280,250,0.89,,,,,,
,,2013 - 2014,,,,290,260,0.9,,,,,,
,,2014 - 2015,,,,290,260,0.9,,,,,,
,,2015 - 2016,,,,290,260,0.9,,,,,,
,,2016 - 2017,,,,300,270,0.9,,,,,,
,,2017 - 2018,,,,300,270,0.9,,,,,,
,,2018 - 2019,,,,300,270,0.9,,,,,,
,,2019 - 2020,,,,300,270,0.9,,,,,,
,,2020 - 2021,,,,300,275,0.92,,,,,,
,,2021 - 2022,,,,45,36,0.8,,,,,,
,,2022 - 2023,,,,88,86,0.98,,,,,,
,7. Mon,2000 - 2001,,,,500,550,1.1,,,,,,
,,2001 - 2002,,,,800,500,0.63,,,,,,
,,2003 - 2004,,,,"1,370.00",410,0.3,,,,,,
,,2004 - 2005,,,,210,210,1,,,,,,
,,2005 - 2006,,,,400,380,0.95,,,,,,
,,2006 - 2007,,,,450,560,1.24,,,,,,
,,2007 - 2008,,,,290,350,1.21,,,,,,
,,2008 - 2009,,,,290,270,0.93,,,,,,
,,2009 - 2010,,,,280,200,0.71,,,,,,
,,2010 - 2011,,,,280,240,0.86,,,,,,
,,2011 - 2012,,,,270,230,0.85,,,,,,
,,2012 - 2013,,,,310,280,0.9,,,,,,
,,2013 - 2014,,,,310,280,0.9,,,,,,
,,2014 - 2015,,,,310,280,0.9,,,,,,
,,2015 - 2016,,,,320,290,0.91,,,,,,
,,2016 - 2017,,,,330,300,0.91,,,,,,
,,2017 - 2018,,,,330,300,0.91,,,,,,
,,2018 - 2019,,,,330,300,0.91,,,,,,
,,2019 - 2020,,,,330,300,0.91,,,,,,
,,2020 - 2021,,,,330,302,0.92,,,,,,
,,2021 - 2022,,,,100,90,0.9,,,,,,
,,2022 - 2023,,,,153,149,0.97,,,,,,
,8. Nuiland,2022 - 2023,,,,82,79,0.96,,,,,,
,9. Peren,2008 - 2009,,,,230,200,0.87,,,,,,
,,2009 - 2010,,,,220,150,0.68,,,,,,
,,2010 - 2011,,,,150,120,0.8,,,,,,
,,2011 - 2012,,,,150,120,0.8,,,,,,
,,2012 - 2013,,,,180,160,0.89,,,,,,
,,2013 - 2014,,,,200,180,0.9,,,,,,
,,2014 - 2015,,,,210,190,0.9,,,,,,
,,2015 - 2016,,,,220,200,0.91,,,,,,
,,2016 - 2017,,,,230,210,0.91,,,,,,
,,2017 - 2018,,,,230,210,0.91,,,,,,
,,2018 - 2019,,,,230,210,0.91,,,,,,
,,2019 - 2020,,,,230,210,0.91,,,,,,
,,2020 - 2021,,,,230,212,0.92,,,,,,
,,2021 - 2022,,,,90,68,0.76,,,,,,
,,2022 - 2023,,,,138,129,0.93,,,,,,
,10. Phek,2000 - 2001,,,,450,500,1.11,,,,,,
,,2001 - 2002,,,,750,560,0.75,,,,,,
,,2003 - 2004,,,,"1,280.00","1,380.00",1.08,,,,,,
,,2004 - 2005,,,,370,340,0.92,,,,,,
,,2005 - 2006,,,,580,560,0.97,,,,,,
,,2006 - 2007,,,,520,610,1.17,,,,,,
,,2007 - 2008,,,,500,600,1.2,,,,,,
,,2008 - 2009,,,,420,400,0.95,,,,,,
,,2009 - 2010,,,,410,290,0.71,,,,,,
,,2010 - 2011,,,,360,290,0.81,,,,,,
,,2011 - 2012,,,,370,320,0.86,,,,,,
,,2012 - 2013,,,,420,380,0.9,,,,,,
,,2013 - 2014,,,,430,390,0.91,,,,,,
,,2014 - 2015,,,,440,410,0.93,,,,,,
,,2015 - 2016,,,,440,410,0.93,,,,,,
,,2016 - 2017,,,,460,420,0.91,,,,,,
,,2017 - 2018,,,,460,420,0.91,,,,,,
,,2018 - 2019,,,,460,420,0.91,,,,,,
,,2019 - 2020,,,,460,420,0.91,,,,,,
,,2020 - 2021,,,,460,422,0.92,,,,,,
,,2021 - 2022,,,,19,19,1,,,,,,
,,2022 - 2023,,,,29,28,0.97,,,,,,
,11. Tuensang,2000 - 2001,,,,400,460,1.15,,,,,,
,,2001 - 2002,,,,700,450,0.64,,,,,,
,,2003 - 2004,,,,810,780,0.96,,,,,,
,,2004 - 2005,,,,180,160,0.89,,,,,,
,,2005 - 2006,,,,380,340,0.89,,,,,,
,,2006 - 2007,,,,420,510,1.21,,,,,,
,,2007 - 2008,,,,210,250,1.19,,,,,,
,,2008 - 2009,,,,350,340,0.97,,,,,,
,,2009 - 2010,,,,330,230,0.7,,,,,,
,,2010 - 2011,,,,270,230,0.85,,,,,,
,,2011 - 2012,,,,270,230,0.85,,,,,,
,,2012 - 2013,,,,310,280,0.9,,,,,,
,,2013 - 2014,,,,310,280,0.9,,,,,,
,,2014 - 2015,,,,310,280,0.9,,,,,,
,,2015 - 2016,,,,310,280,0.9,,,,,,
,,2016 - 2017,,,,360,320,0.89,,,,,,
,,2017 - 2018,,,,360,320,0.89,,,,,,
,,2018 - 2019,,,,360,320,0.89,,,,,,
,,2019 - 2020,,,,360,320,0.89,,,,,,
,,2020 - 2021,,,,360,330,0.92,,,,,,
,12. Wokha,2000 - 2001,,,,530,700,1.32,,,,,,
,,2001 - 2002,,,,830,740,0.89,,,,,,
,,2003 - 2004,,,,760,"1,130.00",1.49,,,,,,
,,2004 - 2005,,,,870,830,0.95,,,,,,
,,2005 - 2006,,,,"1,040.00",970,0.93,,,,,,
,,2006 - 2007,,,,"1,120.00","1,360.00",1.21,,,,,,
,,2007 - 2008,,,,200,250,1.25,,,,,,
,,2008 - 2009,,,,200,200,1,,,,,,
,,2009 - 2010,,,,200,140,0.7,,,,,,
,,2010 - 2011,,,,160,140,0.88,,,,,,
,,2011 - 2012,,,,160,140,0.88,,,,,,
,,2012 - 2013,,,,180,160,0.89,,,,,,
,,2013 - 2014,,,,190,170,0.89,,,,,,
,,2014 - 2015,,,,190,170,0.89,,,,,,
,,2015 - 2016,,,,200,180,0.9,,,,,,
,,2016 - 2017,,,,210,190,0.9,,,,,,
,,2017 - 2018,,,,210,190,0.9,,,,,,
,,2018 - 2019,,,,210,190,0.9,,,,,,
,,2019 - 2020,,,,210,190,0.9,,,,,,
,,2020 - 2021,,,,210,192,0.91,,,,,,
,,2021 - 2022,,,,4,6,1.5,,,,,,
,,2022 - 2023,,,,56,52,0.93,,,,,,
,13. Zunheboto,2000 - 2001,,,,570,660,1.16,,,,,,
,,2001 - 2002,,,,870,690,0.79,,,,,,
,,2003 - 2004,,,,"1,310.00","1,210.00",0.92,,,,,,
,,2004 - 2005,,,,550,520,0.95,,,,,,
,,2005 - 2006,,,,760,500,0.66,,,,,,
,,2006 - 2007,,,,870,"1,040.00",1.2,,,,,,
