State,District,Year,Moth,,,,,
,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Gujarat,1. Ahmadabad,2000 - 2001,900,100,0.11,,,
,,2001 - 2002,800,300,0.38,,,
,,2002 - 2003,700,500,0.71,,,
,,2003 - 2004,800,400,0.5,,,
,,2005 - 2006,500,300,0.6,,,
,,2006 - 2007,500,100,0.2,,,
,,2007 - 2008,"1,400.00",800,0.57,,,
,,2008 - 2009,"2,100.00",500,0.24,,,
,,2009 - 2010,"2,300.00",700,0.3,,,
,,2010 - 2011,"2,800.00","1,700.00",0.61,,,
,,2011 - 2012,"4,600.00","2,900.00",0.63,,,
,,2012 - 2013,"1,500.00",800,0.53,,,
,,2013 - 2014,"3,405.00","2,268.00",0.67,,,
,,2014 - 2015,970,713,0.74,,,
,,2015 - 2016,"1,660.00","1,559.00",0.94,,,
,,2016 - 2017,"6,194.00","2,535.00",0.41,,,
,,2017 - 2018,"7,038.00","5,103.00",0.73,,,
,,2018 - 2019,"3,260.00",590,0.18,,,
,,2019 - 2020,"1,090.00",482,0.44,,,
,,2020 - 2021,"4,002.00","2,405.00",0.6,,,
,,2021 - 2022,"4,768.00","2,094.00",0.44,,,
,,2022 - 2023,"8,865.00","4,233.00",0.48,,,
,2. Amreli,2000 - 2001,500,,0,,,
,,2001 - 2002,600,200,0.33,,,
,,2002 - 2003,300,200,0.67,,,
,,2003 - 2004,800,400,0.5,,,
,,2004 - 2005,"1,000.00",400,0.4,,,
,,2005 - 2006,"1,300.00",700,0.54,,,
,,2006 - 2007,600,200,0.33,,,
,,2007 - 2008,300,200,0.67,,,
,,2008 - 2009,100,100,1,,,
,,2013 - 2014,226,109,0.48,,,
,,2014 - 2015,140,60,0.43,,,
,,2015 - 2016,130,62,0.48,,,
,,2016 - 2017,493,231,0.47,,,
,,2017 - 2018,100,65,0.65,,,
,,2018 - 2019,75,6,0.08,,,
,,2019 - 2020,26,12,0.46,,,
,,2020 - 2021,16,8,0.5,,,
,,2021 - 2022,82,36,0.44,,,
,,2022 - 2023,257,129,0.5,,,
,3. Anand,2003 - 2004,100,,0,,,
,,2007 - 2008,100,100,1,,,
,,2009 - 2010,100,100,1,,,
,,2012 - 2013,100,100,1,,,
,,2014 - 2015,6,3,0.5,,,
,,2017 - 2018,1,1,1,,,
,4. Aravalli,2016 - 2017,7,3,0.43,,,
,,2018 - 2019,14,1,0.07,,,
,,2019 - 2020,1,0.46,0.46,,,
,5. Banas kantha,2000 - 2001,"11,800.00","1,700.00",0.14,,,
,,2001 - 2002,"12,800.00","6,000.00",0.47,,,
,,2002 - 2003,"15,100.00","2,700.00",0.18,,,
,,2003 - 2004,"11,900.00","7,500.00",0.63,,,
,,2004 - 2005,"13,200.00","4,900.00",0.37,,,
,,2005 - 2006,"14,900.00","7,900.00",0.53,,,
,,2006 - 2007,"13,200.00","2,400.00",0.18,,,
,,2007 - 2008,"12,500.00","9,100.00",0.73,,,
,,2008 - 2009,"5,900.00","1,000.00",0.17,,,
,,2009 - 2010,"6,200.00",900,0.15,,,
,,2010 - 2011,"5,100.00","3,200.00",0.63,,,
,,2011 - 2012,"6,000.00","3,700.00",0.62,,,
,,2012 - 2013,"1,100.00",400,0.36,,,
,,2013 - 2014,"2,277.00","1,756.00",0.77,,,
,,2014 - 2015,620,508,0.82,,,
,,2016 - 2017,50,23,0.46,,,
,,2017 - 2018,292,190,0.65,,,
,,2018 - 2019,163,13,0.08,,,
,,2019 - 2020,304,140,0.46,,,
,,2020 - 2021,93,48,0.52,,,
,6. Bharuch,2000 - 2001,400,,0,,,
,,2001 - 2002,400,100,0.25,,,
,,2002 - 2003,300,200,0.67,,,
,,2003 - 2004,600,400,0.67,,,
,,2004 - 2005,500,200,0.4,,,
,,2005 - 2006,"1,100.00",500,0.45,,,
,,2006 - 2007,500,100,0.2,,,
,,2007 - 2008,900,500,0.56,,,
,,2008 - 2009,700,100,0.14,,,
,,2009 - 2010,400,100,0.25,,,
,,2010 - 2011,500,300,0.6,,,
,,2011 - 2012,200,100,0.5,,,
,,2012 - 2013,"1,500.00",500,0.33,,,
,,2013 - 2014,785,380,0.48,,,
,,2014 - 2015,250,108,0.43,,,
,,2015 - 2016,650,310,0.48,,,
,,2016 - 2017,"1,000.00",469,0.47,,,
,,2017 - 2018,730,476,0.65,,,
,,2018 - 2019,325,27,0.08,,,
,,2020 - 2021,57,30,0.53,,,
,7. Bhavnagar,2000 - 2001,"2,000.00",200,0.1,,,
,,2001 - 2002,"1,400.00",500,0.36,,,
,,2002 - 2003,"1,800.00",900,0.5,,,
,,2003 - 2004,600,300,0.5,,,
,,2004 - 2005,500,200,0.4,,,
,,2005 - 2006,300,200,0.67,,,
,,2006 - 2007,400,100,0.25,,,
,,2007 - 2008,600,300,0.5,,,
,,2008 - 2009,"1,200.00",300,0.25,,,
,,2009 - 2010,800,300,0.38,,,
,,2010 - 2011,500,300,0.6,,,
,,2011 - 2012,"1,000.00",600,0.6,,,
,,2012 - 2013,400,100,0.25,,,
,,2013 - 2014,327,158,0.48,,,
,,2014 - 2015,996,430,0.43,,,
,,2015 - 2016,351,167,0.48,,,
,,2016 - 2017,"1,190.00",558,0.47,,,
,,2017 - 2018,"1,080.00",704,0.65,,,
,,2018 - 2019,889,73,0.08,,,
,,2019 - 2020,644,297,0.46,,,
,,2020 - 2021,269,140,0.52,,,
,,2021 - 2022,231,102,0.44,,,
,,2022 - 2023,138,69,0.5,,,
,8. Botad,2014 - 2015,426,184,0.43,,,
,,2015 - 2016,200,95,0.48,,,
,,2016 - 2017,700,328,0.47,,,
,,2018 - 2019,162,13,0.08,,,
,,2019 - 2020,79,36,0.46,,,
,,2020 - 2021,11,6,0.55,,,
,,2021 - 2022,3,1,0.33,,,
,,2022 - 2023,9,5,0.56,,,
,9. Devbhumi dwarka,2014 - 2015,5,2,0.4,,,
,,2016 - 2017,2,1,0.5,,,
,,2017 - 2018,115,75,0.65,,,
,,2018 - 2019,55,5,0.09,,,
,10. Gandhinagar,2003 - 2004,200,100,0.5,,,
,,2005 - 2006,100,,0,,,
,,2006 - 2007,200,100,0.5,,,
,,2007 - 2008,400,200,0.5,,,
,,2008 - 2009,200,100,0.5,,,
,,2009 - 2010,400,100,0.25,,,
,,2010 - 2011,500,300,0.6,,,
,,2011 - 2012,300,200,0.67,,,
,,2013 - 2014,25,12,0.48,,,
,,2015 - 2016,27,13,0.48,,,
,,2016 - 2017,253,119,0.47,,,
,,2017 - 2018,88,57,0.65,,,
,,2018 - 2019,156,13,0.08,,,
,,2019 - 2020,70,32,0.46,,,
,,2020 - 2021,177,92,0.52,,,
,,2021 - 2022,552,243,0.44,,,
,,2022 - 2023,202,101,0.5,,,
,11. Gir somnath,2014 - 2015,35,15,0.43,,,
,,2015 - 2016,40,19,0.48,,,
,,2016 - 2017,40,19,0.48,,,
,,2017 - 2018,40,26,0.65,,,
,,2018 - 2019,36,3,0.08,,,
,,2019 - 2020,20,9,0.45,,,
,,2020 - 2021,7,4,0.57,,,
,12. Jamnagar,2000 - 2001,500,,0,,,
,,2001 - 2002,200,100,0.5,,,
,,2002 - 2003,200,200,1,,,
,,2003 - 2004,200,100,0.5,,,
,,2004 - 2005,200,100,0.5,,,
,,2005 - 2006,600,300,0.5,,,
,,2006 - 2007,100,100,1,,,
,,2010 - 2011,100,100,1,,,
,,2013 - 2014,106,51,0.48,,,
,,2014 - 2015,60,26,0.43,,,
,,2015 - 2016,60,29,0.48,,,
,,2016 - 2017,30,14,0.47,,,
,,2019 - 2020,15,7,0.47,,,
,,2020 - 2021,17,9,0.53,,,
,,2021 - 2022,12,5,0.42,,,
,13. Junagadh,2014 - 2015,257,111,0.43,,,
,,2018 - 2019,350,29,0.08,,,
,14. Kachchh,2000 - 2001,"17,700.00",600,0.03,,,
,,2001 - 2002,"14,900.00","2,500.00",0.17,,,
,,2002 - 2003,"9,600.00",500,0.05,,,
,,2003 - 2004,"20,500.00","11,100.00",0.54,,,
,,2004 - 2005,"15,500.00","4,100.00",0.26,,,
,,2005 - 2006,"14,700.00","7,700.00",0.52,,,
,,2006 - 2007,"16,500.00","6,700.00",0.41,,,
,,2007 - 2008,"20,500.00","10,400.00",0.51,,,
,,2008 - 2009,"24,300.00","4,700.00",0.19,,,
,,2009 - 2010,"2,500.00","1,000.00",0.4,,,
,,2010 - 2011,"4,200.00","1,900.00",0.45,,,
,,2011 - 2012,"26,000.00","10,800.00",0.42,,,
,,2012 - 2013,"6,000.00","1,800.00",0.3,,,
,,2013 - 2014,"14,787.00","5,075.00",0.34,,,
,,2014 - 2015,"4,694.00","1,319.00",0.28,,,
,,2015 - 2016,"11,432.00","4,679.00",0.41,,,
,,2016 - 2017,"18,652.00","9,009.00",0.48,,,
,,2017 - 2018,"14,354.00","8,842.00",0.62,,,
,,2018 - 2019,"5,171.00",103,0.02,,,
,,2019 - 2020,"8,175.00","3,797.00",0.46,,,
,,2020 - 2021,"9,020.00","4,475.00",0.5,,,
,,2021 - 2022,"6,531.00","2,884.00",0.44,,,
,,2022 - 2023,"4,160.00","2,298.00",0.55,,,
,15. Kheda,2000 - 2001,"1,100.00",100,0.09,,,
,,2001 - 2002,"1,100.00",200,0.18,,,
,,2002 - 2003,"1,000.00",700,0.7,,,
,,2003 - 2004,"1,100.00",600,0.55,,,
,,2004 - 2005,700,300,0.43,,,
,,2005 - 2006,500,300,0.6,,,
,,2006 - 2007,500,200,0.4,,,
,,2007 - 2008,400,300,0.75,,,
,,2008 - 2009,500,100,0.2,,,
,,2009 - 2010,500,200,0.4,,,
,,2010 - 2011,300,200,0.67,,,
,,2011 - 2012,200,200,1,,,
,,2012 - 2013,100,100,1,,,
,,2013 - 2014,78,38,0.49,,,
,,2014 - 2015,290,125,0.43,,,
,,2015 - 2016,289,138,0.48,,,
,,2016 - 2017,191,90,0.47,,,
,,2017 - 2018,275,179,0.65,,,
,,2018 - 2019,159,13,0.08,,,
,,2019 - 2020,292,135,0.46,,,
,,2020 - 2021,96,50,0.52,,,
,,2021 - 2022,121,53,0.44,,,
,,2022 - 2023,206,103,0.5,,,
,16. Mahesana,2000 - 2001,"2,600.00",200,0.08,,,
,,2001 - 2002,"2,100.00",600,0.29,,,
,,2002 - 2003,"2,300.00",400,0.17,,,
,,2003 - 2004,800,400,0.5,,,
,,2004 - 2005,500,200,0.4,,,
,,2005 - 2006,"2,200.00","1,100.00",0.5,,,
,,2006 - 2007,"1,800.00",500,0.28,,,
,,2007 - 2008,"2,300.00","1,400.00",0.61,,,
,,2008 - 2009,"2,000.00",400,0.2,,,
,,2009 - 2010,"1,200.00",400,0.33,,,
,,2010 - 2011,"1,800.00","1,100.00",0.61,,,
,,2011 - 2012,"1,200.00",800,0.67,,,
,,2012 - 2013,600,300,0.5,,,
,,2013 - 2014,956,564,0.59,,,
,,2014 - 2015,359,155,0.43,,,
,,2015 - 2016,80,38,0.48,,,
,,2016 - 2017,"2,046.00",959,0.47,,,
,,2017 - 2018,489,319,0.65,,,
,,2018 - 2019,342,28,0.08,,,
,,2019 - 2020,335,155,0.46,,,
,,2020 - 2021,618,322,0.52,,,
,,2021 - 2022,549,242,0.44,,,
,,2022 - 2023,405,203,0.5,,,
,17. Mahisagar,2014 - 2015,21,9,0.43,,,
,,2015 - 2016,194,92,0.47,,,
,18. Narmada,2003 - 2004,300,200,0.67,,,
,,2004 - 2005,200,100,0.5,,,
,,2007 - 2008,100,100,1,,,
,,2008 - 2009,200,100,0.5,,,
,,2013 - 2014,35,17,0.49,,,
,,2018 - 2019,131,11,0.08,,,
,,2019 - 2020,139,64,0.46,,,
,19. Panch mahals,2001 - 2002,100,,0,,,
,,2002 - 2003,100,100,1,,,
,,2010 - 2011,100,100,1,,,
,,2012 - 2013,100,100,1,,,
,,2013 - 2014,8,4,0.5,,,
,,2014 - 2015,44,19,0.43,,,
,,2015 - 2016,190,90,0.47,,,
,,2019 - 2020,5,2,0.4,,,
,,2021 - 2022,7,3,0.43,,,
,20. Patan,2003 - 2004,"3,400.00","2,500.00",0.74,,,
,,2004 - 2005,"2,000.00","1,400.00",0.7,,,
,,2005 - 2006,"3,600.00","2,200.00",0.61,,,
,,2006 - 2007,"3,900.00",500,0.13,,,
,,2007 - 2008,"4,000.00","1,800.00",0.45,,,
,,2008 - 2009,"4,800.00","1,600.00",0.33,,,
,,2009 - 2010,"4,800.00","1,000.00",0.21,,,
,,2010 - 2011,"2,300.00","1,400.00",0.61,,,
,,2011 - 2012,"3,300.00","1,600.00",0.48,,,
,,2012 - 2013,"1,400.00",600,0.43,,,
,,2013 - 2014,"2,695.00","2,027.00",0.75,,,
,,2014 - 2015,877,550,0.63,,,
,,2015 - 2016,85,37,0.44,,,
,,2016 - 2017,575,376,0.65,,,
,,2017 - 2018,"2,014.00","1,313.00",0.65,,,
,,2018 - 2019,532,44,0.08,,,
,,2019 - 2020,128,59,0.46,,,
,,2020 - 2021,198,14,0.07,,,
,,2021 - 2022,141,62,0.44,,,
,,2022 - 2023,210,105,0.5,,,
,21. Porbandar,2007 - 2008,400,300,0.75,,,
,22. Rajkot,2000 - 2001,700,100,0.14,,,
,,2001 - 2002,"1,000.00",300,0.3,,,
,,2002 - 2003,"1,100.00",700,0.64,,,
,,2003 - 2004,800,500,0.63,,,
,,2004 - 2005,600,200,0.33,,,
,,2005 - 2006,500,300,0.6,,,
,,2006 - 2007,500,100,0.2,,,
,,2007 - 2008,400,200,0.5,,,
,,2008 - 2009,600,100,0.17,,,
,,2009 - 2010,"1,000.00",300,0.3,,,
,,2010 - 2011,900,600,0.67,,,
,,2011 - 2012,400,300,0.75,,,
,,2012 - 2013,100,100,1,,,
,,2013 - 2014,114,55,0.48,,,
,,2014 - 2015,25,11,0.44,,,
,,2015 - 2016,31,15,0.48,,,
,,2016 - 2017,170,80,0.47,,,
,,2017 - 2018,142,93,0.65,,,
,,2018 - 2019,208,17,0.08,,,
,,2019 - 2020,227,105,0.46,,,
,,2020 - 2021,124,65,0.52,,,
,,2021 - 2022,46,20,0.43,,,
,,2022 - 2023,13,7,0.54,,,
,23. Sabar kantha,2000 - 2001,100,,0,,,
,,2001 - 2002,"2,600.00",900,0.35,,,
,,2002 - 2003,100,,0,,,
,,2003 - 2004,200,100,0.5,,,
,,2004 - 2005,300,100,0.33,,,
,,2005 - 2006,300,200,0.67,,,
,,2006 - 2007,300,100,0.33,,,
,,2007 - 2008,400,200,0.5,,,
,,2008 - 2009,400,100,0.25,,,
,,2009 - 2010,300,100,0.33,,,
,,2011 - 2012,100,100,1,,,
,,2012 - 2013,100,100,1,,,
,,2013 - 2014,40,19,0.48,,,
,,2014 - 2015,20,9,0.45,,,
,,2015 - 2016,44,21,0.48,,,
,,2016 - 2017,43,20,0.47,,,
,,2017 - 2018,9,6,0.67,,,
,,2018 - 2019,4,,0,,,
,,2019 - 2020,2,1,0.5,,,
,24. Surat,2000 - 2001,400,,0,,,
,,2001 - 2002,100,,0,,,
,,2002 - 2003,100,100,1,,,
,,2003 - 2004,600,300,0.5,,,
,,2008 - 2009,700,100,0.14,,,
,,2009 - 2010,400,100,0.25,,,
,,2010 - 2011,400,200,0.5,,,
,,2012 - 2013,100,100,1,,,
,,2013 - 2014,"3,480.00","1,684.00",0.48,,,
,,2014 - 2015,10,4,0.4,,,
,,2015 - 2016,813,387,0.48,,,
,25. Surendranagar,2000 - 2001,"4,700.00",600,0.13,,,
,,2001 - 2002,"4,700.00","2,700.00",0.57,,,
,,2002 - 2003,"4,700.00","1,300.00",0.28,,,
,,2003 - 2004,"4,000.00","2,000.00",0.5,,,
,,2004 - 2005,"5,500.00","2,400.00",0.44,,,
,,2005 - 2006,"5,100.00","1,900.00",0.37,,,
,,2006 - 2007,"4,800.00","2,200.00",0.46,,,
,,2007 - 2008,"4,100.00","2,500.00",0.61,,,
,,2008 - 2009,"2,100.00","1,300.00",0.62,,,
,,2009 - 2010,"1,100.00",300,0.27,,,
,,2010 - 2011,"2,400.00",900,0.38,,,
,,2011 - 2012,"2,200.00","1,300.00",0.59,,,
,,2012 - 2013,700,200,0.29,,,
,,2013 - 2014,"1,228.00",594,0.48,,,
,,2014 - 2015,20,9,0.45,,,
,,2015 - 2016,475,226,0.48,,,
,,2016 - 2017,832,390,0.47,,,
,,2017 - 2018,476,310,0.65,,,
,,2018 - 2019,94,8,0.09,,,
,,2019 - 2020,4,2,0.5,,,
,,2020 - 2021,88,46,0.52,,,
,,2021 - 2022,52,23,0.44,,,
,26. Tapi,2014 - 2015,10,4,0.4,,,
,,2015 - 2016,"1,930.00",919,0.48,,,
,,2020 - 2021,1,1,1,,,
,27. Vadodara,2000 - 2001,400,,0,,,
,,2001 - 2002,400,100,0.25,,,
,,2002 - 2003,500,300,0.6,,,
,,2003 - 2004,300,200,0.67,,,
,,2004 - 2005,300,100,0.33,,,
,,2005 - 2006,400,200,0.5,,,
,,2006 - 2007,300,100,0.33,,,
,,2008 - 2009,"1,200.00",300,0.25,,,
,,2009 - 2010,500,200,0.4,,,
,,2010 - 2011,400,200,0.5,,,
,,2011 - 2012,200,100,0.5,,,
,,2012 - 2013,300,100,0.33,,,
,,2013 - 2014,315,152,0.48,,,
,,2014 - 2015,35,15,0.43,,,
,,2015 - 2016,35,17,0.49,,,
,,2016 - 2017,10,5,0.5,,,
,,2017 - 2018,7,5,0.71,,,
,,2019 - 2020,3,1,0.33,,,
,,2022 - 2023,11,6,0.55,,,
,28. Valsad,2007 - 2008,900,500,0.56,,,
,,2010 - 2011,100,100,1,,,
2. Haryana,1. Ambala,2001 - 2002,1,0,0,,,
,,2004 - 2005,1,,0,,,
,,2021 - 2022,55,11,0.2,,,
,2. Bhiwani,2000 - 2001,62,0,0,,,
,,2001 - 2002,374,100,0.27,,,
,,2002 - 2003,"2,883.00",200,0.07,,,
,,2003 - 2004,"3,019.00",200,0.07,,,
,,2004 - 2005,"6,388.00",700,0.11,,,
,,2005 - 2006,919,100,0.11,,,
,,2007 - 2008,"1,009.00",100,0.1,,,
,,2008 - 2009,"1,394.00",200,0.14,,,
,,2009 - 2010,"1,154.00",200,0.17,,,
,,2010 - 2011,"3,162.00",700,0.22,,,
,,2011 - 2012,"1,319.00",300,0.23,,,
,,2012 - 2013,239,60,0.25,,,
,,2013 - 2014,100,,0,,,
,,2014 - 2015,100,100,1,,,
,,2015 - 2016,200,100,0.5,,,
,,2016 - 2017,400,50,0.13,,,
,,2017 - 2018,150,40,0.27,,,
,,2019 - 2020,155,19,0.12,,,
,,2021 - 2022,135,16.9,0.13,,,
,3. Charki dadri,2017 - 2018,20,10,0.5,,,
,,2018 - 2019,1,1,1,,,
,,2021 - 2022,9,1.8,0.2,,,
,4. Faridabad,2009 - 2010,601,300,0.5,,,
,,2019 - 2020,56,11,0.2,,,
,5. Fatehabad,2000 - 2001,1,0,0,,,
,,2001 - 2002,90,0,0,,,
,,2002 - 2003,914,100,0.11,,,
,,2003 - 2004,246,0,0,,,
,,2004 - 2005,260,100,0.38,,,
,,2005 - 2006,100,,0,,,
,,2006 - 2007,190,100,0.53,,,
,,2007 - 2008,134,100,0.75,,,
,,2008 - 2009,180,100,0.56,,,
,,2009 - 2010,206,100,0.49,,,
,,2010 - 2011,79,,0,,,
,,2011 - 2012,98,,0,,,
,,2012 - 2013,77,37,0.48,,,
,,2013 - 2014,100,100,1,,,
,,2014 - 2015,100,,0,,,
,,2019 - 2020,4,1,0.25,,,
,,2021 - 2022,12,2.4,0.2,,,
,6. Gurgaon,2001 - 2002,171,0,0,,,
,7. Hisar,2001 - 2002,213,0,0,,,
,,2002 - 2003,"1,334.00",100,0.07,,,
,,2003 - 2004,"2,127.00",100,0.05,,,
,,2004 - 2005,"1,626.00",200,0.12,,,
,,2005 - 2006,778,100,0.13,,,
,,2006 - 2007,624,,0,,,
,,2007 - 2008,627,,0,,,
,,2008 - 2009,682,100,0.15,,,
,,2009 - 2010,527,100,0.19,,,
,,2010 - 2011,"1,150.00",300,0.26,,,
,,2011 - 2012,276,100,0.36,,,
,,2014 - 2015,100,,0,,,
,,2015 - 2016,100,,0,,,
,,2016 - 2017,100,20,0.2,,,
,,2017 - 2018,620,150,0.24,,,
,,2018 - 2019,43,24,0.56,,,
,,2019 - 2020,96,19,0.2,,,
,,2020 - 2021,34,7,0.21,,,
,,2021 - 2022,16,3.2,0.2,,,
,8. Jind,2008 - 2009,2,,0,,,
,,2011 - 2012,3,,0,,,
,,2012 - 2013,86,43,0.5,,,
,9. Kaithal,2020 - 2021,12,2,0.17,,,
,10. Karnal,2001 - 2002,25,0,0,,,
,,2002 - 2003,26,0,0,,,
,,2003 - 2004,24,0,0,,,
,11. Kurukshetra,2021 - 2022,2,0.4,0.2,,,
,12. Mahendragarh,2002 - 2003,12,0,0,,,
,,2005 - 2006,3,,0,,,
,,2009 - 2010,52,,0,,,
,,2010 - 2011,106,100,0.94,,,
,,2011 - 2012,3,,0,,,
,,2019 - 2020,31,6,0.19,,,
,13. Mewat,2010 - 2011,3,,0,,,
,,2011 - 2012,18,,0,,,
,,2012 - 2013,35,19,0.54,,,
