State,District,Year,Moth,,,,,
,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,"2,835.00","1,503.00",0.53,,,
,,2004 - 2005,"1,242.00",163,0.13,,,
,,2005 - 2006,636,77,0.12,,,
,,2006 - 2007,577,96,0.17,,,
,,2007 - 2008,360,113,0.31,,,
,,2008 - 2009,273,73,0.27,,,
,,2009 - 2010,469,15,0.03,,,
,,2010 - 2011,"3,157.00","1,535.00",0.49,,,
,,2011 - 2012,"3,592.00","1,219.00",0.34,,,
,,2012 - 2013,786,215,0.27,,,
,,2013 - 2014,136,39,0.29,,,
,,2014 - 2015,350,59,0.17,,,
,,2015 - 2016,"1,311.00",205,0.16,,,
,,2016 - 2017,"10,679.00","3,928.00",0.37,,,
,,2017 - 2018,"8,520.00","1,436.00",0.17,,,
,,2018 - 2019,"4,868.00","1,235.00",0.25,,,
,,2019 - 2020,"6,374.00","2,446.00",0.38,,,
,,2020 - 2021,"7,451.00","2,659.00",0.36,,,
,,2021 - 2022,"11,441.00","4,118.00",0.36,,,
,,2022 - 2023,"12,470.00","4,734.00",0.38,,,
,19. Jalore,2000 - 2001,"21,034.00","1,183.00",0.06,,,
,,2001 - 2002,"16,048.00","1,698.00",0.11,,,
,,2002 - 2003,"7,184.00",,0,,,
,,2003 - 2004,"21,498.00","11,887.00",0.55,,,
,,2004 - 2005,"16,838.00",297,0.02,,,
,,2005 - 2006,"32,071.00","23,408.00",0.73,,,
,,2006 - 2007,"34,534.00","25,920.00",0.75,,,
,,2007 - 2008,"32,315.00","15,338.00",0.47,,,
,,2008 - 2009,"36,619.00","14,069.00",0.38,,,
,,2009 - 2010,"32,479.00","1,109.00",0.03,,,
,,2010 - 2011,"32,897.00","23,372.00",0.71,,,
,,2011 - 2012,"30,799.00","25,579.00",0.83,,,
,,2012 - 2013,"24,591.00","20,496.00",0.83,,,
,,2013 - 2014,"29,696.00","10,030.00",0.34,,,
,,2014 - 2015,"20,040.00","7,600.00",0.38,,,
,,2015 - 2016,"10,942.00",240,0.02,,,
,,2016 - 2017,"15,587.00","1,385.00",0.09,,,
,,2017 - 2018,"14,554.00","2,652.00",0.18,,,
,,2018 - 2019,"4,096.00",3,0,,,
,,2019 - 2020,521,299,0.57,,,
,,2020 - 2021,320,199,0.62,,,
,,2021 - 2022,573,74,0.13,,,
,,2022 - 2023,78,67,0.86,,,
,20. Jhalawar,2003 - 2004,15,8,0.53,,,
,21. Jhunjhunu,2000 - 2001,"1,034.00",69,0.07,,,
,,2001 - 2002,426,58,0.14,,,
,,2002 - 2003,250,,0,,,
,,2003 - 2004,"1,463.00",775,0.53,,,
,,2004 - 2005,"1,131.00",148,0.13,,,
,,2005 - 2006,961,117,0.12,,,
,,2006 - 2007,960,84,0.09,,,
,,2007 - 2008,"1,921.00",348,0.18,,,
,,2008 - 2009,"2,003.00",557,0.28,,,
,,2009 - 2010,"2,129.00",30,0.01,,,
,,2010 - 2011,"2,521.00","1,226.00",0.49,,,
,,2011 - 2012,"1,921.00",552,0.29,,,
,,2012 - 2013,870,170,0.2,,,
,,2013 - 2014,305,101,0.33,,,
,,2014 - 2015,511,200,0.39,,,
,,2015 - 2016,499,137,0.27,,,
,,2016 - 2017,781,245,0.31,,,
,,2017 - 2018,271,28,0.1,,,
,,2018 - 2019,575,142,0.25,,,
,,2019 - 2020,111,37,0.33,,,
,,2020 - 2021,88,29,0.33,,,
,,2021 - 2022,109,22,0.2,,,
,,2022 - 2023,43,21,0.49,,,
,22. Jodhpur,2000 - 2001,"1,57,055.00","9,490.00",0.06,,,
,,2001 - 2002,"1,70,238.00","37,864.00",0.22,,,
,,2002 - 2003,"9,682.00",237,0.02,,,
,,2003 - 2004,"2,11,053.00","58,279.00",0.28,,,
,,2004 - 2005,"2,12,637.00","58,668.00",0.28,,,
,,2005 - 2006,"1,81,920.00","13,105.00",0.07,,,
,,2006 - 2007,"1,51,255.00","9,097.00",0.06,,,
,,2007 - 2008,"1,59,411.00","39,964.00",0.25,,,
,,2008 - 2009,"1,63,295.00","40,948.00",0.25,,,
,,2009 - 2010,"1,70,904.00","1,587.00",0.01,,,
,,2010 - 2011,"1,89,164.00","1,00,869.00",0.53,,,
,,2011 - 2012,"1,67,579.00","83,333.00",0.5,,,
,,2012 - 2013,"1,20,931.00","25,168.00",0.21,,,
,,2013 - 2014,"1,06,639.00","45,906.00",0.43,,,
,,2014 - 2015,"1,20,628.00","70,929.00",0.59,,,
,,2015 - 2016,"1,19,650.00","45,703.00",0.38,,,
,,2016 - 2017,"1,10,737.00","40,733.00",0.37,,,
,,2017 - 2018,"93,647.00","44,687.00",0.48,,,
,,2018 - 2019,"76,953.00","23,789.00",0.31,,,
,,2019 - 2020,"81,280.00","47,359.00",0.58,,,
,,2020 - 2021,"72,674.00","38,636.00",0.53,,,
,,2021 - 2022,"70,616.00","25,406.00",0.36,,,
,,2022 - 2023,"55,819.00","25,551.00",0.46,,,
,23. Karauli,2000 - 2001,52,8,0.15,,,
,,2001 - 2002,42,10,0.24,,,
,,2002 - 2003,16,1,0.06,,,
,,2003 - 2004,23,12,0.52,,,
,,2004 - 2005,52,7,0.13,,,
,,2005 - 2006,97,12,0.12,,,
,,2006 - 2007,94,16,0.17,,,
,,2007 - 2008,64,20,0.31,,,
,,2008 - 2009,63,17,0.27,,,
,,2009 - 2010,56,2,0.04,,,
,,2010 - 2011,85,41,0.48,,,
,,2011 - 2012,60,20,0.33,,,
,,2012 - 2013,65,18,0.28,,,
,,2013 - 2014,32,9,0.28,,,
,,2014 - 2015,23,9,0.39,,,
,,2015 - 2016,11,3,0.27,,,
,,2016 - 2017,2,1,0.5,,,
,,2017 - 2018,3,1,0.33,,,
,,2021 - 2022,20,4,0.2,,,
,24. Kota,2000 - 2001,7,1,0.14,,,
,,2003 - 2004,4,2,0.5,,,
,,2015 - 2016,1,,0,,,
,,2016 - 2017,1,,0,,,
,,2018 - 2019,1,,0,,,
,25. Nagaur,2000 - 2001,"1,86,032.00","27,594.00",0.15,,,
,,2001 - 2002,"2,47,052.00","50,723.00",0.21,,,
,,2002 - 2003,"88,250.00","13,381.00",0.15,,,
,,2003 - 2004,"2,21,200.00","1,11,613.00",0.5,,,
,,2004 - 2005,"2,31,190.00","32,550.00",0.14,,,
