State,District,Year,Jute,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,8. Korba,2006 - 2007,,,,81,,0,,,
,,2009 - 2010,66,,0,,,,,,
,,2010 - 2011,89,,0,,,,,,
,,2011 - 2012,49,,0,,,,,,
,,2012 - 2013,47,,0,,,,,,
,,2013 - 2014,48,,0,,,,,,
,,2014 - 2015,72,,0,,,,,,
,,2015 - 2016,70,,0,,,,,,
,,2016 - 2017,63,,0,,,,,,
,,2017 - 2018,59,,0,,,,,,
,,2018 - 2019,12,,0,,,,,,
,,2019 - 2020,14,,0,,,,,,
,9. Mahasamund,2010 - 2011,174,,0,,,,,,
,,2016 - 2017,124,,0,,,,,,
,,2021 - 2022,16,0,0,,,,,,
,10. Mungeli,2011 - 2012,38,,0,,,,,,
,,2012 - 2013,38,,0,,,,,,
,,2013 - 2014,37,,0,,,,,,
,,2014 - 2015,36,,0,,,,,,
,,2015 - 2016,34,,0,,,,,,
,,2016 - 2017,28,,0,,,,,,
,,2017 - 2018,11,,0,,,,,,
,11. Rajnandgaon,2006 - 2007,,,,3,,0,,,
,12. Sukma,2021 - 2022,6,0,0,,,,,,
,13. Surajpur,2011 - 2012,1,,0,,,,,,
,,2012 - 2013,5,,0,,,,,,
,,2013 - 2014,11,,0,,,,,,
,,2015 - 2016,3,,0,,,,,,
,,2017 - 2018,2,,0,,,,,,
,,2018 - 2019,2,,0,,,,,,
,14. Surguja,2006 - 2007,,,,63,,0,,,
,,2009 - 2010,39,,0,,,,,,
,,2010 - 2011,47,,0,,,,,,
,,2011 - 2012,30,,0,,,,,,
,,2012 - 2013,21,,0,,,,,,
,,2013 - 2014,15,,0,,,,,,
,,2014 - 2015,13,,0,,,,,,
,,2015 - 2016,25,,0,,,,,,
,,2016 - 2017,26,,0,,,,,,
,,2017 - 2018,19,,0,,,,,,
,,2018 - 2019,9,,0,,,,,,
,,2021 - 2022,1,0,0,,,,,,
4. Haryana,1. Rohtak,2011 - 2012,652,,0,,,,,,
5. Madhya Pradesh,1. Agar malwa,2018 - 2019,4,1,0.25,,,,,,
,2. Alirajpur,2018 - 2019,7,4,0.57,,,,,,
,3. Anuppur,2006 - 2007,64,122,1.91,,,,,,
,,2018 - 2019,1,,0,,,,,,
,4. Balaghat,2006 - 2007,68,133,1.96,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,
,,2017 - 2018,"1,200.00","1,680.00",1.4,,,,,,
,5. Barwani,2006 - 2007,313,289,0.92,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,6. Betul,2006 - 2007,39,83,2.13,,,,,,
,,2018 - 2019,17,7,0.41,,,,,,
,7. Bhind,2006 - 2007,2,6,3,,,,,,
,,2018 - 2019,1,,0,,,,,,
,8. Bhopal,2006 - 2007,44,83,1.89,,,,,,
,9. Burhanpur,2006 - 2007,63,139,2.21,,,,,,
,10. Chhatarpur,2006 - 2007,797,983,1.23,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,
,,2018 - 2019,6,3,0.5,,,,,,
,11. Chhindwara,2006 - 2007,333,"1,072.00",3.22,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,
,,2018 - 2019,35,12,0.34,,,,,,
,12. Datia,2006 - 2007,5,11,2.2,,,,,,
,,2018 - 2019,13,8,0.62,,,,,,
,13. Dewas,2006 - 2007,34,83,2.44,,,,,,
,,2018 - 2019,1,,0,,,,,,
,14. Dhar,2006 - 2007,189,372,1.97,,,,,,
,,2018 - 2019,15,9,0.6,,,,,,
,15. Dindori,2006 - 2007,23,22,0.96,,,,,,
,16. Gwalior,2006 - 2007,2,6,3,,,,,,
,17. Harda,2006 - 2007,1,,0,,,,,,
,,2018 - 2019,8,2,0.25,,,,,,
,18. Hoshangabad,2006 - 2007,2,6,3,,,,,,
,,2017 - 2018,"4,500.00","6,580.00",1.46,,,,,,
,19. Indore,2018 - 2019,9,3,0.33,,,,,,
,20. Jabalpur,2006 - 2007,38,106,2.79,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,
,,2018 - 2019,16,7,0.44,,,,,,
,21. Jhabua,2006 - 2007,135,267,1.98,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,22. Katni,2006 - 2007,2,,0,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,
,23. Khandwa,2006 - 2007,146,344,2.36,,,,,,
,,2018 - 2019,1,,0,,,,,,
,24. Khargone,2006 - 2007,458,928,2.03,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,25. Mandla,2006 - 2007,275,439,1.6,,,,,,
,,2017 - 2018,230,330,1.43,,,,,,
,,2018 - 2019,41,23,0.56,,,,,,
,26. Mandsaur,2006 - 2007,2,5,2.5,,,,,,
,27. Morena,2013 - 2014,"1,054.00",,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,2,4,2,,,,,,
,28. Narsinghpur,2006 - 2007,2,6,3,,,,,,
,,2018 - 2019,9,6,0.67,,,,,,
,29. Neemuch,2006 - 2007,7,17,2.43,,,,,,
,30. Panna,2006 - 2007,70,83,1.19,,,,,,
,,2018 - 2019,4,3,0.75,,,,,,
,31. Raisen,2006 - 2007,21,39,1.86,,,,,,
,,2018 - 2019,1,,0,,,,,,
,32. Rajgarh,2006 - 2007,51,117,2.29,,,,,,
,33. Ratlam,2006 - 2007,7,17,2.43,,,,,,
,,2018 - 2019,1,,0,,,,,,
,34. Rewa,2006 - 2007,96,189,1.97,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"1,000.00","1,000.00",1,,,,,,
,,2017 - 2018,20,30,1.5,,,,,,
,,2018 - 2019,4,2,0.5,,,,,,
,,2019 - 2020,1,3,3,,,,,,
,35. Sagar,2006 - 2007,74,139,1.88,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,36. Satna,2006 - 2007,99,167,1.69,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,37. Sehore,2006 - 2007,44,122,2.77,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,38. Seoni,2006 - 2007,321,678,2.11,,,,,,
,,2018 - 2019,9,4,0.44,,,,,,
,,2019 - 2020,1,11,11,,,,,,
,39. Shahdol,2006 - 2007,15,28,1.87,,,,,,
,40. Shajapur,2006 - 2007,40,61,1.53,,,,,,
,,2018 - 2019,4,1,0.25,,,,,,
,41. Sheopur,2018 - 2019,32,9,0.28,,,,,,
,42. Shivpuri,2006 - 2007,71,127,1.79,,,,,,
,43. Sidhi,2006 - 2007,531,"1,144.00",2.15,,,,,,
,,2017 - 2018,20,20,1,,,,,,
,44. Singrauli,2018 - 2019,100,61,0.61,,,,,,
,,2019 - 2020,1,2,2,,,,,,
,45. Tikamgarh,2006 - 2007,57,89,1.56,,,,,,
,46. Ujjain,2006 - 2007,6,11,1.83,,,,,,
,,2018 - 2019,56,24,0.43,,,,,,
,47. Umaria,2006 - 2007,8,11,1.38,,,,,,
,48. Vidisha,2006 - 2007,53,106,2,,,,,,
,,2018 - 2019,1,,0,,,,,,
6. Meghalaya,1. East garo hills,2000 - 2001,315,"2,779.00",8.82,,,,,,
,,2001 - 2002,315,"2,793.00",8.87,,,,,,
,,2002 - 2003,303,"2,491.00",8.22,,,,,,
,,2003 - 2004,248,"1,998.00",8.06,,,,,,
,,2004 - 2005,236,"1,505.00",6.38,,,,,,
,,2005 - 2006,233,"1,951.00",8.37,,,,,,
,,2006 - 2007,,,,217,"1,769.00",8.15,,,
,,2007 - 2008,212,"1,353.00",6.38,,,,,,
,,2008 - 2009,208,"1,023.00",4.92,,,,,,
,,2009 - 2010,210,"1,338.00",6.37,,,,,,
,,2010 - 2011,195,"1,243.00",6.37,,,,,,
,,2011 - 2012,198,"1,263.00",6.38,,,,,,
,,2012 - 2013,436,"4,849.00",11.12,,,,,,
,,2013 - 2014,42,474,11.29,,,,,,
,,2014 - 2015,45,518,11.51,,,,,,
,,2015 - 2016,47,546,11.62,,,,,,
,,2016 - 2017,48,560,11.67,,,,,,
,,2017 - 2018,48,561,11.69,,,,,,
,,2018 - 2019,49,573,11.69,,,,,,
,,2019 - 2020,50,586,11.72,,,,,,
,,2020 - 2021,50,586,11.72,,,,,,
,,2021 - 2022,51,600,11.76,,,,,,
,,2022 - 2023,45,450,10,,,,,,
,2. North garo hills,2013 - 2014,402,"4,507.00",11.21,,,,,,
,,2014 - 2015,408,"4,617.00",11.32,,,,,,
,,2015 - 2016,412,"4,691.00",11.39,,,,,,
,,2016 - 2017,413,"4,710.00",11.4,,,,,,
,,2017 - 2018,415,"4,736.00",11.41,,,,,,
,,2018 - 2019,416,"4,749.00",11.42,,,,,,
,,2019 - 2020,416,"4,749.00",11.42,,,,,,
,,2020 - 2021,416,"4,749.00",11.42,,,,,,
,,2021 - 2022,417,"4,761.00",11.42,,,,,,
,,2022 - 2023,122,752,6.16,,,,,,
,3. South garo hills,2000 - 2001,363,"1,313.00",3.62,,,,,,
,,2001 - 2002,345,"1,261.00",3.66,,,,,,
,,2002 - 2003,347,"1,260.00",3.63,,,,,,
,,2003 - 2004,339,"1,228.00",3.62,,,,,,
,,2004 - 2005,327,948,2.9,,,,,,
,,2005 - 2006,328,"1,177.00",3.59,,,,,,
,,2006 - 2007,,,,314,"1,127.00",3.59,,,
,,2007 - 2008,314,"1,127.00",3.59,,,,,,
,,2008 - 2009,310,"1,443.00",4.65,,,,,,
,,2009 - 2010,306,"1,424.00",4.65,,,,,,
,,2010 - 2011,307,"1,347.00",4.39,,,,,,
,,2011 - 2012,309,"1,490.00",4.82,,,,,,
,,2012 - 2013,488,"2,455.00",5.03,,,,,,
,,2013 - 2014,498,"2,523.00",5.07,,,,,,
,,2014 - 2015,508,"2,605.00",5.13,,,,,,
,,2015 - 2016,515,"2,699.00",5.24,,,,,,
,,2016 - 2017,516,"2,710.00",5.25,,,,,,
,,2017 - 2018,518,"2,722.00",5.25,,,,,,
,,2018 - 2019,519,"2,731.00",5.26,,,,,,
,,2019 - 2020,520,"2,741.00",5.27,,,,,,
,,2020 - 2021,520,"2,741.00",5.27,,,,,,
,,2021 - 2022,521,"2,748.00",5.27,,,,,,
,,2022 - 2023,445,"2,777.00",6.24,,,,,,
,4. South west garo hills,2013 - 2014,"1,708.00","18,047.00",10.57,,,,,,
,,2014 - 2015,"1,738.00","18,520.00",10.66,,,,,,
,,2015 - 2016,"1,750.00","18,815.00",10.75,,,,,,
,,2016 - 2017,"1,751.00","18,830.00",10.75,,,,,,
,,2017 - 2018,"1,753.00","18,857.00",10.76,,,,,,
,,2018 - 2019,"1,754.00","18,875.00",10.76,,,,,,
,,2019 - 2020,"1,754.00","18,875.00",10.76,,,,,,
,,2020 - 2021,"1,754.00","18,875.00",10.76,,,,,,
,,2021 - 2022,"1,755.00","18,887.00",10.76,,,,,,
,,2022 - 2023,852,"8,203.00",9.63,,,,,,
,5. West garo hills,2000 - 2001,"3,542.00","31,724.00",8.96,,,,,,
,,2001 - 2002,"3,401.00","21,003.00",6.18,,,,,,
,,2002 - 2003,"3,424.00","32,075.00",9.37,,,,,,
,,2003 - 2004,"3,456.00","32,473.00",9.4,,,,,,
,,2004 - 2005,"3,456.00","17,700.00",5.12,,,,,,
,,2005 - 2006,"3,456.00","32,371.00",9.37,,,,,,
,,2006 - 2007,,,,"3,436.00","32,408.00",9.43,,,
,,2007 - 2008,"3,456.00","32,397.00",9.37,,,,,,
,,2008 - 2009,"3,433.00","32,122.00",9.36,,,,,,
,,2009 - 2010,"3,412.00","32,030.00",9.39,,,,,,
,,2010 - 2011,"3,379.00","31,764.00",9.4,,,,,,
,,2011 - 2012,"3,382.00","31,810.00",9.41,,,,,,
,,2012 - 2013,"5,456.00","56,496.00",10.35,,,,,,
,,2013 - 2014,"3,850.00","39,991.00",10.39,,,,,,
,,2014 - 2015,"3,891.00","39,996.00",10.28,,,,,,
,,2015 - 2016,"3,935.00","41,530.00",10.55,,,,,,
,,2016 - 2017,"3,937.00","41,555.00",10.55,,,,,,
,,2017 - 2018,"3,939.00","41,589.00",10.56,,,,,,
,,2018 - 2019,"3,940.00","41,611.00",10.56,,,,,,
,,2019 - 2020,"3,940.00","41,611.00",10.56,,,,,,
,,2020 - 2021,"3,940.00","41,611.00",10.56,,,,,,
,,2021 - 2022,"3,941.00","41,623.00",10.56,,,,,,
,,2022 - 2023,"1,885.00","17,236.00",9.14,,,,,,
7. Nagaland,1. Chumoukedima,2022 - 2023,397,0.76,0,,,,,,
,2. Dimapur,2000 - 2001,150,230,1.53,,,,,,
,,2001 - 2002,140,150,1.07,,,,,,
,,2002 - 2003,590,"2,280.00",3.86,,,,,,
,,2003 - 2004,780,"4,020.00",5.15,,,,,,
,,2004 - 2005,"1,260.00","5,660.00",4.49,,,,,,
,,2005 - 2006,"1,320.00","4,800.00",3.64,,,,,,
,,2006 - 2007,"1,430.00","4,840.00",3.38,,,,,,
,,2007 - 2008,"1,000.00","1,380.00",1.38,,,,,,
,,2008 - 2009,800,"1,100.00",1.38,,,,,,
,,2009 - 2010,420,680,1.62,,,,,,
,,2010 - 2011,770,"1,390.00",1.81,,,,,,
,,2011 - 2012,790,"1,430.00",1.81,,,,,,
,,2012 - 2013,840,"1,610.00",1.92,,,,,,
,,2013 - 2014,840,"1,620.00",1.93,,,,,,
,,2014 - 2015,840,"1,620.00",1.93,,,,,,
,,2015 - 2016,"1,030.00","2,000.00",1.94,,,,,,
,,2016 - 2017,"1,030.00","1,960.00",1.9,,,,,,
,,2017 - 2018,"1,040.00","1,990.00",1.91,,,,,,
,,2018 - 2019,"1,040.00","1,990.00",1.91,,,,,,
,,2019 - 2020,"1,040.00","1,990.00",1.91,,,,,,
,,2020 - 2021,830,"1,590.00",1.92,,,,,,
,,2022 - 2023,248,0.47,0,,,,,,
,3. Kohima,2002 - 2003,150,770,5.13,,,,,,
,,2003 - 2004,150,"1,770.00",11.8,,,,,,
,,2004 - 2005,250,"2,040.00",8.16,,,,,,
,,2005 - 2006,260,"1,800.00",6.92,,,,,,
,,2006 - 2007,370,"1,840.00",4.97,,,,,,
,,2007 - 2008,530,330,0.62,,,,,,
,,2008 - 2009,540,910,1.69,,,,,,
,,2009 - 2010,260,420,1.62,,,,,,
,,2010 - 2011,610,"1,110.00",1.82,,,,,,
,,2011 - 2012,620,"1,120.00",1.81,,,,,,
,,2012 - 2013,550,"1,050.00",1.91,,,,,,
,,2013 - 2014,560,"1,060.00",1.89,,,,,,
,,2014 - 2015,560,"1,060.00",1.89,,,,,,
,4. Mokokchung,2004 - 2005,140,"1,900.00",13.57,,,,,,
,,2005 - 2006,150,"1,700.00",11.33,,,,,,
,,2006 - 2007,220,"1,710.00",7.77,,,,,,
,,2007 - 2008,350,460,1.31,,,,,,
,,2008 - 2009,360,840,2.33,,,,,,
,,2009 - 2010,200,320,1.6,,,,,,
,,2010 - 2011,550,970,1.76,,,,,,
,,2011 - 2012,560,"1,010.00",1.8,,,,,,
,,2012 - 2013,540,"1,020.00",1.89,,,,,,
,,2013 - 2014,540,"1,020.00",1.89,,,,,,
,,2014 - 2015,540,"1,020.00",1.89,,,,,,
,,2015 - 2016,720,"1,370.00",1.9,,,,,,
,,2016 - 2017,720,"1,370.00",1.9,,,,,,
,,2017 - 2018,720,"1,370.00",1.9,,,,,,
,,2018 - 2019,720,"1,370.00",1.9,,,,,,
,,2019 - 2020,720,"1,370.00",1.9,,,,,,
,,2020 - 2021,570,"1,090.00",1.91,,,,,,
,,2022 - 2023,686,1.32,0,,,,,,
,5. Mon,2000 - 2001,120,150,1.25,,,,,,
,,2001 - 2002,90,80,0.89,,,,,,
,,2002 - 2003,360,"1,200.00",3.33,,,,,,
,,2003 - 2004,570,"1,400.00",2.46,,,,,,
,,2008 - 2009,400,860,2.15,,,,,,
,,2009 - 2010,180,290,1.61,,,,,,
,,2010 - 2011,530,960,1.81,,,,,,
,,2011 - 2012,530,950,1.79,,,,,,
,,2012 - 2013,510,970,1.9,,,,,,
,,2013 - 2014,510,970,1.9,,,,,,
,,2014 - 2015,510,970,1.9,,,,,,
,,2015 - 2016,70,"1,330.00",19,,,,,,
,,2016 - 2017,710,"1,360.00",1.92,,,,,,
,,2017 - 2018,710,"1,350.00",1.9,,,,,,
,,2018 - 2019,710,"1,350.00",1.9,,,,,,
,,2019 - 2020,710,"1,350.00",1.9,,,,,,
,,2020 - 2021,570,"1,080.00",1.89,,,,,,
,,2021 - 2022,32,0.08,0,,,,,,
,,2022 - 2023,694,1.31,0,,,,,,
,6. Nuiland,2022 - 2023,347,0.67,0,,,,,,
,7. Peren,2021 - 2022,5,0.01,0,,,,,,
,,2022 - 2023,6,0.01,0,,,,,,
,8. Wokha,2000 - 2001,80,100,1.25,,,,,,
,,2001 - 2002,70,70,1,,,,,,
,,2002 - 2003,400,"1,250.00",3.13,,,,,,
,,2003 - 2004,500,"3,810.00",7.62,,,,,,
,,2004 - 2005,350,"2,500.00",7.14,,,,,,
,,2005 - 2006,370,"2,200.00",5.95,,,,,,
,,2006 - 2007,480,"2,260.00",4.71,,,,,,
,,2007 - 2008,570,770,1.35,,,,,,
,,2008 - 2009,400,810,2.03,,,,,,
,,2009 - 2010,190,250,1.32,,,,,,
,,2010 - 2011,540,970,1.8,,,,,,
,,2011 - 2012,540,970,1.8,,,,,,
,,2012 - 2013,570,"1,080.00",1.89,,,,,,
,,2013 - 2014,580,"1,100.00",1.9,,,,,,
,,2014 - 2015,590,"1,120.00",1.9,,,,,,
,,2015 - 2016,610,"1,130.00",1.85,,,,,,
,,2016 - 2017,610,"1,160.00",1.9,,,,,,
,,2017 - 2018,610,"1,160.00",1.9,,,,,,
,,2018 - 2019,610,"1,160.00",1.9,,,,,,
,,2019 - 2020,610,"1,160.00",1.9,,,,,,
,,2020 - 2021,490,930,1.9,,,,,,
,,2021 - 2022,30,0.06,0,,,,,,
,,2022 - 2023,592,1.13,0,,,,,,
8. Odisha,1. Baleshwar,2000 - 2001,"2,070.00","13,400.00",6.47,,,,,,
,,2001 - 2002,800,"5,542.00",6.93,,,,,,
,,2002 - 2003,974,"7,895.00",8.11,,,,,,
,,2003 - 2004,379,"2,371.00",6.26,,,,,,
,,2004 - 2005,,,,,,,226,"1,595.00",7.06
,,2005 - 2006,,,,,,,302,"2,102.00",6.96
,,2006 - 2007,,,,,,,578,"3,471.00",6.01
,,2007 - 2008,,,,,,,"1,260.00","6,076.00",4.82
,,2008 - 2009,,,,,,,10,48,4.8
,,2009 - 2010,,,,,,,106,647,6.1
,,2010 - 2011,,,,,,,227,"1,464.00",6.45
,,2011 - 2012,,,,,,,175,"1,196.00",6.83
,,2012 - 2013,,,,,,,76,72.3,0.95
,,2013 - 2014,,,,,,,323,322,1
,,2014 - 2015,,,,,,,193,378.7,1.96
,,2015 - 2016,,,,,,,186,301.1,1.62
,,2016 - 2017,,,,,,,153,254.1,1.66
,,2017 - 2018,,,,,,,67,98,1.46
,,2018 - 2019,,,,,,,58,81.6,1.41
,,2019 - 2020,,,,,,,16,28.5,1.78
,,2020 - 2021,,,,,,,41,276.67,6.75
,,2021 - 2022,,,,,,,612,"6,249.44",10.21
,,2022 - 2023,,,,,,,733,104.62,0.14
,2. Bhadrak,2000 - 2001,800,"3,560.00",4.45,,,,,,
,,2001 - 2002,79,549,6.95,,,,,,
,,2002 - 2003,43,330,7.67,,,,,,
,,2003 - 2004,25,157,6.28,,,,,,
,,2004 - 2005,,,,,,,79,632,8
,,2005 - 2006,,,,,,,82,584,7.12
,,2006 - 2007,,,,,,,9,73,8.11
,,2007 - 2008,,,,,,,60,447,7.45
,,2008 - 2009,,,,,,,58,370,6.38
,,2009 - 2010,,,,,,,81,673,8.31
,,2010 - 2011,,,,,,,89,888,9.98
,,2011 - 2012,,,,,,,45,390,8.67
,,2012 - 2013,,,,,,,47,78.2,1.66
,,2013 - 2014,,,,,,,44,77.2,1.75
,,2014 - 2015,,,,,,,36,53.3,1.48
,,2015 - 2016,,,,,,,61,80.8,1.32
,,2016 - 2017,,,,,,,13,22,1.69
,,2017 - 2018,,,,,,,99,142.4,1.44
,,2018 - 2019,,,,,,,28,38.3,1.37
,,2019 - 2020,,,,,,,13,22.6,1.74
,,2020 - 2021,,,,,,,29,257.78,8.89
,,2021 - 2022,,,,,,,246,"2,182.77",8.87
,,2022 - 2023,,,,,,,51,5.02,0.1
,3. Cuttack,2000 - 2001,"2,160.00","14,960.00",6.93,,,,,,
,,2001 - 2002,"1,422.00","16,558.00",11.64,,,,,,
,,2002 - 2003,"1,717.00","19,087.00",11.12,,,,,,
,,2003 - 2004,333,"2,693.00",8.09,,,,,,
,,2004 - 2005,,,,,,,836,"9,781.00",11.7
,,2005 - 2006,,,,,,,889,"10,347.00",11.64
,,2006 - 2007,,,,,,,"1,907.00","23,530.00",12.34
,,2007 - 2008,,,,,,,"1,325.00","17,799.00",13.43
,,2008 - 2009,,,,,,,614,"5,837.00",9.51
,,2009 - 2010,,,,,,,944,"11,978.00",12.69
,,2010 - 2011,,,,,,,823,"12,011.00",14.59
,,2011 - 2012,,,,,,,841,"10,382.00",12.34
,,2012 - 2013,,,,,,,312,652.4,2.09
,,2013 - 2014,,,,,,,264,594.3,2.25
,,2014 - 2015,,,,,,,133,192.7,1.45
,,2015 - 2016,,,,,,,248,515.8,2.08
,,2016 - 2017,,,,,,,7,13.5,1.93
,,2017 - 2018,,,,,,,108,284.7,2.64
,,2018 - 2019,,,,,,,2,2.7,1.35
,,2019 - 2020,,,,,,,20,36.3,1.82
,,2020 - 2021,,,,,,,17,299.44,17.61
,,2021 - 2022,,,,,,,403,"6,973.88",17.3
,,2022 - 2023,,,,,,,93,1.98,0.02
,4. Dhenkanal,2022 - 2023,,,,,,,11,1.26,0.11
,5. Jagatsinghapur,2000 - 2001,80,470,5.88,,,,,,
,,2001 - 2002,1,11,11,,,,,,
,,2002 - 2003,8,67,8.38,,,,,,
,,2003 - 2004,2,19,9.5,,,,,,
,,2004 - 2005,,,,,,,4,32,8
,,2005 - 2006,,,,,,,1,9,9
,,2006 - 2007,,,,,,,6,42,7
,,2007 - 2008,,,,,,,2,26,13
,,2008 - 2009,,,,,,,5,41,8.2
,,2009 - 2010,,,,,,,7,53,7.57
,,2010 - 2011,,,,,,,3,34,11.33
,,2011 - 2012,,,,,,,1,15,15
,,2012 - 2013,,,,,,,2,4.5,2.25
,,2013 - 2014,,,,,,,1,1.9,1.9
,,2014 - 2015,,,,,,,1,2,2
,,2020 - 2021,,,,,,,10,231.67,23.17
,6. Jajapur,2000 - 2001,"3,960.00","30,070.00",7.59,,,,,,
,,2001 - 2002,397,"1,749.00",4.41,,,,,,
,,2002 - 2003,"1,413.00","10,911.00",7.72,,,,,,
,,2003 - 2004,382,"2,078.00",5.44,,,,,,
,,2004 - 2005,,,,,,,394,"3,572.00",9.07
,,2005 - 2006,,,,,,,267,"1,651.00",6.18
,,2006 - 2007,,,,,,,648,"4,673.00",7.21
,,2007 - 2008,,,,,,,"1,270.00","7,923.00",6.24
,,2008 - 2009,,,,,,,358,"1,977.00",5.52
,,2009 - 2010,,,,,,,530,"4,152.00",7.83
,,2010 - 2011,,,,,,,730,"7,555.00",10.35
,,2011 - 2012,,,,,,,"1,275.00","6,276.00",4.92
,,2012 - 2013,,,,,,,394,470.8,1.19
,,2013 - 2014,,,,,,,196,337.5,1.72
,,2014 - 2015,,,,,,,131,35.9,0.27
,,2015 - 2016,,,,,,,156,253,1.62
,,2016 - 2017,,,,,,,41,88.3,2.15
,,2017 - 2018,,,,,,,6,10.3,1.72
,,2018 - 2019,,,,,,,12,21.3,1.78
,,2019 - 2020,,,,,,,13,28.3,2.18
,,2020 - 2021,,,,,,,45,477.22,10.6
,,2021 - 2022,,,,,,,395,"5,338.88",13.52
,,2022 - 2023,,,,,,,891,121.32,0.14
,7. Kendrapara,2000 - 2001,"2,200.00","18,590.00",8.45,,,,,,
,,2001 - 2002,980,"8,134.00",8.3,,,,,,
,,2002 - 2003,992,"10,019.00",10.1,,,,,,
,,2003 - 2004,805,"5,670.00",7.04,,,,,,
,,2004 - 2005,,,,,,,547,"5,187.00",9.48
,,2005 - 2006,,,,,,,915,"7,549.00",8.25
,,2006 - 2007,,,,,,,"1,223.00","10,151.00",8.3
,,2007 - 2008,,,,,,,"1,244.00","11,645.00",9.36
,,2008 - 2009,,,,,,,852,"5,945.00",6.98
,,2009 - 2010,,,,,,,417,"3,931.00",9.43
,,2010 - 2011,,,,,,,"1,099.00","12,376.00",11.26
,,2011 - 2012,,,,,,,"1,133.00","10,537.00",9.3
,,2012 - 2013,,,,,,,613,"1,302.00",2.12
,,2013 - 2014,,,,,,,329,755.4,2.3
,,2014 - 2015,,,,,,,332,665.3,2
,,2015 - 2016,,,,,,,77,155.8,2.02
,,2016 - 2017,,,,,,,306,763.8,2.5
,,2017 - 2018,,,,,,,22,51.1,2.32
,,2018 - 2019,,,,,,,40,63.7,1.59
,,2019 - 2020,,,,,,,79,193.2,2.45
,,2020 - 2021,,,,,,,140,"1,646.67",11.76
,,2021 - 2022,,,,,,,176,"2,165.55",12.3
,,2022 - 2023,,,,,,,493,54.12,0.11
,8. Kendujhar,2000 - 2001,"2,150.00","23,850.00",11.09,,,,,,
,,2001 - 2002,930,"5,208.00",5.6,,,,,,
,,2002 - 2003,462,"2,888.00",6.25,,,,,,
,,2003 - 2004,646,"5,017.00",7.77,,,,,,
,,2004 - 2005,,,,,,,433,"3,926.00",9.07
,,2005 - 2006,,,,,,,268,"2,402.00",8.96
,,2006 - 2007,,,,,,,487,"5,895.00",12.1
,,2007 - 2008,,,,,,,654,"5,904.00",9.03
,,2008 - 2009,,,,,,,532,"5,674.00",10.67
,,2009 - 2010,,,,,,,850,"8,934.00",10.51
,,2010 - 2011,,,,,,,210,"2,009.00",9.57
,,2011 - 2012,,,,,,,440,"3,288.00",7.47
,,2012 - 2013,,,,,,,332,531.9,1.6
,,2013 - 2014,,,,,,,814,"1,478.20",1.82
,,2014 - 2015,,,,,,,231,389.5,1.69
,,2015 - 2016,,,,,,,476,"1,310.40",2.75
,,2016 - 2017,,,,,,,233,122.1,0.52
,,2017 - 2018,,,,,,,645,"1,773.80",2.75
,,2018 - 2019,,,,,,,60,104.5,1.74
,,2019 - 2020,,,,,,,6,10,1.67
,,2020 - 2021,,,,,,,477,"6,951.11",14.57
,,2021 - 2022,,,,,,,"1,639.00","26,151.11",15.96
,,2022 - 2023,,,,,,,232,36.69,0.16
,9. Khordha,2000 - 2001,50,200,4,,,,,,
,,2001 - 2002,1,11,11,,,,,,
,,2002 - 2003,1,12,12,,,,,,
,10. Mayurbhanj,2000 - 2001,270,"1,220.00",4.52,,,,,,
,,2001 - 2002,2,14,7,,,,,,
,,2003 - 2004,16,133,8.31,,,,,,
,,2007 - 2008,,,,,,,1,4,4
,11. Nabarangpur,2000 - 2001,20,90,4.5,,,,,,
,12. Nayagarh,2000 - 2001,20,80,4,,,,,,
,13. Nuapada,2022 - 2023,,,,,,,48,5.81,0.12
,14. Puri,2000 - 2001,70,190,2.71,,,,,,
,,2003 - 2004,2,10,5,,,,,,
,,2004 - 2005,,,,,,,1,3,3
,,2007 - 2008,,,,,,,2,12,6
9. Tamil Nadu,1. Erode,2011 - 2012,2,,0,,,,,,
