State,District,Year,Jute,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2020 - 2021,"1,809.00","33,199.00",18.35,,,,,,
,,2021 - 2022,"1,772.00","20,430.00",11.53,,,,,,
,,2022 - 2023,"1,685.00","17,375.00",10.31,,,,,,
,5. Cachar,2000 - 2001,67,644,9.61,,,,,,
,,2001 - 2002,70,693,9.9,,,,,,
,,2002 - 2003,70,712,10.17,,,,,,
,,2003 - 2004,75,779,10.39,,,,,,
,,2004 - 2005,81,574,7.09,,,,,,
,,2005 - 2006,73,745,10.21,,,,,,
,,2006 - 2007,49,474,9.67,,,,,,
,,2007 - 2008,52,571,10.98,,,,,,
,,2008 - 2009,53,571,10.77,,,,,,
,,2009 - 2010,53,579,10.92,,,,,,
,,2010 - 2011,52,522,10.04,,,,,,
,,2011 - 2012,51,472,9.25,,,,,,
,,2012 - 2013,52,445,8.56,,,,,,
,,2013 - 2014,56,575,10.27,,,,,,
,,2014 - 2015,49,533,10.88,,,,,,
,,2015 - 2016,50,600,12,,,,,,
,,2016 - 2017,38,406,10.68,,,,,,
,,2017 - 2018,34,409,12.03,,,,,,
,,2018 - 2019,32,370,11.56,,,,,,
,,2019 - 2020,33,407,12.33,,,,,,
,,2020 - 2021,29,357,12.31,,,,,,
,,2021 - 2022,35,423,12.09,,,,,,
,,2022 - 2023,33,392,11.88,,,,,,
,6. Charaideo,2020 - 2021,4,49,12.25,,,,,,
,,2021 - 2022,5,60,12,,,,,,
,,2022 - 2023,5,59,11.8,,,,,,
,7. Chirang,2005 - 2006,"1,242.00","12,379.00",9.97,,,,,,
,,2006 - 2007,"1,209.00","11,714.00",9.69,,,,,,
,,2007 - 2008,"1,385.00","14,389.00",10.39,,,,,,
,,2008 - 2009,"1,081.00","10,879.00",10.06,,,,,,
,,2009 - 2010,"1,101.00","11,013.00",10,,,,,,
,,2010 - 2011,"1,416.00","13,329.00",9.41,,,,,,
,,2011 - 2012,"1,041.00","9,749.00",9.37,,,,,,
,,2012 - 2013,"2,165.00","18,561.00",8.57,,,,,,
,,2013 - 2014,"1,239.00","12,727.00",10.27,,,,,,
,,2014 - 2015,"1,020.00","8,966.00",8.79,,,,,,
,,2015 - 2016,"1,035.00","9,955.00",9.62,,,,,,
,,2016 - 2017,970,"8,465.00",8.73,,,,,,
,,2017 - 2018,950,"8,775.00",9.24,,,,,,
,,2018 - 2019,"2,019.00","18,851.00",9.34,,,,,,
,,2019 - 2020,"1,463.00","14,021.00",9.58,,,,,,
,,2020 - 2021,"1,193.00","11,825.00",9.91,,,,,,
,,2021 - 2022,"1,472.00","13,637.00",9.26,,,,,,
,,2022 - 2023,"1,455.00","14,509.00",9.97,,,,,,
,8. Darrang,2000 - 2001,"9,960.00","75,308.00",7.56,,,,,,
,,2001 - 2002,"7,900.00","84,591.00",10.71,,,,,,
,,2002 - 2003,"8,760.00","1,29,727.00",14.81,,,,,,
,,2003 - 2004,"11,600.00","1,57,129.00",13.55,,,,,,
,,2004 - 2005,"9,445.00","69,718.00",7.38,,,,,,
,,2005 - 2006,"4,000.00","35,067.00",8.77,,,,,,
,,2006 - 2007,"3,082.00","19,982.00",6.48,,,,,,
,,2007 - 2008,"2,534.00","17,752.00",7.01,,,,,,
,,2008 - 2009,"3,260.00","21,371.00",6.56,,,,,,
,,2009 - 2010,"4,203.00","42,217.00",10.04,,,,,,
,,2010 - 2011,"3,115.00","23,086.00",7.41,,,,,,
,,2011 - 2012,"3,874.00","38,503.00",9.94,,,,,,
,,2012 - 2013,"3,330.00","26,789.00",8.04,,,,,,
