State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,"16,732.00","31,122.00",1.86,,,,,,,,,
,,2022 - 2023,"13,900.00","23,769.00",1.71,,,,,,,,,
,7. Betul,2000 - 2001,"14,919.00","5,608.00",0.38,,,,,,,,,
,,2001 - 2002,"27,368.00","14,836.00",0.54,,,,,,,,,
,,2002 - 2003,"28,252.00","13,120.00",0.46,,,,,,,,,
,,2003 - 2004,"29,533.00","18,760.00",0.64,,,,,,,,,
,,2004 - 2005,"30,904.00","18,832.00",0.61,,,,,,,,,
,,2005 - 2006,"26,686.00","18,271.00",0.68,,,,,,,,,
,,2006 - 2007,"31,732.00","21,631.00",0.68,,,,,,,,,
,,2007 - 2008,"32,825.00","19,567.00",0.6,,,,,,,,,
,,2008 - 2009,"34,252.00","21,331.00",0.62,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"38,150.00","24,477.00",0.64
,,2010 - 2011,"40,335.00","14,323.00",0.36,,,,,,,,,
,,2011 - 2012,"38,795.00","49,986.00",1.29,,,,,,,,,
,,2012 - 2013,"38,811.00","46,738.00",1.2,,,,,,,,,
,,2013 - 2014,"42,475.00","27,914.00",0.66,,,,,,,,,
,,2014 - 2015,"45,000.00","38,000.00",0.84,,,,,,,,,
,,2015 - 2016,"66,000.00","69,000.00",1.05,,,,,,,,,
,,2016 - 2017,"69,000.00","80,000.00",1.16,,,,,,,,,
,,2017 - 2018,"41,130.00","61,410.00",1.49,,,,,,,,,
,,2018 - 2019,"56,716.00","95,113.00",1.68,,,,,,,,,
,,2019 - 2020,"53,445.00","65,737.00",1.23,,,,,,,,,
,,2020 - 2021,"54,825.00","1,06,360.00",1.94,,,,,,,,,
,,2021 - 2022,"54,737.00","69,516.00",1.27,,,,,,,,,
,,2022 - 2023,"61,800.00","63,530.00",1.03,,,,,,,,,
,8. Bhind,2000 - 2001,"46,550.00","33,376.00",0.72,,,,,,,,,
,,2001 - 2002,"57,802.00","76,356.00",1.32,,,,,,,,,
,,2002 - 2003,"64,365.00","64,687.00",1.01,,,,,,,,,
,,2003 - 2004,"49,722.00","67,224.00",1.35,,,,,,,,,
,,2004 - 2005,"45,741.00","50,041.00",1.09,,,,,,,,,
,,2005 - 2006,"34,283.00","35,997.00",1.05,,,,,,,,,
,,2006 - 2007,"28,902.00","24,885.00",0.86,,,,,,,,,
,,2007 - 2008,"21,307.00","15,469.00",0.73,,,,,,,,,
,,2008 - 2009,"19,903.00","24,501.00",1.23,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"20,692.00","26,051.00",1.26
,,2010 - 2011,"17,253.00","22,412.00",1.3,,,,,,,,,
,,2011 - 2012,"18,807.00","21,661.00",1.15,,,,,,,,,
,,2012 - 2013,"15,716.00","23,123.00",1.47,,,,,,,,,
,,2013 - 2014,"13,004.00","13,566.00",1.04,,,,,,,,,
,,2014 - 2015,"35,000.00","34,000.00",0.97,,,,,,,,,
,,2015 - 2016,"21,000.00","18,000.00",0.86,,,,,,,,,
,,2016 - 2017,"27,000.00","42,000.00",1.56,,,,,,,,,
,,2017 - 2018,"25,000.00","38,930.00",1.56,,,,,,,,,
,,2018 - 2019,"1,835.00","2,916.00",1.59,,,,,,,,,
,,2019 - 2020,"1,301.00","1,609.00",1.24,,,,,,,,,
,,2020 - 2021,"4,427.00","8,080.00",1.83,,,,,,,,,
,,2021 - 2022,"1,631.00","3,117.00",1.91,,,,,,,,,
,,2022 - 2023,"4,350.00","5,907.00",1.36,,,,,,,,,
,9. Bhopal,2000 - 2001,"31,251.00","27,959.00",0.89,,,,,,,,,
,,2001 - 2002,"35,940.00","35,152.00",0.98,,,,,,,,,
,,2002 - 2003,"31,754.00","29,484.00",0.93,,,,,,,,,
,,2003 - 2004,"34,645.00","34,451.00",0.99,,,,,,,,,
,,2004 - 2005,"34,250.00","32,671.00",0.95,,,,,,,,,
,,2005 - 2006,"35,124.00","37,465.00",1.07,,,,,,,,,
,,2006 - 2007,"35,735.00","36,345.00",1.02,,,,,,,,,
,,2007 - 2008,"35,566.00","31,677.00",0.89,,,,,,,,,
,,2008 - 2009,"35,071.00","31,960.00",0.91,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"37,919.00","40,835.00",1.08
,,2010 - 2011,"36,553.00","23,852.00",0.65,,,,,,,,,
,,2011 - 2012,"33,026.00","49,695.00",1.5,,,,,,,,,
,,2012 - 2013,"30,482.00","37,563.00",1.23,,,,,,,,,
,,2013 - 2014,"28,520.00","28,399.00",1,,,,,,,,,
,,2014 - 2015,"65,000.00","67,000.00",1.03,,,,,,,,,
,,2015 - 2016,"31,000.00","39,000.00",1.26,,,,,,,,,
,,2016 - 2017,"35,000.00","47,000.00",1.34,,,,,,,,,
,,2017 - 2018,"39,100.00","49,110.00",1.26,,,,,,,,,
,,2018 - 2019,"4,789.00","5,838.00",1.22,,,,,,,,,
,,2019 - 2020,"5,238.00","8,716.00",1.66,,,,,,,,,
,,2020 - 2021,"4,552.00","6,064.00",1.33,,,,,,,,,
,,2021 - 2022,"2,849.00","4,547.00",1.6,,,,,,,,,
,,2022 - 2023,"3,530.00","4,956.00",1.4,,,,,,,,,
,10. Burhanpur,2003 - 2004,"2,716.00","3,103.00",1.14,,,,,,,,,
,,2004 - 2005,"2,802.00","2,791.00",1,,,,,,,,,
,,2005 - 2006,"2,582.00","2,646.00",1.02,,,,,,,,,
,,2006 - 2007,"2,541.00","2,553.00",1,,,,,,,,,
,,2007 - 2008,"2,457.00","1,870.00",0.76,,,,,,,,,
,,2008 - 2009,"2,489.00","2,064.00",0.83,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"2,996.00","2,678.00",0.89
,,2010 - 2011,"3,021.00","2,712.00",0.9,,,,,,,,,
,,2011 - 2012,"2,681.00","2,994.00",1.12,,,,,,,,,
,,2012 - 2013,"2,977.00","3,314.00",1.11,,,,,,,,,
,,2013 - 2014,"3,699.00","3,428.00",0.93,,,,,,,,,
,,2014 - 2015,"35,000.00","60,000.00",1.71,,,,,,,,,
,,2015 - 2016,"7,000.00","9,000.00",1.29,,,,,,,,,
,,2016 - 2017,"7,000.00","11,000.00",1.57,,,,,,,,,
,,2017 - 2018,"14,810.00","24,060.00",1.62,,,,,,,,,
,,2018 - 2019,"15,217.00","28,243.00",1.86,,,,,,,,,
,,2019 - 2020,"9,385.00","18,967.00",2.02,,,,,,,,,
,,2020 - 2021,"19,084.00","36,450.00",1.91,,,,,,,,,
,,2021 - 2022,"22,874.00","42,774.00",1.87,,,,,,,,,
,,2022 - 2023,"21,500.00","42,355.00",1.97,,,,,,,,,
,11. Chhatarpur,2000 - 2001,"74,467.00","65,531.00",0.88,,,,,,,,,
,,2001 - 2002,"87,143.00","97,600.00",1.12,,,,,,,,,
,,2002 - 2003,"98,601.00","97,221.00",0.99,,,,,,,,,
,,2003 - 2004,"99,289.00","1,14,381.00",1.15,,,,,,,,,
,,2004 - 2005,"1,02,883.00","1,17,184.00",1.14,,,,,,,,,
,,2005 - 2006,"1,02,505.00","1,08,655.00",1.06,,,,,,,,,
,,2006 - 2007,"76,994.00","60,671.00",0.79,,,,,,,,,
,,2007 - 2008,"51,896.00","37,676.00",0.73,,,,,,,,,
,,2008 - 2009,"84,268.00","86,375.00",1.03,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"91,756.00","94,417.00",1.03
,,2010 - 2011,"95,219.00","88,839.00",0.93,,,,,,,,,
,,2011 - 2012,"87,986.00","1,32,806.00",1.51,,,,,,,,,
,,2012 - 2013,"92,367.00","1,17,364.00",1.27,,,,,,,,,
,,2013 - 2014,"93,687.00","28,072.00",0.3,,,,,,,,,
,,2014 - 2015,"46,000.00","28,000.00",0.61,,,,,,,,,
,,2015 - 2016,"49,000.00","42,000.00",0.86,,,,,,,,,
,,2016 - 2017,"88,000.00","1,32,000.00",1.5,,,,,,,,,
,,2017 - 2018,"49,990.00","60,390.00",1.21,,,,,,,,,
,,2018 - 2019,"69,638.00","1,15,460.00",1.66,,,,,,,,,
,,2019 - 2020,"78,354.00","1,28,422.00",1.64,,,,,,,,,
,,2020 - 2021,"92,851.00","1,75,488.00",1.89,,,,,,,,,
,,2021 - 2022,"82,851.00","1,34,136.00",1.62,,,,,,,,,
,,2022 - 2023,"86,900.00","1,65,110.00",1.9,,,,,,,,,
,12. Chhindwara,2000 - 2001,"16,882.00","14,254.00",0.84,,,,,,,,,
,,2001 - 2002,"19,271.00","14,777.00",0.77,,,,,,,,,
,,2002 - 2003,"23,325.00","18,832.00",0.81,,,,,,,,,
,,2003 - 2004,"28,580.00","38,110.00",1.33,,,,,,,,,
,,2004 - 2005,"31,146.00","36,161.00",1.16,,,,,,,,,
,,2005 - 2006,"33,111.00","38,325.00",1.16,,,,,,,,,
,,2006 - 2007,"34,732.00","40,929.00",1.18,,,,,,,,,
,,2007 - 2008,"34,466.00","38,915.00",1.13,,,,,,,,,
,,2008 - 2009,"29,454.00","34,184.00",1.16,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"36,251.00","58,717.00",1.62
,,2010 - 2011,"43,287.00","57,478.00",1.33,,,,,,,,,
,,2011 - 2012,"43,870.00","1,09,803.00",2.5,,,,,,,,,
,,2012 - 2013,"44,054.00","1,24,614.00",2.83,,,,,,,,,
,,2013 - 2014,"42,935.00","1,05,855.00",2.47,,,,,,,,,
,,2014 - 2015,"50,000.00","37,000.00",0.74,,,,,,,,,
,,2015 - 2016,"81,000.00","99,000.00",1.22,,,,,,,,,
,,2016 - 2017,"75,000.00","1,04,000.00",1.39,,,,,,,,,
,,2017 - 2018,"66,000.00","1,05,600.00",1.6,,,,,,,,,
,,2018 - 2019,"36,698.00","81,066.00",2.21,,,,,,,,,
,,2019 - 2020,"41,853.00","1,14,803.00",2.74,,,,,,,,,
,,2020 - 2021,"47,207.00","93,471.00",1.98,,,,,,,,,
,,2021 - 2022,"42,143.00","81,757.00",1.94,,,,,,,,,
,,2022 - 2023,"55,200.00","1,12,056.00",2.03,,,,,,,,,
,13. Damoh,2000 - 2001,"99,707.00","64,610.00",0.65,,,,,,,,,
,,2001 - 2002,"1,22,904.00","95,865.00",0.78,,,,,,,,,
,,2002 - 2003,"1,80,263.00","36,696.00",0.2,,,,,,,,,
,,2003 - 2004,"1,76,026.00","1,45,045.00",0.82,,,,,,,,,
,,2004 - 2005,"1,69,254.00","1,34,388.00",0.79,,,,,,,,,
,,2005 - 2006,"1,66,725.00","1,43,050.00",0.86,,,,,,,,,
,,2006 - 2007,"1,64,998.00","1,51,303.00",0.92,,,,,,,,,
,,2007 - 2008,"1,57,807.00","1,05,257.00",0.67,,,,,,,,,
,,2008 - 2009,"1,58,737.00","1,53,181.00",0.96,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,51,379.00","1,61,370.00",1.07
,,2010 - 2011,"1,11,324.00","60,449.00",0.54,,,,,,,,,
,,2011 - 2012,"1,07,431.00","1,02,520.00",0.95,,,,,,,,,
,,2012 - 2013,"1,35,121.00","1,51,600.00",1.12,,,,,,,,,
,,2013 - 2014,"1,78,072.00","67,391.00",0.38,,,,,,,,,
,,2014 - 2015,"75,000.00","42,000.00",0.56,,,,,,,,,
,,2015 - 2016,"1,62,000.00","1,73,000.00",1.07,,,,,,,,,
,,2016 - 2017,"1,74,000.00","2,43,000.00",1.4,,,,,,,,,
,,2017 - 2018,"1,85,750.00","2,78,630.00",1.5,,,,,,,,,
,,2018 - 2019,"1,52,425.00","2,21,931.00",1.46,,,,,,,,,
,,2019 - 2020,"1,15,309.00","1,69,274.00",1.47,,,,,,,,,
,,2020 - 2021,"1,06,976.00","1,79,185.00",1.68,,,,,,,,,
,,2021 - 2022,"98,697.00","1,78,049.00",1.8,,,,,,,,,
,,2022 - 2023,"1,09,900.00","2,03,315.00",1.85,,,,,,,,,
,14. Datia,2000 - 2001,"48,027.00","63,414.00",1.32,,,,,,,,,
,,2001 - 2002,"60,676.00","89,791.00",1.48,,,,,,,,,
,,2002 - 2003,"63,670.00","87,139.00",1.37,,,,,,,,,
,,2003 - 2004,"61,143.00","77,075.00",1.26,,,,,,,,,
,,2004 - 2005,"49,659.00","58,110.00",1.17,,,,,,,,,
,,2005 - 2006,"36,728.00","53,828.00",1.47,,,,,,,,,
,,2006 - 2007,"24,629.00","26,223.00",1.06,,,,,,,,,
,,2007 - 2008,"22,536.00","17,242.00",0.77,,,,,,,,,
,,2008 - 2009,"28,805.00","36,040.00",1.25,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"21,768.00","27,267.00",1.25
,,2010 - 2011,"19,387.00","20,477.00",1.06,,,,,,,,,
,,2011 - 2012,"20,316.00","25,614.00",1.26,,,,,,,,,
,,2012 - 2013,"21,893.00","30,745.00",1.4,,,,,,,,,
,,2013 - 2014,"17,407.00","20,222.00",1.16,,,,,,,,,
,,2014 - 2015,"26,000.00","29,000.00",1.12,,,,,,,,,
,,2015 - 2016,"47,000.00","55,000.00",1.17,,,,,,,,,
,,2016 - 2017,"40,000.00","55,000.00",1.38,,,,,,,,,
,,2017 - 2018,"29,500.00","29,530.00",1,,,,,,,,,
,,2018 - 2019,"5,474.00","11,353.00",2.07,,,,,,,,,
,,2019 - 2020,"4,251.00","9,752.00",2.29,,,,,,,,,
,,2020 - 2021,"9,968.00","13,657.00",1.37,,,,,,,,,
,,2021 - 2022,"12,453.00","21,668.00",1.74,,,,,,,,,
,,2022 - 2023,"16,390.00","26,863.00",1.64,,,,,,,,,
,15. Dewas,2000 - 2001,"26,104.00","22,907.00",0.88,,,,,,,,,
,,2001 - 2002,"76,877.00","80,611.00",1.05,,,,,,,,,
,,2002 - 2003,"56,511.00","61,347.00",1.09,,,,,,,,,
,,2003 - 2004,"79,891.00","83,746.00",1.05,,,,,,,,,
,,2004 - 2005,"83,215.00","92,187.00",1.11,,,,,,,,,
,,2005 - 2006,"87,184.00","1,03,302.00",1.18,,,,,,,,,
,,2006 - 2007,"95,489.00","1,24,478.00",1.3,,,,,,,,,
,,2007 - 2008,"1,02,452.00","1,15,162.00",1.12,,,,,,,,,
,,2008 - 2009,"1,06,022.00","1,21,267.00",1.14,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"1,37,658.00","1,68,897.00",1.23
,,2010 - 2011,"1,40,951.00","1,41,173.00",1,,,,,,,,,
,,2011 - 2012,"1,18,067.00","1,31,038.00",1.11,,,,,,,,,
,,2012 - 2013,"1,12,935.00","1,70,661.00",1.51,,,,,,,,,
,,2013 - 2014,"1,09,463.00","76,356.00",0.7,,,,,,,,,
,,2014 - 2015,"1,65,000.00","2,80,000.00",1.7,,,,,,,,,
,,2015 - 2016,"1,12,000.00","1,29,000.00",1.15,,,,,,,,,
,,2016 - 2017,"1,12,000.00","1,68,000.00",1.5,,,,,,,,,
,,2017 - 2018,"2,19,470.00","3,95,050.00",1.8,,,,,,,,,
,,2018 - 2019,"2,50,864.00","3,25,621.00",1.3,,,,,,,,,
,,2019 - 2020,"81,717.00","1,15,548.00",1.41,,,,,,,,,
,,2020 - 2021,"78,787.00","1,48,750.00",1.89,,,,,,,,,
,,2021 - 2022,"88,167.00","1,48,561.00",1.68,,,,,,,,,
,,2022 - 2023,"72,000.00","1,42,200.00",1.98,,,,,,,,,
,16. Dhar,2000 - 2001,"9,902.00","3,961.00",0.4,,,,,,,,,
,,2001 - 2002,"42,178.00","29,187.00",0.69,,,,,,,,,
,,2002 - 2003,"15,800.00","9,970.00",0.63,,,,,,,,,
,,2003 - 2004,"25,384.00","17,667.00",0.7,,,,,,,,,
,,2004 - 2005,"27,534.00","22,798.00",0.83,,,,,,,,,
,,2005 - 2006,"32,557.00","28,455.00",0.87,,,,,,,,,
,,2006 - 2007,"41,827.00","42,705.00",1.02,,,,,,,,,
,,2007 - 2008,"46,890.00","47,265.00",1.01,,,,,,,,,
,,2008 - 2009,"84,422.00","82,396.00",0.98,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"97,722.00","1,06,517.00",1.09
,,2010 - 2011,"79,962.00","84,920.00",1.06,,,,,,,,,
,,2011 - 2012,"92,215.00","93,734.00",1.02,,,,,,,,,
,,2012 - 2013,"96,472.00","1,17,687.00",1.22,,,,,,,,,
,,2013 - 2014,"94,277.00","1,07,658.00",1.14,,,,,,,,,
,,2014 - 2015,"1,18,000.00","1,22,000.00",1.03,,,,,,,,,
,,2015 - 2016,"1,08,000.00","1,13,000.00",1.05,,,,,,,,,
,,2016 - 2017,"1,00,000.00","1,14,000.00",1.14,,,,,,,,,
,,2017 - 2018,"1,49,720.00","2,31,470.00",1.55,,,,,,,,,
,,2018 - 2019,"1,51,068.00","1,14,358.00",0.76,,,,,,,,,
,,2019 - 2020,"53,499.00","80,623.00",1.51,,,,,,,,,
,,2020 - 2021,"46,094.00","72,598.00",1.57,,,,,,,,,
,,2021 - 2022,"65,100.00","85,607.00",1.32,,,,,,,,,
,,2022 - 2023,"61,640.00","90,549.00",1.47,,,,,,,,,
,17. Dindori,2000 - 2001,"5,223.00","2,175.00",0.42,,,,,,,,,
,,2001 - 2002,"5,914.00","3,329.00",0.56,,,,,,,,,
,,2002 - 2003,"6,057.00","3,508.00",0.58,,,,,,,,,
,,2003 - 2004,"6,334.00","3,624.00",0.57,,,,,,,,,
,,2004 - 2005,"6,308.00","4,250.00",0.67,,,,,,,,,
,,2005 - 2006,"6,278.00","3,058.00",0.49,,,,,,,,,
,,2006 - 2007,"6,587.00","3,591.00",0.55,,,,,,,,,
,,2007 - 2008,"7,523.00","3,013.00",0.4,,,,,,,,,
,,2008 - 2009,"7,152.00","3,803.00",0.53,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"7,550.00","4,161.00",0.55
,,2010 - 2011,"9,376.00","1,597.00",0.17,,,,,,,,,
,,2011 - 2012,"8,637.00","4,040.00",0.47,,,,,,,,,
,,2012 - 2013,"9,349.00","4,397.00",0.47,,,,,,,,,
,,2013 - 2014,"9,409.00","5,230.00",0.56,,,,,,,,,
,,2014 - 2015,"37,000.00","23,000.00",0.62,,,,,,,,,
,,2015 - 2016,"25,000.00","19,000.00",0.76,,,,,,,,,
,,2016 - 2017,"25,000.00","26,000.00",1.04,,,,,,,,,
,,2017 - 2018,"16,300.00","16,460.00",1.01,,,,,,,,,
,,2018 - 2019,"8,233.00","5,195.00",0.63,,,,,,,,,
,,2019 - 2020,"13,514.00","12,379.00",0.92,,,,,,,,,
,,2020 - 2021,"10,244.00","12,498.00",1.22,,,,,,,,,
,,2021 - 2022,"74,910.00","70,790.00",0.95,,,,,,,,,
,,2022 - 2023,"24,600.00","31,980.00",1.3,,,,,,,,,
,18. Guna,2000 - 2001,"2,08,247.00","1,68,472.00",0.81,,,,,,,,,
,,2001 - 2002,"2,11,958.00","2,00,300.00",0.94,,,,,,,,,
,,2002 - 2003,"1,88,652.00","77,159.00",0.41,,,,,,,,,
,,2003 - 2004,"66,626.00","58,098.00",0.87,,,,,,,,,
,,2004 - 2005,"70,647.00","56,094.00",0.79,,,,,,,,,
,,2005 - 2006,"66,563.00","59,840.00",0.9,,,,,,,,,
,,2006 - 2007,"70,388.00","71,233.00",1.01,,,,,,,,,
,,2007 - 2008,"72,973.00","37,508.00",0.51,,,,,,,,,
,,2008 - 2009,"75,061.00","88,647.00",1.18,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"83,644.00","80,716.00",0.96
,,2010 - 2011,"83,245.00","88,822.00",1.07,,,,,,,,,
,,2011 - 2012,"73,157.00","88,171.00",1.21,,,,,,,,,
,,2012 - 2013,"78,328.00","1,28,818.00",1.64,,,,,,,,,
,,2013 - 2014,"79,602.00","77,262.00",0.97,,,,,,,,,
,,2014 - 2015,"67,000.00","92,000.00",1.37,,,,,,,,,
,,2015 - 2016,"70,000.00","90,000.00",1.29,,,,,,,,,
,,2016 - 2017,"83,000.00","1,29,000.00",1.55,,,,,,,,,
,,2017 - 2018,"63,700.00","71,340.00",1.12,,,,,,,,,
,,2018 - 2019,"98,483.00","1,40,535.00",1.43,,,,,,,,,
,,2019 - 2020,"73,909.00","1,11,307.00",1.51,,,,,,,,,
,,2020 - 2021,"89,988.00","1,56,218.00",1.74,,,,,,,,,
,,2021 - 2022,"28,798.00","43,456.00",1.51,,,,,,,,,
,,2022 - 2023,"28,040.00","42,340.00",1.51,,,,,,,,,
,19. Gwalior,2000 - 2001,"31,523.00","37,260.00",1.18,,,,,,,,,
,,2001 - 2002,"43,286.00","49,130.00",1.14,,,,,,,,,
,,2002 - 2003,"44,440.00","43,196.00",0.97,,,,,,,,,
,,2003 - 2004,"33,419.00","40,972.00",1.23,,,,,,,,,
,,2004 - 2005,"22,159.00","27,278.00",1.23,,,,,,,,,
,,2005 - 2006,"23,339.00","30,177.00",1.29,,,,,,,,,
,,2006 - 2007,"21,920.00","23,805.00",1.09,,,,,,,,,
,,2007 - 2008,"15,668.00","17,219.00",1.1,,,,,,,,,
,,2008 - 2009,"17,374.00","22,395.00",1.29,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"21,701.00","29,687.00",1.37
,,2010 - 2011,"17,039.00","30,312.00",1.78,,,,,,,,,
,,2011 - 2012,"12,905.00","22,396.00",1.74,,,,,,,,,
,,2012 - 2013,"23,281.00","37,232.00",1.6,,,,,,,,,
,,2013 - 2014,"16,754.00","20,312.00",1.21,,,,,,,,,
,,2014 - 2015,"16,000.00","17,000.00",1.06,,,,,,,,,
,,2015 - 2016,"33,000.00","41,000.00",1.24,,,,,,,,,
,,2016 - 2017,"33,000.00","69,000.00",2.09,,,,,,,,,
,,2017 - 2018,"26,000.00","25,220.00",0.97,,,,,,,,,
,,2018 - 2019,"5,637.00","9,059.00",1.61,,,,,,,,,
,,2019 - 2020,"5,949.00","8,656.00",1.46,,,,,,,,,
,,2020 - 2021,"14,286.00","28,200.00",1.97,,,,,,,,,
,,2021 - 2022,"2,507.00","4,986.00",1.99,,,,,,,,,
,,2022 - 2023,"8,460.00","16,835.00",1.99,,,,,,,,,
,20. Harda,2000 - 2001,"28,123.00","26,460.00",0.94,,,,,,,,,
,,2001 - 2002,"30,793.00","34,751.00",1.13,,,,,,,,,
,,2002 - 2003,"30,931.00","36,752.00",1.19,,,,,,,,,
,,2003 - 2004,"29,344.00","34,828.00",1.19,,,,,,,,,
,,2004 - 2005,"20,080.00","30,864.00",1.54,,,,,,,,,
,,2005 - 2006,"20,087.00","30,681.00",1.53,,,,,,,,,
,,2006 - 2007,"20,126.00","29,311.00",1.46,,,,,,,,,
,,2007 - 2008,"16,498.00","19,969.00",1.21,,,,,,,,,
,,2008 - 2009,"25,244.00","52,052.00",2.06,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"24,845.00","25,849.00",1.04
,,2010 - 2011,"18,516.00","28,717.00",1.55,,,,,,,,,
,,2011 - 2012,"17,962.00","31,100.00",1.73,,,,,,,,,
,,2012 - 2013,"25,628.00","39,553.00",1.54,,,,,,,,,
,,2013 - 2014,"29,059.00","27,331.00",0.94,,,,,,,,,
,,2014 - 2015,"38,000.00","30,000.00",0.79,,,,,,,,,
,,2015 - 2016,"25,000.00","32,000.00",1.28,,,,,,,,,
,,2016 - 2017,"45,000.00","66,000.00",1.47,,,,,,,,,
,,2017 - 2018,"57,000.00","1,39,650.00",2.45,,,,,,,,,
,,2018 - 2019,"46,061.00","58,037.00",1.26,,,,,,,,,
,,2019 - 2020,"25,836.00","57,718.00",2.23,,,,,,,,,
,,2020 - 2021,"52,097.00","83,355.00",1.6,,,,,,,,,
,,2021 - 2022,"91,360.00","1,54,581.00",1.69,,,,,,,,,
,,2022 - 2023,"96,100.00","2,21,222.00",2.3,,,,,,,,,
,21. Hoshangabad,2000 - 2001,"63,905.00","74,769.00",1.17,,,,,,,,,
,,2001 - 2002,"67,373.00","1,00,925.00",1.5,,,,,,,,,
,,2002 - 2003,"71,133.00","78,104.00",1.1,,,,,,,,,
,,2003 - 2004,"65,803.00","82,056.00",1.25,,,,,,,,,
,,2004 - 2005,"55,924.00","62,359.00",1.12,,,,,,,,,
,,2005 - 2006,"50,113.00","60,085.00",1.2,,,,,,,,,
,,2006 - 2007,"47,283.00","56,881.00",1.2,,,,,,,,,
,,2007 - 2008,"41,646.00","59,137.00",1.42,,,,,,,,,
,,2008 - 2009,"44,640.00","57,586.00",1.29,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"34,621.00","48,227.00",1.39
,,2010 - 2011,"28,246.00","41,098.00",1.46,,,,,,,,,
,,2011 - 2012,"21,797.00","33,866.00",1.55,,,,,,,,,
,,2012 - 2013,"19,714.00","27,373.00",1.39,,,,,,,,,
,,2013 - 2014,"30,533.00","32,711.00",1.07,,,,,,,,,
,,2014 - 2015,"49,000.00","42,000.00",0.86,,,,,,,,,
,,2015 - 2016,"69,000.00","80,000.00",1.16,,,,,,,,,
,,2016 - 2017,"73,000.00","1,18,000.00",1.62,,,,,,,,,
,,2017 - 2018,"77,100.00","1,50,350.00",1.95,,,,,,,,,
,,2018 - 2019,"32,788.00","68,363.00",2.09,,,,,,,,,
,,2019 - 2020,"12,908.00","24,641.00",1.91,,,,,,,,,
,,2020 - 2021,"24,709.00","46,576.00",1.88,,,,,,,,,
,,2021 - 2022,"49,121.00","83,997.00",1.71,,,,,,,,,
,,2022 - 2023,"64,400.00","1,29,444.00",2.01,,,,,,,,,
,22. Indore,2000 - 2001,"16,726.00","11,273.00",0.67,,,,,,,,,
,,2001 - 2002,"41,889.00","27,479.00",0.66,,,,,,,,,
,,2002 - 2003,"27,688.00","18,025.00",0.65,,,,,,,,,
,,2003 - 2004,"27,823.00","25,041.00",0.9,,,,,,,,,
,,2004 - 2005,"34,170.00","32,017.00",0.94,,,,,,,,,
,,2005 - 2006,"26,834.00","24,312.00",0.91,,,,,,,,,
,,2006 - 2007,"35,708.00","36,315.00",1.02,,,,,,,,,
,,2007 - 2008,"36,887.00","34,748.00",0.94,,,,,,,,,
,,2008 - 2009,"94,986.00","97,456.00",1.03,,,,,,,,,
,,2009 - 2010,,,,,,,,,,"67,927.00","82,124.00",1.21
,,2010 - 2011,"63,775.00","40,370.00",0.63,,,,,,,,,
,,2011 - 2012,"57,398.00","75,406.00",1.31,,,,,,,,,
,,2012 - 2013,"59,579.00","80,768.00",1.36,,,,,,,,,
,,2013 - 2014,"67,221.00","64,032.00",0.95,,,,,,,,,
,,2014 - 2015,"83,000.00","98,000.00",1.18,,,,,,,,,
,,2015 - 2016,"74,000.00","87,000.00",1.18,,,,,,,,,
,,2016 - 2017,"75,000.00","1,10,000.00",1.47,,,,,,,,,
,,2017 - 2018,"94,410.00","1,77,770.00",1.88,,,,,,,,,
,,2018 - 2019,"79,173.00","74,343.00",0.94,,,,,,,,,
,,2019 - 2020,"14,153.00","24,994.00",1.77,,,,,,,,,
,,2020 - 2021,"8,036.00","12,456.00",1.55,,,,,,,,,
,,2021 - 2022,"6,252.00","8,922.00",1.43,,,,,,,,,
,,2022 - 2023,"14,200.00","24,282.00",1.71,,,,,,,,,
,23. Jabalpur,2000 - 2001,"50,863.00","37,333.00",0.73,,,,,,,,,
,,2001 - 2002,"59,755.00","61,966.00",1.04,,,,,,,,,
,,2002 - 2003,"70,376.00","39,833.00",0.57,,,,,,,,,
,,2003 - 2004,"68,576.00","74,816.00",1.09,,,,,,,,,
,,2004 - 2005,"66,955.00","70,437.00",1.05,,,,,,,,,
,,2005 - 2006,"65,205.00","74,399.00",1.14,,,,,,,,,
,,2006 - 2007,"66,450.00","73,161.00",1.1,,,,,,,,,
