State,District,Year,Gram,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"1,000.00","2,000.00",2,,,,,,,,,
,,2008 - 2009,931,"1,621.00",1.74,,,,,,,,,
,,2009 - 2010,891,"1,463.00",1.64,,,,,,,,,
,,2010 - 2011,814,"1,354.00",1.66,,,,,,,,,
,,2011 - 2012,"1,283.00","1,944.00",1.52,,,,,,,,,
,,2012 - 2013,"2,000.00","4,000.00",2,,,,,,,,,
,,2013 - 2014,"1,072.00","2,066.00",1.93,,,,,,,,,
,,2014 - 2015,769,"1,485.00",1.93,,,,,,,,,
,,2015 - 2016,"1,242.00","2,567.00",2.07,,,,,,,,,
,,2016 - 2017,"1,771.00","3,227.00",1.82,,,,,,,,,
,,2017 - 2018,"2,287.00","4,334.00",1.9,,,,,,,,,
,,2018 - 2019,"2,851.00","6,899.00",2.42,,,,,,,,,
,,2019 - 2020,"3,805.00","8,314.00",2.19,,,,,,,,,
,,2020 - 2021,"4,194.00","6,916.00",1.65,,,,,,,,,
,,2021 - 2022,"4,535.00","7,025.00",1.55,1,2,2,,,,,,
,,2022 - 2023,10,18,1.8,,,,,,,,,
,11. Kurnool,2000 - 2001,"65,868.00","57,437.00",0.87,,,,,,,,,
,,2001 - 2002,"1,07,059.00","1,25,901.00",1.18,10,12,1.2,,,,,,
,,2002 - 2003,"1,43,953.00","1,57,053.00",1.09,,,,,,,,,
,,2003 - 2004,"1,39,705.00","1,10,507.00",0.79,,,,,,,,,
,,2004 - 2005,"1,10,677.00","1,20,527.00",1.09,,,,,,,,,
,,2005 - 2006,"1,38,260.00","2,26,885.00",1.64,,,,,,,,,
,,2006 - 2007,"2,17,586.00","2,07,142.00",0.95,,,,,,,,,
,,2007 - 2008,"2,36,000.00","4,12,000.00",1.75,,,,,,,,,
,,2008 - 2009,"2,24,086.00","3,27,390.00",1.46,,,,,,,,,
,,2009 - 2010,"2,39,387.00","3,35,860.00",1.4,,,,,,,,,
,,2010 - 2011,"2,17,475.00","2,65,102.00",1.22,,,,,,,,,
,,2011 - 2012,"2,01,034.00","1,53,188.00",0.76,,,,,,,,,
,,2012 - 2013,"2,18,000.00","2,32,000.00",1.06,,,,,,,,,
,,2013 - 2014,"2,01,345.00","2,77,856.00",1.38,,,,,,,,,
,,2014 - 2015,"1,43,877.00","1,90,205.00",1.32,,,,,,,,,
,,2015 - 2016,"1,99,242.00","1,59,194.00",0.8,,,,,,,,,
,,2016 - 2017,"1,70,870.00","1,59,422.00",0.93,,,,,,,,,
,,2017 - 2018,"1,94,754.00","2,49,090.00",1.28,,,,,,,,,
,,2018 - 2019,"1,47,343.00","35,215.00",0.24,,,,,,,,,
,,2019 - 2020,"1,55,952.00","1,98,527.00",1.27,,,,,,,,,
,,2020 - 2021,"1,48,711.00","1,76,371.00",1.19,,,,,,,,,
,,2021 - 2022,"1,49,749.00","1,37,170.00",0.92,,,,,,,,,
,,2022 - 2023,"48,892.00","74,169.00",1.52,,,,,,,,,
,12. Nandyal,2022 - 2023,"52,378.00","67,620.00",1.29,,,,,,,,,
,13. Ntr,2022 - 2023,"3,692.00","7,044.00",1.91,,,,,,,,,
,14. Palnadu,2022 - 2023,"9,310.00","16,795.00",1.8,,,,,,,,,
,15. Parvathipuram manyam,2022 - 2023,6,11,1.83,,,,,,,,,
,16. Prakasam,2000 - 2001,"33,531.00","79,737.00",2.38,61,145,2.38,,,,,,
,,2001 - 2002,"43,496.00","81,512.00",1.87,,,,,,,,,
,,2002 - 2003,"67,372.00","88,325.00",1.31,,,,,,,,,
,,2003 - 2004,"78,451.00","1,40,427.00",1.79,,,,,,,,,
,,2004 - 2005,"72,599.00","1,10,859.00",1.53,,,,,,,,,
,,2005 - 2006,"90,384.00","1,75,616.00",1.94,,,,,,,,,
,,2006 - 2007,"1,04,508.00","2,03,582.00",1.95,,,,,,,,,
,,2007 - 2008,"1,05,000.00","1,35,000.00",1.29,,,,,,,,,
,,2008 - 2009,"93,681.00","1,64,972.00",1.76,,,,,,,,,
,,2009 - 2010,"94,477.00","1,61,650.00",1.71,,,,,,,,,
,,2010 - 2011,"73,323.00","1,23,549.00",1.68,,,,,,,,,
,,2011 - 2012,"94,684.00","1,38,996.00",1.47,,,,,,,,,
,,2012 - 2013,"1,12,000.00","2,09,000.00",1.87,,,,,,,,,
,,2013 - 2014,"69,465.00","1,35,109.00",1.94,,,,,,,,,
,,2014 - 2015,"50,750.00","95,867.00",1.89,,,,,,,,,
,,2015 - 2016,"91,972.00","1,77,690.00",1.93,,,,,,,,,
,,2016 - 2017,"82,605.00","1,23,081.00",1.49,,,,,,,,,
,,2017 - 2018,"1,07,733.00","1,39,407.00",1.29,,,,,,,,,
,,2018 - 2019,"1,09,283.00","91,033.00",0.83,,,,,,,,,
,,2019 - 2020,"86,177.00","1,20,734.00",1.4,,,,,,,,,
,,2020 - 2021,"92,410.00","1,38,061.00",1.49,,,,,,,,,
,,2021 - 2022,"1,02,409.00","1,60,475.00",1.57,,,,,,,,,
,,2022 - 2023,"40,448.00","51,369.00",1.27,,,,,,,,,
,17. Spsr nellore,2000 - 2001,654,"1,555.00",2.38,,,,,,,,,
,,2001 - 2002,930,"1,743.00",1.87,,,,,,,,,
,,2002 - 2003,"2,165.00","2,838.00",1.31,16,21,1.31,,,,,,
,,2003 - 2004,"2,604.00","4,661.00",1.79,,,,,,,,,
,,2004 - 2005,"3,017.00","4,607.00",1.53,,,,,,,,,
,,2005 - 2006,"3,110.00","5,968.00",1.92,,,,,,,,,
,,2006 - 2007,"10,832.00","20,667.00",1.91,,,,,,,,,
,,2007 - 2008,"12,000.00","10,000.00",0.83,,,,,,,,,
,,2008 - 2009,"10,513.00","12,353.00",1.18,,,,,,,,,
,,2009 - 2010,"9,935.00","12,955.00",1.3,,,,,,,,,
,,2010 - 2011,"9,512.00","13,184.00",1.39,,,,,,,,,
,,2011 - 2012,"11,944.00","16,339.00",1.37,,,,,,,,,
,,2012 - 2013,"12,000.00","14,000.00",1.17,,,,,,,,,
,,2013 - 2014,"7,429.00","9,680.00",1.3,,,,,,,,,
,,2014 - 2015,"3,699.00","7,069.00",1.91,,,,,,,,,
,,2015 - 2016,"7,108.00","9,553.00",1.34,,,,,,,,,
,,2016 - 2017,"13,242.00","10,620.00",0.8,,,,,,,,,
,,2017 - 2018,"10,034.00","12,984.00",1.29,,,,,,,,,
,,2018 - 2019,"11,040.00","10,256.00",0.93,,,,,,,,,
,,2019 - 2020,"10,655.00","12,562.00",1.18,,,,,,,,,
,,2020 - 2021,"10,588.00","14,749.00",1.39,,,,,,,,,
,,2021 - 2022,"9,091.00","9,055.00",1,,,,,,,,,
,,2022 - 2023,"7,525.00","10,400.00",1.38,,,,,,,,,
,18. Sri sathya sai,2022 - 2023,"1,845.00","1,042.00",0.56,7,9,1.29,,,,,,
,19. Srikakulam,2006 - 2007,15,29,1.93,,,,,,,,,
,,2008 - 2009,16,28,1.75,,,,,,,,,
,,2009 - 2010,16,26,1.63,,,,,,,,,
,,2010 - 2011,12,20,1.67,,,,,,,,,
,,2014 - 2015,1,2,2,,,,,,,,,
,20. Visakhapatanam,2000 - 2001,27,64,2.37,,,,,,,,,
,,2001 - 2002,97,182,1.88,,,,,,,,,
,,2002 - 2003,93,122,1.31,,,,,,,,,
,,2003 - 2004,215,385,1.79,,,,,,,,,
,,2004 - 2005,64,98,1.53,,,,,,,,,
,,2005 - 2006,31,59,1.9,,,,,,,,,
,,2006 - 2007,33,63,1.91,,,,,,,,,
,,2008 - 2009,58,101,1.74,,,,,,,,,
,,2009 - 2010,60,99,1.65,,,,,,,,,
,,2010 - 2011,80,133,1.66,,,,,,,,,
,,2011 - 2012,65,98,1.51,,,,,,,,,
,,2013 - 2014,81,156,1.93,,,,,,,,,
,,2014 - 2015,87,168,1.93,,,,,,,,,
,,2015 - 2016,102,189,1.85,,,,,,,,,
,,2016 - 2017,50,75,1.5,,,,,,,,,
,,2017 - 2018,75,107,1.43,,,,,,,,,
,,2018 - 2019,178,192,1.08,5,5,1,,,,,,
,,2019 - 2020,82,119,1.45,,,,,,,,,
,21. Vizianagaram,2000 - 2001,71,169,2.38,,,,,,,,,
,,2001 - 2002,61,114,1.87,,,,,,,,,
,,2002 - 2003,322,422,1.31,,,,,,,,,
,,2003 - 2004,178,319,1.79,,,,,,,,,
,,2004 - 2005,99,151,1.53,,,,,,,,,
,,2005 - 2006,93,178,1.91,,,,,,,,,
,,2006 - 2007,165,315,1.91,,,,,,,,,
,,2008 - 2009,214,373,1.74,,,,,,,,,
,,2009 - 2010,237,389,1.64,,,,,,,,,
,,2010 - 2011,202,336,1.66,,,,,,,,,
,,2011 - 2012,250,379,1.52,,,,,,,,,
,,2013 - 2014,525,"1,012.00",1.93,,,,,,,,,
,,2014 - 2015,229,442,1.93,,,,,,,,,
,,2015 - 2016,123,228,1.85,,,,,,,,,
,,2016 - 2017,130,196,1.51,,,,,,,,,
,,2017 - 2018,112,160,1.43,,,,,,,,,
,,2018 - 2019,57,61,1.07,,,,,,,,,
,,2019 - 2020,121,176,1.45,,,,,,,,,
,,2020 - 2021,84,130,1.55,,,,,,,,,
,,2021 - 2022,31,49,1.58,,,,,,,,,
,,2022 - 2023,8,14,1.75,2,4,2,,,,,,
,22. West godavari,2000 - 2001,5,12,2.4,,,,,,,,,
,,2001 - 2002,6,11,1.83,,,,,,,,,
,,2002 - 2003,23,30,1.3,,,,,,,,,
,,2009 - 2010,200,328,1.64,,,,,,,,,
,,2014 - 2015,44,85,1.93,,,,,,,,,
,,2015 - 2016,25,46,1.84,,,,,,,,,
,,2016 - 2017,5,8,1.6,,,,,,,,,
,,2017 - 2018,33,47,1.42,,,,,,,,,
,,2018 - 2019,36,39,1.08,,,,,,,,,
,,2019 - 2020,4,6,1.5,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,,,,2,3,1.5,,,,,,
2. Assam,1. Baksa,2005 - 2006,58,26,0.45,,,,,,,,,
,,2006 - 2007,118,53,0.45,,,,,,,,,
,,2007 - 2008,97,44,0.45,,,,,,,,,
,,2008 - 2009,68,31,0.46,,,,,,,,,
,,2009 - 2010,94,42,0.45,,,,,,,,,
,,2010 - 2011,45,20,0.44,,,,,,,,,
,,2011 - 2012,69,31,0.45,,,,,,,,,
,,2012 - 2013,72,35,0.49,,,,,,,,,
,,2013 - 2014,80,40,0.5,,,,,,,,,
,,2014 - 2015,78,49,0.63,,,,,,,,,
,,2015 - 2016,65,52,0.8,,,,,,,,,
,,2016 - 2017,302,188,0.62,,,,,,,,,
,,2017 - 2018,282,230,0.82,,,,,,,,,
,,2018 - 2019,282,223,0.79,,,,,,,,,
,,2019 - 2020,282,251,0.89,,,,,,,,,
,,2020 - 2021,257,228,0.89,,,,,,,,,
,,2021 - 2022,232,206,0.89,,,,,,,,,
,,2022 - 2023,213,189,0.89,,,,,,,,,
,2. Barpeta,2000 - 2001,211,84,0.4,,,,,,,,,
,,2001 - 2002,219,87,0.4,,,,,,,,,
,,2002 - 2003,220,88,0.4,,,,,,,,,
,,2003 - 2004,222,98,0.44,,,,,,,,,
,,2004 - 2005,212,88,0.42,,,,,,,,,
,,2005 - 2006,153,64,0.42,,,,,,,,,
,,2006 - 2007,165,70,0.42,,,,,,,,,
,,2007 - 2008,165,69,0.42,,,,,,,,,
,,2008 - 2009,123,52,0.42,,,,,,,,,
,,2009 - 2010,107,45,0.42,,,,,,,,,
,,2010 - 2011,90,38,0.42,,,,,,,,,
,,2011 - 2012,114,50,0.44,,,,,,,,,
,,2012 - 2013,99,47,0.47,,,,,,,,,
,,2013 - 2014,83,39,0.47,,,,,,,,,
,,2014 - 2015,83,51,0.61,,,,,,,,,
,,2015 - 2016,81,51,0.63,,,,,,,,,
,,2016 - 2017,72,39,0.54,,,,,,,,,
,,2017 - 2018,77,54,0.7,,,,,,,,,
,,2018 - 2019,84,57,0.68,,,,,,,,,
,,2019 - 2020,81,55,0.68,,,,,,,,,
,,2020 - 2021,75,51,0.68,,,,,,,,,
,,2021 - 2022,71,51,0.72,,,,,,,,,
,,2022 - 2023,69,50,0.72,,,,,,,,,
,3. Biswanath,2020 - 2021,4,2,0.5,,,,,,,,,
,,2021 - 2022,8,5,0.63,,,,,,,,,
,,2022 - 2023,6,4,0.67,,,,,,,,,
,4. Bongaigaon,2000 - 2001,47,25,0.53,,,,,,,,,
,,2001 - 2002,38,22,0.58,,,,,,,,,
,,2002 - 2003,47,24,0.51,,,,,,,,,
,,2003 - 2004,38,21,0.55,,,,,,,,,
,,2004 - 2005,35,19,0.54,,,,,,,,,
,,2005 - 2006,21,10,0.48,,,,,,,,,
,,2006 - 2007,20,9,0.45,,,,,,,,,
,,2007 - 2008,23,11,0.48,,,,,,,,,
,,2008 - 2009,26,13,0.5,,,,,,,,,
,,2009 - 2010,27,14,0.52,,,,,,,,,
,,2010 - 2011,28,14,0.5,,,,,,,,,
,,2011 - 2012,23,15,0.65,,,,,,,,,
,,2012 - 2013,20,13,0.65,,,,,,,,,
,,2013 - 2014,265,202,0.76,,,,,,,,,
,,2014 - 2015,242,232,0.96,,,,,,,,,
,,2015 - 2016,234,140,0.6,,,,,,,,,
,,2016 - 2017,258,160,0.62,,,,,,,,,
,,2017 - 2018,242,144,0.6,,,,,,,,,
,,2018 - 2019,244,132,0.54,,,,,,,,,
,,2019 - 2020,233,128,0.55,,,,,,,,,
,,2020 - 2021,229,175,0.76,,,,,,,,,
,,2021 - 2022,249,189,0.76,,,,,,,,,
,,2022 - 2023,250,149,0.6,,,,,,,,,
,5. Cachar,2000 - 2001,42,22,0.52,,,,,,,,,
,,2001 - 2002,43,22,0.51,,,,,,,,,
,,2002 - 2003,44,23,0.52,,,,,,,,,
,,2003 - 2004,48,25,0.52,,,,,,,,,
,,2004 - 2005,52,27,0.52,,,,,,,,,
,,2005 - 2006,54,28,0.52,,,,,,,,,
,,2006 - 2007,60,31,0.52,,,,,,,,,
,,2007 - 2008,56,29,0.52,,,,,,,,,
,,2008 - 2009,54,28,0.52,,,,,,,,,
,,2009 - 2010,52,28,0.54,,,,,,,,,
,,2010 - 2011,56,29,0.52,,,,,,,,,
,,2011 - 2012,59,32,0.54,,,,,,,,,
,,2012 - 2013,61,35,0.57,,,,,,,,,
,,2013 - 2014,64,38,0.59,,,,,,,,,
,,2014 - 2015,61,46,0.75,,,,,,,,,
,,2015 - 2016,56,31,0.55,,,,,,,,,
,,2016 - 2017,55,31,0.56,,,,,,,,,
,,2017 - 2018,50,28,0.56,,,,,,,,,
,,2018 - 2019,48,32,0.67,,,,,,,,,
,,2019 - 2020,51,34,0.67,,,,,,,,,
,,2020 - 2021,52,34,0.65,,,,,,,,,
,,2021 - 2022,56,36,0.64,,,,,,,,,
,,2022 - 2023,50,38,0.76,,,,,,,,,
,6. Chirang,2005 - 2006,21,10,0.48,,,,,,,,,
,,2006 - 2007,19,9,0.47,,,,,,,,,
,,2007 - 2008,15,7,0.47,,,,,,,,,
,,2008 - 2009,15,7,0.47,,,,,,,,,
,,2009 - 2010,16,8,0.5,,,,,,,,,
,,2010 - 2011,213,100,0.47,,,,,,,,,
,,2011 - 2012,81,42,0.52,,,,,,,,,
,,2012 - 2013,133,69,0.52,,,,,,,,,
,,2013 - 2014,141,75,0.53,,,,,,,,,
,,2014 - 2015,118,79,0.67,,,,,,,,,
,,2015 - 2016,131,64,0.49,,,,,,,,,
,,2016 - 2017,130,61,0.47,,,,,,,,,
,,2017 - 2018,126,93,0.74,,,,,,,,,
,,2018 - 2019,129,116,0.9,,,,,,,,,
,,2019 - 2020,110,53,0.48,,,,,,,,,
,,2020 - 2021,100,49,0.49,,,,,,,,,
,,2021 - 2022,87,41,0.47,,,,,,,,,
,,2022 - 2023,80,54,0.68,,,,,,,,,
,7. Darrang,2000 - 2001,179,116,0.65,,,,,,,,,
,,2001 - 2002,169,110,0.65,,,,,,,,,
,,2002 - 2003,186,121,0.65,,,,,,,,,
,,2003 - 2004,187,121,0.65,,,,,,,,,
,,2004 - 2005,155,101,0.65,,,,,,,,,
,,2005 - 2006,117,76,0.65,,,,,,,,,
,,2006 - 2007,45,29,0.64,,,,,,,,,
,,2007 - 2008,24,16,0.67,,,,,,,,,
,,2008 - 2009,42,27,0.64,,,,,,,,,
,,2009 - 2010,42,27,0.64,,,,,,,,,
,,2010 - 2011,47,31,0.66,,,,,,,,,
,,2011 - 2012,40,26,0.65,,,,,,,,,
,,2012 - 2013,11,8,0.73,,,,,,,,,
,,2013 - 2014,15,11,0.73,,,,,,,,,
,,2014 - 2015,17,15,0.88,,,,,,,,,
,,2015 - 2016,19,13,0.68,,,,,,,,,
,,2016 - 2017,47,32,0.68,,,,,,,,,
,,2017 - 2018,28,22,0.79,,,,,,,,,
,,2018 - 2019,36,29,0.81,,,,,,,,,
,,2019 - 2020,33,26,0.79,,,,,,,,,
,,2020 - 2021,31,21,0.68,,,,,,,,,
,,2021 - 2022,32,24,0.75,,,,,,,,,
,,2022 - 2023,34,23,0.68,,,,,,,,,
,8. Dhemaji,2000 - 2001,21,9,0.43,,,,,,,,,
,,2001 - 2002,8,3,0.38,,,,,,,,,
,,2002 - 2003,7,3,0.43,,,,,,,,,
,,2003 - 2004,7,3,0.43,,,,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,,,,
,,2005 - 2006,9,4,0.44,,,,,,,,,
,,2006 - 2007,8,4,0.5,,,,,,,,,
,,2007 - 2008,7,4,0.57,,,,,,,,,
,,2008 - 2009,7,4,0.57,,,,,,,,,
,,2009 - 2010,7,4,0.57,,,,,,,,,
,,2010 - 2011,6,2,0.33,,,,,,,,,
,,2011 - 2012,6,4,0.67,,,,,,,,,
,,2012 - 2013,9,6,0.67,,,,,,,,,
,,2013 - 2014,6,4,0.67,,,,,,,,,
,,2014 - 2015,5,4,0.8,,,,,,,,,
,,2015 - 2016,5,4,0.8,,,,,,,,,
,,2016 - 2017,5,4,0.8,,,,,,,,,
,,2017 - 2018,4,3,0.75,,,,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,,,,
,9. Dhubri,2000 - 2001,370,242,0.65,,,,,,,,,
,,2001 - 2002,338,222,0.66,,,,,,,,,
,,2002 - 2003,313,205,0.65,,,,,,,,,
,,2003 - 2004,310,203,0.65,,,,,,,,,
,,2004 - 2005,293,192,0.66,,,,,,,,,
,,2005 - 2006,260,170,0.65,,,,,,,,,
,,2006 - 2007,242,159,0.66,,,,,,,,,
,,2007 - 2008,243,159,0.65,,,,,,,,,
,,2008 - 2009,255,167,0.65,,,,,,,,,
,,2009 - 2010,224,146,0.65,,,,,,,,,
,,2010 - 2011,165,108,0.65,,,,,,,,,
