State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,18. Parvathipuram manyam,2022 - 2023,104,"19,05,000.00","18,317.31",,,
,19. Prakasam,2000 - 2001,209,"22,40,700.00","10,721.05",,,
,,2001 - 2002,202,"21,95,568.00","10,869.15",,,
,,2002 - 2003,202,"22,67,460.00","11,225.05",,,
,,2003 - 2004,200,"23,69,640.00","11,848.20",,,
,,2004 - 2005,202,"23,73,274.00","11,748.88",,,
,,2005 - 2006,123,"10,77,384.00","8,759.22",,,
,,2006 - 2007,100,"12,87,287.00","12,872.87",,,
,,2008 - 2009,63,"5,77,778.00","9,171.08",,,
,,2009 - 2010,61,"6,84,360.00","11,219.02",,,
,,2010 - 2011,73,"8,65,000.00","11,849.32",,,
,,2011 - 2012,47,"6,55,424.00","13,945.19",,,
,,2012 - 2013,39,"6,66,000.00","17,076.92",,,
,,2013 - 2014,39,"6,46,000.00","16,564.10",,,
,,2014 - 2015,37,"6,00,000.00","16,216.22",,,
,,2015 - 2016,40,"6,00,000.00","15,000.00",,,
,,2016 - 2017,40,"6,00,000.00","15,000.00",,,
,,2017 - 2018,21,"5,00,000.00","23,809.52",,,
,,2018 - 2019,19,"6,00,000.00","31,578.95",,,
,,2019 - 2020,19,"3,50,000.00","18,421.05",,,
,,2020 - 2021,55,"9,63,000.00","17,509.09",,,
,,2021 - 2022,50,"9,18,000.00","18,360.00",,,
,,2022 - 2023,20,"3,66,000.00","18,300.00",,,
,20. Spsr nellore,2000 - 2001,422,"45,16,050.00","10,701.54",,,
,,2001 - 2002,590,"65,18,448.00","11,048.22",,,
,,2002 - 2003,599,"67,44,240.00","11,259.17",,,
,,2003 - 2004,487,"57,54,840.00","11,816.92",,,
,,2004 - 2005,536,"62,96,928.00","11,748.00",,,
,,2005 - 2006,511,"44,60,904.00","8,729.75",,,
,,2006 - 2007,511,"65,82,416.00","12,881.44",,,
,,2008 - 2009,800,"73,06,096.00","9,132.62",,,
,,2009 - 2010,800,"90,33,552.00","11,291.94",,,
,,2010 - 2011,788,"93,39,000.00","11,851.52",,,
,,2011 - 2012,769,"1,07,69,808.00","14,004.95",,,
,,2012 - 2013,735,"1,25,58,000.00","17,085.71",,,
,,2013 - 2014,543,"90,00,000.00","16,574.59",,,
,,2014 - 2015,491,"60,00,000.00","12,219.96",,,
,,2015 - 2016,498,"59,76,000.00","12,000.00",,,
,,2016 - 2017,466,"64,00,000.00","13,733.91",,,
,,2017 - 2018,406,"57,00,000.00","14,039.41",,,
,,2018 - 2019,376,"66,00,000.00","17,553.19",,,
,,2019 - 2020,390,"71,76,000.00","18,400.00",,,
,,2020 - 2021,335,"58,63,000.00","17,501.49",,,
,,2021 - 2022,343,"62,98,000.00","18,361.52",,,
,,2022 - 2023,364,"66,69,000.00","18,321.43",,,
,21. Sri sathya sai,2022 - 2023,387,"70,90,000.00","18,320.41",,,
,22. Srikakulam,2000 - 2001,"13,576.00","9,91,17,270.00","7,300.92",,,
,,2001 - 2002,"13,645.00","13,18,30,848.00","9,661.48",,,
,,2002 - 2003,"13,682.00","11,28,23,694.00","8,246.14",,,
