State,District,Year,Coconut,,,,,
,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare)
,,2006 - 2007,"1,340.00","68,40,000.00","5,104.48",,,
,,2007 - 2008,"1,350.00","71,50,000.00","5,296.30",,,
,,2008 - 2009,"1,380.00","1,05,47,000.00","7,642.75",,,
,,2009 - 2010,"1,390.00","80,49,000.00","5,790.65",,,
,,2010 - 2011,"1,390.00","80,19,000.00","5,769.06",,,
,,2011 - 2012,"1,390.00","78,18,000.00","5,624.46",,,
,,2012 - 2013,"1,390.00","1,03,97,000.00","7,479.86",,,
,,2013 - 2014,"1,380.00","99,45,000.00","7,206.52",,,
,,2014 - 2015,"1,380.00","1,31,19,000.00","9,506.52",,,
,,2015 - 2016,"1,385.00","1,79,73,000.00","12,976.90",,,
,,2016 - 2017,"1,390.00","1,85,63,000.00","13,354.68",,,
,,2017 - 2018,"1,390.00","1,44,75,000.00","10,413.67",,,
,,2018 - 2019,"1,448.00","1,50,79,000.00","10,413.67",,,
,,2019 - 2020,"1,448.00","1,66,12,000.00","11,472.38",,,
,,2020 - 2021,"1,350.00","3,34,32,000.00","24,764.44",,,
,,2021 - 2022,"1,350.00","3,34,32,000.00","24,764.44",,,
,,2022 - 2023,"1,270.00","1,95,72,000.00","15,411.02",,,
,28. Sivasagar,2000 - 2001,575,"36,93,000.00","6,422.61",,,
,,2001 - 2002,579,"50,39,000.00","8,702.94",,,
,,2002 - 2003,597,"45,78,000.00","7,668.34",,,
,,2003 - 2004,581,"37,86,000.00","6,516.35",,,
,,2005 - 2006,546,"43,73,000.00","8,009.16",,,
,,2006 - 2007,558,"42,33,000.00","7,586.02",,,
,,2007 - 2008,506,"55,98,000.00","11,063.24",,,
,,2008 - 2009,493,"42,25,000.00","8,569.98",,,
,,2009 - 2010,481,"50,36,000.00","10,469.85",,,
,,2010 - 2011,503,"49,88,000.00","9,916.50",,,
,,2011 - 2012,532,"27,78,000.00","5,221.80",,,
,,2012 - 2013,521,"31,54,000.00","6,053.74",,,
,,2013 - 2014,489,"17,02,000.00","3,480.57",,,
,,2014 - 2015,484,"27,82,000.00","5,747.93",,,
,,2015 - 2016,470,"6,79,000.00","1,444.68",,,
,,2016 - 2017,466,"18,22,000.00","3,909.87",,,
,,2017 - 2018,466,"21,78,000.00","4,673.82",,,
,,2018 - 2019,688,"24,21,000.00","3,518.90",,,
,,2019 - 2020,215,"11,10,000.00","5,162.79",,,
,,2020 - 2021,205,"9,19,000.00","4,482.93",,,
,,2021 - 2022,205,"9,19,000.00","4,482.93",,,
,,2022 - 2023,210,"10,32,000.00","4,914.29",,,
,29. Sonitpur,2000 - 2001,"1,301.00","94,93,000.00","7,296.69",,,
,,2001 - 2002,"1,303.00","1,28,64,000.00","9,872.60",,,
,,2002 - 2003,"1,307.00","1,42,42,000.00","10,896.71",,,
,,2003 - 2004,"1,319.00","1,28,79,000.00","9,764.22",,,
,,2005 - 2006,"1,325.00","1,54,52,000.00","11,661.89",,,
,,2006 - 2007,"1,350.00","48,69,000.00","3,606.67",,,
,,2007 - 2008,"1,328.00","1,14,17,000.00","8,597.14",,,
,,2008 - 2009,"1,350.00","1,37,32,000.00","10,171.85",,,
,,2009 - 2010,"1,386.00","1,76,91,000.00","12,764.07",,,
,,2010 - 2011,"1,493.00","1,99,62,000.00","13,370.40",,,
,,2011 - 2012,"1,928.00","2,52,96,000.00","13,120.33",,,
,,2012 - 2013,"1,891.00","1,59,88,000.00","8,454.79",,,
,,2013 - 2014,"1,882.00","1,38,78,000.00","7,374.07",,,
,,2014 - 2015,"2,027.00","1,16,45,000.00","5,744.94",,,
,,2015 - 2016,"1,982.00","1,52,61,000.00","7,699.80",,,
,,2016 - 2017,"2,031.00","1,35,90,000.00","6,691.29",,,
,,2017 - 2018,"2,036.00","1,19,81,000.00","5,884.58",,,
,,2018 - 2019,"2,039.00","1,31,18,000.00","6,433.55",,,
,,2019 - 2020,"1,516.00","63,14,000.00","4,164.91",,,
,,2020 - 2021,"1,413.00","76,68,000.00","5,426.75",,,
,,2021 - 2022,"1,413.00","76,68,000.00","5,426.75",,,
,,2022 - 2023,"1,396.00","69,49,000.00","4,977.79",,,
,30. South salmara mancachar,2020 - 2021,116,"17,44,000.00","15,034.48",,,
,,2021 - 2022,116,"17,44,000.00","15,034.48",,,
,,2022 - 2023,82,"10,04,000.00","12,243.90",,,
,31. Tinsukia,2000 - 2001,69,"95,000.00","1,376.81",,,
,,2001 - 2002,71,"1,84,000.00","2,591.55",,,
,,2002 - 2003,75,"6,90,000.00","9,200.00",,,
,,2003 - 2004,74,"6,62,000.00","8,945.95",,,
,,2005 - 2006,78,"3,21,000.00","4,115.38",,,
,,2006 - 2007,62,"87,000.00","1,403.23",,,
,,2007 - 2008,63,"92,000.00","1,460.32",,,
,,2008 - 2009,70,"66,000.00",942.86,,,
,,2009 - 2010,70,"5,79,000.00","8,271.43",,,
,,2010 - 2011,53,"2,32,000.00","4,377.36",,,
,,2011 - 2012,54,"2,46,000.00","4,555.56",,,
,,2012 - 2013,72,"3,09,000.00","4,291.67",,,
,,2013 - 2014,76,"9,81,000.00","12,907.89",,,
,,2014 - 2015,71,"10,56,000.00","14,873.24",,,
,,2015 - 2016,75,"22,57,000.00","30,093.33",,,
,,2016 - 2017,76,"21,88,000.00","28,789.47",,,
,,2017 - 2018,76,"16,60,000.00","21,842.11",,,
,,2018 - 2019,72,"31,65,000.00","43,958.33",,,
,,2019 - 2020,71,"23,40,000.00","32,957.75",,,
,,2020 - 2021,81,"30,35,000.00","37,469.14",,,
,,2021 - 2022,81,"30,35,000.00","37,469.14",,,
,,2022 - 2023,79,"29,60,000.00","37,468.35",,,
,32. Udalguri,2006 - 2007,514,"30,59,000.00","5,951.36",,,
,,2007 - 2008,709,"51,03,000.00","7,197.46",,,
,,2008 - 2009,630,"50,43,000.00","8,004.76",,,
,,2009 - 2010,678,"29,26,000.00","4,315.63",,,
,,2010 - 2011,684,"35,74,000.00","5,225.15",,,
,,2011 - 2012,680,"20,62,000.00","3,032.35",,,
,,2012 - 2013,670,"27,56,000.00","4,113.43",,,
,,2013 - 2014,714,"49,57,000.00","6,942.58",,,
,,2014 - 2015,691,"12,60,000.00","1,823.44",,,
,,2015 - 2016,700,"44,49,000.00","6,355.71",,,
,,2016 - 2017,720,"22,49,000.00","3,123.61",,,
,,2017 - 2018,720,"31,54,000.00","4,380.56",,,
,,2018 - 2019,723,"22,99,000.00","3,179.81",,,
,,2019 - 2020,723,"22,31,000.00","3,085.75",,,
,,2020 - 2021,710,"25,13,000.00","3,539.44",,,
,,2021 - 2022,710,"25,13,000.00","3,539.44",,,
,,2022 - 2023,708,"22,81,000.00","3,221.75",,,
,33. West karbi anglong,2019 - 2020,75,"3,04,000.00","4,053.33",,,
,,2020 - 2021,80,"2,69,000.00","3,362.50",,,
,,2021 - 2022,80,"2,69,000.00","3,362.50",,,
,,2022 - 2023,151,"5,07,000.00","3,357.62",,,
4. Chhattisgarh,1. Bastar,2008 - 2009,,,,51,,0
,,2011 - 2012,14,,0,,,
,,2012 - 2013,11,,0,,,
,,2013 - 2014,1,,0,,,
,,2014 - 2015,1,,0,,,
,2. Bijapur,2008 - 2009,,,,21,,0
,,2011 - 2012,21,,0,,,
,,2012 - 2013,21,,0,,,
,,2013 - 2014,21,,0,,,
,,2014 - 2015,21,,0,,,
,,2015 - 2016,21,,0,,,
,,2019 - 2020,21,,0,,,
,,2020 - 2021,21,0,0,,,
,,2021 - 2022,21,0,0,,,
,3. Dantewada,2008 - 2009,,,,4,,0
,,2011 - 2012,1,,0,,,
,,2012 - 2013,1,,0,,,
,,2013 - 2014,1,,0,,,
,,2014 - 2015,1,,0,,,
,,2015 - 2016,1,,0,,,
,,2021 - 2022,2,0,0,,,
,4. Kondagaon,2011 - 2012,35,,0,,,
,,2012 - 2013,65,,0,,,
,,2014 - 2015,34,,0,,,
,,2015 - 2016,35,,0,,,
,,2019 - 2020,34,,0,,,
,,2020 - 2021,34,0,0,,,
,,2021 - 2022,34,0,0,,,
,5. Raipur,2008 - 2009,,,,1,,0
,,2011 - 2012,1,,0,,,
,6. Sukma,2011 - 2012,1,,0,,,
,,2012 - 2013,2,,0,,,
,,2013 - 2014,2,,0,,,
,,2014 - 2015,2,,0,,,
,,2015 - 2016,1,,0,,,
5. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2000 - 2001,,,,180,"80,100.00",445
,,2001 - 2002,,,,180,"45,000.00",250
,,2002 - 2003,,,,180,"45,000.00",250
,,2003 - 2004,,,,180,"45,000.00",250
,,2004 - 2005,,,,185,"46,200.00",249.73
,,2005 - 2006,,,,190,"47,500.00",250
,,2006 - 2007,,,,195,"48,750.00",250
6. Goa,1. North goa,2004 - 2005,"11,083.00","5,44,10,000.00","4,909.32",,,
,,2005 - 2006,"11,155.00","5,52,30,000.00","4,951.14",,,
,,2006 - 2007,"11,227.00","5,58,40,000.00","4,973.72",,,
,,2007 - 2008,"11,249.00","5,61,60,000.00","4,992.44",,,
,,2013 - 2014,"11,379.00","5,64,00,000.00","4,956.50",,,
,,2014 - 2015,"11,399.00","5,64,00,000.00","4,947.80",,,
,,2015 - 2016,"8,925.00","4,47,00,000.00","5,008.40",,,
,,2016 - 2017,"8,954.00","4,51,80,000.00","5,045.79",,,
,,2017 - 2018,"9,201.00","4,62,00,000.00","5,021.19",,,
,,2018 - 2019,"9,394.00","4,65,00,000.00","4,949.97",,,
,,2019 - 2020,"9,544.00","6,30,00,000.00","6,601.01",,,
,,2020 - 2021,"9,610.00","5,86,70,000.00","6,105.10",,,
,,2021 - 2022,"9,616.00","5,80,00,000.00","6,031.61",,,
,,2022 - 2023,"9,636.00","29,76,000.00",308.84,,,
,2. South goa,2004 - 2005,"14,077.00","6,91,10,000.00","4,909.43",,,
,,2005 - 2006,"14,157.00","7,01,10,000.00","4,952.32",,,
,,2006 - 2007,"14,241.00","7,08,40,000.00","4,974.37",,,
,,2007 - 2008,"14,296.00","7,14,10,000.00","4,995.10",,,
,,2013 - 2014,"14,371.00","7,17,00,000.00","4,989.21",,,
,,2014 - 2015,"14,387.00","7,14,00,000.00","4,962.81",,,
,,2015 - 2016,"16,893.00","8,47,00,000.00","5,013.91",,,
,,2016 - 2017,"16,959.00","8,69,80,000.00","5,128.84",,,
,,2017 - 2018,"16,968.00","8,54,00,000.00","5,033.00",,,
,,2018 - 2019,"16,987.00","8,62,50,000.00","5,077.41",,,
,,2019 - 2020,"16,998.00","10,40,00,000.00","6,118.37",,,
,,2020 - 2021,"17,019.00","10,60,00,000.00","6,228.33",,,
,,2021 - 2022,"17,030.00","10,30,00,000.00","6,048.15",,,
,,2022 - 2023,"17,047.00","1,03,34,000.00",606.21,,,
7. Karnataka,1. Bagalkot,2000 - 2001,"1,312.00","62,68,000.00","4,777.44",,,
,,2001 - 2002,"1,142.00","54,56,000.00","4,777.58",,,
,,2002 - 2003,877,"41,90,000.00","4,777.65",,,
,,2003 - 2004,600,"28,67,000.00","4,778.33",,,
,,2004 - 2005,452,"21,60,000.00","4,778.76",,,
,,2005 - 2006,413,"19,73,000.00","4,777.24",,,
,,2006 - 2007,236,"11,28,000.00","4,779.66",,,
,,2007 - 2008,264,"13,44,000.00","5,090.91",,,
,,2008 - 2009,410,"28,09,000.00","6,851.22",,,
,,2009 - 2010,614,"43,66,000.00","7,110.75",,,
,,2010 - 2011,664,"63,47,000.00","9,558.73",,,
,,2011 - 2012,695,"69,09,000.00","9,941.01",,,
,,2012 - 2013,664,"65,37,000.00","9,844.88",,,
,,2013 - 2014,776,"61,57,000.00","7,934.28",,,
,,2014 - 2015,743,"66,30,000.00","8,923.28",,,
,,2015 - 2016,745,"62,30,000.00","8,362.42",,,
,,2016 - 2017,777,"60,75,000.00","7,818.53",,,
,,2017 - 2018,585,"46,26,000.00","7,907.69",,,
,,2018 - 2019,361,"25,57,000.00","7,083.10",,,
,,2019 - 2020,366,"30,17,000.00","8,243.17",,,
,,2020 - 2021,351,"2,795.00",7.96,,,
,,2021 - 2022,397,"34,32,000.00","8,644.84",,,
,,2022 - 2023,243,"20,14,238.00","8,289.05",,,
,2. Bangalore rural,2000 - 2001,"15,076.00","7,19,99,000.00","4,775.74",,,
,,2001 - 2002,"21,948.00","7,86,14,000.00","3,581.83",,,
,,2002 - 2003,"21,426.00","7,67,44,000.00","3,581.82",,,
,,2003 - 2004,"20,131.00","7,21,06,000.00","3,581.84",,,
,,2004 - 2005,"19,789.00","7,08,81,000.00","3,581.84",,,
,,2005 - 2006,"19,251.00","6,89,54,000.00","3,581.84",,,
,,2006 - 2007,"19,357.00","6,93,33,000.00","3,581.81",,,
,,2007 - 2008,"3,965.00","2,01,88,000.00","5,091.55",,,
,,2008 - 2009,"4,027.00","2,75,88,000.00","6,850.76",,,
,,2009 - 2010,"4,504.00","3,20,24,000.00","7,110.12",,,
,,2010 - 2011,"4,503.00","4,30,46,000.00","9,559.40",,,
,,2011 - 2012,"4,039.00","4,01,54,000.00","9,941.57",,,
,,2012 - 2013,"3,448.00","3,39,47,000.00","9,845.42",,,
,,2013 - 2014,"2,782.00","2,20,72,000.00","7,933.86",,,
,,2014 - 2015,"2,255.00","2,01,23,000.00","8,923.73",,,
,,2015 - 2016,"2,827.00","2,36,41,000.00","8,362.58",,,
,,2016 - 2017,"2,904.00","2,27,04,000.00","7,818.18",,,
,,2017 - 2018,"2,719.00","2,14,99,000.00","7,906.95",,,
,,2018 - 2019,"3,116.00","2,20,69,000.00","7,082.48",,,
,,2019 - 2020,"3,141.00","2,58,90,000.00","8,242.60",,,
,,2020 - 2021,"2,989.00","23,801.00",7.96,,,
,,2021 - 2022,"2,720.00","2,35,18,000.00","8,646.32",,,
,,2022 - 2023,"2,819.00","3,83,62,475.00","13,608.54",,,
,3. Belgaum,2000 - 2001,183,"7,89,000.00","4,311.48",,,
,,2001 - 2002,200,"8,61,000.00","4,305.00",,,
,,2002 - 2003,216,"9,30,000.00","4,305.56",,,
,,2003 - 2004,584,"25,16,000.00","4,308.22",,,
,,2004 - 2005,599,"25,80,000.00","4,307.18",,,
,,2005 - 2006,611,"26,32,000.00","4,307.69",,,
,,2006 - 2007,632,"27,22,000.00","4,306.96",,,
,,2007 - 2008,318,"16,19,000.00","5,091.19",,,
,,2008 - 2009,323,"22,13,000.00","6,851.39",,,
,,2009 - 2010,344,"24,46,000.00","7,110.47",,,
,,2010 - 2011,336,"32,12,000.00","9,559.52",,,
,,2011 - 2012,307,"30,52,000.00","9,941.37",,,
,,2012 - 2013,132,"13,00,000.00","9,848.48",,,
,,2013 - 2014,106,"8,41,000.00","7,933.96",,,
,,2014 - 2015,131,"11,69,000.00","8,923.66",,,
,,2015 - 2016,88,"7,36,000.00","8,363.64",,,
,,2016 - 2017,86,"6,72,000.00","7,813.95",,,
,,2017 - 2018,654,"51,71,000.00","7,906.73",,,
,,2018 - 2019,371,"26,28,000.00","7,083.56",,,
,,2019 - 2020,359,"29,59,000.00","8,242.34",,,
,,2020 - 2021,344,"2,739.00",7.96,,,
,,2021 - 2022,240,"20,76,000.00","8,650.00",,,
,,2022 - 2023,239,"32,36,538.00","13,542.00",,,
,4. Bellary,2000 - 2001,"1,267.00","60,50,000.00","4,775.06",,,
,,2001 - 2002,"1,264.00","60,35,000.00","4,774.53",,,
,,2002 - 2003,"1,565.00","74,73,000.00","4,775.08",,,
,,2003 - 2004,"1,312.00","62,64,000.00","4,774.39",,,
,,2004 - 2005,"1,259.00","60,11,000.00","4,774.42",,,
,,2005 - 2006,"1,140.00","54,43,000.00","4,774.56",,,
,,2006 - 2007,"1,251.00","59,73,000.00","4,774.58",,,
,,2007 - 2008,"1,310.00","66,70,000.00","5,091.60",,,
,,2008 - 2009,"1,080.00","73,99,000.00","6,850.93",,,
,,2009 - 2010,"1,039.00","73,87,000.00","7,109.72",,,
,,2010 - 2011,"1,014.00","96,93,000.00","9,559.17",,,
,,2011 - 2012,910,"90,47,000.00","9,941.76",,,
,,2012 - 2013,702,"69,12,000.00","9,846.15",,,
,,2013 - 2014,"2,901.00","2,30,16,000.00","7,933.82",,,
,,2014 - 2015,555,"49,53,000.00","8,924.32",,,
,,2015 - 2016,523,"43,74,000.00","8,363.29",,,
,,2016 - 2017,674,"52,69,000.00","7,817.51",,,
,,2017 - 2018,579,"45,78,000.00","7,906.74",,,
,,2018 - 2019,"1,220.00","86,41,000.00","7,082.79",,,
,,2019 - 2020,876,"72,21,000.00","8,243.15",,,
,,2020 - 2021,876,"6,976.00",7.96,,,
,,2021 - 2022,753,"65,09,000.00","8,644.09",,,
,,2022 - 2023,95,"12,78,415.00","13,457.00",,,
,5. Bengaluru urban,2000 - 2001,"2,959.00","1,36,04,000.00","4,597.50",,,
,,2001 - 2002,"1,959.00","70,17,000.00","3,581.93",,,
,,2002 - 2003,"2,008.00","71,92,000.00","3,581.67",,,
,,2003 - 2004,"2,565.00","91,87,000.00","3,581.68",,,
,,2004 - 2005,"2,498.00","89,47,000.00","3,581.67",,,
,,2005 - 2006,"2,871.00","1,02,83,000.00","3,581.68",,,
,,2006 - 2007,"2,385.00","85,43,000.00","3,581.97",,,
,,2007 - 2008,"2,310.00","1,17,62,000.00","5,091.77",,,
,,2008 - 2009,"2,313.00","1,58,46,000.00","6,850.84",,,
,,2009 - 2010,"2,565.00","1,82,38,000.00","7,110.33",,,
,,2010 - 2011,"2,311.00","2,20,92,000.00","9,559.50",,,
,,2011 - 2012,"2,264.00","2,25,08,000.00","9,941.70",,,
,,2012 - 2013,"2,312.00","2,27,63,000.00","9,845.59",,,
,,2013 - 2014,"2,116.00","1,67,88,000.00","7,933.84",,,
,,2014 - 2015,"1,281.00","1,14,31,000.00","8,923.50",,,
,,2015 - 2016,"1,495.00","1,25,02,000.00","8,362.54",,,
,,2016 - 2017,"1,132.00","88,50,000.00","7,818.02",,,
,,2017 - 2018,"1,162.00","91,88,000.00","7,907.06",,,
,,2018 - 2019,"1,908.00","1,35,13,000.00","7,082.29",,,
,,2019 - 2020,"2,850.00","2,34,92,000.00","8,242.81",,,
,,2020 - 2021,"2,919.00","23,244.00",7.96,,,
,,2021 - 2022,"2,736.00","2,36,62,000.00","8,648.39",,,
,,2022 - 2023,"2,742.00","2,65,90,768.00","9,697.58",,,
,6. Bidar,2000 - 2001,3,"14,000.00","4,666.67",,,
,,2001 - 2002,27,"1,29,000.00","4,777.78",,,
,,2002 - 2003,23,"1,10,000.00","4,782.61",,,
,,2003 - 2004,23,"1,10,000.00","4,782.61",,,
,,2004 - 2005,24,"1,15,000.00","4,791.67",,,
,,2005 - 2006,25,"1,20,000.00","4,800.00",,,
,,2006 - 2007,26,"1,24,000.00","4,769.23",,,
,,2007 - 2008,23,"1,17,000.00","5,086.96",,,
,,2008 - 2009,24,"1,64,000.00","6,833.33",,,
,,2009 - 2010,19,"1,35,000.00","7,105.26",,,
,,2010 - 2011,20,"1,91,000.00","9,550.00",,,
,,2011 - 2012,20,"1,99,000.00","9,950.00",,,
,,2012 - 2013,21,"2,07,000.00","9,857.14",,,
,,2013 - 2014,29,"2,30,000.00","7,931.03",,,
,,2014 - 2015,19,"1,70,000.00","8,947.37",,,
,,2015 - 2016,8,"67,000.00","8,375.00",,,
,,2017 - 2018,8,"63,000.00","7,875.00",,,
,,2018 - 2019,68,"4,82,000.00","7,088.24",,,
,,2019 - 2020,41,"3,38,000.00","8,243.90",,,
,,2020 - 2021,18,143,7.94,,,
,,2021 - 2022,10,"85,000.00","8,500.00",,,
,,2022 - 2023,6,"65,813.00","10,968.83",,,
,7. Bijapur,2000 - 2001,158,"7,55,000.00","4,778.48",,,
,,2001 - 2002,413,"19,73,000.00","4,777.24",,,
,,2002 - 2003,175,"8,36,000.00","4,777.14",,,
,,2003 - 2004,206,"9,84,000.00","4,776.70",,,
,,2004 - 2005,178,"8,50,000.00","4,775.28",,,
,,2005 - 2006,178,"8,50,000.00","4,775.28",,,
,,2006 - 2007,189,"9,03,000.00","4,777.78",,,
,,2007 - 2008,192,"9,78,000.00","5,093.75",,,
,,2008 - 2009,213,"14,59,000.00","6,849.77",,,
,,2009 - 2010,268,"19,06,000.00","7,111.94",,,
,,2010 - 2011,281,"26,86,000.00","9,558.72",,,
,,2011 - 2012,288,"28,63,000.00","9,940.97",,,
,,2012 - 2013,284,"27,96,000.00","9,845.07",,,
,,2013 - 2014,293,"23,25,000.00","7,935.15",,,
,,2014 - 2015,296,"26,41,000.00","8,922.30",,,
,,2015 - 2016,374,"31,28,000.00","8,363.64",,,
,,2016 - 2017,366,"28,61,000.00","7,816.94",,,
,,2017 - 2018,393,"31,08,000.00","7,908.40",,,
,,2018 - 2019,80,"5,67,000.00","7,087.50",,,
,,2019 - 2020,103,"8,49,000.00","8,242.72",,,
,,2020 - 2021,86,685,7.97,,,
,,2021 - 2022,83,"7,20,000.00","8,674.70",,,
,,2022 - 2023,49,"6,75,083.00","13,777.20",,,
,8. Chamarajanagar,2000 - 2001,"7,351.00","2,61,77,000.00","3,561.01",,,
,,2001 - 2002,"7,369.00","1,96,83,000.00","2,671.05",,,
,,2002 - 2003,"7,599.00","2,02,97,000.00","2,671.01",,,
,,2003 - 2004,"7,613.00","2,03,34,000.00","2,670.96",,,
,,2004 - 2005,"12,161.00","3,24,82,000.00","2,671.00",,,
,,2005 - 2006,"12,192.00","3,25,65,000.00","2,671.01",,,
,,2006 - 2007,"11,257.00","3,00,68,000.00","2,671.05",,,
,,2007 - 2008,"11,361.00","5,76,65,000.00","5,075.70",,,
,,2008 - 2009,"11,360.00","6,72,42,000.00","5,919.19",,,
,,2009 - 2010,"11,365.00","8,08,07,000.00","7,110.16",,,
,,2010 - 2011,"11,377.00","10,84,09,000.00","9,528.79",,,
,,2011 - 2012,"11,381.00","8,91,80,000.00","7,835.87",,,
,,2012 - 2013,"11,381.00","8,91,80,000.00","7,835.87",,,
,,2013 - 2014,"9,299.00","5,85,13,000.00","6,292.40",,,
,,2014 - 2015,"9,122.00","8,14,03,000.00","8,923.81",,,
,,2015 - 2016,"9,130.00","7,63,50,000.00","8,362.54",,,
,,2016 - 2017,"7,357.00","5,75,17,000.00","7,818.00",,,
,,2017 - 2018,"7,409.00","5,85,84,000.00","7,907.14",,,
,,2018 - 2019,"10,554.00","7,47,48,000.00","7,082.43",,,
,,2019 - 2020,"12,569.00","10,36,03,000.00","8,242.74",,,
,,2020 - 2021,"12,571.00","1,48,388.00",11.8,,,
,,2021 - 2022,"9,667.00","11,26,46,000.00","11,652.63",,,
,,2022 - 2023,"11,831.00","13,01,40,892.00","10,999.99",,,
,9. Chikballapur,2007 - 2008,630,"32,08,000.00","5,092.06",,,
,,2008 - 2009,699,"47,89,000.00","6,851.22",,,
,,2009 - 2010,821,"58,37,000.00","7,109.62",,,
,,2010 - 2011,"1,203.00","1,15,00,000.00","9,559.43",,,
,,2011 - 2012,"3,192.00","3,17,34,000.00","9,941.73",,,
,,2012 - 2013,"3,091.00","3,04,33,000.00","9,845.68",,,
,,2013 - 2014,"3,091.00","2,45,24,000.00","7,934.00",,,
,,2014 - 2015,"2,087.00","1,86,24,000.00","8,923.81",,,
,,2015 - 2016,"2,100.00","1,75,61,000.00","8,362.38",,,
,,2016 - 2017,"1,759.00","1,37,52,000.00","7,818.08",,,
,,2017 - 2018,"1,700.00","1,34,42,000.00","7,907.06",,,
,,2018 - 2019,591,"41,86,000.00","7,082.91",,,
,,2019 - 2020,549,"45,25,000.00","8,242.26",,,
,,2020 - 2021,503,"4,005.00",7.96,,,
,,2021 - 2022,439,"37,97,000.00","8,649.20",,,
,,2022 - 2023,453,"71,46,835.00","15,776.68",,,
,10. Chikmagalur,2000 - 2001,"30,161.00","7,60,22,000.00","2,520.54",,,
,,2001 - 2002,"31,070.00","5,87,50,000.00","1,890.89",,,
,,2002 - 2003,"31,114.00","5,88,33,000.00","1,890.89",,,
,,2003 - 2004,"31,177.00","5,89,53,000.00","1,890.91",,,
,,2004 - 2005,"31,122.00","5,88,49,000.00","1,890.91",,,
,,2005 - 2006,"37,769.00","7,14,17,000.00","1,890.89",,,
,,2006 - 2007,"37,921.00","7,17,05,000.00","1,890.90",,,
,,2007 - 2008,"37,963.00","14,07,87,000.00","3,708.53",,,
,,2008 - 2009,"37,990.00","18,44,78,000.00","4,855.96",,,
,,2009 - 2010,"37,996.00","20,32,39,000.00","5,348.96",,,
,,2010 - 2011,"38,091.00","21,11,77,000.00","5,544.01",,,
,,2011 - 2012,"38,113.00","20,78,27,000.00","5,452.92",,,
,,2012 - 2013,"42,261.00","23,04,46,000.00","5,452.92",,,
,,2013 - 2014,"41,229.00","23,95,53,000.00","5,810.30",,,
,,2014 - 2015,"41,329.00","23,80,89,000.00","5,760.82",,,
,,2015 - 2016,"41,114.00","28,32,10,000.00","6,888.41",,,
,,2016 - 2017,"40,934.00","29,93,15,000.00","7,312.14",,,
,,2017 - 2018,"41,055.00","30,94,67,000.00","7,537.86",,,
,,2018 - 2019,"55,114.00","48,08,62,000.00","8,724.86",,,
,,2019 - 2020,"54,188.00","50,50,25,000.00","9,319.87",,,
,,2020 - 2021,"51,782.00","4,68,420.00",9.05,,,
,,2021 - 2022,"53,245.00","48,40,54,000.00","9,091.07",,,
,,2022 - 2023,"71,018.00","64,31,81,000.00","9,056.59",,,
,11. Chitradurga,2000 - 2001,"38,162.00","22,33,58,000.00","5,852.89",,,
,,2001 - 2002,"39,311.00","17,25,62,000.00","4,389.66",,,
,,2002 - 2003,"39,618.00","17,39,10,000.00","4,389.67",,,
,,2003 - 2004,"43,254.00","18,98,70,000.00","4,389.65",,,
,,2004 - 2005,"43,354.00","19,03,09,000.00","4,389.65",,,
,,2005 - 2006,"40,668.00","17,85,19,000.00","4,389.67",,,
,,2006 - 2007,"41,821.00","18,35,80,000.00","4,389.66",,,
,,2007 - 2008,"42,519.00","21,64,88,000.00","5,091.56",,,
,,2008 - 2009,"42,563.00","29,15,91,000.00","6,850.81",,,
,,2009 - 2010,"42,388.00","29,50,08,000.00","6,959.71",,,
,,2010 - 2011,"42,299.00","58,31,65,000.00","13,786.73",,,
,,2011 - 2012,"42,531.00","57,12,48,000.00","13,431.33",,,
,,2012 - 2013,"42,526.00","57,11,81,000.00","13,431.34",,,
,,2013 - 2014,"38,301.00","50,42,71,000.00","13,166.00",,,
,,2014 - 2015,"38,729.00","29,79,15,000.00","7,692.30",,,
,,2015 - 2016,"40,576.00","37,09,32,000.00","9,141.66",,,
,,2016 - 2017,"40,806.00","42,54,71,000.00","10,426.68",,,
,,2017 - 2018,"39,437.00","37,55,90,000.00","9,523.80",,,
,,2018 - 2019,"52,903.00","34,31,02,000.00","6,485.49",,,
,,2019 - 2020,"50,775.00","31,89,96,000.00","6,282.54",,,
,,2020 - 2021,"45,870.00","4,40,260.00",9.6,,,
,,2021 - 2022,"45,201.00","38,98,55,000.00","8,624.92",,,
,,2022 - 2023,"59,429.00","44,55,61,807.00","7,497.38",,,
,12. Dakshin kannad,2000 - 2001,"14,832.00","6,33,16,000.00","4,268.88",,,
,,2001 - 2002,"15,437.00","6,58,99,000.00","4,268.90",,,
,,2002 - 2003,"15,608.00","6,66,29,000.00","4,268.90",,,
,,2003 - 2004,"15,652.00","6,68,17,000.00","4,268.91",,,
,,2004 - 2005,"15,684.00","6,69,53,000.00","4,268.87",,,
,,2005 - 2006,"15,773.00","6,73,33,000.00","4,268.88",,,
,,2006 - 2007,"16,094.00","6,87,03,000.00","4,268.86",,,
,,2007 - 2008,"16,122.00","8,20,86,000.00","5,091.55",,,
,,2008 - 2009,"16,106.00","13,34,27,000.00","8,284.30",,,
,,2009 - 2010,"16,096.00","11,44,45,000.00","7,110.15",,,
