State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,,,,"2,219.00",867,0.39
,,2013 - 2014,,,,,,,"2,483.00","1,952.00",0.79
,,2014 - 2015,,,,,,,"1,910.00","1,383.00",0.72
,,2015 - 2016,,,,,,,"1,888.00","1,005.00",0.53
,,2016 - 2017,,,,,,,"1,560.00","1,348.00",0.86
,,2017 - 2018,,,,,,,"1,372.00",585,0.43
,,2018 - 2019,,,,,,,876,879,1
,,2019 - 2020,,,,,,,563,255,0.45
,,2020 - 2021,,,,,,,408,187,0.46
,,2021 - 2022,,,,,,,172,72,0.42
,,2022 - 2023,,,,,,,123,66,0.54
,15. Ganganagar,2000 - 2001,,,,,,,"1,47,181.00","52,421.00",0.36
,,2001 - 2002,,,,,,,"1,45,694.00","49,998.00",0.34
,,2002 - 2003,,,,,,,"37,984.00","11,328.00",0.3
,,2003 - 2004,,,,,,,"1,59,514.00",,0
,,2004 - 2005,,,,,,,"65,234.00","21,414.00",0.33
,,2005 - 2006,,,,,,,"59,294.00","40,605.00",0.68
,,2006 - 2007,,,,,,,"1,20,301.00","96,959.00",0.81
,,2007 - 2008,,,,,,,"1,80,141.00","1,45,425.00",0.81
,,2008 - 2009,,,,,,,"2,47,294.00","1,96,463.00",0.79
,,2009 - 2010,,,,,,,"1,52,243.00","11,163.00",0.07
,,2010 - 2011,,,,,,,"1,82,192.00","1,63,816.00",0.9
,,2011 - 2012,,,,,,,"1,62,385.00","1,96,487.00",1.21
,,2012 - 2013,,,,,,,"3,25,064.00","3,40,296.00",1.05
,,2013 - 2014,,,,,,,"4,98,220.00","5,44,653.00",1.09
,,2014 - 2015,,,,,,,"5,32,962.00","6,22,039.00",1.17
,,2015 - 2016,,,,,,,"5,83,866.00","5,63,987.00",0.97
,,2016 - 2017,,,,,,,"3,35,551.00","2,53,164.00",0.75
,,2017 - 2018,,,,,,,"3,51,517.00","2,22,773.00",0.63
,,2018 - 2019,,,,,,,"3,47,963.00","1,84,785.00",0.53
,,2019 - 2020,,,,,,,"2,65,798.00","1,75,089.00",0.66
,,2020 - 2021,,,,,,,"1,74,899.00","1,25,156.00",0.72
,,2021 - 2022,,,,,,,"1,41,308.00","92,535.00",0.65
,,2022 - 2023,,,,,,,"2,38,152.00","1,97,412.00",0.83
,16. Hanumangarh,2000 - 2001,,,,,,,"2,47,525.00","88,106.00",0.36
,,2001 - 2002,,,,,,,"2,33,810.00","82,495.00",0.35
,,2002 - 2003,,,,,,,"78,845.00","3,717.00",0.05
,,2003 - 2004,,,,,,,"2,44,003.00",,0
,,2004 - 2005,,,,,,,"1,66,037.00","24,302.00",0.15
,,2005 - 2006,,,,,,,"2,03,742.00","1,47,927.00",0.73
,,2006 - 2007,,,,,,,"2,87,382.00","76,256.00",0.27
,,2007 - 2008,,,,,,,"3,19,617.00","2,77,972.00",0.87
,,2008 - 2009,,,,,,,"3,71,373.00","3,16,439.00",0.85
,,2009 - 2010,,,,,,,"1,95,932.00","72,455.00",0.37
,,2010 - 2011,,,,,,,"2,91,344.00","2,16,723.00",0.74
,,2011 - 2012,,,,,,,"2,95,571.00","2,96,550.00",1
,,2012 - 2013,,,,,,,"4,91,009.00","5,64,698.00",1.15
,,2013 - 2014,,,,,,,"5,70,776.00","5,43,852.00",0.95
,,2014 - 2015,,,,,,,"5,18,148.00","4,62,631.00",0.89
,,2015 - 2016,,,,,,,"5,31,579.00","1,99,844.00",0.38
,,2016 - 2017,,,,,,,"3,73,273.00","1,30,168.00",0.35
,,2017 - 2018,,,,,,,"4,33,348.00","1,44,829.00",0.33
,,2018 - 2019,,,,,,,"4,39,406.00","1,48,255.00",0.34
,,2019 - 2020,,,,,,,"3,85,864.00","1,35,668.00",0.35
,,2020 - 2021,,,,,,,"3,35,382.00","1,60,122.00",0.48
,,2021 - 2022,,,,,,,"3,21,922.00","1,92,520.00",0.6
,,2022 - 2023,,,,,,,"3,91,058.00","1,97,915.00",0.51
,17. Jaipur,2000 - 2001,,,,,,,"1,03,941.00","8,314.00",0.08
,,2001 - 2002,,,,,,,"85,005.00","71,998.00",0.85
,,2002 - 2003,,,,,,,"60,617.00","1,306.00",0.02
,,2003 - 2004,,,,,,,"66,966.00",,0
,,2004 - 2005,,,,,,,"55,006.00","40,762.00",0.74
,,2005 - 2006,,,,,,,"55,421.00","27,414.00",0.49
,,2006 - 2007,,,,,,,"51,389.00","41,104.00",0.8
,,2007 - 2008,,,,,,,"55,143.00","43,060.00",0.78
,,2008 - 2009,,,,,,,"58,945.00","46,657.00",0.79
,,2009 - 2010,,,,,,,"55,180.00","14,326.00",0.26
,,2010 - 2011,,,,,,,"44,280.00","40,809.00",0.92
,,2011 - 2012,,,,,,,"38,430.00","36,259.00",0.94
,,2012 - 2013,,,,,,,"55,562.00","44,764.00",0.81
,,2013 - 2014,,,,,,,"65,867.00","70,534.00",1.07
,,2014 - 2015,,,,,,,"59,525.00","61,050.00",1.03
,,2015 - 2016,,,,,,,"67,411.00","50,226.00",0.75
,,2016 - 2017,,,,,,,"56,386.00","59,166.00",1.05
,,2017 - 2018,,,,,,,"52,722.00","50,122.00",0.95
,,2018 - 2019,,,,,,,"45,196.00","45,120.00",1
,,2019 - 2020,,,,,,,"43,416.00","53,244.00",1.23
,,2020 - 2021,,,,,,,"41,431.00","51,623.00",1.25
,,2021 - 2022,,,,,,,"43,287.00","51,174.00",1.18
,,2022 - 2023,,,,,,,"50,551.00","59,314.00",1.17
,18. Jaisalmer,2000 - 2001,,,,,,,"3,17,591.00","75,097.00",0.24
,,2001 - 2002,,,,,,,"3,13,560.00","32,316.00",0.1
,,2002 - 2003,,,,,,,"5,047.00",,0
,,2003 - 2004,,,,,,,"3,56,411.00",,0
,,2004 - 2005,,,,,,,"2,05,838.00","2,511.00",0.01
,,2005 - 2006,,,,,,,"2,47,735.00","23,452.00",0.09
,,2006 - 2007,,,,,,,"3,40,474.00","14,532.00",0.04
,,2007 - 2008,,,,,,,"3,29,752.00","19,686.00",0.06
,,2008 - 2009,,,,,,,"3,74,202.00","13,208.00",0.04
,,2009 - 2010,,,,,,,"3,17,496.00","2,576.00",0.01
,,2010 - 2011,,,,,,,"4,24,326.00","1,27,179.00",0.3
,,2011 - 2012,,,,,,,"4,29,305.00","1,38,874.00",0.32
,,2012 - 2013,,,,,,,"4,99,855.00","45,242.00",0.09
,,2013 - 2014,,,,,,,"5,79,924.00","53,405.00",0.09
,,2014 - 2015,,,,,,,"5,25,791.00","21,893.00",0.04
,,2015 - 2016,,,,,,,"6,17,109.00","2,03,745.00",0.33
,,2016 - 2017,,,,,,,"5,99,121.00","58,866.00",0.1
,,2017 - 2018,,,,,,,"5,98,611.00","81,593.00",0.14
,,2018 - 2019,,,,,,,"4,67,471.00","26,811.00",0.06
,,2019 - 2020,,,,,,,"4,82,222.00","94,440.00",0.2
,,2020 - 2021,,,,,,,"4,67,691.00","99,547.00",0.21
,,2021 - 2022,,,,,,,"4,68,305.00","93,957.00",0.2
,,2022 - 2023,,,,,,,"5,18,043.00","1,11,038.00",0.21
,19. Jalore,2000 - 2001,,,,,,,"84,102.00",700,0.01
,,2001 - 2002,,,,,,,"87,793.00","41,289.00",0.47
,,2002 - 2003,,,,,,,"14,344.00",79,0.01
,,2003 - 2004,,,,,,,"61,073.00",,0
,,2004 - 2005,,,,,,,"72,741.00","3,662.00",0.05
,,2005 - 2006,,,,,,,"64,147.00","23,044.00",0.36
,,2006 - 2007,,,,,,,"50,163.00","33,837.00",0.67
,,2007 - 2008,,,,,,,"69,506.00","38,186.00",0.55
,,2008 - 2009,,,,,,,"59,264.00","17,660.00",0.3
,,2009 - 2010,,,,,,,"54,891.00",62,0
,,2010 - 2011,,,,,,,"53,778.00","33,375.00",0.62
,,2011 - 2012,,,,,,,"43,170.00","27,540.00",0.64
,,2012 - 2013,,,,,,,"95,419.00","53,632.00",0.56
,,2013 - 2014,,,,,,,"1,05,674.00","34,949.00",0.33
,,2014 - 2015,,,,,,,"86,931.00","48,072.00",0.55
,,2015 - 2016,,,,,,,"92,005.00","18,134.00",0.2
,,2016 - 2017,,,,,,,"69,254.00","21,768.00",0.31
,,2017 - 2018,,,,,,,"55,413.00","16,352.00",0.3
,,2018 - 2019,,,,,,,"45,238.00","4,930.00",0.11
,,2019 - 2020,,,,,,,"46,509.00","25,131.00",0.54
,,2020 - 2021,,,,,,,"43,219.00","21,736.00",0.5
,,2021 - 2022,,,,,,,"39,458.00","4,191.00",0.11
,,2022 - 2023,,,,,,,"31,891.00","17,063.00",0.54
,20. Jhalawar,2008 - 2009,,,,,,,12,4,0.33
,,2012 - 2013,,,,,,,793,355,0.45
,,2013 - 2014,,,,,,,591,334,0.57
,,2014 - 2015,,,,,,,36,21,0.58
,,2015 - 2016,,,,,,,14,7,0.5
,,2016 - 2017,,,,,,,7,3,0.43
,,2017 - 2018,,,,,,,3,1,0.33
,,2018 - 2019,,,,,,,2,1,0.5
,,2020 - 2021,,,,,,,2,1,0.5
,,2021 - 2022,,,,,,,2,1,0.5
,,2022 - 2023,,,,,,,1,1,1
,21. Jhunjhunu,2000 - 2001,,,,,,,"74,344.00","6,364.00",0.09
,,2001 - 2002,,,,,,,"64,597.00","64,922.00",1.01
,,2002 - 2003,,,,,,,"23,974.00",416,0.02
,,2003 - 2004,,,,,,,"53,019.00",,0
,,2004 - 2005,,,,,,,"54,237.00","35,616.00",0.66
,,2005 - 2006,,,,,,,"65,427.00","18,235.00",0.28
,,2006 - 2007,,,,,,,"61,228.00","11,525.00",0.19
,,2007 - 2008,,,,,,,"68,196.00","15,327.00",0.22
,,2008 - 2009,,,,,,,"72,680.00","15,032.00",0.21
,,2009 - 2010,,,,,,,"60,244.00","1,489.00",0.02
,,2010 - 2011,,,,,,,"54,795.00","40,543.00",0.74
,,2011 - 2012,,,,,,,"62,340.00","54,472.00",0.87
,,2012 - 2013,,,,,,,"1,25,518.00","94,431.00",0.75
,,2013 - 2014,,,,,,,"1,18,470.00","1,10,047.00",0.93
,,2014 - 2015,,,,,,,"1,25,772.00","1,15,796.00",0.92
,,2015 - 2016,,,,,,,"1,15,788.00","89,370.00",0.77
,,2016 - 2017,,,,,,,"66,102.00","58,569.00",0.89
,,2017 - 2018,,,,,,,"67,595.00","66,344.00",0.98
,,2018 - 2019,,,,,,,"57,766.00","59,524.00",1.03
,,2019 - 2020,,,,,,,"53,588.00","48,543.00",0.91
,,2020 - 2021,,,,,,,"44,570.00","40,457.00",0.91
,,2021 - 2022,,,,,,,"47,463.00","40,874.00",0.86
,,2022 - 2023,,,,,,,"48,663.00","49,646.00",1.02
,22. Jodhpur,2000 - 2001,,,,,,,"2,36,773.00","14,847.00",0.06
,,2001 - 2002,,,,,,,"1,66,454.00","70,189.00",0.42
,,2002 - 2003,,,,,,,"2,415.00","1,187.00",0.49
,,2003 - 2004,,,,,,,"1,53,429.00",,0
,,2004 - 2005,,,,,,,"1,53,698.00","10,579.00",0.07
,,2005 - 2006,,,,,,,"1,60,539.00","10,387.00",0.06
,,2006 - 2007,,,,,,,"1,83,810.00","6,230.00",0.03
,,2007 - 2008,,,,,,,"1,49,975.00","21,590.00",0.14
,,2008 - 2009,,,,,,,"1,46,844.00","13,983.00",0.1
,,2009 - 2010,,,,,,,"1,32,801.00",607,0
,,2010 - 2011,,,,,,,"1,34,019.00","84,512.00",0.63
,,2011 - 2012,,,,,,,"1,41,835.00","91,748.00",0.65
,,2012 - 2013,,,,,,,"2,54,715.00","81,731.00",0.32
,,2013 - 2014,,,,,,,"2,67,634.00","1,70,907.00",0.64
,,2014 - 2015,,,,,,,"2,40,049.00","1,43,876.00",0.6
,,2015 - 2016,,,,,,,"2,73,255.00","1,37,167.00",0.5
,,2016 - 2017,,,,,,,"2,10,939.00","1,09,338.00",0.52
,,2017 - 2018,,,,,,,"1,85,740.00","68,903.00",0.37
,,2018 - 2019,,,,,,,"1,47,864.00","56,005.00",0.38
,,2019 - 2020,,,,,,,"1,37,661.00","1,25,829.00",0.91
,,2020 - 2021,,,,,,,"1,36,986.00","1,04,243.00",0.76
,,2021 - 2022,,,,,,,"1,49,043.00","71,996.00",0.48
,,2022 - 2023,,,,,,,"1,67,551.00","91,466.00",0.55
,23. Karauli,2000 - 2001,,,,,,,"6,499.00","2,460.00",0.38
,,2001 - 2002,,,,,,,"4,696.00","3,710.00",0.79
,,2002 - 2003,,,,,,,"2,903.00",371,0.13
,,2003 - 2004,,,,,,,"3,286.00",,0
,,2004 - 2005,,,,,,,"2,739.00","2,322.00",0.85
,,2005 - 2006,,,,,,,"1,766.00","1,855.00",1.05
,,2006 - 2007,,,,,,,"1,946.00","2,169.00",1.11
,,2007 - 2008,,,,,,,"2,591.00","3,135.00",1.21
,,2008 - 2009,,,,,,,"2,747.00","3,299.00",1.2
,,2009 - 2010,,,,,,,"2,326.00","4,650.00",2
,,2010 - 2011,,,,,,,"1,435.00",742,0.52
,,2011 - 2012,,,,,,,"1,118.00","1,257.00",1.12
,,2012 - 2013,,,,,,,"4,807.00","5,658.00",1.18
,,2013 - 2014,,,,,,,"11,153.00","14,593.00",1.31
,,2014 - 2015,,,,,,,"4,540.00","5,827.00",1.28
,,2015 - 2016,,,,,,,"5,651.00","7,104.00",1.26
,,2016 - 2017,,,,,,,"3,699.00","4,725.00",1.28
,,2017 - 2018,,,,,,,"2,533.00","3,331.00",1.32
,,2018 - 2019,,,,,,,"1,852.00","2,651.00",1.43
,,2019 - 2020,,,,,,,"1,383.00","2,172.00",1.57
,,2020 - 2021,,,,,,,881,"1,531.00",1.74
,,2021 - 2022,,,,,,,611,"1,136.00",1.86
,,2022 - 2023,,,,,,,253,353,1.4
,24. Kota,2000 - 2001,,,,,,,"2,623.00","1,517.00",0.58
,,2001 - 2002,,,,,,,528,529,1
,,2003 - 2004,,,,,,,191,,0
,,2006 - 2007,,,,,,,1,,0
,,2007 - 2008,,,,,,,74,,0
,,2012 - 2013,,,,,,,445,199,0.45
,,2013 - 2014,,,,,,,"1,960.00","1,106.00",0.56
,,2014 - 2015,,,,,,,103,61,0.59
,,2015 - 2016,,,,,,,127,59,0.46
,,2016 - 2017,,,,,,,77,31,0.4
,,2017 - 2018,,,,,,,19,7,0.37
,,2018 - 2019,,,,,,,8,3,0.38
,25. Nagaur,2000 - 2001,,,,,,,"2,77,121.00","45,558.00",0.16
,,2001 - 2002,,,,,,,"1,43,387.00","38,066.00",0.27
,,2002 - 2003,,,,,,,"82,694.00","1,450.00",0.02
,,2003 - 2004,,,,,,,"1,41,538.00",,0
,,2004 - 2005,,,,,,,"1,70,656.00","31,571.00",0.18
,,2005 - 2006,,,,,,,"1,51,655.00","63,747.00",0.42
,,2006 - 2007,,,,,,,"1,55,820.00","42,026.00",0.27
,,2007 - 2008,,,,,,,"1,29,094.00","69,892.00",0.54
,,2008 - 2009,,,,,,,"1,27,809.00","63,059.00",0.49
,,2009 - 2010,,,,,,,"85,348.00","14,003.00",0.16
,,2010 - 2011,,,,,,,"73,708.00","35,535.00",0.48
,,2011 - 2012,,,,,,,"87,082.00","46,129.00",0.53
,,2012 - 2013,,,,,,,"2,11,237.00","19,183.00",0.09
,,2013 - 2014,,,,,,,"2,00,871.00","94,004.00",0.47
,,2014 - 2015,,,,,,,"2,29,375.00","1,41,569.00",0.62
,,2015 - 2016,,,,,,,"1,92,870.00","87,130.00",0.45
,,2016 - 2017,,,,,,,"88,275.00","50,908.00",0.58
,,2017 - 2018,,,,,,,"94,556.00","47,938.00",0.51
,,2018 - 2019,,,,,,,"85,919.00","58,430.00",0.68
,,2019 - 2020,,,,,,,"1,00,357.00","70,401.00",0.7
,,2020 - 2021,,,,,,,"82,798.00","61,354.00",0.74
,,2021 - 2022,,,,,,,"94,432.00","62,251.00",0.66
,,2022 - 2023,,,,,,,"1,71,382.00","1,23,698.00",0.72
,26. Pali,2000 - 2001,,,,,,,"52,884.00",119,0
,,2001 - 2002,,,,,,,"25,251.00","19,530.00",0.77
,,2002 - 2003,,,,,,,"14,838.00",20,0
,,2003 - 2004,,,,,,,"25,746.00",,0
,,2004 - 2005,,,,,,,"29,212.00","9,012.00",0.31
,,2005 - 2006,,,,,,,"49,129.00","16,356.00",0.33
,,2006 - 2007,,,,,,,"50,699.00","35,894.00",0.71
,,2007 - 2008,,,,,,,"67,450.00","45,761.00",0.68
,,2008 - 2009,,,,,,,"52,902.00","11,042.00",0.21
,,2009 - 2010,,,,,,,"47,572.00","4,349.00",0.09
,,2010 - 2011,,,,,,,"39,848.00","33,441.00",0.84
,,2011 - 2012,,,,,,,"30,383.00","19,455.00",0.64
,,2012 - 2013,,,,,,,"58,973.00","31,024.00",0.53
,,2013 - 2014,,,,,,,"72,251.00","25,095.00",0.35
,,2014 - 2015,,,,,,,"59,635.00","24,314.00",0.41
,,2015 - 2016,,,,,,,"52,222.00","35,997.00",0.69
,,2016 - 2017,,,,,,,"30,073.00","11,540.00",0.38
,,2017 - 2018,,,,,,,"30,298.00","8,328.00",0.27
,,2018 - 2019,,,,,,,"25,687.00","14,317.00",0.56
,,2019 - 2020,,,,,,,"25,237.00","13,138.00",0.52
,,2020 - 2021,,,,,,,"21,207.00","13,511.00",0.64
,,2021 - 2022,,,,,,,"21,388.00","8,583.00",0.4
,,2022 - 2023,,,,,,,"27,564.00","17,806.00",0.65
,27. Pratapgarh,2008 - 2009,,,,,,,87,96,1.1
,,2009 - 2010,,,,,,,72,86,1.19
,,2010 - 2011,,,,,,,57,29,0.51
,,2011 - 2012,,,,,,,50,30,0.6
,,2012 - 2013,,,,,,,267,119,0.45
,,2013 - 2014,,,,,,,203,115,0.57
,,2014 - 2015,,,,,,,112,66,0.59
,,2016 - 2017,,,,,,,55,22,0.4
,,2017 - 2018,,,,,,,43,16,0.37
,,2018 - 2019,,,,,,,38,13,0.34
,,2019 - 2020,,,,,,,24,11,0.46
,,2020 - 2021,,,,,,,20,9,0.45
,,2021 - 2022,,,,,,,27,11,0.41
,,2022 - 2023,,,,,,,17,9,0.53
,28. Rajsamand,2000 - 2001,,,,,,,"8,068.00",236,0.03
,,2001 - 2002,,,,,,,"2,207.00","3,972.00",1.8
,,2002 - 2003,,,,,,,"2,723.00",283,0.1
,,2003 - 2004,,,,,,,"3,364.00",,0
,,2004 - 2005,,,,,,,"2,288.00",936,0.41
,,2005 - 2006,,,,,,,"5,833.00","3,407.00",0.58
,,2006 - 2007,,,,,,,"5,482.00","7,171.00",1.31
,,2007 - 2008,,,,,,,"8,498.00","7,309.00",0.86
,,2008 - 2009,,,,,,,"6,874.00","5,229.00",0.76
,,2009 - 2010,,,,,,,"4,557.00","1,449.00",0.32
,,2010 - 2011,,,,,,,"3,889.00","2,010.00",0.52
,,2011 - 2012,,,,,,,"2,753.00","1,977.00",0.72
,,2012 - 2013,,,,,,,"5,010.00","3,930.00",0.78
,,2013 - 2014,,,,,,,"5,462.00","2,853.00",0.52
,,2014 - 2015,,,,,,,"4,443.00","4,457.00",1
,,2015 - 2016,,,,,,,"4,816.00","1,272.00",0.26
,,2016 - 2017,,,,,,,"4,095.00","4,054.00",0.99
,,2017 - 2018,,,,,,,"3,617.00","2,853.00",0.79
,,2018 - 2019,,,,,,,"3,302.00","3,770.00",1.14
,,2019 - 2020,,,,,,,"2,620.00","2,656.00",1.01
,,2020 - 2021,,,,,,,"1,598.00","1,868.00",1.17
,,2021 - 2022,,,,,,,"1,497.00","1,920.00",1.28
,,2022 - 2023,,,,,,,"1,030.00","1,062.00",1.03
,29. Sawai madhopur,2000 - 2001,,,,,,,"15,861.00","3,016.00",0.19
,,2001 - 2002,,,,,,,"8,353.00","3,427.00",0.41
,,2002 - 2003,,,,,,,719,1,0
,,2003 - 2004,,,,,,,"5,395.00",,0
,,2004 - 2005,,,,,,,"2,313.00","1,165.00",0.5
,,2005 - 2006,,,,,,,"2,235.00","1,125.00",0.5
,,2006 - 2007,,,,,,,"2,058.00",946,0.46
,,2007 - 2008,,,,,,,"3,399.00","1,606.00",0.47
,,2008 - 2009,,,,,,,"3,214.00","1,611.00",0.5
,,2009 - 2010,,,,,,,"1,175.00",415,0.35
,,2010 - 2011,,,,,,,"1,423.00",735,0.52
,,2011 - 2012,,,,,,,940,938,1
,,2012 - 2013,,,,,,,"4,649.00","4,978.00",1.07
,,2013 - 2014,,,,,,,"13,765.00","15,547.00",1.13
,,2014 - 2015,,,,,,,"4,141.00","4,249.00",1.03
,,2015 - 2016,,,,,,,"6,227.00","6,420.00",1.03
,,2016 - 2017,,,,,,,"3,932.00","3,591.00",0.91
,,2017 - 2018,,,,,,,"2,108.00","1,351.00",0.64
,,2018 - 2019,,,,,,,"1,605.00","1,464.00",0.91
,,2019 - 2020,,,,,,,801,915,1.14
,,2020 - 2021,,,,,,,550,516,0.94
,,2021 - 2022,,,,,,,259,311,1.2
,,2022 - 2023,,,,,,,289,296,1.02
,30. Sikar,2000 - 2001,,,,,,,"1,13,530.00","12,988.00",0.11
,,2001 - 2002,,,,,,,"92,352.00","46,619.00",0.5
,,2002 - 2003,,,,,,,"56,277.00",882,0.02
,,2003 - 2004,,,,,,,"71,924.00",,0
,,2004 - 2005,,,,,,,"85,533.00","26,935.00",0.31
,,2005 - 2006,,,,,,,"79,999.00","24,895.00",0.31
,,2006 - 2007,,,,,,,"78,448.00","32,842.00",0.42
,,2007 - 2008,,,,,,,"79,603.00","41,583.00",0.52
,,2008 - 2009,,,,,,,"79,016.00","32,407.00",0.41
,,2009 - 2010,,,,,,,"67,199.00","5,368.00",0.08
,,2010 - 2011,,,,,,,"63,743.00","50,001.00",0.78
,,2011 - 2012,,,,,,,"77,815.00","73,404.00",0.94
,,2012 - 2013,,,,,,,"1,25,528.00","78,335.00",0.62
,,2013 - 2014,,,,,,,"1,31,655.00","97,943.00",0.74
,,2014 - 2015,,,,,,,"1,33,877.00","1,19,170.00",0.89
,,2015 - 2016,,,,,,,"1,29,418.00","91,295.00",0.71
,,2016 - 2017,,,,,,,"89,319.00","72,189.00",0.81
,,2017 - 2018,,,,,,,"90,216.00","52,965.00",0.59
,,2018 - 2019,,,,,,,"80,826.00","57,124.00",0.71
,,2019 - 2020,,,,,,,"80,874.00","69,276.00",0.86
,,2020 - 2021,,,,,,,"78,971.00","71,573.00",0.91
,,2021 - 2022,,,,,,,"78,897.00","66,840.00",0.85
,,2022 - 2023,,,,,,,"90,704.00","74,369.00",0.82
,31. Sirohi,2000 - 2001,,,,,,,"18,643.00",876,0.05
,,2001 - 2002,,,,,,,"23,508.00","23,508.00",1
,,2002 - 2003,,,,,,,"4,824.00",23,0
,,2003 - 2004,,,,,,,"5,723.00",,0
,,2004 - 2005,,,,,,,"12,841.00",643,0.05
,,2005 - 2006,,,,,,,"11,927.00","9,708.00",0.81
,,2006 - 2007,,,,,,,"1,630.00",879,0.54
,,2007 - 2008,,,,,,,"5,713.00","5,713.00",1
,,2008 - 2009,,,,,,,"5,315.00","2,007.00",0.38
,,2009 - 2010,,,,,,,"13,280.00",270,0.02
,,2010 - 2011,,,,,,,"8,864.00","7,608.00",0.86
,,2011 - 2012,,,,,,,"8,317.00","6,180.00",0.74
,,2012 - 2013,,,,,,,"12,990.00","10,346.00",0.8
,,2013 - 2014,,,,,,,"33,461.00","11,185.00",0.33
,,2014 - 2015,,,,,,,"21,617.00","14,771.00",0.68
,,2015 - 2016,,,,,,,"21,199.00","15,792.00",0.74
,,2016 - 2017,,,,,,,"16,944.00","8,790.00",0.52
,,2017 - 2018,,,,,,,"19,746.00",70,0
,,2018 - 2019,,,,,,,"12,912.00","7,243.00",0.56
,,2019 - 2020,,,,,,,"11,686.00","11,315.00",0.97
,,2020 - 2021,,,,,,,"11,231.00","7,219.00",0.64
,,2021 - 2022,,,,,,,"18,470.00","4,645.00",0.25
,,2022 - 2023,,,,,,,"12,700.00","8,652.00",0.68
,32. Tonk,2000 - 2001,,,,,,,"31,202.00","1,055.00",0.03
,,2001 - 2002,,,,,,,"15,053.00","6,338.00",0.42
,,2002 - 2003,,,,,,,"6,533.00",307,0.05
,,2003 - 2004,,,,,,,"12,127.00",,0
,,2004 - 2005,,,,,,,"4,255.00","3,324.00",0.78
,,2005 - 2006,,,,,,,"5,298.00","4,625.00",0.87
,,2006 - 2007,,,,,,,"4,025.00","4,037.00",1
,,2007 - 2008,,,,,,,"6,554.00","6,532.00",1
,,2008 - 2009,,,,,,,"5,317.00","4,259.00",0.8
,,2009 - 2010,,,,,,,"3,880.00","1,262.00",0.33
,,2010 - 2011,,,,,,,"2,764.00","1,428.00",0.52
,,2011 - 2012,,,,,,,"2,696.00","2,224.00",0.82
,,2012 - 2013,,,,,,,"7,040.00","4,668.00",0.66
,,2013 - 2014,,,,,,,"15,164.00","11,472.00",0.76
,,2014 - 2015,,,,,,,"4,177.00","3,200.00",0.77
,,2015 - 2016,,,,,,,"7,584.00","4,412.00",0.58
,,2016 - 2017,,,,,,,"5,324.00","4,453.00",0.84
,,2017 - 2018,,,,,,,"4,479.00","3,793.00",0.85
,,2018 - 2019,,,,,,,"3,651.00","3,645.00",1
,,2019 - 2020,,,,,,,"2,030.00","1,454.00",0.72
,,2020 - 2021,,,,,,,"1,543.00","1,392.00",0.9
,,2021 - 2022,,,,,,,"1,300.00","1,266.00",0.97
,,2022 - 2023,,,,,,,"1,299.00","1,179.00",0.91
,33. Udaipur,2000 - 2001,,,,,,,"8,365.00","1,613.00",0.19
,,2001 - 2002,,,,,,,"7,104.00","4,696.00",0.66
,,2002 - 2003,,,,,,,"7,816.00","2,585.00",0.33
,,2003 - 2004,,,,,,,"9,610.00",,0
,,2004 - 2005,,,,,,,"10,980.00","7,447.00",0.68
,,2005 - 2006,,,,,,,"13,085.00","8,233.00",0.63
,,2006 - 2007,,,,,,,"14,951.00","4,881.00",0.33
,,2007 - 2008,,,,,,,"13,768.00","15,943.00",1.16
,,2008 - 2009,,,,,,,"13,513.00","10,559.00",0.78
,,2009 - 2010,,,,,,,"12,911.00","4,765.00",0.37
,,2010 - 2011,,,,,,,"11,888.00","12,118.00",1.02
,,2011 - 2012,,,,,,,"10,559.00","7,800.00",0.74
,,2012 - 2013,,,,,,,"11,467.00","7,811.00",0.68
,,2013 - 2014,,,,,,,"13,891.00","13,185.00",0.95
,,2014 - 2015,,,,,,,"12,379.00","9,659.00",0.78
,,2015 - 2016,,,,,,,"14,718.00","8,265.00",0.56
,,2016 - 2017,,,,,,,"13,281.00","6,785.00",0.51
,,2017 - 2018,,,,,,,"12,093.00","8,840.00",0.73
,,2018 - 2019,,,,,,,"10,344.00","11,852.00",1.15
,,2019 - 2020,,,,,,,"8,986.00","3,453.00",0.38
,,2020 - 2021,,,,,,,"6,199.00","5,199.00",0.84
,,2021 - 2022,,,,,,,"4,057.00","2,955.00",0.73
,,2022 - 2023,,,,,,,"2,714.00","1,306.00",0.48
7. Uttar Pradesh,1. Agra,2004 - 2005,,,,,,,192,163,0.85
,,2005 - 2006,,,,,,,189,153,0.81
,,2006 - 2007,,,,,,,185,155,0.84
,,2007 - 2008,,,,187,157,0.84,,,
,,2008 - 2009,,,,188,158,0.84,,,
,,2009 - 2010,,,,188,157,0.84,,,
,,2010 - 2011,,,,187,156,0.83,,,
,,2011 - 2012,,,,129,106,0.82,,,
,,2012 - 2013,,,,175,142,0.81,,,
,,2013 - 2014,,,,123,101,0.82,,,
,,2014 - 2015,,,,160,131,0.82,,,
,,2015 - 2016,,,,168,138,0.82,,,
,,2016 - 2017,,,,151,108,0.72,,,
,,2017 - 2018,,,,155,111,0.72,,,
