State,District,Year,Guar seed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,25. Porbandar,2007 - 2008,,,,,,,300,200,0.67
,,2013 - 2014,,,,,,,435,385,0.89
,,2014 - 2015,,,,,,,115,89,0.77
,,2015 - 2016,,,,,,,20,12,0.6
,,2016 - 2017,,,,,,,5,3,0.6
,,2018 - 2019,,,,,,,50,75,1.5
,26. Rajkot,2008 - 2009,,,,,,,400,100,0.25
,,2012 - 2013,,,,,,,"1,400.00",800,0.57
,,2013 - 2014,,,,,,,"2,578.00","2,284.00",0.89
,,2014 - 2015,,,,,,,939,726,0.77
,,2015 - 2016,,,,,,,"1,105.00",683,0.62
,,2016 - 2017,,,,,,,140,93,0.66
,,2020 - 2021,,,,650,423,0.65,,,
,27. Sabar kantha,2000 - 2001,,,,,,,"11,000.00","2,400.00",0.22
,,2001 - 2002,,,,,,,"12,400.00","5,200.00",0.42
,,2002 - 2003,,,,,,,"12,600.00","6,300.00",0.5
,,2003 - 2004,,,,,,,"9,000.00","8,400.00",0.93
,,2004 - 2005,,,,,,,"6,400.00","6,000.00",0.94
,,2005 - 2006,,,,,,,"7,300.00","6,400.00",0.88
,,2006 - 2007,,,,,,,"7,900.00","3,700.00",0.47
,,2007 - 2008,,,,,,,"4,900.00","3,600.00",0.73
,,2008 - 2009,,,,,,,"7,500.00","2,600.00",0.35
,,2009 - 2010,,,,,,,"7,800.00","2,200.00",0.28
,,2010 - 2011,,,,,,,"4,200.00","2,400.00",0.57
,,2011 - 2012,,,,,,,"5,000.00","2,900.00",0.58
,,2012 - 2013,,,,,,,"28,200.00","17,000.00",0.6
,,2013 - 2014,,,,,,,"19,270.00","22,781.00",1.18
,,2014 - 2015,,,,,,,"13,913.00","10,762.00",0.77
,,2015 - 2016,,,,,,,"9,117.00","5,637.00",0.62
,,2016 - 2017,,,,,,,"9,256.00","6,172.00",0.67
,,2017 - 2018,,,,,,,"5,270.00","3,505.00",0.67
,,2018 - 2019,,,,,,,"2,831.00","1,699.00",0.6
,,2019 - 2020,,,,"1,897.00","2,058.00",1.08,,,
,,2020 - 2021,,,,"1,144.00","1,498.00",1.31,,,
,,2021 - 2022,,,,"1,332.00","1,646.00",1.24,,,
,,2022 - 2023,,,,720,"1,033.00",1.43,,,
