State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,,,,470,"1,024.00",2.18,786,"3,296.00",4.19,,,,,,
,,2006 - 2007,,,,645,"1,927.00",2.99,978,"4,401.00",4.5,,,,,,
,,2007 - 2008,,,,"1,000.00","2,000.00",2,"1,000.00","2,000.00",2,,,,,,
,,2008 - 2009,,,,702,"2,478.00",3.53,553,"2,469.00",4.46,,,,,,
,,2009 - 2010,,,,290,"1,141.00",3.93,281,"1,347.00",4.79,,,,,,
,,2010 - 2011,,,,446,"1,841.00",4.13,285,945,3.32,,,,,,
,,2011 - 2012,,,,180,784,4.36,150,570,3.8,,,,,,
,,2013 - 2014,,,,103,483,4.69,189,916,4.85,,,,,,
,,2014 - 2015,,,,"2,632.00","3,201.00",1.22,374,"2,152.00",5.75,,,,,,
,,2015 - 2016,,,,"2,900.00","15,889.00",5.48,312,"1,458.00",4.67,,,,,,
,,2016 - 2017,,,,"3,045.00","15,414.00",5.06,316,"1,593.00",5.04,,,,,,
,,2017 - 2018,,,,"2,415.00","11,643.00",4.82,318,"1,781.00",5.6,,,,,,
,,2018 - 2019,,,,"2,335.00","8,917.00",3.82,377,"1,238.00",3.28,,,,,,
,,2019 - 2020,,,,"2,218.00","7,523.00",3.39,348,"1,634.00",4.7,,,,,,
,,2020 - 2021,,,,"1,814.00","6,476.00",3.57,445,"2,109.00",4.74,,,,,,
,,2021 - 2022,,,,"1,262.00","3,802.00",3.01,951,"2,541.00",2.67,,,,,,
,,2022 - 2023,,,,51,319,6.25,241,"1,476.00",6.12,,,,,,
,8. Eluru,2022 - 2023,,,,542,"1,829.00",3.37,449,"2,200.00",4.9,,,,,,
,9. Guntur,2000 - 2001,,,,664,"1,370.00",2.06,"50,294.00","1,47,965.00",2.94,,,,,,
,,2001 - 2002,,,,515,"1,036.00",2.01,"51,052.00","2,03,953.00",4,,,,,,
,,2002 - 2003,,,,658,"1,094.00",1.66,"58,658.00","1,18,606.00",2.02,,,,,,
,,2003 - 2004,,,,172,363,2.11,"67,122.00","3,38,429.00",5.04,,,,,,
,,2004 - 2005,,,,271,699,2.58,"55,534.00","2,72,727.00",4.91,,,,,,
,,2005 - 2006,,,,327,712,2.18,"41,126.00","1,93,539.00",4.71,,,,,,
,,2006 - 2007,,,,"1,045.00","3,121.00",2.99,"58,871.00","2,85,819.00",4.86,,,,,,
,,2007 - 2008,,,,"1,000.00","3,000.00",3,"63,000.00","3,12,000.00",4.95,,,,,,
,,2008 - 2009,,,,"2,392.00","8,444.00",3.53,"61,236.00","3,05,935.00",5,,,,,,
,,2009 - 2010,,,,"5,101.00","20,067.00",3.93,"61,837.00","3,41,340.00",5.52,,,,,,
,,2010 - 2011,,,,"3,314.00","13,677.00",4.13,"61,394.00","2,05,424.00",3.35,,,,,,
,,2011 - 2012,,,,"1,706.00","7,431.00",4.36,"74,418.00","3,19,402.00",4.29,,,,,,
,,2012 - 2013,,,,"4,000.00","13,000.00",3.25,"58,000.00","2,55,000.00",4.4,,,,,,
,,2013 - 2014,,,,"1,407.00","6,592.00",4.69,"63,406.00","3,25,717.00",5.14,,,,,,
,,2014 - 2015,,,,"2,078.00","10,500.00",5.05,"61,140.00","3,98,021.00",6.51,,,,,,
,,2015 - 2016,,,,"2,046.00","9,723.00",4.75,"64,102.00","2,56,985.00",4.01,,,,,,
,,2016 - 2017,,,,"8,875.00","61,158.00",6.89,"79,479.00","4,46,672.00",5.62,,,,,,
,,2017 - 2018,,,,"1,771.00","12,689.00",7.16,"58,316.00","3,38,408.00",5.8,,,,,,
,,2018 - 2019,,,,592,"3,804.00",6.43,"80,814.00","2,58,766.00",3.2,,,,,,
,,2019 - 2020,,,,470,"3,795.00",8.07,"76,197.00","4,52,458.00",5.94,,,,,,
,,2020 - 2021,,,,"4,088.00","33,256.00",8.14,"74,081.00","3,78,406.00",5.11,,,,,,
,,2021 - 2022,,,,"2,189.00","2,962.00",1.35,"1,06,650.00","1,62,215.00",1.52,,,,,,
,,2022 - 2023,,,,"2,265.00","17,497.00",7.72,"16,754.00","1,41,387.00",8.44,,,,,,
,10. Kadapa,2000 - 2001,,,,293,335,1.14,"4,753.00","7,015.00",1.48,,,,,,
,,2001 - 2002,,,,409,637,1.56,"5,056.00","7,316.00",1.45,,,,,,
,,2002 - 2003,,,,356,687,1.93,"3,839.00","5,854.00",1.52,,,,,,
,,2003 - 2004,,,,314,656,2.09,"3,422.00","8,422.00",2.46,,,,,,
,,2004 - 2005,,,,197,958,4.86,"3,670.00","8,001.00",2.18,,,,,,
,,2005 - 2006,,,,234,863,3.69,"2,255.00","4,217.00",1.87,,,,,,
,,2006 - 2007,,,,551,"2,056.00",3.73,"2,385.00","6,373.00",2.67,,,,,,
,,2007 - 2008,,,,,,,"3,000.00","5,000.00",1.67,,,,,,
,,2008 - 2009,,,,55,113,2.05,"1,251.00","2,219.00",1.77,,,,,,
,,2009 - 2010,,,,40,134,3.35,712,"2,185.00",3.07,,,,,,
