State,District,Year,Dry chillies,,,,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,49,39,0.8,,,,,,,,,,,,
,,2011 - 2012,50,40,0.8,,,,,,,,,,,,
,,2012 - 2013,54,46,0.85,,,,,,,,,,,,
,,2013 - 2014,18,16,0.89,,,,,,,,,,,,
,,2014 - 2015,19,18,0.95,,,,,,,,,,,,
,,2015 - 2016,20,21,1.05,,,,,,,,,,,,
,,2016 - 2017,21,25,1.19,,,,,,,,,,,,
,,2017 - 2018,21,25,1.19,,,,,,,,,,,,
,,2018 - 2019,21,25,1.19,,,,,,,,,,,,
,,2019 - 2020,21,25,1.19,,,,,,,,,,,,
,,2020 - 2021,21,25,1.19,,,,,,,,,,,,
,3. East khasi hills,2000 - 2001,94,59,0.63,,,,,,,,,,,,
,,2001 - 2002,93,61,0.66,,,,,,,,,,,,
,,2002 - 2003,97,67,0.69,,,,,,,,,,,,
,,2003 - 2004,92,61,0.66,,,,,,,,,,,,
,,2004 - 2005,90,65,0.72,,,,,,,,,,,,
,,2005 - 2006,94,68,0.72,,,,,,,,,,,,
,,2006 - 2007,,,,98,163,1.66,,,,,,,,,
,,2008 - 2009,122,216,1.77,,,,,,,,,,,,
,,2010 - 2011,111,232,2.09,,,,,,,,,,,,
,,2011 - 2012,116,244,2.1,,,,,,,,,,,,
,,2012 - 2013,124,275,2.22,,,,,,,,,,,,
,,2013 - 2014,134,309,2.31,,,,,,,,,,,,
,,2014 - 2015,139,336,2.42,,,,,,,,,,,,
,,2015 - 2016,145,359,2.48,,,,,,,,,,,,
,,2016 - 2017,146,408,2.79,,,,,,,,,,,,
,,2017 - 2018,148,414,2.8,,,,,,,,,,,,
,,2018 - 2019,149,417,2.8,,,,,,,,,,,,
,,2019 - 2020,150,420,2.8,,,,,,,,,,,,
,,2020 - 2021,151,423,2.8,,,,,,,,,,,,
,4. North garo hills,2013 - 2014,123,70,0.57,,,,,,,,,,,,
,,2014 - 2015,124,73,0.59,,,,,,,,,,,,
,,2015 - 2016,128,82,0.64,,,,,,,,,,,,
,,2016 - 2017,129,97,0.75,,,,,,,,,,,,
,,2017 - 2018,131,99,0.76,,,,,,,,,,,,
,,2018 - 2019,132,100,0.76,,,,,,,,,,,,
,,2019 - 2020,133,101,0.76,,,,,,,,,,,,
,,2020 - 2021,134,102,0.76,,,,,,,,,,,,
,5. Ri bhoi,2000 - 2001,50,39,0.78,,,,,,,,,,,,
,,2001 - 2002,49,39,0.8,,,,,,,,,,,,
,,2002 - 2003,79,40,0.51,,,,,,,,,,,,
,,2003 - 2004,52,43,0.83,,,,,,,,,,,,
,,2004 - 2005,79,103,1.3,,,,,,,,,,,,
,,2005 - 2006,89,140,1.57,,,,,,,,,,,,
,,2006 - 2007,,,,90,142,1.58,,,,,,,,,
,,2008 - 2009,93,145,1.56,,,,,,,,,,,,
,,2010 - 2011,90,138,1.53,,,,,,,,,,,,
,,2011 - 2012,93,144,1.55,,,,,,,,,,,,
,,2012 - 2013,100,163,1.63,,,,,,,,,,,,
,,2013 - 2014,108,183,1.69,,,,,,,,,,,,
,,2014 - 2015,111,195,1.76,,,,,,,,,,,,
,,2015 - 2016,115,219,1.9,,,,,,,,,,,,
,,2016 - 2017,116,236,2.03,,,,,,,,,,,,
,,2017 - 2018,117,238,2.03,,,,,,,,,,,,
,,2018 - 2019,118,240,2.03,,,,,,,,,,,,
,,2019 - 2020,119,242,2.03,,,,,,,,,,,,
,,2020 - 2021,120,224,1.87,,,,,,,,,,,,
,6. South garo hills,2000 - 2001,288,182,0.63,,,,,,,,,,,,
,,2001 - 2002,290,185,0.64,,,,,,,,,,,,
,,2002 - 2003,280,175,0.63,,,,,,,,,,,,
,,2003 - 2004,278,195,0.7,,,,,,,,,,,,
,,2004 - 2005,276,162,0.59,,,,,,,,,,,,
,,2005 - 2006,271,167,0.62,,,,,,,,,,,,
,,2006 - 2007,,,,268,166,0.62,,,,,,,,,
,,2008 - 2009,268,164,0.61,,,,,,,,,,,,
,,2010 - 2011,261,160,0.61,,,,,,,,,,,,
,,2011 - 2012,263,163,0.62,,,,,,,,,,,,
,,2012 - 2013,282,183,0.65,,,,,,,,,,,,
,,2013 - 2014,304,205,0.67,,,,,,,,,,,,
,,2014 - 2015,308,214,0.69,,,,,,,,,,,,
,,2015 - 2016,312,228,0.73,,,,,,,,,,,,
,,2016 - 2017,313,238,0.76,,,,,,,,,,,,
,,2017 - 2018,315,240,0.76,,,,,,,,,,,,
,,2018 - 2019,316,241,0.76,,,,,,,,,,,,
,,2019 - 2020,317,242,0.76,,,,,,,,,,,,
,,2020 - 2021,318,243,0.76,,,,,,,,,,,,
,7. South west garo hills,2013 - 2014,173,121,0.7,,,,,,,,,,,,
,,2014 - 2015,178,131,0.74,,,,,,,,,,,,
,,2015 - 2016,187,146,0.78,,,,,,,,,,,,
,,2016 - 2017,188,155,0.82,,,,,,,,,,,,
,,2017 - 2018,190,157,0.83,,,,,,,,,,,,
,,2018 - 2019,191,158,0.83,,,,,,,,,,,,
,,2019 - 2020,192,159,0.83,,,,,,,,,,,,
,,2020 - 2021,193,160,0.83,,,,,,,,,,,,
,8. South west khasi hills,2013 - 2014,20,23,1.15,,,,,,,,,,,,
,,2014 - 2015,21,25,1.19,,,,,,,,,,,,
,,2015 - 2016,22,27,1.23,,,,,,,,,,,,
,,2016 - 2017,23,30,1.3,,,,,,,,,,,,
,,2017 - 2018,23,30,1.3,,,,,,,,,,,,
,,2018 - 2019,23,30,1.3,,,,,,,,,,,,
,,2019 - 2020,23,30,1.3,,,,,,,,,,,,
,,2020 - 2021,23,30,1.3,,,,,,,,,,,,
,9. West garo hills,2000 - 2001,883,551,0.62,,,,,,,,,,,,
,,2001 - 2002,885,552,0.62,,,,,,,,,,,,
,,2002 - 2003,880,548,0.62,,,,,,,,,,,,
,,2003 - 2004,884,550,0.62,,,,,,,,,,,,
,,2004 - 2005,888,549,0.62,,,,,,,,,,,,
,,2005 - 2006,895,559,0.62,,,,,,,,,,,,
,,2006 - 2007,,,,904,565,0.63,,,,,,,,,
,,2008 - 2009,918,586,0.64,,,,,,,,,,,,
,,2010 - 2011,942,596,0.63,,,,,,,,,,,,
,,2011 - 2012,943,611,0.65,,,,,,,,,,,,
,,2012 - 2013,"1,013.00",687,0.68,,,,,,,,,,,,
,,2013 - 2014,920,649,0.71,,,,,,,,,,,,
,,2014 - 2015,929,668,0.72,,,,,,,,,,,,
,,2015 - 2016,952,707,0.74,,,,,,,,,,,,
,,2016 - 2017,953,780,0.82,,,,,,,,,,,,
,,2017 - 2018,955,784,0.82,,,,,,,,,,,,
,,2018 - 2019,956,785,0.82,,,,,,,,,,,,
,,2019 - 2020,957,787,0.82,,,,,,,,,,,,
,,2020 - 2021,958,788,0.82,,,,,,,,,,,,
,10. West jaintia hills,2013 - 2014,40,36,0.9,,,,,,,,,,,,
,,2014 - 2015,41,39,0.95,,,,,,,,,,,,
,,2015 - 2016,44,45,1.02,,,,,,,,,,,,
,,2016 - 2017,49,56,1.14,,,,,,,,,,,,
,,2017 - 2018,49,56,1.14,,,,,,,,,,,,
,,2018 - 2019,49,56,1.14,,,,,,,,,,,,
,,2019 - 2020,49,56,1.14,,,,,,,,,,,,
,,2020 - 2021,49,56,1.14,,,,,,,,,,,,
,11. West khasi hills,2000 - 2001,45,23,0.51,,,,,,,,,,,,
,,2001 - 2002,48,24,0.5,,,,,,,,,,,,
,,2002 - 2003,45,23,0.51,,,,,,,,,,,,
,,2003 - 2004,42,22,0.52,,,,,,,,,,,,
,,2004 - 2005,48,28,0.58,,,,,,,,,,,,
,,2005 - 2006,48,34,0.71,,,,,,,,,,,,
,,2006 - 2007,,,,50,42,0.84,,,,,,,,,
,,2008 - 2009,48,39,0.81,,,,,,,,,,,,
,,2010 - 2011,47,45,0.96,,,,,,,,,,,,
,,2011 - 2012,49,48,0.98,,,,,,,,,,,,
,,2012 - 2013,53,53,1,,,,,,,,,,,,
,,2013 - 2014,37,36,0.97,,,,,,,,,,,,
,,2014 - 2015,41,40,0.98,,,,,,,,,,,,
,,2015 - 2016,43,44,1.02,,,,,,,,,,,,
,,2016 - 2017,44,46,1.05,,,,,,,,,,,,
,,2017 - 2018,44,46,1.05,,,,,,,,,,,,
,,2018 - 2019,44,46,1.05,,,,,,,,,,,,
,,2019 - 2020,44,46,1.05,,,,,,,,,,,,
,,2020 - 2021,44,46,1.05,,,,,,,,,,,,
15. Nagaland,1. Dimapur,2007 - 2008,,,,,,,110,150,1.36,,,,,,
,,2008 - 2009,,,,,,,360,450,1.25,,,,,,
,2. Kiphire,2008 - 2009,,,,,,,100,140,1.4,,,,,,
,3. Kohima,2007 - 2008,,,,,,,100,130,1.3,,,,,,
,,2008 - 2009,,,,,,,280,360,1.29,,,,,,
,4. Longleng,2008 - 2009,,,,,,,100,120,1.2,,,,,,
,5. Mokokchung,2007 - 2008,,,,,,,90,100,1.11,,,,,,
,,2008 - 2009,,,,,,,190,230,1.21,,,,,,
,6. Mon,2007 - 2008,,,,,,,60,70,1.17,,,,,,
,,2008 - 2009,,,,,,,280,340,1.21,,,,,,
,7. Peren,2008 - 2009,,,,,,,200,240,1.2,,,,,,
,8. Phek,2007 - 2008,,,,,,,90,110,1.22,,,,,,
,,2008 - 2009,,,,,,,260,320,1.23,,,,,,
,9. Tuensang,2007 - 2008,,,,,,,50,70,1.4,,,,,,
,,2008 - 2009,,,,,,,170,230,1.35,,,,,,
,10. Wokha,2007 - 2008,,,,,,,120,160,1.33,,,,,,
,,2008 - 2009,,,,,,,320,400,1.25,,,,,,
,11. Zunheboto,2007 - 2008,,,,,,,80,100,1.25,,,,,,
,,2008 - 2009,,,,,,,240,300,1.25,,,,,,
16. Odisha,1. Anugul,2000 - 2001,"3,950.00","3,360.00",0.85,,,,,,,,,,,,
,,2001 - 2002,"3,140.00","2,670.00",0.85,,,,,,,,,,,,
,,2002 - 2003,"3,500.00","2,970.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"3,550.00","3,020.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"4,541.00","3,860.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,"2,940.00","4,310.00",1.47,"1,690.00","1,620.00",0.96,,,,,,
,2. Balangir,2000 - 2001,"3,920.00","3,040.00",0.78,,,,,,,,,,,,
,,2001 - 2002,"3,760.00","2,910.00",0.77,,,,,,,,,,,,
,,2002 - 2003,"2,990.00","2,310.00",0.77,,,,,,,,,,,,
,,2003 - 2004,"2,450.00","1,960.00",0.8,,,,,,,,,,,,
,,2004 - 2005,"3,363.00","2,690.00",0.8,,,,,,,,,,,,
,,2019 - 2020,,,,"1,790.00","2,480.00",1.39,810,640,0.79,,,,,,
,3. Baleshwar,2000 - 2001,"3,700.00","3,180.00",0.86,,,,,,,,,,,,
,,2001 - 2002,"3,680.00","3,120.00",0.85,,,,,,,,,,,,
,,2002 - 2003,"4,120.00","3,540.00",0.86,,,,,,,,,,,,
,,2003 - 2004,"4,440.00","3,820.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"3,941.00","3,390.00",0.86,,,,,,,,,,,,
,,2019 - 2020,,,,"3,190.00","4,160.00",1.3,"1,310.00","1,130.00",0.86,,,,,,
,4. Bargarh,2000 - 2001,"4,880.00","4,160.00",0.85,,,,,,,,,,,,
,,2001 - 2002,"5,120.00","4,300.00",0.84,,,,,,,,,,,,
,,2002 - 2003,"3,460.00","2,910.00",0.84,,,,,,,,,,,,
,,2003 - 2004,"2,560.00","2,200.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"2,397.00","2,060.00",0.86,,,,,,,,,,,,
,,2019 - 2020,,,,"1,230.00","1,500.00",1.22,190,180,0.95,,,,,,
,5. Bhadrak,2000 - 2001,"1,860.00","1,490.00",0.8,,,,,,,,,,,,
,,2001 - 2002,"1,880.00","1,580.00",0.84,,,,,,,,,,,,
,,2002 - 2003,"1,830.00","1,490.00",0.81,,,,,,,,,,,,
,,2003 - 2004,"3,570.00","2,900.00",0.81,,,,,,,,,,,,
,,2004 - 2005,"2,775.00","2,250.00",0.81,,,,,,,,,,,,
,,2019 - 2020,,,,"1,750.00","2,300.00",1.31,"1,250.00",980,0.78,,,,,,
,6. Boudh,2000 - 2001,"1,090.00",870,0.8,,,,,,,,,,,,
,,2001 - 2002,880,730,0.83,,,,,,,,,,,,
,,2002 - 2003,760,580,0.76,,,,,,,,,,,,
,,2003 - 2004,920,710,0.77,,,,,,,,,,,,
,,2004 - 2005,"1,040.00",800,0.77,,,,,,,,,,,,
,,2019 - 2020,,,,620,730,1.18,420,370,0.88,,,,,,
,7. Cuttack,2000 - 2001,"1,980.00","1,740.00",0.88,,,,,,,,,,,,
,,2001 - 2002,"1,870.00","1,610.00",0.86,,,,,,,,,,,,
,,2002 - 2003,"3,120.00","2,650.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"3,530.00","3,000.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"3,894.00","3,310.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,"3,090.00","3,430.00",1.11,710,550,0.77,,,,,,
,8. Deogarh,2000 - 2001,"1,760.00","1,400.00",0.8,,,,,,,,,,,,
,,2001 - 2002,"1,740.00","1,410.00",0.81,,,,,,,,,,,,
,,2002 - 2003,"1,050.00",880,0.84,,,,,,,,,,,,
,,2003 - 2004,"1,690.00","1,450.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"1,672.00","1,440.00",0.86,,,,,,,,,,,,
,,2019 - 2020,,,,"1,550.00","2,170.00",1.4,450,480,1.07,,,,,,
,9. Dhenkanal,2000 - 2001,"3,300.00","2,800.00",0.85,,,,,,,,,,,,
,,2001 - 2002,"3,420.00","2,910.00",0.85,,,,,,,,,,,,
,,2002 - 2003,"2,500.00","2,130.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"2,550.00","2,170.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"3,792.00","3,220.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,220,370,1.68,180,160,0.89,,,,,,
,10. Gajapati,2000 - 2001,660,510,0.77,,,,,,,,,,,,
,,2001 - 2002,"1,860.00","1,470.00",0.79,,,,,,,,,,,,
,,2002 - 2003,"1,920.00","1,630.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"1,950.00","1,660.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"1,812.00","1,540.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,"2,190.00","3,020.00",1.38,960,800,0.83,,,,,,
,11. Ganjam,2000 - 2001,"4,350.00","3,790.00",0.87,,,,,,,,,,,,
,,2001 - 2002,"4,650.00","4,040.00",0.87,,,,,,,,,,,,
,,2002 - 2003,"5,000.00","4,400.00",0.88,,,,,,,,,,,,
,,2003 - 2004,"4,550.00","4,000.00",0.88,,,,,,,,,,,,
,,2004 - 2005,"4,267.00","3,750.00",0.88,,,,,,,,,,,,
,,2019 - 2020,,,,"3,090.00","5,280.00",1.71,"1,910.00","1,900.00",0.99,,,,,,
,12. Jagatsinghapur,2000 - 2001,550,480,0.87,,,,,,,,,,,,
,,2001 - 2002,560,500,0.89,,,,,,,,,,,,
,,2002 - 2003,"5,330.00","4,530.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"3,720.00","3,160.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"3,935.00","3,350.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,"1,320.00","1,240.00",0.94,60,60,1,,,,,,
,13. Jajapur,2000 - 2001,820,690,0.84,,,,,,,,,,,,
,,2001 - 2002,830,710,0.86,,,,,,,,,,,,
,,2002 - 2003,"2,370.00","1,990.00",0.84,,,,,,,,,,,,
,,2003 - 2004,"2,530.00","2,120.00",0.84,,,,,,,,,,,,
,,2004 - 2005,"2,568.00","2,150.00",0.84,,,,,,,,,,,,
,,2019 - 2020,,,,"1,980.00","2,580.00",1.3,"1,540.00","1,530.00",0.99,,,,,,
,14. Jharsuguda,2000 - 2001,"2,350.00","1,950.00",0.83,,,,,,,,,,,,
,,2001 - 2002,"1,890.00","1,470.00",0.78,,,,,,,,,,,,
,,2002 - 2003,"1,090.00",910,0.83,,,,,,,,,,,,
,,2003 - 2004,"1,190.00","1,020.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"1,056.00",910,0.86,,,,,,,,,,,,
,,2019 - 2020,,,,430,730,1.7,370,360,0.97,,,,,,
,15. Kalahandi,2000 - 2001,"1,700.00","1,490.00",0.88,,,,,,,,,,,,
,,2001 - 2002,"1,670.00","1,300.00",0.78,,,,,,,,,,,,
,,2002 - 2003,"1,690.00","1,320.00",0.78,,,,,,,,,,,,
,,2003 - 2004,"1,860.00","1,450.00",0.78,,,,,,,,,,,,
,,2004 - 2005,"1,980.00","1,540.00",0.78,,,,,,,,,,,,
,,2019 - 2020,,,,"1,560.00","2,070.00",1.33,"1,210.00","1,120.00",0.93,,,,,,
,16. Kandhamal,2000 - 2001,"1,040.00",850,0.82,,,,,,,,,,,,
,,2001 - 2002,"2,060.00","1,650.00",0.8,,,,,,,,,,,,
,,2002 - 2003,"1,110.00",790,0.71,,,,,,,,,,,,
,,2003 - 2004,"1,830.00","1,370.00",0.75,,,,,,,,,,,,
,,2004 - 2005,"1,722.00","1,290.00",0.75,,,,,,,,,,,,
,,2019 - 2020,,,,"1,150.00","1,980.00",1.72,"1,070.00","1,050.00",0.98,,,,,,
,17. Kendrapara,2000 - 2001,870,740,0.85,,,,,,,,,,,,
,,2001 - 2002,860,730,0.85,,,,,,,,,,,,
,,2002 - 2003,"4,240.00","3,600.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"4,290.00","3,640.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"3,659.00","3,110.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,280,450,1.61,250,260,1.04,,,,,,
,18. Kendujhar,2000 - 2001,"2,700.00","2,320.00",0.86,,,,,,,,,,,,
,,2001 - 2002,"2,820.00","2,470.00",0.88,,,,,,,,,,,,
,,2002 - 2003,"3,130.00","2,740.00",0.88,,,,,,,,,,,,
,,2003 - 2004,"4,380.00","3,830.00",0.87,,,,,,,,,,,,
,,2004 - 2005,"4,670.00","4,090.00",0.88,,,,,,,,,,,,
,,2019 - 2020,,,,"2,440.00","3,490.00",1.43,"1,990.00","1,960.00",0.98,,,,,,
,19. Khordha,2000 - 2001,400,320,0.8,,,,,,,,,,,,
,,2001 - 2002,410,350,0.85,,,,,,,,,,,,
,,2002 - 2003,750,640,0.85,,,,,,,,,,,,
,,2003 - 2004,550,470,0.85,,,,,,,,,,,,
,,2004 - 2005,538,460,0.86,,,,,,,,,,,,
,,2019 - 2020,,,,"1,140.00","1,330.00",1.17,240,240,1,,,,,,
,20. Koraput,2000 - 2001,"4,870.00","4,280.00",0.88,,,,,,,,,,,,
,,2001 - 2002,"4,970.00","4,370.00",0.88,,,,,,,,,,,,
,,2002 - 2003,"4,900.00","3,870.00",0.79,,,,,,,,,,,,
,,2003 - 2004,"4,060.00","3,210.00",0.79,,,,,,,,,,,,
,,2004 - 2005,"3,547.00","2,800.00",0.79,,,,,,,,,,,,
,,2019 - 2020,,,,"1,480.00","1,940.00",1.31,"1,320.00","1,240.00",0.94,,,,,,
,21. Malkangiri,2000 - 2001,"2,600.00","2,210.00",0.85,,,,,,,,,,,,
,,2001 - 2002,"2,610.00","2,220.00",0.85,,,,,,,,,,,,
,,2002 - 2003,"2,500.00","2,150.00",0.86,,,,,,,,,,,,
,,2003 - 2004,"1,800.00","1,550.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"1,625.00","1,400.00",0.86,,,,,,,,,,,,
,,2019 - 2020,,,,"1,380.00","1,760.00",1.28,980,990,1.01,,,,,,
,22. Mayurbhanj,2000 - 2001,"5,120.00","4,500.00",0.88,,,,,,,,,,,,
,,2001 - 2002,"4,220.00","3,720.00",0.88,,,,,,,,,,,,
,,2002 - 2003,800,700,0.88,,,,,,,,,,,,
,,2003 - 2004,"1,080.00",950,0.88,,,,,,,,,,,,
,,2004 - 2005,"1,073.00",940,0.88,,,,,,,,,,,,
,,2019 - 2020,,,,"2,540.00","2,960.00",1.17,460,450,0.98,,,,,,
,23. Nabarangpur,2000 - 2001,"1,930.00","1,580.00",0.82,,,,,,,,,,,,
,,2001 - 2002,"1,910.00","1,680.00",0.88,,,,,,,,,,,,
,,2002 - 2003,"1,260.00","1,070.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"1,970.00","1,670.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"1,843.00","1,560.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,330,520,1.58,240,220,0.92,,,,,,
,24. Nayagarh,2000 - 2001,240,190,0.79,,,,,,,,,,,,
,,2001 - 2002,280,240,0.86,,,,,,,,,,,,
,,2002 - 2003,810,690,0.85,,,,,,,,,,,,
,,2003 - 2004,510,430,0.84,,,,,,,,,,,,
,,2004 - 2005,535,450,0.84,,,,,,,,,,,,
,,2019 - 2020,,,,310,470,1.52,250,230,0.92,,,,,,
,25. Nuapada,2000 - 2001,990,840,0.85,,,,,,,,,,,,
,,2001 - 2002,"1,010.00",890,0.88,,,,,,,,,,,,
,,2002 - 2003,"2,820.00","2,230.00",0.79,,,,,,,,,,,,
,,2003 - 2004,"2,860.00","2,260.00",0.79,,,,,,,,,,,,
,,2004 - 2005,"3,093.00","1,650.00",0.53,,,,,,,,,,,,
,,2019 - 2020,,,,"2,070.00","2,670.00",1.29,930,920,0.99,,,,,,
,26. Puri,2000 - 2001,240,200,0.83,,,,,,,,,,,,
,,2001 - 2002,240,210,0.88,,,,,,,,,,,,
,,2002 - 2003,230,200,0.87,,,,,,,,,,,,
,,2003 - 2004,250,210,0.84,,,,,,,,,,,,
,,2004 - 2005,331,280,0.85,,,,,,,,,,,,
,,2019 - 2020,,,,140,240,1.71,120,110,0.92,,,,,,
,27. Rayagada,2000 - 2001,"2,590.00","2,150.00",0.83,,,,,,,,,,,,
,,2001 - 2002,"3,630.00","2,870.00",0.79,,,,,,,,,,,,
,,2002 - 2003,"3,750.00","3,300.00",0.88,,,,,,,,,,,,
,,2003 - 2004,"2,120.00","1,870.00",0.88,,,,,,,,,,,,
,,2004 - 2005,"2,006.00","1,770.00",0.88,,,,,,,,,,,,
,,2019 - 2020,,,,"2,040.00","2,510.00",1.23,820,760,0.93,,,,,,
,28. Sambalpur,2000 - 2001,"5,820.00","4,910.00",0.84,,,,,,,,,,,,
,,2001 - 2002,"4,630.00","4,080.00",0.88,,,,,,,,,,,,
,,2002 - 2003,"4,450.00","3,740.00",0.84,,,,,,,,,,,,
,,2003 - 2004,"4,670.00","4,020.00",0.86,,,,,,,,,,,,
,,2004 - 2005,"4,188.00","3,600.00",0.86,,,,,,,,,,,,
,,2019 - 2020,,,,"3,560.00","3,130.00",0.88,"1,230.00","1,170.00",0.95,,,,,,
,29. Sonepur,2000 - 2001,800,660,0.83,,,,,,,,,,,,
,,2001 - 2002,830,690,0.83,,,,,,,,,,,,
,,2002 - 2003,490,400,0.82,,,,,,,,,,,,
,,2003 - 2004,410,340,0.83,,,,,,,,,,,,
,,2004 - 2005,930,760,0.82,,,,,,,,,,,,
,,2019 - 2020,,,,530,870,1.64,440,430,0.98,,,,,,
,30. Sundargarh,2000 - 2001,"2,570.00","2,250.00",0.88,,,,,,,,,,,,
,,2001 - 2002,"2,600.00","2,280.00",0.88,,,,,,,,,,,,
,,2002 - 2003,"3,000.00","2,550.00",0.85,,,,,,,,,,,,
,,2003 - 2004,"3,200.00","2,720.00",0.85,,,,,,,,,,,,
,,2004 - 2005,"3,320.00","2,820.00",0.85,,,,,,,,,,,,
,,2019 - 2020,,,,"3,750.00","4,720.00",1.26,"1,510.00","1,450.00",0.96,,,,,,
17. Puducherry,1. Karaikal,2000 - 2001,1,2,2,,,,,,,,,,,,
,,2003 - 2004,2,4,2,,,,,,,,,,,,
,,2004 - 2005,1,2,2,,,,,,,,,,,,
,,2005 - 2006,1,2,2,,,,,,,,,,,,
,,2006 - 2007,,,,,,,,,,1,2,2,,,
,,2007 - 2008,,,,,,,,,,1,1,1,,,
,2. Mahe,2000 - 2001,1,2,2,,,,,,,,,,,,
,3. Pondicherry,2000 - 2001,7,26,3.71,,,,,,,,,,,,
,,2002 - 2003,14,36,2.57,,,,,,,,,,,,
,,2003 - 2004,8,24,3,,,,,,,,,,,,
,,2004 - 2005,11,30,2.73,,,,,,,,,,,,
,,2005 - 2006,7,15,2.14,,,,,,,,,,,,
,,2006 - 2007,,,,4,8,2,1,2,2,3,8,2.67,,,
,,2007 - 2008,,,,1,1,1,1,1,1,2,2,1,,,
,,2008 - 2009,,,,1,1,1,1,1,1,1,1,1,,,
,,2009 - 2010,,,,1,1,1,1,1,1,4,4,1,,,
,,2010 - 2011,,,,3,4,1.33,1,1,1,2,2,1,,,
,,2011 - 2012,,,,,,,1,2,2,1,2,2,,,
,,2012 - 2013,,,,2,4,2,1,2,2,1,2,2,,,
,,2013 - 2014,,,,2,12,6,1,4,4,2,23,11.5,,,
,,2014 - 2015,,,,2,26,13,20,18,0.9,2,22,11,,,
,,2015 - 2016,,,,3,30,10,,,,,,,,,
,,2016 - 2017,,,,4,26,6.5,,,,,,,,,
,,2017 - 2018,,,,3,30,10,1,10,10,3,24,8,,,
,,2018 - 2019,,,,2,21,10.5,1,14,14,3,41,13.67,,,
,,2019 - 2020,,,,3,41,13.67,2,26,13,2,26,13,,,
,,2020 - 2021,,,,2,27,13.5,2,26,13,2,26,13,,,
,,2021 - 2022,,,,4,54,13.5,1,14,14,5,65,13,,,
,,2022 - 2023,,,,2,8,4,1,4,4,2,8,4,,,
,4. Yanam,2000 - 2001,1,3,3,,,,,,,,,,,,
,,2003 - 2004,1,2,2,,,,,,,,,,,,
,,2004 - 2005,2,3,1.5,,,,,,,,,,,,
18. Rajasthan,1. Ajmer,2000 - 2001,"2,109.00",573,0.27,,,,,,,,,,,,
,,2001 - 2002,"2,608.00","2,141.00",0.82,,,,,,,,,,,,
,,2002 - 2003,940,85,0.09,,,,,,,,,,,,
,,2003 - 2004,"1,050.00","1,100.00",1.05,,,,,,,,,,,,
,,2004 - 2005,"1,628.00","1,639.00",1.01,,,,,,,,,,,,
,,2005 - 2006,906,503,0.56,,,,,,,,,,,,
,,2006 - 2007,745,492,0.66,,,,,,,,,,,,
,,2007 - 2008,"1,172.00",671,0.57,,,,,,,,,,,,
,,2008 - 2009,844,630,0.75,,,,,,,,,,,,
,,2009 - 2010,808,222,0.27,,,,,,,,,,,,
,,2010 - 2011,670,530,0.79,,,,,,,,,,,,
,,2011 - 2012,539,497,0.92,,,,,,,,,,,,
,,2012 - 2013,482,457,0.95,,,,,,,,,,,,
,,2013 - 2014,402,526,1.31,,,,,,,,,,,,
,,2014 - 2015,336,400,1.19,,,,,,,,,,,,
,,2015 - 2016,465,538,1.16,,,,,,,,,,,,
,,2016 - 2017,526,720,1.37,,,,,,,,,,,,
,,2017 - 2018,312,639,2.05,,,,,,,,,,,,
,,2018 - 2019,273,395,1.45,,,,,,,,,,,,
,,2019 - 2020,178,297,1.67,,,,,,,,,,,,
,,2020 - 2021,219,285,1.3,,,,,,,,,,,,
,,2021 - 2022,214,288,1.35,,,,,,,,,,,,
,2. Alwar,2000 - 2001,820,679,0.83,,,,,,,,,,,,
