State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,42,61,1.45,,,,,,
,,2008 - 2009,71,113,1.59,,,,,,
,,2016 - 2017,24,37,1.54,,,,,,
,,2017 - 2018,36,55,1.53,,,,,,
,,2018 - 2019,22,34,1.55,,,,,,
,,2019 - 2020,22,34,1.55,,,,,,
,,2020 - 2021,21,32,1.52,,,,,,
,,2021 - 2022,22,34,1.55,,,,,,
,,2022 - 2023,22,34,1.55,,,,,,
,21. Muzaffarpur,2000 - 2001,114,173,1.52,,,,,,
,,2001 - 2002,133,201,1.51,,,,,,
,,2002 - 2003,110,162,1.47,,,,,,
,,2003 - 2004,155,234,1.51,,,,,,
,,2004 - 2005,108,163,1.51,,,,,,
,,2005 - 2006,93,137,1.47,,,,,,
,,2007 - 2008,20,29,1.45,,,,,,
,,2008 - 2009,82,144,1.76,,,,,,
,,2016 - 2017,51,77,1.51,,,,,,
,,2017 - 2018,48,73,1.52,,,,,,
,,2018 - 2019,41,63,1.54,,,,,,
,,2019 - 2020,43,65,1.51,,,,,,
,,2020 - 2021,43,66,1.53,,,,,,
,,2021 - 2022,45,70,1.56,,,,,,
,,2022 - 2023,47,72,1.53,,,,,,
,22. Nalanda,2000 - 2001,25,31,1.24,,,,,,
,,2001 - 2002,16,23,1.44,,,,,,
,,2002 - 2003,20,30,1.5,,,,,,
,,2003 - 2004,3,4,1.33,,,,,,
,,2004 - 2005,3,5,1.67,,,,,,
,,2005 - 2006,4,6,1.5,,,,,,
,,2007 - 2008,3,4,1.33,,,,,,
,,2008 - 2009,6,9,1.5,,,,,,
,,2016 - 2017,61,97,1.59,,,,,,
,,2017 - 2018,20,31,1.55,,,,,,
,,2018 - 2019,41,64,1.56,,,,,,
,,2019 - 2020,49,77,1.57,,,,,,
,,2020 - 2021,61,96,1.57,,,,,,
,,2021 - 2022,39,61,1.56,,,,,,
,,2022 - 2023,45,70,1.56,,,,,,
,23. Nawada,2000 - 2001,19,28,1.47,,,,,,
,,2001 - 2002,8,12,1.5,,,,,,
,,2002 - 2003,10,15,1.5,,,,,,
,,2003 - 2004,11,16,1.45,,,,,,
,,2004 - 2005,6,9,1.5,,,,,,
,,2005 - 2006,267,393,1.47,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,
,,2008 - 2009,9,14,1.56,,,,,,
,24. Pashchim champaran,2000 - 2001,666,"1,008.00",1.51,,,,,,
,,2001 - 2002,551,833,1.51,,,,,,
,,2002 - 2003,636,939,1.48,,,,,,
,,2003 - 2004,628,950,1.51,,,,,,
,,2004 - 2005,745,"1,126.00",1.51,,,,,,
,,2005 - 2006,630,931,1.48,,,,,,
,,2007 - 2008,614,893,1.45,,,,,,
,,2008 - 2009,628,"1,106.00",1.76,,,,,,
,,2016 - 2017,164,257,1.57,,,,,,
,,2017 - 2018,165,257,1.56,,,,,,
,,2018 - 2019,90,141,1.57,,,,,,
,,2019 - 2020,88,138,1.57,,,,,,
,,2020 - 2021,87,136,1.56,,,,,,
,,2021 - 2022,74,116,1.57,,,,,,
,,2022 - 2023,71,111,1.56,,,,,,
,25. Patna,2000 - 2001,5,6,1.2,,,,,,
,,2001 - 2002,4,6,1.5,,,,,,
,,2002 - 2003,14,21,1.5,,,,,,
,,2004 - 2005,14,21,1.5,,,,,,
,,2005 - 2006,10,15,1.5,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,
,,2008 - 2009,5,7,1.4,,,,,,
,,2016 - 2017,4,6,1.5,,,,,,
,,2017 - 2018,13,20,1.54,,,,,,
,,2018 - 2019,19,30,1.58,,,,,,
,,2019 - 2020,79,124,1.57,,,,,,
,,2020 - 2021,80,125,1.56,,,,,,
,,2021 - 2022,66,103,1.56,,,,,,
,26. Purbi champaran,2000 - 2001,115,174,1.51,,,,,,
,,2001 - 2002,283,428,1.51,,,,,,
,,2003 - 2004,50,76,1.52,,,,,,
,,2004 - 2005,133,201,1.51,,,,,,
,,2005 - 2006,136,201,1.48,,,,,,
,,2007 - 2008,141,205,1.45,,,,,,
,,2008 - 2009,145,252,1.74,,,,,,
,,2016 - 2017,99,156,1.58,,,,,,
,,2017 - 2018,3,5,1.67,,,,,,
,,2018 - 2019,3,5,1.67,,,,,,
,,2019 - 2020,3,5,1.67,,,,,,
,,2020 - 2021,3,5,1.67,,,,,,
,,2021 - 2022,3,5,1.67,,,,,,
,,2022 - 2023,3,5,1.67,,,,,,
,27. Purnia,2000 - 2001,59,73,1.24,,,,,,
,,2001 - 2002,84,123,1.46,,,,,,
,,2002 - 2003,67,99,1.48,,,,,,
,,2003 - 2004,79,119,1.51,,,,,,
,,2004 - 2005,60,90,1.5,,,,,,
,,2005 - 2006,60,89,1.48,,,,,,
,,2007 - 2008,35,50,1.43,,,,,,
,,2008 - 2009,44,61,1.39,,,,,,
,28. Rohtas,2000 - 2001,49,61,1.24,,,,,,
,,2001 - 2002,50,73,1.46,,,,,,
,,2002 - 2003,29,43,1.48,,,,,,
,,2003 - 2004,7,11,1.57,,,,,,
,,2004 - 2005,11,17,1.55,,,,,,
,,2005 - 2006,4,6,1.5,,,,,,
,,2016 - 2017,8,11,1.38,,,,,,
,,2017 - 2018,7,10,1.43,,,,,,
,,2018 - 2019,7,10,1.43,,,,,,
,,2019 - 2020,7,10,1.43,,,,,,
,29. Saharsa,2000 - 2001,2,3,1.5,,,,,,
