State,District,Year,Garlic,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,102,449,4.4,,,,,,
,,2002 - 2003,105,456,4.34,,,,,,
,,2003 - 2004,109,487,4.47,,,,,,
,,2004 - 2005,123,549,4.46,,,,,,
,,2006 - 2007,91,395,4.34,,,,,,
,,2007 - 2008,99,437,4.41,,,,,,
,,2008 - 2009,81,347,4.28,,,,,,
,,2009 - 2010,68,291,4.28,,,,,,
,,2010 - 2011,82,297,3.62,,,,,,
,,2011 - 2012,120,466,3.88,,,,,,
,,2012 - 2013,154,675,4.38,,,,,,
,,2013 - 2014,168,"1,053.00",6.27,,,,,,
,,2015 - 2016,717.39,"6,399.55",8.92,,,,,,
,,2016 - 2017,774,"6,943.00",8.97,,,,,,
,,2017 - 2018,774,"6,943.00",8.97,,,,,,
,,2018 - 2019,795,"6,988.00",8.79,,,,,,
,,2019 - 2020,795,"6,988.00",8.79,,,,,,
,32. Neemuch,2000 - 2001,"3,532.00","14,660.00",4.15,,,,,,
,,2001 - 2002,"4,758.00","21,572.00",4.53,,,,,,
,,2002 - 2003,"3,193.00","11,010.00",3.45,,,,,,
,,2003 - 2004,"4,423.00","20,618.00",4.66,,,,,,
,,2004 - 2005,"5,605.00","27,201.00",4.85,,,,,,
,,2006 - 2007,"5,602.00","26,471.00",4.73,,,,,,
,,2007 - 2008,"6,353.00","27,992.00",4.41,,,,,,
,,2008 - 2009,"6,696.00","29,930.00",4.47,,,,,,
,,2009 - 2010,"5,925.00","24,593.00",4.15,,,,,,
,,2010 - 2011,"6,580.00","18,967.00",2.88,,,,,,
,,2011 - 2012,"7,800.00","29,842.00",3.83,,,,,,
,,2012 - 2013,"7,727.00","70,187.00",9.08,,,,,,
,,2013 - 2014,"9,027.00","42,981.00",4.76,,,,,,
,,2015 - 2016,"14,098.00","1,26,882.00",9,,,,,,
,,2016 - 2017,"35,000.00","3,15,000.00",9,,,,,,
,,2017 - 2018,"34,500.00","3,10,500.00",9,,,,,,
,,2018 - 2019,"25,000.00","2,25,000.00",9,,,,,,
,,2019 - 2020,"22,000.00","1,98,000.00",9,,,,,,
,33. Panna,2000 - 2001,26,51,1.96,,,,,,
,,2001 - 2002,32,67,2.09,,,,,,
,,2002 - 2003,24,48,2,,,,,,
,,2003 - 2004,16,38,2.38,,,,,,
,,2004 - 2005,28,51,1.82,,,,,,
,,2006 - 2007,28,57,2.04,,,,,,
,,2007 - 2008,60,133,2.22,,,,,,
,,2008 - 2009,44,89,2.02,,,,,,
,,2009 - 2010,41,99,2.41,,,,,,
,,2010 - 2011,94,149,1.59,,,,,,
,,2011 - 2012,183,291,1.59,,,,,,
,,2012 - 2013,128,377,2.95,,,,,,
,,2013 - 2014,131,470,3.59,,,,,,
,,2015 - 2016,152,500,3.29,,,,,,
,,2016 - 2017,165,"1,237.00",7.5,,,,,,
,,2017 - 2018,168,"1,248.00",7.43,,,,,,
,,2018 - 2019,168,"1,248.00",7.43,,,,,,
,,2019 - 2020,168,"1,248.00",7.43,,,,,,
,34. Raisen,2000 - 2001,80,207,2.59,,,,,,
,,2001 - 2002,78,202,2.59,,,,,,
,,2002 - 2003,64,165,2.58,,,,,,
,,2003 - 2004,95,268,2.82,,,,,,
,,2004 - 2005,82,231,2.82,,,,,,
,,2006 - 2007,105,296,2.82,,,,,,
,,2007 - 2008,78,220,2.82,,,,,,
,,2008 - 2009,92,260,2.83,,,,,,
,,2009 - 2010,101,299,2.96,,,,,,
,,2010 - 2011,79,190,2.41,,,,,,
,,2011 - 2012,91,281,3.09,,,,,,
,,2012 - 2013,130,312,2.4,,,,,,
,,2013 - 2014,77,212,2.75,,,,,,
,,2015 - 2016,550,"3,240.00",5.89,,,,,,
,,2016 - 2017,580,"3,484.00",6.01,,,,,,
,,2017 - 2018,580,"3,884.00",6.7,,,,,,
,,2018 - 2019,580,"3,884.00",6.7,,,,,,
,,2019 - 2020,580,"3,884.00",6.7,,,,,,
,35. Rajgarh,2000 - 2001,436,"1,078.00",2.47,,,,,,
,,2001 - 2002,550,"1,336.00",2.43,,,,,,
,,2002 - 2003,366,810,2.21,,,,,,
,,2003 - 2004,830,"2,592.00",3.12,,,,,,
,,2004 - 2005,"1,020.00","3,185.00",3.12,,,,,,
,,2006 - 2007,"1,046.00","3,448.00",3.3,,,,,,
,,2007 - 2008,"1,374.00","4,589.00",3.34,,,,,,
,,2008 - 2009,"1,216.00","3,850.00",3.17,,,,,,
,,2009 - 2010,"1,442.00","5,004.00",3.47,,,,,,
,,2010 - 2011,"1,656.00","4,654.00",2.81,,,,,,
,,2011 - 2012,"1,956.00","6,108.00",3.12,,,,,,
,,2012 - 2013,"2,020.00","8,956.00",4.43,,,,,,
,,2013 - 2014,"2,174.00","6,265.00",2.88,,,,,,
,,2015 - 2016,"4,040.00","38,380.00",9.5,,,,,,
,,2016 - 2017,"4,240.00","40,280.00",9.5,,,,,,
,,2017 - 2018,"4,310.00","40,945.00",9.5,,,,,,
,,2018 - 2019,"4,340.00","41,230.00",9.5,,,,,,
,,2019 - 2020,"4,981.00","47,319.50",9.5,,,,,,
,36. Ratlam,2000 - 2001,"1,756.00","10,071.00",5.74,,,,,,
,,2001 - 2002,"2,606.00","14,945.00",5.73,,,,,,
,,2002 - 2003,"2,671.00","17,506.00",6.55,,,,,,
,,2003 - 2004,"5,225.00","34,246.00",6.55,,,,,,
,,2004 - 2005,"7,275.00","47,682.00",6.55,,,,,,
,,2006 - 2007,"7,315.00","44,348.00",6.06,,,,,,
,,2007 - 2008,"10,237.00","58,708.00",5.73,,,,,,
,,2008 - 2009,"8,459.00","55,442.00",6.55,,,,,,
,,2009 - 2010,"9,836.00","64,467.00",6.55,,,,,,
,,2010 - 2011,"8,529.00","43,159.00",5.06,,,,,,
,,2011 - 2012,"11,380.00","82,265.00",7.23,,,,,,
,,2012 - 2013,"11,921.00","97,666.00",8.19,,,,,,
,,2013 - 2014,"13,970.00","74,395.00",5.33,,,,,,
,,2015 - 2016,"21,644.00","2,16,440.00",10,,,,,,
,,2016 - 2017,"25,752.00","2,75,720.00",10.71,,,,,,
,,2017 - 2018,"27,572.00","2,75,720.00",10,,,,,,
,,2018 - 2019,"26,594.00","2,52,523.00",9.5,,,,,,
,,2019 - 2020,"27,682.00","2,61,769.00",9.46,,,,,,
,37. Rewa,2000 - 2001,41,95,2.32,,,,,,
,,2001 - 2002,38,78,2.05,,,,,,
,,2002 - 2003,44,102,2.32,,,,,,
,,2003 - 2004,49,113,2.31,,,,,,
,,2004 - 2005,56,130,2.32,,,,,,
,,2006 - 2007,79,168,2.13,,,,,,
,,2007 - 2008,82,174,2.12,,,,,,
,,2008 - 2009,71,151,2.13,,,,,,
,,2009 - 2010,78,165,2.12,,,,,,
,,2010 - 2011,107,152,1.42,,,,,,
,,2011 - 2012,123,225,1.83,,,,,,
,,2012 - 2013,121,275,2.27,,,,,,
,,2013 - 2014,106,250,2.36,,,,,,
,,2015 - 2016,208.8,"2,139.70",10.25,,,,,,
,,2016 - 2017,"1,898.00","21,827.00",11.5,,,,,,
,,2017 - 2018,124,"1,426.00",11.5,,,,,,
,,2018 - 2019,807,"9,280.50",11.5,,,,,,
,,2019 - 2020,"1,011.00","11,626.50",11.5,,,,,,
,38. Sagar,2000 - 2001,104,417,4.01,,,,,,
,,2001 - 2002,100,358,3.58,,,,,,
,,2002 - 2003,157,563,3.59,,,,,,
,,2003 - 2004,188,742,3.95,,,,,,
,,2004 - 2005,270,"1,065.00",3.94,,,,,,
,,2006 - 2007,297,"1,172.00",3.95,,,,,,
,,2007 - 2008,309,"1,218.00",3.94,,,,,,
,,2008 - 2009,357,"1,280.00",3.59,,,,,,
,,2009 - 2010,381,"1,638.00",4.3,,,,,,
,,2010 - 2011,626,"1,430.00",2.28,,,,,,
,,2011 - 2012,766,"2,916.00",3.81,,,,,,
,,2012 - 2013,671,"2,833.00",4.22,,,,,,
,,2013 - 2014,849,"5,423.00",6.39,,,,,,
,,2015 - 2016,"2,440.00","61,175.00",25.07,,,,,,
,,2016 - 2017,"5,000.00","1,25,000.00",25,,,,,,
,,2017 - 2018,"4,600.00","52,900.00",11.5,,,,,,
,,2018 - 2019,"4,927.00","58,885.00",11.95,,,,,,
,,2019 - 2020,"5,501.00","65,737.00",11.95,,,,,,
,39. Satna,2000 - 2001,59,117,1.98,,,,,,
,,2001 - 2002,76,148,1.95,,,,,,
,,2002 - 2003,93,204,2.19,,,,,,
,,2003 - 2004,116,262,2.26,,,,,,
,,2004 - 2005,123,269,2.19,,,,,,
,,2006 - 2007,116,235,2.03,,,,,,
,,2007 - 2008,129,231,1.79,,,,,,
,,2008 - 2009,135,295,2.19,,,,,,
,,2009 - 2010,144,338,2.35,,,,,,
,,2010 - 2011,224,337,1.5,,,,,,
,,2011 - 2012,217,393,1.81,,,,,,
,,2012 - 2013,218,406,1.86,,,,,,
,,2013 - 2014,202,490,2.43,,,,,,
,,2015 - 2016,867.4,"14,537.00",16.76,,,,,,
,,2016 - 2017,790.86,"11,710.80",14.81,,,,,,
,,2017 - 2018,616.2,"9,000.00",14.61,,,,,,
,,2018 - 2019,680.4,"7,510.30",11.04,,,,,,
,,2019 - 2020,777,"8,769.78",11.29,,,,,,
,40. Sehore,2000 - 2001,251,575,2.29,,,,,,
,,2001 - 2002,428,980,2.29,,,,,,
,,2002 - 2003,598,"1,368.00",2.29,,,,,,
,,2003 - 2004,737,"1,687.00",2.29,,,,,,
,,2004 - 2005,917,"2,100.00",2.29,,,,,,
,,2006 - 2007,957,"2,629.00",2.75,,,,,,
,,2007 - 2008,"1,283.00","3,525.00",2.75,,,,,,
,,2008 - 2009,"1,249.00","4,232.00",3.39,,,,,,
,,2009 - 2010,"1,372.00","5,528.00",4.03,,,,,,
,,2010 - 2011,"1,339.00","3,125.00",2.33,,,,,,
,,2011 - 2012,"1,547.00","4,999.00",3.23,,,,,,
,,2012 - 2013,"1,812.00","7,050.00",3.89,,,,,,
,,2013 - 2014,"1,974.00","5,689.00",2.88,,,,,,
,,2015 - 2016,"1,025.00","13,325.00",13,,,,,,
,,2016 - 2017,"2,185.00","26,110.75",11.95,,,,,,
,,2017 - 2018,"4,003.50","40,035.00",10,,,,,,
,,2018 - 2019,"4,025.00","40,250.00",10,,,,,,
,,2019 - 2020,"4,860.00","48,563.86",9.99,,,,,,
,41. Seoni,2000 - 2001,117,444,3.79,,,,,,
,,2001 - 2002,126,478,3.79,,,,,,
,,2002 - 2003,146,554,3.79,,,,,,
,,2003 - 2004,156,634,4.06,,,,,,
,,2004 - 2005,176,687,3.9,,,,,,
,,2006 - 2007,332,"1,260.00",3.8,,,,,,
,,2007 - 2008,175,664,3.79,,,,,,
,,2008 - 2009,170,645,3.79,,,,,,
,,2009 - 2010,197,748,3.8,,,,,,
,,2010 - 2011,229,718,3.14,,,,,,
,,2011 - 2012,253,794,3.14,,,,,,
,,2012 - 2013,328,"1,245.00",3.8,,,,,,
,,2013 - 2014,320,"1,851.00",5.78,,,,,,
,,2015 - 2016,313,"3,126.50",9.99,,,,,,
,,2016 - 2017,338,"3,517.80",10.41,,,,,,
,,2017 - 2018,342,"3,539.89",10.35,,,,,,
,,2018 - 2019,360,"3,719.00",10.33,,,,,,
,,2019 - 2020,368,"3,802.40",10.33,,,,,,
,42. Shahdol,2000 - 2001,28,54,1.93,,,,,,
,,2001 - 2002,54,103,1.91,,,,,,
,,2002 - 2003,47,88,1.87,,,,,,
,,2003 - 2004,28,52,1.86,,,,,,
,,2004 - 2005,38,64,1.68,,,,,,
,,2006 - 2007,75,127,1.69,,,,,,
,,2007 - 2008,73,124,1.7,,,,,,
,,2008 - 2009,60,101,1.68,,,,,,
,,2009 - 2010,89,166,1.87,,,,,,
,,2010 - 2011,83,107,1.29,,,,,,
,,2011 - 2012,67,80,1.19,,,,,,
,,2012 - 2013,103,215,2.09,,,,,,
,,2013 - 2014,115,288,2.5,,,,,,
,,2015 - 2016,515,"7,725.00",15,,,,,,
,,2016 - 2017,521,"7,161.00",13.74,,,,,,
,,2017 - 2018,490,"5,921.80",12.09,,,,,,
,,2018 - 2019,492,"5,988.00",12.17,,,,,,
,,2019 - 2020,630,"7,667.10",12.17,,,,,,
,43. Shajapur,2000 - 2001,630,"1,195.00",1.9,,,,,,
,,2001 - 2002,843,"1,824.00",2.16,,,,,,
,,2002 - 2003,"1,208.00","2,292.00",1.9,,,,,,
,,2003 - 2004,"1,935.00","4,773.00",2.47,,,,,,
,,2004 - 2005,"2,564.00","6,227.00",2.43,,,,,,
,,2006 - 2007,"2,452.00","6,514.00",2.66,,,,,,
,,2007 - 2008,"2,883.00","7,659.00",2.66,,,,,,
,,2008 - 2009,"2,848.00","6,485.00",2.28,,,,,,
,,2009 - 2010,"3,378.00","8,974.00",2.66,,,,,,
,,2010 - 2011,"3,586.00","8,230.00",2.3,,,,,,
,,2011 - 2012,"4,567.00","9,783.00",2.14,,,,,,
,,2012 - 2013,"4,704.00","11,307.00",2.4,,,,,,
,,2013 - 2014,"3,565.00","9,568.00",2.68,,,,,,
,,2015 - 2016,"5,500.00","46,750.00",8.5,,,,,,
,,2016 - 2017,"7,200.00","64,263.00",8.93,,,,,,
,,2017 - 2018,"5,520.00","49,238.00",8.92,,,,,,
,,2018 - 2019,"5,520.00","49,238.00",8.92,,,,,,
,,2019 - 2020,"5,535.00","49,371.59",8.92,,,,,,
,44. Sheopur,2000 - 2001,4,7,1.75,,,,,,
,,2001 - 2002,4,9,2.25,,,,,,
,,2002 - 2003,1,2,2,,,,,,
,,2003 - 2004,21,37,1.76,,,,,,
,,2004 - 2005,11,23,2.09,,,,,,
,,2007 - 2008,17,44,2.59,,,,,,
,,2008 - 2009,17,48,2.82,,,,,,
,,2009 - 2010,24,71,2.96,,,,,,
,,2010 - 2011,7,14,2,,,,,,
,,2011 - 2012,426,825,1.94,,,,,,
,,2012 - 2013,290,648,2.23,,,,,,
,,2013 - 2014,272,635,2.33,,,,,,
,,2015 - 2016,800,"9,600.00",12,,,,,,
,,2016 - 2017,820,"10,250.00",12.5,,,,,,
,,2017 - 2018,820,"6,560.00",8,,,,,,
,,2018 - 2019,820,"6,560.00",8,,,,,,
,,2019 - 2020,900,"7,200.00",8,,,,,,
,45. Shivpuri,2000 - 2001,111,244,2.2,,,,,,
,,2001 - 2002,79,173,2.19,,,,,,
,,2002 - 2003,82,166,2.02,,,,,,
,,2003 - 2004,234,577,2.47,,,,,,
,,2004 - 2005,254,574,2.26,,,,,,
,,2006 - 2007,325,767,2.36,,,,,,
,,2007 - 2008,140,283,2.02,,,,,,
,,2008 - 2009,268,588,2.19,,,,,,
,,2009 - 2010,333,764,2.29,,,,,,
,,2010 - 2011,345,558,1.62,,,,,,
,,2011 - 2012,336,579,1.72,,,,,,
,,2012 - 2013,219,389,1.78,,,,,,
,,2013 - 2014,297,701,2.36,,,,,,
,,2015 - 2016,"2,318.00","41,724.00",18,,,,,,
,,2016 - 2017,"3,535.00","70,700.00",20,,,,,,
,,2017 - 2018,"1,776.00","13,320.00",7.5,,,,,,
,,2018 - 2019,"1,796.00","13,470.00",7.5,,,,,,
,,2019 - 2020,"2,120.00","13,470.00",6.35,,,,,,
,46. Sidhi,2000 - 2001,81,185,2.28,,,,,,
,,2001 - 2002,81,189,2.33,,,,,,
,,2002 - 2003,92,215,2.34,,,,,,
,,2003 - 2004,101,235,2.33,,,,,,
,,2004 - 2005,111,259,2.33,,,,,,
,,2006 - 2007,103,240,2.33,,,,,,
,,2007 - 2008,109,254,2.33,,,,,,
,,2008 - 2009,28,77,2.75,,,,,,
,,2009 - 2010,18,45,2.5,,,,,,
,,2010 - 2011,21,34,1.62,,,,,,
,,2011 - 2012,17,28,1.65,,,,,,
,,2012 - 2013,20,56,2.8,,,,,,
,,2013 - 2014,28,94,3.36,,,,,,
,,2015 - 2016,310,"1,550.00",5,,,,,,
,,2016 - 2017,340,"1,813.00",5.33,,,,,,
,,2017 - 2018,375,"2,000.00",5.33,,,,,,
,,2018 - 2019,415,"2,240.00",5.4,,,,,,
,,2019 - 2020,868,"4,683.00",5.4,,,,,,
,47. Singrauli,2008 - 2009,76,209,2.75,,,,,,
,,2009 - 2010,77,247,3.21,,,,,,
,,2010 - 2011,76,150,1.97,,,,,,
,,2011 - 2012,85,171,2.01,,,,,,
,,2012 - 2013,91,229,2.52,,,,,,
,,2013 - 2014,97,244,2.52,,,,,,
,,2015 - 2016,115,"1,265.00",11,,,,,,
,,2016 - 2017,127,"1,409.70",11.1,,,,,,
,,2017 - 2018,160,"1,920.00",12,,,,,,
,,2018 - 2019,200,"2,450.00",12.25,,,,,,
,,2019 - 2020,382,"4,698.00",12.3,,,,,,
,48. Tikamgarh,2000 - 2001,42,115,2.74,,,,,,
,,2001 - 2002,33,84,2.55,,,,,,
,,2002 - 2003,46,110,2.39,,,,,,
,,2003 - 2004,64,139,2.17,,,,,,
,,2004 - 2005,39,85,2.18,,,,,,
,,2006 - 2007,43,93,2.16,,,,,,
,,2007 - 2008,43,93,2.16,,,,,,
,,2008 - 2009,87,226,2.6,,,,,,
,,2009 - 2010,82,213,2.6,,,,,,
,,2010 - 2011,101,144,1.43,,,,,,
,,2011 - 2012,147,230,1.56,,,,,,
,,2012 - 2013,173,279,1.61,,,,,,
,,2013 - 2014,151,340,2.25,,,,,,
,,2015 - 2016,536,536,1,,,,,,
,,2016 - 2017,583,"2,623.50",4.5,,,,,,
,,2017 - 2018,265,"1,855.00",7,,,,,,
,,2018 - 2019,303,"2,878.50",9.5,,,,,,
,,2019 - 2020,310,"2,945.00",9.5,,,,,,
,49. Ujjain,2000 - 2001,"2,167.00","4,996.00",2.31,,,,,,
,,2001 - 2002,"2,267.00","5,227.00",2.31,,,,,,
,,2002 - 2003,"3,391.00","8,363.00",2.47,,,,,,
,,2003 - 2004,"5,464.00","20,799.00",3.81,,,,,,
,,2004 - 2005,"5,589.00","21,575.00",3.86,,,,,,
,,2006 - 2007,"5,685.00","22,250.00",3.91,,,,,,
,,2007 - 2008,"8,066.00","30,272.00",3.75,,,,,,
,,2008 - 2009,"6,725.00","24,158.00",3.59,,,,,,
,,2009 - 2010,"7,217.00","27,085.00",3.75,,,,,,
,,2010 - 2011,"7,774.00","21,951.00",2.82,,,,,,
,,2011 - 2012,"12,810.00","40,838.00",3.19,,,,,,
,,2012 - 2013,"13,045.00","47,528.00",3.64,,,,,,
,,2013 - 2014,"12,271.00","55,885.00",4.55,,,,,,
,,2015 - 2016,"13,013.00","1,39,889.80",10.75,,,,,,
,,2016 - 2017,"14,086.00","1,69,032.00",12,,,,,,
,,2017 - 2018,"21,369.00","2,61,983.94",12.26,,,,,,
,,2018 - 2019,"22,223.76","2,75,574.62",12.4,,,,,,
,,2019 - 2020,"23,446.56","2,93,082.00",12.5,,,,,,
,50. Umaria,2000 - 2001,18,30,1.67,,,,,,
,,2001 - 2002,13,26,2,,,,,,
,,2002 - 2003,13,24,1.85,,,,,,
,,2003 - 2004,22,45,2.05,,,,,,
,,2004 - 2005,20,42,2.1,,,,,,
,,2006 - 2007,19,35,1.84,,,,,,
,,2007 - 2008,45,82,1.82,,,,,,
,,2008 - 2009,35,64,1.83,,,,,,
,,2009 - 2010,36,67,1.86,,,,,,
,,2010 - 2011,41,56,1.37,,,,,,
,,2011 - 2012,22,29,1.32,,,,,,
,,2012 - 2013,44,89,2.02,,,,,,
,,2013 - 2014,56,178,3.18,,,,,,
,,2015 - 2016,15,63.1,4.21,,,,,,
,,2016 - 2017,40,280,7,,,,,,
,,2017 - 2018,230,"1,610.00",7,,,,,,
,,2018 - 2019,245,"1,715.00",7,,,,,,
,,2019 - 2020,300,"2,100.00",7,,,,,,
,51. Vidisha,2000 - 2001,35,74,2.11,,,,,,
,,2001 - 2002,42,93,2.21,,,,,,
,,2002 - 2003,50,111,2.22,,,,,,
,,2003 - 2004,75,155,2.07,,,,,,
,,2004 - 2005,44,103,2.34,,,,,,
,,2006 - 2007,83,189,2.28,,,,,,
,,2007 - 2008,40,87,2.18,,,,,,
,,2008 - 2009,56,115,2.05,,,,,,
,,2009 - 2010,52,112,2.15,,,,,,
,,2010 - 2011,187,344,1.84,,,,,,
,,2011 - 2012,162,340,2.1,,,,,,
,,2012 - 2013,66,249,3.77,,,,,,
,,2013 - 2014,12,26,2.17,,,,,,
,,2015 - 2016,798,"9,401.55",11.78,,,,,,
,,2016 - 2017,850,"10,556.50",12.42,,,,,,
,,2017 - 2018,728,"9,034.58",12.41,,,,,,
,,2018 - 2019,727,"9,028.58",12.42,,,,,,
,,2019 - 2020,728,"9,034.00",12.41,,,,,,
11. Meghalaya,1. East garo hills,2004 - 2005,62,80,1.29,,,,,,
,2. East jaintia hills,2004 - 2005,20,17,0.85,,,,,,
,3. East khasi hills,2004 - 2005,20,32,1.6,,,,,,
,4. Ri bhoi,2004 - 2005,13,17,1.31,,,,,,
,5. South garo hills,2004 - 2005,19,29,1.53,,,,,,
,6. West garo hills,2004 - 2005,218,943,4.33,,,,,,
,7. West khasi hills,2004 - 2005,13,21,1.62,,,,,,
12. Odisha,1. Anugul,2000 - 2001,"1,180.00","3,740.00",3.17,,,,,,
,,2001 - 2002,"1,210.00","3,840.00",3.17,,,,,,
,,2002 - 2003,"1,250.00","3,960.00",3.17,,,,,,
,,2003 - 2004,"1,090.00","3,450.00",3.17,,,,,,
,,2004 - 2005,"1,233.00","3,910.00",3.17,,,,,,
,,2019 - 2020,,,,"4,070.00","11,670.00",2.87,,,
,2. Balangir,2000 - 2001,250,790,3.16,,,,,,
,,2001 - 2002,240,760,3.17,,,,,,
,,2002 - 2003,210,660,3.14,,,,,,
,,2003 - 2004,230,750,3.26,,,,,,
,,2004 - 2005,188,597,3.18,,,,,,
,,2019 - 2020,,,,640,"2,160.00",3.38,,,
,3. Baleshwar,2000 - 2001,530,"1,680.00",3.17,,,,,,
,,2001 - 2002,360,"1,140.00",3.17,,,,,,
,,2002 - 2003,310,980,3.16,,,,,,
,,2003 - 2004,470,"1,500.00",3.19,,,,,,
,,2004 - 2005,393,"1,248.00",3.18,,,,,,
,,2019 - 2020,,,,760,"3,110.00",4.09,,,
,4. Bargarh,2000 - 2001,110,350,3.18,,,,,,
,,2001 - 2002,140,440,3.14,,,,,,
,,2002 - 2003,220,690,3.14,,,,,,
,,2003 - 2004,330,"1,040.00",3.15,,,,,,
,,2004 - 2005,328,"1,029.00",3.14,,,,,,
,,2019 - 2020,,,,30,190,6.33,,,
,5. Bhadrak,2000 - 2001,140,430,3.07,,,,,,
,,2001 - 2002,170,530,3.12,,,,,,
,,2002 - 2003,150,470,3.13,,,,,,
,,2003 - 2004,390,"1,220.00",3.13,,,,,,
,,2004 - 2005,317,993,3.13,,,,,,
,,2019 - 2020,,,,820,"3,450.00",4.21,,,
,6. Boudh,2000 - 2001,100,310,3.1,,,,,,
,,2001 - 2002,130,410,3.15,,,,,,
,,2002 - 2003,200,640,3.2,,,,,,
,,2003 - 2004,240,760,3.17,,,,,,
,,2004 - 2005,171,549,3.21,,,,,,
,,2019 - 2020,,,,180,610,3.39,,,
,7. Cuttack,2000 - 2001,650,"2,060.00",3.17,,,,,,
,,2001 - 2002,660,"2,090.00",3.17,,,,,,
,,2002 - 2003,730,"2,310.00",3.16,,,,,,
,,2003 - 2004,960,"3,050.00",3.18,,,,,,
,,2004 - 2005,835,"2,643.00",3.17,,,,,,
,,2019 - 2020,,,,750,"3,140.00",4.19,,,
,8. Deogarh,2000 - 2001,140,440,3.14,,,,,,
,,2001 - 2002,170,530,3.12,,,,,,
,,2002 - 2003,150,470,3.13,,,,,,
,,2003 - 2004,170,530,3.12,,,,,,
,,2004 - 2005,182,572,3.14,,,,,,
,,2019 - 2020,,,,140,590,4.21,,,
,9. Dhenkanal,2000 - 2001,700,"2,210.00",3.16,,,,,,
,,2001 - 2002,680,"2,140.00",3.15,,,,,,
,,2002 - 2003,550,"1,730.00",3.15,,,,,,
,,2003 - 2004,550,"1,720.00",3.13,,,,,,
,,2004 - 2005,710,"2,227.00",3.14,,,,,,
,,2019 - 2020,,,,160,590,3.69,,,
,10. Gajapati,2000 - 2001,20,60,3,,,,,,
,,2001 - 2002,70,220,3.14,,,,,,
,,2002 - 2003,50,160,3.2,,,,,,
,,2003 - 2004,80,240,3,,,,,,
,,2004 - 2005,69,215,3.12,,,,,,
,,2019 - 2020,,,,70,380,5.43,,,
,11. Ganjam,2000 - 2001,150,460,3.07,,,,,,
,,2001 - 2002,190,610,3.21,,,,,,
,,2002 - 2003,200,640,3.2,,,,,,
,,2003 - 2004,210,670,3.19,,,,,,
,,2004 - 2005,198,634,3.2,,,,,,
,,2019 - 2020,,,,200,640,3.2,,,
,12. Jagatsinghapur,2000 - 2001,70,220,3.14,,,,,,
,,2001 - 2002,80,250,3.13,,,,,,
,,2002 - 2003,940,"3,010.00",3.2,,,,,,
,,2003 - 2004,520,"1,670.00",3.21,,,,,,
,,2004 - 2005,526,"1,684.00",3.2,,,,,,
,,2019 - 2020,,,,450,"1,540.00",3.42,,,
,13. Jajapur,2000 - 2001,720,"2,250.00",3.13,,,,,,
,,2001 - 2002,480,"1,530.00",3.19,,,,,,
,,2002 - 2003,570,"1,820.00",3.19,,,,,,
,,2003 - 2004,620,"1,990.00",3.21,,,,,,
,,2004 - 2005,666,"2,130.00",3.2,,,,,,
,14. Jharsuguda,2000 - 2001,120,370,3.08,,,,,,
,,2001 - 2002,130,420,3.23,,,,,,
,,2002 - 2003,110,350,3.18,,,,,,
,,2003 - 2004,190,600,3.16,,,,,,
,,2004 - 2005,180,576,3.2,,,,,,
,,2019 - 2020,,,,170,620,3.65,,,
,15. Kalahandi,2000 - 2001,370,"1,170.00",3.16,,,,,,
,,2001 - 2002,490,"1,550.00",3.16,,,,,,
,,2002 - 2003,490,"1,550.00",3.16,,,,,,
,,2003 - 2004,430,"1,350.00",3.14,,,,,,
,,2004 - 2005,470,"1,488.00",3.17,,,,,,
,,2019 - 2020,,,,100,330,3.3,,,
,16. Kandhamal,2000 - 2001,50,150,3,,,,,,
,,2001 - 2002,80,260,3.25,,,,,,
,,2002 - 2003,80,260,3.25,,,,,,
,,2003 - 2004,110,360,3.27,,,,,,
,,2004 - 2005,95,307,3.23,,,,,,
,17. Kendrapara,2000 - 2001,750,"2,400.00",3.2,,,,,,
,,2001 - 2002,360,"1,150.00",3.19,,,,,,
,,2002 - 2003,600,"1,920.00",3.2,,,,,,
,,2003 - 2004,690,"2,190.00",3.17,,,,,,
,,2004 - 2005,632,"2,019.00",3.19,,,,,,
,,2019 - 2020,,,,20,100,5,,,
,18. Kendujhar,2000 - 2001,470,"1,480.00",3.15,,,,,,
,,2001 - 2002,590,"1,870.00",3.17,,,,,,
,,2002 - 2003,690,"2,190.00",3.17,,,,,,
,,2003 - 2004,960,"3,060.00",3.19,,,,,,
,,2004 - 2005,851,"2,704.00",3.18,,,,,,
,,2019 - 2020,,,,"1,210.00","3,780.00",3.12,,,
,19. Khordha,2000 - 2001,40,120,3,,,,,,
,,2001 - 2002,70,220,3.14,,,,,,
,,2002 - 2003,290,900,3.1,,,,,,
,,2003 - 2004,160,500,3.13,,,,,,
,,2004 - 2005,195,602,3.09,,,,,,
,,2019 - 2020,,,,670,"2,820.00",4.21,,,
,20. Koraput,2000 - 2001,150,480,3.2,,,,,,
,,2001 - 2002,160,510,3.19,,,,,,
,,2002 - 2003,150,470,3.13,,,,,,
,,2003 - 2004,170,540,3.18,,,,,,
,,2004 - 2005,270,854,3.16,,,,,,
,,2019 - 2020,,,,370,"1,250.00",3.38,,,
