State,District,Year,Cashewnut,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,"1,381.00",449,0.33,,,,,,
,,2018 - 2019,"1,296.37",398.54,0.31,,,,,,
,,2019 - 2020,"1,166.00",335,0.29,,,,,,
,,2020 - 2021,"1,044.90",347.99,0.33,,,,,,
,,2021 - 2022,962,283,0.29,,,,,,
,,2022 - 2023,930.96,254.45,0.27,,,,,,
,14. Wayanad,2000 - 2001,"1,536.00",768,0.5,,,,,,
,,2001 - 2002,"1,536.00",627,0.41,,,,,,
,,2002 - 2003,"1,455.00","1,283.00",0.88,,,,,,
,,2003 - 2004,"1,346.00",876,0.65,,,,,,
,,2004 - 2005,"1,275.00",892,0.7,,,,,,
,,2005 - 2006,"1,235.00",697,0.56,,,,,,
,,2006 - 2007,"1,349.00",877,0.65,,,,,,
,,2007 - 2008,"1,133.00",534,0.47,,,,,,
,,2008 - 2009,969,318,0.33,,,,,,
,,2009 - 2010,706,494,0.7,,,,,,
,,2010 - 2011,623.42,502.01,0.81,,,,,,
,,2011 - 2012,799.46,339.54,0.42,,,,,,
,,2012 - 2013,748,356,0.48,,,,,,
,,2013 - 2014,850,266,0.31,,,,,,
,,2014 - 2015,718,224,0.31,,,,,,
,,2015 - 2016,715.93,290.88,0.41,,,,,,
,,2016 - 2017,574,206,0.36,,,,,,
,,2017 - 2018,542,194,0.36,,,,,,
,,2018 - 2019,469.29,152.59,0.33,,,,,,
,,2019 - 2020,512,177,0.35,,,,,,
,,2020 - 2021,496.3,175.18,0.35,,,,,,
,,2021 - 2022,449,184,0.41,,,,,,
,,2022 - 2023,399.64,189.78,0.47,,,,,,
7. Madhya Pradesh,1. Jhabua,2002 - 2003,1,0,0,,,,,,
8. Manipur,1. Chandel,2002 - 2003,105,75,0.71,,,,,,
,,2003 - 2004,125,50,0.4,,,,,,
,,2014 - 2015,10,6.4,0.64,,,,,,
,2. Imphal east,2002 - 2003,180,18,0.1,,,,,,
,,2003 - 2004,200,80,0.4,,,,,,
,,2014 - 2015,21,13.44,0.64,,,,,,
,,2015 - 2016,28,16,0.57,,,,,,
,,2016 - 2017,27,17,0.63,,,,,,
,,2017 - 2018,37,18,0.49,,,,,,
,3. Ukhrul,2015 - 2016,6,3.24,0.54,,,,,,
,,2016 - 2017,4,2.16,0.54,,,,,,
9. Meghalaya,1. East garo hills,2002 - 2003,104,102,0.98,,,,,,
,,2003 - 2004,134,131,0.98,,,,,,
,,2010 - 2011,293,289,0.99,,,,,,
,,2011 - 2012,296,293,0.99,,,,,,
,,2012 - 2013,308,314,1.02,,,,,,
,,2013 - 2014,205,218,1.06,,,,,,
,,2014 - 2015,208,225,1.08,,,,,,
,,2015 - 2016,,,,211,237,1.12,,,
,,2016 - 2017,,,,229,283,1.24,,,
,,2017 - 2018,,,,230,285,1.24,,,
,,2018 - 2019,,,,231,287,1.24,,,
,,2019 - 2020,,,,232,289,1.25,,,
,,2020 - 2021,,,,234,292,1.25,,,
,2. North garo hills,2013 - 2014,115,120,1.04,,,,,,
,,2014 - 2015,116,125,1.08,,,,,,
,,2015 - 2016,,,,118,129,1.09,,,
,,2016 - 2017,,,,124,136,1.1,,,
,,2017 - 2018,,,,125,138,1.1,,,
,,2018 - 2019,,,,126,140,1.11,,,
,,2019 - 2020,,,,127,142,1.12,,,
,,2020 - 2021,,,,129,145,1.12,,,
,3. South garo hills,2002 - 2003,"3,357.00","3,306.00",0.98,,,,,,
,,2003 - 2004,"3,375.00","3,308.00",0.98,,,,,,
,,2010 - 2011,"3,692.00","3,581.00",0.97,,,,,,
,,2011 - 2012,"3,692.00","3,607.00",0.98,,,,,,
,,2012 - 2013,"3,840.00","3,847.00",1,,,,,,
,,2013 - 2014,"3,991.00","4,117.00",1.03,,,,,,
,,2014 - 2015,"4,007.00","4,193.00",1.05,,,,,,
,,2015 - 2016,,,,"4,024.00","4,316.00",1.07,,,
,,2016 - 2017,,,,"4,440.00","3,619.00",0.82,,,
,,2017 - 2018,,,,"4,441.00","3,626.00",0.82,,,
,,2018 - 2019,,,,"4,442.00","3,634.00",0.82,,,
,,2019 - 2020,,,,"4,443.00","3,638.00",0.82,,,
,,2020 - 2021,,,,"4,446.00","3,645.00",0.82,,,
,4. South west garo hills,2013 - 2014,"1,482.00","3,758.00",2.54,,,,,,
,,2014 - 2015,"1,493.00","3,798.00",2.54,,,,,,
,,2015 - 2016,,,,"1,502.00","3,913.00",2.61,,,
,,2016 - 2017,,,,"1,657.00","3,212.00",1.94,,,
,,2017 - 2018,,,,"1,658.00","3,216.00",1.94,,,
,,2018 - 2019,,,,"1,659.00","3,218.00",1.94,,,
,,2019 - 2020,,,,"1,660.00","3,222.00",1.94,,,
,,2020 - 2021,,,,"1,662.00","3,228.00",1.94,,,
,5. West garo hills,2002 - 2003,"3,188.00","3,322.00",1.04,,,,,,
,,2003 - 2004,"3,199.00","3,348.00",1.05,,,,,,
,,2010 - 2011,"4,665.00","11,544.00",2.47,,,,,,
,,2011 - 2012,"4,709.00","11,820.00",2.51,,,,,,
,,2012 - 2013,"4,899.00","12,603.00",2.57,,,,,,
,,2013 - 2014,"3,609.00","9,726.00",2.69,,,,,,
,,2014 - 2015,"3,625.00","9,781.00",2.7,,,,,,
,,2015 - 2016,,,,"3,643.00","9,908.00",2.72,,,
,,2016 - 2017,,,,"4,006.00","7,541.00",1.88,,,
,,2017 - 2018,,,,"4,007.00","7,550.00",1.88,,,
,,2018 - 2019,,,,"4,008.00","7,551.00",1.88,,,
,,2019 - 2020,,,,"4,009.00","7,555.00",1.88,,,
,,2020 - 2021,,,,"4,012.00","7,570.00",1.89,,,
10. Puducherry,1. Karaikal,2000 - 2001,7,4,0.57,,,,,,
,,2001 - 2002,7,4,0.57,,,,,,
,,2002 - 2003,6,4,0.67,,,,,,
,,2003 - 2004,7,5,0.71,,,,,,
,,2004 - 2005,7,4,0.57,,,,,,
,,2008 - 2009,,,,,,,6,5,0.83
,,2009 - 2010,,,,,,,7,6,0.86
,,2010 - 2011,,,,,,,7,5,0.71
,,2011 - 2012,,,,,,,7,3,0.43
,,2012 - 2013,,,,,,,7,3,0.43
,,2013 - 2014,,,,,,,6,3,0.5
,,2014 - 2015,,,,,,,6,3,0.5
,,2015 - 2016,,,,,,,6,3,0.5
,,2016 - 2017,,,,,,,4,2,0.5
,,2017 - 2018,,,,,,,4,1,0.25
,,2018 - 2019,,,,,,,3,1,0.33
,,2019 - 2020,,,,,,,3,1,0.33
,,2020 - 2021,,,,,,,3,6,2
,,2021 - 2022,,,,,,,2,1,0.5
,,2022 - 2023,,,,,,,2,1,0.5
,2. Mahe,2000 - 2001,11,7,0.64,,,,,,
,,2001 - 2002,11,22,2,,,,,,
,,2002 - 2003,10,18,1.8,,,,,,
,,2003 - 2004,9,16,1.78,,,,,,
,,2004 - 2005,9,6,0.67,,,,,,
,,2008 - 2009,,,,,,,4,4,1
,,2009 - 2010,,,,,,,3,3,1
,,2010 - 2011,,,,,,,3,2,0.67
,,2011 - 2012,,,,,,,3,2,0.67
,,2015 - 2016,,,,,,,2,1,0.5
,,2016 - 2017,,,,,,,2,1,0.5
,,2017 - 2018,,,,,,,2,1,0.5
,,2018 - 2019,,,,,,,2,1,0.5
,,2019 - 2020,,,,,,,2,1,0.5
,,2020 - 2021,,,,,,,2,1,0.5
,,2021 - 2022,,,,,,,2,1,0.5
,,2022 - 2023,,,,,,,2,1,0.5
,3. Pondicherry,2000 - 2001,184,110,0.6,,,,,,
,,2001 - 2002,173,108,0.62,,,,,,
,,2002 - 2003,168,118,0.7,,,,,,
,,2003 - 2004,201,151,0.75,,,,,,
,,2004 - 2005,202,131,0.65,,,,,,
,,2008 - 2009,,,,,,,164,164,1
,,2009 - 2010,,,,,,,161,137,0.85
,,2010 - 2011,,,,,,,163,124,0.76
,,2011 - 2012,,,,,,,149,45,0.3
,,2012 - 2013,,,,,,,137,49,0.36
,,2013 - 2014,,,,,,,141,50,0.35
,,2014 - 2015,,,,,,,138,41,0.3
,,2015 - 2016,,,,,,,135,40,0.3
,,2016 - 2017,,,,,,,142,48,0.34
,,2017 - 2018,,,,,,,141,41,0.29
,,2018 - 2019,,,,,,,140,59,0.42
,,2019 - 2020,,,,,,,140,63,0.45
,,2020 - 2021,,,,,,,124,56,0.45
,,2021 - 2022,,,,,,,124,55,0.44
,,2022 - 2023,,,,,,,135,59,0.44
11. Tamil Nadu,1. Ariyalur,2008 - 2009,"31,113.00",,0,,,,,,
,,2009 - 2010,"31,188.00","9,975.00",0.32,,,,,,
,,2011 - 2012,"29,930.00","6,468.00",0.22,,,,,,
,,2013 - 2014,"30,152.00","6,600.00",0.22,,,,,,
,,2014 - 2015,"30,283.00","11,889.00",0.39,,,,,,
,,2015 - 2016,"30,343.00","2,124.00",0.07,,,,,,
,,2016 - 2017,"30,456.00",977,0.03,,,,,,
,,2017 - 2018,"30,393.00",,0,,,,,,
,,2018 - 2019,"30,192.00","6,877.00",0.23,,,,,,
,,2019 - 2020,"30,405.00","6,698.00",0.22,,,,,,
,,2020 - 2021,"30,524.00","9,730.00",0.32,,,,,,
,,2021 - 2022,"30,584.00","8,609.00",0.28,,,,,,
,,2022 - 2023,"30,562.00","9,052.00",0.3,,,,,,
,2. Chengalpattu,2020 - 2021,259,77,0.3,,,,,,
,,2021 - 2022,264,112,0.42,,,,,,
,,2022 - 2023,250,79,0.32,,,,,,
,3. Chennai,2021 - 2022,8,3,0.38,,,,,,
,,2022 - 2023,8,3,0.38,,,,,,
,4. Coimbatore,2000 - 2001,43,17,0.4,,,,,,
,,2002 - 2003,243,73,0.3,,,,,,
,,2003 - 2004,249,86,0.35,,,,,,
,,2004 - 2005,292,106,0.36,,,,,,
,,2005 - 2006,303,115,0.38,,,,,,
,,2006 - 2007,294,134,0.46,,,,,,
,,2007 - 2008,280,160,0.57,,,,,,
,,2008 - 2009,120,141,1.18,,,,,,
,,2009 - 2010,111,56,0.5,,,,,,
,,2011 - 2012,105,28,0.27,,,,,,
,,2013 - 2014,103,29,0.28,,,,,,
,,2014 - 2015,98,40,0.41,,,,,,
,,2015 - 2016,83,25,0.3,,,,,,
,,2016 - 2017,69,8,0.12,,,,,,
,,2017 - 2018,39,,0,,,,,,
,,2018 - 2019,33,7,0.21,,,,,,
,,2019 - 2020,24,7,0.29,,,,,,
,,2020 - 2021,28,8,0.29,,,,,,
,,2021 - 2022,27,11,0.41,,,,,,
,,2022 - 2023,25,8,0.32,,,,,,
,5. Cuddalore,2000 - 2001,"31,583.00","5,959.00",0.19,,,,,,
,,2002 - 2003,"28,083.00","19,178.00",0.68,,,,,,
,,2003 - 2004,"28,497.00","22,157.00",0.78,,,,,,
,,2004 - 2005,"29,831.00","26,585.00",0.89,,,,,,
,,2005 - 2006,"30,150.00","22,952.00",0.76,,,,,,
,,2006 - 2007,"29,633.00","29,633.00",1,,,,,,
,,2007 - 2008,"30,003.00","32,301.00",1.08,,,,,,
,,2008 - 2009,"30,003.00","24,302.00",0.81,,,,,,
,,2009 - 2010,"30,349.00","24,296.00",0.8,,,,,,
,,2011 - 2012,"32,261.00","5,529.00",0.17,,,,,,
,,2013 - 2014,"30,146.00","12,021.00",0.4,,,,,,
,,2014 - 2015,"29,641.00","11,282.00",0.38,,,,,,
,,2015 - 2016,"30,064.00","15,393.00",0.51,,,,,,
,,2016 - 2017,"29,307.00","2,177.00",0.07,,,,,,
,,2017 - 2018,"29,257.00",,0,,,,,,
,,2018 - 2019,"29,009.00","5,608.00",0.19,,,,,,
,,2019 - 2020,"29,175.00","11,118.00",0.38,,,,,,
,,2020 - 2021,"29,483.00","10,065.00",0.34,,,,,,
,,2021 - 2022,"29,489.00","10,515.00",0.36,,,,,,
,,2022 - 2023,"29,240.00","7,920.00",0.27,,,,,,
,6. Dharmapuri,2000 - 2001,2,1,0.5,,,,,,
,,2002 - 2003,16,5,0.31,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2005 - 2006,1,,0,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2007 - 2008,7,4,0.57,,,,,,
,,2008 - 2009,1,1,1,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,7. Dindigul,2000 - 2001,247,95,0.38,,,,,,
,,2002 - 2003,601,182,0.3,,,,,,
,,2003 - 2004,609,210,0.34,,,,,,
,,2004 - 2005,555,201,0.36,,,,,,
,,2005 - 2006,589,222,0.38,,,,,,
,,2006 - 2007,562,256,0.46,,,,,,
,,2007 - 2008,459,262,0.57,,,,,,
,,2008 - 2009,411,214,0.52,,,,,,
,,2009 - 2010,399,200,0.5,,,,,,
,,2011 - 2012,415,109,0.26,,,,,,
,,2013 - 2014,339,97,0.29,,,,,,
,,2014 - 2015,271,111,0.41,,,,,,
,,2015 - 2016,280,86,0.31,,,,,,
,,2016 - 2017,311,37,0.12,,,,,,
,,2017 - 2018,381,,0,,,,,,
,,2018 - 2019,338,75,0.22,,,,,,
,,2019 - 2020,317,97,0.31,,,,,,
,,2020 - 2021,270,81,0.3,,,,,,
,,2021 - 2022,286,121,0.42,,,,,,
,,2022 - 2023,282,89,0.32,,,,,,
,8. Erode,2002 - 2003,34,10,0.29,,,,,,
,,2003 - 2004,63,22,0.35,,,,,,
,,2004 - 2005,94,34,0.36,,,,,,
,,2005 - 2006,143,54,0.38,,,,,,
,,2006 - 2007,98,45,0.46,,,,,,
,,2007 - 2008,109,62,0.57,,,,,,
,,2008 - 2009,25,64,2.56,,,,,,
,,2009 - 2010,27,14,0.52,,,,,,
,,2011 - 2012,23,6,0.26,,,,,,
,,2013 - 2014,15,4,0.27,,,,,,
,,2014 - 2015,15,6,0.4,,,,,,
,,2015 - 2016,11,3,0.27,,,,,,
,,2016 - 2017,10,1,0.1,,,,,,
,,2017 - 2018,10,,0,,,,,,
,,2018 - 2019,12,3,0.25,,,,,,
,,2019 - 2020,8,3,0.38,,,,,,
,,2020 - 2021,8,2,0.25,,,,,,
,,2021 - 2022,8,3,0.38,,,,,,
,,2022 - 2023,10,3,0.3,,,,,,
,9. Kallakurichi,2020 - 2021,"1,052.00",315,0.3,,,,,,
,,2021 - 2022,959,407,0.42,,,,,,
,,2022 - 2023,978,379,0.39,,,,,,
,10. Kanchipuram,2000 - 2001,199,66,0.33,,,,,,
,,2002 - 2003,401,121,0.3,,,,,,
,,2003 - 2004,358,124,0.35,,,,,,
,,2004 - 2005,456,165,0.36,,,,,,
,,2005 - 2006,479,181,0.38,,,,,,
,,2006 - 2007,336,165,0.49,,,,,,
,,2007 - 2008,310,177,0.57,,,,,,
,,2008 - 2009,206,107,0.52,,,,,,
,,2009 - 2010,277,139,0.5,,,,,,
,,2011 - 2012,300,79,0.26,,,,,,
,,2013 - 2014,191,54,0.28,,,,,,
,,2014 - 2015,210,86,0.41,,,,,,
,,2015 - 2016,241,74,0.31,,,,,,
,,2016 - 2017,221,26,0.12,,,,,,
,,2017 - 2018,231,,0,,,,,,
,,2018 - 2019,229,51,0.22,,,,,,
,,2019 - 2020,305,93,0.3,,,,,,
,,2020 - 2021,70,21,0.3,,,,,,
,,2021 - 2022,70,29,0.41,,,,,,
,,2022 - 2023,61,19,0.31,,,,,,
,11. Kanniyakumari,2000 - 2001,"1,948.00",899,0.46,,,,,,
,,2002 - 2003,"1,938.00",568,0.29,,,,,,
,,2003 - 2004,"1,938.00","1,373.00",0.71,,,,,,
,,2004 - 2005,"2,029.00",413,0.2,,,,,,
,,2005 - 2006,"1,938.00",337,0.17,,,,,,
,,2006 - 2007,"1,907.00",842,0.44,,,,,,
,,2007 - 2008,"1,843.00",742,0.4,,,,,,
,,2008 - 2009,"1,767.00","1,435.00",0.81,,,,,,
,,2009 - 2010,"1,725.00","1,447.00",0.84,,,,,,
,,2011 - 2012,"1,260.00",332,0.26,,,,,,
,,2013 - 2014,"1,175.00",335,0.29,,,,,,
,,2014 - 2015,"1,196.00",491,0.41,,,,,,
,,2015 - 2016,"1,130.00",592,0.52,,,,,,
,,2016 - 2017,"1,082.00",448,0.41,,,,,,
,,2017 - 2018,"1,004.00",,0,,,,,,
,,2018 - 2019,966,207,0.21,,,,,,
,,2019 - 2020,876,471,0.54,,,,,,
,,2020 - 2021,846,254,0.3,,,,,,
,,2021 - 2022,830,352,0.42,,,,,,
,,2022 - 2023,801,65,0.08,,,,,,
,12. Karur,2000 - 2001,17,5,0.29,,,,,,
,,2002 - 2003,39,12,0.31,,,,,,
,,2003 - 2004,39,13,0.33,,,,,,
,,2004 - 2005,56,20,0.36,,,,,,
,,2005 - 2006,50,19,0.38,,,,,,
,,2006 - 2007,32,14,0.44,,,,,,
,,2007 - 2008,30,17,0.57,,,,,,
,,2008 - 2009,30,16,0.53,,,,,,
,,2009 - 2010,32,16,0.5,,,,,,
,,2011 - 2012,13,3,0.23,,,,,,
,,2013 - 2014,22,6,0.27,,,,,,
,,2014 - 2015,30,12,0.4,,,,,,
,,2015 - 2016,12,4,0.33,,,,,,
,,2016 - 2017,16,2,0.13,,,,,,
,,2017 - 2018,13,,0,,,,,,
,,2018 - 2019,13,3,0.23,,,,,,
,,2019 - 2020,8,2,0.25,,,,,,
,,2020 - 2021,8,3,0.38,,,,,,
,,2021 - 2022,11,4,0.36,,,,,,
,,2022 - 2023,8,3,0.38,,,,,,
,13. Krishnagiri,2003 - 2004,2,1,0.5,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,
,,2006 - 2007,23,10,0.43,,,,,,
,,2007 - 2008,14,8,0.57,,,,,,
,,2008 - 2009,14,7,0.5,,,,,,
,,2009 - 2010,14,7,0.5,,,,,,
,,2011 - 2012,7,2,0.29,,,,,,
,,2013 - 2014,5,1,0.2,,,,,,
,,2014 - 2015,8,3,0.38,,,,,,
,,2016 - 2017,6,1,0.17,,,,,,
,,2017 - 2018,5,,0,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,,2019 - 2020,5,1,0.2,,,,,,
,,2020 - 2021,9,3,0.33,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,
,,2022 - 2023,7,2,0.29,,,,,,
,14. Madurai,2000 - 2001,100,38,0.38,,,,,,
,,2002 - 2003,251,76,0.3,,,,,,
,,2003 - 2004,255,88,0.35,,,,,,
,,2004 - 2005,267,97,0.36,,,,,,
,,2005 - 2006,310,117,0.38,,,,,,
,,2006 - 2007,236,107,0.45,,,,,,
,,2007 - 2008,197,113,0.57,,,,,,
,,2008 - 2009,177,92,0.52,,,,,,
,,2009 - 2010,180,90,0.5,,,,,,
,,2011 - 2012,175,46,0.26,,,,,,
,,2013 - 2014,168,48,0.29,,,,,,
,,2014 - 2015,163,67,0.41,,,,,,
,,2015 - 2016,163,50,0.31,,,,,,
,,2016 - 2017,159,19,0.12,,,,,,
,,2017 - 2018,161,,0,,,,,,
,,2018 - 2019,143,32,0.22,,,,,,
,,2019 - 2020,135,41,0.3,,,,,,
,,2020 - 2021,135,41,0.3,,,,,,
,,2021 - 2022,129,55,0.43,,,,,,
,,2022 - 2023,114,36,0.32,,,,,,
,15. Mayiladuthurai,2020 - 2021,672,526,0.78,,,,,,
,,2021 - 2022,681,289,0.42,,,,,,
,,2022 - 2023,683,215,0.31,,,,,,
,16. Nagapattinam,2000 - 2001,347,163,0.47,,,,,,
,,2002 - 2003,503,152,0.3,,,,,,
,,2003 - 2004,557,192,0.34,,,,,,
,,2004 - 2005,584,211,0.36,,,,,,
,,2005 - 2006,590,223,0.38,,,,,,
,,2006 - 2007,631,287,0.45,,,,,,
,,2007 - 2008,869,497,0.57,,,,,,
,,2008 - 2009,"2,049.00","1,068.00",0.52,,,,,,
,,2009 - 2010,"2,152.00","1,076.00",0.5,,,,,,
,,2011 - 2012,"1,856.00",488,0.26,,,,,,
,,2013 - 2014,"1,693.00",661,0.39,,,,,,
,,2014 - 2015,"1,661.00",779,0.47,,,,,,
,,2015 - 2016,"1,724.00",517,0.3,,,,,,
,,2016 - 2017,"1,766.00","2,615.00",1.48,,,,,,
,,2017 - 2018,"1,720.00",,0,,,,,,
,,2018 - 2019,"1,724.00",447,0.26,,,,,,
,,2019 - 2020,"1,398.00",886,0.63,,,,,,
,,2020 - 2021,832,897,1.08,,,,,,
,,2021 - 2022,941,626,0.67,,,,,,
,,2022 - 2023,849,366,0.43,,,,,,
,17. Namakkal,2000 - 2001,1,,0,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2005 - 2006,4,2,0.5,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2011 - 2012,18,5,0.28,,,,,,
,,2013 - 2014,4,1,0.25,,,,,,
,,2014 - 2015,21,9,0.43,,,,,,
,,2015 - 2016,14,4,0.29,,,,,,
,,2016 - 2017,11,1,0.09,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,,2019 - 2020,4,1,0.25,,,,,,
,,2020 - 2021,4,1,0.25,,,,,,
,,2021 - 2022,9,4,0.44,,,,,,
,,2022 - 2023,15,5,0.33,,,,,,
,18. Perambalur,2000 - 2001,"27,827.00","5,983.00",0.22,,,,,,
,,2002 - 2003,"29,298.00","7,543.00",0.26,,,,,,
,,2003 - 2004,"35,146.00","6,072.00",0.17,,,,,,
,,2004 - 2005,"34,993.00","5,904.00",0.17,,,,,,
,,2005 - 2006,"35,607.00","7,942.00",0.22,,,,,,
,,2006 - 2007,"35,522.00","7,114.00",0.2,,,,,,
,,2007 - 2008,"33,231.00","9,130.00",0.27,,,,,,
,,2008 - 2009,1,"9,801.00","9,801.00",,,,,,
,,2009 - 2010,2,1,0.5,,,,,,
,,2011 - 2012,4,1,0.25,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2017 - 2018,3,,0,,,,,,
,,2018 - 2019,6,1,0.17,,,,,,
,,2019 - 2020,4,1,0.25,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,
,19. Pudukkottai,2000 - 2001,"14,116.00","2,800.00",0.2,,,,,,
,,2002 - 2003,"10,865.00","1,132.00",0.1,,,,,,
,,2003 - 2004,"10,865.00","2,285.00",0.21,,,,,,
,,2004 - 2005,"10,676.00","2,669.00",0.25,,,,,,
,,2005 - 2006,"11,041.00","2,584.00",0.23,,,,,,
,,2006 - 2007,"9,658.00","2,214.00",0.23,,,,,,
,,2007 - 2008,"8,987.00","2,432.00",0.27,,,,,,
,,2008 - 2009,"8,435.00","2,893.00",0.34,,,,,,
,,2009 - 2010,"8,091.00","2,539.00",0.31,,,,,,
,,2011 - 2012,"8,396.00","3,312.00",0.39,,,,,,
,,2013 - 2014,"7,393.00",750,0.1,,,,,,
,,2014 - 2015,"6,103.00",303,0.05,,,,,,
,,2015 - 2016,"5,823.00","1,491.00",0.26,,,,,,
,,2016 - 2017,"5,231.00",233,0.04,,,,,,
,,2017 - 2018,"5,623.00",,0,,,,,,
,,2018 - 2019,"5,701.00",363,0.06,,,,,,
,,2019 - 2020,"5,526.00",526,0.1,,,,,,
,,2020 - 2021,"5,929.00",767,0.13,,,,,,
,,2021 - 2022,"5,787.00",463,0.08,,,,,,
,,2022 - 2023,"5,907.00","1,837.00",0.31,,,,,,
,20. Ramanathapuram,2000 - 2001,129,50,0.39,,,,,,
,,2002 - 2003,124,37,0.3,,,,,,
,,2003 - 2004,230,79,0.34,,,,,,
,,2004 - 2005,261,94,0.36,,,,,,
,,2005 - 2006,375,141,0.38,,,,,,
,,2006 - 2007,315,143,0.45,,,,,,
,,2007 - 2008,161,92,0.57,,,,,,
,,2008 - 2009,125,65,0.52,,,,,,
,,2009 - 2010,137,69,0.5,,,,,,
,,2011 - 2012,168,44,0.26,,,,,,
,,2013 - 2014,168,48,0.29,,,,,,
,,2014 - 2015,168,69,0.41,,,,,,
,,2015 - 2016,160,49,0.31,,,,,,
,,2016 - 2017,152,18,0.12,,,,,,
,,2017 - 2018,140,,0,,,,,,
,,2018 - 2019,139,31,0.22,,,,,,
,,2019 - 2020,122,37,0.3,,,,,,
,,2020 - 2021,127,38,0.3,,,,,,
,,2021 - 2022,124,52,0.42,,,,,,
,,2022 - 2023,99,31,0.31,,,,,,
,21. Ranipet,2020 - 2021,20,6,0.3,,,,,,
,,2021 - 2022,7,3,0.43,,,,,,
,,2022 - 2023,12,3,0.25,,,,,,
,22. Salem,2003 - 2004,93,32,0.34,,,,,,
,,2004 - 2005,595,215,0.36,,,,,,
,,2005 - 2006,25,9,0.36,,,,,,
,,2006 - 2007,23,10,0.43,,,,,,
,,2007 - 2008,24,14,0.58,,,,,,
,,2008 - 2009,22,11,0.5,,,,,,
,,2009 - 2010,21,11,0.52,,,,,,
,,2011 - 2012,21,6,0.29,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2014 - 2015,23,9,0.39,,,,,,
,,2015 - 2016,49,15,0.31,,,,,,
,,2016 - 2017,49,6,0.12,,,,,,
,,2017 - 2018,59,,0,,,,,,
,,2018 - 2019,60,13,0.22,,,,,,
,,2019 - 2020,62,19,0.31,,,,,,
,,2020 - 2021,67,20,0.3,,,,,,
,,2021 - 2022,80,34,0.43,,,,,,
,,2022 - 2023,96,30,0.31,,,,,,
,23. Sivaganga,2000 - 2001,"4,288.00","1,351.00",0.32,,,,,,
,,2002 - 2003,"4,973.00",939,0.19,,,,,,
,,2003 - 2004,"5,568.00","1,416.00",0.25,,,,,,
,,2004 - 2005,"4,770.00","1,999.00",0.42,,,,,,
,,2005 - 2006,"4,600.00","1,776.00",0.39,,,,,,
,,2006 - 2007,"4,829.00",771,0.16,,,,,,
,,2007 - 2008,"4,637.00",908,0.2,,,,,,
,,2008 - 2009,"4,617.00","1,002.00",0.22,,,,,,
,,2009 - 2010,"4,776.00","1,295.00",0.27,,,,,,
,,2011 - 2012,"3,752.00","1,035.00",0.28,,,,,,
,,2013 - 2014,"3,432.00",243,0.07,,,,,,
,,2014 - 2015,"3,238.00",262,0.08,,,,,,
,,2015 - 2016,"3,401.00",231,0.07,,,,,,
,,2016 - 2017,"3,324.00",1,0,,,,,,
,,2017 - 2018,"3,044.00",,0,,,,,,
,,2018 - 2019,"3,133.00",693,0.22,,,,,,
,,2019 - 2020,"3,039.00",186,0.06,,,,,,
,,2020 - 2021,"2,838.00",88,0.03,,,,,,
,,2021 - 2022,"2,741.00",122,0.04,,,,,,
,,2022 - 2023,"2,706.00",57,0.02,,,,,,
,24. Thanjavur,2000 - 2001,"3,171.00","1,411.00",0.44,,,,,,
,,2002 - 2003,"2,854.00",417,0.15,,,,,,
,,2003 - 2004,"2,864.00",582,0.2,,,,,,
,,2004 - 2005,"2,451.00",759,0.31,,,,,,
,,2005 - 2006,"2,447.00",364,0.15,,,,,,
,,2006 - 2007,"2,337.00",928,0.4,,,,,,
,,2007 - 2008,"2,236.00","1,269.00",0.57,,,,,,
,,2008 - 2009,"1,686.00",673,0.4,,,,,,
,,2009 - 2010,"1,542.00",619,0.4,,,,,,
,,2011 - 2012,"1,864.00",490,0.26,,,,,,
,,2013 - 2014,"1,819.00",422,0.23,,,,,,
,,2014 - 2015,"1,593.00","5,580.00",3.5,,,,,,
,,2015 - 2016,"1,561.00","1,416.00",0.91,,,,,,
,,2016 - 2017,"1,535.00",374,0.24,,,,,,
,,2017 - 2018,"1,513.00",,0,,,,,,
