State,District,Year,Cashewnut,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,"3,552.00","6,190.00",1.74,,,,,,
,,2022 - 2023,"2,988.00","23,904.00",8,,,,,,
,4. Bellary,2014 - 2015,115,85,0.74,,,,,,
,,2015 - 2016,11,7,0.64,,,,,,
,,2017 - 2018,12,9,0.75,,,,,,
,,2018 - 2019,7,8,1.14,,,,,,
,,2019 - 2020,58,82,1.41,,,,,,
,,2020 - 2021,30,38,1.27,,,,,,
,,2021 - 2022,19,26,1.37,,,,,,
,5. Bengaluru urban,2012 - 2013,3,2,0.67,,,,,,
,,2013 - 2014,3,3,1,,,,,,
,,2018 - 2019,4,5,1.25,,,,,,
,,2019 - 2020,4,6,1.5,,,,,,
,,2020 - 2021,7,9,1.29,,,,,,
,,2021 - 2022,13,18,1.38,,,,,,
,,2022 - 2023,3,59,19.67,,,,,,
,6. Bidar,2008 - 2009,39,23.98,0.61,,,,,,
,,2009 - 2010,36,27,0.75,,,,,,
,,2010 - 2011,66,48,0.73,,,,,,
,,2011 - 2012,79,63,0.8,,,,,,
,,2012 - 2013,61,49,0.8,,,,,,
,,2013 - 2014,62,55,0.89,,,,,,
,,2014 - 2015,97,72,0.74,,,,,,
,,2015 - 2016,21,14,0.67,,,,,,
,,2016 - 2017,16,9,0.56,,,,,,
,,2018 - 2019,142,171,1.2,,,,,,
,,2019 - 2020,59,84,1.42,,,,,,
,,2020 - 2021,36,46,1.28,,,,,,
,,2021 - 2022,47,67,1.43,,,,,,
,,2022 - 2023,32,259,8.09,,,,,,
,7. Bijapur,2020 - 2021,1,1,1,,,,,,
,8. Chamarajanagar,2008 - 2009,56,34.43,0.61,,,,,,
,,2009 - 2010,56,42,0.75,,,,,,
,,2010 - 2011,56,41,0.73,,,,,,
,,2011 - 2012,56,45,0.8,,,,,,
,,2012 - 2013,56,45,0.8,,,,,,
,,2013 - 2014,38,34,0.89,,,,,,
,,2014 - 2015,31,23,0.74,,,,,,
,,2015 - 2016,32,21,0.66,,,,,,
,,2016 - 2017,28,16,0.57,,,,,,
,,2017 - 2018,28,21,0.75,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,6,9,1.5,,,,,,
,,2020 - 2021,4,5,1.25,,,,,,
,,2021 - 2022,3,4,1.33,,,,,,
,,2022 - 2023,3,18,6,,,,,,
,9. Chikballapur,2008 - 2009,"1,967.00",718.56,0.37,,,,,,
,,2009 - 2010,"2,628.00","2,971.00",1.13,,,,,,
,,2010 - 2011,"2,694.00","1,446.00",0.54,,,,,,
,,2011 - 2012,"2,708.00","3,212.00",1.19,,,,,,
,,2012 - 2013,"2,740.00","3,250.00",1.19,,,,,,
,,2013 - 2014,"2,740.00","2,444.00",0.89,,,,,,
,,2014 - 2015,"2,408.00","3,004.00",1.25,,,,,,
,,2015 - 2016,"2,407.00","3,107.00",1.29,,,,,,
,,2016 - 2017,"2,299.00","2,661.00",1.16,,,,,,
,,2017 - 2018,"2,399.00","3,206.00",1.34,,,,,,
,,2018 - 2019,"1,000.00","1,038.00",1.04,,,,,,
,,2019 - 2020,"1,284.00","1,525.00",1.19,,,,,,
,,2020 - 2021,"1,561.00","2,363.00",1.51,,,,,,
,,2021 - 2022,"1,277.00","2,004.00",1.57,,,,,,
,,2022 - 2023,"1,088.00","8,006.00",7.36,,,,,,
,10. Chikmagalur,2008 - 2009,477,216.28,0.45,,,,,,
,,2009 - 2010,393,298,0.76,,,,,,
,,2010 - 2011,351,257,0.73,,,,,,
,,2011 - 2012,286,229,0.8,,,,,,
,,2012 - 2013,213,171,0.8,,,,,,
,,2013 - 2014,204,182,0.89,,,,,,
,,2014 - 2015,179,218,1.22,,,,,,
,,2015 - 2016,179,204,1.14,,,,,,
,,2016 - 2017,190,202,1.06,,,,,,
,,2017 - 2018,206,151,0.73,,,,,,
,,2018 - 2019,87,105,1.21,,,,,,
,,2019 - 2020,70,99,1.41,,,,,,
,,2020 - 2021,107,136,1.27,,,,,,
,,2021 - 2022,57,81,1.42,,,,,,
,,2022 - 2023,41,301,7.34,,,,,,
,11. Chitradurga,2008 - 2009,14,8.61,0.61,,,,,,
,,2009 - 2010,4,3,0.75,,,,,,
,,2010 - 2011,4,3,0.75,,,,,,
,,2011 - 2012,4,3,0.75,,,,,,
,,2012 - 2013,4,3,0.75,,,,,,
,,2013 - 2014,4,4,1,,,,,,
,,2014 - 2015,4,3,0.75,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,10,12,1.2,,,,,,
,,2019 - 2020,29,41,1.41,,,,,,
,,2020 - 2021,56,71,1.27,,,,,,
,,2021 - 2022,46,65,1.41,,,,,,
,,2022 - 2023,44,288,6.55,,,,,,
,12. Dakshin kannad,2008 - 2009,"30,941.00","18,807.80",0.61,,,,,,
,,2009 - 2010,"30,957.00","23,476.00",0.76,,,,,,
,,2010 - 2011,"30,948.00","28,586.00",0.92,,,,,,
,,2011 - 2012,"30,967.00","31,516.00",1.02,,,,,,
,,2012 - 2013,"31,119.00","31,670.00",1.02,,,,,,
,,2013 - 2014,"31,288.00","38,316.00",1.22,,,,,,
,,2014 - 2015,"33,040.00","28,130.00",0.85,,,,,,
,,2015 - 2016,"33,111.00","19,701.00",0.59,,,,,,
,,2016 - 2017,"33,243.00","13,921.00",0.42,,,,,,
,,2017 - 2018,"34,358.00","25,545.00",0.74,,,,,,
,,2018 - 2019,"16,886.00","19,843.00",1.18,,,,,,
,,2019 - 2020,"14,095.00","20,652.00",1.47,,,,,,
,,2020 - 2021,"15,469.00","17,619.00",1.14,,,,,,
,,2021 - 2022,"11,919.00","15,125.00",1.27,,,,,,
,,2022 - 2023,"11,564.00","61,058.00",5.28,,,,,,
,13. Davangere,2008 - 2009,35,21.52,0.61,,,,,,
,,2009 - 2010,44,33,0.75,,,,,,
,,2010 - 2011,31,23,0.74,,,,,,
,,2011 - 2012,36,29,0.81,,,,,,
,,2012 - 2013,23,19,0.83,,,,,,
,,2013 - 2014,41,37,0.9,,,,,,
,,2014 - 2015,35,26,0.74,,,,,,
,,2015 - 2016,19,12,0.63,,,,,,
,,2016 - 2017,34,19,0.56,,,,,,
,,2017 - 2018,44,32,0.73,,,,,,
,,2018 - 2019,34,41,1.21,,,,,,
,,2019 - 2020,32,45,1.41,,,,,,
,,2020 - 2021,49,62,1.27,,,,,,
,,2021 - 2022,51,72,1.41,,,,,,
,,2022 - 2023,40,153,3.83,,,,,,
,14. Dharwad,2008 - 2009,85,52.26,0.61,,,,,,
,,2009 - 2010,94,71,0.76,,,,,,
,,2010 - 2011,94,69,0.73,,,,,,
,,2011 - 2012,100,80,0.8,,,,,,
,,2012 - 2013,55,44,0.8,,,,,,
,,2013 - 2014,49,44,0.9,,,,,,
,,2014 - 2015,67,50,0.75,,,,,,
,,2015 - 2016,47,30,0.64,,,,,,
,,2016 - 2017,27,15,0.56,,,,,,
,,2017 - 2018,36,26,0.72,,,,,,
