State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,4. Guntur,2000 - 2001,"7,612.00","1,41,059.00",18.53,,,,,,,,,
,,2001 - 2002,"7,967.00","2,04,939.00",25.72,,,,,,,,,
,,2002 - 2003,"6,720.00","1,51,697.00",22.57,,,,,,,,,
,,2003 - 2004,"5,681.00","42,238.00",7.43,,,,,,,,,
,,2004 - 2005,"6,340.00","1,80,798.00",28.52,,,,,,,,,
,,2005 - 2006,"6,263.00","1,64,925.00",26.33,,,,,,,,,
,,2006 - 2007,"5,653.00","1,73,479.00",30.69,,,,,,,,,
,,2008 - 2009,"5,519.00","1,74,969.00",31.7,,,,,,,,,
,,2009 - 2010,"5,177.00","1,22,452.00",23.65,,,,,,,,,
,,2010 - 2011,"5,045.00","1,51,597.00",30.05,,,,,,,,,
,,2011 - 2012,"5,595.00","2,16,308.00",38.66,,,,,,,,,
,,2013 - 2014,"5,574.00","2,11,734.00",37.99,,,,,,,,,
,,2014 - 2015,"5,539.00","2,28,916.00",41.33,,,,,,,,,
,,2015 - 2016,"4,653.00","1,31,829.00",28.33,,,,,,,,,
,,2016 - 2017,"3,337.00","1,23,943.00",37.14,,,,,,,,,
,,2017 - 2018,"3,175.00","2,88,300.00",90.8,,,,,,,,,
,,2018 - 2019,"3,442.00","3,05,700.00",88.81,,,,,,,,,
,,2019 - 2020,"4,996.00","2,99,760.00",60,,,,,,,,,
,5. Kadapa,2000 - 2001,"3,620.00","1,61,828.00",44.7,,,,,,,,,
,,2001 - 2002,"4,074.00","1,32,748.00",32.58,,,,,,,,,
,,2002 - 2003,"4,574.00","2,99,574.00",65.49,,,,,,,,,
,,2003 - 2004,"3,771.00","1,58,827.00",42.12,,,,,,,,,
,,2004 - 2005,"3,396.00","1,97,474.00",58.15,,,,,,,,,
,,2005 - 2006,"2,978.00","1,96,691.00",66.05,,,,,,,,,
,,2006 - 2007,"4,440.00","2,75,653.00",62.08,,,,,,,,,
,,2008 - 2009,"4,058.00","2,21,705.00",54.63,,,,,,,,,
,,2009 - 2010,"5,985.00","3,81,424.00",63.73,,,,,,,,,
,,2010 - 2011,"8,706.00","4,88,607.00",56.12,,,,,,,,,
,,2011 - 2012,"7,900.00","5,18,880.00",65.68,,,,,,,,,
,,2013 - 2014,"8,438.00","4,97,926.00",59.01,,,,,,,,,
,,2014 - 2015,"8,861.00","4,83,013.00",54.51,,,,,,,,,
,,2015 - 2016,"7,969.00","5,71,170.00",71.67,,,,,,,,,
,,2016 - 2017,"7,624.00","5,69,368.00",74.68,,,,,,,,,
,,2017 - 2018,"9,479.00","15,72,199.00",165.86,,,,,,,,,
,,2018 - 2019,"11,533.00","14,21,100.00",123.22,,,,,,,,,
,,2019 - 2020,"25,887.00","15,53,220.00",60,,,,,,,,,
,6. Krishna,2000 - 2001,"1,363.00","26,208.00",19.23,,,,,,,,,
,,2001 - 2002,"1,556.00","3,946.00",2.54,,,,,,,,,
,,2002 - 2003,"1,346.00","20,586.00",15.29,,,,,,,,,
,,2003 - 2004,"1,249.00","15,574.00",12.47,,,,,,,,,
,,2004 - 2005,"1,543.00","19,223.00",12.46,,,,,,,,,
,,2005 - 2006,"1,601.00","27,059.00",16.9,,,,,,,,,
,,2006 - 2007,"1,509.00","29,004.00",19.22,,,,,,,,,
,,2008 - 2009,"1,475.00","40,328.00",27.34,,,,,,,,,
,,2009 - 2010,"1,632.00","35,124.00",21.52,,,,,,,,,
,,2010 - 2011,"1,465.00","33,847.00",23.1,,,,,,,,,
,,2011 - 2012,"1,180.00","35,937.00",30.46,,,,,,,,,
,,2013 - 2014,"1,266.00","45,738.00",36.13,,,,,,,,,
,,2014 - 2015,"1,554.00","61,764.00",39.75,,,,,,,,,
,,2015 - 2016,"1,372.00","89,260.00",65.06,,,,,,,,,
,,2016 - 2017,"1,512.00","57,364.00",37.94,,,,,,,,,
,,2017 - 2018,"1,355.00","2,89,920.00",213.96,,,,,,,,,
,,2018 - 2019,"1,305.00","3,36,780.00",258.07,,,,,,,,,
,,2019 - 2020,"4,771.00","2,86,260.00",60,,,,,,,,,
,7. Kurnool,2000 - 2001,"2,327.00","32,282.00",13.87,,,,,,,,,
,,2001 - 2002,"2,704.00","29,845.00",11.04,,,,,,,,,
,,2002 - 2003,"1,862.00","49,164.00",26.4,,,,,,,,,
,,2003 - 2004,"2,960.00","23,820.00",8.05,,,,,,,,,
,,2004 - 2005,"1,302.00","37,774.00",29.01,,,,,,,,,
,,2005 - 2006,"1,234.00","28,942.00",23.45,,,,,,,,,
,,2006 - 2007,"2,128.00","45,722.00",21.49,,,,,,,,,
,,2008 - 2009,"2,227.00","59,036.00",26.51,,,,,,,,,
,,2009 - 2010,"2,253.00","55,933.00",24.83,,,,,,,,,
,,2010 - 2011,"2,018.00","54,942.00",27.23,,,,,,,,,
,,2011 - 2012,612,"18,621.00",30.43,,,,,,,,,
,,2013 - 2014,"1,632.00","51,539.00",31.58,,,,,,,,,
,,2014 - 2015,"1,985.00","90,691.00",45.69,,,,,,,,,
,,2015 - 2016,"2,331.00","1,17,795.00",50.53,,,,,,,,,
,,2016 - 2017,"2,032.00","1,16,810.00",57.49,,,,,,,,,
,,2017 - 2018,"2,266.00","2,20,200.00",97.18,,,,,,,,,
,,2018 - 2019,"2,915.00","2,44,200.00",83.77,,,,,,,,,
,,2019 - 2020,"3,970.00","2,38,200.00",60,,,,,,,,,
,8. Prakasam,2000 - 2001,615,"12,085.00",19.65,,,,,,,,,
,,2001 - 2002,511,"8,370.00",16.38,,,,,,,,,
,,2002 - 2003,538,"10,429.00",19.38,,,,,,,,,
,,2003 - 2004,82,794,9.68,,,,,,,,,
,,2004 - 2005,89,"1,793.00",20.15,,,,,,,,,
,,2005 - 2006,90,"1,510.00",16.78,,,,,,,,,
,,2006 - 2007,95,"1,890.00",19.89,,,,,,,,,
,,2008 - 2009,452,"9,320.00",20.62,,,,,,,,,
,,2009 - 2010,382,"8,794.00",23.02,,,,,,,,,
,,2010 - 2011,292,"7,444.00",25.49,,,,,,,,,
,,2011 - 2012,430,"11,455.00",26.64,,,,,,,,,
,,2013 - 2014,487,"9,561.00",19.63,,,,,,,,,
,,2014 - 2015,479,"10,193.00",21.28,,,,,,,,,
