State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,"2,061.47","16,321.30",7.92,,,,,,,,,
,,2011 - 2012,"1,966.23","15,631.45",7.95,,,,,,,,,
,,2012 - 2013,"2,020.00","15,210.00",7.53,,,,,,,,,
,,2013 - 2014,"2,096.00","15,265.00",7.28,,,,,,,,,
,,2014 - 2015,"2,182.00","17,091.00",7.83,,,,,,,,,
,,2015 - 2016,"2,058.66","16,374.79",7.95,,,,,,,,,
,,2016 - 2017,"2,076.00","16,528.00",7.96,,,,,,,,,
,,2017 - 2018,"2,205.00","16,528.00",7.5,,,,,,,,,
,,2018 - 2019,"2,215.24","17,322.44",7.82,,,,,,,,,
,,2019 - 2020,"2,246.00","18,086.00",8.05,,,,,,,,,
,,2020 - 2021,"2,044.75","17,524.27",8.57,,,,,,,,,
,,2021 - 2022,"1,965.00","15,107.00",7.69,,,,,,,,,
,,2022 - 2023,"2,067.32","16,349.12",7.91,,,,,,,,,
,12. Thiruvananthapuram,2000 - 2001,"2,149.00","13,668.00",6.36,,,,,,,,,
,,2001 - 2002,"2,333.00","13,637.00",5.85,,,,,,,,,
,,2002 - 2003,"2,496.00","16,739.00",6.71,,,,,,,,,
,,2003 - 2004,"2,353.00","18,872.00",8.02,,,,,,,,,
,,2004 - 2005,"2,492.00","15,803.00",6.34,,,,,,,,,
,,2005 - 2006,"2,575.00","17,794.00",6.91,,,,,,,,,
,,2006 - 2007,"2,257.00","15,135.00",6.71,,,,,,,,,
,,2007 - 2008,"2,078.00","13,159.00",6.33,,,,,,,,,
,,2008 - 2009,"2,689.00","18,858.00",7.01,,,,,,,,,
,,2009 - 2010,"2,349.00","17,250.00",7.34,,,,,,,,,
,,2010 - 2011,"2,891.63","16,247.89",5.62,,,,,,,,,
,,2011 - 2012,"1,794.19","10,855.74",6.05,,,,,,,,,
,,2012 - 2013,"3,567.00","24,290.00",6.81,,,,,,,,,
,,2013 - 2014,"2,343.00","18,753.00",8,,,,,,,,,
,,2014 - 2015,"2,329.00","15,999.00",6.87,,,,,,,,,
,,2015 - 2016,"2,675.82","18,338.12",6.85,,,,,,,,,
,,2016 - 2017,"2,776.00","19,826.00",7.14,,,,,,,,,
,,2017 - 2018,"2,917.00","21,240.00",7.28,,,,,,,,,
,,2018 - 2019,"3,113.97","27,818.15",8.93,,,,,,,,,
,,2019 - 2020,"3,507.00","32,031.00",9.13,,,,,,,,,
,,2020 - 2021,"3,003.85","26,620.57",8.86,,,,,,,,,
,,2021 - 2022,"2,308.00","17,209.00",7.46,,,,,,,,,
,,2022 - 2023,"2,828.59","23,470.35",8.3,,,,,,,,,
,13. Thrissur,2000 - 2001,"2,810.00","20,138.00",7.17,,,,,,,,,
,,2001 - 2002,"2,828.00","17,361.00",6.14,,,,,,,,,
,,2002 - 2003,"2,844.00","19,974.00",7.02,,,,,,,,,
,,2003 - 2004,"2,532.00","18,652.00",7.37,,,,,,,,,
,,2004 - 2005,"2,713.00","19,946.00",7.35,,,,,,,,,
,,2005 - 2006,"2,919.00","25,285.00",8.66,,,,,,,,,
,,2006 - 2007,"2,980.00","26,430.00",8.87,,,,,,,,,
,,2007 - 2008,"3,107.00","19,864.00",6.39,,,,,,,,,
,,2008 - 2009,"2,773.00","25,096.00",9.05,,,,,,,,,
,,2009 - 2010,"2,464.00","19,455.00",7.9,,,,,,,,,
,,2010 - 2011,"2,283.36","17,962.59",7.87,,,,,,,,,
,,2011 - 2012,"2,240.37","20,670.74",9.23,,,,,,,,,
,,2012 - 2013,"2,141.00","20,636.00",9.64,,,,,,,,,
,,2013 - 2014,"2,388.00","21,569.00",9.03,,,,,,,,,
,,2014 - 2015,"2,297.00","18,980.00",8.26,,,,,,,,,
,,2015 - 2016,"2,164.91","19,802.74",9.15,,,,,,,,,
,,2016 - 2017,"2,213.00","19,069.00",8.62,,,,,,,,,
,,2017 - 2018,"2,180.00","19,431.00",8.91,,,,,,,,,
,,2018 - 2019,"1,702.14","8,203.62",4.82,,,,,,,,,
,,2019 - 2020,"2,196.00","17,786.00",8.1,,,,,,,,,
,,2020 - 2021,"2,299.79","22,972.59",9.99,,,,,,,,,
,,2021 - 2022,"2,216.00","22,260.00",10.05,,,,,,,,,
,,2022 - 2023,"1,921.70","21,241.46",11.05,,,,,,,,,
,14. Wayanad,2000 - 2001,"8,935.00","67,547.00",7.56,,,,,,,,,
,,2001 - 2002,"10,174.00","75,264.00",7.4,,,,,,,,,
,,2002 - 2003,"11,466.00","77,963.00",6.8,,,,,,,,,
,,2003 - 2004,"11,819.00","80,162.00",6.78,,,,,,,,,
,,2004 - 2005,"12,278.00","1,08,021.00",8.8,,,,,,,,,
,,2005 - 2006,"12,842.00","1,15,160.00",8.97,,,,,,,,,
,,2006 - 2007,"11,885.00","88,065.00",7.41,,,,,,,,,
,,2007 - 2008,"12,123.00","90,427.00",7.46,,,,,,,,,
,,2008 - 2009,"10,859.00","65,238.00",6.01,,,,,,,,,
,,2009 - 2010,"8,318.00","71,627.00",8.61,,,,,,,,,
,,2010 - 2011,"10,466.50","87,967.67",8.4,,,,,,,,,
,,2011 - 2012,"12,358.78","1,07,243.88",8.68,,,,,,,,,
,,2012 - 2013,"12,086.00","94,955.00",7.86,,,,,,,,,
,,2013 - 2014,"11,579.00","98,518.00",8.51,,,,,,,,,
,,2014 - 2015,"10,719.00","1,00,284.00",9.36,,,,,,,,,
,,2015 - 2016,"9,738.81","92,295.28",9.48,,,,,,,,,
,,2016 - 2017,"8,555.00","71,357.00",8.34,,,,,,,,,
,,2017 - 2018,"10,003.00","83,517.00",8.35,,,,,,,,,
,,2018 - 2019,"8,860.98","74,562.16",8.41,,,,,,,,,
,,2019 - 2020,"13,734.00","1,33,597.00",9.73,,,,,,,,,
,,2020 - 2021,"9,269.66","91,892.45",9.91,,,,,,,,,
,,2021 - 2022,"10,134.00","96,210.00",9.49,,,,,,,,,
,,2022 - 2023,"8,788.93","86,545.04",9.85,,,,,,,,,
12. Madhya Pradesh,1. Anuppur,2003 - 2004,2,35,17.5,,,,,,,,,
,,2006 - 2007,1,,0,,,,,,,,,
,,2007 - 2008,1,20,20,,,,,,,,,
,,2009 - 2010,2,45,22.5,,,,,,,,,
,,2012 - 2013,2,,0,,,,,,,,,
,,2013 - 2014,1,,0,,,,,,,,,
,,2019 - 2020,1.5,45,30,,,,,,,,,
,2. Balaghat,2001 - 2002,16,168,10.5,,,,,,,,,
,,2002 - 2003,23,769,33.43,,,,,,,,,
,,2003 - 2004,25,479,19.16,,,,,,,,,
,,2006 - 2007,25,863,34.52,,,,,,,,,
,,2007 - 2008,11,527,47.91,,,,,,,,,
,,2008 - 2009,24,923,38.46,,,,,,,,,
,,2009 - 2010,5,298,59.6,,,,,,,,,
,,2010 - 2011,4,190,47.5,,,,,,,,,
,,2011 - 2012,16,760,47.5,,,,,,,,,
,,2012 - 2013,11,141,12.82,,,,,,,,,
,,2013 - 2014,16,"1,742.00",108.88,,,,,,,,,
,,2015 - 2016,112,"3,579.00",31.96,,,,,,,,,
,,2016 - 2017,132,"3,615.00",27.39,,,,,,,,,
,,2017 - 2018,139,"5,326.00",38.32,,,,,,,,,
,,2018 - 2019,146.5,"5,640.00",38.5,,,,,,,,,
,,2019 - 2020,146.5,"5,640.00",38.5,,,,,,,,,
,3. Barwani,2001 - 2002,660,"12,673.00",19.2,,,,,,,,,
,,2002 - 2003,656,"13,469.00",20.53,,,,,,,,,
,,2003 - 2004,585,"11,721.00",20.04,,,,,,,,,
,,2006 - 2007,403,"5,130.00",12.73,,,,,,,,,
,,2007 - 2008,260,"7,910.00",30.42,,,,,,,,,
,,2008 - 2009,114,"2,886.00",25.32,,,,,,,,,
,,2009 - 2010,215,"7,097.00",33.01,,,,,,,,,
,,2010 - 2011,158,"4,032.00",25.52,,,,,,,,,
,,2011 - 2012,386,"7,903.00",20.47,,,,,,,,,
,,2012 - 2013,500,"17,126.00",34.25,,,,,,,,,
,,2013 - 2014,546,"30,318.00",55.53,,,,,,,,,
,,2015 - 2016,"1,071.50","77,148.00",72,,,,,,,,,
,,2016 - 2017,"1,331.00","99,825.00",75,,,,,,,,,
,,2017 - 2018,"1,172.00","87,900.00",75,,,,,,,,,
,,2018 - 2019,"1,481.00","1,11,075.00",75,,,,,,,,,
,,2019 - 2020,"1,597.00","1,19,775.00",75,,,,,,,,,
,4. Betul,2001 - 2002,3,39,13,,,,,,,,,
,,2002 - 2003,4,74,18.5,,,,,,,,,
,,2003 - 2004,2,38,19,,,,,,,,,
,,2012 - 2013,2,,0,,,,,,,,,
,,2015 - 2016,166,"1,992.00",12,,,,,,,,,
,,2016 - 2017,109,"1,308.00",12,,,,,,,,,
,,2017 - 2018,109,"1,308.00",12,,,,,,,,,
,,2018 - 2019,5,60,12,,,,,,,,,
,,2019 - 2020,7,80,11.43,,,,,,,,,
,5. Burhanpur,2003 - 2004,"13,840.00","4,08,724.00",29.53,,,,,,,,,
,,2006 - 2007,"13,486.00","4,39,247.00",32.57,,,,,,,,,
,,2007 - 2008,"6,832.00","4,38,136.00",64.13,,,,,,,,,
,,2008 - 2009,"7,334.00","3,77,611.00",51.49,,,,,,,,,
,,2009 - 2010,"7,336.00","4,67,962.00",63.79,,,,,,,,,
,,2010 - 2011,"7,633.00","4,16,751.00",54.6,,,,,,,,,
,,2011 - 2012,"15,830.00","5,67,197.00",35.83,,,,,,,,,
,,2012 - 2013,"16,536.00","6,05,427.00",36.61,,,,,,,,,
,,2013 - 2014,"17,000.00","14,14,642.00",83.21,,,,,,,,,
,,2015 - 2016,"17,500.00","12,25,000.00",70,,,,,,,,,
,,2016 - 2017,"20,425.00","14,29,750.00",70,,,,,,,,,
,,2017 - 2018,"20,425.00","14,29,750.00",70,,,,,,,,,
,,2018 - 2019,"20,460.00","14,32,200.00",70,,,,,,,,,
,,2019 - 2020,"20,522.00","14,36,540.00",70,,,,,,,,,
,6. Chhatarpur,2001 - 2002,6,169,28.17,,,,,,,,,
,,2002 - 2003,6,166,27.67,,,,,,,,,
,,2003 - 2004,4,0,0,,,,,,,,,
,,2006 - 2007,5,,0,,,,,,,,,
,,2010 - 2011,1,27,27,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2013 - 2014,1,,0,,,,,,,,,
,,2015 - 2016,38,"2,546.00",67,,,,,,,,,
,,2016 - 2017,40,"2,680.00",67,,,,,,,,,
,,2017 - 2018,5,310,62,,,,,,,,,
,,2018 - 2019,4.5,286,63.56,,,,,,,,,
,,2019 - 2020,4.5,281,62.44,,,,,,,,,
,7. Chhindwara,2001 - 2002,2,177,88.5,,,,,,,,,
,,2002 - 2003,1,0,0,,,,,,,,,
,,2003 - 2004,1,84,84,,,,,,,,,
,,2006 - 2007,5,368,73.6,,,,,,,,,
,,2007 - 2008,3,198,66,,,,,,,,,
,,2011 - 2012,3,151,50.33,,,,,,,,,
,,2012 - 2013,2,,0,,,,,,,,,
,,2015 - 2016,32,160,5,,,,,,,,,
,,2016 - 2017,7,210,30,,,,,,,,,
,,2017 - 2018,7,210,30,,,,,,,,,
,,2018 - 2019,7,175,25,,,,,,,,,
,,2019 - 2020,7,175,25,,,,,,,,,
,8. Damoh,2002 - 2003,4,0,0,,,,,,,,,
,,2003 - 2004,4,0,0,,,,,,,,,
,,2007 - 2008,2,64,32,,,,,,,,,
,,2009 - 2010,3,139,46.33,,,,,,,,,
,,2010 - 2011,1,18,18,,,,,,,,,
,,2011 - 2012,1,26,26,,,,,,,,,
,,2012 - 2013,1,32,32,,,,,,,,,
,,2016 - 2017,9.5,190,20,,,,,,,,,
,,2017 - 2018,15,525,35,,,,,,,,,
,,2018 - 2019,15,525,35,,,,,,,,,
,,2019 - 2020,15,525,35,,,,,,,,,
,9. Dewas,2003 - 2004,7,0,0,,,,,,,,,
,,2006 - 2007,2,61,30.5,,,,,,,,,
,,2015 - 2016,60,"1,800.00",30,,,,,,,,,
,,2016 - 2017,15,488,32.53,,,,,,,,,
,,2017 - 2018,20,650,32.5,,,,,,,,,
,,2018 - 2019,20,650,32.5,,,,,,,,,
,,2019 - 2020,25,815,32.6,,,,,,,,,
,10. Dhar,2001 - 2002,500,"13,095.00",26.19,,,,,,,,,
,,2002 - 2003,564,"12,856.00",22.79,,,,,,,,,
,,2003 - 2004,629,"16,083.00",25.57,,,,,,,,,
,,2006 - 2007,464,"13,942.00",30.05,,,,,,,,,
,,2007 - 2008,222,"12,796.00",57.64,,,,,,,,,
,,2008 - 2009,202,"9,348.00",46.28,,,,,,,,,
,,2009 - 2010,309,"17,715.00",57.33,,,,,,,,,
,,2010 - 2011,123,"5,471.00",44.48,,,,,,,,,
,,2011 - 2012,476,"17,850.00",37.5,,,,,,,,,
,,2012 - 2013,593,"7,459.00",12.58,,,,,,,,,
,,2013 - 2014,648,"52,571.00",81.13,,,,,,,,,
,,2015 - 2016,"1,616.00","93,728.00",58,,,,,,,,,
,,2016 - 2017,"1,702.00","1,20,494.00",70.8,,,,,,,,,
,,2017 - 2018,"1,710.00","1,21,068.00",70.8,,,,,,,,,
,,2018 - 2019,"1,820.00","1,31,792.13",72.41,,,,,,,,,
,,2019 - 2020,"1,860.00","1,32,900.00",71.45,,,,,,,,,
,11. Dindori,2019 - 2020,2,66,33,,,,,,,,,
,12. Harda,2002 - 2003,6,256,42.67,,,,,,,,,
,,2003 - 2004,8,0,0,,,,,,,,,
,,2006 - 2007,5,103,20.6,,,,,,,,,
,,2007 - 2008,1,49,49,,,,,,,,,
,,2010 - 2011,2,93,46.5,,,,,,,,,
,,2011 - 2012,14,,0,,,,,,,,,
,,2012 - 2013,20,543,27.15,,,,,,,,,
,,2013 - 2014,14,86,6.14,,,,,,,,,
,,2015 - 2016,180,"10,830.00",60.17,,,,,,,,,
,,2016 - 2017,190,"11,435.00",60.18,,,,,,,,,
,,2017 - 2018,190,"11,435.00",60.18,,,,,,,,,
,,2018 - 2019,10,602,60.2,,,,,,,,,
,,2019 - 2020,10,605,60.5,,,,,,,,,
,13. Hoshangabad,2001 - 2002,29,799,27.55,,,,,,,,,
,,2002 - 2003,25,646,25.84,,,,,,,,,
,,2003 - 2004,16,430,26.88,,,,,,,,,
,,2006 - 2007,10,248,24.8,,,,,,,,,
,,2007 - 2008,5,297,59.4,,,,,,,,,
,,2008 - 2009,3,143,47.67,,,,,,,,,
,,2009 - 2010,2,118,59,,,,,,,,,
,,2010 - 2011,2,84,42,,,,,,,,,
,,2015 - 2016,35,"1,400.00",40,,,,,,,,,
,,2016 - 2017,34,"1,360.00",40,,,,,,,,,
,,2017 - 2018,84,"3,360.00",40,,,,,,,,,
,,2018 - 2019,88,"3,486.80",39.62,,,,,,,,,
,,2019 - 2020,88,"3,486.80",39.62,,,,,,,,,
,14. Jabalpur,2013 - 2014,7,,0,,,,,,,,,
,,2015 - 2016,150.4,"6,228.00",41.41,,,,,,,,,
,,2016 - 2017,168,"6,956.81",41.41,,,,,,,,,
,,2017 - 2018,184.8,"7,653.72",41.42,,,,,,,,,
,,2018 - 2019,188.04,"6,769.44",36,,,,,,,,,
,,2019 - 2020,194.04,"8,036.40",41.42,,,,,,,,,
,15. Jhabua,2001 - 2002,1,40,40,,,,,,,,,
,,2002 - 2003,1,0,0,,,,,,,,,
,,2006 - 2007,1,,0,,,,,,,,,
,16. Katni,2012 - 2013,18,,0,,,,,,,,,
,,2013 - 2014,19,"2,630.00",138.42,,,,,,,,,
,,2015 - 2016,58,"2,000.00",34.48,,,,,,,,,
,,2016 - 2017,417,"25,858.17",62.01,,,,,,,,,
,,2017 - 2018,417.75,"25,904.68",62.01,,,,,,,,,
,,2018 - 2019,418,"25,920.18",62.01,,,,,,,,,
,,2019 - 2020,418.2,"25,932.58",62.01,,,,,,,,,
,17. Khandwa,2001 - 2002,"16,087.00","5,15,132.00",32.02,,,,,,,,,
,,2002 - 2003,"14,076.00","3,19,166.00",22.67,,,,,,,,,
,,2003 - 2004,49,911,18.59,,,,,,,,,
,,2006 - 2007,31,680,21.94,,,,,,,,,
,,2007 - 2008,20,"1,282.00",64.1,,,,,,,,,
,,2008 - 2009,7,248,35.43,,,,,,,,,
,,2009 - 2010,20,"1,276.00",63.8,,,,,,,,,
,,2010 - 2011,17,752,44.24,,,,,,,,,
,,2011 - 2012,25,74,2.96,,,,,,,,,
,,2012 - 2013,34,"1,150.00",33.82,,,,,,,,,
,,2013 - 2014,36,"1,459.00",40.53,,,,,,,,,
,,2015 - 2016,484,"38,720.00",80,,,,,,,,,
,,2016 - 2017,"1,025.00","83,060.00",81.03,,,,,,,,,
,,2017 - 2018,913,"78,593.00",86.08,,,,,,,,,
,,2018 - 2019,822,"70,363.00",85.6,,,,,,,,,
,,2019 - 2020,500,"42,800.00",85.6,,,,,,,,,
,18. Khargone,2001 - 2002,781,"21,478.00",27.5,,,,,,,,,
,,2002 - 2003,705,"14,820.00",21.02,,,,,,,,,
,,2003 - 2004,733,"18,103.00",24.7,,,,,,,,,
,,2006 - 2007,370,"7,861.00",21.25,,,,,,,,,
,,2007 - 2008,175,"8,728.00",49.87,,,,,,,,,
,,2008 - 2009,153,"5,843.00",38.19,,,,,,,,,
,,2009 - 2010,139,"6,364.00",45.78,,,,,,,,,
,,2010 - 2011,150,"5,579.00",37.19,,,,,,,,,
,,2011 - 2012,214,"5,711.00",26.69,,,,,,,,,
,,2012 - 2013,276,"6,820.00",24.71,,,,,,,,,
,,2013 - 2014,337,"6,570.00",19.5,,,,,,,,,
,,2015 - 2016,910,"59,150.00",65,,,,,,,,,
,,2016 - 2017,"1,020.00","75,480.00",74,,,,,,,,,
,,2017 - 2018,627,"46,398.00",74,,,,,,,,,
,,2018 - 2019,650,"48,100.00",74,,,,,,,,,
,,2019 - 2020,653,"48,322.00",74,,,,,,,,,
,19. Mandla,2012 - 2013,1,,0,,,,,,,,,
,,2015 - 2016,26.8,"1,194.31",44.56,,,,,,,,,
,,2016 - 2017,28.2,"1,223.46",43.39,,,,,,,,,
,,2017 - 2018,31.5,"1,368.69",43.45,,,,,,,,,
,,2018 - 2019,35.35,"1,545.21",43.71,,,,,,,,,
,,2019 - 2020,35.35,"1,624.15",45.94,,,,,,,,,
,20. Mandsaur,2003 - 2004,1,0,0,,,,,,,,,
,21. Narsinghpur,2006 - 2007,1,,0,,,,,,,,,
,,2015 - 2016,1,25,25,,,,,,,,,
,,2016 - 2017,11,275,25,,,,,,,,,
,,2017 - 2018,11,275,25,,,,,,,,,
,,2018 - 2019,25,"1,001.00",40.04,,,,,,,,,
,,2019 - 2020,30,"1,316.00",43.87,,,,,,,,,
,22. Panna,2001 - 2002,11,355,32.27,,,,,,,,,
,,2002 - 2003,3,0,0,,,,,,,,,
,,2003 - 2004,2,51,25.5,,,,,,,,,
,,2008 - 2009,1,24,24,,,,,,,,,
,,2015 - 2016,7.1,12.2,1.72,,,,,,,,,
,,2016 - 2017,47.1,94,2,,,,,,,,,
,,2017 - 2018,59,"2,950.00",50,,,,,,,,,
,,2018 - 2019,60,"3,000.00",50,,,,,,,,,
,,2019 - 2020,65,"3,250.00",50,,,,,,,,,
,23. Raisen,2002 - 2003,4,0,0,,,,,,,,,
,,2003 - 2004,13,0,0,,,,,,,,,
,24. Rajgarh,2002 - 2003,1,0,0,,,,,,,,,
,25. Ratlam,2001 - 2002,6,255,42.5,,,,,,,,,
,,2002 - 2003,7,271,38.71,,,,,,,,,
,,2006 - 2007,6,281,46.83,,,,,,,,,
,,2007 - 2008,1,45,45,,,,,,,,,
,,2008 - 2009,1,36,36,,,,,,,,,
,,2009 - 2010,5,225,45,,,,,,,,,
,,2011 - 2012,5,,0,,,,,,,,,
,,2012 - 2013,2,,0,,,,,,,,,
,26. Rewa,2001 - 2002,2,58,29,,,,,,,,,
,,2002 - 2003,1,28,28,,,,,,,,,
,,2003 - 2004,2,27,13.5,,,,,,,,,
,,2006 - 2007,1,30,30,,,,,,,,,
,,2009 - 2010,1,28,28,,,,,,,,,
,,2010 - 2011,1,19,19,,,,,,,,,
,,2011 - 2012,2,19,9.5,,,,,,,,,
,,2012 - 2013,2,24,12,,,,,,,,,
,,2013 - 2014,1,,0,,,,,,,,,
,,2015 - 2016,18.8,605.6,32.21,,,,,,,,,
,,2016 - 2017,83,"2,929.90",35.3,,,,,,,,,
,,2017 - 2018,83,"2,929.90",35.3,,,,,,,,,
,,2018 - 2019,85,"3,000.50",35.3,,,,,,,,,
,,2019 - 2020,98,"3,459.40",35.3,,,,,,,,,
,27. Sagar,2001 - 2002,3,40,13.33,,,,,,,,,
,,2002 - 2003,4,77,19.25,,,,,,,,,
,,2003 - 2004,3,112,37.33,,,,,,,,,
,,2006 - 2007,4,,0,,,,,,,,,
,,2007 - 2008,1,33,33,,,,,,,,,
,,2008 - 2009,1,26,26,,,,,,,,,
,,2011 - 2012,4,85,21.25,,,,,,,,,
,,2012 - 2013,2,44,22,,,,,,,,,
,,2013 - 2014,2,115,57.5,,,,,,,,,
,28. Satna,2001 - 2002,2,22,11,,,,,,,,,
,,2002 - 2003,2,50,25,,,,,,,,,
,29. Sehore,2001 - 2002,3,118,39.33,,,,,,,,,
,30. Seoni,2010 - 2011,1,46,46,,,,,,,,,
,,2011 - 2012,1,53,53,,,,,,,,,
,,2012 - 2013,3,,0,,,,,,,,,
,,2013 - 2014,3,,0,,,,,,,,,
,,2015 - 2016,4,212,53,,,,,,,,,
,,2016 - 2017,4,217.2,54.3,,,,,,,,,
,,2017 - 2018,4,216,54,,,,,,,,,
,,2018 - 2019,4,218,54.5,,,,,,,,,
,,2019 - 2020,5,272,54.4,,,,,,,,,
,31. Shahdol,2001 - 2002,6,81,13.5,,,,,,,,,
,,2002 - 2003,6,43,7.17,,,,,,,,,
,,2003 - 2004,4,42,10.5,,,,,,,,,
,,2006 - 2007,4,20,5,,,,,,,,,
,,2007 - 2008,3,57,19,,,,,,,,,
,,2010 - 2011,3,31,10.33,,,,,,,,,
,,2011 - 2012,3,42,14,,,,,,,,,
,,2012 - 2013,3,,0,,,,,,,,,
,,2013 - 2014,2,,0,,,,,,,,,
,,2015 - 2016,32,"3,470.00",108.44,,,,,,,,,
,,2016 - 2017,34,"1,684.80",49.55,,,,,,,,,
,,2017 - 2018,20,"1,000.20",50.01,,,,,,,,,
,,2018 - 2019,10,492.1,49.21,,,,,,,,,
,,2019 - 2020,10,492.1,49.21,,,,,,,,,
,32. Shivpuri,2003 - 2004,37,0,0,,,,,,,,,
,33. Sidhi,2001 - 2002,14,21,1.5,,,,,,,,,
,,2002 - 2003,9,166,18.44,,,,,,,,,
,,2003 - 2004,10,122,12.2,,,,,,,,,
,,2006 - 2007,6,112,18.67,,,,,,,,,
,,2007 - 2008,3,66,22,,,,,,,,,
,,2008 - 2009,1,18,18,,,,,,,,,
,,2009 - 2010,1,22,22,,,,,,,,,
,,2011 - 2012,2,14,7,,,,,,,,,
,,2012 - 2013,3,,0,,,,,,,,,
,,2013 - 2014,2,160,80,,,,,,,,,
,,2015 - 2016,105,"5,775.00",55,,,,,,,,,
,,2016 - 2017,107,"3,499.00",32.7,,,,,,,,,
,,2017 - 2018,108,"3,564.00",33,,,,,,,,,
,,2018 - 2019,110,"3,630.00",33,,,,,,,,,
,,2019 - 2020,228,"7,524.00",33,,,,,,,,,
,34. Singrauli,2008 - 2009,4,71,17.75,,,,,,,,,
,,2009 - 2010,2,61,30.5,,,,,,,,,
,,2010 - 2011,3,53,17.67,,,,,,,,,
,,2011 - 2012,4,47,11.75,,,,,,,,,
,,2012 - 2013,4,29,7.25,,,,,,,,,
,,2013 - 2014,2,58,29,,,,,,,,,
,,2015 - 2016,5,150,30,,,,,,,,,
,,2016 - 2017,6,180.9,30.15,,,,,,,,,
,,2017 - 2018,15,457.5,30.5,,,,,,,,,
,,2018 - 2019,50,"1,550.00",31,,,,,,,,,
,,2019 - 2020,82,"2,624.00",32,,,,,,,,,
,35. Tikamgarh,2001 - 2002,12,76,6.33,,,,,,,,,
,,2002 - 2003,7,252,36,,,,,,,,,
,,2003 - 2004,8,232,29,,,,,,,,,
,,2006 - 2007,6,188,31.33,,,,,,,,,
,,2007 - 2008,3,91,30.33,,,,,,,,,
,,2008 - 2009,2,54,27,,,,,,,,,
,,2010 - 2011,1,17,17,,,,,,,,,
,,2011 - 2012,2,,0,,,,,,,,,
,,2012 - 2013,2,28,14,,,,,,,,,
,36. Ujjain,2002 - 2003,2,0,0,,,,,,,,,
,,2010 - 2011,2,100,50,,,,,,,,,
,,2012 - 2013,1,47,47,,,,,,,,,
,37. Umaria,2001 - 2002,1,22,22,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,
,,2015 - 2016,19,109.2,5.75,,,,,,,,,
,,2016 - 2017,25,875,35,,,,,,,,,
,,2017 - 2018,25,875,35,,,,,,,,,
,,2018 - 2019,27,945,35,,,,,,,,,
,,2019 - 2020,30,"1,050.00",35,,,,,,,,,
13. Maharashtra,1. Ahilyanagar,2003 - 2004,100,"11,170.00",111.7,,,,,,,,,
,2. Akola,2003 - 2004,500,"26,250.00",52.5,,,,,,,,,
,3. Amravati,2003 - 2004,400,"27,990.00",69.98,,,,,,,,,
,4. Beed,2003 - 2004,200,"13,130.00",65.65,,,,,,,,,
,5. Bhandara,2003 - 2004,100,"2,420.00",24.2,,,,,,,,,
,6. Buldhana,2003 - 2004,"1,200.00","57,930.00",48.28,,,,,,,,,
,7. Chhatrapati Sambhajinagar,2003 - 2004,200,"8,590.00",42.95,,,,,,,,,
,8. Dharashiv,2003 - 2004,100,"7,510.00",75.1,,,,,,,,,
,9. Dhule,2003 - 2004,400,"38,960.00",97.4,,,,,,,,,
,10. Hingoli,2003 - 2004,"3,100.00","1,64,450.00",53.05,,,,,,,,,
,11. Jalgaon,2003 - 2004,"35,900.00","23,90,840.00",66.6,,,,,,,,,
,12. Jalna,2003 - 2004,300,"17,960.00",59.87,,,,,,,,,
,13. Kolhapur,2003 - 2004,500,"23,530.00",47.06,,,,,,,,,
,14. Latur,2003 - 2004,100,"6,430.00",64.3,,,,,,,,,
,15. Nanded,2003 - 2004,"6,600.00","3,51,750.00",53.3,,,,,,,,,
,16. Nandurbar,2003 - 2004,"3,100.00","2,18,170.00",70.38,,,,,,,,,
,17. Parbhani,2003 - 2004,"2,300.00","1,22,250.00",53.15,,,,,,,,,
,18. Pune,2003 - 2004,900,"76,350.00",84.83,,,,,,,,,
,19. Raigad,2003 - 2004,100,"1,730.00",17.3,,,,,,,,,
,20. Ratnagiri,2003 - 2004,100,"2,330.00",23.3,,,,,,,,,
,21. Sangli,2003 - 2004,100,"5,060.00",50.6,,,,,,,,,
,22. Satara,2003 - 2004,300,"12,880.00",42.93,,,,,,,,,
,23. Sindhudurg,2003 - 2004,100,"2,520.00",25.2,,,,,,,,,
,24. Solapur,2003 - 2004,200,"7,910.00",39.55,,,,,,,,,
,25. Thane,2003 - 2004,500,"11,670.00",23.34,,,,,,,,,
,26. Wardha,2003 - 2004,100,"5,570.00",55.7,,,,,,,,,
,27. Washim,2003 - 2004,100,"13,740.00",137.4,,,,,,,,,
,28. Yavatmal,2003 - 2004,100,"5,630.00",56.3,,,,,,,,,
14. Manipur,1. Bishnupur,2000 - 2001,210,"2,710.00",12.9,,,,,,,,,
,,2001 - 2002,510,"6,560.00",12.86,,,,,,,,,
,,2002 - 2003,181,"1,300.00",7.18,,,,,,,,,
,,2003 - 2004,191,"1,499.00",7.85,,,,,,,,,
