State,District,Year,Sannhamp,,,,,,,,,,,
,,2008 - 2009,,,,"1,055.00","4,688.88",4.44,,,,,,
,,2009 - 2010,,,,602,491,0.82,,,,,,
,,2012 - 2013,,,,337,271,0.8,,,,,,
,,2013 - 2014,,,,385,310,0.81,,,,,,
,,2014 - 2015,,,,369,297,0.8,,,,,,
,,2015 - 2016,,,,355,286,0.81,,,,,,
,,2016 - 2017,,,,458,370,0.81,,,,,,
,,2017 - 2018,,,,352,284,0.81,,,,,,
,,2018 - 2019,,,,352,284,0.81,,,,,,
,,2019 - 2020,,,,347,280,0.81,,,,,,
,,2020 - 2021,,,,346,279,0.81,,,,,,
,,2021 - 2022,,,,347,280,0.81,,,,,,
,,2022 - 2023,,,,355,289,0.81,,,,,,
,5. Begusarai,2002 - 2003,87,62,0.71,,,,,,,,,
,,2003 - 2004,56,35,0.63,,,,,,,,,
,,2004 - 2005,42,34,0.81,,,,,,,,,
,,2005 - 2006,46,37,0.8,,,,,,,,,
,,2006 - 2007,,,,48,40,0.83,,,,,,
,,2007 - 2008,,,,45,200,4.44,,,,,,
,,2009 - 2010,,,,25,20,0.8,,,,,,
,,2012 - 2013,,,,26,21,0.81,,,,,,
,,2013 - 2014,,,,13,10,0.77,,,,,,
,,2014 - 2015,,,,12,10,0.83,,,,,,
,,2015 - 2016,,,,23,19,0.83,,,,,,
,,2016 - 2017,,,,21,17,0.81,,,,,,
,,2019 - 2020,,,,23,18,0.78,,,,,,
,,2020 - 2021,,,,24,19,0.79,,,,,,
,,2021 - 2022,,,,12,10,0.83,,,,,,
,6. Bhagalpur,2002 - 2003,216,154,0.71,,,,,,,,,
,,2003 - 2004,196,141,0.72,,,,,,,,,
,,2004 - 2005,224,180,0.8,,,,,,,,,
,,2005 - 2006,224,182,0.81,,,,,,,,,
,,2006 - 2007,,,,215,177,0.82,,,,,,
,,2007 - 2008,,,,224,994.44,4.44,,,,,,
,,2008 - 2009,,,,347,"1,544.44",4.45,,,,,,
,,2009 - 2010,,,,329,268,0.81,,,,,,
,,2012 - 2013,,,,102,82,0.8,,,,,,
,,2013 - 2014,,,,109,88,0.81,,,,,,
,,2014 - 2015,,,,119,96,0.81,,,,,,
,,2015 - 2016,,,,114,92,0.81,,,,,,
,,2016 - 2017,,,,115,93,0.81,,,,,,
,,2017 - 2018,,,,114,92,0.81,,,,,,
,,2018 - 2019,,,,111,90,0.81,,,,,,
,,2019 - 2020,,,,108,87,0.81,,,,,,
,,2020 - 2021,,,,72,58,0.81,,,,,,
,,2021 - 2022,,,,60,48,0.8,,,,,,
,,2022 - 2023,,,,58,47,0.81,,,,,,
,7. Bhojpur,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,,2006 - 2007,,,,2,1,0.5,,,,,,
,,2007 - 2008,,,,4,16.66,4.17,,,,,,
,,2008 - 2009,,,,4,16.66,4.17,,,,,,
,,2009 - 2010,,,,16,13,0.81,,,,,,
,8. Buxar,2006 - 2007,,,,4,2,0.5,,,,,,
,,2007 - 2008,,,,5,16.66,3.33,,,,,,
,,2009 - 2010,,,,4,3,0.75,,,,,,
,9. Darbhanga,2004 - 2005,2,2,1,,,,,,,,,
,10. Gaya,2002 - 2003,25,18,0.72,,,,,,,,,
,,2003 - 2004,228,164,0.72,,,,,,,,,
,,2004 - 2005,108,87,0.81,,,,,,,,,
,,2005 - 2006,67,54,0.81,,,,,,,,,
,,2006 - 2007,,,,134,110,0.82,,,,,,
,,2007 - 2008,,,,82,366.66,4.47,,,,,,
,,2008 - 2009,,,,96,427.77,4.46,,,,,,
,,2009 - 2010,,,,65,53,0.82,,,,,,
,,2012 - 2013,,,,79,63,0.8,,,,,,
,,2013 - 2014,,,,7,6,0.86,,,,,,
,,2014 - 2015,,,,27,22,0.81,,,,,,
,,2015 - 2016,,,,2,2,1,,,,,,
,,2016 - 2017,,,,2,2,1,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,11. Gopalganj,2002 - 2003,74,46,0.62,,,,,,,,,
,,2003 - 2004,136,98,0.72,,,,,,,,,
,,2004 - 2005,239,163,0.68,,,,,,,,,
,,2005 - 2006,43,35,0.81,,,,,,,,,
,,2006 - 2007,,,,49,40,0.82,,,,,,
,,2007 - 2008,,,,45,188.88,4.2,,,,,,
,,2008 - 2009,,,,43,183.33,4.26,,,,,,
,,2009 - 2010,,,,45,37,0.82,,,,,,
,,2012 - 2013,,,,7,6,0.86,,,,,,
,12. Jehanabad,2003 - 2004,9,6,0.67,,,,,,,,,
,,2004 - 2005,18,14,0.78,,,,,,,,,
,,2005 - 2006,52,42,0.81,,,,,,,,,
,,2006 - 2007,,,,29,24,0.83,,,,,,
,,2007 - 2008,,,,25,111.11,4.44,,,,,,
,,2008 - 2009,,,,2,11.11,5.56,,,,,,
,,2009 - 2010,,,,2,2,1,,,,,,
,,2012 - 2013,,,,169,137,0.81,,,,,,
,,2013 - 2014,,,,183,147,0.8,,,,,,
,,2014 - 2015,,,,5,4,0.8,,,,,,
,,2015 - 2016,,,,5,4,0.8,,,,,,
,,2016 - 2017,,,,5,4,0.8,,,,,,
,,2019 - 2020,,,,12,10,0.83,,,,,,
,13. Kaimur (bhabua),2002 - 2003,14,10,0.71,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,
,14. Katihar,2004 - 2005,4,3,0.75,,,,,,,,,
,,2005 - 2006,17,15,0.88,,,,,,,,,
,,2006 - 2007,,,,107,93,0.87,,,,,,
,,2007 - 2008,,,,107,488.88,4.57,,,,,,
,,2008 - 2009,,,,98,450,4.59,,,,,,
,,2009 - 2010,,,,98,80,0.82,,,,,,
,,2018 - 2019,,,,8,6,0.75,,,,,,
,,2019 - 2020,,,,33,27,0.82,,,,,,
,,2020 - 2021,,,,15,12,0.8,,,,,,
,15. Khagaria,2002 - 2003,219,156,0.71,,,,,,,,,
,,2003 - 2004,184,135,0.73,,,,,,,,,
,,2004 - 2005,202,163,0.81,,,,,,,,,
,,2005 - 2006,195,158,0.81,,,,,,,,,
,,2006 - 2007,,,,151,124,0.82,,,,,,
,,2007 - 2008,,,,142,622.22,4.38,,,,,,
,,2008 - 2009,,,,145,638.88,4.41,,,,,,
,,2009 - 2010,,,,112,91,0.81,,,,,,
,,2012 - 2013,,,,46,37,0.8,,,,,,
,,2013 - 2014,,,,104,84,0.81,,,,,,
,,2014 - 2015,,,,103,83,0.81,,,,,,
,,2015 - 2016,,,,121,97,0.8,,,,,,
,,2016 - 2017,,,,107,86,0.8,,,,,,
,,2017 - 2018,,,,86,70,0.81,,,,,,
,,2018 - 2019,,,,85,69,0.81,,,,,,
,,2019 - 2020,,,,82,66,0.8,,,,,,
,,2020 - 2021,,,,82,66,0.8,,,,,,
,,2021 - 2022,,,,90,73,0.81,,,,,,
,,2022 - 2023,,,,82,66,0.8,,,,,,
,16. Lakhisarai,2002 - 2003,1,1,1,,,,,,,,,
,,2003 - 2004,4,3,0.75,,,,,,,,,
,,2006 - 2007,,,,3,2,0.67,,,,,,
,17. Madhepura,2002 - 2003,43,31,0.72,,,,,,,,,
,,2003 - 2004,62,44,0.71,,,,,,,,,
,,2004 - 2005,76,66,0.87,,,,,,,,,
,,2005 - 2006,67,54,0.81,,,,,,,,,
,,2006 - 2007,,,,16,13,0.81,,,,,,
,,2007 - 2008,,,,114,505.55,4.43,,,,,,
,,2008 - 2009,,,,99,438.88,4.43,,,,,,
,,2009 - 2010,,,,41,33,0.8,,,,,,
,,2013 - 2014,,,,77,62,0.81,,,,,,
,,2014 - 2015,,,,82,66,0.8,,,,,,
,,2015 - 2016,,,,129,104,0.81,,,,,,
,,2016 - 2017,,,,68,55,0.81,,,,,,
,,2017 - 2018,,,,56,45,0.8,,,,,,
,,2018 - 2019,,,,27,22,0.81,,,,,,
,,2019 - 2020,,,,27,22,0.81,,,,,,
,,2020 - 2021,,,,9,7,0.78,,,,,,
,18. Madhubani,2002 - 2003,362,281,0.78,,,,,,,,,
,,2003 - 2004,70,50,0.71,,,,,,,,,
,,2004 - 2005,70,56,0.8,,,,,,,,,
,,2005 - 2006,30,23,0.77,,,,,,,,,
,,2006 - 2007,,,,19,15,0.79,,,,,,
,,2007 - 2008,,,,38,166.66,4.39,,,,,,
,,2008 - 2009,,,,36,161.11,4.48,,,,,,
,,2009 - 2010,,,,34,28,0.82,,,,,,
,,2012 - 2013,,,,3,2,0.67,,,,,,
,,2013 - 2014,,,,3,2,0.67,,,,,,
,,2014 - 2015,,,,6,5,0.83,,,,,,
,,2015 - 2016,,,,7,6,0.86,,,,,,
,,2016 - 2017,,,,5,4,0.8,,,,,,
,,2017 - 2018,,,,5,4,0.8,,,,,,
,,2018 - 2019,,,,4,3,0.75,,,,,,
,,2019 - 2020,,,,3,2,0.67,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,19. Munger,2002 - 2003,10,7,0.7,,,,,,,,,
,,2003 - 2004,10,7,0.7,,,,,,,,,
,,2004 - 2005,10,8,0.8,,,,,,,,,
,,2005 - 2006,10,8,0.8,,,,,,,,,
,,2006 - 2007,,,,55,45,0.82,,,,,,
,,2007 - 2008,,,,46,200,4.35,,,,,,
,,2009 - 2010,,,,47,38,0.81,,,,,,
,,2012 - 2013,,,,1,1,1,,,,,,
,,2013 - 2014,,,,1,1,1,,,,,,
,,2014 - 2015,,,,15,12,0.8,,,,,,
,,2015 - 2016,,,,15,12,0.8,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,1,1,1,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,20. Muzaffarpur,2002 - 2003,3,2,0.67,,,,,,,,,
,,2003 - 2004,3,2,0.67,,,,,,,,,
,,2004 - 2005,3,2,0.67,,,,,,,,,
,,2005 - 2006,3,2,0.67,,,,,,,,,
,,2006 - 2007,,,,3,2,0.67,,,,,,
,,2007 - 2008,,,,3,11.11,3.7,,,,,,
,,2008 - 2009,,,,7,33.33,4.76,,,,,,
,21. Nalanda,2002 - 2003,140,100,0.71,,,,,,,,,
,,2003 - 2004,137,98,0.72,,,,,,,,,
,,2004 - 2005,140,113,0.81,,,,,,,,,
,,2005 - 2006,150,85,0.57,,,,,,,,,
,,2006 - 2007,,,,142,81,0.57,,,,,,
,,2007 - 2008,,,,124,477.77,3.85,,,,,,
,,2008 - 2009,,,,140,538.88,3.85,,,,,,
,,2016 - 2017,,,,2,2,1,,,,,,
,,2019 - 2020,,,,1,1,1,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,22. Nawada,2002 - 2003,92,65,0.71,,,,,,,,,
,,2003 - 2004,68,49,0.72,,,,,,,,,
,,2004 - 2005,27,22,0.81,,,,,,,,,
,,2005 - 2006,69,56,0.81,,,,,,,,,
,,2006 - 2007,,,,46,38,0.83,,,,,,
,,2007 - 2008,,,,81,361.11,4.46,,,,,,
,,2008 - 2009,,,,94,416.66,4.43,,,,,,
,,2009 - 2010,,,,88,72,0.82,,,,,,
,,2012 - 2013,,,,49,39,0.8,,,,,,
,,2013 - 2014,,,,53,43,0.81,,,,,,
,,2014 - 2015,,,,66,53,0.8,,,,,,
,,2015 - 2016,,,,37,30,0.81,,,,,,
,,2016 - 2017,,,,43,34,0.79,,,,,,
,,2017 - 2018,,,,51,41,0.8,,,,,,
,,2018 - 2019,,,,36,29,0.81,,,,,,
,,2019 - 2020,,,,38,31,0.82,,,,,,
,,2020 - 2021,,,,39,31,0.79,,,,,,
,,2021 - 2022,,,,39,31,0.79,,,,,,
,,2022 - 2023,,,,39,33,0.85,,,,,,
,23. Pashchim champaran,2013 - 2014,,,,1,1,1,,,,,,
,,2014 - 2015,,,,1,1,1,,,,,,
,,2015 - 2016,,,,1,1,1,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,1,1,1,,,,,,
,,2020 - 2021,,,,1,1,1,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,
,24. Patna,2002 - 2003,9,6,0.67,,,,,,,,,
,,2003 - 2004,3,2,0.67,,,,,,,,,
,,2004 - 2005,3,2,0.67,,,,,,,,,
,,2005 - 2006,4,2,0.5,,,,,,,,,
,,2006 - 2007,,,,4,2,0.5,,,,,,
,,2008 - 2009,,,,2,5.55,2.78,,,,,,
,,2012 - 2013,,,,4,3,0.75,,,,,,
,25. Purbi champaran,2002 - 2003,192,137,0.71,,,,,,,,,
,,2003 - 2004,5,4,0.8,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,1,1,1,,,,,,,,,
,,2006 - 2007,,,,1,1,1,,,,,,
,,2007 - 2008,,,,1,5.55,5.55,,,,,,
,,2008 - 2009,,,,1,55.55,55.55,,,,,,
,,2009 - 2010,,,,1,1,1,,,,,,
,26. Rohtas,2002 - 2003,1,1,1,,,,,,,,,
,,2003 - 2004,6,4,0.67,,,,,,,,,
,,2005 - 2006,7,4,0.57,,,,,,,,,
,,2006 - 2007,,,,7,4,0.57,,,,,,
,27. Saharsa,2002 - 2003,113,80,0.71,,,,,,,,,
,,2003 - 2004,111,80,0.72,,,,,,,,,
,,2004 - 2005,91,79,0.87,,,,,,,,,
,,2005 - 2006,54,44,0.81,,,,,,,,,
,,2006 - 2007,,,,42,35,0.83,,,,,,
,,2007 - 2008,,,,54,238.88,4.42,,,,,,
,,2008 - 2009,,,,90,400,4.44,,,,,,
,,2009 - 2010,,,,106,86,0.81,,,,,,
,,2012 - 2013,,,,68,54,0.79,,,,,,
,,2013 - 2014,,,,65,52,0.8,,,,,,
,,2014 - 2015,,,,7,6,0.86,,,,,,
,,2015 - 2016,,,,57,46,0.81,,,,,,
,,2016 - 2017,,,,49,40,0.82,,,,,,
,,2017 - 2018,,,,26,21,0.81,,,,,,
,,2018 - 2019,,,,28,23,0.82,,,,,,
,,2019 - 2020,,,,26,21,0.81,,,,,,
,,2020 - 2021,,,,24,19,0.79,,,,,,
,,2021 - 2022,,,,26,21,0.81,,,,,,
,,2022 - 2023,,,,12,10,0.83,,,,,,
,28. Samastipur,2002 - 2003,14,11,0.79,,,,,,,,,
,,2003 - 2004,15,11,0.73,,,,,,,,,
,,2004 - 2005,16,13,0.81,,,,,,,,,
,,2005 - 2006,16,12,0.75,,,,,,,,,
,,2008 - 2009,,,,6,27.77,4.63,,,,,,
,,2009 - 2010,,,,22,18,0.82,,,,,,
,,2013 - 2014,,,,147,118,0.8,,,,,,
,,2014 - 2015,,,,172,138,0.8,,,,,,
,,2015 - 2016,,,,39,31,0.79,,,,,,
,,2016 - 2017,,,,29,23,0.79,,,,,,
,,2017 - 2018,,,,60,48,0.8,,,,,,
,,2018 - 2019,,,,56,45,0.8,,,,,,
,,2019 - 2020,,,,141,114,0.81,,,,,,
,,2020 - 2021,,,,100,81,0.81,,,,,,
,,2021 - 2022,,,,99,80,0.81,,,,,,
,,2022 - 2023,,,,97,78,0.8,,,,,,
,29. Saran,2002 - 2003,39,24,0.62,,,,,,,,,
,,2003 - 2004,10,7,0.7,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,30,24,0.8,,,,,,,,,
,,2006 - 2007,,,,14,12,0.86,,,,,,
,,2007 - 2008,,,,29,122.22,4.21,,,,,,
,,2008 - 2009,,,,2,11.11,5.56,,,,,,
,,2013 - 2014,,,,31,25,0.81,,,,,,
,,2014 - 2015,,,,31,25,0.81,,,,,,
,,2015 - 2016,,,,25,20,0.8,,,,,,
,,2016 - 2017,,,,28,23,0.82,,,,,,
,,2017 - 2018,,,,24,19,0.79,,,,,,
,,2018 - 2019,,,,20,16,0.8,,,,,,
,,2019 - 2020,,,,14,11,0.79,,,,,,
,,2020 - 2021,,,,9,7,0.78,,,,,,
,,2021 - 2022,,,,9,7,0.78,,,,,,
,,2022 - 2023,,,,11,9,0.82,,,,,,
,30. Sheikhpura,2003 - 2004,10,7,0.7,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,
,,2005 - 2006,8,6,0.75,,,,,,,,,
,,2012 - 2013,,,,8,6,0.75,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,31. Sheohar,2005 - 2006,3,2,0.67,,,,,,,,,
,,2006 - 2007,,,,4,3,0.75,,,,,,
,32. Sitamarhi,2002 - 2003,32,23,0.72,,,,,,,,,
,,2003 - 2004,32,23,0.72,,,,,,,,,
,,2004 - 2005,19,15,0.79,,,,,,,,,
,,2005 - 2006,19,15,0.79,,,,,,,,,
,,2006 - 2007,,,,23,19,0.83,,,,,,
,,2007 - 2008,,,,50,222.22,4.44,,,,,,
,,2008 - 2009,,,,40,177.77,4.44,,,,,,
,,2009 - 2010,,,,51,42,0.82,,,,,,
,33. Siwan,2002 - 2003,151,93,0.62,,,,,,,,,
,,2003 - 2004,144,103,0.72,,,,,,,,,
,,2004 - 2005,185,126,0.68,,,,,,,,,
,,2005 - 2006,171,139,0.81,,,,,,,,,
,,2006 - 2007,,,,170,140,0.82,,,,,,
,,2007 - 2008,,,,201,844.44,4.2,,,,,,
,,2008 - 2009,,,,122,511.11,4.19,,,,,,
,,2009 - 2010,,,,122,99,0.81,,,,,,
,,2012 - 2013,,,,152,122,0.8,,,,,,
,,2013 - 2014,,,,54,43,0.8,,,,,,
,,2014 - 2015,,,,44,35,0.8,,,,,,
,,2015 - 2016,,,,43,35,0.81,,,,,,
,,2016 - 2017,,,,43,35,0.81,,,,,,
,,2017 - 2018,,,,43,35,0.81,,,,,,
,,2018 - 2019,,,,43,35,0.81,,,,,,
,,2019 - 2020,,,,43,35,0.81,,,,,,
,,2020 - 2021,,,,43,35,0.81,,,,,,
,,2021 - 2022,,,,43,35,0.81,,,,,,
,,2022 - 2023,,,,43,35,0.81,,,,,,
,34. Supaul,2002 - 2003,55,39,0.71,,,,,,,,,
,,2003 - 2004,136,98,0.72,,,,,,,,,
,,2004 - 2005,686,593,0.86,,,,,,,,,
,,2005 - 2006,17,14,0.82,,,,,,,,,
,,2007 - 2008,,,,1,5.55,5.55,,,,,,
,,2009 - 2010,,,,15,12,0.8,,,,,,
,,2012 - 2013,,,,173,140,0.81,,,,,,
,,2013 - 2014,,,,158,127,0.8,,,,,,
,,2014 - 2015,,,,254,204,0.8,,,,,,
,,2015 - 2016,,,,266,214,0.8,,,,,,
,,2016 - 2017,,,,226,183,0.81,,,,,,
,35. Vaishali,2005 - 2006,1,1,1,,,,,,,,,
,,2007 - 2008,,,,3,11.11,3.7,,,,,,
,,2008 - 2009,,,,3,11.11,3.7,,,,,,
,,2014 - 2015,,,,49,39,0.8,,,,,,
3. Chhattisgarh,1. Balod,2011 - 2012,1,2,2,,,,,,,,,
,,2016 - 2017,,,,5,2,0.4,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,2. Baloda bazar,2011 - 2012,8,48,6,,,,,,,,,
,,2012 - 2013,8,3,0.38,,,,,,,,,
,,2013 - 2014,,,,9,4,0.44,,,,,,
,,2014 - 2015,,,,12,5,0.42,,,,,,
,,2015 - 2016,,,,33,19,0.58,,,,,,
,,2016 - 2017,,,,9,4,0.44,,,,,,
,,2017 - 2018,,,,40,18,0.45,,,,,,
,3. Balrampur,2011 - 2012,199,360,1.81,,,,,,,,,
,,2012 - 2013,65,19,0.29,,,,,,,,,
,,2013 - 2014,,,,242,46,0.19,,,,,,
,,2014 - 2015,,,,227,67,0.3,,,,,,
,,2015 - 2016,,,,223,136,0.61,,,,,,
,,2016 - 2017,,,,208,130,0.63,,,,,,
,,2017 - 2018,,,,273,167,0.61,,,,,,
,,2018 - 2019,,,,218,134,0.61,,,,,,
,,2019 - 2020,,,,32,21,0.66,,,,,,
,,2020 - 2021,,,,268,161,0.6,,,,,,
,,2021 - 2022,,,,392,300,0.77,,,,,,
,,2022 - 2023,,,,289,191,0.66,,,,,,
,4. Bastar,2000 - 2001,84,32,0.38,,,,,,,,,
,,2001 - 2002,79,30,0.38,,,,,,,,,
,,2002 - 2003,76,24,0.32,,,,,,,,,
,,2003 - 2004,72,28,0.39,,,,,,,,,
,,2004 - 2005,104,40,0.38,,,,,,,,,
,,2005 - 2006,84,33,0.39,,,,,,,,,
,,2006 - 2007,59,21,0.36,,,,,,,,,
,,2007 - 2008,81,34,0.42,,,,,,,,,
,,2008 - 2009,66,21,0.32,,,,,,,,,
,,2009 - 2010,77,26,0.34,,,,,,,,,
,,2010 - 2011,71,29,0.41,,,,,,,,,
,,2011 - 2012,28,67,2.39,,,,,,,,,
,,2012 - 2013,38,17,0.45,,,,,,,,,
,,2013 - 2014,,,,31,14,0.45,,,,,,
,,2014 - 2015,,,,47,20,0.43,,,,,,
,,2015 - 2016,,,,30,10,0.33,,,,,,
,,2016 - 2017,,,,15,6,0.4,,,,,,
,,2017 - 2018,,,,29,12,0.41,,,,,,
,,2018 - 2019,,,,18,7,0.39,,,,,,
,,2019 - 2020,,,,6,3,0.5,,,,,,
,,2020 - 2021,,,,67,4,0.06,,,,,,
,5. Bemetara,2012 - 2013,4,1,0.25,,,,,,,,,
,,2021 - 2022,,,,3,1,0.33,,,,,,
,6. Bijapur,2006 - 2007,15,,0,,,,,,,,,
,,2007 - 2008,13,4,0.31,,,,,,,,,
,,2008 - 2009,13,3,0.23,,,,,,,,,
,,2009 - 2010,8,2,0.25,,,,,,,,,
,,2010 - 2011,7,3,0.43,,,,,,,,,
,,2011 - 2012,6,9,1.5,,,,,,,,,
,,2012 - 2013,5,2,0.4,,,,,,,,,
,,2013 - 2014,,,,7,3,0.43,,,,,,
,,2014 - 2015,,,,4,1,0.25,,,,,,
,,2015 - 2016,,,,4,1,0.25,,,,,,
,,2016 - 2017,,,,1,,0,,,,,,
,,2017 - 2018,,,,1,,0,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,,2022 - 2023,,,,5,3,0.6,,,,,,
,7. Bilaspur,2000 - 2001,100,17,0.17,,,,,,,,,
,,2001 - 2002,120,38,0.32,,,,,,,,,
,,2002 - 2003,108,25,0.23,,,,,,,,,
,,2003 - 2004,121,35,0.29,,,,,,,,,
,,2004 - 2005,111,32,0.29,,,,,,,,,
,,2005 - 2006,101,33,0.33,,,,,,,,,
,,2006 - 2007,184,59,0.32,,,,,,,,,
,,2007 - 2008,104,34,0.33,,,,,,,,,
,,2008 - 2009,94,29,0.31,,,,,,,,,
,,2009 - 2010,103,37,0.36,,,,,,,,,
,,2010 - 2011,63,22,0.35,,,,,,,,,
,,2011 - 2012,150,289,1.93,,,,,,,,,
,,2012 - 2013,150,51,0.34,,,,,,,,,
,,2013 - 2014,,,,148,56,0.38,,,,,,
,,2014 - 2015,,,,103,39,0.38,,,,,,
,,2015 - 2016,,,,100,49,0.49,,,,,,
,,2016 - 2017,,,,101,45,0.45,,,,,,
,,2017 - 2018,,,,53,20,0.38,,,,,,
,,2018 - 2019,,,,71,35,0.49,,,,,,
,8. Dantewada,2000 - 2001,71,24,0.34,,,,,,,,,
,,2001 - 2002,62,22,0.35,,,,,,,,,
,,2002 - 2003,55,15,0.27,,,,,,,,,
,,2003 - 2004,54,20,0.37,,,,,,,,,
,,2004 - 2005,48,13,0.27,,,,,,,,,
,,2005 - 2006,36,11,0.31,,,,,,,,,
,,2006 - 2007,14,10,0.71,,,,,,,,,
,,2007 - 2008,16,5,0.31,,,,,,,,,
,,2008 - 2009,9,3,0.33,,,,,,,,,
,,2009 - 2010,15,3,0.2,,,,,,,,,
,,2010 - 2011,18,6,0.33,,,,,,,,,
,,2011 - 2012,17,25,1.47,,,,,,,,,
,,2012 - 2013,18,5,0.28,,,,,,,,,
,,2013 - 2014,,,,12,4,0.33,,,,,,
,,2014 - 2015,,,,19,8,0.42,,,,,,
,,2015 - 2016,,,,21,6,0.29,,,,,,
,,2016 - 2017,,,,14,6,0.43,,,,,,
,,2017 - 2018,,,,8,2,0.25,,,,,,
,,2018 - 2019,,,,4,2,0.5,,,,,,
,,2019 - 2020,,,,5,1,0.2,,,,,,
,,2020 - 2021,,,,3,0,0,,,,,,
,9. Dhamtari,2000 - 2001,15,4,0.27,,,,,,,,,
,,2001 - 2002,8,3,0.38,,,,,,,,,
,,2002 - 2003,6,2,0.33,,,,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,,,,
,,2004 - 2005,12,4,0.33,,,,,,,,,
,,2005 - 2006,12,4,0.33,,,,,,,,,
,,2006 - 2007,4,1,0.25,,,,,,,,,
,,2007 - 2008,4,1,0.25,,,,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,,2013 - 2014,,,,1,,0,,,,,,
,,2015 - 2016,,,,2,1,0.5,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2020 - 2021,,,,1,6,6,,,,,,
,10. Durg,2000 - 2001,69,21,0.3,,,,,,,,,
,,2001 - 2002,22,8,0.36,,,,,,,,,
,,2002 - 2003,72,25,0.35,,,,,,,,,
