State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,"2,609.00","2,531.00",0.97,186,147,0.79,,,,,,,,,,,,
,,2021 - 2022,"1,707.00","1,331.00",0.78,150,153,1.02,,,,,,,,,,,,
,,2022 - 2023,684,586,0.86,121,89,0.74,,,,,,,,,,,,
,7. East godavari,2000 - 2001,"60,611.00","41,034.00",0.68,196,12,0.06,,,,,,,,,,,,
,,2001 - 2002,"62,912.00","10,318.00",0.16,"1,223.00",442,0.36,,,,,,,,,,,,
,,2002 - 2003,"54,441.00","3,811.00",0.07,"3,961.00",206,0.05,,,,,,,,,,,,
,,2003 - 2004,"51,066.00","17,975.00",0.35,"2,134.00","1,315.00",0.62,,,,,,,,,,,,
,,2004 - 2005,"44,482.00","11,165.00",0.25,421,203,0.48,,,,,,,,,,,,
,,2005 - 2006,"44,862.00","8,210.00",0.18,"1,442.00",496,0.34,,,,,,,,,,,,
,,2006 - 2007,"48,368.00","12,624.00",0.26,"1,034.00",396,0.38,,,,,,,,,,,,
,,2007 - 2008,"48,000.00","10,000.00",0.21,"1,000.00",,0,,,,,,,,,,,,
,,2008 - 2009,"31,934.00","8,526.00",0.27,995,361,0.36,,,,,,,,,,,,
,,2009 - 2010,"32,258.00","1,419.00",0.04,"4,001.00","1,180.00",0.29,,,,,,,,,,,,
,,2010 - 2011,"21,387.00","4,470.00",0.21,"1,422.00",600,0.42,,,,,,,,,,,,
,,2011 - 2012,"27,849.00","2,674.00",0.1,"3,330.00","1,668.00",0.5,,,,,,,,,,,,
,,2012 - 2013,"21,000.00","7,000.00",0.33,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"18,625.00","2,403.00",0.13,"1,969.00","1,231.00",0.63,,,,,,,,,,,,
