State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,50,30,0.6,,,,,,,,,,,,,,,
,,2011 - 2012,50,30,0.6,10,10,1,,,,,,,,,,,,
,,2012 - 2013,50,40,0.8,20,20,1,,,,,,,,,,,,
,,2013 - 2014,50,40,0.8,,,,,,,,,,,,,,,
,,2014 - 2015,,,,50,40,0.8,,,,,,,,,,,,
,,2015 - 2016,50,40,0.8,,,,,,,,,,,,,,,
,,2016 - 2017,60,50,0.83,,,,,,,,,,,,,,,
,,2017 - 2018,60,50,0.83,,,,,,,,,,,,,,,
,,2018 - 2019,60,50,0.83,,,,,,,,,,,,,,,
,,2019 - 2020,60,50,0.83,,,,,,,,,,,,,,,
,,2020 - 2021,60,50,0.83,,,,,,,,,,,,,,,
,,2022 - 2023,10,8,0.8,,,,,,,,,,,,,,,
,5. Longleng,2014 - 2015,,,,30,30,1,,,,,,,,,,,,
,,2015 - 2016,30,30,1,,,,,,,,,,,,,,,
,,2016 - 2017,40,30,0.75,,,,,,,,,,,,,,,
,,2017 - 2018,40,30,0.75,,,,,,,,,,,,,,,
,,2018 - 2019,40,30,0.75,,,,,,,,,,,,,,,
,,2019 - 2020,40,30,0.75,,,,,,,,,,,,,,,
,,2020 - 2021,40,30,0.75,,,,,,,,,,,,,,,
,,2022 - 2023,10,8,0.8,,,,,,,,,,,,,,,
,6. Mokokchung,2006 - 2007,50,60,1.2,,,,,,,,,,,,,,,
,,2009 - 2010,60,50,0.83,30,20,0.67,,,,,,,,,,,,
,,2010 - 2011,60,40,0.67,,,,,,,,,,,,,,,
,,2011 - 2012,60,40,0.67,30,30,1,,,,,,,,,,,,
,,2012 - 2013,70,50,0.71,30,30,1,,,,,,,,,,,,
,,2013 - 2014,80,60,0.75,,,,,,,,,,,,,,,
,,2014 - 2015,,,,80,60,0.75,,,,,,,,,,,,
,,2015 - 2016,80,60,0.75,,,,,,,,,,,,,,,
,,2016 - 2017,80,60,0.75,,,,,,,,,,,,,,,
,,2017 - 2018,80,60,0.75,,,,,,,,,,,,,,,
,,2018 - 2019,80,60,0.75,,,,,,,,,,,,,,,
,,2019 - 2020,80,60,0.75,,,,,,,,,,,,,,,
,,2020 - 2021,80,60,0.75,,,,,,,,,,,,,,,
,,2021 - 2022,6,5,0.83,,,,,,,,,,,,,,,
,,2022 - 2023,30,25,0.83,,,,,,,,,,,,,,,
,7. Mon,2006 - 2007,50,60,1.2,,,,,,,,,,,,,,,
,,2009 - 2010,40,30,0.75,30,20,0.67,,,,,,,,,,,,
,,2010 - 2011,60,40,0.67,,,,,,,,,,,,,,,
,,2011 - 2012,60,40,0.67,20,20,1,,,,,,,,,,,,
,,2012 - 2013,60,50,0.83,30,30,1,,,,,,,,,,,,
,,2013 - 2014,60,50,0.83,,,,,,,,,,,,,,,
,,2014 - 2015,,,,60,50,0.83,,,,,,,,,,,,
,,2015 - 2016,60,50,0.83,,,,,,,,,,,,,,,
,,2016 - 2017,60,50,0.83,,,,,,,,,,,,,,,
,,2017 - 2018,60,50,0.83,,,,,,,,,,,,,,,
,,2018 - 2019,60,50,0.83,,,,,,,,,,,,,,,
,,2019 - 2020,60,50,0.83,,,,,,,,,,,,,,,
,,2020 - 2021,60,50,0.83,,,,,,,,,,,,,,,
,,2022 - 2023,20,17,0.85,,,,,,,,,,,,,,,
,8. Noklak,2022 - 2023,20,16,0.8,,,,,,,,,,,,,,,
,9. Nuiland,2022 - 2023,30,25,0.83,,,,,,,,,,,,,,,
,10. Peren,2008 - 2009,90,60,0.67,,,,,,,,,,,,,,,
,,2009 - 2010,60,50,0.83,40,20,0.5,,,,,,,,,,,,
,,2010 - 2011,70,50,0.71,,,,,,,,,,,,,,,
,,2011 - 2012,80,60,0.75,20,20,1,,,,,,,,,,,,
,,2012 - 2013,90,70,0.78,20,20,1,,,,,,,,,,,,
,,2013 - 2014,90,70,0.78,,,,,,,,,,,,,,,
,,2014 - 2015,,,,90,70,0.78,,,,,,,,,,,,
,,2015 - 2016,100,80,0.8,,,,,,,,,,,,,,,
,,2016 - 2017,90,70,0.78,,,,,,,,,,,,,,,
,,2017 - 2018,90,80,0.89,,,,,,,,,,,,,,,
,,2018 - 2019,90,80,0.89,,,,,,,,,,,,,,,
,,2019 - 2020,90,80,0.89,,,,,,,,,,,,,,,
,,2020 - 2021,90,80,0.89,,,,,,,,,,,,,,,
,,2022 - 2023,30,25,0.83,,,,,,,,,,,,,,,
,11. Phek,2006 - 2007,40,50,1.25,,,,,,,,,,,,,,,
,,2008 - 2009,20,10,0.5,,,,,,,,,,,,,,,
,,2009 - 2010,40,30,0.75,20,10,0.5,,,,,,,,,,,,
,,2010 - 2011,70,40,0.57,,,,,,,,,,,,,,,
,,2011 - 2012,70,40,0.57,10,10,1,,,,,,,,,,,,
,,2012 - 2013,80,60,0.75,20,20,1,,,,,,,,,,,,
,,2013 - 2014,80,70,0.88,,,,,,,,,,,,,,,
,,2014 - 2015,,,,80,70,0.88,,,,,,,,,,,,
,,2015 - 2016,90,80,0.89,,,,,,,,,,,,,,,
,,2016 - 2017,80,70,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,80,70,0.88,,,,,,,,,,,,,,,
,,2018 - 2019,80,70,0.88,,,,,,,,,,,,,,,
,,2019 - 2020,80,70,0.88,,,,,,,,,,,,,,,
,,2020 - 2021,80,70,0.88,,,,,,,,,,,,,,,
,,2022 - 2023,30,25,0.83,,,,,,,,,,,,,,,
,12. Shamator,2022 - 2023,15,12,0.8,,,,,,,,,,,,,,,
,13. Tseminyu,2022 - 2023,10,8,0.8,,,,,,,,,,,,,,,
,14. Tuensang,2006 - 2007,60,70,1.17,,,,,,,,,,,,,,,
,,2009 - 2010,40,30,0.75,,,,,,,,,,,,,,,
,,2010 - 2011,70,50,0.71,,,,,,,,,,,,,,,
,,2011 - 2012,70,50,0.71,,,,,,,,,,,,,,,
,,2012 - 2013,70,50,0.71,10,10,1,,,,,,,,,,,,
,,2013 - 2014,70,60,0.86,,,,,,,,,,,,,,,
,,2014 - 2015,,,,70,60,0.86,,,,,,,,,,,,
,,2015 - 2016,70,60,0.86,,,,,,,,,,,,,,,
,,2016 - 2017,70,50,0.71,,,,,,,,,,,,,,,
,,2017 - 2018,70,50,0.71,,,,,,,,,,,,,,,
,,2018 - 2019,70,50,0.71,,,,,,,,,,,,,,,
,,2019 - 2020,70,50,0.71,,,,,,,,,,,,,,,
,,2020 - 2021,70,50,0.71,,,,,,,,,,,,,,,
,,2022 - 2023,15,12,0.8,,,,,,,,,,,,,,,
,15. Wokha,2006 - 2007,50,60,1.2,,,,,,,,,,,,,,,
,,2009 - 2010,40,20,0.5,30,20,0.67,,,,,,,,,,,,
,,2010 - 2011,80,50,0.63,,,,,,,,,,,,,,,
,,2011 - 2012,80,50,0.63,20,20,1,,,,,,,,,,,,
,,2012 - 2013,80,70,0.88,30,30,1,,,,,,,,,,,,
,,2013 - 2014,80,60,0.75,,,,,,,,,,,,,,,
,,2014 - 2015,,,,80,60,0.75,,,,,,,,,,,,
,,2015 - 2016,80,60,0.75,,,,,,,,,,,,,,,
,,2016 - 2017,80,70,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,80,70,0.88,,,,,,,,,,,,,,,
,,2018 - 2019,80,70,0.88,,,,,,,,,,,,,,,
,,2019 - 2020,80,70,0.88,,,,,,,,,,,,,,,
,,2020 - 2021,80,70,0.88,,,,,,,,,,,,,,,
,,2022 - 2023,30,25,0.83,,,,,,,,,,,,,,,
,16. Zunheboto,2006 - 2007,40,60,1.5,,,,,,,,,,,,,,,
,,2008 - 2009,30,20,0.67,,,,,,,,,,,,,,,
,,2009 - 2010,50,30,0.6,20,10,0.5,,,,,,,,,,,,
,,2010 - 2011,50,30,0.6,,,,,,,,,,,,,,,
,,2011 - 2012,50,30,0.6,10,10,1,,,,,,,,,,,,
,,2012 - 2013,60,50,0.83,20,20,1,,,,,,,,,,,,
,,2013 - 2014,60,50,0.83,,,,,,,,,,,,,,,
,,2014 - 2015,,,,60,50,0.83,,,,,,,,,,,,
,,2015 - 2016,60,50,0.83,,,,,,,,,,,,,,,
,,2016 - 2017,60,50,0.83,,,,,,,,,,,,,,,
,,2017 - 2018,60,50,0.83,,,,,,,,,,,,,,,
,,2018 - 2019,60,50,0.83,,,,,,,,,,,,,,,
,,2019 - 2020,60,50,0.83,,,,,,,,,,,,,,,
,,2020 - 2021,60,50,0.83,,,,,,,,,,,,,,,
,,2021 - 2022,32,20,0.63,,,,,,,,,,,,,,,
,,2022 - 2023,20,16,0.8,,,,,,,,,,,,,,,
21. Odisha,1. Anugul,2000 - 2001,,,,"3,697.00",634,0.17,,,,,,,,,,,,
,,2001 - 2002,,,,"5,199.00",878.6,0.17,,,,,,,,,,,,
,,2002 - 2003,,,,"3,837.00",451.5,0.12,,,,,,,,,,,,
,,2003 - 2004,,,,"4,198.00",722.3,0.17,,,,,,,,,,,,
,,2004 - 2005,,,,,,,154,37,0.24,"2,233.00",388.5,0.17,,,,"1,640.00",314.9,0.19
,,2005 - 2006,,,,,,,29,3.9,0.13,"2,764.00",489.2,0.18,,,,"2,493.00",560.9,0.22
,,2006 - 2007,,,,,,,76,21.4,0.28,"2,682.00",477.4,0.18,,,,"1,713.00",346,0.2
,,2007 - 2008,,,,,,,107,30.8,0.29,"3,414.00",580.4,0.17,,,,986,199.2,0.2
,,2008 - 2009,,,,,,,98,20,0.2,"2,724.00",531.2,0.2,,,,"1,587.00",357.1,0.23
,,2009 - 2010,,,,,,,189,39.9,0.21,"2,715.00",445.3,0.16,,,,"1,473.00",372.7,0.25
,,2010 - 2011,,,,,,,89,24.1,0.27,"2,914.00",510,0.18,,,,"1,412.00",314.9,0.22
,,2011 - 2012,,,,,,,18,4.9,0.27,"2,458.00",471.9,0.19,,,,952,202.8,0.21
,,2012 - 2013,,,,,,,11,4.4,0.4,"1,992.00",384.5,0.19,,,,"1,182.00",318,0.27
,,2013 - 2014,,,,,,,53,22.3,0.42,"1,315.00",352.4,0.27,,,,"1,154.00",326.6,0.28
,,2014 - 2015,,,,,,,25,10.3,0.41,"1,509.00",421,0.28,,,,"1,432.00",465.4,0.33
,,2015 - 2016,,,,,,,181,76.4,0.42,"1,291.00",419.6,0.33,,,,620,193.4,0.31
,,2016 - 2017,,,,,,,52,26.2,0.5,"1,452.00",518.4,0.36,,,,"1,448.00",600.9,0.41
,,2017 - 2018,,,,,,,20,10,0.5,"1,803.00",706.8,0.39,,,,"1,225.00",487.6,0.4
,,2018 - 2019,,,,,,,53,26.1,0.49,"1,066.00",465.8,0.44,,,,710,285.4,0.4
,,2019 - 2020,,,,,,,40,18,0.45,839,342.3,0.41,,,,518,204.6,0.39
,,2020 - 2021,,,,,,,,,,"1,048.00",432.8,0.41,,,,440,186.1,0.42
,,2021 - 2022,,,,,,,87,45.6,0.52,"1,327.00",512.2,0.39,,,,970,390.9,0.4
,,2022 - 2023,,,,,,,28,11.5,0.41,779,323.3,0.42,,,,"1,437.00",589.2,0.41
,2. Balangir,2000 - 2001,,,,"6,658.00",778.1,0.12,,,,,,,,,,,,
,,2001 - 2002,,,,"7,795.00","1,391.50",0.18,,,,,,,,,,,,
,,2002 - 2003,,,,"6,243.00",674.7,0.11,,,,,,,,,,,,
,,2003 - 2004,,,,"6,760.00","1,066.60",0.16,,,,,,,,,,,,
,,2004 - 2005,,,,,,,38,4.6,0.12,"4,814.00",919.5,0.19,,,,"4,437.00",612.3,0.14
,,2005 - 2006,,,,,,,208,73.2,0.35,"4,241.00",721,0.17,,,,"3,681.00",515.3,0.14
,,2006 - 2007,,,,,,,122,22.4,0.18,"5,003.00","1,025.60",0.2,,,,"3,729.00",581.7,0.16
,,2007 - 2008,,,,,,,120,26.3,0.22,"5,877.00","1,163.60",0.2,,,,"1,500.00",303,0.2
,,2008 - 2009,,,,,,,257,73.8,0.29,"5,603.00","1,075.80",0.19,,,,"1,185.00",186,0.16
,,2009 - 2010,,,,,,,380,144.8,0.38,"7,368.00","1,598.90",0.22,,,,"3,249.00",623.8,0.19
,,2010 - 2011,,,,,,,197,84.7,0.43,"7,089.00","1,687.20",0.24,,,,"2,102.00",510.8,0.24
,,2011 - 2012,,,,,,,294,62.6,0.21,"5,100.00",872.1,0.17,,,,"1,117.00",131.8,0.12
,,2012 - 2013,,,,,,,416,262.9,0.63,"5,238.00","2,058.50",0.39,,,,"1,828.00",773.2,0.42
,,2013 - 2014,,,,,,,479,357.8,0.75,"6,759.00","2,426.50",0.36,,,,678,368.2,0.54
,,2014 - 2015,,,,,,,21,10.2,0.49,"5,441.00","1,779.20",0.33,,,,374,148.5,0.4
,,2015 - 2016,,,,,,,1,0.4,0.4,"6,105.00","1,330.90",0.22,,,,576,176.8,0.31
,,2016 - 2017,,,,,,,163,75.3,0.46,"5,035.00","2,099.60",0.42,,,,"2,057.00",845.4,0.41
,,2017 - 2018,,,,,,,268,96.5,0.36,"1,389.00",432,0.31,,,,"1,132.00",403,0.36
,,2018 - 2019,,,,,,,20,4.3,0.22,"1,372.00",399.3,0.29,,,,536,147.4,0.28
,,2019 - 2020,,,,,,,309,117.7,0.38,"1,287.00",360.4,0.28,,,,713,187.5,0.26
,,2020 - 2021,,,,,,,349,165.8,0.48,"1,647.00",551.7,0.33,,,,"1,211.00",542.5,0.45
,,2021 - 2022,,,,,,,445,147.3,0.33,"3,859.00","1,331.40",0.35,,,,"2,890.00","1,052.00",0.36
,,2022 - 2023,,,,,,,808,357.9,0.44,"3,046.00",980.8,0.32,,,,"2,981.00","1,007.60",0.34
,3. Baleshwar,2000 - 2001,,,,359,202.8,0.56,,,,,,,,,,,,
,,2001 - 2002,,,,833,278.6,0.33,,,,,,,,,,,,
,,2002 - 2003,,,,"1,041.00",344.4,0.33,,,,,,,,,,,,
,,2003 - 2004,,,,488,222.6,0.46,,,,,,,,,,,,
,,2004 - 2005,,,,,,,245,75,0.31,9,1.4,0.16,,,,306,115.4,0.38
,,2005 - 2006,,,,,,,361,117.3,0.32,13,2.7,0.21,,,,178,55.2,0.31
,,2006 - 2007,,,,,,,278,96.5,0.35,42,10.8,0.26,,,,253,111.8,0.44
,,2007 - 2008,,,,,,,468,136.7,0.29,6,1.2,0.2,,,,264,109,0.41
,,2008 - 2009,,,,,,,128,49.9,0.39,60,17.8,0.3,,,,208,88.8,0.43
,,2009 - 2010,,,,,,,254,83.6,0.33,16,2.5,0.16,,,,472,220,0.47
,,2010 - 2011,,,,,,,974,392.5,0.4,92,23.8,0.26,,,,308,166.3,0.54
,,2011 - 2012,,,,,,,639,241.5,0.38,50,13.3,0.27,,,,291,139.4,0.48
,,2012 - 2013,,,,,,,614,227.2,0.37,4,1.2,0.3,,,,334,176.4,0.53
,,2013 - 2014,,,,,,,174,80.4,0.46,17,2.6,0.15,,,,16,7.6,0.48
,,2014 - 2015,,,,,,,192,73.5,0.38,4,1.4,0.35,,,,14,5.9,0.42
,,2015 - 2016,,,,,,,"1,244.00",639.4,0.51,,,,,,,117,45.5,0.39
,,2016 - 2017,,,,,,,"2,456.00",854.7,0.35,1,0.4,0.4,,,,12,2.3,0.19
,,2017 - 2018,,,,,,,"1,043.00",558,0.53,1,0.4,0.4,,,,,,
,,2018 - 2019,,,,,,,107,40.2,0.38,1,0.3,0.3,,,,3,1.3,0.43
,,2019 - 2020,,,,,,,43,16.5,0.38,,,,,,,,,
,,2020 - 2021,,,,,,,127,44.8,0.35,,,,,,,,,
,,2021 - 2022,,,,,,,764,262.1,0.34,2,0.8,0.4,,,,,,
,,2022 - 2023,,,,,,,472,184.6,0.39,,,,,,,,,
,4. Bargarh,2000 - 2001,,,,"6,295.00","1,505.90",0.24,,,,,,,,,,,,
,,2001 - 2002,,,,"7,021.00","1,502.60",0.21,,,,,,,,,,,,
,,2002 - 2003,,,,"5,890.00","1,543.00",0.26,,,,,,,,,,,,
,,2003 - 2004,,,,"7,088.00","1,757.00",0.25,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,"6,952.00","2,078.60",0.3,,,,,,
,,2005 - 2006,,,,,,,1,0.4,0.4,"6,896.00","1,889.50",0.27,,,,1,0.4,0.4
,,2006 - 2007,,,,,,,6,1.5,0.25,"6,572.00","1,715.30",0.26,,,,1,0.4,0.4
,,2007 - 2008,,,,,,,9,2.6,0.29,"8,144.00","2,435.10",0.3,,,,9,3.2,0.36
,,2008 - 2009,,,,,,,10,3.2,0.32,"7,752.00","2,271.30",0.29,,,,1,0.1,0.1
,,2009 - 2010,,,,,,,15,5,0.33,"7,490.00","2,052.30",0.27,,,,1,0.2,0.2
,,2010 - 2011,,,,,,,8,2.1,0.26,"9,136.00","2,713.40",0.3,,,,4,0.9,0.23
,,2011 - 2012,,,,,,,19,6.8,0.36,"7,826.00","2,042.60",0.26,,,,,,
,,2012 - 2013,,,,,,,31,11.3,0.36,"7,034.00","2,103.20",0.3,,,,,,
,,2013 - 2014,,,,,,,23,9.2,0.4,"9,556.00","3,268.20",0.34,,,,13,4.7,0.36
,,2014 - 2015,,,,,,,21,9.1,0.43,"8,125.00","1,811.90",0.22,,,,18,4.8,0.27
,,2015 - 2016,,,,,,,39,16.5,0.42,"6,595.00","1,774.10",0.27,,,,2,0.8,0.4
,,2016 - 2017,,,,,,,27,16.1,0.6,"8,868.00","3,946.30",0.45,,,,,,
,,2017 - 2018,,,,,,,46,17.6,0.38,"8,888.00","2,710.80",0.3,,,,67,23.1,0.34
,,2018 - 2019,,,,,,,20,7.2,0.36,"4,165.00","1,137.00",0.27,,,,,,
,,2019 - 2020,,,,,,,118,33.7,0.29,"2,168.00",704.6,0.33,,,,2,0.5,0.25
,,2020 - 2021,,,,,,,2,0.8,0.4,"1,846.00",570.4,0.31,,,,13,5.3,0.41
,,2021 - 2022,,,,,,,54,15.8,0.29,"4,512.00","1,376.20",0.31,,,,26,10.9,0.42
,,2022 - 2023,,,,,,,36,12.5,0.35,"2,136.00",730.5,0.34,,,,4,2.1,0.53
,5. Bhadrak,2000 - 2001,,,,"1,981.00",445,0.22,,,,,,,,,,,,
,,2001 - 2002,,,,"2,850.00",641.8,0.23,,,,,,,,,,,,
,,2002 - 2003,,,,"3,196.00",634.1,0.2,,,,,,,,,,,,
,,2003 - 2004,,,,"2,589.00",780.8,0.3,,,,,,,,,,,,
,,2004 - 2005,,,,,,,64,26.4,0.41,,,,,,,"1,211.00",333,0.27
,,2005 - 2006,,,,,,,154,74.2,0.48,,,,,,,"1,551.00",318,0.21
,,2006 - 2007,,,,,,,72,19.5,0.27,,,,,,,"1,646.00",403.3,0.25
,,2007 - 2008,,,,,,,202,62.6,0.31,,,,,,,"3,312.00",947.2,0.29
,,2008 - 2009,,,,,,,255,83.1,0.33,2,0.5,0.25,,,,"1,320.00",434.3,0.33
,,2009 - 2010,,,,,,,117,38.6,0.33,,,,,,,420,121.4,0.29
,,2010 - 2011,,,,,,,282,137.1,0.49,2,0.4,0.2,,,,"1,137.00",434.3,0.38
,,2011 - 2012,,,,,,,65,18.2,0.28,,,,,,,"1,085.00",298.4,0.28
,,2012 - 2013,,,,,,,98,40.7,0.42,2,1.1,0.55,,,,711,267.3,0.38
,,2013 - 2014,,,,,,,99,47.8,0.48,1,0.5,0.5,,,,"1,069.00",568.7,0.53
,,2014 - 2015,,,,,,,122,65.9,0.54,,,,,,,"2,143.00","1,446.50",0.67
,,2015 - 2016,,,,,,,291,158.3,0.54,,,,,,,"1,204.00",693.5,0.58
,,2016 - 2017,,,,,,,394,254.9,0.65,,,,,,,"1,988.00","1,059.60",0.53
,,2017 - 2018,,,,,,,925,469.9,0.51,,,,,,,425,231.6,0.54
,,2018 - 2019,,,,,,,290,137.8,0.48,1,0.3,0.3,,,,56,30,0.54
,,2019 - 2020,,,,,,,297,145.5,0.49,,,,,,,49,29.2,0.6
,,2020 - 2021,,,,,,,461,130.9,0.28,,,,,,,60,29.4,0.49
,,2021 - 2022,,,,,,,538,193.7,0.36,,,,,,,444,159,0.36
,,2022 - 2023,,,,,,,116,48.1,0.41,,,,,,,75,36.9,0.49
,6. Boudh,2000 - 2001,,,,841,122.5,0.15,,,,,,,,,,,,
,,2001 - 2002,,,,612,100.4,0.16,,,,,,,,,,,,
,,2002 - 2003,,,,354,49.6,0.14,,,,,,,,,,,,
,,2003 - 2004,,,,710,210,0.3,,,,,,,,,,,,
,,2004 - 2005,,,,,,,3,0.2,0.07,17,2.4,0.14,,,,482,99.8,0.21
,,2005 - 2006,,,,,,,31,5.1,0.16,21,2.9,0.14,,,,575,106.4,0.19
,,2006 - 2007,,,,,,,16,6.1,0.38,38,5.2,0.14,,,,972,226.5,0.23
,,2007 - 2008,,,,,,,10,2.4,0.24,32,5.3,0.17,,,,635,128.9,0.2
,,2008 - 2009,,,,,,,88,26.1,0.3,70,10.4,0.15,,,,623,105.9,0.17
,,2009 - 2010,,,,,,,11,2.3,0.21,40,8.1,0.2,,,,447,85.4,0.19
,,2010 - 2011,,,,,,,18,4.7,0.26,28,5.5,0.2,,,,725,112.4,0.16
,,2011 - 2012,,,,,,,5,0.5,0.1,30,3.6,0.12,,,,863,114.8,0.13
,,2012 - 2013,,,,,,,,,,,,,,,,871,237.8,0.27
,,2013 - 2014,,,,,,,,,,4,0.5,0.13,,,,334,71.1,0.21
,,2014 - 2015,,,,,,,57,9.5,0.17,4,0.9,0.23,,,,117,23.4,0.2
,,2015 - 2016,,,,,,,,,,,,,,,,91,16.7,0.18
,,2016 - 2017,,,,,,,10,5.6,0.56,25,13.2,0.53,,,,362,106.1,0.29
,,2017 - 2018,,,,,,,4,0.8,0.2,6,2.6,0.43,,,,225,63.7,0.28
,,2018 - 2019,,,,,,,7,2.3,0.33,1,0.1,0.1,,,,60,11.3,0.19
,,2019 - 2020,,,,,,,28,8.4,0.3,3,0.5,0.17,,,,170,34,0.2
,,2020 - 2021,,,,,,,34,13.2,0.39,2,0.4,0.2,,,,196,43.9,0.22
,,2021 - 2022,,,,,,,13,3.6,0.28,2,0.3,0.15,,,,352,75.7,0.22
,,2022 - 2023,,,,,,,19,5.3,0.28,2,0.3,0.15,,,,263,58.1,0.22
,7. Cuttack,2000 - 2001,,,,"9,869.00","3,502.80",0.35,,,,,,,,,,,,
,,2001 - 2002,,,,"17,784.00","8,396.20",0.47,,,,,,,,,,,,
,,2002 - 2003,,,,"11,253.00","4,523.60",0.4,,,,,,,,,,,,
,,2003 - 2004,,,,"20,493.00","7,779.70",0.38,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,546.00",861.1,0.56,14,1.1,0.08,,,,"15,139.00","5,813.40",0.38
,,2005 - 2006,,,,,,,"1,981.00",905.3,0.46,19,2.1,0.11,,,,"17,689.00","5,465.90",0.31
,,2006 - 2007,,,,,,,"1,943.00",810.2,0.42,19,2.9,0.15,,,,"14,882.00","6,711.80",0.45
,,2007 - 2008,,,,,,,"3,982.00","1,887.50",0.47,52,10.1,0.19,,,,"16,369.00","7,284.20",0.44
,,2008 - 2009,,,,,,,"3,775.00","1,717.60",0.45,55,12.2,0.22,,,,"14,398.00","5,557.60",0.39
,,2009 - 2010,,,,,,,"2,591.00","1,077.90",0.42,109,17.5,0.16,,,,"17,302.00","6,644.00",0.38
,,2010 - 2011,,,,,,,"2,454.00","1,047.90",0.43,196,44.5,0.23,,,,"10,693.00","3,838.80",0.36
,,2011 - 2012,,,,,,,"1,157.00",476.7,0.41,18,4.7,0.26,,,,"16,222.00","6,115.70",0.38
,,2012 - 2013,,,,,,,481,207.8,0.43,4,1.5,0.38,,,,"13,769.00","5,562.70",0.4
,,2013 - 2014,,,,,,,300,132,0.44,,,,,,,"3,021.00","1,160.10",0.38
,,2014 - 2015,,,,,,,276,138.3,0.5,,,,,,,"3,900.00","1,914.90",0.49
,,2015 - 2016,,,,,,,"2,021.00","1,040.80",0.51,,,,,,,"1,923.00",719.2,0.37
,,2016 - 2017,,,,,,,"6,060.00","4,072.30",0.67,,,,,,,"3,445.00","1,254.00",0.36
,,2017 - 2018,,,,,,,"3,836.00","2,205.70",0.58,,,,,,,"1,456.00",548.9,0.38
,,2018 - 2019,,,,,,,329,134.6,0.41,,,,,,,"1,946.00",895.2,0.46
,,2019 - 2020,,,,,,,"1,132.00",240,0.21,,,,,,,"6,393.00","3,605.70",0.56
,,2020 - 2021,,,,,,,"1,268.00",185.1,0.15,,,,,,,"4,477.00","2,345.90",0.52
,,2021 - 2022,,,,,,,"1,173.00",411.7,0.35,,,,,,,"5,203.00","2,278.90",0.44
,,2022 - 2023,,,,,,,"2,574.00","1,016.70",0.39,,,,,,,"3,925.00","1,683.80",0.43
,8. Deogarh,2000 - 2001,,,,973,228.8,0.24,,,,,,,,,,,,
,,2001 - 2002,,,,"1,447.00",315.1,0.22,,,,,,,,,,,,
,,2002 - 2003,,,,"1,207.00",312.9,0.26,,,,,,,,,,,,
,,2003 - 2004,,,,"1,740.00",367.6,0.21,,,,,,,,,,,,
,,2004 - 2005,,,,,,,1,0.3,0.3,"1,308.00",344,0.26,,,,14,2.2,0.16
,,2005 - 2006,,,,,,,31,12.6,0.41,"1,594.00",384.2,0.24,,,,59,20.1,0.34
,,2006 - 2007,,,,,,,3,0.8,0.27,"2,030.00",586.7,0.29,,,,68,28,0.41
,,2007 - 2008,,,,,,,1,0.3,0.3,"1,190.00",288,0.24,,,,55,16.1,0.29
,,2008 - 2009,,,,,,,2,1,0.5,"1,240.00",336,0.27,,,,44,16.3,0.37
,,2009 - 2010,,,,,,,18,7,0.39,905,241.6,0.27,,,,51,17.6,0.35
,,2010 - 2011,,,,,,,5,1.9,0.38,"1,216.00",372.1,0.31,,,,103,41.2,0.4
,,2011 - 2012,,,,,,,5,1.9,0.38,714,162.8,0.23,,,,40,11.8,0.3
,,2012 - 2013,,,,,,,11,4.4,0.4,698,189.9,0.27,,,,66,30.6,0.46
,,2013 - 2014,,,,,,,,,,71,22.3,0.31,,,,5,1.5,0.3
,,2014 - 2015,,,,,,,,,,139,47,0.34,,,,3,0.9,0.3
,,2015 - 2016,,,,,,,1,0.3,0.3,246,81.2,0.33,,,,,,
,,2016 - 2017,,,,,,,3,0.9,0.3,"1,017.00",360,0.35,,,,8,4.4,0.55
,,2017 - 2018,,,,,,,,,,823,380.2,0.46,,,,91,39.3,0.43
,,2018 - 2019,,,,,,,,,,179,64.1,0.36,,,,6,1.9,0.32
,,2019 - 2020,,,,,,,20,8.5,0.43,135,34.8,0.26,,,,,,
,,2020 - 2021,,,,,,,,,,30,9.1,0.3,,,,,,
,,2021 - 2022,,,,,,,1,0.5,0.5,"1,180.00",424.8,0.36,,,,19,6.7,0.35
,,2022 - 2023,,,,,,,10,3,0.3,135,46.3,0.34,,,,,,
,9. Dhenkanal,2000 - 2001,,,,"2,776.00",422.9,0.15,,,,,,,,,,,,
,,2001 - 2002,,,,"6,898.00","2,139.30",0.31,,,,,,,,,,,,
,,2002 - 2003,,,,"4,510.00","1,122.20",0.25,,,,,,,,,,,,
,,2003 - 2004,,,,"6,259.00","2,201.30",0.35,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,55,8.8,0.16,,,,"6,046.00","1,608.20",0.27
,,2005 - 2006,,,,,,,2,0.2,0.1,118,34.5,0.29,,,,"5,948.00","1,629.80",0.27
