State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2004 - 2005,,,,"2,196.00","1,432.00",0.65,254,24,0.09,,,,,,,,,
,,2005 - 2006,,,,"2,951.00","1,989.00",0.67,247,41,0.17,,,,,,,,,
,,2006 - 2007,,,,"2,497.00","1,413.00",0.57,123,31,0.25,,,,,,,,,
,,2007 - 2008,,,,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2008 - 2009,,,,"6,693.00","2,905.00",0.43,5,1,0.2,,,,,,,,,
,,2009 - 2010,,,,"6,770.00","2,254.00",0.33,133,33,0.25,,,,,,,,,
,,2010 - 2011,,,,"5,753.00","2,025.00",0.35,29,5,0.17,,,,,,,,,
,,2011 - 2012,,,,"4,848.00","2,487.00",0.51,25,6,0.24,,,,,,,,,
,,2012 - 2013,,,,"5,000.00","3,000.00",0.6,,,,,,,,,,,,
,,2013 - 2014,,,,"9,201.00","3,322.00",0.36,15,7,0.47,,,,,,,,,
,,2014 - 2015,,,,"15,049.00","10,775.00",0.72,542,148,0.27,,,,,,,,,
,,2015 - 2016,,,,"5,071.00","2,500.00",0.49,463,292,0.63,,,,,,,,,
,,2016 - 2017,,,,"4,673.00","2,019.00",0.43,19,4,0.21,,,,,,,,,
,,2017 - 2018,,,,"3,372.00","1,713.00",0.51,3,1,0.33,,,,,,,,,
,,2018 - 2019,,,,"4,265.00","2,768.00",0.65,28,8,0.29,,,,,,,,,
,,2019 - 2020,,,,"7,691.00","5,061.00",0.66,29,6,0.21,,,,,,,,,
,,2020 - 2021,,,,"2,219.00","1,019.00",0.46,40,8,0.2,,,,,,,,,
,,2021 - 2022,,,,"3,604.00","1,398.00",0.39,8,1,0.13,,,,,,,,,
,,2022 - 2023,,,,"3,264.00","1,325.00",0.41,15,5,0.33,,,,,,,,,
,11. Kakinada,2022 - 2023,,,,194,58,0.3,99,17,0.17,,,,,,,,,
,12. Konaseema,2022 - 2023,,,,1,0.3,0.3,,,,,,,,,,,,
,13. Krishna,2000 - 2001,,,,470,98,0.21,"3,292.00",764,0.23,,,,,,,,,
,,2001 - 2002,,,,187,47,0.25,"1,815.00",305,0.17,,,,,,,,,
,,2002 - 2003,,,,303,55,0.18,"1,395.00",134,0.1,,,,,,,,,
,,2003 - 2004,,,,"1,319.00",272,0.21,"3,388.00",993,0.29,,,,,,,,,
,,2004 - 2005,,,,809,191,0.24,990,94,0.09,,,,,,,,,
,,2005 - 2006,,,,190,44,0.23,801,135,0.17,,,,,,,,,
,,2006 - 2007,,,,158,31,0.2,442,113,0.26,,,,,,,,,
,,2008 - 2009,,,,407,73,0.18,198,39,0.2,,,,,,,,,
,,2009 - 2010,,,,323,64,0.2,135,34,0.25,,,,,,,,,
,,2010 - 2011,,,,285,65,0.23,414,70,0.17,,,,,,,,,
