State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2022 - 2023,15,3.4,0.23,,,,,,,93,24.6,0.26,,,,8,1.7,0.21
,10. Gajapati,2000 - 2001,,,,,,,797,180.3,0.23,,,,,,,,,
,,2001 - 2002,,,,,,,"1,984.00",634.3,0.32,,,,,,,,,
,,2002 - 2003,,,,,,,694,157.4,0.23,,,,,,,,,
,,2003 - 2004,,,,,,,"1,154.00",250,0.22,,,,,,,,,
,,2004 - 2005,720,144.7,0.2,,,,,,,35,7.2,0.21,,,,1,0.1,0.1
,,2005 - 2006,791,139.2,0.18,,,,,,,15,2.9,0.19,,,,4,0.3,0.08
,,2006 - 2007,617,108.6,0.18,,,,,,,13,4.2,0.32,,,,,,
,,2007 - 2008,"2,101.00",376.1,0.18,,,,,,,28,3.5,0.13,,,,9,1.1,0.12
,,2008 - 2009,468,82.4,0.18,,,,,,,23,4.1,0.18,,,,,,
,,2009 - 2010,"1,390.00",297.5,0.21,,,,,,,2,0.3,0.15,,,,21,2,0.1
,,2010 - 2011,982,174.8,0.18,,,,,,,36,8.9,0.25,,,,3,0.5,0.17
,,2011 - 2012,601,161.1,0.27,,,,,,,5,0.2,0.04,,,,,,
,,2012 - 2013,730,189.1,0.26,,,,,,,,,,,,,,,
,,2013 - 2014,"1,013.00",207.7,0.21,,,,,,,12,1.4,0.12,,,,,,
,,2014 - 2015,"1,148.00",250.3,0.22,,,,,,,,,,,,,,,
,,2015 - 2016,857,186.8,0.22,,,,,,,4,0.7,0.18,,,,,,
,,2016 - 2017,505,120.7,0.24,,,,,,,206,61.6,0.3,,,,,,
,,2017 - 2018,865,224,0.26,,,,,,,,,,,,,,,
,,2018 - 2019,446,99.5,0.22,,,,,,,,,,,,,,,
,,2019 - 2020,293,51.6,0.18,,,,,,,,,,,,,,,
,,2020 - 2021,"1,674.00",354.9,0.21,,,,,,,,,,,,,,,
,,2021 - 2022,"2,226.00",471.9,0.21,,,,,,,,,,,,,,,
,,2022 - 2023,"2,401.00",583.4,0.24,,,,,,,,,,,,,,,
,11. Ganjam,2000 - 2001,,,,,,,811,111.3,0.14,,,,,,,,,
,,2001 - 2002,,,,,,,"2,330.00",510.7,0.22,,,,,,,,,
,,2002 - 2003,,,,,,,"3,923.00",576.1,0.15,,,,,,,,,
,,2003 - 2004,,,,,,,"3,013.00",484.4,0.16,,,,,,,,,
,,2004 - 2005,"3,032.00",600.3,0.2,,,,,,,328,39.7,0.12,,,,1,,0
,,2005 - 2006,"4,400.00","1,038.40",0.24,,,,,,,423,69.4,0.16,,,,4,0.7,0.18
,,2006 - 2007,"3,262.00",596.9,0.18,,,,,,,394,47.7,0.12,,,,6,0.6,0.1
,,2007 - 2008,"4,158.00",731.8,0.18,,,,,,,147,17.5,0.12,,,,13,5,0.38
,,2008 - 2009,"1,643.00",305.6,0.19,,,,,,,103,11.8,0.11,,,,5,0.6,0.12
,,2009 - 2010,"3,248.00",620.4,0.19,,,,,,,128,23.7,0.19,,,,16,2,0.13
,,2010 - 2011,"2,448.00",472.5,0.19,,,,,,,205,18.5,0.09,,,,29,7.7,0.27
,,2011 - 2012,"1,039.00",186,0.18,,,,,,,33,3.5,0.11,,,,69,12,0.17
,,2012 - 2013,384,72.6,0.19,,,,,,,65,7.9,0.12,,,,6,1,0.17
,,2013 - 2014,"1,806.00",310.6,0.17,,,,,,,32,3.6,0.11,,,,,,
,,2014 - 2015,906,145.9,0.16,,,,,,,28,5.1,0.18,,,,,,
,,2015 - 2016,"1,850.00",294.2,0.16,,,,,,,34,4,0.12,,,,18,3.1,0.17
,,2016 - 2017,310,66,0.21,,,,,,,5,0.6,0.12,,,,,,
,,2017 - 2018,555,104.9,0.19,,,,,,,2,0.6,0.3,,,,304,54.4,0.18
,,2018 - 2019,"1,482.00",266.8,0.18,,,,,,,2,0.3,0.15,,,,,,
,,2019 - 2020,"1,809.00",349.1,0.19,,,,,,,,,,,,,,,
,,2020 - 2021,"2,995.00",461.2,0.15,,,,,,,,,,,,,,,
,,2021 - 2022,"3,048.00",502.9,0.16,,,,,,,,,,,,,,,
,,2022 - 2023,"3,670.00",623.9,0.17,,,,,,,68,8.7,0.13,,,,3,0.5,0.17
,12. Jagatsinghapur,2000 - 2001,,,,,,,15,8,0.53,,,,,,,,,
,,2001 - 2002,,,,,,,22,5.3,0.24,,,,,,,,,
,,2002 - 2003,,,,,,,49,10.1,0.21,,,,,,,,,
,,2003 - 2004,,,,,,,53,10.2,0.19,,,,,,,,,
,,2004 - 2005,83,30.8,0.37,,,,,,,,,,,,,,,
,,2005 - 2006,70,23.3,0.33,,,,,,,,,,,,,1,0.5,0.5
,,2006 - 2007,86,35.7,0.42,,,,,,,,,,,,,,,
,,2007 - 2008,73,29.3,0.4,,,,,,,,,,,,,3,0.5,0.17
,,2008 - 2009,29,9.5,0.33,,,,,,,,,,,,,2,0.3,0.15
,,2009 - 2010,16,6.3,0.39,,,,,,,,,,,,,1,0.3,0.3
,,2010 - 2011,9,3.2,0.36,,,,,,,,,,,,,,,
,,2011 - 2012,6,3.2,0.53,,,,,,,,,,,,,,,
,,2012 - 2013,3,2.2,0.73,,,,,,,,,,,,,,,
,,2013 - 2014,4,2,0.5,,,,,,,,,,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,,,,,,,,,,
,,2015 - 2016,7,1.9,0.27,,,,,,,,,,,,,,,
,,2021 - 2022,2,0.7,0.35,,,,,,,,,,,,,,,
,13. Jajapur,2000 - 2001,,,,,,,2,0.2,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,8,0.5,0.06,,,,,,,,,
,,2002 - 2003,,,,,,,20,9.1,0.46,,,,,,,,,
,,2003 - 2004,,,,,,,9,0.6,0.07,,,,,,,,,
,,2004 - 2005,6,1.5,0.25,,,,,,,,,,,,,21,0.9,0.04
,,2005 - 2006,10,1.6,0.16,,,,,,,,,,,,,,,
,,2006 - 2007,4,0.6,0.15,,,,,,,,,,,,,2,0.3,0.15
,,2007 - 2008,1,0.1,0.1,,,,,,,,,,,,,,,
,,2008 - 2009,,,,,,,,,,12,6.5,0.54,,,,6,0.4,0.07
,,2009 - 2010,,,,,,,,,,,,,,,,2,0.3,0.15
,,2010 - 2011,1,0.4,0.4,,,,,,,,,,,,,4,0.6,0.15
,,2011 - 2012,2,0.2,0.1,,,,,,,,,,,,,2,0.1,0.05
,,2012 - 2013,,,,,,,,,,,,,,,,10,2.2,0.22
,,2020 - 2021,4,1.5,0.38,,,,,,,,,,,,,,,
,14. Jharsuguda,2000 - 2001,,,,,,,733,50.4,0.07,,,,,,,,,
,,2001 - 2002,,,,,,,693,215.5,0.31,,,,,,,,,
,,2002 - 2003,,,,,,,699,91.6,0.13,,,,,,,,,
,,2003 - 2004,,,,,,,963,352.2,0.37,,,,,,,,,
,,2004 - 2005,1,0.5,0.5,,,,,,,"2,018.00",559,0.28,,,,,,
,,2005 - 2006,16,9.2,0.58,,,,,,,"3,184.00",971.1,0.3,,,,,,
,,2006 - 2007,,,,,,,,,,"1,846.00",564.9,0.31,,,,,,
,,2007 - 2008,2,0.3,0.15,,,,,,,"1,192.00",342.1,0.29,,,,,,
,,2008 - 2009,,,,,,,,,,663,190.3,0.29,,,,,,
,,2009 - 2010,3,0.4,0.13,,,,,,,"2,755.00","1,206.70",0.44,,,,1,0.2,0.2
,,2010 - 2011,6,2.1,0.35,,,,,,,"2,603.00",502.4,0.19,,,,4,0.7,0.18
,,2011 - 2012,1,0.1,0.1,,,,,,,399,51.1,0.13,,,,1,0.2,0.2
,,2012 - 2013,,,,,,,,,,304,97.6,0.32,,,,,,
,,2013 - 2014,6,1.5,0.25,,,,,,,347,117.6,0.34,,,,,,
,,2014 - 2015,3,1.1,0.37,,,,,,,87,29.5,0.34,,,,,,
,,2015 - 2016,,,,,,,,,,278,52.8,0.19,,,,,,
,,2016 - 2017,,,,,,,,,,362,145.2,0.4,,,,,,
,,2017 - 2018,,,,,,,,,,449,158.5,0.35,,,,18,5.7,0.32
,,2018 - 2019,,,,,,,,,,67,9.6,0.14,,,,,,
,,2019 - 2020,,,,,,,,,,146,33.3,0.23,,,,,,
,,2020 - 2021,,,,,,,,,,183,43.7,0.24,,,,,,
,,2021 - 2022,43,14.9,0.35,,,,,,,657,180.7,0.28,,,,,,
,,2022 - 2023,,,,,,,,,,208,59.9,0.29,,,,,,
,15. Kalahandi,2000 - 2001,,,,,,,"2,598.00",270.2,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,"2,421.00",343.3,0.14,,,,,,,,,
,,2002 - 2003,,,,,,,"2,071.00",226.9,0.11,,,,,,,,,
,,2003 - 2004,,,,,,,"1,493.00",188.2,0.13,,,,,,,,,
,,2004 - 2005,1,0.1,0.1,,,,,,,860,86,0.1,,,,,,
,,2005 - 2006,32,2.6,0.08,,,,,,,820,92.7,0.11,,,,,,
,,2006 - 2007,30,2.4,0.08,,,,,,,588,70,0.12,,,,,,
,,2007 - 2008,6,0.7,0.12,,,,,,,718,88.3,0.12,,,,18,3.1,0.17
,,2008 - 2009,15,1.2,0.08,,,,,,,361,39.7,0.11,,,,,,
,,2009 - 2010,,,,,,,,,,483,66.7,0.14,,,,1,0.1,0.1
,,2010 - 2011,1,0.1,0.1,,,,,,,757,126.4,0.17,,,,,,
,,2011 - 2012,,,,,,,,,,338,32.8,0.1,,,,,,
,,2012 - 2013,1,0.3,0.3,,,,,,,363,53,0.15,,,,,,
,,2013 - 2014,1,0.1,0.1,,,,,,,194,25.2,0.13,,,,,,
,,2014 - 2015,6,0.9,0.15,,,,,,,77,6.3,0.08,,,,,,
,,2015 - 2016,,,,,,,,,,100,9.9,0.1,,,,,,
,,2016 - 2017,,,,,,,,,,177,19.5,0.11,,,,,,
,,2017 - 2018,,,,,,,,,,123,18.7,0.15,,,,,,
,,2018 - 2019,,,,,,,,,,92,16.4,0.18,,,,,,
,,2019 - 2020,,,,,,,,,,79,15.6,0.2,,,,,,
,,2020 - 2021,,,,,,,,,,196,42.3,0.22,,,,,,
,,2021 - 2022,54,16,0.3,,,,,,,648,127.7,0.2,,,,,,
,,2022 - 2023,,,,,,,,,,227,46.8,0.21,,,,,,
,16. Kandhamal,2000 - 2001,,,,,,,396,48.7,0.12,,,,,,,,,
,,2001 - 2002,,,,,,,373,86.2,0.23,,,,,,,,,
,,2002 - 2003,,,,,,,180,19.1,0.11,,,,,,,,,
,,2003 - 2004,,,,,,,269,47.6,0.18,,,,,,,,,
,,2004 - 2005,,,,,,,,,,186,36.8,0.2,,,,,,
,,2005 - 2006,,,,,,,,,,483,119.3,0.25,,,,,,
,,2006 - 2007,,,,,,,,,,386,77.2,0.2,,,,,,
,,2007 - 2008,,,,,,,,,,284,69.9,0.25,,,,,,
,,2008 - 2009,,,,,,,,,,119,39.5,0.33,,,,,,
,,2009 - 2010,,,,,,,,,,55,11.3,0.21,,,,,,
,,2010 - 2011,,,,,,,,,,77,7.8,0.1,,,,,,
,,2011 - 2012,,,,,,,,,,67,5.3,0.08,,,,,,
,,2012 - 2013,,,,,,,,,,18,4.3,0.24,,,,,,
,,2013 - 2014,,,,,,,,,,29,5.7,0.2,,,,,,
,,2014 - 2015,,,,,,,,,,17,3.9,0.23,,,,,,
,,2015 - 2016,,,,,,,,,,12,2.3,0.19,,,,,,
,,2016 - 2017,,,,,,,,,,71,12.8,0.18,,,,,,
,,2020 - 2021,,,,,,,,,,18,5.3,0.29,,,,,,
,,2021 - 2022,,,,,,,,,,12,2.5,0.21,,,,,,
,,2022 - 2023,,,,,,,,,,4,1.1,0.28,,,,,,
,17. Kendrapara,2000 - 2001,,,,,,,23,10.3,0.45,,,,,,,,,
,,2001 - 2002,,,,,,,28,16.8,0.6,,,,,,,,,
,,2002 - 2003,,,,,,,45,21.5,0.48,,,,,,,,,
,,2003 - 2004,,,,,,,72,33.6,0.47,,,,,,,,,
,,2004 - 2005,150,60.9,0.41,,,,,,,,,,,,,,,
,,2005 - 2006,84,36.3,0.43,,,,,,,,,,,,,,,
,,2006 - 2007,106,39.2,0.37,,,,,,,,,,,,,,,
,,2007 - 2008,138,48,0.35,,,,,,,,,,,,,,,
,,2008 - 2009,107,38.7,0.36,,,,,,,,,,,,,,,
,,2009 - 2010,117,46.8,0.4,,,,,,,,,,,,,,,
,,2010 - 2011,53,19.5,0.37,,,,,,,,,,,,,,,
,,2011 - 2012,38,20.1,0.53,,,,,,,,,,,,,,,
,,2012 - 2013,46,24.2,0.53,,,,,,,,,,,,,,,
,,2013 - 2014,16,7.5,0.47,,,,,,,,,,,,,,,
,,2014 - 2015,19,10.1,0.53,,,,,,,,,,,,,,,
,,2015 - 2016,11,4.6,0.42,,,,,,,,,,,,,,,
,,2017 - 2018,3,1.3,0.43,,,,,,,,,,,,,,,
,,2018 - 2019,5,1.5,0.3,,,,,,,,,,,,,,,
,,2019 - 2020,2,0.4,0.2,,,,,,,,,,,,,,,
,,2020 - 2021,24,6.9,0.29,,,,,,,,,,,,,,,
,,2021 - 2022,22,6.7,0.3,,,,,,,,,,,,,,,
,,2022 - 2023,29,10.8,0.37,,,,,,,,,,,,,,,
,18. Kendujhar,2000 - 2001,,,,,,,426,46.4,0.11,,,,,,,,,
,,2001 - 2002,,,,,,,710,70.9,0.1,,,,,,,,,
,,2002 - 2003,,,,,,,193,13.6,0.07,,,,,,,,,
,,2003 - 2004,,,,,,,368,64.6,0.18,,,,,,,,,
,,2004 - 2005,5,2.3,0.46,,,,,,,59,7.4,0.13,,,,289,43.4,0.15
,,2005 - 2006,5,1.7,0.34,,,,,,,37,8,0.22,,,,135,11.1,0.08
,,2006 - 2007,1,0.2,0.2,,,,,,,60,11.8,0.2,,,,197,24.8,0.13
,,2007 - 2008,33,15.2,0.46,,,,,,,15,1.4,0.09,,,,180,21.6,0.12
,,2008 - 2009,3,0.9,0.3,,,,,,,,,,,,,92,9.3,0.1
,,2009 - 2010,15,3.7,0.25,,,,,,,6,2,0.33,,,,97,17.9,0.18
,,2010 - 2011,10,4.2,0.42,,,,,,,50,13,0.26,,,,187,45.4,0.24
,,2011 - 2012,,,,,,,,,,12,2.8,0.23,,,,170,30.8,0.18
,,2012 - 2013,22,8.3,0.38,,,,,,,37,12.4,0.34,,,,128,22.8,0.18
,,2013 - 2014,22,9.8,0.45,,,,,,,10,3.1,0.31,,,,56,13.2,0.24
,,2014 - 2015,6,1.5,0.25,,,,,,,2,0.5,0.25,,,,130,30.9,0.24
,,2015 - 2016,18,6.6,0.37,,,,,,,14,4.2,0.3,,,,86,19.8,0.23
,,2016 - 2017,10,3.7,0.37,,,,,,,13,3.9,0.3,,,,99,27.3,0.28
,,2017 - 2018,3,1,0.33,,,,,,,4,0.8,0.2,,,,76,20.8,0.27
,,2018 - 2019,,,,,,,,,,4,1.3,0.33,,,,37,9.9,0.27
,,2019 - 2020,1,0.4,0.4,,,,,,,6,1.5,0.25,,,,72,89.6,1.24
,,2020 - 2021,,,,,,,,,,,,,,,,32,10.7,0.33
,,2021 - 2022,11,4.7,0.43,,,,,,,43,14.5,0.34,,,,"1,623.00",464.2,0.29
,,2022 - 2023,,,,,,,,,,13,1.7,0.13,,,,112,43.9,0.39
,19. Khordha,2000 - 2001,,,,,,,264,104.1,0.39,,,,,,,,,
,,2001 - 2002,,,,,,,224,70.1,0.31,,,,,,,,,
,,2002 - 2003,,,,,,,"1,095.00",341.8,0.31,,,,,,,,,
,,2003 - 2004,,,,,,,399,107.2,0.27,,,,,,,,,
,,2004 - 2005,223,90.3,0.4,,,,,,,40,4.1,0.1,,,,1,0.1,0.1
,,2005 - 2006,168,62.3,0.37,,,,,,,5,1.8,0.36,,,,,,
,,2006 - 2007,182,68.4,0.38,,,,,,,2,0.2,0.1,,,,1,0.1,0.1
,,2007 - 2008,285,84.9,0.3,,,,,,,20,1.6,0.08,,,,,,
,,2008 - 2009,99,39,0.39,,,,,,,33,4.2,0.13,,,,,,
,,2009 - 2010,302,88.2,0.29,,,,,,,6,0.8,0.13,,,,,,
,,2010 - 2011,407,131.9,0.32,,,,,,,35,5.4,0.15,,,,1,0.1,0.1
,,2011 - 2012,157,53.5,0.34,,,,,,,23,8.3,0.36,,,,,,
,,2012 - 2013,67,33.8,0.5,,,,,,,1,0.3,0.3,,,,,,
,,2013 - 2014,175,82.6,0.47,,,,,,,10,1.5,0.15,,,,,,
,,2014 - 2015,99,25.5,0.26,,,,,,,5,2,0.4,,,,,,
,,2015 - 2016,105,23.8,0.23,,,,,,,5,1.1,0.22,,,,,,
,,2016 - 2017,15,9.1,0.61,,,,,,,,,,,,,,,
,,2017 - 2018,7,2.7,0.39,,,,,,,,,,,,,,,
,,2020 - 2021,66,12.7,0.19,,,,,,,,,,,,,,,
,,2021 - 2022,59,21,0.36,,,,,,,,,,,,,,,
,,2022 - 2023,8,2.4,0.3,,,,,,,,,,,,,,,
,20. Koraput,2000 - 2001,,,,,,,113,27.7,0.25,,,,,,,,,
,,2001 - 2002,,,,,,,253,89.3,0.35,,,,,,,,,
,,2002 - 2003,,,,,,,180,55.4,0.31,,,,,,,,,
,,2003 - 2004,,,,,,,133,55.5,0.42,,,,,,,,,
,,2004 - 2005,,,,,,,,,,218,63.9,0.29,,,,,,
,,2005 - 2006,,,,,,,,,,317,80.5,0.25,,,,,,
,,2006 - 2007,,,,,,,,,,312,96.4,0.31,,,,,,
,,2007 - 2008,,,,,,,,,,317,102.1,0.32,,,,,,
,,2008 - 2009,,,,,,,,,,334,87.5,0.26,,,,,,
,,2009 - 2010,,,,,,,,,,493,158.3,0.32,,,,,,
,,2010 - 2011,,,,,,,,,,504,168.3,0.33,,,,,,
,,2011 - 2012,,,,,,,,,,242,70.7,0.29,,,,,,
,,2012 - 2013,,,,,,,,,,260,100.6,0.39,,,,,,
,,2013 - 2014,,,,,,,,,,235,99.4,0.42,,,,,,
,,2014 - 2015,,,,,,,,,,403,152.3,0.38,,,,,,
,,2015 - 2016,,,,,,,,,,115,34.4,0.3,,,,,,
,,2016 - 2017,,,,,,,,,,376,183.9,0.49,,,,,,
,,2017 - 2018,,,,,,,,,,211,67.5,0.32,,,,,,
,,2018 - 2019,,,,,,,,,,219,42.9,0.2,,,,,,
,,2019 - 2020,,,,,,,,,,225,49.1,0.22,,,,,,
,,2020 - 2021,,,,,,,,,,416,89,0.21,,,,,,
,,2021 - 2022,,,,,,,,,,277,71.5,0.26,,,,,,
,,2022 - 2023,,,,,,,,,,173,31.8,0.18,,,,,,
,21. Malkangiri,2000 - 2001,,,,,,,"8,222.00",797.5,0.1,,,,,,,,,
,,2001 - 2002,,,,,,,"8,843.00","2,272.70",0.26,,,,,,,,,
,,2002 - 2003,,,,,,,"6,285.00",722.8,0.12,,,,,,,,,
,,2003 - 2004,,,,,,,"7,320.00","1,507.90",0.21,,,,,,,,,
,,2004 - 2005,,,,,,,,,,"10,168.00","2,186.10",0.21,,,,,,
,,2005 - 2006,,,,,,,,,,"11,831.00","2,709.30",0.23,,,,,,
,,2006 - 2007,,,,,,,,,,"10,135.00","1,854.70",0.18,,,,,,
,,2007 - 2008,,,,,,,,,,"9,400.00","1,757.80",0.19,,,,6,1,0.17
,,2008 - 2009,,,,,,,,,,"10,993.00","1,780.90",0.16,,,,,,
,,2009 - 2010,,,,,,,,,,"10,378.00","1,670.90",0.16,,,,,,
,,2010 - 2011,,,,,,,,,,"15,203.00","3,299.10",0.22,,,,,,
,,2011 - 2012,,,,,,,,,,"6,818.00",552.3,0.08,,,,,,
,,2012 - 2013,,,,,,,,,,"4,697.00",831.4,0.18,,,,,,
,,2013 - 2014,,,,,,,,,,"6,738.00","1,428.50",0.21,,,,,,
,,2014 - 2015,,,,,,,,,,"11,145.00","2,474.20",0.22,,,,,,
,,2015 - 2016,,,,,,,,,,"6,555.00","1,173.30",0.18,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,"4,219.00","1,118.00",0.26,,,,,,
,,2017 - 2018,,,,,,,,,,"4,672.00","1,097.90",0.23,,,,,,
,,2018 - 2019,,,,,,,,,,"6,957.00","1,440.10",0.21,,,,,,
,,2019 - 2020,,,,,,,,,,"6,231.00","2,056.20",0.33,,,,,,
,,2020 - 2021,,,,,,,,,,"10,022.00","2,736.00",0.27,,,,,,
,,2021 - 2022,,,,,,,,,,"3,731.00",731.3,0.2,,,,,,
,,2022 - 2023,,,,,,,,,,"4,706.00","1,807.10",0.38,,,,,,
,22. Mayurbhanj,2000 - 2001,,,,,,,153,28.7,0.19,,,,,,,,,
,,2001 - 2002,,,,,,,220,43.5,0.2,,,,,,,,,
,,2002 - 2003,,,,,,,140,25.6,0.18,,,,,,,,,
,,2003 - 2004,,,,,,,315,62.2,0.2,,,,,,,,,
,,2004 - 2005,191,50.6,0.26,,,,,,,27,2.5,0.09,,,,186,32.7,0.18
,,2005 - 2006,498,129,0.26,,,,,,,57,7.6,0.13,,,,78,13.3,0.17
,,2006 - 2007,445,136.6,0.31,,,,,,,6,0.5,0.08,,,,81,12.4,0.15
,,2007 - 2008,"1,012.00",209.5,0.21,,,,,,,12,2.1,0.18,,,,80,12,0.15
,,2008 - 2009,699,181.7,0.26,,,,,,,27,4.9,0.18,,,,56,8.3,0.15
,,2009 - 2010,483,218.3,0.45,,,,,,,33,5.6,0.17,,,,56,10.8,0.19
,,2010 - 2011,338,120.3,0.36,,,,,,,30,5.5,0.18,,,,81,14.3,0.18
,,2011 - 2012,312,141.3,0.45,,,,,,,10,2.9,0.29,,,,30,5,0.17
,,2012 - 2013,81,41.9,0.52,,,,,,,11,4.3,0.39,,,,45,11.3,0.25
,,2013 - 2014,175,100.8,0.58,,,,,,,33,10.9,0.33,,,,117,34.7,0.3
,,2014 - 2015,178,81,0.46,,,,,,,5,3.1,0.62,,,,118,43.1,0.37
,,2015 - 2016,278,146,0.53,,,,,,,,,,,,,77,27.9,0.36
,,2016 - 2017,57,31,0.54,,,,,,,,,,,,,2,0.4,0.2
,,2017 - 2018,37,17.6,0.48,,,,,,,,,,,,,11,3.1,0.28
,,2018 - 2019,20,10.4,0.52,,,,,,,,,,,,,46,16.2,0.35
,,2019 - 2020,62,22.4,0.36,,,,,,,,,,,,,18,4.3,0.24
,,2020 - 2021,30,14.6,0.49,,,,,,,1,0.2,0.2,,,,32,14.1,0.44
,,2021 - 2022,199,79.2,0.4,,,,,,,5,1.8,0.36,,,,70,28.6,0.41
,,2022 - 2023,41,14.6,0.36,,,,,,,,,,,,,5,1.1,0.22
,23. Nabarangpur,2000 - 2001,,,,,,,283,30.8,0.11,,,,,,,,,
,,2001 - 2002,,,,,,,11,2,0.18,,,,,,,,,
,,2003 - 2004,,,,,,,5,1,0.2,,,,,,,,,
,,2004 - 2005,,,,,,,,,,1,,0,,,,,,
,,2005 - 2006,,,,,,,,,,140,29.5,0.21,,,,,,
,,2006 - 2007,,,,,,,,,,55,8.9,0.16,,,,,,
,,2007 - 2008,,,,,,,,,,26,3.7,0.14,,,,,,
,,2008 - 2009,,,,,,,,,,18,4.7,0.26,,,,,,
,24. Nayagarh,2000 - 2001,,,,,,,"1,122.00",195.1,0.17,,,,,,,,,
,,2001 - 2002,,,,,,,953,208.3,0.22,,,,,,,,,
,,2002 - 2003,,,,,,,828,112.4,0.14,,,,,,,,,
,,2003 - 2004,,,,,,,891,156.3,0.18,,,,,,,,,
,,2004 - 2005,64,10.2,0.16,,,,,,,593,106.1,0.18,,,,,,
,,2005 - 2006,191,39.7,0.21,,,,,,,648,97.2,0.15,,,,1,0.2,0.2
,,2006 - 2007,526,84.2,0.16,,,,,,,888,148.3,0.17,,,,4,0.5,0.13
,,2007 - 2008,433,78.8,0.18,,,,,,,601,94.4,0.16,,,,1,0.3,0.3
,,2008 - 2009,198,52.3,0.26,,,,,,,693,110.9,0.16,,,,,,
,,2009 - 2010,110,21.6,0.2,,,,,,,771,151.9,0.2,,,,,,
,,2010 - 2011,159,35.1,0.22,,,,,,,499,116.8,0.23,,,,5,1.7,0.34
,,2011 - 2012,362,54.7,0.15,,,,,,,189,33.8,0.18,,,,,,
,,2012 - 2013,19,3,0.16,,,,,,,219,46.9,0.21,,,,,,
,,2013 - 2014,19,4.3,0.23,,,,,,,79,12.8,0.16,,,,,,
,,2014 - 2015,10,4.5,0.45,,,,,,,186,35.9,0.19,,,,,,
,,2015 - 2016,15,1.8,0.12,,,,,,,127,17.9,0.14,,,,,,
,,2016 - 2017,,,,,,,,,,139,27.4,0.2,,,,,,
,,2017 - 2018,,,,,,,,,,188,22.4,0.12,,,,,,
,,2018 - 2019,31,5.3,0.17,,,,,,,70,15.4,0.22,,,,,,
,,2020 - 2021,4,1.4,0.35,,,,,,,,,,,,,,,
,,2021 - 2022,74,23.2,0.31,,,,,,,35,8.1,0.23,,,,1,0.4,0.4
,,2022 - 2023,51,22.2,0.44,,,,,,,20,4.6,0.23,,,,,,
,25. Nuapada,2000 - 2001,,,,,,,"1,346.00",67.6,0.05,,,,,,,,,
,,2001 - 2002,,,,,,,"1,327.00",125.9,0.09,,,,,,,,,
,,2002 - 2003,,,,,,,300,10.4,0.03,,,,,,,,,
,,2003 - 2004,,,,,,,340,25.1,0.07,,,,,,,,,
,,2004 - 2005,8,0.8,0.1,,,,,,,60,7.4,0.12,,,,98,10.1,0.1
,,2005 - 2006,3,0.9,0.3,,,,,,,137,6.2,0.05,,,,333,29,0.09
,,2006 - 2007,,,,,,,,,,137,6.6,0.05,,,,322,19.6,0.06
,,2007 - 2008,,,,,,,,,,254,34,0.13,,,,406,29.2,0.07
,,2008 - 2009,,,,,,,,,,117,7.5,0.06,,,,246,17.5,0.07
,,2009 - 2010,,,,,,,,,,106,7.1,0.07,,,,606,47.3,0.08
,,2010 - 2011,,,,,,,,,,230,26.9,0.12,,,,"1,490.00",181.8,0.12
,,2011 - 2012,,,,,,,,,,171,14.7,0.09,,,,956,86,0.09
,,2012 - 2013,,,,,,,,,,125,11.3,0.09,,,,"1,132.00",104.1,0.09
,,2013 - 2014,,,,,,,,,,179,19.3,0.11,,,,712,85.4,0.12
,,2014 - 2015,,,,,,,,,,137,12.7,0.09,,,,378,30.2,0.08
,,2015 - 2016,3,0.5,0.17,,,,,,,134,16.5,0.12,,,,327,31.1,0.1
,,2016 - 2017,,,,,,,,,,75,7.2,0.1,,,,609,124.2,0.2
,,2017 - 2018,,,,,,,,,,61,7.8,0.13,,,,742,84.6,0.11
,,2018 - 2019,,,,,,,,,,50,5.4,0.11,,,,572,49.2,0.09
,,2019 - 2020,,,,,,,,,,38,7,0.18,,,,996,130.5,0.13
,,2020 - 2021,,,,,,,,,,106,12.6,0.12,,,,930,98.6,0.11
,,2021 - 2022,,,,,,,,,,39,5.1,0.13,,,,938,99.4,0.11
,,2022 - 2023,,,,,,,,,,115,12.7,0.11,,,,833,100,0.12
,26. Puri,2000 - 2001,,,,,,,821,232.2,0.28,,,,,,,,,
,,2001 - 2002,,,,,,,744,152.5,0.2,,,,,,,,,
,,2002 - 2003,,,,,,,804,189.6,0.24,,,,,,,,,
,,2003 - 2004,,,,,,,449,100.1,0.22,,,,,,,,,
,,2004 - 2005,640,176,0.28,,,,,,,,,,,,,,,
,,2005 - 2006,738,183.8,0.25,,,,,,,,,,,,,1,,0
