State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2014 - 2015,,,,400,595,1.49,,,,,,,,,,,,
,,2015 - 2016,,,,198,92,0.46,,,,,,,,,,,,
,,2016 - 2017,,,,648,463,0.71,,,,,,,,,,,,
,,2017 - 2018,,,,371,339,0.91,,,,,,,,,,,,
,,2018 - 2019,,,,918,764,0.83,,,,,,,,,,,,
,,2019 - 2020,,,,"1,175.00","1,406.00",1.2,,,,,,,,,,,,
,,2020 - 2021,,,,"1,954.00","1,694.00",0.87,,,,,,,,,,,,
,,2021 - 2022,,,,537,345,0.64,,,,,,,,,,,,
,10. Kadapa,2000 - 2001,93,150,1.61,909,"1,312.00",1.44,,,,,,,,,,,,
,,2001 - 2002,34,42,1.24,714,951,1.33,,,,,,,,,,,,
,,2002 - 2003,33,51,1.55,561,695,1.24,,,,,,,,,,,,
,,2003 - 2004,101,90,0.89,528,848,1.61,,,,,,,,,,,,
,,2004 - 2005,25,35,1.4,432,976,2.26,,,,,,,,,,,,
,,2005 - 2006,40,54,1.35,502,800,1.59,,,,,,,,,,,,
,,2006 - 2007,18,19,1.06,519,716,1.38,,,,,,,,,,,,
,,2008 - 2009,23,21,0.91,111,208,1.87,,,,,,,,,,,,
,,2009 - 2010,28,37,1.32,183,401,2.19,,,,,,,,,,,,
,,2010 - 2011,6,9,1.5,137,205,1.5,,,,,,,,,,,,
,,2011 - 2012,16,19,1.19,124,250,2.02,,,,,,,,,,,,
,,2013 - 2014,21,29,1.38,110,196,1.78,,,,,,,,,,,,
,,2014 - 2015,11,10,0.91,78,119,1.53,,,,,,,,,,,,
,,2015 - 2016,7,9,1.29,120,207,1.73,,,,,,,,,,,,
,,2016 - 2017,19,14,0.74,136,259,1.9,,,,,,,,,,,,
,,2017 - 2018,16,24,1.5,166,324,1.95,,,,,,,,,,,,
,,2018 - 2019,10,17,1.7,91,181,1.99,,,,,,,,,,,,
,,2019 - 2020,,,,57,113,1.98,,,,,,,,,,,,
,,2020 - 2021,24,32,1.33,69,164,2.38,,,,,,,,,,,,
,,2021 - 2022,6,6,1,127,239,1.88,,,,,,,,,,,,
,,2022 - 2023,3,3,1,38,116,3.05,,,,,,,,,,,,
,11. Krishna,2001 - 2002,,,,5,9,1.8,,,,,,,,,,,,
,12. Kurnool,2000 - 2001,43,70,1.63,,,,,,,,,,,,,,,
,,2001 - 2002,33,41,1.24,,,,,,,,,,,,,,,
,,2002 - 2003,10,16,1.6,,,,,,,,,,,,,,,
,,2003 - 2004,7,6,0.86,,,,,,,,,,,,,,,
,,2004 - 2005,16,22,1.38,,,,,,,,,,,,,,,
,,2005 - 2006,7,10,1.43,6,10,1.67,,,,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,,,,,,,
,,2010 - 2011,,,,5,7,1.4,,,,,,,,,,,,
,,2011 - 2012,2,2,1,,,,,,,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,,,,,,,
,,2021 - 2022,2,2,1,4,8,2,,,,,,,,,,,,
,,2022 - 2023,,,,2,6,3,,,,,,,,,,,,
,13. Nandyal,2022 - 2023,,,,1,3,3,,,,,,,,,,,,
,14. Palnadu,2022 - 2023,,,,1,1,1,,,,,,,,,,,,
,15. Parvathipuram manyam,2022 - 2023,604,792,1.31,121,175,1.45,,,,,,,,,,,,
,16. Prakasam,2000 - 2001,150,142,0.95,"5,951.00","12,241.00",2.06,,,,,,,,,,,,
,,2001 - 2002,309,342,1.11,"3,963.00","7,795.00",1.97,,,,,,,,,,,,
,,2002 - 2003,214,184,0.86,"3,872.00","5,676.00",1.47,,,,,,,,,,,,
,,2003 - 2004,81,109,1.35,"3,459.00","5,642.00",1.63,,,,,,,,,,,,
,,2004 - 2005,81,80,0.99,"2,529.00","4,188.00",1.66,,,,,,,,,,,,
,,2005 - 2006,84,76,0.9,"2,849.00","5,419.00",1.9,,,,,,,,,,,,
,,2006 - 2007,30,28,0.93,"2,252.00","4,128.00",1.83,,,,,,,,,,,,
,,2007 - 2008,,,,"2,000.00","3,000.00",1.5,,,,,,,,,,,,
,,2008 - 2009,74,67,0.91,"1,502.00","2,872.00",1.91,,,,,,,,,,,,
,,2009 - 2010,160,160,1,"1,451.00","3,046.00",2.1,,,,,,,,,,,,
,,2010 - 2011,,,,"1,076.00","1,542.00",1.43,,,,,,,,,,,,
,,2011 - 2012,35,25,0.71,954,"1,636.00",1.71,,,,,,,,,,,,
,,2012 - 2013,,,,"1,000.00","2,000.00",2,,,,,,,,,,,,
,,2013 - 2014,120,101,0.84,988,"1,659.00",1.68,,,,,,,,,,,,
,,2014 - 2015,24,23,0.96,936,"1,428.00",1.53,,,,,,,,,,,,
,,2015 - 2016,65,55,0.85,"1,183.00","2,592.00",2.19,,,,,,,,,,,,
,,2016 - 2017,3,3,1,940,"1,573.00",1.67,,,,,,,,,,,,
,,2017 - 2018,31,31,1,722,"1,203.00",1.67,,,,,,,,,,,,
,,2018 - 2019,29,31,1.07,379,672,1.77,,,,,,,,,,,,
,,2019 - 2020,33,37,1.12,494,569,1.15,,,,,,,,,,,,
,,2020 - 2021,19,20,1.05,276,248,0.9,,,,,,,,,,,,
,,2021 - 2022,54,48,0.89,378,443,1.17,,,,,,,,,,,,
,,2022 - 2023,9,9,1,222,225,1.01,,,,,,,,,,,,
,17. Spsr nellore,2000 - 2001,213,202,0.95,626,867,1.38,,,,,,,,,,,,
,,2001 - 2002,166,184,1.11,137,258,1.88,,,,,,,,,,,,
,,2002 - 2003,144,124,0.86,384,501,1.3,,,,,,,,,,,,
,,2003 - 2004,113,153,1.35,172,308,1.79,,,,,,,,,,,,
,,2004 - 2005,121,120,0.99,362,602,1.66,,,,,,,,,,,,
,,2005 - 2006,66,60,0.91,117,221,1.89,,,,,,,,,,,,
,,2006 - 2007,60,55,0.92,134,233,1.74,,,,,,,,,,,,
,,2008 - 2009,72,66,0.92,171,282,1.65,,,,,,,,,,,,
,,2009 - 2010,74,74,1,126,210,1.67,,,,,,,,,,,,
,,2010 - 2011,23,23,1,68,99,1.46,,,,,,,,,,,,
,,2011 - 2012,28,20,0.71,96,146,1.52,,,,,,,,,,,,
,,2013 - 2014,66,56,0.85,28,40,1.43,,,,,,,,,,,,
,,2014 - 2015,34,32,0.94,56,83,1.48,,,,,,,,,,,,
,,2015 - 2016,22,19,0.86,65,127,1.95,,,,,,,,,,,,
,,2016 - 2017,101,102,1.01,77,123,1.6,,,,,,,,,,,,
,,2017 - 2018,59,58,0.98,45,77,1.71,,,,,,,,,,,,
,,2018 - 2019,110,119,1.08,41,66,1.61,,,,,,,,,,,,
,,2019 - 2020,22,32,1.45,32,19,0.59,,,,,,,,,,,,
,,2020 - 2021,68,81,1.19,13,14,1.08,,,,,,,,,,,,
,,2021 - 2022,50,85,1.7,17,21,1.24,,,,,,,,,,,,
,,2022 - 2023,31,32,1.03,12,17,1.42,,,,,,,,,,,,
,18. Sri sathya sai,2022 - 2023,"3,661.00","3,756.00",1.03,709,"2,759.00",3.89,,,,,,,,,,,,
,19. Srikakulam,2000 - 2001,"3,184.00","2,738.00",0.86,"1,024.00","1,318.00",1.29,,,,,,,,,,,,
,,2001 - 2002,"2,092.00","2,205.00",1.05,"1,214.00","1,878.00",1.55,,,,,,,,,,,,
,,2002 - 2003,"2,018.00","1,933.00",0.96,805,948,1.18,,,,,,,,,,,,
,,2003 - 2004,"1,743.00","2,334.00",1.34,"1,389.00","2,106.00",1.52,,,,,,,,,,,,
,,2004 - 2005,"1,655.00","2,046.00",1.24,970,"1,863.00",1.92,,,,,,,,,,,,
,,2005 - 2006,"1,418.00","1,677.00",1.18,"1,580.00","3,182.00",2.01,,,,,,,,,,,,
,,2006 - 2007,"1,850.00","2,026.00",1.1,"1,420.00","2,405.00",1.69,,,,,,,,,,,,
,,2007 - 2008,"2,000.00","2,000.00",1,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"1,384.00","1,518.00",1.1,883,"1,100.00",1.25,,,,,,,,,,,,
,,2009 - 2010,814,853,1.05,"1,001.00","1,332.00",1.33,,,,,,,,,,,,
,,2010 - 2011,804,732,0.91,"1,057.00","1,460.00",1.38,,,,,,,,,,,,
,,2011 - 2012,539,478,0.89,582,924,1.59,,,,,,,,,,,,
,,2012 - 2013,,,,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,331,333,1.01,712,986,1.38,,,,,,,,,,,,
,,2014 - 2015,207,277,1.34,969,"1,169.00",1.21,,,,,,,,,,,,
,,2015 - 2016,291,373,1.28,748,"1,216.00",1.63,,,,,,,,,,,,
,,2016 - 2017,250,409,1.64,713,"1,117.00",1.57,,,,,,,,,,,,
,,2017 - 2018,154,247,1.6,"3,910.00","6,209.00",1.59,,,,,,,,,,,,
,,2018 - 2019,253,322,1.27,"3,518.00","5,492.00",1.56,,,,,,,,,,,,
,,2019 - 2020,206,270,1.31,"3,289.00","4,687.00",1.43,,,,,,,,,,,,
,,2020 - 2021,138,157,1.14,"2,515.00","2,910.00",1.16,,,,,,,,,,,,
,,2021 - 2022,40,69,1.73,"3,760.00","4,531.00",1.21,,,,,,,,,,,,
,,2022 - 2023,18,19,1.06,"2,164.00","3,410.00",1.58,,,,,,,,,,,,
,20. Tirupati,2022 - 2023,8,9,1.13,5,15,3,,,,,,,,,,,,
,21. Visakhapatanam,2000 - 2001,"34,119.00","32,038.00",0.94,"1,529.00","2,740.00",1.79,,,,,,,,,,,,
,,2001 - 2002,"32,390.00","37,151.00",1.15,"1,535.00","3,187.00",2.08,,,,,,,,,,,,
,,2002 - 2003,"29,769.00","25,720.00",0.86,509,293,0.58,,,,,,,,,,,,
,,2003 - 2004,"32,664.00","44,129.00",1.35,"1,009.00","2,829.00",2.8,,,,,,,,,,,,
,,2004 - 2005,"30,886.00","28,909.00",0.94,666,"1,108.00",1.66,,,,,,,,,,,,
,,2005 - 2006,"28,064.00","22,928.00",0.82,660,"1,245.00",1.89,,,,,,,,,,,,
,,2006 - 2007,"28,746.00","24,549.00",0.85,677,"1,179.00",1.74,,,,,,,,,,,,
,,2007 - 2008,"28,000.00","34,000.00",1.21,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"26,882.00","24,839.00",0.92,374,617,1.65,,,,,,,,,,,,
,,2009 - 2010,"21,901.00","20,346.00",0.93,403,671,1.67,,,,,,,,,,,,
,,2010 - 2011,"22,665.00","23,322.00",1.03,290,424,1.46,,,,,,,,,,,,
,,2011 - 2012,"24,806.00","17,761.00",0.72,196,298,1.52,,,,,,,,,,,,
,,2012 - 2013,"22,000.00","21,000.00",0.95,,,,,,,,,,,,,,,
,,2013 - 2014,"22,786.00","19,300.00",0.85,308,442,1.44,,,,,,,,,,,,
,,2014 - 2015,"20,880.00","19,982.00",0.96,241,359,1.49,,,,,,,,,,,,
,,2015 - 2016,"17,955.00","15,082.00",0.84,230,466,2.03,,,,,,,,,,,,
,,2016 - 2017,"19,248.00","19,267.00",1,224,683,3.05,,,,,,,,,,,,
,,2017 - 2018,"16,731.00","16,681.00",1,280,776,2.77,,,,,,,,,,,,
,,2018 - 2019,"16,623.00","18,235.00",1.1,401,915,2.28,,,,,,,,,,,,
,,2019 - 2020,"17,859.00","19,859.00",1.11,273,601,2.2,,,,,,,,,,,,
,,2020 - 2021,"16,528.00","17,189.00",1.04,318,546,1.72,,,,,,,,,,,,
,,2021 - 2022,"15,708.00","13,682.00",0.87,432,938,2.17,,,,,,,,,,,,
,,2022 - 2023,8,8,1,219,401,1.83,,,,,,,,,,,,
,22. Vizianagaram,2000 - 2001,"8,461.00","8,571.00",1.01,"1,544.00","2,327.00",1.51,,,,,,,,,,,,
,,2001 - 2002,"6,914.00","6,478.00",0.94,"2,172.00","3,892.00",1.79,,,,,,,,,,,,
,,2002 - 2003,"6,909.00","5,700.00",0.83,"1,042.00","1,211.00",1.16,,,,,,,,,,,,
,,2003 - 2004,"6,710.00","9,032.00",1.35,"2,052.00","3,587.00",1.75,,,,,,,,,,,,
,,2004 - 2005,"6,096.00","7,260.00",1.19,"1,070.00","1,553.00",1.45,,,,,,,,,,,,
,,2005 - 2006,"5,624.00","7,272.00",1.29,"1,184.00","1,990.00",1.68,,,,,,,,,,,,
,,2006 - 2007,"4,184.00","5,468.00",1.31,"1,410.00","2,314.00",1.64,,,,,,,,,,,,
,,2007 - 2008,"3,000.00","4,000.00",1.33,"2,000.00","2,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"3,472.00","2,590.00",0.75,586,933,1.59,,,,,,,,,,,,
,,2009 - 2010,"2,724.00","4,195.00",1.54,745,944,1.27,,,,,,,,,,,,
,,2010 - 2011,"2,474.00","2,360.00",0.95,797,"1,286.00",1.61,,,,,,,,,,,,
,,2011 - 2012,"1,387.00",720,0.52,601,686,1.14,,,,,,,,,,,,
