State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,,,,,,,,,,,,,151.5,140.8,0.93,,,
,,2019 - 2020,,,,,,,,,,,,,137,121,0.88,,,
,,2020 - 2021,,,,,,,,,,,,,93.6,83.6,0.89,,,
,,2021 - 2022,,,,,,,,,,,,,124,207,1.67,,,
,,2022 - 2023,,,,,,,,,,,,,87.14,148.65,1.71,,,
,9. Thiruvananthapuram,2007 - 2008,1,1,1,,,,,,,,,,,,,,,
,,2022 - 2023,,,,,,,,,,,,,0.02,0.01,0.5,,,
,10. Wayanad,2003 - 2004,3,2,0.67,,,,,,,,,,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,,,,,,,,,,
,,2021 - 2022,,,,,,,,,,,,,1,0.1,0.1,,,
12. Madhya Pradesh,1. Balaghat,2000 - 2001,412,110,0.27,,,,,,,,,,,,,,,
,,2001 - 2002,384,103,0.27,,,,,,,,,,,,,,,
,,2002 - 2003,440,118,0.27,,,,,,,,,,,,,,,
,,2003 - 2004,469,125,0.27,,,,,,,,,,,,,,,
,,2004 - 2005,329,88,0.27,,,,,,,,,,,,,,,
,,2005 - 2006,415,111,0.27,,,,,,,,,,,,,,,
,,2007 - 2008,413,129,0.31,,,,,,,,,,,,,,,
,,2008 - 2009,424,132,0.31,,,,,,,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,,379,119,0.31,,,
,,2010 - 2011,279,87,0.31,,,,,,,,,,,,,,,
,,2011 - 2012,261,68,0.26,,,,,,,,,,,,,,,
,,2012 - 2013,223,64,0.29,,,,,,,,,,,,,,,
,,2013 - 2014,220,67,0.3,,,,,,,,,,,,,,,
,2. Betul,2000 - 2001,26,5,0.19,,,,,,,,,,,,,,,
,,2001 - 2002,23,6,0.26,,,,,,,,,,,,,,,
,,2002 - 2003,38,9,0.24,,,,,,,,,,,,,,,
,,2003 - 2004,21,5,0.24,,,,,,,,,,,,,,,
,3. Chhatarpur,2001 - 2002,3,1,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,5,1,0.2,,,,,,,,,,,,,,,
,4. Chhindwara,2000 - 2001,3,1,0.33,,,,,,,,,,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,,,,,,,
,,2009 - 2010,,,,,,,,,,,,,3,1,0.33,,,
,,2010 - 2011,1,,0,,,,,,,,,,,,,,,
,,2012 - 2013,76,30,0.39,,,,,,,,,,,,,,,
,5. Dhar,2002 - 2003,2,0.1,0.05,,,,,,,,,,,,,,,
,,2004 - 2005,10,3,0.3,,,,,,,,,,,,,,,
,,2008 - 2009,16,5,0.31,,,,,,,,,,,,,,,
,6. Dindori,2000 - 2001,1,0.1,0.1,,,,,,,,,,,,,,,
,,2001 - 2002,5,1,0.2,,,,,,,,,,,,,,,
,,2002 - 2003,1,0.1,0.1,,,,,,,,,,,,,,,
,,2003 - 2004,1,0.1,0.1,,,,,,,,,,,,,,,
,7. Hoshangabad,2000 - 2001,7,2,0.29,,,,,,,,,,,,,,,
,,2001 - 2002,4,1,0.25,,,,,,,,,,,,,,,
,,2002 - 2003,21,5,0.24,,,,,,,,,,,,,,,
,,2003 - 2004,4,1,0.25,,,,,,,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,,,,,,,
,8. Jabalpur,2004 - 2005,50,17,0.34,,,,,,,,,,,,,,,
,9. Jhabua,2008 - 2009,1,,0,,,,,,,,,,,,,,,
,10. Katni,2012 - 2013,114,33,0.29,,,,,,,,,,,,,,,
,,2013 - 2014,115,125,1.09,,,,,,,,,,,,,,,
,11. Khandwa,2000 - 2001,12,2,0.17,,,,,,,,,,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,,,,,,,,,,
,12. Mandla,2003 - 2004,5,1,0.2,,,,,,,,,,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,,,,,,,,,,
,,2005 - 2006,2,,0,,,,,,,,,,,,,,,
,13. Narsinghpur,2007 - 2008,25,7,0.28,,,,,,,,,,,,,,,
,14. Panna,2002 - 2003,23,4,0.17,,,,,,,,,,,,,,,
,15. Sagar,2002 - 2003,68,11,0.16,,,,,,,,,,,,,,,
,,2004 - 2005,11,3,0.27,,,,,,,,,,,,,,,
,,2007 - 2008,16,4,0.25,,,,,,,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,,,,,,,
,,2011 - 2012,1,,0,,,,,,,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,,,,,,,
,,2013 - 2014,1,,0,,,,,,,,,,,,,,,
,16. Satna,2001 - 2002,6,1,0.17,,,,,,,,,,,,,,,
,,2010 - 2011,2,,0,,,,,,,,,,,,,,,
,17. Seoni,2000 - 2001,3,0.1,0.03,,,,,,,,,,,,,,,
,,2001 - 2002,3,1,0.33,,,,,,,,,,,,,,,
,,2002 - 2003,3,0.1,0.03,,,,,,,,,,,,,,,
,,2003 - 2004,11,3,0.27,,,,,,,,,,,,,,,
,18. Shivpuri,2001 - 2002,12,3,0.25,,,,,,,,,,,,,,,
,19. Sidhi,2002 - 2003,4,1,0.25,,,,,,,,,,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,,,,,,,,,,
,,2007 - 2008,2,,0,,,,,,,,,,,,,,,
,20. Singrauli,2008 - 2009,2,1,0.5,,,,,,,,,,,,,,,
,21. Tikamgarh,2000 - 2001,"1,319.00",542,0.41,,,,,,,,,,,,,,,
,,2001 - 2002,68,18,0.26,,,,,,,,,,,,,,,
13. Maharashtra,1. Ahilyanagar,2000 - 2001,"4,800.00","4,300.00",0.9,,,,,,,,,,,,,,,
,,2001 - 2002,"4,600.00","7,000.00",1.52,,,,,,,,,,,,,,,
,,2002 - 2003,"4,600.00","3,900.00",0.85,,,,,,,,,,,,,,,
,,2003 - 2004,"4,600.00","3,700.00",0.8,,,,,,,,,,,,,,,
,,2004 - 2005,"3,000.00","2,400.00",0.8,,,,,,,,,,,,,,,
,,2005 - 2006,"2,900.00","2,300.00",0.79,,,,,,,,,,,,,,,
,,2006 - 2007,"3,100.00","2,100.00",0.68,,,,,,,,,,,,,,,
,,2007 - 2008,"2,600.00","2,300.00",0.88,,,,,,,,,,,,,,,
,,2008 - 2009,"2,600.00","2,600.00",1,,,,,,,,,,,,,,,
,,2009 - 2010,"2,600.00","1,700.00",0.65,,,,,,,,,,,,,,,
,,2010 - 2011,"2,800.00","2,600.00",0.93,,,,,,,,,,,,,,,
,,2011 - 2012,"2,800.00","3,200.00",1.14,,,,,,,,,,,,,,,
,,2012 - 2013,"2,800.00","3,100.00",1.11,,,,,,,,,,,,,,,
,,2013 - 2014,"2,800.00","3,600.00",1.29,,,,,,,,,,,,,,,
,,2014 - 2015,"3,000.00","3,300.00",1.1,,,,,,,,,,,,,,,
,,2015 - 2016,100,100,1,,,,,,,,,,,,,,,
,,2016 - 2017,100,100,1,,,,,,,,,,,,,,,
,,2017 - 2018,100,100,1,,,,,,,,,,,,,,,
,,2018 - 2019,118,84,0.71,,,,,,,,,,,,,,,
,,2019 - 2020,142,164,1.15,,,,,,,,,,,,,,,
,,2020 - 2021,130.01,102.24,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,150.76,178.25,1.18,,,,,,,,,,,,,,,
,,2022 - 2023,190,181,0.95,,,,,,,,,,,,,,,
,2. Beed,2019 - 2020,38,40,1.05,,,,,,,,,,,,,,,
,3. Buldhana,2016 - 2017,5,3,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,10,10,1,,,,,,,,,,,,,,,
,4. Chhatrapati Sambhajinagar,2019 - 2020,317,331,1.04,,,,,,,,,,,,,,,
,5. Dharashiv,2019 - 2020,1,1,1,,,,,,,,,,,,,,,
,,2020 - 2021,10,7.86,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,10,11.82,1.18,,,,,,,,,,,,,,,
,6. Dhule,2000 - 2001,"6,500.00","3,000.00",0.46,,,,,,,,,,,,,,,
,,2001 - 2002,"6,500.00","8,900.00",1.37,,,,,,,,,,,,,,,
,,2002 - 2003,"6,100.00","4,400.00",0.72,,,,,,,,,,,,,,,
,,2003 - 2004,"5,700.00","6,200.00",1.09,,,,,,,,,,,,,,,
,,2004 - 2005,"5,900.00","6,900.00",1.17,,,,,,,,,,,,,,,
,,2005 - 2006,"4,600.00","3,300.00",0.72,,,,,,,,,,,,,,,
,,2006 - 2007,"4,100.00","2,600.00",0.63,,,,,,,,,,,,,,,
,,2007 - 2008,"3,000.00","2,900.00",0.97,,,,,,,,,,,,,,,
,,2008 - 2009,"3,000.00","1,700.00",0.57,,,,,,,,,,,,,,,
,,2009 - 2010,"2,600.00","1,600.00",0.62,,,,,,,,,,,,,,,
,,2010 - 2011,"3,000.00","3,600.00",1.2,,,,,,,,,,,,,,,
,,2011 - 2012,800,600,0.75,,,,,,,,,,,,,,,
,,2012 - 2013,800,"1,100.00",1.38,,,,,,,,,,,,,,,
,,2013 - 2014,800,"1,300.00",1.63,,,,,,,,,,,,,,,
,,2014 - 2015,"1,000.00","1,300.00",1.3,,,,,,,,,,,,,,,
,,2015 - 2016,"1,100.00",500,0.45,,,,,,,,,,,,,,,
,,2016 - 2017,"1,800.00","2,000.00",1.11,,,,,,,,,,,,,,,
,,2017 - 2018,"1,600.00","2,200.00",1.38,,,,,,,,,,,,,,,
,,2018 - 2019,"1,570.00","1,042.00",0.66,,,,,,,,,,,,,,,
,,2019 - 2020,"1,547.00",998,0.65,,,,,,,,,,,,,,,
,,2020 - 2021,"1,611.89","1,567.88",0.97,,,,,,,,,,,,,,,
,,2021 - 2022,"1,343.22",828.76,0.62,,,,,,,,,,,,,,,
,,2022 - 2023,"1,379.00","1,472.00",1.07,,,,,,,,,,,,,,,
,7. Kolhapur,2000 - 2001,"24,800.00","34,700.00",1.4,,,,,,,,,,,,,,,
,,2001 - 2002,"23,700.00","45,300.00",1.91,,,,,,,,,,,,,,,
,,2002 - 2003,"23,500.00","33,100.00",1.41,,,,,,,,,,,,,,,
,,2003 - 2004,"23,100.00","36,400.00",1.58,,,,,,,,,,,,,,,
,,2004 - 2005,"23,800.00","30,400.00",1.28,,,,,,,,,,,,,,,
,,2005 - 2006,"24,200.00","32,200.00",1.33,,,,,,,,,,,,,,,
,,2006 - 2007,"23,300.00","30,700.00",1.32,,,,,,,,,,,,,,,
,,2007 - 2008,"23,100.00","34,500.00",1.49,,,,,,,,,,,,,,,
,,2008 - 2009,"23,300.00","30,800.00",1.32,,,,,,,,,,,,,,,
,,2009 - 2010,"22,900.00","35,300.00",1.54,,,,,,,,,,,,,,,
,,2010 - 2011,"21,900.00","40,700.00",1.86,,,,,,,,,,,,,,,
,,2011 - 2012,"21,400.00","31,100.00",1.45,,,,,,,,,,,,,,,
,,2012 - 2013,"21,900.00","35,500.00",1.62,,,,,,,,,,,,,,,
,,2013 - 2014,"21,900.00","32,900.00",1.5,,,,,,,,,,,,,,,
,,2014 - 2015,"21,200.00","33,900.00",1.6,,,,,,,,,,,,,,,
,,2015 - 2016,"20,800.00","27,300.00",1.31,,,,,,,,,,,,,,,
,,2016 - 2017,"21,700.00","36,100.00",1.66,,,,,,,,,,,,,,,
,,2017 - 2018,"21,300.00","34,000.00",1.6,,,,,,,,,,,,,,,
,,2018 - 2019,"19,332.00","31,077.00",1.61,,,,,,,,,,,,,,,
,,2019 - 2020,"18,939.00","31,604.00",1.67,,,,,,,,,,,,,,,
,,2020 - 2021,"19,560.11","36,208.93",1.85,,,,,,,,,,,,,,,
,,2021 - 2022,"19,128.22","37,694.07",1.97,,,,,,,,,,,,,,,
,,2022 - 2023,"17,429.00","41,267.00",2.37,,,,,,,,,,,,,,,
,8. Nandurbar,2000 - 2001,400,200,0.5,,,,,,,,,,,,,,,
,,2001 - 2002,400,400,1,,,,,,,,,,,,,,,
,,2002 - 2003,300,200,0.67,,,,,,,,,,,,,,,
,,2003 - 2004,300,300,1,,,,,,,,,,,,,,,
,,2004 - 2005,300,300,1,,,,,,,,,,,,,,,
,,2005 - 2006,200,200,1,,,,,,,,,,,,,,,
,,2006 - 2007,100,100,1,,,,,,,,,,,,,,,
,,2008 - 2009,400,300,0.75,,,,,,,,,,,,,,,
,,2009 - 2010,400,200,0.5,,,,,,,,,,,,,,,
,,2010 - 2011,400,200,0.5,,,,,,,,,,,,,,,
,,2015 - 2016,100,0,0,,,,,,,,,,,,,,,
,,2016 - 2017,20,20,1,,,,,,,,,,,,,,,
,,2017 - 2018,17,10,0.59,,,,,,,,,,,,,,,
,,2018 - 2019,27,23,0.85,,,,,,,,,,,,,,,
,,2019 - 2020,45,26,0.58,,,,,,,,,,,,,,,
,,2020 - 2021,15.98,11.43,0.72,,,,,,,,,,,,,,,
,,2021 - 2022,6.05,4.7,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,4,5,1.25,,,,,,,,,,,,,,,
,9. Nashik,2000 - 2001,"44,800.00","21,500.00",0.48,,,,,,,,,,,,,,,
,,2001 - 2002,"44,900.00","46,500.00",1.04,,,,,,,,,,,,,,,
,,2002 - 2003,"42,000.00","25,700.00",0.61,,,,,,,,,,,,,,,
,,2003 - 2004,"41,900.00","39,300.00",0.94,,,,,,,,,,,,,,,
,,2004 - 2005,"41,400.00","40,200.00",0.97,,,,,,,,,,,,,,,
,,2005 - 2006,"35,600.00","31,900.00",0.9,,,,,,,,,,,,,,,
,,2006 - 2007,"36,000.00","27,400.00",0.76,,,,,,,,,,,,,,,
,,2007 - 2008,"33,000.00","26,000.00",0.79,,,,,,,,,,,,,,,
,,2008 - 2009,"32,700.00","29,000.00",0.89,,,,,,,,,,,,,,,
,,2009 - 2010,"27,900.00","13,000.00",0.47,,,,,,,,,,,,,,,
,,2010 - 2011,"27,500.00","12,300.00",0.45,,,,,,,,,,,,,,,
,,2011 - 2012,"40,000.00","36,300.00",0.91,,,,,,,,,,,,,,,
,,2012 - 2013,"35,900.00","35,400.00",0.99,,,,,,,,,,,,,,,
,,2013 - 2014,"35,900.00","33,800.00",0.94,,,,,,,,,,,,,,,
,,2014 - 2015,"28,500.00","19,000.00",0.67,,,,,,,,,,,,,,,
,,2015 - 2016,"25,500.00","19,400.00",0.76,,,,,,,,,,,,,,,
,,2016 - 2017,"25,500.00","23,400.00",0.92,,,,,,,,,,,,,,,
,,2017 - 2018,"26,000.00","19,000.00",0.73,,,,,,,,,,,,,,,
,,2018 - 2019,"20,703.00","18,010.00",0.87,,,,,,,,,,,,,,,
,,2019 - 2020,"21,385.00","13,664.00",0.64,,,,,,,,,,,,,,,
,,2020 - 2021,"21,123.13","14,695.33",0.7,,,,,,,,,,,,,,,
,,2021 - 2022,"20,855.20","16,442.24",0.79,,,,,,,,,,,,,,,
,,2022 - 2023,"20,324.00","24,035.00",1.18,,,,,,,,,,,,,,,
,10. Palghar,2014 - 2015,"10,100.00","7,000.00",0.69,,,,,,,,,,,,,,,
,,2015 - 2016,"11,000.00","8,700.00",0.79,,,,,,,,,,,,,,,
,,2016 - 2017,"11,300.00","10,500.00",0.93,,,,,,,,,,,,,,,
,,2017 - 2018,"11,300.00","10,500.00",0.93,,,,,,,,,,,,,,,
,,2018 - 2019,"6,800.00","4,813.00",0.71,,,,,,,,,,,,,,,
,,2019 - 2020,"13,004.00","9,952.00",0.77,,,,,,,,,,,,,,,
,,2020 - 2021,"13,004.00","8,974.65",0.69,,,,,,,,,,,,,,,
,,2021 - 2022,"12,997.56","9,644.19",0.74,,,,,,,,,,,,,,,
,,2022 - 2023,"12,487.00","11,001.00",0.88,,,,,,,,,,,,,,,
,11. Pune,2000 - 2001,"12,500.00","11,200.00",0.9,,,,,,,,,,,,,,,
,,2001 - 2002,"11,700.00","9,700.00",0.83,,,,,,,,,,,,,,,
,,2002 - 2003,"12,000.00","10,300.00",0.86,,,,,,,,,,,,,,,
,,2003 - 2004,"13,000.00","10,400.00",0.8,,,,,,,,,,,,,,,
,,2004 - 2005,"13,600.00","11,000.00",0.81,,,,,,,,,,,,,,,
,,2005 - 2006,"12,700.00","10,200.00",0.8,,,,,,,,,,,,,,,
,,2006 - 2007,"13,800.00","9,500.00",0.69,,,,,,,,,,,,,,,
,,2007 - 2008,"12,500.00","11,100.00",0.89,,,,,,,,,,,,,,,
,,2008 - 2009,"9,100.00","9,200.00",1.01,,,,,,,,,,,,,,,
,,2009 - 2010,"9,400.00","6,300.00",0.67,,,,,,,,,,,,,,,
,,2010 - 2011,"9,400.00","8,600.00",0.91,,,,,,,,,,,,,,,
,,2011 - 2012,"10,300.00","11,900.00",1.16,,,,,,,,,,,,,,,
,,2012 - 2013,"10,600.00","11,700.00",1.1,,,,,,,,,,,,,,,
,,2013 - 2014,"10,600.00","13,600.00",1.28,,,,,,,,,,,,,,,
,,2014 - 2015,"12,100.00","13,200.00",1.09,,,,,,,,,,,,,,,
,,2015 - 2016,"3,200.00","2,700.00",0.84,,,,,,,,,,,,,,,
,,2016 - 2017,"3,500.00","2,900.00",0.83,,,,,,,,,,,,,,,
,,2017 - 2018,"2,700.00","2,200.00",0.81,,,,,,,,,,,,,,,
,,2018 - 2019,"2,479.00","1,767.00",0.71,,,,,,,,,,,,,,,
,,2019 - 2020,"2,555.00","1,847.00",0.72,,,,,,,,,,,,,,,
,,2020 - 2021,"2,448.24","1,925.29",0.79,,,,,,,,,,,,,,,
,,2021 - 2022,"2,457.97","2,906.06",1.18,,,,,,,,,,,,,,,
,,2022 - 2023,"2,000.00","1,906.00",0.95,,,,,,,,,,,,,,,
,12. Raigad,2000 - 2001,"11,900.00","7,900.00",0.66,,,,,,,,,,,,,,,
,,2001 - 2002,"11,200.00","10,100.00",0.9,,,,,,,,,,,,,,,
,,2002 - 2003,"11,000.00","7,200.00",0.65,,,,,,,,,,,,,,,
,,2003 - 2004,"11,000.00","9,600.00",0.87,,,,,,,,,,,,,,,
,,2004 - 2005,"10,900.00","8,300.00",0.76,,,,,,,,,,,,,,,
,,2005 - 2006,"10,000.00","7,700.00",0.77,,,,,,,,,,,,,,,
,,2006 - 2007,"10,100.00","7,400.00",0.73,,,,,,,,,,,,,,,
,,2007 - 2008,"10,400.00","7,700.00",0.74,,,,,,,,,,,,,,,
,,2008 - 2009,"10,300.00","8,800.00",0.85,,,,,,,,,,,,,,,
,,2009 - 2010,"10,600.00","8,700.00",0.82,,,,,,,,,,,,,,,
,,2010 - 2011,"10,800.00","8,300.00",0.77,,,,,,,,,,,,,,,
,,2011 - 2012,"11,100.00","9,500.00",0.86,,,,,,,,,,,,,,,
,,2012 - 2013,"11,100.00","9,100.00",0.82,,,,,,,,,,,,,,,
,,2013 - 2014,"11,100.00","9,400.00",0.85,,,,,,,,,,,,,,,
,,2014 - 2015,"8,100.00","7,700.00",0.95,,,,,,,,,,,,,,,
,,2015 - 2016,"7,200.00","7,200.00",1,,,,,,,,,,,,,,,
,,2016 - 2017,"6,800.00","5,600.00",0.82,,,,,,,,,,,,,,,
,,2017 - 2018,"6,700.00","5,300.00",0.79,,,,,,,,,,,,,,,
,,2018 - 2019,"4,714.00","4,360.00",0.92,,,,,,,,,,,,,,,
,,2019 - 2020,"4,911.00","4,008.00",0.82,,,,,,,,,,,,,,,
,,2020 - 2021,"5,068.24","4,814.09",0.95,,,,,,,,,,,,,,,
,,2021 - 2022,"5,148.86","6,216.74",1.21,,,,,,,,,,,,,,,
,,2022 - 2023,"4,905.00","4,934.00",1.01,,,,,,,,,,,,,,,
,13. Ratnagiri,2000 - 2001,"18,900.00","23,200.00",1.23,,,,,,,,,,,,,,,
,,2001 - 2002,"18,500.00","23,300.00",1.26,,,,,,,,,,,,,,,
,,2002 - 2003,"18,300.00","20,500.00",1.12,,,,,,,,,,,,,,,
,,2003 - 2004,"18,000.00","28,200.00",1.57,,,,,,,,,,,,,,,
,,2004 - 2005,"17,600.00","20,700.00",1.18,,,,,,,,,,,,,,,
,,2005 - 2006,"18,100.00","22,000.00",1.22,,,,,,,,,,,,,,,
,,2006 - 2007,"17,800.00","20,500.00",1.15,,,,,,,,,,,,,,,
,,2007 - 2008,"17,100.00","19,100.00",1.12,,,,,,,,,,,,,,,
,,2008 - 2009,"17,600.00","22,800.00",1.3,,,,,,,,,,,,,,,
,,2009 - 2010,"17,200.00","22,300.00",1.3,,,,,,,,,,,,,,,
,,2010 - 2011,"17,000.00","20,700.00",1.22,,,,,,,,,,,,,,,
,,2011 - 2012,"17,200.00","23,400.00",1.36,,,,,,,,,,,,,,,
,,2012 - 2013,"16,100.00","21,300.00",1.32,,,,,,,,,,,,,,,
,,2013 - 2014,"16,100.00","21,900.00",1.36,,,,,,,,,,,,,,,
,,2014 - 2015,"16,100.00","21,400.00",1.33,,,,,,,,,,,,,,,
,,2015 - 2016,"13,500.00","16,100.00",1.19,,,,,,,,,,,,,,,
,,2016 - 2017,"13,600.00","19,200.00",1.41,,,,,,,,,,,,,,,
,,2017 - 2018,"14,200.00","21,400.00",1.51,,,,,,,,,,,,,,,
,,2018 - 2019,"14,676.00","21,351.00",1.45,,,,,,,,,,,,,,,
,,2019 - 2020,"10,352.00","14,540.00",1.4,,,,,,,,,,,,,,,
,,2020 - 2021,"10,355.83","14,967.96",1.45,,,,,,,,,,,,,,,
,,2021 - 2022,"10,282.82","17,432.46",1.7,,,,,,,,,,,,,,,
,,2022 - 2023,"10,050.00","14,141.00",1.41,,,,,,,,,,,,,,,
,14. Sangli,2000 - 2001,900,"1,200.00",1.33,,,,,,,,,,,,,,,
,,2001 - 2002,900,"1,400.00",1.56,,,,,,,,,,,,,,,
,,2002 - 2003,500,700,1.4,,,,,,,,,,,,,,,
,,2003 - 2004,400,700,1.75,,,,,,,,,,,,,,,
,,2004 - 2005,400,500,1.25,,,,,,,,,,,,,,,
,,2005 - 2006,400,500,1.25,,,,,,,,,,,,,,,
,,2006 - 2007,100,100,1,,,,,,,,,,,,,,,
,,2007 - 2008,100,100,1,,,,,,,,,,,,,,,
,,2008 - 2009,100,100,1,,,,,,,,,,,,,,,
,,2009 - 2010,100,100,1,,,,,,,,,,,,,,,
,,2010 - 2011,100,200,2,,,,,,,,,,,,,,,
,,2011 - 2012,100,100,1,,,,,,,,,,,,,,,
,,2020 - 2021,128,223.65,1.75,,,,,,,,,,,,,,,
,,2021 - 2022,135.53,244.98,1.81,,,,,,,,,,,,,,,
,,2022 - 2023,136,284,2.09,,,,,,,,,,,,,,,
,15. Satara,2000 - 2001,"9,300.00","10,100.00",1.09,,,,,,,,,,,,,,,
,,2001 - 2002,"9,000.00","12,300.00",1.37,,,,,,,,,,,,,,,
,,2002 - 2003,"8,900.00","9,600.00",1.08,,,,,,,,,,,,,,,
,,2003 - 2004,"10,100.00","18,000.00",1.78,,,,,,,,,,,,,,,
,,2004 - 2005,"9,100.00","7,500.00",0.82,,,,,,,,,,,,,,,
,,2005 - 2006,"8,400.00","4,600.00",0.55,,,,,,,,,,,,,,,
,,2006 - 2007,"8,800.00","6,300.00",0.72,,,,,,,,,,,,,,,
,,2007 - 2008,"7,700.00","5,000.00",0.65,,,,,,,,,,,,,,,
,,2008 - 2009,"7,400.00","3,300.00",0.45,,,,,,,,,,,,,,,
,,2009 - 2010,"7,300.00","5,800.00",0.79,,,,,,,,,,,,,,,
,,2010 - 2011,"8,100.00","8,800.00",1.09,,,,,,,,,,,,,,,
,,2011 - 2012,"7,400.00","7,900.00",1.07,,,,,,,,,,,,,,,
,,2012 - 2013,"8,000.00","7,000.00",0.88,,,,,,,,,,,,,,,
,,2013 - 2014,"8,000.00","9,200.00",1.15,,,,,,,,,,,,,,,
,,2014 - 2015,"6,600.00","6,700.00",1.02,,,,,,,,,,,,,,,
,,2015 - 2016,"6,800.00","7,200.00",1.06,,,,,,,,,,,,,,,
,,2016 - 2017,"4,500.00","4,400.00",0.98,,,,,,,,,,,,,,,
,,2017 - 2018,"4,500.00","5,100.00",1.13,,,,,,,,,,,,,,,
,,2018 - 2019,"5,361.00","5,682.00",1.06,,,,,,,,,,,,,,,
,,2019 - 2020,"5,361.00","5,725.00",1.07,,,,,,,,,,,,,,,
,,2020 - 2021,"4,740.00","6,250.29",1.32,,,,,,,,,,,,,,,
,,2021 - 2022,"5,158.00","6,206.11",1.2,,,,,,,,,,,,,,,
,,2022 - 2023,"4,916.00","5,565.00",1.13,,,,,,,,,,,,,,,
,16. Sindhudurg,2000 - 2001,"3,200.00","3,800.00",1.19,,,,,,,,,,,,,,,
,,2001 - 2002,"2,900.00","3,200.00",1.1,,,,,,,,,,,,,,,
,,2002 - 2003,"2,700.00","2,100.00",0.78,,,,,,,,,,,,,,,
,,2003 - 2004,"2,800.00","4,800.00",1.71,,,,,,,,,,,,,,,
,,2004 - 2005,"2,700.00","3,000.00",1.11,,,,,,,,,,,,,,,
,,2005 - 2006,"3,000.00","3,100.00",1.03,,,,,,,,,,,,,,,
,,2006 - 2007,"3,000.00","3,600.00",1.2,,,,,,,,,,,,,,,
,,2007 - 2008,"3,000.00","3,300.00",1.1,,,,,,,,,,,,,,,
,,2008 - 2009,"3,000.00","3,300.00",1.1,,,,,,,,,,,,,,,
,,2009 - 2010,"3,100.00","3,800.00",1.23,,,,,,,,,,,,,,,
,,2010 - 2011,"3,200.00","3,500.00",1.09,,,,,,,,,,,,,,,
,,2011 - 2012,"3,200.00","3,400.00",1.06,,,,,,,,,,,,,,,
,,2012 - 2013,"3,200.00","3,700.00",1.16,,,,,,,,,,,,,,,
,,2013 - 2014,"3,200.00","5,200.00",1.63,,,,,,,,,,,,,,,
,,2014 - 2015,"2,400.00","3,800.00",1.58,,,,,,,,,,,,,,,
,,2015 - 2016,"2,100.00","3,500.00",1.67,,,,,,,,,,,,,,,
,,2016 - 2017,"1,800.00","3,200.00",1.78,,,,,,,,,,,,,,,
,,2017 - 2018,"1,800.00","2,600.00",1.44,,,,,,,,,,,,,,,
,,2018 - 2019,"1,832.00","2,884.00",1.57,,,,,,,,,,,,,,,
,,2019 - 2020,"1,315.00","2,683.00",2.04,,,,,,,,,,,,,,,
,,2020 - 2021,"1,306.32","2,329.10",1.78,,,,,,,,,,,,,,,
,,2021 - 2022,"1,284.32","2,484.78",1.93,,,,,,,,,,,,,,,
,,2022 - 2023,"1,284.00","2,350.00",1.83,,,,,,,,,,,,,,,
,17. Solapur,2016 - 2017,100,50,0.5,,,,,,,,,,,,,,,
,,2019 - 2020,185,155,0.84,,,,,,,,,,,,,,,
,,2020 - 2021,4,3.15,0.79,,,,,,,,,,,,,,,
,,2021 - 2022,4,4.73,1.18,,,,,,,,,,,,,,,
,18. Thane,2000 - 2001,"16,900.00","7,500.00",0.44,,,,,,,,,,,,,,,
,,2001 - 2002,"16,400.00","13,500.00",0.82,,,,,,,,,,,,,,,
,,2002 - 2003,"16,000.00","6,500.00",0.41,,,,,,,,,,,,,,,
,,2003 - 2004,"16,000.00","12,400.00",0.78,,,,,,,,,,,,,,,
,,2004 - 2005,"15,900.00","16,000.00",1.01,,,,,,,,,,,,,,,
,,2005 - 2006,"15,700.00","14,300.00",0.91,,,,,,,,,,,,,,,
