State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,13. Spsr nellore,2000 - 2001,316,96,0.3,,,,,,
,,2001 - 2002,17,5,0.29,,,,,,
,,2002 - 2003,11,2,0.18,,,,,,
,,2003 - 2004,1,,0,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,
,,2008 - 2009,19,13,0.68,,,,,,
,,2011 - 2012,103,55,0.53,,,,,,
,,2013 - 2014,6,5,0.83,12,10,0.83,,,
,,2017 - 2018,23,18,0.78,,,,,,
,,2018 - 2019,,,,8,2,0.25,,,
,,2021 - 2022,9,3,0.33,21,7,0.33,,,
,,2022 - 2023,4,1,0.25,22,7,0.32,,,
,14. Sri sathya sai,2022 - 2023,"5,020.00","1,325.00",0.26,22,7,0.32,,,
,15. Srikakulam,2019 - 2020,1,1,1,,,,,,
,16. Visakhapatanam,2000 - 2001,8,2,0.25,,,,,,
,,2001 - 2002,6,2,0.33,,,,,,
,,2002 - 2003,6,1,0.17,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,
,,2004 - 2005,4,2,0.5,,,,,,
,,2005 - 2006,2,1,0.5,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,
,,2015 - 2016,2,2,1,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,
,17. Vizianagaram,2000 - 2001,2,1,0.5,,,,,,
,,2003 - 2004,8,3,0.38,,,,,,
,,2004 - 2005,4,2,0.5,,,,,,
,,2005 - 2006,8,3,0.38,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2010 - 2011,17,7,0.41,,,,,,
,,2011 - 2012,4,2,0.5,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,,2020 - 2021,8,2,0.25,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,
,18. West godavari,2000 - 2001,276,84,0.3,,,,,,
,,2001 - 2002,14,4,0.29,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,
2. Assam,1. Baksa,2005 - 2006,22,11,0.5,,,,,,
,,2006 - 2007,41,21,0.51,,,,,,
,,2007 - 2008,27,14,0.52,,,,,,
,,2008 - 2009,32,16,0.5,,,,,,
,,2009 - 2010,33,17,0.52,,,,,,
,,2010 - 2011,27,14,0.52,,,,,,
,,2011 - 2012,31,19,0.61,,,,,,
,,2012 - 2013,25,16,0.64,,,,,,
,,2013 - 2014,25,14,0.56,,,,,,
,,2014 - 2015,27,19,0.7,,,,,,
,,2015 - 2016,20,13,0.65,,,,,,
,,2016 - 2017,20,14,0.7,,,,,,
,,2017 - 2018,17,11,0.65,,,,,,
,,2018 - 2019,15,10,0.67,,,,,,
,,2019 - 2020,15,9,0.6,,,,,,
,,2020 - 2021,14,8,0.57,,,,,,
,,2021 - 2022,13,8,0.62,,,,,,
,,2022 - 2023,11,6,0.55,,,,,,
,2. Barpeta,2000 - 2001,11,6,0.55,,,,,,
,,2001 - 2002,10,6,0.6,,,,,,
,,2002 - 2003,10,6,0.6,,,,,,
,,2003 - 2004,11,6,0.55,,,,,,
,,2004 - 2005,11,6,0.55,,,,,,
,,2005 - 2006,16,9,0.56,,,,,,
,,2006 - 2007,15,8,0.53,,,,,,
,,2007 - 2008,17,10,0.59,,,,,,
,,2008 - 2009,44,26,0.59,,,,,,
,,2009 - 2010,54,31,0.57,,,,,,
,,2010 - 2011,34,20,0.59,,,,,,
,,2011 - 2012,14,10,0.71,,,,,,
,,2012 - 2013,14,11,0.79,,,,,,
