State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2020 - 2021,"10,551.00","17,109.00",1.62,,,,,,
,,2021 - 2022,"13,652.00","24,959.00",1.83,,,,,,
,,2022 - 2023,"14,565.00","28,063.00",1.93,,,,,,
,5. Banas kantha,2000 - 2001,"1,26,100.00","2,44,200.00",1.94,,,,,,
,,2001 - 2002,"62,200.00","1,47,100.00",2.36,,,,,,
,,2002 - 2003,"54,100.00","69,800.00",1.29,,,,,,
,,2003 - 2004,"63,800.00","1,32,900.00",2.08,,,,,,
,,2004 - 2005,"73,500.00","1,25,900.00",1.71,,,,,,
,,2005 - 2006,"81,700.00","1,74,300.00",2.13,,,,,,
,,2006 - 2007,"59,600.00","92,500.00",1.55,,,,,,
,,2007 - 2008,"60,800.00","1,35,300.00",2.23,,,,,,
,,2008 - 2009,"82,700.00","1,78,400.00",2.16,,,,,,
,,2009 - 2010,"90,800.00","2,14,300.00",2.36,,,,,,
,,2010 - 2011,"78,200.00","1,85,700.00",2.37,,,,,,
,,2011 - 2012,"1,79,000.00","3,67,000.00",2.05,,,,,,
,,2012 - 2013,"1,27,700.00","3,08,200.00",2.41,,,,,,
,,2013 - 2014,"1,10,513.00","2,77,156.00",2.51,,,,,,
,,2014 - 2015,"1,33,166.00","3,58,576.00",2.69,,,,,,
,,2015 - 2016,"1,40,751.00","2,63,781.00",1.87,,,,,,
,,2016 - 2017,"1,01,535.00","2,20,067.00",2.17,,,,,,
,,2017 - 2018,"1,12,008.00","3,60,909.00",3.22,,,,,,
,,2018 - 2019,"60,028.00","1,72,216.00",2.87,,,,,,
,,2019 - 2020,"93,317.00","2,23,575.00",2.4,,,,,,
,,2020 - 2021,"98,866.00","2,63,896.00",2.67,,,,,,
,,2021 - 2022,"78,862.00","2,17,162.00",2.75,,,,,,
,,2022 - 2023,"84,052.00","2,28,200.00",2.71,,,,,,
,6. Bharuch,2000 - 2001,"2,000.00","2,700.00",1.35,,,,,,
,,2001 - 2002,"1,100.00","1,900.00",1.73,,,,,,
,,2002 - 2003,"1,200.00","1,400.00",1.17,,,,,,
,,2003 - 2004,"1,000.00","1,800.00",1.8,,,,,,
,,2004 - 2005,"2,000.00","3,500.00",1.75,,,,,,
,,2005 - 2006,"2,300.00","4,500.00",1.96,,,,,,
,,2006 - 2007,"1,200.00","2,300.00",1.92,,,,,,
,,2007 - 2008,"6,400.00","12,700.00",1.98,,,,,,
,,2008 - 2009,"7,800.00","15,400.00",1.97,,,,,,
,,2009 - 2010,"6,900.00","13,500.00",1.96,,,,,,
,,2010 - 2011,"4,900.00","8,100.00",1.65,,,,,,
,,2011 - 2012,"7,000.00","14,400.00",2.06,,,,,,
,,2012 - 2013,"5,800.00","11,500.00",1.98,,,,,,
,,2013 - 2014,"3,325.00","7,214.00",2.17,,,,,,
,,2014 - 2015,"3,550.00","4,791.00",1.35,,,,,,
,,2015 - 2016,"2,670.00","3,615.00",1.35,,,,,,
,,2016 - 2017,"3,565.00","5,882.00",1.65,,,,,,
,,2017 - 2018,"3,260.00","10,214.00",3.13,,,,,,
,,2018 - 2019,"2,788.00","3,461.00",1.24,,,,,,
,,2019 - 2020,900,"1,187.00",1.32,,,,,,
,,2020 - 2021,"1,860.00","2,756.00",1.48,,,,,,
,,2021 - 2022,"2,383.00","3,791.00",1.59,,,,,,
,,2022 - 2023,"2,472.00","4,528.00",1.83,,,,,,
,7. Bhavnagar,2000 - 2001,"3,100.00","4,300.00",1.39,,,,,,
,,2001 - 2002,"1,100.00","2,000.00",1.82,,,,,,
,,2002 - 2003,600,700,1.17,,,,,,
,,2003 - 2004,100,200,2,,,,,,
,,2004 - 2005,800,"1,300.00",1.63,,,,,,
,,2005 - 2006,200,500,2.5,,,,,,
,,2006 - 2007,600,"1,000.00",1.67,,,,,,
,,2007 - 2008,100,300,3,,,,,,
,,2008 - 2009,700,"1,400.00",2,,,,,,
,,2009 - 2010,300,700,2.33,,,,,,
,,2010 - 2011,300,600,2,,,,,,
,,2011 - 2012,700,"1,500.00",2.14,,,,,,
,,2012 - 2013,900,"1,800.00",2,,,,,,
,,2013 - 2014,505,"1,096.00",2.17,,,,,,
,,2014 - 2015,"1,027.00","2,304.00",2.24,,,,,,
,,2015 - 2016,"2,302.00","2,831.00",1.23,,,,,,
,,2016 - 2017,33,68,2.06,,,,,,
,,2017 - 2018,158,401,2.54,,,,,,
,,2018 - 2019,174,315,1.81,,,,,,
,,2019 - 2020,88,171,1.94,,,,,,
,,2021 - 2022,4,9,2.25,,,,,,
,,2022 - 2023,65,146,2.25,,,,,,
,8. Botad,2014 - 2015,"12,764.00","38,231.00",3,,,,,,
,,2015 - 2016,"10,875.00","30,381.00",2.79,,,,,,
,,2016 - 2017,"10,270.00","28,447.00",2.77,,,,,,
,,2017 - 2018,"6,070.00","17,715.00",2.92,,,,,,
,,2018 - 2019,"5,426.00","9,826.00",1.81,,,,,,
,,2019 - 2020,"20,396.00","41,411.00",2.03,,,,,,
,,2020 - 2021,"3,935.00","8,646.00",2.2,,,,,,
,,2021 - 2022,103,222,2.16,,,,,,
,,2022 - 2023,94,211,2.24,,,,,,
,9. Chhotaudepur,2014 - 2015,"1,463.00","3,179.00",2.17,,,,,,
,,2015 - 2016,"5,040.00","9,714.00",1.93,,,,,,
,,2016 - 2017,"1,365.00","3,054.00",2.24,,,,,,
,,2017 - 2018,"2,900.00","5,441.00",1.88,,,,,,
,,2018 - 2019,"4,117.00","6,843.00",1.66,,,,,,
,,2019 - 2020,77,162,2.1,,,,,,
,,2020 - 2021,61,117,1.92,,,,,,
,,2021 - 2022,"1,068.00","2,302.00",2.16,,,,,,
,,2022 - 2023,"2,016.00","4,517.00",2.24,,,,,,
,10. Devbhumi dwarka,2014 - 2015,"1,360.00","3,413.00",2.51,,,,,,
,,2015 - 2016,"1,253.00","1,967.00",1.57,,,,,,
,,2016 - 2017,651,"1,175.00",1.8,,,,,,
,,2017 - 2018,388,"1,148.00",2.96,,,,,,
,,2018 - 2019,80,145,1.81,,,,,,
,,2019 - 2020,66,135,2.05,,,,,,
,,2020 - 2021,62,128,2.06,,,,,,
,,2022 - 2023,19,43,2.26,,,,,,
,11. Dohad,2003 - 2004,100,200,2,,,,,,
,,2004 - 2005,100,200,2,,,,,,
,,2005 - 2006,100,200,2,,,,,,
,,2006 - 2007,300,500,1.67,,,,,,
,,2007 - 2008,200,400,2,,,,,,
,,2008 - 2009,300,600,2,,,,,,
,,2009 - 2010,100,200,2,,,,,,
,,2010 - 2011,400,800,2,,,,,,
,,2011 - 2012,400,800,2,,,,,,
,,2012 - 2013,500,"1,100.00",2.2,,,,,,
,,2013 - 2014,435,944,2.17,,,,,,
,,2014 - 2015,18,40,2.22,,,,,,
,,2015 - 2016,207,410,1.98,,,,,,
,,2017 - 2018,157,399,2.54,,,,,,
,,2018 - 2019,172,311,1.81,,,,,,
,,2019 - 2020,3,6,2,,,,,,
,12. Gandhinagar,2000 - 2001,"8,200.00","11,300.00",1.38,,,,,,
,,2001 - 2002,"7,800.00","12,800.00",1.64,,,,,,
,,2002 - 2003,"7,500.00","17,000.00",2.27,,,,,,
,,2003 - 2004,"17,900.00","36,700.00",2.05,,,,,,
,,2004 - 2005,"29,100.00","51,300.00",1.76,,,,,,
,,2005 - 2006,"24,600.00","53,700.00",2.18,,,,,,
,,2006 - 2007,"27,200.00","54,500.00",2,,,,,,
,,2007 - 2008,"24,300.00","54,100.00",2.23,,,,,,
,,2008 - 2009,"29,900.00","64,400.00",2.15,,,,,,
,,2009 - 2010,"23,400.00","50,700.00",2.17,,,,,,
,,2010 - 2011,"30,300.00","66,900.00",2.21,,,,,,
,,2011 - 2012,"29,000.00","58,600.00",2.02,,,,,,
,,2012 - 2013,"28,600.00","59,400.00",2.08,,,,,,
,,2013 - 2014,"29,506.00","72,576.00",2.46,,,,,,
,,2014 - 2015,"29,304.00","74,356.00",2.54,,,,,,
,,2015 - 2016,"22,711.00","54,218.00",2.39,,,,,,
,,2016 - 2017,"24,284.00","54,270.00",2.23,,,,,,
,,2017 - 2018,"28,449.00","70,977.00",2.49,,,,,,
,,2018 - 2019,"25,222.00","62,192.00",2.47,,,,,,
,,2019 - 2020,"25,329.00","59,040.00",2.33,,,,,,
,,2020 - 2021,"24,772.00","59,853.00",2.42,,,,,,
,,2021 - 2022,"16,575.00","38,506.00",2.32,,,,,,
,,2022 - 2023,"20,838.00","49,379.00",2.37,,,,,,
,13. Gir somnath,2014 - 2015,205,592,2.89,,,,,,
,,2015 - 2016,92,182,1.98,,,,,,
,,2016 - 2017,59,122,2.07,,,,,,
,,2017 - 2018,148,376,2.54,,,,,,
,,2018 - 2019,149,269,1.81,,,,,,
,,2019 - 2020,32,62,1.94,,,,,,
,,2020 - 2021,108,223,2.06,,,,,,
,,2021 - 2022,75,162,2.16,,,,,,
,,2022 - 2023,10,22,2.2,,,,,,
,14. Jamnagar,2000 - 2001,"16,400.00","20,100.00",1.23,,,,,,
,,2001 - 2002,"9,900.00","21,200.00",2.14,,,,,,
,,2002 - 2003,"9,500.00","5,600.00",0.59,,,,,,
,,2003 - 2004,"12,800.00","47,800.00",3.73,,,,,,
,,2004 - 2005,"9,300.00","24,600.00",2.65,,,,,,
,,2005 - 2006,"9,000.00","29,400.00",3.27,,,,,,
,,2006 - 2007,"9,700.00","27,500.00",2.84,,,,,,
,,2007 - 2008,"10,900.00","36,400.00",3.34,,,,,,
,,2008 - 2009,"9,100.00","26,900.00",2.96,,,,,,
,,2009 - 2010,"8,300.00","29,900.00",3.6,,,,,,
,,2010 - 2011,"6,300.00","20,700.00",3.29,,,,,,
,,2011 - 2012,"14,000.00","50,800.00",3.63,,,,,,
,,2012 - 2013,"30,300.00","67,700.00",2.23,,,,,,
,,2013 - 2014,"22,614.00","81,327.00",3.6,,,,,,
,,2014 - 2015,"10,316.00","24,375.00",2.36,,,,,,
,,2015 - 2016,"8,752.00","18,491.00",2.11,,,,,,
,,2016 - 2017,"8,290.00","30,588.00",3.69,,,,,,
,,2017 - 2018,"7,175.00","27,395.00",3.82,,,,,,
,,2018 - 2019,"5,212.00","7,112.00",1.36,,,,,,
,,2019 - 2020,"4,179.00","12,296.00",2.94,,,,,,
,,2020 - 2021,"3,204.00","9,200.00",2.87,,,,,,
,,2021 - 2022,"3,837.00","11,323.00",2.95,,,,,,
,,2022 - 2023,"5,204.00","15,995.00",3.07,,,,,,
,15. Junagadh,2000 - 2001,"13,600.00","19,000.00",1.4,,,,,,
,,2001 - 2002,"7,000.00","12,600.00",1.8,,,,,,
,,2002 - 2003,"3,900.00","4,100.00",1.05,,,,,,
,,2003 - 2004,"2,700.00","6,700.00",2.48,,,,,,
,,2004 - 2005,"2,900.00","4,900.00",1.69,,,,,,
,,2005 - 2006,"3,800.00","7,400.00",1.95,,,,,,
,,2006 - 2007,"5,100.00","9,100.00",1.78,,,,,,
,,2007 - 2008,"2,700.00","5,400.00",2,,,,,,
,,2008 - 2009,"2,200.00","4,400.00",2,,,,,,
,,2009 - 2010,"1,300.00","2,500.00",1.92,,,,,,
,,2010 - 2011,600,"1,200.00",2,,,,,,
,,2011 - 2012,"2,000.00","4,100.00",2.05,,,,,,
,,2012 - 2013,"1,100.00","2,200.00",2,,,,,,
,,2013 - 2014,"2,500.00","5,424.00",2.17,,,,,,
,,2014 - 2015,989,"2,547.00",2.58,,,,,,
,,2015 - 2016,"1,015.00","3,268.00",3.22,,,,,,
,,2016 - 2017,468,886,1.89,,,,,,
,,2017 - 2018,228,579,2.54,,,,,,
,,2018 - 2019,822,"1,487.00",1.81,,,,,,
,,2019 - 2020,481,935,1.94,,,,,,
,,2020 - 2021,977,"2,013.00",2.06,,,,,,
,,2021 - 2022,632,"1,362.00",2.16,,,,,,
,,2022 - 2023,307,688,2.24,,,,,,
,16. Kachchh,2000 - 2001,"61,800.00","1,07,800.00",1.74,,,,,,
,,2001 - 2002,"52,700.00","58,600.00",1.11,,,,,,
,,2002 - 2003,"33,000.00","46,000.00",1.39,,,,,,
,,2003 - 2004,"69,100.00","1,09,900.00",1.59,,,,,,
,,2004 - 2005,"56,500.00","1,06,600.00",1.89,,,,,,
,,2005 - 2006,"45,200.00","59,100.00",1.31,,,,,,
,,2006 - 2007,"63,600.00","1,28,000.00",2.01,,,,,,
,,2007 - 2008,"54,900.00","1,01,400.00",1.85,,,,,,
,,2008 - 2009,"63,900.00","1,05,600.00",1.65,,,,,,
,,2009 - 2010,"46,600.00","72,600.00",1.56,,,,,,
,,2010 - 2011,"75,400.00","1,33,200.00",1.77,,,,,,
,,2011 - 2012,"1,39,000.00","2,75,400.00",1.98,,,,,,
,,2012 - 2013,"1,29,100.00","2,44,500.00",1.89,,,,,,
,,2013 - 2014,"97,150.00","2,10,048.00",2.16,,,,,,
,,2014 - 2015,"92,847.00","1,75,843.00",1.89,,,,,,
,,2015 - 2016,"75,629.00","1,89,609.00",2.51,,,,,,
,,2016 - 2017,"76,794.00","1,80,727.00",2.35,,,,,,
,,2017 - 2018,"99,437.00","2,49,769.00",2.51,,,,,,
,,2018 - 2019,"41,036.00","29,825.00",0.73,,,,,,
,,2019 - 2020,"1,33,589.00","2,08,297.00",1.56,,,,,,
,,2020 - 2021,"1,26,299.00","2,29,157.00",1.81,,,,,,
,,2021 - 2022,"1,32,883.00","2,39,940.00",1.81,,,,,,
,,2022 - 2023,"1,90,503.00","3,65,996.00",1.92,,,,,,
,17. Kheda,2000 - 2001,"13,700.00","8,400.00",0.61,,,,,,
,,2001 - 2002,"7,300.00","5,400.00",0.74,,,,,,
,,2002 - 2003,"9,100.00","10,300.00",1.13,,,,,,
,,2003 - 2004,"6,200.00","9,600.00",1.55,,,,,,
,,2004 - 2005,"6,700.00","9,900.00",1.48,,,,,,
,,2005 - 2006,"10,500.00","16,400.00",1.56,,,,,,
,,2006 - 2007,"7,900.00","11,900.00",1.51,,,,,,
,,2007 - 2008,"17,400.00","27,500.00",1.58,,,,,,
,,2008 - 2009,"14,400.00","20,800.00",1.44,,,,,,
,,2009 - 2010,"8,500.00","13,500.00",1.59,,,,,,
,,2010 - 2011,"9,100.00","12,900.00",1.42,,,,,,
,,2011 - 2012,"23,000.00","33,200.00",1.44,,,,,,
,,2012 - 2013,"17,400.00","32,000.00",1.84,,,,,,
,,2013 - 2014,"25,812.00","38,870.00",1.51,,,,,,
,,2014 - 2015,"12,607.00","22,531.00",1.79,,,,,,
,,2015 - 2016,"8,180.00","15,065.00",1.84,,,,,,
,,2016 - 2017,"5,391.00","8,322.00",1.54,,,,,,
,,2017 - 2018,"7,017.00","11,834.00",1.69,,,,,,
,,2018 - 2019,"9,354.00","16,614.00",1.78,,,,,,
,,2019 - 2020,"12,870.00","24,344.00",1.89,,,,,,
,,2020 - 2021,"12,230.00","22,865.00",1.87,,,,,,
,,2021 - 2022,"12,772.00","30,520.00",2.39,,,,,,
,,2022 - 2023,"12,390.00","28,125.00",2.27,,,,,,
,18. Mahesana,2000 - 2001,"82,000.00","94,800.00",1.16,,,,,,
,,2001 - 2002,"75,400.00","1,11,700.00",1.48,,,,,,
,,2002 - 2003,"46,800.00","63,900.00",1.37,,,,,,
,,2003 - 2004,"26,800.00","46,100.00",1.72,,,,,,
,,2004 - 2005,"34,800.00","59,900.00",1.72,,,,,,
,,2005 - 2006,"34,100.00","64,200.00",1.88,,,,,,
,,2006 - 2007,"35,300.00","68,500.00",1.94,,,,,,
,,2007 - 2008,"42,500.00","91,900.00",2.16,,,,,,
,,2008 - 2009,"58,200.00","1,16,200.00",2,,,,,,
,,2009 - 2010,"45,700.00","96,000.00",2.1,,,,,,
,,2010 - 2011,"60,400.00","1,19,100.00",1.97,,,,,,
,,2011 - 2012,"92,000.00","1,95,000.00",2.12,,,,,,
,,2012 - 2013,"70,000.00","1,57,700.00",2.25,,,,,,
,,2013 - 2014,"58,804.00","1,25,735.00",2.14,,,,,,
,,2014 - 2015,"77,652.00","1,59,256.00",2.05,,,,,,
,,2015 - 2016,"84,222.00","2,01,745.00",2.4,,,,,,
,,2016 - 2017,"66,317.00","1,55,255.00",2.34,,,,,,
,,2017 - 2018,"70,103.00","1,72,178.00",2.46,,,,,,
,,2018 - 2019,"87,184.00","1,92,937.00",2.21,,,,,,
,,2019 - 2020,"97,776.00","2,33,669.00",2.39,,,,,,
,,2020 - 2021,"81,395.00","1,96,038.00",2.41,,,,,,
,,2021 - 2022,"82,858.00","2,04,985.00",2.47,,,,,,
,,2022 - 2023,"88,105.00","2,18,967.00",2.49,,,,,,
,19. Mahisagar,2014 - 2015,"1,169.00","2,234.00",1.91,,,,,,
,,2015 - 2016,"2,815.00","3,265.00",1.16,,,,,,
,,2016 - 2017,670,738,1.1,,,,,,
,,2017 - 2018,810,"1,448.00",1.79,,,,,,
,,2018 - 2019,"2,506.00","3,301.00",1.32,,,,,,
,,2019 - 2020,"3,717.00","6,496.00",1.75,,,,,,
,,2020 - 2021,"3,113.00","4,821.00",1.55,,,,,,
,,2021 - 2022,"3,659.00","6,517.00",1.78,,,,,,
,,2022 - 2023,"2,700.00","4,746.00",1.76,,,,,,
,20. Morbi,2014 - 2015,"5,630.00","18,236.00",3.24,,,,,,
,,2015 - 2016,196,424,2.16,,,,,,
,,2016 - 2017,85,184,2.16,,,,,,
,,2017 - 2018,144,350,2.43,,,,,,
,,2018 - 2019,217,487,2.24,,,,,,
,,2019 - 2020,105,204,1.94,,,,,,
,,2021 - 2022,"8,470.00","27,784.00",3.28,,,,,,
,,2022 - 2023,"14,250.00","42,576.00",2.99,,,,,,
,21. Narmada,2003 - 2004,100,200,2,,,,,,
,,2004 - 2005,700,"1,300.00",1.86,,,,,,
,,2005 - 2006,"1,300.00","2,400.00",1.85,,,,,,
,,2006 - 2007,900,"1,700.00",1.89,,,,,,
,,2007 - 2008,"1,000.00","2,000.00",2,,,,,,
,,2008 - 2009,800,"1,500.00",1.88,,,,,,
,,2009 - 2010,500,"1,100.00",2.2,,,,,,
,,2010 - 2011,300,700,2.33,,,,,,
,,2011 - 2012,"2,200.00","4,500.00",2.05,,,,,,
,,2012 - 2013,"1,200.00","2,300.00",1.92,,,,,,
,,2013 - 2014,"1,172.00","2,543.00",2.17,,,,,,
,,2014 - 2015,529,871,1.65,,,,,,
,,2015 - 2016,364,750,2.06,,,,,,
,,2016 - 2017,242,502,2.07,,,,,,
,,2017 - 2018,196,498,2.54,,,,,,
,,2018 - 2019,256,463,1.81,,,,,,
,,2019 - 2020,51,99,1.94,,,,,,
,,2020 - 2021,166,342,2.06,,,,,,
,,2021 - 2022,576,"1,242.00",2.16,,,,,,
,,2022 - 2023,703,"1,575.00",2.24,,,,,,
,22. Navsari,2004 - 2005,100,100,1,,,,,,
,23. Panch mahals,2000 - 2001,"2,400.00","3,400.00",1.42,,,,,,
,,2001 - 2002,"2,500.00","4,500.00",1.8,,,,,,
,,2002 - 2003,"1,500.00","1,800.00",1.2,,,,,,
,,2003 - 2004,"2,000.00","3,800.00",1.9,,,,,,
,,2004 - 2005,"2,600.00","4,400.00",1.69,,,,,,
,,2005 - 2006,"1,900.00","3,600.00",1.89,,,,,,
,,2006 - 2007,"1,800.00","3,400.00",1.89,,,,,,
,,2007 - 2008,"1,900.00","3,800.00",2,,,,,,
,,2008 - 2009,"3,000.00","6,000.00",2,,,,,,
,,2009 - 2010,"2,200.00","4,200.00",1.91,,,,,,
,,2010 - 2011,"3,600.00","7,300.00",2.03,,,,,,
,,2011 - 2012,"12,000.00","24,700.00",2.06,,,,,,
,,2012 - 2013,"10,800.00","21,400.00",1.98,,,,,,
,,2013 - 2014,"1,270.00","2,755.00",2.17,,,,,,
,,2014 - 2015,"1,132.00","1,454.00",1.28,,,,,,
,,2015 - 2016,"3,712.00","4,534.00",1.22,,,,,,
,,2016 - 2017,"2,932.00","4,290.00",1.46,,,,,,
,,2017 - 2018,"4,691.00","6,849.00",1.46,,,,,,
,,2018 - 2019,"1,080.00","1,640.00",1.52,,,,,,
,,2019 - 2020,"4,267.00","6,505.00",1.52,,,,,,
,,2020 - 2021,"1,976.00","3,143.00",1.59,,,,,,
,,2021 - 2022,"5,345.00","9,067.00",1.7,,,,,,
,,2022 - 2023,"5,214.00","8,772.00",1.68,,,,,,
,24. Patan,2003 - 2004,"27,300.00","42,600.00",1.56,,,,,,
,,2004 - 2005,"33,400.00","48,400.00",1.45,,,,,,
,,2005 - 2006,"29,600.00","52,400.00",1.77,,,,,,
,,2006 - 2007,"16,800.00","20,400.00",1.21,,,,,,
,,2007 - 2008,"31,500.00","47,000.00",1.49,,,,,,
,,2008 - 2009,"42,100.00","68,300.00",1.62,,,,,,
,,2009 - 2010,"46,800.00","67,900.00",1.45,,,,,,
,,2010 - 2011,"48,900.00","90,600.00",1.85,,,,,,
,,2011 - 2012,"1,31,000.00","2,31,300.00",1.77,,,,,,
,,2012 - 2013,"77,700.00","1,25,500.00",1.62,,,,,,
,,2013 - 2014,"61,507.00","1,13,474.00",1.84,,,,,,
,,2014 - 2015,"1,02,860.00","1,89,982.00",1.85,,,,,,
,,2015 - 2016,"99,785.00","1,87,825.00",1.88,,,,,,
,,2016 - 2017,"82,375.00","1,55,944.00",1.89,,,,,,
,,2017 - 2018,"69,860.00","1,53,733.00",2.2,,,,,,
,,2018 - 2019,"58,976.00","1,13,073.00",1.92,,,,,,
,,2019 - 2020,"1,08,631.00","1,87,119.00",1.72,,,,,,
,,2020 - 2021,"99,588.00","1,90,581.00",1.91,,,,,,
,,2021 - 2022,"95,883.00","2,00,453.00",2.09,,,,,,
,,2022 - 2023,"87,474.00","1,97,916.00",2.26,,,,,,
,25. Porbandar,2003 - 2004,"1,100.00","2,000.00",1.82,,,,,,
,,2004 - 2005,600,"1,000.00",1.67,,,,,,
,,2005 - 2006,800,"1,500.00",1.88,,,,,,
,,2006 - 2007,900,"1,600.00",1.78,,,,,,
,,2007 - 2008,600,"1,200.00",2,,,,,,
,,2008 - 2009,600,"1,200.00",2,,,,,,
,,2009 - 2010,200,400,2,,,,,,
,,2010 - 2011,300,500,1.67,,,,,,
,,2011 - 2012,"6,000.00","12,300.00",2.05,,,,,,
,,2012 - 2013,300,600,2,,,,,,
,,2013 - 2014,"2,290.00","4,968.00",2.17,,,,,,
,,2014 - 2015,"1,085.00","3,175.00",2.93,,,,,,
,,2015 - 2016,"2,910.00","7,340.00",2.52,,,,,,
,,2016 - 2017,745,"1,765.00",2.37,,,,,,
,,2017 - 2018,775,"1,868.00",2.41,,,,,,
,,2018 - 2019,240,531,2.21,,,,,,
,,2019 - 2020,35,43,1.23,,,,,,
,26. Rajkot,2000 - 2001,"17,000.00","13,000.00",0.76,,,,,,
,,2001 - 2002,"8,000.00","14,500.00",1.81,,,,,,
,,2002 - 2003,"7,400.00","4,700.00",0.64,,,,,,
,,2003 - 2004,"6,700.00","21,700.00",3.24,,,,,,
,,2004 - 2005,"9,800.00","30,400.00",3.1,,,,,,
,,2005 - 2006,"6,400.00","20,900.00",3.27,,,,,,
,,2006 - 2007,"5,200.00","16,400.00",3.15,,,,,,
,,2007 - 2008,"5,300.00","16,100.00",3.04,,,,,,
,,2008 - 2009,"4,600.00","10,700.00",2.33,,,,,,
,,2009 - 2010,"14,800.00","54,700.00",3.7,,,,,,
,,2010 - 2011,"12,900.00","22,400.00",1.74,,,,,,
,,2011 - 2012,"16,000.00","46,200.00",2.89,,,,,,
,,2012 - 2013,"26,700.00","22,500.00",0.84,,,,,,
,,2013 - 2014,"6,304.00","16,775.00",2.66,,,,,,
,,2014 - 2015,"9,331.00","22,700.00",2.43,,,,,,
,,2015 - 2016,"8,262.00","10,297.00",1.25,,,,,,
,,2016 - 2017,"11,675.00","20,840.00",1.79,,,,,,
,,2017 - 2018,"8,546.00","24,528.00",2.87,,,,,,
,,2018 - 2019,"9,263.00","12,137.00",1.31,,,,,,
,,2019 - 2020,"5,351.00","8,091.00",1.51,,,,,,
,,2020 - 2021,"5,519.00","12,440.00",2.25,,,,,,
,,2021 - 2022,"5,035.00","14,344.00",2.85,,,,,,
,,2022 - 2023,"6,334.00","19,661.00",3.1,,,,,,
,27. Sabar kantha,2000 - 2001,"48,500.00","41,900.00",0.86,,,,,,
,,2001 - 2002,"35,000.00","24,400.00",0.7,,,,,,
,,2002 - 2003,"33,600.00","16,200.00",0.48,,,,,,
,,2003 - 2004,"30,400.00","38,800.00",1.28,,,,,,
,,2004 - 2005,"36,400.00","41,200.00",1.13,,,,,,
,,2005 - 2006,"43,200.00","79,900.00",1.85,,,,,,
,,2006 - 2007,"38,700.00","53,900.00",1.39,,,,,,
,,2007 - 2008,"43,500.00","65,300.00",1.5,,,,,,
,,2008 - 2009,"48,000.00","90,000.00",1.88,,,,,,
,,2009 - 2010,"54,500.00","92,800.00",1.7,,,,,,
,,2010 - 2011,"73,400.00","1,25,700.00",1.71,,,,,,
,,2011 - 2012,"74,000.00","1,31,500.00",1.78,,,,,,
,,2012 - 2013,"60,100.00","1,07,500.00",1.79,,,,,,
,,2013 - 2014,"67,170.00","1,30,854.00",1.95,,,,,,
,,2014 - 2015,"25,110.00","50,283.00",2,,,,,,
,,2015 - 2016,"31,930.00","64,786.00",2.03,,,,,,
,,2016 - 2017,"17,322.00","32,784.00",1.89,,,,,,
,,2017 - 2018,"19,185.00","44,121.00",2.3,,,,,,
,,2018 - 2019,"22,322.00","49,527.00",2.22,,,,,,
,,2019 - 2020,"31,789.00","71,471.00",2.25,,,,,,
,,2020 - 2021,"23,582.00","54,179.00",2.3,,,,,,
,,2021 - 2022,"21,300.00","44,304.00",2.08,,,,,,
,,2022 - 2023,"24,430.00","50,673.00",2.07,,,,,,
,28. Surat,2000 - 2001,300,400,1.33,,,,,,
,,2001 - 2002,400,700,1.75,,,,,,
,,2002 - 2003,600,700,1.17,,,,,,
,,2003 - 2004,400,700,1.75,,,,,,
,,2004 - 2005,300,500,1.67,,,,,,
,,2005 - 2006,400,800,2,,,,,,
,,2006 - 2007,400,700,1.75,,,,,,
,,2007 - 2008,200,400,2,,,,,,
,,2008 - 2009,200,500,2.5,,,,,,
,,2009 - 2010,300,500,1.67,,,,,,
,,2010 - 2011,300,600,2,,,,,,
,,2011 - 2012,"3,000.00","6,200.00",2.07,,,,,,
,,2012 - 2013,400,800,2,,,,,,
,,2013 - 2014,275,597,2.17,,,,,,
,,2014 - 2015,79,177,2.24,,,,,,
,,2015 - 2016,94,186,1.98,,,,,,
,,2016 - 2017,60,124,2.07,,,,,,
,,2017 - 2018,70,178,2.54,,,,,,
,,2018 - 2019,176,318,1.81,,,,,,
,,2019 - 2020,121,235,1.94,,,,,,
,,2020 - 2021,88,181,2.06,,,,,,
,,2021 - 2022,82,177,2.16,,,,,,
,,2022 - 2023,72,161,2.24,,,,,,
,29. Surendranagar,2000 - 2001,"13,000.00","18,000.00",1.38,,,,,,
,,2001 - 2002,"8,100.00","14,700.00",1.81,,,,,,
,,2002 - 2003,"13,600.00","19,900.00",1.46,,,,,,
,,2003 - 2004,"6,700.00","16,200.00",2.42,,,,,,
,,2004 - 2005,"7,500.00","17,200.00",2.29,,,,,,
,,2005 - 2006,"13,800.00","42,500.00",3.08,,,,,,
,,2006 - 2007,"24,300.00","52,700.00",2.17,,,,,,
,,2007 - 2008,"23,500.00","62,100.00",2.64,,,,,,
,,2008 - 2009,"28,000.00","76,600.00",2.74,,,,,,
,,2009 - 2010,"32,600.00","58,200.00",1.79,,,,,,
,,2010 - 2011,"39,700.00","1,03,800.00",2.61,,,,,,
,,2011 - 2012,"81,000.00","2,03,500.00",2.51,,,,,,
