State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,,,,"8,881.00","12,296.00",1.38,,,,,,,,,,,,
,,2022 - 2023,,,,"8,890.00","12,322.00",1.39,,,,,,,,,,,,
,13. Lower siang,2018 - 2019,,,,"2,596.00","4,177.00",1.61,,,,,,,,,,,,
,,2019 - 2020,,,,"2,340.00","3,807.00",1.63,,,,,,,,,,,,
,,2020 - 2021,,,,"2,340.00","3,851.00",1.65,,,,,,,,,,,,
,,2021 - 2022,,,,"2,540.00","4,166.00",1.64,,,,,,,,,,,,
,,2022 - 2023,,,,"2,551.00","4,189.00",1.64,,,,,,,,,,,,
,14. Lower subansiri,2000 - 2001,,,,"4,510.00","5,412.00",1.2,,,,,,,,,,,,
,,2001 - 2002,,,,"1,000.00","1,750.00",1.75,,,,,,,,,,,,
,,2002 - 2003,,,,"3,380.00","4,307.00",1.27,,,,,,,,,,,,
,,2003 - 2004,,,,"1,451.00","1,836.00",1.27,,,,,,,,,,,,
,,2004 - 2005,,,,"1,596.00","2,011.00",1.26,,,,,,,,,,,,
,,2005 - 2006,,,,"1,672.00","2,189.00",1.31,,,,,,,,,,,,
,,2006 - 2007,,,,"1,697.00","2,222.00",1.31,,,,,,,,,,,,
,,2007 - 2008,,,,559,"1,118.00",2,,,,,,,,,,,,
,,2008 - 2009,,,,570,"1,123.00",1.97,,,,,,,,,,,,
,,2009 - 2010,,,,620,"1,221.00",1.97,,,,,,,,,,,,
,,2010 - 2011,,,,625,"1,231.00",1.97,,,,,,,,,,,,
,,2011 - 2012,,,,645,"1,303.00",2.02,,,,,,,,,,,,
,,2012 - 2013,,,,646,"1,305.00",2.02,,,,,,,,,,,,
,,2013 - 2014,,,,650,"1,333.00",2.05,,,,,,,,,,,,
,,2014 - 2015,,,,715,"1,735.00",2.43,,,,,,,,,,,,
,,2015 - 2016,,,,760,"1,806.00",2.38,,,,,,,,,,,,
,,2016 - 2017,,,,835,"1,817.00",2.18,,,,,,,,,,,,
,,2017 - 2018,,,,860,"1,905.00",2.22,,,,,,,,,,,,
,,2018 - 2019,,,,582,"1,289.00",2.21,,,,,,,,,,,,
,,2019 - 2020,,,,586,"1,342.00",2.29,,,,,,,,,,,,
,,2020 - 2021,,,,588,"1,386.00",2.36,,,,,,,,,,,,
,,2021 - 2022,,,,598,"1,399.00",2.34,,,,,,,,,,,,
,,2022 - 2023,,,,614,"1,438.00",2.34,,,,,,,,,,,,
,15. Namsai,2015 - 2016,,,,"6,234.00","7,710.00",1.24,,,,,,,,,,,,
,,2016 - 2017,,,,"6,309.00","7,721.00",1.22,,,,,,,,,,,,
,,2017 - 2018,,,,"6,334.00","7,809.00",1.23,,,,,,,,,,,,
,,2018 - 2019,,,,"6,343.00","7,846.00",1.24,,,,,,,,,,,,
,,2019 - 2020,,,,"6,353.00","7,899.00",1.24,,,,,,,,,,,,
,,2020 - 2021,,,,"6,355.00","7,943.00",1.25,,,,,,,,,,,,
,,2021 - 2022,,,,"6,855.00","8,569.00",1.25,,,,,,,,,,,,
,,2022 - 2023,,,,"6,867.00","8,597.00",1.25,,,,,,,,,,,,
,16. Pakke kessang,2019 - 2020,,,,857,"1,289.00",1.5,,,,,,,,,,,,
,,2020 - 2021,,,,859,"1,333.00",1.55,,,,,,,,,,,,
,,2021 - 2022,,,,869,"1,331.00",1.53,,,,,,,,,,,,
,,2022 - 2023,,,,883,"1,370.00",1.55,,,,,,,,,,,,
,17. Papum pare,2000 - 2001,,,,"1,950.00","2,356.00",1.21,,,,,,,,,,,,
,,2001 - 2002,,,,"2,145.00","2,591.00",1.21,,,,,,,,,,,,
,,2002 - 2003,,,,"2,240.00","2,700.00",1.21,,,,,,,,,,,,
,,2003 - 2004,,,,"2,093.00","2,833.00",1.35,,,,,,,,,,,,
,,2004 - 2005,,,,"2,400.00","3,240.00",1.35,,,,,,,,,,,,
,,2005 - 2006,,,,"2,500.00","3,497.00",1.4,,,,,,,,,,,,
,,2006 - 2007,,,,"2,500.00","4,500.00",1.8,,,,,,,,,,,,
,,2007 - 2008,,,,"2,400.00","4,320.00",1.8,,,,,,,,,,,,
,,2008 - 2009,,,,"2,000.00","3,700.00",1.85,,,,,,,,,,,,
,,2009 - 2010,,,,"2,200.00","4,400.00",2,,,,,,,,,,,,
,,2010 - 2011,,,,"2,207.00","4,193.00",1.9,,,,,,,,,,,,
,,2011 - 2012,,,,"2,278.00","4,438.00",1.95,,,,,,,,,,,,
,,2012 - 2013,,,,"2,196.00","4,557.00",2.08,,,,,,,,,,,,
,,2013 - 2014,,,,"2,325.00","4,766.00",2.05,,,,,,,,,,,,
,,2014 - 2015,,,,"2,398.00","5,268.00",2.2,,,,,,,,,,,,
,,2015 - 2016,,,,"2,443.00","4,339.00",1.78,,,,,,,,,,,,
,,2016 - 2017,,,,"2,518.00","4,350.00",1.73,,,,,,,,,,,,
