State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,,,,,,,20,21.2,1.06,211,194.6,0.92,9,9,1,,,
,,2007 - 2008,,,,,,,15,18.6,1.24,120,82.2,0.69,1,1.7,1.7,,,
,,2008 - 2009,,,,,,,5,6.6,1.32,115,93.2,0.81,4,5.9,1.48,,,
,,2009 - 2010,,,,,,,3,3.9,1.3,67,61.8,0.92,1,1.8,1.8,,,
,,2010 - 2011,,,,,,,3,4.2,1.4,211,257.4,1.22,4,5.1,1.28,,,
,,2011 - 2012,,,,,,,2,2.4,1.2,92,102.5,1.11,10,12.6,1.26,,,
,,2012 - 2013,,,,,,,5,7.2,1.44,95,113.1,1.19,5,6.4,1.28,,,
,,2013 - 2014,,,,,,,7,10.6,1.51,37,53.5,1.45,,,,,,
,,2014 - 2015,,,,,,,4,8.3,2.08,47,76.4,1.63,,,,,,
,,2015 - 2016,,,,,,,4,8.3,2.08,50,75.2,1.5,2,2.7,1.35,,,
,,2016 - 2017,,,,,,,9,16.1,1.79,264,352.1,1.33,,,,,,
,,2017 - 2018,,,,,,,,,,121,182.4,1.51,,,,,,
,,2018 - 2019,,,,,,,,,,72,98.1,1.36,1,1.6,1.6,,,
,,2019 - 2020,,,,,,,5,12.1,2.42,181,307.1,1.7,,,,,,
,,2020 - 2021,,,,,,,55,85.5,1.55,82,154.2,1.88,,,,,,
,,2021 - 2022,,,,,,,28,49.6,1.77,609,998.5,1.64,,,,,,
,,2022 - 2023,,,,,,,49,80.2,1.64,116,245,2.11,,,,,,
,9. Dhenkanal,2000 - 2001,,,,159,138.5,0.87,,,,,,,,,,,,
,,2001 - 2002,,,,76,37.5,0.49,,,,,,,,,,,,
,,2002 - 2003,,,,60,35.1,0.59,,,,,,,,,,,,
,,2003 - 2004,,,,167,122.4,0.73,,,,,,,,,,,,
,,2004 - 2005,,,,,,,5,9.8,1.96,139,105.8,0.76,10,19.3,1.93,,,
,,2005 - 2006,,,,,,,15,25.1,1.67,163,134.4,0.82,,,,,,
,,2006 - 2007,,,,,,,4,7.7,1.93,115,87.8,0.76,1,1.9,1.9,,,
,,2007 - 2008,,,,,,,6,9.4,1.57,99,86.8,0.88,1,1.2,1.2,,,
,,2008 - 2009,,,,,,,7,9.1,1.3,56,56.4,1.01,9,12.6,1.4,,,
,,2009 - 2010,,,,,,,2,3.2,1.6,46,39.2,0.85,,,,,,
,,2010 - 2011,,,,,,,,,,234,387.8,1.66,24,49.5,2.06,,,
,,2011 - 2012,,,,,,,,,,78,82.6,1.06,2,6.8,3.4,,,
,,2012 - 2013,,,,,,,,,,113,171.7,1.52,51,124.9,2.45,,,
,,2013 - 2014,,,,,,,1,1.2,1.2,35,43.8,1.25,,,,,,
,,2014 - 2015,,,,,,,3,5.8,1.93,107,135.6,1.27,19,24.8,1.31,,,
,,2015 - 2016,,,,,,,4,5.7,1.43,35,41.1,1.17,2,1.9,0.95,,,
,,2016 - 2017,,,,,,,4,7.2,1.8,7,10.5,1.5,,,,,,
,,2017 - 2018,,,,,,,14,14.5,1.04,4,4.4,1.1,3,3.4,1.13,,,
,,2018 - 2019,,,,,,,15,17.8,1.19,10,12.2,1.22,5,6.2,1.24,,,
,,2019 - 2020,,,,,,,21,63.8,3.04,64,102.5,1.6,18,50.5,2.81,,,
,,2020 - 2021,,,,,,,35,74.3,2.12,9,16,1.78,27,38.7,1.43,,,
,,2021 - 2022,,,,,,,33,69.2,2.1,73,151.1,2.07,26,70.2,2.7,,,
,,2022 - 2023,,,,,,,59,127,2.15,86,178.2,2.07,64,160.5,2.51,,,
,10. Gajapati,2000 - 2001,,,,"5,176.00","6,502.40",1.26,,,,,,,,,,,,
,,2001 - 2002,,,,"4,771.00","6,685.90",1.4,,,,,,,,,,,,
,,2002 - 2003,,,,"8,575.00","10,802.20",1.26,,,,,,,,,,,,
,,2003 - 2004,,,,"10,558.00","17,505.60",1.66,,,,,,,,,,,,
,,2004 - 2005,,,,,,,2,2.4,1.2,"11,233.00","17,347.40",1.54,,,,,,
,,2005 - 2006,,,,,,,,,,"8,198.00","12,964.20",1.58,,,,,,
,,2006 - 2007,,,,,,,,,,"9,286.00","14,254.40",1.54,2,1.7,0.85,,,
,,2007 - 2008,,,,,,,,,,"7,942.00","13,866.40",1.75,3,3.5,1.17,,,
,,2008 - 2009,,,,,,,,,,"6,704.00","10,329.70",1.54,,,,,,
,,2009 - 2010,,,,,,,1,1.1,1.1,"9,062.00","11,521.70",1.27,,,,,,
,,2010 - 2011,,,,,,,1,1.4,1.4,"9,357.00","14,375.20",1.54,,,,,,
,,2011 - 2012,,,,,,,2,2.6,1.3,"10,309.00","19,913.80",1.93,,,,,,
,,2012 - 2013,,,,,,,1,1.8,1.8,"11,103.00","21,253.50",1.91,1,1.3,1.3,,,
,,2013 - 2014,,,,,,,,,,"11,836.00","13,520.50",1.14,,,,,,
,,2014 - 2015,,,,,,,3,3.4,1.13,"14,921.00","16,025.60",1.07,,,,,,
,,2015 - 2016,,,,,,,,,,"14,990.00","31,690.40",2.11,21,57.4,2.73,,,
,,2016 - 2017,,,,,,,,,,"11,231.00","28,372.10",2.53,,,,,,
,,2017 - 2018,,,,,,,5,10.5,2.1,"10,906.00","25,236.60",2.31,,,,,,
,,2018 - 2019,,,,,,,,,,"8,992.00","7,857.80",0.87,,,,,,
,,2019 - 2020,,,,,,,36,55.9,1.55,"16,584.00","34,419.70",2.08,,,,,,
,,2020 - 2021,,,,,,,,,,"14,435.00","33,869.90",2.35,,,,,,
,,2021 - 2022,,,,,,,,,,"16,183.00","38,559.30",2.38,,,,,,
,,2022 - 2023,,,,,,,20,22.9,1.15,"15,290.00","34,784.60",2.27,,,,,,
,11. Ganjam,2000 - 2001,,,,642,719.3,1.12,,,,,,,,,,,,
,,2001 - 2002,,,,761,906.7,1.19,,,,,,,,,,,,
,,2002 - 2003,,,,572,607.7,1.06,,,,,,,,,,,,
,,2003 - 2004,,,,673,774.1,1.15,,,,,,,,,,,,
,,2004 - 2005,,,,,,,5,5,1,"1,350.00","1,529.10",1.13,,,,,,
,,2005 - 2006,,,,,,,4,4.5,1.13,638,812,1.27,,,,,,
,,2006 - 2007,,,,,,,7,21.3,3.04,"1,006.00","1,355.40",1.35,,,,,,
,,2007 - 2008,,,,,,,8,13.7,1.71,853,"1,190.40",1.4,1,0.7,0.7,,,
,,2008 - 2009,,,,,,,5,6.8,1.36,453,605.1,1.34,1,0.7,0.7,,,
,,2009 - 2010,,,,,,,9,12.2,1.36,"1,063.00","1,597.50",1.5,,,,,,
,,2010 - 2011,,,,,,,7,14.6,2.09,917,"1,450.50",1.58,4,1.6,0.4,,,
,,2011 - 2012,,,,,,,7,29.7,4.24,"1,278.00","2,342.60",1.83,7,11.4,1.63,,,
,,2012 - 2013,,,,,,,,,,"1,009.00","1,725.50",1.71,1,1.6,1.6,,,
,,2013 - 2014,,,,,,,34,67.3,1.98,717,"1,284.30",1.79,9,13.9,1.54,,,
,,2014 - 2015,,,,,,,33,83.4,2.53,587,962.8,1.64,1,4.6,4.6,,,
,,2015 - 2016,,,,,,,29,75.9,2.62,901,"1,784.00",1.98,8,17.1,2.14,,,
,,2016 - 2017,,,,,,,53,65.6,1.24,406,962.4,2.37,,,,,,
,,2017 - 2018,,,,,,,2,6.2,3.1,256,628,2.45,,,,,,
,,2018 - 2019,,,,,,,76,315.1,4.15,939,"2,095.40",2.23,,,,,,
,,2019 - 2020,,,,,,,10,26.9,2.69,495,"1,047.10",2.12,,,,,,
,,2020 - 2021,,,,,,,49,81,1.65,837,"1,656.30",1.98,,,,,,
,,2021 - 2022,,,,,,,70,151.9,2.17,"1,434.00","2,626.30",1.83,,,,,,
,,2022 - 2023,,,,,,,79,160.4,2.03,919,"1,784.90",1.94,,,,,,
,12. Jagatsinghapur,2011 - 2012,,,,,,,9,23,2.56,,,,,,,,,
,,2013 - 2014,,,,,,,4,7.5,1.88,,,,7,11.2,1.6,,,
,,2019 - 2020,,,,,,,1,2.3,2.3,,,,,,,,,
,,2020 - 2021,,,,,,,1,1.3,1.3,,,,,,,,,
,13. Jajapur,2000 - 2001,,,,135,74.6,0.55,,,,,,,,,,,,
,,2001 - 2002,,,,10,7.9,0.79,,,,,,,,,,,,
,,2002 - 2003,,,,165,117.4,0.71,,,,,,,,,,,,
,,2003 - 2004,,,,47,22,0.47,,,,,,,,,,,,
,,2004 - 2005,,,,,,,28,26,0.93,154,84.4,0.55,,,,,,
,,2005 - 2006,,,,,,,1,0.6,0.6,87,63.5,0.73,35,52.4,1.5,,,
,,2006 - 2007,,,,,,,,,,45,24.4,0.54,,,,,,
,,2007 - 2008,,,,,,,2,1.1,0.55,26,18.6,0.72,,,,,,
,,2008 - 2009,,,,,,,,,,24,34,1.42,,,,,,
,,2009 - 2010,,,,,,,3,4.2,1.4,44,54.6,1.24,,,,,,
,,2010 - 2011,,,,,,,,,,44,49.9,1.13,,,,,,
,,2011 - 2012,,,,,,,,,,31,27.1,0.87,,,,,,
,,2012 - 2013,,,,,,,,,,317,223.4,0.7,,,,,,
,,2013 - 2014,,,,,,,,,,35,28.1,0.8,,,,,,
,,2014 - 2015,,,,,,,,,,45,31.7,0.7,,,,,,
,,2015 - 2016,,,,,,,,,,22,20.7,0.94,,,,,,
,,2016 - 2017,,,,,,,,,,5,4.3,0.86,,,,,,
,,2018 - 2019,,,,,,,,,,34,29.6,0.87,,,,,,
,,2020 - 2021,,,,,,,,,,9,13,1.44,,,,,,
,,2021 - 2022,,,,,,,51,99.3,1.95,18,30.3,1.68,,,,,,
,,2022 - 2023,,,,,,,3,6,2,16,71.1,4.44,,,,,,
,14. Jharsuguda,2000 - 2001,,,,4,3.3,0.83,,,,,,,,,,,,
,,2001 - 2002,,,,3,3.6,1.2,,,,,,,,,,,,
,,2002 - 2003,,,,4,19,4.75,,,,,,,,,,,,
,,2003 - 2004,,,,2,1.6,0.8,,,,,,,,,,,,
,,2004 - 2005,,,,,,,,,,3,9.4,3.13,,,,,,
,,2005 - 2006,,,,,,,2,3.2,1.6,5,4.4,0.88,,,,,,
,,2007 - 2008,,,,,,,1,1.6,1.6,2,2.8,1.4,,,,,,
,,2008 - 2009,,,,,,,,,,2,1.7,0.85,,,,,,
,,2009 - 2010,,,,,,,1,1.1,1.1,10,8.4,0.84,1,1.5,1.5,,,
,,2010 - 2011,,,,,,,3,4.5,1.5,75,143.5,1.91,,,,,,
,,2011 - 2012,,,,,,,,,,19,47.5,2.5,,,,,,
,,2012 - 2013,,,,,,,3,5.6,1.87,61,131.9,2.16,,,,,,
,,2013 - 2014,,,,,,,2,6,3,49,104.7,2.14,,,,,,
,,2014 - 2015,,,,,,,,,,28,87.4,3.12,7,31.5,4.5,,,
,,2015 - 2016,,,,,,,1,3,3,14,50.5,3.61,,,,,,
,,2016 - 2017,,,,,,,,,,33,102.9,3.12,3,6.4,2.13,,,
,,2017 - 2018,,,,,,,2,14.1,7.05,130,361.7,2.78,1,3.2,3.2,,,
,,2018 - 2019,,,,,,,,,,15,37,2.47,,,,,,
,,2019 - 2020,,,,,,,1,1,1,18,48.7,2.71,,,,,,
,,2020 - 2021,,,,,,,,,,153,523.8,3.42,1,4.1,4.1,,,
,,2021 - 2022,,,,,,,12,55,4.58,423,"1,232.30",2.91,4,15.6,3.9,,,
,,2022 - 2023,,,,,,,1,4,4,85,270,3.18,,,,,,
,15. Kalahandi,2000 - 2001,,,,"1,514.00","1,115.80",0.74,,,,,,,,,,,,
,,2001 - 2002,,,,"1,679.00",967.6,0.58,,,,,,,,,,,,
,,2002 - 2003,,,,"1,463.00",970.1,0.66,,,,,,,,,,,,
,,2003 - 2004,,,,"1,799.00","1,209.70",0.67,,,,,,,,,,,,
,,2004 - 2005,,,,,,,5,2.8,0.56,"1,417.00","1,099.50",0.78,,,,,,
,,2005 - 2006,,,,,,,5,4.5,0.9,"1,415.00",926.5,0.65,,,,,,
,,2006 - 2007,,,,,,,1,1.1,1.1,"1,410.00",904.4,0.64,,,,,,
,,2007 - 2008,,,,,,,,,,"1,429.00","1,078.30",0.75,1,1.8,1.8,,,
,,2008 - 2009,,,,,,,83,89.1,1.07,"1,213.00","1,020.60",0.84,,,,,,
,,2009 - 2010,,,,,,,14,16.8,1.2,"1,705.00","1,510.40",0.89,,,,,,
,,2010 - 2011,,,,,,,105,221.7,2.11,"2,569.00","3,183.60",1.24,2,8.8,4.4,,,
,,2011 - 2012,,,,,,,131,196.8,1.5,"2,624.00","2,881.80",1.1,,,,,,
,,2012 - 2013,,,,,,,22,41.8,1.9,"2,679.00","3,462.50",1.29,,,,,,
,,2013 - 2014,,,,,,,9,13.1,1.46,"3,818.00","5,836.10",1.53,,,,,,
,,2014 - 2015,,,,,,,77,86.2,1.12,"3,902.00","4,731.30",1.21,,,,,,
,,2015 - 2016,,,,,,,26,34.3,1.32,"1,224.00","1,208.50",0.99,4,5.7,1.43,,,
,,2016 - 2017,,,,,,,,,,"2,678.00","3,197.20",1.19,291,286,0.98,,,
,,2017 - 2018,,,,,,,2,3.8,1.9,"1,237.00","1,723.90",1.39,106,124.1,1.17,,,
,,2018 - 2019,,,,,,,42,125.7,2.99,"1,147.00","1,204.60",1.05,5,12.5,2.5,,,
,,2019 - 2020,,,,,,,,,,"1,189.00","1,660.50",1.4,,,,,,
,,2020 - 2021,,,,,,,4,6,1.5,"1,478.00","2,818.60",1.91,,,,,,
,,2021 - 2022,,,,,,,21,34,1.62,"3,504.00","6,338.40",1.81,,,,,,
,,2022 - 2023,,,,,,,,,,"2,200.00","5,405.50",2.46,,,,,,
,16. Kandhamal,2000 - 2001,,,,"4,738.00","6,052.70",1.28,,,,,,,,,,,,
,,2001 - 2002,,,,"2,832.00","1,218.20",0.43,,,,,,,,,,,,
,,2002 - 2003,,,,"3,960.00","4,644.30",1.17,,,,,,,,,,,,
,,2003 - 2004,"13,760.00","18,180.00",1.32,"4,074.00","4,098.90",1.01,,,,,,,,,,,,
,,2004 - 2005,,,,,,,23,27.5,1.2,"3,889.00","3,528.70",0.91,26,26.4,1.02,,,
,,2005 - 2006,,,,,,,4,4.5,1.13,"4,144.00","3,728.90",0.9,1,0.8,0.8,,,
,,2006 - 2007,,,,,,,11,12.5,1.14,"3,451.00","2,713.40",0.79,2,2,1,,,
,,2007 - 2008,,,,,,,4,3.3,0.83,"3,745.00","3,680.80",0.98,2,3.2,1.6,,,
,,2008 - 2009,,,,,,,4,5.2,1.3,"3,583.00","3,819.50",1.07,,,,,,
,,2009 - 2010,,,,,,,28,42.1,1.5,"2,855.00","2,374.60",0.83,18,27.9,1.55,,,
,,2010 - 2011,,,,,,,3,4.8,1.6,"3,416.00","4,128.60",1.21,6,7.9,1.32,,,
,,2011 - 2012,,,,,,,1,1,1,"3,187.00","4,047.90",1.27,,,,,,
,,2012 - 2013,,,,,,,7,11.7,1.67,"2,370.00","2,180.10",0.92,,,,,,
,,2013 - 2014,,,,,,,1,1.8,1.8,"2,040.00","1,969.10",0.97,1,1.4,1.4,,,
,,2014 - 2015,,,,,,,3,4,1.33,"1,777.00","1,803.80",1.02,,,,,,
,,2015 - 2016,,,,,,,1,2.1,2.1,"1,273.00","1,364.00",1.07,,,,,,
,,2016 - 2017,,,,,,,,,,"1,336.00","1,561.90",1.17,,,,,,
,,2017 - 2018,,,,,,,,,,926,"1,109.60",1.2,,,,,,
,,2018 - 2019,,,,,,,,,,840,938.3,1.12,,,,,,
,,2019 - 2020,,,,,,,,,,702,812.1,1.16,,,,,,
,,2020 - 2021,,,,,,,3,4.5,1.5,856,"1,271.70",1.49,,,,,,
,,2021 - 2022,,,,,,,4,5.9,1.48,"1,782.00","3,307.30",1.86,3,6,2,,,
,,2022 - 2023,,,,,,,3,5.5,1.83,978,"1,394.90",1.43,8,12.4,1.55,,,
,17. Kendrapara,2022 - 2023,,,,,,,4,8.8,2.2,,,,,,,,,
,18. Kendujhar,2000 - 2001,,,,"7,256.00","5,644.30",0.78,,,,,,,,,,,,
,,2001 - 2002,,,,"3,974.00","2,342.00",0.59,,,,,,,,,,,,
,,2002 - 2003,,,,"3,564.00","2,283.70",0.64,,,,,,,,,,,,
,,2003 - 2004,,,,"4,418.00","3,636.90",0.82,,,,,,,,,,,,
,,2004 - 2005,,,,,,,3,3.6,1.2,"3,581.00","3,422.20",0.96,,,,,,
,,2005 - 2006,,,,,,,3,4.8,1.6,"3,124.00","2,090.90",0.67,,,,,,
,,2006 - 2007,,,,,,,17,18.6,1.09,"3,052.00","2,498.10",0.82,,,,,,
,,2007 - 2008,,,,,,,19,25,1.32,"3,041.00","2,574.80",0.85,,,,,,
,,2008 - 2009,,,,,,,,,,"2,050.00","1,440.20",0.7,1,1.3,1.3,,,
,,2009 - 2010,,,,,,,23,31.1,1.35,"2,384.00","2,330.10",0.98,6,10.2,1.7,,,
,,2010 - 2011,,,,,,,47,111,2.36,"3,670.00","5,721.30",1.56,11,45.3,4.12,,,
,,2011 - 2012,,,,,,,22,57.6,2.62,"2,016.00","2,568.20",1.27,6,17.6,2.93,,,
,,2012 - 2013,,,,,,,23,41.3,1.8,"2,402.00","3,579.00",1.49,2,6.2,3.1,,,
,,2013 - 2014,,,,,,,4,8.6,2.15,"1,425.00","2,550.10",1.79,,,,,,
,,2014 - 2015,,,,,,,4,7.8,1.95,"1,972.00","3,458.20",1.75,1,2.2,2.2,,,
,,2015 - 2016,,,,,,,,,,"1,238.00","2,053.10",1.66,,,,,,
,,2016 - 2017,,,,,,,,,,"1,316.00","2,226.50",1.69,,,,,,
,,2017 - 2018,,,,,,,3,9.4,3.13,"2,046.00","3,520.60",1.72,,,,,,
,,2018 - 2019,,,,,,,,,,426,703.4,1.65,,,,,,
,,2019 - 2020,,,,,,,,,,736,"2,292.30",3.11,,,,,,
,,2020 - 2021,,,,,,,,,,465,"1,178.20",2.53,,,,,,
,,2021 - 2022,,,,,,,20,59,2.95,"3,599.00","9,425.40",2.62,,,,,,
,,2022 - 2023,,,,,,,,,,"1,338.00","3,666.50",2.74,5,11.1,2.22,,,
,19. Khordha,2000 - 2001,,,,9,4.7,0.52,,,,,,,,,,,,
,,2001 - 2002,,,,2,1.9,0.95,,,,,,,,,,,,
,,2002 - 2003,,,,15,9.9,0.66,,,,,,,,,,,,
,,2003 - 2004,,,,2,1,0.5,,,,,,,,,,,,
,,2004 - 2005,,,,,,,3,3.1,1.03,10,13.6,1.36,,,,,,
,,2005 - 2006,,,,,,,,,,7,7.5,1.07,,,,,,
,,2006 - 2007,,,,,,,2,4.1,2.05,9,13,1.44,,,,,,
,,2007 - 2008,,,,,,,2,2.2,1.1,5,4.5,0.9,,,,,,
,,2008 - 2009,,,,,,,2,1.6,0.8,10,19.7,1.97,,,,,,
,,2009 - 2010,,,,,,,,,,2,1.5,0.75,,,,,,
,,2010 - 2011,,,,,,,1,1.4,1.4,59,129.4,2.19,,,,,,
,,2011 - 2012,,,,,,,5,7.3,1.46,42,80,1.9,,,,,,
,,2012 - 2013,,,,,,,4,12.3,3.08,23,61.9,2.69,,,,,,
,,2013 - 2014,,,,,,,2,4.4,2.2,23,62.7,2.73,,,,,,
,,2014 - 2015,,,,,,,2,2,1,4,8.3,2.08,,,,,,
,,2015 - 2016,,,,,,,6,11.8,1.97,11,35.9,3.26,,,,,,
,,2016 - 2017,,,,,,,,,,14,34.6,2.47,,,,,,
,,2017 - 2018,,,,,,,,,,1,1.3,1.3,,,,,,
,,2018 - 2019,,,,,,,,,,12,14.9,1.24,,,,,,
,,2019 - 2020,,,,,,,,,,2,2,1,,,,,,
,,2020 - 2021,,,,,,,3,3.8,1.27,2,2,1,,,,,,
,,2021 - 2022,,,,,,,7,17.8,2.54,21,67.3,3.2,,,,,,
,,2022 - 2023,,,,,,,2,3.7,1.85,6,5.1,0.85,,,,,,
,20. Koraput,2000 - 2001,,,,"4,456.00","4,981.70",1.12,,,,,,,,,,,,
,,2001 - 2002,,,,"3,244.00","2,879.80",0.89,,,,,,,,,,,,
,,2002 - 2003,,,,"4,115.00","4,073.40",0.99,,,,,,,,,,,,
,,2003 - 2004,,,,"3,741.00","3,535.60",0.95,,,,,,,,,,,,
,,2004 - 2005,,,,,,,156,188.7,1.21,"2,696.00","2,967.60",1.1,1,3.3,3.3,,,
,,2005 - 2006,,,,,,,122,161.6,1.32,"2,837.00","3,066.00",1.08,4,4.5,1.13,,,
,,2006 - 2007,,,,,,,96,140.8,1.47,"2,760.00","3,109.20",1.13,,,,,,
,,2007 - 2008,,,,,,,226,324.6,1.44,"3,336.00","4,488.40",1.35,,,,,,
,,2008 - 2009,,,,,,,186,287.5,1.55,"2,535.00","3,114.70",1.23,2,3.6,1.8,,,
,,2009 - 2010,,,,,,,297,468.4,1.58,"2,965.00","3,826.30",1.29,16,18.2,1.14,,,
,,2010 - 2011,,,,,,,385,747.7,1.94,"4,596.00","7,669.90",1.67,19,33.7,1.77,,,
,,2011 - 2012,,,,,,,361,695.4,1.93,"5,529.00","9,789.40",1.77,13,29.2,2.25,,,
,,2012 - 2013,,,,,,,282,613.4,2.18,"6,286.00","10,829.70",1.72,53,62.1,1.17,,,
,,2013 - 2014,,,,,,,456,"1,038.30",2.28,"4,912.00","9,699.40",1.97,11,38.6,3.51,,,
,,2014 - 2015,,,,,,,501,"1,145.80",2.29,"4,967.00","9,892.30",1.99,,,,,,
,,2015 - 2016,,,,,,,429,928.8,2.17,"2,882.00","6,097.60",2.12,,,,,,
,,2016 - 2017,,,,,,,138,311.2,2.26,"4,588.00","9,969.20",2.17,145,92.8,0.64,,,
,,2017 - 2018,,,,,,,308,729.6,2.37,"4,134.00","9,866.60",2.39,,,,,,
,,2018 - 2019,,,,,,,775,"1,702.70",2.2,"2,854.00","6,229.60",2.18,,,,,,
,,2019 - 2020,,,,,,,"1,064.00","2,152.50",2.02,"2,087.00","4,428.60",2.12,,,,,,
,,2020 - 2021,,,,,,,405,897.1,2.22,"3,959.00","9,815.90",2.48,,,,,,
,,2021 - 2022,,,,,,,577,"1,197.90",2.08,"7,760.00","17,762.60",2.29,,,,,,
,,2022 - 2023,,,,,,,739,"1,497.00",2.03,"3,288.00","7,735.60",2.35,,,,,,
,21. Malkangiri,2000 - 2001,,,,"1,089.00","1,066.00",0.98,,,,,,,,,,,,
,,2001 - 2002,,,,"1,138.00",986.8,0.87,,,,,,,,,,,,
,,2002 - 2003,,,,"1,007.00",652.5,0.65,,,,,,,,,,,,
,,2003 - 2004,,,,785,716.1,0.91,,,,,,,,,,,,
,,2004 - 2005,,,,,,,22,35.4,1.61,707,632.6,0.89,12,10.5,0.88,,,
,,2005 - 2006,,,,,,,9,15.5,1.72,865,828.2,0.96,15,8.3,0.55,,,
,,2006 - 2007,,,,,,,,,,850,828.8,0.98,58,45.9,0.79,,,
,,2007 - 2008,,,,,,,7,7.9,1.13,894,"1,039.30",1.16,4,2.2,0.55,,,
,,2008 - 2009,,,,,,,9,14.2,1.58,745,845.5,1.13,2,1.9,0.95,,,
,,2009 - 2010,,,,,,,2,2.1,1.05,777,803.4,1.03,5,2.8,0.56,,,
,,2010 - 2011,,,,,,,134,198.2,1.48,"1,134.00","1,317.60",1.16,18,27.1,1.51,,,
,,2011 - 2012,,,,,,,13,14.6,1.12,989,"1,163.40",1.18,7,7,1,,,
,,2012 - 2013,,,,,,,11,14.1,1.28,892,920.9,1.03,98,110.1,1.12,,,
,,2013 - 2014,,,,,,,113,231.3,2.05,876,983.1,1.12,42,64.5,1.54,,,
,,2014 - 2015,,,,,,,25,48.5,1.94,580,673.9,1.16,6,7.7,1.28,,,
,,2015 - 2016,,,,,,,15,18.3,1.22,593,709.3,1.2,8,8.3,1.04,,,
,,2016 - 2017,,,,,,,1,1.6,1.6,478,514.8,1.08,39,35,0.9,,,
,,2017 - 2018,,,,,,,17,36.3,2.14,420,496.2,1.18,,,,,,
,,2018 - 2019,,,,,,,9,15,1.67,497,381.3,0.77,3,7.8,2.6,,,
,,2019 - 2020,,,,,,,13,33.1,2.55,294,196.1,0.67,9,14.8,1.64,,,
,,2020 - 2021,,,,,,,6,29.9,4.98,507,711.1,1.4,,,,,,
,,2021 - 2022,,,,,,,4,8,2,771,"1,212.80",1.57,5,19.9,3.98,,,
,,2022 - 2023,,,,,,,8,18.8,2.35,674,"1,127.70",1.67,,,,,,
,22. Mayurbhanj,2000 - 2001,,,,"2,352.00","1,837.20",0.78,,,,,,,,,,,,
,,2001 - 2002,,,,"1,886.00","1,101.00",0.58,,,,,,,,,,,,
,,2002 - 2003,,,,"1,752.00","1,073.10",0.61,,,,,,,,,,,,
,,2003 - 2004,,,,"2,271.00","1,907.40",0.84,,,,,,,,,,,,
,,2004 - 2005,,,,,,,29,36.4,1.26,"2,069.00","1,697.80",0.82,12,19.6,1.63,,,
,,2005 - 2006,,,,,,,20,32.8,1.64,"1,681.00","1,293.60",0.77,4,3.8,0.95,,,
,,2006 - 2007,,,,,,,39,65.9,1.69,"1,212.00",878.7,0.73,6,9.9,1.65,,,
,,2007 - 2008,,,,,,,102,166.6,1.63,"1,208.00",876.5,0.73,26,54.7,2.1,,,
,,2008 - 2009,,,,,,,15,21,1.4,771,717.4,0.93,9,25.3,2.81,,,
,,2009 - 2010,,,,,,,72,102.4,1.42,772,669.3,0.87,26,72,2.77,,,
,,2010 - 2011,,,,,,,49,112.1,2.29,"2,045.00","2,963.10",1.45,23,43.9,1.91,,,
,,2011 - 2012,,,,,,,148,300.1,2.03,890,970.7,1.09,9,20.5,2.28,,,
,,2012 - 2013,,,,,,,74,184.6,2.49,"1,171.00","2,079.10",1.78,12,32.2,2.68,,,
,,2013 - 2014,,,,,,,80,161.9,2.02,"1,548.00","2,649.40",1.71,22,44.4,2.02,,,
,,2014 - 2015,,,,,,,51,105.1,2.06,916,"1,396.30",1.52,9,19.5,2.17,,,
,,2015 - 2016,,,,,,,11,26.7,2.43,694,"1,127.60",1.62,40,96.1,2.4,,,
,,2016 - 2017,,,,,,,32,77.3,2.42,898,"1,632.70",1.82,,,,,,
,,2017 - 2018,,,,,,,51,126,2.47,459,828.2,1.8,1,3.4,3.4,,,
,,2018 - 2019,,,,,,,91,245.3,2.7,386,668,1.73,28,81.1,2.9,,,
,,2019 - 2020,,,,,,,70,179.8,2.57,263,370.7,1.41,4,12.5,3.13,,,
,,2020 - 2021,,,,,,,64,141.2,2.21,284,591.7,2.08,10,25.4,2.54,,,
,,2021 - 2022,,,,,,,53,135.3,2.55,416,770.6,1.85,23,66.5,2.89,,,
,,2022 - 2023,,,,,,,54,114,2.11,91,169.4,1.86,44,99.6,2.26,,,
,23. Nabarangpur,2000 - 2001,,,,"18,391.00","33,232.20",1.81,,,,,,,,,,,,
,,2001 - 2002,,,,"23,348.00","24,570.70",1.05,,,,,,,,,,,,
,,2002 - 2003,,,,"10,071.00","10,741.40",1.07,,,,,,,,,,,,
,,2003 - 2004,,,,"19,807.00","39,638.80",2,,,,,,,,,,,,
,,2004 - 2005,,,,,,,"1,691.00","3,759.10",2.22,"23,495.00","55,635.60",2.37,"1,471.00","2,975.80",2.02,,,
,,2005 - 2006,,,,,,,"1,247.00","3,024.00",2.43,"26,157.00","53,846.50",2.06,"5,616.00","12,652.80",2.25,,,
