State,District,Year,Khesari,,,,,,,,
,,2017 - 2018,168,98,0.58,,,,,,
,,2018 - 2019,112,55,0.49,,,,,,
,,2019 - 2020,112,68,0.61,,,,,,
,,2020 - 2021,114,66,0.58,,,,,,
,,2021 - 2022,105,75,0.71,,,,,,
,,2022 - 2023,95,72,0.76,,,,,,
,5. Begusarai,2000 - 2001,42,40,0.95,,,,,,
,,2001 - 2002,48,36,0.75,,,,,,
,,2002 - 2003,40,35,0.88,,,,,,
,,2003 - 2004,53,53,1,,,,,,
,,2004 - 2005,53,27,0.51,,,,,,
,,2005 - 2006,58,70,1.21,,,,,,
,,2006 - 2007,167,206,1.23,,,,,,
,,2007 - 2008,162,156,0.96,,,,,,
,,2008 - 2009,146,141,0.97,,,,,,
,,2009 - 2010,52,52,1,,,,,,
,,2010 - 2011,64,50,0.78,,,,,,
,,2011 - 2012,46,42,0.91,,,,,,
,,2012 - 2013,146,206,1.41,,,,,,
,,2013 - 2014,51,76,1.49,,,,,,
,,2014 - 2015,50,34,0.68,,,,,,
,,2015 - 2016,53,59,1.11,,,,,,
,,2016 - 2017,23,26,1.13,,,,,,
,,2017 - 2018,17,19,1.12,,,,,,
,,2018 - 2019,12,13,1.08,,,,,,
,,2019 - 2020,15,11,0.73,,,,,,
,,2021 - 2022,53,46,0.87,,,,,,
,,2022 - 2023,40,50,1.25,,,,,,
,6. Bhagalpur,2000 - 2001,"2,695.00","2,466.00",0.92,,,,,,
,,2001 - 2002,"3,403.00","2,780.00",0.82,,,,,,
,,2002 - 2003,"2,485.00","2,013.00",0.81,,,,,,
,,2003 - 2004,"2,743.00","2,526.00",0.92,,,,,,
,,2004 - 2005,"2,957.00","1,612.00",0.55,,,,,,
,,2005 - 2006,"2,535.00","1,582.00",0.62,,,,,,
,,2006 - 2007,"3,059.00","1,814.00",0.59,,,,,,
,,2007 - 2008,"2,955.00","2,479.00",0.84,,,,,,
,,2008 - 2009,"2,955.00","2,092.00",0.71,,,,,,
,,2009 - 2010,"2,854.00","3,636.00",1.27,,,,,,
,,2010 - 2011,"2,258.00",928,0.41,,,,,,
,,2011 - 2012,988,641,0.65,,,,,,
,,2012 - 2013,"1,641.00",839,0.51,,,,,,
,,2013 - 2014,"1,838.00","1,338.00",0.73,,,,,,
,,2014 - 2015,"1,838.00",708,0.39,,,,,,
,,2015 - 2016,"1,709.00","1,082.00",0.63,,,,,,
,,2016 - 2017,"1,635.00",832,0.51,,,,,,
,,2017 - 2018,"1,474.00",861,0.58,,,,,,
,,2018 - 2019,"1,366.00",665,0.49,,,,,,
,,2019 - 2020,"1,366.00",826,0.6,,,,,,
,,2020 - 2021,"1,308.00",753,0.58,,,,,,
,,2021 - 2022,"1,196.00",859,0.72,,,,,,
,,2022 - 2023,"1,208.00",910,0.75,,,,,,
,7. Bhojpur,2000 - 2001,"8,982.00","11,165.00",1.24,,,,,,
,,2001 - 2002,"12,040.00","12,184.00",1.01,,,,,,
,,2002 - 2003,"11,820.00","11,371.00",0.96,,,,,,
,,2003 - 2004,"8,322.00","7,923.00",0.95,,,,,,
,,2004 - 2005,"5,587.00","4,492.00",0.8,,,,,,
,,2005 - 2006,"7,121.00","5,576.00",0.78,,,,,,
,,2006 - 2007,"8,046.00","6,815.00",0.85,,,,,,
,,2007 - 2008,"6,443.00","5,000.00",0.78,,,,,,
,,2008 - 2009,"6,581.00","6,245.00",0.95,,,,,,
,,2009 - 2010,"5,274.00","8,908.00",1.69,,,,,,
,,2010 - 2011,"5,269.00","6,987.00",1.33,,,,,,
,,2011 - 2012,"5,055.00","8,710.00",1.72,,,,,,
,,2012 - 2013,"3,574.00","5,300.00",1.48,,,,,,
,,2013 - 2014,"3,499.00","3,184.00",0.91,,,,,,
,,2014 - 2015,"3,203.00","3,229.00",1.01,,,,,,
,,2015 - 2016,"3,425.00","3,141.00",0.92,,,,,,
,,2016 - 2017,"2,784.00","3,135.00",1.13,,,,,,
,,2017 - 2018,"3,358.00","3,848.00",1.15,,,,,,
,,2018 - 2019,"2,625.00","2,885.00",1.1,,,,,,
,,2019 - 2020,"3,301.00","2,968.00",0.9,,,,,,
,,2020 - 2021,"1,346.00","1,903.00",1.41,,,,,,
,,2021 - 2022,"2,417.00","2,726.00",1.13,,,,,,
,,2022 - 2023,"1,373.00","1,965.00",1.43,,,,,,
,8. Buxar,2000 - 2001,"10,135.00","7,338.00",0.72,,,,,,
,,2001 - 2002,"10,266.00","15,409.00",1.5,,,,,,
,,2002 - 2003,"9,722.00","7,340.00",0.75,,,,,,
,,2003 - 2004,"9,352.00","9,773.00",1.05,,,,,,
,,2004 - 2005,"7,606.00","5,210.00",0.68,,,,,,
,,2005 - 2006,"4,211.00","4,948.00",1.18,,,,,,
,,2006 - 2007,"4,110.00","3,054.00",0.74,,,,,,
,,2007 - 2008,"4,487.00","3,778.00",0.84,,,,,,
,,2008 - 2009,"3,132.00","3,204.00",1.02,,,,,,
,,2009 - 2010,"2,914.00","5,032.00",1.73,,,,,,
,,2010 - 2011,"1,991.00","2,083.00",1.05,,,,,,
,,2011 - 2012,"1,825.00","2,225.00",1.22,,,,,,
,,2012 - 2013,"1,873.00","2,120.00",1.13,,,,,,
,,2013 - 2014,"1,836.00","2,444.00",1.33,,,,,,
,,2014 - 2015,"4,965.00","2,085.00",0.42,,,,,,
,,2015 - 2016,"1,636.00","1,327.00",0.81,,,,,,
,,2016 - 2017,"1,291.00","1,535.00",1.19,,,,,,
,,2017 - 2018,"1,037.00","1,577.00",1.52,,,,,,
,,2018 - 2019,624,907,1.45,,,,,,
,,2019 - 2020,889,588,0.66,,,,,,
,,2020 - 2021,859,"1,204.00",1.4,,,,,,
,,2021 - 2022,981,"1,338.00",1.36,,,,,,
,,2022 - 2023,"1,016.00","1,411.00",1.39,,,,,,
,9. Darbhanga,2000 - 2001,"3,234.00","2,432.00",0.75,,,,,,
,,2001 - 2002,"3,030.00","1,579.00",0.52,,,,,,
,,2002 - 2003,"1,922.00","1,115.00",0.58,,,,,,
,,2003 - 2004,"1,294.00",617,0.48,,,,,,
,,2004 - 2005,"1,156.00",755,0.65,,,,,,
,,2005 - 2006,961,564,0.59,,,,,,
,,2006 - 2007,944,551,0.58,,,,,,
,,2007 - 2008,773,447,0.58,,,,,,
,,2008 - 2009,650,534,0.82,,,,,,
,,2009 - 2010,546,566,1.04,,,,,,
,,2010 - 2011,281,277,0.99,,,,,,
,,2011 - 2012,303,383,1.26,,,,,,
,,2012 - 2013,295,347,1.18,,,,,,
,,2013 - 2014,300,335,1.12,,,,,,
,,2014 - 2015,301,298,0.99,,,,,,
,,2015 - 2016,280,262,0.94,,,,,,
,,2016 - 2017,278,294,1.06,,,,,,
,,2017 - 2018,226,255,1.13,,,,,,
,,2018 - 2019,221,196,0.89,,,,,,
,,2019 - 2020,214,163,0.76,,,,,,
,,2020 - 2021,220,238,1.08,,,,,,
,,2021 - 2022,207,215,1.04,,,,,,
,,2022 - 2023,199,217,1.09,,,,,,
,10. Gaya,2000 - 2001,"3,425.00","4,233.00",1.24,,,,,,
,,2001 - 2002,"3,239.00","2,491.00",0.77,,,,,,
,,2002 - 2003,"7,345.00","5,288.00",0.72,,,,,,
,,2003 - 2004,"5,348.00","4,952.00",0.93,,,,,,
,,2004 - 2005,"2,421.00","1,152.00",0.48,,,,,,
,,2005 - 2006,"2,260.00","1,464.00",0.65,,,,,,
,,2006 - 2007,"2,302.00","1,135.00",0.49,,,,,,
,,2007 - 2008,"2,304.00","1,493.00",0.65,,,,,,
,,2008 - 2009,"2,246.00","2,073.00",0.92,,,,,,
,,2009 - 2010,862,995,1.15,,,,,,
,,2010 - 2011,581,492,0.85,,,,,,
,,2011 - 2012,689,732,1.06,,,,,,
,,2012 - 2013,689,784,1.14,,,,,,
,,2013 - 2014,480,379,0.79,,,,,,
,,2014 - 2015,422,396,0.94,,,,,,
,,2015 - 2016,374,292,0.78,,,,,,
,,2016 - 2017,370,299,0.81,,,,,,
,,2017 - 2018,382,440,1.15,,,,,,
,,2018 - 2019,189,142,0.75,,,,,,
,,2019 - 2020,172,116,0.67,,,,,,
,,2020 - 2021,167,194,1.16,,,,,,
,,2021 - 2022,169,165,0.98,,,,,,
,,2022 - 2023,169,177,1.05,,,,,,
,11. Gopalganj,2000 - 2001,52,48,0.92,,,,,,
,,2001 - 2002,78,64,0.82,,,,,,
,,2002 - 2003,59,48,0.81,,,,,,
,,2003 - 2004,82,76,0.93,,,,,,
,,2004 - 2005,129,87,0.67,,,,,,
,,2005 - 2006,64,51,0.8,,,,,,
,,2006 - 2007,68,54,0.79,,,,,,
,,2007 - 2008,23,19,0.83,,,,,,
,,2008 - 2009,1,1,1,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2010 - 2011,18,18,1,,,,,,
,,2011 - 2012,5,6,1.2,,,,,,
,,2021 - 2022,6,6,1,,,,,,
,,2022 - 2023,152,166,1.09,,,,,,
,12. Jamui,2000 - 2001,"1,388.00","1,319.00",0.95,,,,,,
,,2001 - 2002,"1,150.00",859,0.75,,,,,,
,,2002 - 2003,954,835,0.88,,,,,,
,,2003 - 2004,"1,330.00","1,334.00",1,,,,,,
,,2004 - 2005,908,459,0.51,,,,,,
,,2005 - 2006,378,454,1.2,,,,,,
,,2006 - 2007,387,478,1.24,,,,,,
,,2007 - 2008,187,180,0.96,,,,,,
,,2008 - 2009,207,200,0.97,,,,,,
,,2009 - 2010,88,88,1,,,,,,
,,2010 - 2011,83,65,0.78,,,,,,
,,2011 - 2012,81,74,0.91,,,,,,
,,2012 - 2013,81,114,1.41,,,,,,
,,2013 - 2014,79,118,1.49,,,,,,
,,2014 - 2015,222,149,0.67,,,,,,
,,2015 - 2016,110,123,1.12,,,,,,
,,2017 - 2018,4,5,1.25,,,,,,
,,2022 - 2023,8,10,1.25,,,,,,
,13. Jehanabad,2000 - 2001,"12,785.00","10,343.00",0.81,,,,,,
,,2001 - 2002,"12,644.00","9,154.00",0.72,,,,,,
,,2002 - 2003,"10,750.00","6,267.00",0.58,,,,,,
,,2003 - 2004,"5,390.00","4,193.00",0.78,,,,,,
,,2004 - 2005,"6,775.00","4,248.00",0.63,,,,,,
,,2005 - 2006,"4,066.00","2,570.00",0.63,,,,,,
,,2006 - 2007,"8,428.00","7,992.00",0.95,,,,,,
,,2007 - 2008,"4,902.00","3,794.00",0.77,,,,,,
,,2008 - 2009,"6,502.00","5,689.00",0.87,,,,,,
,,2009 - 2010,"6,568.00","5,241.00",0.8,,,,,,
,,2010 - 2011,"6,667.00","6,460.00",0.97,,,,,,
,,2011 - 2012,"6,706.00","6,324.00",0.94,,,,,,
,,2012 - 2013,"6,776.00","8,897.00",1.31,,,,,,
,,2013 - 2014,"6,928.00","7,004.00",1.01,,,,,,
,,2014 - 2015,"6,176.00","7,868.00",1.27,,,,,,
,,2015 - 2016,"6,176.00","5,694.00",0.92,,,,,,
,,2016 - 2017,"6,176.00","6,361.00",1.03,,,,,,
,,2017 - 2018,"5,630.00","7,375.00",1.31,,,,,,
,,2018 - 2019,"5,509.00","6,457.00",1.17,,,,,,
,,2019 - 2020,"4,423.00","2,384.00",0.54,,,,,,
,,2020 - 2021,"4,439.00","9,455.00",2.13,,,,,,
,,2021 - 2022,"4,349.00","6,063.00",1.39,,,,,,
,,2022 - 2023,"4,631.00","5,881.00",1.27,,,,,,
,14. Kaimur (bhabua),2000 - 2001,"7,267.00","6,875.00",0.95,,,,,,
,,2001 - 2002,"5,539.00","4,930.00",0.89,,,,,,
,,2002 - 2003,"4,037.00","4,981.00",1.23,,,,,,
,,2003 - 2004,"4,921.00","4,857.00",0.99,,,,,,
,,2004 - 2005,"3,340.00","2,565.00",0.77,,,,,,
,,2005 - 2006,"4,136.00","2,982.00",0.72,,,,,,
,,2006 - 2007,"3,660.00","1,706.00",0.47,,,,,,
,,2007 - 2008,"4,249.00","3,735.00",0.88,,,,,,
,,2008 - 2009,"3,687.00","2,957.00",0.8,,,,,,
,,2009 - 2010,"3,032.00","1,916.00",0.63,,,,,,
,,2010 - 2011,"2,971.00","2,552.00",0.86,,,,,,
,,2011 - 2012,"2,407.00","2,003.00",0.83,,,,,,
,,2012 - 2013,"1,746.00","1,636.00",0.94,,,,,,
,,2013 - 2014,"1,156.00","1,169.00",1.01,,,,,,
,,2014 - 2015,516,388,0.75,,,,,,
,,2015 - 2016,453,402,0.89,,,,,,
,,2016 - 2017,708,602,0.85,,,,,,
,,2017 - 2018,390,320,0.82,,,,,,
,,2018 - 2019,624,425,0.68,,,,,,
,,2019 - 2020,402,279,0.69,,,,,,
,,2020 - 2021,243,199,0.82,,,,,,
,,2021 - 2022,294,295,1,,,,,,
,,2022 - 2023,276,281,1.02,,,,,,
,15. Katihar,2000 - 2001,"1,356.00",746,0.55,,,,,,
,,2001 - 2002,"1,257.00",596,0.47,,,,,,
,,2002 - 2003,"1,131.00",523,0.46,,,,,,
,,2003 - 2004,877,437,0.5,,,,,,
,,2004 - 2005,852,268,0.31,,,,,,
,,2005 - 2006,960,590,0.61,,,,,,
,,2006 - 2007,736,414,0.56,,,,,,
,,2007 - 2008,763,512,0.67,,,,,,
,,2008 - 2009,692,495,0.72,,,,,,
,,2009 - 2010,644,667,1.04,,,,,,
,,2010 - 2011,171,168,0.98,,,,,,
,,2011 - 2012,143,181,1.27,,,,,,
,,2012 - 2013,143,168,1.17,,,,,,
,,2013 - 2014,142,124,0.87,,,,,,
,,2014 - 2015,868,859,0.99,,,,,,
,,2015 - 2016,815,761,0.93,,,,,,
,,2016 - 2017,368,390,1.06,,,,,,
,,2018 - 2019,80,72,0.9,,,,,,
,,2019 - 2020,74,56,0.76,,,,,,
,16. Khagaria,2000 - 2001,897,852,0.95,,,,,,
,,2001 - 2002,509,380,0.75,,,,,,
,,2002 - 2003,800,700,0.88,,,,,,
,,2003 - 2004,795,797,1,,,,,,
,,2004 - 2005,784,397,0.51,,,,,,
,,2005 - 2006,543,653,1.2,,,,,,
,,2006 - 2007,462,571,1.24,,,,,,
,,2007 - 2008,495,478,0.97,,,,,,
,,2008 - 2009,436,422,0.97,,,,,,
,,2009 - 2010,459,459,1,,,,,,
,,2010 - 2011,463,361,0.78,,,,,,
,,2011 - 2012,432,394,0.91,,,,,,
,,2012 - 2013,432,609,1.41,,,,,,
,,2013 - 2014,381,569,1.49,,,,,,
,,2014 - 2015,382,256,0.67,,,,,,
,,2015 - 2016,287,321,1.12,,,,,,
,,2016 - 2017,231,262,1.13,,,,,,
,,2017 - 2018,192,218,1.14,,,,,,
,,2018 - 2019,179,188,1.05,,,,,,
,,2019 - 2020,175,132,0.75,,,,,,
,,2020 - 2021,206,206,1,,,,,,
,,2021 - 2022,155,134,0.86,,,,,,
,,2022 - 2023,120,149,1.24,,,,,,
,17. Kishanganj,2000 - 2001,570,314,0.55,,,,,,
,,2001 - 2002,358,170,0.47,,,,,,
,,2002 - 2003,758,350,0.46,,,,,,
,,2003 - 2004,733,365,0.5,,,,,,
,,2004 - 2005,735,231,0.31,,,,,,
,,2005 - 2006,638,392,0.61,,,,,,
,,2006 - 2007,"1,008.00",568,0.56,,,,,,
,,2007 - 2008,886,595,0.67,,,,,,
,,2008 - 2009,799,571,0.71,,,,,,
,,2009 - 2010,506,524,1.04,,,,,,
,,2010 - 2011,487,479,0.98,,,,,,
,,2011 - 2012,443,560,1.26,,,,,,
,,2012 - 2013,402,473,1.18,,,,,,
,,2013 - 2014,372,326,0.88,,,,,,
,,2014 - 2015,375,371,0.99,,,,,,
,,2015 - 2016,383,358,0.93,,,,,,
,,2016 - 2017,387,410,1.06,,,,,,
,,2017 - 2018,390,412,1.06,,,,,,
,,2018 - 2019,393,353,0.9,,,,,,
,,2019 - 2020,381,290,0.76,,,,,,
,,2020 - 2021,375,406,1.08,,,,,,
,,2021 - 2022,236,245,1.04,,,,,,
,,2022 - 2023,218,226,1.04,,,,,,
,18. Lakhisarai,2000 - 2001,"3,326.00","3,160.00",0.95,,,,,,
,,2001 - 2002,"5,045.00","3,769.00",0.75,,,,,,
,,2002 - 2003,"4,946.00","4,328.00",0.88,,,,,,
,,2003 - 2004,"4,581.00","4,595.00",1,,,,,,
,,2004 - 2005,"4,096.00","2,073.00",0.51,,,,,,
,,2005 - 2006,"3,091.00","3,715.00",1.2,,,,,,
,,2006 - 2007,"4,283.00","5,748.00",1.34,,,,,,
,,2007 - 2008,"2,959.00","2,710.00",0.92,,,,,,
,,2008 - 2009,"4,018.00","2,837.00",0.71,,,,,,
,,2009 - 2010,"3,942.00","3,244.00",0.82,,,,,,
,,2010 - 2011,"5,918.00","4,504.00",0.76,,,,,,
,,2011 - 2012,"6,240.00","4,817.00",0.77,,,,,,
,,2012 - 2013,"6,381.00","9,393.00",1.47,,,,,,
,,2013 - 2014,"3,215.00","5,655.00",1.76,,,,,,
,,2014 - 2015,"2,374.00","1,045.00",0.44,,,,,,
,,2015 - 2016,"2,374.00","2,355.00",0.99,,,,,,
,,2016 - 2017,"2,356.00","2,514.00",1.07,,,,,,
,,2017 - 2018,"2,373.00","2,840.00",1.2,,,,,,
,,2018 - 2019,"2,022.00","2,030.00",1,,,,,,
,,2019 - 2020,"1,973.00","1,332.00",0.68,,,,,,
,,2020 - 2021,"1,871.00","2,064.00",1.1,,,,,,
,,2021 - 2022,"3,144.00","2,801.00",0.89,,,,,,
,,2022 - 2023,"1,430.00","2,052.00",1.43,,,,,,
,19. Madhepura,2000 - 2001,"3,484.00","2,986.00",0.86,,,,,,
,,2001 - 2002,"3,765.00","3,140.00",0.83,,,,,,
,,2002 - 2003,"2,702.00","1,916.00",0.71,,,,,,
,,2003 - 2004,"2,310.00",991,0.43,,,,,,
,,2004 - 2005,"2,343.00","1,560.00",0.67,,,,,,
,,2005 - 2006,"2,081.00","1,346.00",0.65,,,,,,
,,2006 - 2007,"1,788.00","1,393.00",0.78,,,,,,
,,2007 - 2008,"1,893.00","1,204.00",0.64,,,,,,
,,2008 - 2009,"1,218.00","1,161.00",0.95,,,,,,
,,2009 - 2010,828,331,0.4,,,,,,
,,2010 - 2011,810,439,0.54,,,,,,
,,2011 - 2012,505,298,0.59,,,,,,
,,2012 - 2013,505,342,0.68,,,,,,
,,2013 - 2014,264,220,0.83,,,,,,
,,2014 - 2015,376,250,0.66,,,,,,
,,2015 - 2016,382,340,0.89,,,,,,
,,2016 - 2017,341,361,1.06,,,,,,
,,2017 - 2018,459,91,0.2,,,,,,
,,2018 - 2019,355,191,0.54,,,,,,
,,2019 - 2020,354,244,0.69,,,,,,
,,2020 - 2021,285,242,0.85,,,,,,
,,2021 - 2022,286,392,1.37,,,,,,
,,2022 - 2023,173,151,0.87,,,,,,
,20. Madhubani,2000 - 2001,"2,845.00","2,785.00",0.98,,,,,,
,,2001 - 2002,"2,699.00","1,406.00",0.52,,,,,,
,,2002 - 2003,"2,461.00","1,427.00",0.58,,,,,,
,,2003 - 2004,"1,740.00",830,0.48,,,,,,
,,2004 - 2005,"1,732.00","1,131.00",0.65,,,,,,
,,2005 - 2006,"1,801.00","1,057.00",0.59,,,,,,
,,2006 - 2007,"1,781.00","1,040.00",0.58,,,,,,
,,2007 - 2008,"1,601.00",925,0.58,,,,,,
,,2008 - 2009,"1,422.00","1,167.00",0.82,,,,,,
,,2009 - 2010,"1,214.00","1,258.00",1.04,,,,,,
,,2010 - 2011,"1,456.00","1,433.00",0.98,,,,,,
,,2011 - 2012,"1,080.00","1,366.00",1.26,,,,,,
,,2012 - 2013,958,"1,128.00",1.18,,,,,,
,,2013 - 2014,956,"1,067.00",1.12,,,,,,
,,2014 - 2015,887,878,0.99,,,,,,
,,2015 - 2016,642,560,0.87,,,,,,
,,2016 - 2017,136,144,1.06,,,,,,
,,2017 - 2018,642,725,1.13,,,,,,
,,2018 - 2019,136,121,0.89,,,,,,
,,2019 - 2020,207,157,0.76,,,,,,
,,2020 - 2021,287,311,1.08,,,,,,
,,2021 - 2022,298,309,1.04,,,,,,
,,2022 - 2023,300,327,1.09,,,,,,
,21. Munger,2000 - 2001,191,181,0.95,,,,,,
,,2001 - 2002,147,110,0.75,,,,,,
,,2002 - 2003,108,95,0.88,,,,,,
,,2003 - 2004,133,133,1,,,,,,
,,2004 - 2005,74,37,0.5,,,,,,
,,2005 - 2006,87,105,1.21,,,,,,
,,2006 - 2007,97,120,1.24,,,,,,
,,2007 - 2008,158,152,0.96,,,,,,
,,2008 - 2009,293,284,0.97,,,,,,
,,2009 - 2010,186,186,1,,,,,,
,,2010 - 2011,109,85,0.78,,,,,,
,,2011 - 2012,119,109,0.92,,,,,,
,,2012 - 2013,84,118,1.4,,,,,,
,,2013 - 2014,63,94,1.49,,,,,,
,,2014 - 2015,92,62,0.67,,,,,,
,,2015 - 2016,74,83,1.12,,,,,,
,,2016 - 2017,98,111,1.13,,,,,,
,,2017 - 2018,97,110,1.13,,,,,,
,,2018 - 2019,98,103,1.05,,,,,,
,,2019 - 2020,98,74,0.76,,,,,,
,,2020 - 2021,98,98,1,,,,,,
,,2021 - 2022,98,84,0.86,,,,,,
,,2022 - 2023,96,119,1.24,,,,,,
,22. Muzaffarpur,2000 - 2001,"1,314.00",805,0.61,,,,,,
,,2001 - 2002,"1,081.00",883,0.82,,,,,,
,,2002 - 2003,"1,348.00",825,0.61,,,,,,
,,2003 - 2004,"1,045.00",882,0.84,,,,,,
,,2004 - 2005,771,400,0.52,,,,,,
,,2005 - 2006,"1,233.00",593,0.48,,,,,,
,,2006 - 2007,724,571,0.79,,,,,,
,,2007 - 2008,673,565,0.84,,,,,,
,,2008 - 2009,719,590,0.82,,,,,,
,,2009 - 2010,186,193,1.04,,,,,,
,,2010 - 2011,736,724,0.98,,,,,,
,,2011 - 2012,547,414,0.76,,,,,,
,,2014 - 2015,196,194,0.99,,,,,,
,,2015 - 2016,260,243,0.93,,,,,,
,,2016 - 2017,450,243,0.54,,,,,,
,,2017 - 2018,426,188,0.44,,,,,,
,,2018 - 2019,401,256,0.64,,,,,,
,,2019 - 2020,413,342,0.83,,,,,,
,,2020 - 2021,405,350,0.86,,,,,,
,,2021 - 2022,442,578,1.31,,,,,,
,,2022 - 2023,448,249,0.56,,,,,,
,23. Nalanda,2000 - 2001,"11,940.00","10,865.00",0.91,,,,,,
,,2001 - 2002,"11,616.00","4,263.00",0.37,,,,,,
,,2002 - 2003,"11,188.00","7,630.00",0.68,,,,,,
,,2003 - 2004,"11,191.00","12,691.00",1.13,,,,,,
,,2004 - 2005,"11,224.00","5,578.00",0.5,,,,,,
,,2005 - 2006,"5,423.00","3,097.00",0.57,,,,,,
,,2006 - 2007,"4,610.00","3,388.00",0.73,,,,,,
,,2007 - 2008,"2,940.00","2,955.00",1.01,,,,,,
,,2008 - 2009,"3,074.00","2,496.00",0.81,,,,,,
,,2009 - 2010,"3,393.00","4,034.00",1.19,,,,,,
,,2010 - 2011,"2,539.00","2,973.00",1.17,,,,,,
,,2011 - 2012,"3,230.00","5,717.00",1.77,,,,,,
,,2012 - 2013,"3,014.00","3,138.00",1.04,,,,,,
