State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,12,16,1.33,,,,,,,,,
,,2015 - 2016,55,"1,375.00",25,,,,,,,,,
,,2016 - 2017,65,"1,625.00",25,,,,,,,,,
,,2017 - 2018,70,"1,750.00",25,,,,,,,,,
,,2018 - 2019,86,"2,150.00",25,,,,,,,,,
,,2019 - 2020,102,"2,550.00",25,,,,,,,,,
,14. Datia,2002 - 2003,1,0.01,0.01,,,,,,,,,
,,2004 - 2005,4,2,0.5,,,,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,,,,
,,2015 - 2016,20,460,23,,,,,,,,,
,,2016 - 2017,72,"1,656.00",23,,,,,,,,,
,,2017 - 2018,76,"1,748.00",23,,,,,,,,,
,,2018 - 2019,77,"1,771.00",23,,,,,,,,,
,,2019 - 2020,77,"1,771.00",23,,,,,,,,,
,15. Dewas,2002 - 2003,"32,784.00","22,488.00",0.69,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,86,69,0.8,,,,,,,,,
,,2012 - 2013,96,86,0.9,,,,,,,,,
,,2013 - 2014,5,4,0.8,,,,,,,,,
,,2015 - 2016,140,"2,695.00",19.25,,,,,,,,,
,,2016 - 2017,140,"2,695.00",19.25,,,,,,,,,
,,2017 - 2018,148,"2,867.00",19.37,,,,,,,,,
,,2018 - 2019,166,"3,233.68",19.48,,,,,,,,,
,,2019 - 2020,180,"3,506.00",19.48,,,,,,,,,
,16. Dhar,2000 - 2001,10,5,0.5,,,,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,,,,
,,2002 - 2003,"94,477.00","75,148.00",0.8,,,,,,,,,
,,2003 - 2004,73,55,0.75,,,,,,,,,
,,2004 - 2005,85,76,0.89,,,,,,,,,
,,2006 - 2007,46,43,0.93,,,,,,,,,
,,2007 - 2008,31,29,0.94,,,,,,,,,
,,2008 - 2009,22,19,0.86,,,,,,,,,
,,2009 - 2010,24,21,0.88,,,,,,,,,
,,2010 - 2011,13,10,0.77,,,,,,,,,
,,2011 - 2012,58,44,0.76,,,,,,,,,
,,2012 - 2013,86,86,1,,,,,,,,,
,,2013 - 2014,43,40,0.93,,,,,,,,,
,,2015 - 2016,208.8,"3,340.00",16,,,,,,,,,
,,2016 - 2017,431,"13,292.00",30.84,,,,,,,,,
,,2017 - 2018,457,"14,099.00",30.85,,,,,,,,,
,,2018 - 2019,457,"14,099.00",30.85,,,,,,,,,
,,2019 - 2020,470,"12,346.90",26.27,,,,,,,,,
,17. Dindori,2015 - 2016,110,1.5,0.01,,,,,,,,,
,,2016 - 2017,115,"1,926.25",16.75,,,,,,,,,
,,2017 - 2018,118,"1,947.00",16.5,,,,,,,,,
,,2018 - 2019,183.9,"3,034.35",16.5,,,,,,,,,
,,2019 - 2020,210,"3,463.00",16.49,,,,,,,,,
,18. Guna,2015 - 2016,5,75,15,,,,,,,,,
,,2016 - 2017,233,"3,495.00",15,,,,,,,,,
,,2017 - 2018,248,"3,720.00",15,,,,,,,,,
,,2018 - 2019,259,"3,885.00",15,,,,,,,,,
,,2019 - 2020,287,"4,305.00",15,,,,,,,,,
,19. Gwalior,2015 - 2016,20,500,25,,,,,,,,,
,,2016 - 2017,23,575,25,,,,,,,,,
,,2017 - 2018,24,600,25,,,,,,,,,
,,2018 - 2019,27,675,25,,,,,,,,,
,,2019 - 2020,35,875,25,,,,,,,,,
,20. Harda,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,"1,329.00",678,0.51,,,,,,,,,
,,2003 - 2004,3,4,1.33,,,,,,,,,
,,2004 - 2005,3,4,1.33,,,,,,,,,
,,2009 - 2010,15,16,1.07,,,,,,,,,
,,2010 - 2011,8,7,0.88,,,,,,,,,
,,2011 - 2012,6,6,1,,,,,,,,,
,,2012 - 2013,15,15,1,,,,,,,,,
,,2013 - 2014,11,12,1.09,,,,,,,,,
,,2015 - 2016,160,"3,840.00",24,,,,,,,,,
,,2016 - 2017,165,"3,960.00",24,,,,,,,,,
,,2017 - 2018,168,"4,036.00",24.02,,,,,,,,,
,,2018 - 2019,140,"3,360.00",24,,,,,,,,,
,,2019 - 2020,140,"3,360.00",24,,,,,,,,,
,21. Hoshangabad,2000 - 2001,6,8,1.33,,,,,,,,,
,,2001 - 2002,9,13,1.44,,,,,,,,,
,,2002 - 2003,24,12,0.5,,,,,,,,,
,,2003 - 2004,7,10,1.43,,,,,,,,,
,,2004 - 2005,4,6,1.5,,,,,,,,,
,,2006 - 2007,14,20,1.43,,,,,,,,,
,,2007 - 2008,13,17,1.31,,,,,,,,,
,,2008 - 2009,13,19,1.46,,,,,,,,,
,,2009 - 2010,15,22,1.47,,,,,,,,,
,,2010 - 2011,14,17,1.21,,,,,,,,,
,,2011 - 2012,24,32,1.33,,,,,,,,,
,,2012 - 2013,24,32,1.33,,,,,,,,,
,,2013 - 2014,20,28,1.4,,,,,,,,,
,,2015 - 2016,65,"1,365.00",21,,,,,,,,,
,,2016 - 2017,68,"1,394.00",20.5,,,,,,,,,
,,2017 - 2018,78,"1,599.00",20.5,,,,,,,,,
,,2018 - 2019,72,"1,442.40",20.03,,,,,,,,,
,,2019 - 2020,72,"1,442.40",20.03,,,,,,,,,
,22. Indore,2000 - 2001,2,1,0.5,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,
,,2002 - 2003,20,9,0.45,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2008 - 2009,4,4,1,,,,,,,,,
,,2010 - 2011,9,6,0.67,,,,,,,,,
,,2012 - 2013,2,2,1,,,,,,,,,
,,2017 - 2018,20,500,25,,,,,,,,,
,,2018 - 2019,35,"1,050.00",30,,,,,,,,,
,,2019 - 2020,40,740,18.5,,,,,,,,,
,23. Jabalpur,2001 - 2002,2,2,1,,,,,,,,,
,,2003 - 2004,32,46,1.44,,,,,,,,,
,,2004 - 2005,2,3,1.5,,,,,,,,,
,,2006 - 2007,7,16,2.29,,,,,,,,,
,,2007 - 2008,14,17,1.21,,,,,,,,,
,,2009 - 2010,5,9,1.8,,,,,,,,,
,,2010 - 2011,4,5,1.25,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,17,28,1.65,,,,,,,,,
,,2013 - 2014,10,17,1.7,,,,,,,,,
,,2015 - 2016,577.5,"8,009.25",13.87,,,,,,,,,
,,2016 - 2017,583,"8,086.21",13.87,,,,,,,,,
,,2017 - 2018,641,"10,581.00",16.51,,,,,,,,,
,,2018 - 2019,673.05,"11,110.05",16.51,,,,,,,,,
,,2019 - 2020,675.05,"11,143.06",16.51,,,,,,,,,
,24. Jhabua,2001 - 2002,2,2,1,,,,,,,,,
,,2002 - 2003,"31,065.00","13,494.00",0.43,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,4,4,1,,,,,,,,,
,,2006 - 2007,4,4,1,,,,,,,,,
,,2007 - 2008,2,2,1,,,,,,,,,
,,2008 - 2009,2,2,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,5,4,0.8,,,,,,,,,
,,2011 - 2012,15,11,0.73,,,,,,,,,
,,2012 - 2013,17,22,1.29,,,,,,,,,
,,2013 - 2014,15,18,1.2,,,,,,,,,
,,2015 - 2016,94,"1,880.00",20,,,,,,,,,
,,2016 - 2017,130,650,5,,,,,,,,,
,,2017 - 2018,138,"2,760.00",20,,,,,,,,,
,,2018 - 2019,140,"2,800.00",20,,,,,,,,,
,,2019 - 2020,125,"2,500.00",20,,,,,,,,,
,25. Katni,2000 - 2001,16,19,1.19,,,,,,,,,
,,2001 - 2002,18,21,1.17,,,,,,,,,
,,2003 - 2004,18,26,1.44,,,,,,,,,
,,2004 - 2005,18,26,1.44,,,,,,,,,
,,2006 - 2007,14,11,0.79,,,,,,,,,
,,2007 - 2008,27,20,0.74,,,,,,,,,
,,2008 - 2009,14,13,0.93,,,,,,,,,
,,2009 - 2010,28,22,0.79,,,,,,,,,
,,2010 - 2011,22,8,0.36,,,,,,,,,
,,2011 - 2012,40,28,0.7,,,,,,,,,
,,2012 - 2013,119,114,0.96,,,,,,,,,
,,2013 - 2014,178,180,1.01,,,,,,,,,
,,2015 - 2016,535,"6,698.00",12.52,,,,,,,,,
,,2016 - 2017,535,"12,037.00",22.5,,,,,,,,,
,,2017 - 2018,535.5,"12,048.75",22.5,,,,,,,,,
,,2018 - 2019,535.6,"12,051.00",22.5,,,,,,,,,
,,2019 - 2020,536.5,"12,071.25",22.5,,,,,,,,,
,26. Khandwa,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,3,2,0.67,,,,,,,,,
,,2002 - 2003,"1,07,639.00","61,390.00",0.57,,,,,,,,,
,,2003 - 2004,5,4,0.8,,,,,,,,,
,,2004 - 2005,5,5,1,,,,,,,,,
,,2006 - 2007,8,6,0.75,,,,,,,,,
,,2007 - 2008,17,13,0.76,,,,,,,,,
,,2008 - 2009,15,13,0.87,,,,,,,,,
,,2009 - 2010,4,3,0.75,,,,,,,,,
,,2010 - 2011,8,6,0.75,,,,,,,,,
,,2011 - 2012,24,15,0.63,,,,,,,,,
,,2012 - 2013,25,25,1,,,,,,,,,
,,2013 - 2014,31,23,0.74,,,,,,,,,
,,2015 - 2016,50,"1,000.00",20,,,,,,,,,
,,2016 - 2017,102,"1,122.00",11,,,,,,,,,
,,2017 - 2018,98,"1,078.00",11,,,,,,,,,
,,2018 - 2019,82,902,11,,,,,,,,,
,,2019 - 2020,86,947,11.01,,,,,,,,,
,27. Khargone,2000 - 2001,14,10,0.71,,,,,,,,,
,,2001 - 2002,12,13,1.08,,,,,,,,,
,,2002 - 2003,"1,78,680.00","1,21,715.00",0.68,,,,,,,,,
,,2003 - 2004,5,5,1,,,,,,,,,
,,2004 - 2005,10,11,1.1,,,,,,,,,
,,2006 - 2007,24,24,1,,,,,,,,,
,,2007 - 2008,34,35,1.03,,,,,,,,,
,,2008 - 2009,17,21,1.24,,,,,,,,,
,,2009 - 2010,24,29,1.21,,,,,,,,,
,,2010 - 2011,9,8,0.89,,,,,,,,,
,,2011 - 2012,46,41,0.89,,,,,,,,,
,,2012 - 2013,59,58,0.98,,,,,,,,,
,,2013 - 2014,54,50,0.93,,,,,,,,,
,,2015 - 2016,436,"10,551.00",24.2,,,,,,,,,
,,2016 - 2017,235,"5,710.50",24.3,,,,,,,,,
,,2017 - 2018,125,"3,038.00",24.3,,,,,,,,,
,,2018 - 2019,129,"3,135.00",24.3,,,,,,,,,
,,2019 - 2020,126,"3,061.80",24.3,,,,,,,,,
,28. Mandla,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,1,1,1,,,,,,,,,
,,2003 - 2004,4,5,1.25,,,,,,,,,
,,2004 - 2005,5,6,1.2,,,,,,,,,
,,2006 - 2007,5,8,1.6,,,,,,,,,
,,2007 - 2008,5,6,1.2,,,,,,,,,
,,2008 - 2009,4,6,1.5,,,,,,,,,
,,2009 - 2010,3,5,1.67,,,,,,,,,
,,2010 - 2011,3,4,1.33,,,,,,,,,
,,2011 - 2012,5,7,1.4,,,,,,,,,
,,2012 - 2013,7,13,1.86,,,,,,,,,
,,2013 - 2014,2,4,2,,,,,,,,,
,,2015 - 2016,81.71,"1,375.82",16.84,,,,,,,,,
,,2016 - 2017,82.72,"2,372.00",28.68,,,,,,,,,
,,2017 - 2018,89.4,"2,623.75",29.35,,,,,,,,,
,,2018 - 2019,94.4,"2,773.65",29.38,,,,,,,,,
,,2019 - 2020,98,"1,790.32",18.27,,,,,,,,,
,29. Mandsaur,2002 - 2003,192,56,0.29,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2008 - 2009,3,3,1,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2012 - 2013,4,3,0.75,,,,,,,,,
,30. Narsinghpur,2000 - 2001,12,10,0.83,,,,,,,,,
,,2001 - 2002,14,14,1,,,,,,,,,
,,2003 - 2004,22,26,1.18,,,,,,,,,
,,2004 - 2005,25,28,1.12,,,,,,,,,
,,2006 - 2007,6,7,1.17,,,,,,,,,
,,2007 - 2008,14,16,1.14,,,,,,,,,
,,2008 - 2009,13,14,1.08,,,,,,,,,
,,2009 - 2010,6,7,1.17,,,,,,,,,
,,2010 - 2011,10,9,0.9,,,,,,,,,
,,2011 - 2012,5,6,1.2,,,,,,,,,
,,2012 - 2013,7,10,1.43,,,,,,,,,
,,2013 - 2014,10,13,1.3,,,,,,,,,
,,2015 - 2016,149.65,"2,466.82",16.48,,,,,,,,,
,,2016 - 2017,188,"3,065.00",16.3,,,,,,,,,
,,2017 - 2018,188,"3,065.00",16.3,,,,,,,,,
,,2018 - 2019,185,"3,024.00",16.35,,,,,,,,,
,,2019 - 2020,185,"3,024.00",16.35,,,,,,,,,
,31. Neemuch,2001 - 2002,4,3,0.75,,,,,,,,,
,,2003 - 2004,4,3,0.75,,,,,,,,,
,,2004 - 2005,7,7,1,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,3,2,0.67,,,,,,,,,
,,2008 - 2009,4,4,1,,,,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,5,3,0.6,,,,,,,,,
,,2012 - 2013,5,4,0.8,,,,,,,,,
,,2013 - 2014,6,6,1,,,,,,,,,
,,2017 - 2018,4,48,12,,,,,,,,,
,,2018 - 2019,5,20,4,,,,,,,,,
,,2019 - 2020,5,120,24,,,,,,,,,
,32. Panna,2000 - 2001,4,3,0.75,,,,,,,,,
,,2004 - 2005,10,9,0.9,,,,,,,,,
,,2006 - 2007,4,3,0.75,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2015 - 2016,19.5,195,10,,,,,,,,,
,,2016 - 2017,21,210,10,,,,,,,,,
,,2017 - 2018,23,230,10,,,,,,,,,
,,2018 - 2019,24,240,10,,,,,,,,,
,,2019 - 2020,24,240,10,,,,,,,,,
,33. Raisen,2000 - 2001,5,4,0.8,,,,,,,,,
,,2003 - 2004,3,2,0.67,,,,,,,,,
,,2006 - 2007,11,8,0.73,,,,,,,,,
,,2007 - 2008,33,28,0.85,,,,,,,,,
,,2012 - 2013,9,7,0.78,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2015 - 2016,32,660,20.63,,,,,,,,,
,,2016 - 2017,40,680,17,,,,,,,,,
,,2017 - 2018,40,680,17,,,,,,,,,
,,2018 - 2019,40,680,17,,,,,,,,,
,,2019 - 2020,40,680,17,,,,,,,,,
,34. Rajgarh,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,35. Ratlam,2000 - 2001,2,1,0.5,,,,,,,,,
,,2002 - 2003,"24,165.00","16,033.00",0.66,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2006 - 2007,3,3,1,,,,,,,,,
,,2007 - 2008,19,13,0.68,,,,,,,,,
,,2008 - 2009,4,4,1,,,,,,,,,
,,2009 - 2010,8,6,0.75,,,,,,,,,
,,2010 - 2011,3,2,0.67,,,,,,,,,
,,2011 - 2012,6,4,0.67,,,,,,,,,
,,2012 - 2013,4,3,0.75,,,,,,,,,
,,2013 - 2014,10,10,1,,,,,,,,,
,,2015 - 2016,66,"1,140.00",17.27,,,,,,,,,
,,2016 - 2017,72,"1,244.00",17.28,,,,,,,,,
,,2017 - 2018,72,"1,244.00",17.28,,,,,,,,,
,,2018 - 2019,67,"1,197.80",17.88,,,,,,,,,
,,2019 - 2020,66,"1,155.65",17.51,,,,,,,,,
,36. Rewa,2000 - 2001,17,18,1.06,,,,,,,,,
,,2001 - 2002,18,19,1.06,,,,,,,,,
,,2003 - 2004,47,41,0.87,,,,,,,,,
,,2004 - 2005,48,42,0.88,,,,,,,,,
,,2006 - 2007,27,23,0.85,,,,,,,,,
,,2007 - 2008,10,9,0.9,,,,,,,,,
,,2008 - 2009,18,16,0.89,,,,,,,,,
,,2009 - 2010,20,17,0.85,,,,,,,,,
,,2010 - 2011,17,9,0.53,,,,,,,,,
,,2011 - 2012,23,15,0.65,,,,,,,,,
,,2012 - 2013,25,23,0.92,,,,,,,,,
,,2013 - 2014,17,11,0.65,,,,,,,,,
,,2015 - 2016,641.3,"8,432.40",13.15,,,,,,,,,
,,2016 - 2017,"2,670.00","38,715.00",14.5,,,,,,,,,
,,2017 - 2018,"2,189.40","31,746.30",14.5,,,,,,,,,
,,2018 - 2019,"3,269.00","47,400.50",14.5,,,,,,,,,
,,2019 - 2020,"4,254.00","61,683.00",14.5,,,,,,,,,
,37. Sagar,2000 - 2001,28,23,0.82,,,,,,,,,
,,2001 - 2002,26,24,0.92,,,,,,,,,
,,2003 - 2004,24,20,0.83,,,,,,,,,
,,2004 - 2005,33,25,0.76,,,,,,,,,
,,2006 - 2007,26,20,0.77,,,,,,,,,
,,2007 - 2008,16,12,0.75,,,,,,,,,
,,2008 - 2009,18,11,0.61,,,,,,,,,
,,2009 - 2010,11,7,0.64,,,,,,,,,
,,2010 - 2011,20,9,0.45,,,,,,,,,
,,2011 - 2012,10,5,0.5,,,,,,,,,
,,2012 - 2013,21,18,0.86,,,,,,,,,
,,2013 - 2014,38,44,1.16,,,,,,,,,
,,2015 - 2016,865,"17,300.00",20,,,,,,,,,
,,2016 - 2017,"1,000.00","20,000.00",20,,,,,,,,,
,,2017 - 2018,835,"16,700.00",20,,,,,,,,,
,,2018 - 2019,895,"17,929.00",20.03,,,,,,,,,
,,2019 - 2020,998,"19,985.90",20.03,,,,,,,,,
,38. Satna,2000 - 2001,13,11,0.85,,,,,,,,,
,,2001 - 2002,17,19,1.12,,,,,,,,,
,,2003 - 2004,26,29,1.12,,,,,,,,,
,,2004 - 2005,27,30,1.11,,,,,,,,,
,,2006 - 2007,30,27,0.9,,,,,,,,,
,,2007 - 2008,41,38,0.93,,,,,,,,,
,,2008 - 2009,26,24,0.92,,,,,,,,,
,,2009 - 2010,51,53,1.04,,,,,,,,,
,,2010 - 2011,42,32,0.76,,,,,,,,,
,,2011 - 2012,80,62,0.78,,,,,,,,,
,,2012 - 2013,91,91,1,,,,,,,,,
,,2013 - 2014,68,46,0.68,,,,,,,,,
,,2015 - 2016,187.2,"2,441.70",13.04,,,,,,,,,
,,2016 - 2017,228.83,"2,961.05",12.94,,,,,,,,,
,,2017 - 2018,218.5,"2,899.00",13.27,,,,,,,,,
,,2018 - 2019,239,"3,066.00",12.83,,,,,,,,,
,,2019 - 2020,286,"3,656.60",12.79,,,,,,,,,
,39. Sehore,2000 - 2001,1,1,1,,,,,,,,,
,,2002 - 2003,183,65,0.36,,,,,,,,,
,,2015 - 2016,10,275,27.5,,,,,,,,,
,,2016 - 2017,20,590,29.5,,,,,,,,,
,,2017 - 2018,25,500,20,,,,,,,,,
,,2018 - 2019,25,500,20,,,,,,,,,
,,2019 - 2020,35,700,20,,,,,,,,,
,40. Seoni,2000 - 2001,7,6,0.86,,,,,,,,,
,,2001 - 2002,17,14,0.82,,,,,,,,,
,,2002 - 2003,9,7,0.78,,,,,,,,,
,,2003 - 2004,5,4,0.8,,,,,,,,,
,,2004 - 2005,5,4,0.8,,,,,,,,,
,,2006 - 2007,3,3,1,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,4,4,1,,,,,,,,,
,,2010 - 2011,22,17,0.77,,,,,,,,,
,,2011 - 2012,5,4,0.8,,,,,,,,,
,,2012 - 2013,25,27,1.08,,,,,,,,,
,,2013 - 2014,16,21,1.31,,,,,,,,,
,,2015 - 2016,24.5,343.2,14.01,,,,,,,,,
,,2016 - 2017,31,471,15.19,,,,,,,,,
,,2017 - 2018,35,539,15.4,,,,,,,,,
,,2018 - 2019,39,599,15.36,,,,,,,,,
,,2019 - 2020,39.5,607.1,15.37,,,,,,,,,
,41. Shahdol,2000 - 2001,23,19,0.83,,,,,,,,,
,,2001 - 2002,20,19,0.95,,,,,,,,,
,,2003 - 2004,22,19,0.86,,,,,,,,,
,,2004 - 2005,25,20,0.8,,,,,,,,,
,,2006 - 2007,35,28,0.8,,,,,,,,,
,,2007 - 2008,38,30,0.79,,,,,,,,,
,,2008 - 2009,36,29,0.81,,,,,,,,,
,,2009 - 2010,37,29,0.78,,,,,,,,,
,,2010 - 2011,44,26,0.59,,,,,,,,,
,,2011 - 2012,35,19,0.54,,,,,,,,,
,,2012 - 2013,46,45,0.98,,,,,,,,,
,,2013 - 2014,39,61,1.56,,,,,,,,,
,,2015 - 2016,386,"6,891.00",17.85,,,,,,,,,
,,2016 - 2017,424,"7,275.80",17.16,,,,,,,,,
,,2017 - 2018,445,"6,780.70",15.24,,,,,,,,,
,,2018 - 2019,446.5,"6,886.80",15.42,,,,,,,,,
,,2019 - 2020,670,"10,351.50",15.45,,,,,,,,,
,42. Shajapur,2002 - 2003,4,2,0.5,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2015 - 2016,130,"2,658.00",20.45,,,,,,,,,
,,2016 - 2017,132,"2,706.00",20.5,,,,,,,,,
,,2017 - 2018,110,"2,266.00",20.6,,,,,,,,,
,,2018 - 2019,113,"2,327.80",20.6,,,,,,,,,
,,2019 - 2020,115,"2,369.00",20.6,,,,,,,,,
,43. Sheopur,2002 - 2003,4,1,0.25,,,,,,,,,
,,2015 - 2016,20,390,19.5,,,,,,,,,
,,2016 - 2017,21,600,28.57,,,,,,,,,
,,2017 - 2018,21,504,24,,,,,,,,,
,,2018 - 2019,22,528,24,,,,,,,,,
,,2019 - 2020,37,888,24,,,,,,,,,
,44. Shivpuri,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,
,,2003 - 2004,4,3,0.75,,,,,,,,,
,,2004 - 2005,5,5,1,,,,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2012 - 2013,1,1,1,,,,,,,,,
,,2015 - 2016,141,"2,679.00",19,,,,,,,,,
,,2016 - 2017,158,"3,160.00",20,,,,,,,,,
,,2017 - 2018,210,"4,200.00",20,,,,,,,,,
,,2018 - 2019,225,"4,500.00",20,,,,,,,,,
,,2019 - 2020,230,"4,500.00",19.57,,,,,,,,,
,45. Sidhi,2000 - 2001,25,24,0.96,,,,,,,,,
,,2001 - 2002,34,37,1.09,,,,,,,,,
,,2002 - 2003,1,0.01,0.01,,,,,,,,,
,,2003 - 2004,29,27,0.93,,,,,,,,,
,,2004 - 2005,23,21,0.91,,,,,,,,,
,,2006 - 2007,21,19,0.9,,,,,,,,,
,,2007 - 2008,24,20,0.83,,,,,,,,,
,,2008 - 2009,8,8,1,,,,,,,,,
,,2009 - 2010,8,8,1,,,,,,,,,
,,2010 - 2011,10,6,0.6,,,,,,,,,
,,2011 - 2012,11,7,0.64,,,,,,,,,
,,2012 - 2013,19,24,1.26,,,,,,,,,
,,2013 - 2014,12,23,1.92,,,,,,,,,
,,2015 - 2016,95,"1,900.00",20,,,,,,,,,
,,2016 - 2017,117,"2,468.00",21.09,,,,,,,,,
,,2017 - 2018,125,"2,500.00",20,,,,,,,,,
,,2018 - 2019,137,"2,750.00",20.07,,,,,,,,,
,,2019 - 2020,292,"5,861.00",20.07,,,,,,,,,
,46. Singrauli,2008 - 2009,16,15,0.94,,,,,,,,,
,,2009 - 2010,13,14,1.08,,,,,,,,,
,,2010 - 2011,19,16,0.84,,,,,,,,,
,,2011 - 2012,27,20,0.74,,,,,,,,,
,,2012 - 2013,24,30,1.25,,,,,,,,,
,,2013 - 2014,26,51,1.96,,,,,,,,,
,,2015 - 2016,75,"1,237.50",16.5,,,,,,,,,
,,2016 - 2017,83,"1,377.80",16.6,,,,,,,,,
,,2017 - 2018,100,"1,680.00",16.8,,,,,,,,,
,,2018 - 2019,125,"2,125.00",17,,,,,,,,,
,,2019 - 2020,265,"4,770.00",18,,,,,,,,,
,47. Tikamgarh,2000 - 2001,40,62,1.55,,,,,,,,,
,,2001 - 2002,53,84,1.58,,,,,,,,,
,,2003 - 2004,115,170,1.48,,,,,,,,,
,,2004 - 2005,94,93,0.99,,,,,,,,,
,,2006 - 2007,89,87,0.98,,,,,,,,,
,,2007 - 2008,44,43,0.98,,,,,,,,,
,,2008 - 2009,66,84,1.27,,,,,,,,,
,,2009 - 2010,54,66,1.22,,,,,,,,,
,,2010 - 2011,71,38,0.54,,,,,,,,,
,,2011 - 2012,158,142,0.9,,,,,,,,,
,,2012 - 2013,140,138,0.99,,,,,,,,,
,,2013 - 2014,205,183,0.89,,,,,,,,,
,,2015 - 2016,703,"7,733.00",11,,,,,,,,,
,,2016 - 2017,847,"9,317.00",11,,,,,,,,,
,,2017 - 2018,993,"10,923.00",11,,,,,,,,,
,,2018 - 2019,"1,007.00","13,091.00",13,,,,,,,,,
,,2019 - 2020,"1,027.00","13,351.00",13,,,,,,,,,
,48. Ujjain,2002 - 2003,19,5,0.26,,,,,,,,,
,,2003 - 2004,2,2,1,,,,,,,,,
,,2004 - 2005,13,20,1.54,,,,,,,,,
,,2006 - 2007,9,14,1.56,,,,,,,,,
,,2007 - 2008,2,3,1.5,,,,,,,,,
,,2012 - 2013,5,7,1.4,,,,,,,,,
,,2013 - 2014,6,9,1.5,,,,,,,,,
,,2015 - 2016,75.5,"1,774.30",23.5,,,,,,,,,
,,2016 - 2017,77,"1,809.50",23.5,,,,,,,,,
,,2017 - 2018,92,"2,182.24",23.72,,,,,,,,,
,,2018 - 2019,95.68,"2,286.75",23.9,,,,,,,,,
,,2019 - 2020,100.72,"2,417.28",24,,,,,,,,,
,49. Umaria,2000 - 2001,10,8,0.8,,,,,,,,,
,,2001 - 2002,12,10,0.83,,,,,,,,,
,,2003 - 2004,22,17,0.77,,,,,,,,,
,,2004 - 2005,23,18,0.78,,,,,,,,,
,,2006 - 2007,28,21,0.75,,,,,,,,,
,,2007 - 2008,40,32,0.8,,,,,,,,,
,,2008 - 2009,38,31,0.82,,,,,,,,,
,,2009 - 2010,41,33,0.8,,,,,,,,,
,,2010 - 2011,48,20,0.42,,,,,,,,,
,,2011 - 2012,42,20,0.48,,,,,,,,,
,,2012 - 2013,44,35,0.8,,,,,,,,,
,,2013 - 2014,60,101,1.68,,,,,,,,,
,,2015 - 2016,54,239.7,4.44,,,,,,,,,
,,2016 - 2017,100,700,7,,,,,,,,,
,,2017 - 2018,450,"2,137.50",4.75,,,,,,,,,
,,2018 - 2019,550,"2,612.50",4.75,,,,,,,,,
,,2019 - 2020,650,"9,080.50",13.97,,,,,,,,,
,50. Vidisha,2001 - 2002,3,2,0.67,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2015 - 2016,91.5,938.5,10.26,,,,,,,,,
,,2016 - 2017,92,"2,003.50",21.78,,,,,,,,,
,,2017 - 2018,100,"1,690.60",16.91,,,,,,,,,
,,2018 - 2019,101,"1,766.60",17.49,,,,,,,,,
,,2019 - 2020,101,"1,764.60",17.47,,,,,,,,,
13. Manipur,1. Bishnupur,2002 - 2003,170,110,0.65,,,,,,,,,
,,2003 - 2004,310,210,0.68,,,,,,,,,
,,2004 - 2005,220,150,0.68,,,,,,,,,
