State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2015 - 2016,,,,,,,"3,541.00","19,440.00",5.49,,,
,,2016 - 2017,,,,,,,"4,918.00","16,249.00",3.3,,,
,,2017 - 2018,,,,,,,"6,512.00","78,144.00",12,,,
,,2018 - 2019,,,,,,,"4,109.00","58,164.00",14.16,,,
,,2019 - 2020,,,,,,,"5,703.00","68,436.00",12,,,
,6. Krishna,2000 - 2001,"2,713.00","12,184.00",4.49,,,,,,,,,
,,2001 - 2002,"2,081.00","7,976.00",3.83,,,,,,,,,
,,2002 - 2003,"1,711.00","8,141.00",4.76,,,,,,,,,
,,2003 - 2004,"1,410.00","12,243.00",8.68,,,,,,,,,
,,2004 - 2005,"1,806.00","25,065.00",13.88,,,,,,,,,
,,2005 - 2006,"2,504.00","19,471.00",7.78,,,,,,,,,
,,2006 - 2007,"2,011.00","16,617.00",8.26,,,,,,,,,
,,2008 - 2009,"1,884.00","20,183.00",10.71,,,,,,,,,
,,2009 - 2010,"2,024.00","23,414.00",11.57,,,,,,,,,
,,2010 - 2011,"2,014.00","17,252.00",8.57,,,,,,,,,
,,2011 - 2012,"2,670.00","28,540.00",10.69,,,,,,,,,
,,2012 - 2013,,,,,,,"2,035.00","22,179.00",10.9,,,
,,2013 - 2014,,,,,,,"2,130.00","23,626.00",11.09,,,
,,2014 - 2015,,,,,,,"1,887.00","22,578.00",11.97,,,
,,2015 - 2016,,,,,,,"2,071.00","20,878.00",10.08,,,
,,2016 - 2017,,,,,,,"2,318.00","13,931.00",6.01,,,
,,2017 - 2018,,,,,,,"2,999.00","35,988.00",12,,,
,,2018 - 2019,,,,,,,"2,281.00","36,156.00",15.85,,,
,,2019 - 2020,,,,,,,"2,845.00","34,140.00",12,,,
,7. Kurnool,2000 - 2001,"1,324.00","9,221.00",6.96,,,,,,,,,
,,2001 - 2002,878,"4,338.00",4.94,,,,,,,,,
,,2002 - 2003,878,"2,848.00",3.24,,,,,,,,,
,,2003 - 2004,691,"4,806.00",6.96,,,,,,,,,
,,2004 - 2005,"1,568.00","14,151.00",9.02,,,,,,,,,
,,2005 - 2006,978,"7,409.00",7.58,,,,,,,,,
,,2006 - 2007,"1,183.00","9,277.00",7.84,,,,,,,,,
,,2008 - 2009,941,"9,495.00",10.09,,,,,,,,,
,,2009 - 2010,995,"12,047.00",12.11,,,,,,,,,
,,2010 - 2011,"1,918.00","15,098.00",7.87,,,,,,,,,
,,2011 - 2012,"4,778.00","39,371.00",8.24,,,,,,,,,
,,2012 - 2013,,,,,,,"2,435.00","60,210.00",24.73,,,
,,2013 - 2014,,,,1,18,18,"1,770.00","32,287.00",18.24,,,
,,2014 - 2015,,,,,,,"2,037.00","35,705.00",17.53,,,
,,2015 - 2016,,,,,,,"1,654.00","21,786.00",13.17,,,
,,2016 - 2017,,,,2,12,6,"1,861.00","11,103.00",5.97,,,
,,2017 - 2018,,,,,,,"1,685.00","20,220.00",12,,,
,,2018 - 2019,,,,,,,"1,723.00","30,480.00",17.69,,,
,,2019 - 2020,,,,,,,"3,234.00","38,808.00",12,,,
,8. Prakasam,2000 - 2001,246,"1,105.00",4.49,,,,,,,,,
,,2001 - 2002,314,"1,357.00",4.32,,,,,,,,,
,,2002 - 2003,183,981,5.36,,,,,,,,,
,,2003 - 2004,172,"1,061.00",6.17,,,,,,,,,
,,2004 - 2005,89,719,8.08,,,,,,,,,
,,2005 - 2006,149,934,6.27,,,,,,,,,
,,2006 - 2007,176,"1,035.00",5.88,,,,,,,,,
,,2008 - 2009,329,"2,261.00",6.87,,,,,,,,,
,,2009 - 2010,281,"1,752.00",6.23,,,,,,,,,
,,2010 - 2011,532,"3,248.00",6.11,,,,,,,,,
,,2011 - 2012,"1,343.00","10,084.00",7.51,,,,,,,,,
,,2012 - 2013,,,,25,166,6.64,557,"3,690.00",6.62,,,
,,2013 - 2014,,,,34,226,6.65,728,"4,847.00",6.66,,,
,,2014 - 2015,,,,2,14,7,698,"5,023.00",7.2,,,
,,2015 - 2016,,,,1,7,7,637,"4,216.00",6.62,,,
,,2016 - 2017,,,,3,9,3,399,"1,236.00",3.1,,,
,,2017 - 2018,,,,,,,672,"8,064.00",12,,,
,,2018 - 2019,,,,,,,726,"8,700.00",11.98,,,
,,2019 - 2020,,,,,,,502,"6,024.00",12,,,
,9. Spsr nellore,2000 - 2001,137,615,4.49,,,,,,,,,
,,2001 - 2002,107,462,4.32,,,,,,,,,
,,2002 - 2003,175,938,5.36,,,,,,,,,
,,2003 - 2004,91,561,6.16,,,,,,,,,
,,2004 - 2005,118,954,8.08,,,,,,,,,
,,2005 - 2006,165,"1,034.00",6.27,,,,,,,,,
,,2006 - 2007,213,"1,252.00",5.88,,,,,,,,,
,,2008 - 2009,98,673,6.87,,,,,,,,,
,,2009 - 2010,111,692,6.23,,,,,,,,,
,,2010 - 2011,153,934,6.1,,,,,,,,,
,,2011 - 2012,280,"2,102.00",7.51,,,,,,,,,
,,2012 - 2013,,,,,,,99,656,6.63,,,
,,2013 - 2014,,,,,,,167,"1,112.00",6.66,,,
,,2014 - 2015,,,,,,,174,"1,252.00",7.2,,,
,,2015 - 2016,,,,,,,115,777,6.76,,,
,,2016 - 2017,,,,,,,144,608,4.22,,,
,,2017 - 2018,,,,,,,180,"2,160.00",12,,,
,,2018 - 2019,,,,,,,106,"2,160.00",20.38,,,
,,2019 - 2020,,,,,,,182,"2,184.00",12,,,
,10. Srikakulam,2000 - 2001,265,"1,190.00",4.49,,,,,,,,,
,,2001 - 2002,235,"1,016.00",4.32,,,,,,,,,
,,2002 - 2003,229,"1,228.00",5.36,,,,,,,,,
,,2003 - 2004,246,"1,518.00",6.17,,,,,,,,,
,,2004 - 2005,265,"2,142.00",8.08,,,,,,,,,
,,2005 - 2006,261,"1,637.00",6.27,,,,,,,,,
,,2006 - 2007,267,"1,570.00",5.88,,,,,,,,,
,,2008 - 2009,251,"1,725.00",6.87,,,,,,,,,
,,2009 - 2010,231,"1,440.00",6.23,,,,,,,,,
,,2010 - 2011,200,"1,221.00",6.11,,,,,,,,,
,,2011 - 2012,227,"1,704.00",7.51,,,,,,,,,
,,2012 - 2013,,,,,,,219,"1,451.00",6.63,,,
,,2013 - 2014,,,,,,,214,"1,425.00",6.66,,,
,,2014 - 2015,,,,,,,214,"1,540.00",7.2,,,
,,2015 - 2016,,,,,,,215,"1,452.00",6.75,,,
,,2016 - 2017,,,,,,,204,861,4.22,,,
,,2017 - 2018,,,,,,,253,"3,036.00",12,,,
,,2018 - 2019,,,,,,,204,"3,108.00",15.24,,,
,,2019 - 2020,,,,,,,253,"3,036.00",12,,,
,11. Visakhapatanam,2000 - 2001,"1,499.00","3,097.00",2.07,,,,,,,,,
,,2001 - 2002,"1,538.00","3,136.00",2.04,,,,,,,,,
,,2002 - 2003,"1,551.00","4,473.00",2.88,,,,,,,,,
,,2003 - 2004,"2,073.00","5,075.00",2.45,,,,,,,,,
,,2004 - 2005,"1,678.00","8,133.00",4.85,,,,,,,,,
,,2005 - 2006,"1,530.00","4,428.00",2.89,,,,,,,,,
,,2006 - 2007,"1,530.00","3,657.00",2.39,,,,,,,,,
,,2008 - 2009,"1,583.00","3,483.00",2.2,,,,,,,,,
,,2009 - 2010,"1,509.00","3,632.00",2.41,,,,,,,,,
,,2010 - 2011,"1,935.00","4,882.00",2.52,,,,,,,,,
,,2011 - 2012,"1,957.00","4,450.00",2.27,,,,,,,,,
,,2012 - 2013,,,,,,,"2,500.00","8,380.00",3.35,,,
,,2013 - 2014,,,,,,,"2,910.00","8,203.00",2.82,,,
,,2014 - 2015,,,,3,8,2.67,"2,940.00","8,270.00",2.81,,,
,,2015 - 2016,,,,,,,"2,998.00","15,401.00",5.14,,,
